Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
ARI,5.9,2018,8,2,206,42436,39,1521,1,2,33,Arizona Diamondbacks,SEA,Arizona,2,4,67,162,4489,Jarrod Dyson,0.539,0.29052100000000003,1,165,6,0.189,0.035721,0.414,0.171396,RF,0.5061728395061729,12,144,UFA,3750000,3500000,3750000,0.0,0.0,7500000,15750000,3750000,82,0.12,0.0144,1,15.137266397946593,15.068273526459642,15.137266397946593
MIN,6.3,2017,8,3,63,3969,9,81,1,6,31,Minnesota Twins,HOU,Minnesota,1,1,19,162,361,Jason Castro,0.495,0.245025,6,215,15,0.143,0.020448999999999995,0.117,0.013689000000000002,C,0.4814814814814814,3,9,UFA,8000000,8000000,8000000,0.0,0.0,24500000,52250000,8166667,78,-0.13,0.016900000000000002,3,15.89495209964411,15.89495209964411,15.89495209964411
KC,6.6,2017,8,2,3,9,0,0,2,6,35,Kansas City Royals,CHC,Missouri,0,0,40,162,1600,Jason Hammel,0.0,0.0,4,225,9,0.0,0.0,0.247,0.061009,RP,0.4938271604938271,0,0,UFA,9000000,9000000,9000000,0.0,0.0,16000000,16775000,8000000,80,-1.59,2.5281000000000002,2,16.012735135300492,16.012735135300492,16.012735135300492
CHC,6.5,2016,8,8,440,193600,119,14161,2,7,28,Chicago Cubs,STL,Illinois,8,64,128,163,16384,Jason Heyward,0.731,0.534361,17,240,20,0.271,0.073441,0.785,0.616225,RF,0.5828220858895705,57,3249,UFA,28166667,21500000,28166667,8.88,78.85440000000001,184000000,215545000,23000000,95,1.61,2.5921000000000003,3,17.153649815493612,16.883563493097892,17.153649815493612
NYM,6.0,2018,8,2,27,729,4,16,2,8,35,New York Mets,KC,New York,0,0,21,162,441,Jason Vargas,0.327,0.10692900000000001,5,215,9,0.148,0.021903999999999996,0.13,0.016900000000000002,SP,0.4753086419753086,0,0,UFA,6000000,6000000,6000000,12.44,154.75359999999998,16000000,89635000,8000000,77,-0.31,0.0961,2,15.60727002719233,15.60727002719233,15.60727002719233
NYM,6.3,2018,8,3,319,101761,71,5041,2,8,31,New York Mets,CLE,New York,9,81,95,162,9025,Jay Bruce,0.68,0.4624000000000001,5,230,9,0.223,0.049729,0.586,0.343396,RF,0.4753086419753086,37,1369,UFA,11000000,10000000,11000000,0.0,0.0,39000000,89635000,13000000,77,-0.85,0.7224999999999999,2,16.213405830762646,16.11809565095832,16.213405830762646
ARI,6.0,2017,8,2,195,38025,39,1521,1,2,35,Arizona Diamondbacks,MIA,Arizona,1,1,69,162,4761,Jeff Mathis,0.544,0.29593600000000003,1,205,6,0.2,0.04000000000000001,0.426,0.181476,C,0.5061728395061729,20,400,UFA,2000000,2000000,2000000,0.0,0.0,4000000,15750000,2000000,82,0.17,0.028900000000000006,1,14.508657738524219,14.508657738524219,14.508657738524219
SF,0.0,2016,8,5,10,100,1,1,5,2,33,San Francisco Giants,CHW,California,0,0,10,162,100,Jeff Samardzija,0.2,0.04000000000000001,23,240,26,0.1,0.010000000000000002,0.062,0.0038439999999999998,SP,0.4506172839506173,0,0,UFA,19800000,18000000,19800000,0.0,0.0,90000000,11500000,18000000,73,-0.66,0.43560000000000004,8,16.801192495664765,16.70588231586044,16.801192495664765
CHC,6.2,2018,8,1,1,1,0,0,2,7,34,Chicago Cubs,LAA,Illinois,0,0,63,163,3969,Jesse Chavez,0.0,0.0,17,175,20,0.0,0.0,0.387,0.149769,RP,0.5828220858895705,0,0,UFA,1500000,1000000,397824,83.9,7039.210000000001,1500000,215545000,1500000,95,1.17,1.3688999999999998,3,14.22097566607244,13.815510557964274,12.893764975407155
MIL,6.3,2018,8,2,56,3136,9,81,1,5,30,Milwaukee Brewers,SD,Wisconsin,0,0,36,163,1296,Jhoulys Chacin,0.382,0.145924,1,215,5,0.161,0.025921000000000003,0.221,0.048841,SP,0.588957055214724,1,1,UFA,8750000,8000000,8750000,70.03,4904.2009,15500000,103750000,7750000,96,1.98,3.9204,0,15.984564258333798,15.89495209964411,15.984564258333798
CHC,6.4,2015,8,6,59,3481,7,49,2,7,34,Chicago Cubs,OAK,Illinois,1,1,34,163,1156,Jon Lester,0.288,0.08294399999999999,17,240,20,0.119,0.014160999999999998,0.209,0.043681,SP,0.5828220858895705,9,81,UFA,27500000,22500000,27500000,43.53,1894.8609000000001,155000000,215545000,25833333,95,3.39,11.4921,3,17.1296965626368,16.929025867174648,17.1296965626368
OAK,6.0,2018,8,1,415,172225,100,10000,5,3,32,Oakland Athletics,COL,California,4,16,126,162,15876,Jonathan Lucroy,0.617,0.380689,15,200,27,0.241,0.058080999999999994,0.778,0.605284,C,0.5987654320987654,51,2601,UFA,6500000,6500000,6500000,5.94,35.28360000000001,6500000,18000000,6500000,97,-0.69,0.4760999999999999,9,15.687312734865866,15.687312734865866,15.687312734865866
MIL,6.5,2018,8,1,15,225,0,0,1,5,27,Milwaukee Brewers,SD,Wisconsin,0,0,37,163,1369,Jordan Lyles,0.167,0.027889000000000004,1,230,5,0.0,0.0,0.227,0.051529000000000005,SP,0.588957055214724,1,1,UFA,750000,750000,229824,28.5,812.25,1000000,103750000,1000000,96,0.2,0.04000000000000001,0,13.527828485512494,13.527828485512494,12.345069077585755
DET,6.2,2016,8,5,2,4,0,0,1,3,32,Detroit Tigers,WSH,Michigan,0,0,25,162,625,Jordan Zimmermann,0.0,0.0,11,225,16,0.0,0.0,0.154,0.023716,SP,0.3950617283950617,0,0,UFA,24000000,24000000,24000000,8.34,69.5556,110000000,11750000,22000000,64,0.62,0.3844,4,16.99356438831222,16.99356438831222,16.99356438831222
PHI,6.0,2018,8,1,325,105625,66,4356,2,4,37,Philadelphia Phillies,ATL,Pennsylvania,13,169,122,162,14884,Jose Bautista,0.727,0.5285289999999999,7,205,14,0.203,0.041209,0.753,0.567009,RF,0.4938271604938271,48,2304,UFA,545000,545000,99620,38.83,1507.7688999999998,545000,169200000,545000,80,-0.35,0.12249999999999998,2,13.208541073645382,13.208541073645382,11.509118226627274
NYM,0.0,2018,8,1,228,51984,43,1849,2,8,35,New York Mets,NYM,New York,4,16,110,162,12100,Jose Reyes,0.58,0.3364,5,195,9,0.189,0.035721,0.679,0.4610410000000001,3B,0.4753086419753086,16,256,UFA,2000000,2000000,2000000,4.53,20.5209,2000000,89635000,2000000,77,-0.8,0.6400000000000001,2,14.508657738524219,14.508657738524219,14.508657738524219
HOU,6.2,2017,8,4,433,187489,105,11025,2,2,31,Houston Astros,LAD,Texas,17,289,135,162,18225,Josh Reddick,0.718,0.515524,2,197,12,0.243,0.059049,0.833,0.693889,RF,0.6358024691358025,47,2209,UFA,13000000,13000000,13000000,22.08,487.5263999999999,52000000,23500000,13000000,103,1.76,3.0976,1,16.38045991542581,16.38045991542581,16.38045991542581
LAA,6.1,2016,8,6,533,284089,137,18769,5,3,30,Los Angeles Angels,SD,California,30,900,146,162,21316,Justin Upton,0.808,0.6528640000000001,1,215,10,0.257,0.066049,0.901,0.811801,LF,0.4938271604938271,85,7225,UFA,16000000,16000000,16000000,48.29,2331.9240999999997,132750000,42800000,22125000,80,3.8,14.44,1,16.588099280204055,16.588099280204055,16.588099280204055
TOR,6.1,2017,8,3,413,170569,103,10609,1,3,35,Toronto Blue Jays,KC,Toronto,21,441,130,162,16900,Kendrys Morales,0.769,0.591361,2,225,7,0.249,0.062001,0.803,0.6448090000000001,DH,0.4506172839506173,57,3249,UFA,11000000,11000000,11000000,26.57,705.9649000000001,33000000,17000000,11000000,73,0.8,0.6400000000000001,2,16.213405830762646,16.213405830762646,16.213405830762646
NYY,6.5,2018,8,1,4,16,0,0,2,2,31,New York Yankees,STL,New York,0,0,31,162,961,Lance Lynn,0.0,0.0,40,270,54,0.0,0.0,0.191,0.036481,SP,0.6172839506172839,0,0,UFA,12000000,12000000,1999996,20.31,412.49609999999996,12000000,14000000,12000000,100,0.33,0.10890000000000001,27,16.300417207752275,16.300417207752275,14.508655738522219
