Acronimo,Acronimo_t_1,Acronimo_t_2,Altura,Altura_t_1,Altura_t_2,Anio_t_1,Anio_t_2,Anio_x,Anio_y,Anios_contrato,At_bats,At_bats_2,At_bats_2_t_1,At_bats_2_t_2,At_bats_t_1,At_bats_t_2,Bateos,Bateos_2,Bateos_2_t_1,Bateos_2_t_2,Bateos_t_1,Bateos_t_2,Cantidad_agentes_libres,Cantidad_agentes_libres_t_1,Cantidad_agentes_libres_t_2,Edad,Edad_t_1,Edad_t_2,Equipo,Equipo_anterior,Equipo_t_1,Equipo_t_2,Home_runs,Home_runs_2,Home_runs_2_t_1,Home_runs_2_t_2,Home_runs_t_1,Home_runs_t_2,Juegos,Juegos_2,Juegos_2_t_1,Juegos_2_t_2,Juegos_t_1,Juegos_t_2,Juegos_totales,Juegos_totales_t_1,Juegos_totales_t_2,Jugador,OPS,OPS_2,OPS_2_t_1,OPS_2_t_2,OPS_t_1,OPS_t_2,Pennants_won,Pennants_won_t_1,Pennants_won_t_2,Peso,Peso_t_1,Peso_t_2,Playoffs,Playoffs_t_1,Playoffs_t_2,Porcentaje_bateo,Porcentaje_bateo_2,Porcentaje_bateo_2_t_1,Porcentaje_bateo_2_t_2,Porcentaje_bateo_t_1,Porcentaje_bateo_t_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_2_t_2,Porcetnaje_juegos_t_1,Porcetnaje_juegos_t_2,Posicion,Posicion_t_1,Posicion_t_2,Promedio_victorias,Promedio_victorias_t_1,Promedio_victorias_t_2,RBI,RBI_2,RBI_2_t_1,RBI_2_t_2,RBI_t_1,RBI_t_2,Status,Sueldo,Sueldo_base,Sueldo_base_t_1,Sueldo_base_t_2,Sueldo_regular,Sueldo_regular_t_1,Sueldo_regular_t_2,Sueldo_t_1,Sueldo_t_2,TVS,TVS_2,TVS_2_t_1,TVS_2_t_2,TVS_t_1,TVS_t_2,Valor_contrato,Valor_contrato_total,Valor_contrato_total_t_1,Valor_contrato_total_t_2,Valor_promedio_contrato,Victorias,Victorias_t_1,Victorias_t_2,WAR,WAR_2,WAR_2_t_1,WAR_2_t_2,WAR_t_1,WAR_t_2,WS_ganadas,WS_ganadas_t_1,WS_ganadas_t_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
COL,COL,COL,0.0,0.0,0.0,7,8,2018,6,1,584,341056,220900,214369,470,463,174,30276,14884,16384,122,128,3,4,5,30,31,32,Colorado Rockies,COL,Colorado Rockies,Colorado Rockies,25,625,196,256,14,16,150,22500,18496,17689,136,133,161,162,163,Carlos Gonzalez,0.855,0.7310249999999999,0.571536,0.6336160000000001,0.756,0.796,1,1,1,220,220,220,3,4,5,0.298,0.088804,0.06760000000000001,0.07672900000000002,0.26,0.277,0.926,0.8574760000000001,0.7055999999999999,0.6658559999999999,0.84,0.816,RF,RF,RF,0.4658385093167702,0.5370370370370371,0.558282208588957,100,10000,3249,4096,57,64,UFA,17478571,17000000,20000000,5000000,17478571,20428571,8000000,20428571,8000000,65.43,4281.084900000001,383.37639999999993,1453.1344,19.58,38.12,8000000,43500000,97250000,122500000,8000000,75,87,91,2.36,5.569599999999999,0.04409999999999999,0.1369,-0.21,0.37,0,0,0,16.67648617427782,16.64872390202049,16.67648617427782
PHI,HOU,HOU,6.5,6.5,6.5,7,8,2017,6,2,6,36,9,36,3,6,1,1,0,1,0,1,6,3,2,32,33,34,Philadelphia Phillies,PHI,Houston Astros,Houston Astros,0,0,0,0,0,0,4,16,625,900,25,30,161,162,162,Charlie Morton,0.333,0.11088900000000002,0.0,0.11088900000000002,0.0,0.333,7,2,2,215,215,215,14,11,12,0.167,0.027889000000000004,0.0,0.027889000000000004,0.0,0.167,0.025,0.0006250000000000001,0.023716,0.034225,0.154,0.185,SP,SP,SP,0.4347826086956521,0.6234567901234568,0.6358024691358025,0,0,0,0,0,0,UFA,8000000,8000000,7000000,7000000,8000000,8875000,8875000,8875000,8875000,0.0,0.0,5173.924900000001,6234.681599999999,71.93,78.96,14000000,8750000,82000000,23500000,7000000,70,101,103,0.31,0.0961,3.3124000000000002,12.0409,1.82,3.47,2,1,1,15.89495209964411,15.89495209964411,15.89495209964411
LAD,LAD,LAD,6.1,6.1,6.1,7,8,2018,6,2,512,262144,95481,26896,309,164,128,16384,5329,1225,73,35,8,6,2,37,38,39,Los Angeles Dodgers,LAD,Los Angeles Dodgers,Los Angeles Dodgers,14,196,64,1,8,1,138,19044,16129,7569,127,87,161,162,163,Chase Utley,0.708,0.5012639999999999,0.529984,0.3721,0.728,0.61,25,25,25,195,195,195,30,31,32,0.25,0.0625,0.055695999999999996,0.045369,0.236,0.213,0.852,0.725904,0.6146560000000001,0.285156,0.784,0.534,2B,2B,2B,0.5652173913043478,0.6419753086419753,0.5644171779141104,50,2500,1156,196,34,14,UFA,7000000,7000000,2000000,1000000,7000000,2250000,1000000,2250000,1000000,34.13,1164.8569000000002,771.7284000000001,0.0,27.78,0.0,2000000,79750000,199600000,4000000,1000000,91,104,92,1.85,3.4225000000000003,1.0,0.04409999999999999,1.0,-0.21,6,6,6,15.761420707019587,15.761420707019587,15.761420707019587
BAL,BAL,BAL,6.3,6.3,6.3,7,8,2016,6,7,566,320356,207936,220900,456,470,125,15625,9604,6241,98,79,8,5,2,30,31,32,Baltimore Orioles,BAL,Baltimore Orioles,Baltimore Orioles,38,1444,676,256,26,16,157,24649,16384,16641,128,129,161,162,162,Chris Davis,0.792,0.627264,0.535824,0.29052100000000003,0.732,0.539,7,7,7,245,245,245,14,14,14,0.221,0.048841,0.046224999999999995,0.028224000000000003,0.215,0.168,0.969,0.9389609999999999,0.6241000000000001,0.6336160000000001,0.79,0.796,1B,1B,1B,0.546583850931677,0.4629629629629629,0.2901234567901234,84,7056,3721,2401,61,49,UFA,21065362,17000000,17000000,17000000,21065362,21065362,21065362,21065362,21065362,41.5,1722.25,51.408899999999996,0.0225,7.17,0.15,161000000,220260000,55600000,73000000,23000000,88,75,47,3.08,9.4864,0.34809999999999997,10.5625,-0.59,-3.25,3,3,3,16.863140638151464,16.64872390202049,16.863140638151464
SEA,ARI,COL,0.0,0.0,0.0,7,8,2018,6,2,295,87025,73984,89401,272,299,62,3844,4761,4489,69,67,8,5,5,33,34,35,Seattle Mariners,ARI,Arizona Diamondbacks,Colorado Rockies,7,49,289,121,17,11,94,8836,7921,12100,89,110,161,162,163,Chris Iannetta,0.631,0.398161,0.748225,0.5328999999999999,0.865,0.73,0,1,1,230,230,230,4,6,5,0.21,0.04409999999999999,0.064516,0.050176000000000005,0.254,0.224,0.58,0.3364,0.30140100000000003,0.45562500000000006,0.549,0.675,C,C,C,0.5341614906832298,0.5740740740740741,0.558282208588957,24,576,1849,1296,43,36,UFA,4550000,4250000,1500000,3450000,4550000,1500000,3600000,1500000,3600000,0.0,0.0,0.0,548.9649,0.0,23.43,8500000,35100000,9750000,122500000,4250000,86,93,91,0.19,0.0361,3.0976,0.16809999999999997,1.76,-0.41,0,1,0,15.330637790927133,15.2624295409006,15.330637790927133
PIT,PIT,ARI,6.4,6.4,6.4,7,8,2018,6,1,98,9604,17161,225,131,15,21,441,576,9,24,3,10,2,2,34,35,36,Pittsburgh Pirates,PIT,Pittsburgh Pirates,Arizona Diamondbacks,1,1,0,0,0,0,34,1156,2601,64,51,8,160,162,162,Chris Stewart,0.604,0.364816,0.21436900000000003,0.189225,0.463,0.435,9,9,1,215,215,215,17,17,6,0.214,0.045795999999999996,0.033489,0.04000000000000001,0.183,0.2,0.21,0.04409999999999999,0.09922500000000001,0.0024010000000000004,0.315,0.049,C,C,C,0.4875,0.4629629629629629,0.5061728395061729,7,49,16,9,4,3,UFA,1350000,1350000,1400000,575000,1350000,1400000,98912,1400000,575000,0.0,0.0,0.0,0.0,0.0,0.0,575000,25150000,37000000,15750000,575000,78,75,82,-0.29,0.0841,0.5328999999999999,0.0009,-0.73,-0.03,5,5,1,14.115615150414612,14.115615150414612,14.115615150414612
BOS,BOS,LAA,6.2,6.2,6.2,7,8,2018,6,1,203,41209,59049,12769,243,113,56,3136,3249,361,57,19,6,1,3,32,33,34,Boston Red Sox,BOS,Boston Red Sox,Los Angeles Angels,9,81,49,36,7,6,76,5776,8100,3481,90,59,161,162,162,Chris Young,0.85,0.7224999999999999,0.5026809999999999,0.378225,0.709,0.615,13,13,1,200,200,200,22,23,10,0.276,0.07617600000000001,0.055224999999999996,0.028224000000000003,0.235,0.168,0.469,0.21996099999999996,0.3091360000000001,0.132496,0.556,0.364,RF,RF,RF,0.577639751552795,0.5740740740740741,0.4938271604938271,24,576,625,169,25,13,UFA,6500000,6500000,6500000,2000000,6500000,6500000,2000000,6500000,2000000,0.0,0.0,0.0,0.0,0.0,0.0,2000000,230000000,5500000,42800000,2000000,93,93,80,0.94,0.8835999999999999,0.1444,0.3364,-0.38,-0.58,8,8,1,15.687312734865866,15.687312734865866,15.687312734865866
KC,BOS,LAA,6.2,6.2,6.2,7,8,2018,6,1,203,41209,59049,12769,243,113,56,3136,3249,361,57,19,10,1,3,32,33,34,Kansas City Royals,BOS,Boston Red Sox,Los Angeles Angels,9,81,49,36,7,6,76,5776,8100,3481,90,59,161,162,162,Chris Young,0.85,0.7224999999999999,0.5026809999999999,0.378225,0.709,0.615,4,13,1,200,200,200,9,23,10,0.276,0.07617600000000001,0.055224999999999996,0.028224000000000003,0.235,0.168,0.469,0.21996099999999996,0.3091360000000001,0.132496,0.556,0.364,RF,RF,RF,0.5031055900621118,0.5740740740740741,0.4938271604938271,24,576,625,169,25,13,UFA,4500000,4250000,6500000,2000000,4500000,6500000,2000000,6500000,2000000,0.0,0.0,0.0,0.0,0.0,0.0,2000000,186750000,5500000,42800000,2000000,81,93,80,0.94,0.8835999999999999,0.1444,0.3364,-0.38,-0.58,2,8,1,15.319587954740548,15.2624295409006,15.319587954740548
BOS,PHI,ARI,6.3,6.3,6.3,7,8,2018,6,1,2,4,4,961,2,31,0,0,0,4,0,2,6,3,2,31,32,33,Boston Red Sox,PHI,Philadelphia Phillies,Arizona Diamondbacks,0,0,0,0,0,0,37,1369,4,289,2,17,161,162,162,Clay Buchholz,0.333,0.11088900000000002,0.0,0.036481,0.0,0.191,13,7,1,190,190,190,22,14,6,0.0,0.0,0.0,0.0042250000000000005,0.0,0.065,0.228,0.051984,0.000144,0.011024999999999998,0.012,0.105,SP,SP,SP,0.577639751552795,0.4074074074074074,0.5061728395061729,0,0,0,1,0,1,UFA,13000000,13000000,13500000,1500000,13000000,13500000,1080645,13500000,1500000,17.79,316.48409999999996,0.0,8671.334400000002,0.0,93.12,1500000,230000000,11750000,15750000,1500000,93,66,82,0.15,0.0225,0.1521,9.9225,-0.39,3.15,8,2,1,16.38045991542581,16.38045991542581,16.38045991542581
NYM,LAD,MIL,6.1,6.1,6.1,7,8,2018,6,1,545,297025,201601,117649,449,343,129,16641,8836,6889,94,83,9,6,5,35,36,37,New York Mets,LAD,Los Angeles Dodgers,Milwaukee Brewers,30,900,676,169,26,13,150,22500,21609,15129,147,123,161,162,163,Curtis Granderson,0.799,0.6384010000000001,0.589824,0.6115240000000001,0.768,0.782,5,25,1,200,200,200,9,31,5,0.237,0.056169,0.043681,0.058564,0.209,0.242,0.926,0.8574760000000001,0.8226490000000001,0.570025,0.907,0.755,RF,RF,RF,0.5403726708074534,0.6419753086419753,0.588957055214724,59,3481,4096,1444,64,38,UFA,16000000,16000000,15000000,5000000,16000000,3606548,833342,15000000,5000000,53.28,2838.7584,326.8863999999999,1530.3743999999997,18.08,39.12,5000000,48757500,199600000,103750000,5000000,87,104,96,2.81,7.896100000000001,0.0625,0.36,-0.25,0.6,2,6,0,16.588099280204055,16.588099280204055,16.588099280204055
WSH,WSH,CHC,0.0,0.0,0.0,7,8,2016,6,3,531,281961,285156,107584,534,328,184,33856,29584,9604,172,98,11,4,7,31,32,33,Washington Nationals,NYM,Washington Nationals,Chicago Cubs,25,625,529,144,23,12,142,20164,20736,8464,144,92,161,163,163,Daniel Murphy,0.985,0.970225,0.8611840000000001,0.6241000000000001,0.928,0.79,1,1,17,221,221,221,4,5,20,0.347,0.12040899999999999,0.10368400000000001,0.089401,0.322,0.299,0.877,0.769129,0.790321,0.31809599999999993,0.889,0.564,2B,2B,2B,0.5838509316770186,0.5950920245398773,0.5828220858895705,104,10816,8649,1764,93,42,UFA,8000000,8000000,12000000,17500000,8000000,12000000,3857526,12000000,17500000,94.27,8886.8329,5580.09,0.0,74.7,0.0,37500000,68750000,10400000,215545000,12500000,94,97,95,4.49,20.160100000000003,8.0089,0.5929,2.83,-0.77,0,0,3,15.89495209964411,15.89495209964411,15.89495209964411
SF,SF,SEA,6.0,6.0,6.0,7,8,2016,6,3,572,327184,247009,190969,497,437,152,23104,18225,12996,135,114,8,3,3,32,33,34,San Francisco Giants,WSH,San Francisco Giants,Seattle Mariners,11,121,144,121,12,11,143,20449,16641,18769,129,137,161,162,162,Denard Span,0.712,0.506944,0.571536,0.5776,0.756,0.76,23,23,0,210,210,210,26,26,4,0.266,0.07075600000000001,0.07398400000000001,0.068121,0.272,0.261,0.883,0.779689,0.6336160000000001,0.7157159999999999,0.796,0.846,CF,CF,LF,0.5341614906832298,0.3950617283950617,0.5493827160493827,53,2809,1849,3364,43,58,UFA,5000000,3000000,10000000,9000000,5000000,13750000,1491923,13750000,12500000,28.81,830.0160999999999,345.96000000000004,1008.6976000000001,18.6,31.76,31000000,251000000,65250000,17750000,10333333,86,64,89,1.25,1.5625,1.2100000000000002,0.8464,-1.1,0.92,8,8,0,15.424948470398375,14.914122846632385,15.424948470398375
CHC,STL,STL,6.5,6.5,6.5,7,8,2017,6,5,456,207936,176400,83521,420,289,126,15876,12321,2704,111,52,15,2,3,30,31,32,Chicago Cubs,CHC,St. Louis Cardinals,St. Louis Cardinals,13,169,324,64,18,8,125,15625,13924,8100,118,90,160,162,162,Dexter Fowler,0.84,0.7055999999999999,0.724201,0.33177599999999996,0.851,0.576,17,23,23,205,205,205,18,28,28,0.276,0.07617600000000001,0.06969600000000001,0.0324,0.264,0.18,0.772,0.5959840000000001,0.529984,0.3091360000000001,0.728,0.556,CF,CF,CF,0.6375,0.5123456790123457,0.5432098765432098,48,2304,4096,961,64,31,UFA,8000000,8000000,14500000,14500000,8000000,16500000,16500000,16500000,16500000,82.36,6783.1696,2315.5343999999996,0.0,48.12,0.0,82500000,291277500,113000000,28000000,16500000,102,83,88,3.99,15.920100000000001,3.0976,1.9043999999999996,1.76,-1.38,3,11,11,15.89495209964411,15.89495209964411,15.89495209964411
KC,KC,COL,6.1,6.1,6.1,7,8,2017,6,2,123,15129,26569,26569,163,163,35,1225,1369,961,37,31,10,4,5,32,33,34,Kansas City Royals,KC,Kansas City Royals,Colorado Rockies,4,16,9,9,3,3,56,3136,5625,3844,75,62,161,162,163,Drew Butera,0.808,0.6528640000000001,0.36360899999999996,0.31809599999999993,0.603,0.564,4,4,1,205,205,205,9,9,5,0.285,0.08122499999999999,0.051529000000000005,0.0361,0.227,0.19,0.346,0.11971599999999999,0.21436900000000003,0.1444,0.463,0.38,C,C,C,0.5031055900621118,0.4938271604938271,0.558282208588957,16,256,196,441,14,21,UFA,1175000,1162500,1500000,2300000,1175000,1500000,383346,1500000,2300000,0.0,0.0,0.0,0.0,0.0,0.0,3800000,186750000,43800000,122500000,1900000,81,80,91,0.27,0.0729,0.2116,0.43560000000000004,-0.46,-0.66,2,2,0,13.976778705560397,13.966083416443649,13.976778705560397
