Acronimo,Acronimo_t_1,Acronimo_t_2,Altura,Altura_t_1,Altura_t_2,Anio_t_1,Anio_t_2,Anio_x,Anio_y,Anios_contrato,At_bats,At_bats_2,At_bats_2_t_1,At_bats_2_t_2,At_bats_t_1,At_bats_t_2,Bateos,Bateos_2,Bateos_2_t_1,Bateos_2_t_2,Bateos_t_1,Bateos_t_2,Cantidad_agentes_libres,Cantidad_agentes_libres_t_1,Cantidad_agentes_libres_t_2,Edad,Edad_t_1,Edad_t_2,Equipo,Equipo_anterior,Equipo_t_1,Equipo_t_2,Home_runs,Home_runs_2,Home_runs_2_t_1,Home_runs_2_t_2,Home_runs_t_1,Home_runs_t_2,Juegos,Juegos_2,Juegos_2_t_1,Juegos_2_t_2,Juegos_t_1,Juegos_t_2,Juegos_totales,Juegos_totales_t_1,Juegos_totales_t_2,Jugador,OPS,OPS_2,OPS_2_t_1,OPS_2_t_2,OPS_t_1,OPS_t_2,Pennants_won,Pennants_won_t_1,Pennants_won_t_2,Peso,Peso_t_1,Peso_t_2,Playoffs,Playoffs_t_1,Playoffs_t_2,Porcentaje_bateo,Porcentaje_bateo_2,Porcentaje_bateo_2_t_1,Porcentaje_bateo_2_t_2,Porcentaje_bateo_t_1,Porcentaje_bateo_t_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_2_t_2,Porcetnaje_juegos_t_1,Porcetnaje_juegos_t_2,Posicion,Posicion_t_1,Posicion_t_2,Promedio_victorias,Promedio_victorias_t_1,Promedio_victorias_t_2,RBI,RBI_2,RBI_2_t_1,RBI_2_t_2,RBI_t_1,RBI_t_2,Status,Sueldo,Sueldo_base,Sueldo_base_t_1,Sueldo_base_t_2,Sueldo_regular,Sueldo_regular_t_1,Sueldo_regular_t_2,Sueldo_t_1,Sueldo_t_2,TVS,TVS_2,TVS_2_t_1,TVS_2_t_2,TVS_t_1,TVS_t_2,Valor_contrato,Valor_contrato_total,Valor_contrato_total_t_1,Valor_contrato_total_t_2,Valor_promedio_contrato,Victorias,Victorias_t_1,Victorias_t_2,WAR,WAR_2,WAR_2_t_1,WAR_2_t_2,WAR_t_1,WAR_t_2,WS_ganadas,WS_ganadas_t_1,WS_ganadas_t_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
PHI,MIA,TOR,6.1,6.1,6.1,10,11,2020,9,2,260,67600,37636,280900,194,530,79,6241,2500,19881,50,141,4,6,6,30,31,32,Philadelphia Phillies,PHI,Miami Marlins,Toronto Blue Jays,12,144,49,169,7,13,78,6084,2704,25921,52,161,162,60,163,Corey Dickerson,0.906,0.820836,0.508369,0.527076,0.713,0.726,7,2,2,200,200,200,14,3,8,0.304,0.092416,0.066564,0.07075600000000001,0.258,0.266,0.482,0.23232399999999997,0.7516889999999999,0.525625,0.867,0.725,LF,LF,LF,0.5,0.5166666666666667,0.5644171779141104,59,3481,289,2116,17,46,UFA,8500000,8500000,8000000,9500000,2787639,2592593,2250000,8000000,9500000,0.0,0.0,538.24,1393.5288999999998,23.2,37.33,17500000,403000000,25350000,186250000,8750000,81,31,92,0.45,0.2025,0.0484,0.0144,0.22,0.12,2,2,2,15.955576721460545,15.955576721460545,14.840705558978122
CIN,CIN,SF,6.2,6.2,6.2,10,11,2021,9,1,207,42849,5776,76176,76,276,52,2704,289,3481,17,59,1,4,8,30,31,31,Cincinnati Reds,CIN,Cincinnati Reds,San Francisco Giants,8,64,36,121,6,11,84,7056,961,11664,31,108,162,59,163,Curt Casali,0.741,0.549081,0.749956,0.516961,0.866,0.719,10,10,23,220,220,220,15,16,27,0.251,0.063001,0.050176000000000005,0.045795999999999996,0.224,0.214,0.519,0.269361,0.267289,0.237169,0.517,0.487,C,C,C,0.4629629629629629,0.5254237288135594,0.6625766871165644,32,1024,64,1156,8,34,UFA,950000,950000,1462500,1500000,950000,541667,2000000,1462500,2000000,0.0,0.0,0.0,0.0,0.0,0.0,1500000,2000000,144825000,36200000,1500000,75,31,108,1.17,1.3688999999999998,0.2304,1.2768999999999997,0.48,1.13,5,5,8,13.764217263576723,13.764217263576723,13.764217263576723
NYY,NYY,NYY,6.4,6.4,6.4,10,11,2021,9,6,602,362404,38025,627264,195,792,197,38809,5041,53361,71,231,5,2,4,30,31,32,New York Yankees,NYY,New York Yankees,New York Yankees,26,676,100,400,10,20,145,21025,2500,40000,50,200,162,60,162,D.J. LeMahieu,0.893,0.7974490000000001,1.0221209999999998,0.6146560000000001,1.011,0.784,40,40,40,220,220,220,55,56,57,0.327,0.10692900000000001,0.132496,0.08526399999999999,0.364,0.292,0.895,0.801025,0.693889,0.811801,0.833,0.901,2B,2B,3B,0.6358024691358025,0.55,0.5679012345679012,102,10404,729,7056,27,84,UFA,12000000,12000000,12000000,15000000,12000000,4444444,15000000,12000000,15000000,88.79,7883.664100000001,9605.9601,14484.1225,98.01,120.35,90000000,124555000,336500000,111300000,15000000,103,33,92,6.03,36.3609,7.728399999999999,18.576099999999997,2.78,4.31,27,27,27,16.300417207752275,16.300417207752275,16.300417207752275
STL,STL,LAA,6.5,6.5,6.5,10,11,2017,9,5,487,237169,8100,12100,90,110,116,13456,441,676,21,26,1,2,6,33,34,35,St. Louis Cardinals,CHC,St. Louis Cardinals,Los Angeles Angels,19,361,16,16,4,4,150,22500,961,1444,31,38,162,58,162,Dexter Fowler,0.754,0.568516,0.49843599999999993,0.45562500000000006,0.706,0.675,23,23,1,205,205,205,29,30,10,0.238,0.05664399999999999,0.054289000000000004,0.055695999999999996,0.233,0.236,0.926,0.8574760000000001,0.286225,0.029928999999999997,0.535,0.173,CF,RF,RF,0.5617283950617284,0.5172413793103449,0.4753086419753086,67,4489,225,256,15,16,UFA,16500000,14500000,14500000,14500000,16500000,7370370,1750000,16500000,16500000,24.9,620.0099999999999,0.0,0.0,0.0,0.0,82500000,25000000,7000000,12625000,16500000,91,30,77,1.42,2.0164,0.0016,0.019600000000000003,0.04,-0.14,11,11,1,16.61887093887081,16.489659207390805,16.61887093887081
NYY,PHI,PHI,6.3,6.3,6.3,10,11,2021,9,2,324,104976,46225,339889,215,583,77,5929,3721,19044,61,138,5,4,6,29,30,31,New York Yankees,PHI,Philadelphia Phillies,Philadelphia Phillies,16,256,100,529,10,23,82,6724,3600,26569,60,163,162,60,162,Didi Gregorius,0.718,0.515524,0.6839289999999999,0.5012639999999999,0.827,0.708,40,7,7,205,205,205,55,14,14,0.238,0.05664399999999999,0.08065599999999999,0.056169,0.284,0.237,0.506,0.256036,1.0,0.538756,1.0,0.734,SS,SS,SS,0.6358024691358025,0.4666666666666667,0.5061728395061729,61,3721,1600,8836,40,94,UFA,11750000,11750000,14000000,12000000,11750000,5185185,12750000,14000000,12750000,0.0,0.0,3044.8324,3652.9936,55.18,60.44,28000000,124555000,134350000,158800000,14000000,103,28,82,0.64,0.4096,0.8281000000000001,0.016900000000000002,0.91,0.13,27,2,2,16.279363798554442,16.279363798554442,16.279363798554442
SD,SD,SD,6.4,6.4,6.4,10,11,2018,9,8,619,383161,20449,425104,143,652,164,26896,1681,31684,41,178,4,2,4,29,30,31,San Diego Padres,KC,San Diego Padres,San Diego Padres,22,484,81,441,9,21,160,25600,1600,36481,40,191,162,61,162,Eric Hosmer,0.735,0.540225,0.724201,0.574564,0.851,0.758,2,2,2,226,226,226,5,6,6,0.265,0.07022500000000001,0.08236899999999998,0.07452900000000001,0.287,0.273,0.988,0.976144,0.44488900000000003,0.7395999999999999,0.667,0.86,1B,1B,1B,0.4320987654320987,0.6229508196721312,0.4876543209876543,99,9801,1296,10201,36,101,UFA,21000000,20000000,20000000,20000000,21000000,8407407,21000000,21000000,21000000,9.02,81.3604,3604.8016,5117.971600000001,60.04,71.54,144000000,326000000,43000000,25200000,18000000,70,38,79,-0.33,0.10890000000000001,0.8835999999999999,3.6864,0.94,1.92,0,0,0,16.860032995687696,16.811242831518264,16.860032995687696
HOU,HOU,TOR,6.3,6.3,6.3,10,11,2021,9,6,479,229441,35721,238144,189,488,140,19600,2500,16641,50,129,3,3,6,29,30,31,Houston Astros,HOU,Houston Astros,Toronto Blue Jays,39,1521,196,1296,14,36,122,14884,2601,16641,51,129,161,60,163,George Springer,0.974,0.948676,0.8082010000000001,0.817216,0.899,0.904,3,3,2,221,221,221,13,14,8,0.292,0.08526399999999999,0.07022500000000001,0.06969600000000001,0.265,0.264,0.753,0.567009,0.7224999999999999,0.33756099999999994,0.85,0.581,CF,CF,CF,0.6583850931677019,0.4833333333333333,0.5644171779141104,96,9216,1024,6724,32,82,UFA,12000000,12000000,21000000,22000000,12000000,7777778,23666666,21000000,23666666,96.89,9387.6721,5890.5625,5890.5625,76.75,76.75,150000000,42250000,15650000,186250000,25000000,106,29,92,6.17,38.0689,3.6864,19.0969,1.92,4.37,1,1,2,16.300417207752275,16.300417207752275,16.300417207752275
BOS,BOS,BOS,6.3,6.3,6.3,10,11,2018,9,5,575,330625,44521,609961,211,781,175,30625,2025,43264,45,208,1,8,6,31,32,33,Boston Red Sox,ARI,Boston Red Sox,Boston Red Sox,36,1296,49,1225,7,35,148,21904,2916,40804,54,202,161,60,162,J.D. Martinez,0.939,0.8817209999999999,0.4624000000000001,0.6658559999999999,0.68,0.816,14,14,14,230,230,230,24,24,25,0.304,0.092416,0.045369,0.07075600000000001,0.213,0.266,0.914,0.835396,0.81,0.8281000000000001,0.9,0.91,DH,DH,DH,0.515527950310559,0.4,0.5679012345679012,105,11025,729,15876,27,126,UFA,23750000,23750000,23750000,19350000,23750000,8796296,19350000,23750000,19350000,70.27,4937.872899999999,27.144099999999998,3489.2649,5.21,59.07,110000000,68000000,19100000,31850000,22000000,83,24,92,3.34,11.1556,0.7744,4.3264000000000005,-0.88,2.08,9,9,9,16.983093088444924,16.983093088444924,16.983093088444924
PHI,PHI,PHI,6.1,6.1,6.1,10,11,2021,9,5,538,289444,29929,421201,173,649,148,21904,2116,29241,46,171,4,4,6,28,29,30,Philadelphia Phillies,PHI,Philadelphia Phillies,Philadelphia Phillies,25,625,121,784,11,28,145,21025,2209,32761,47,181,162,60,162,J.T. Realmuto,0.82,0.6723999999999999,0.7055999999999999,0.635209,0.84,0.797,7,7,7,210,210,210,14,14,14,0.275,0.07562500000000001,0.07075600000000001,0.06969600000000001,0.266,0.264,0.895,0.801025,0.613089,0.664225,0.783,0.815,C,C,C,0.5,0.4666666666666667,0.5061728395061729,83,6889,1024,11025,32,105,UFA,5900000,5900000,10000000,20000000,5900000,3703704,10000000,10000000,20000000,77.47,6001.6008999999995,6029.522500000001,13248.009999999998,77.65,115.1,115500000,403000000,134350000,158800000,23100000,81,28,82,4.37,19.0969,1.3923999999999999,20.884900000000002,1.18,4.57,2,2,2,15.590462908875947,15.590462908875947,15.590462908875947
HOU,NYM,SD,6.4,6.4,6.4,10,11,2021,9,1,292,85264,1089,43681,33,209,68,4624,121,2401,11,49,3,5,4,28,29,29,Houston Astros,NYM,New York Mets,San Diego Padres,10,100,4,49,2,7,120,14400,256,13225,16,115,161,60,162,Jake Marisnick,0.7,0.48999999999999994,0.919681,0.49984899999999993,0.959,0.707,3,5,2,220,220,220,13,9,6,0.233,0.054289000000000004,0.11088900000000002,0.054756000000000006,0.333,0.234,0.741,0.549081,0.071289,0.268324,0.267,0.518,CF,CF,CF,0.6583850931677019,0.4333333333333333,0.4876543209876543,34,1156,25,841,5,29,UFA,2212500,2212500,3312500,1000000,2212500,1226852,349440,3312500,1000000,24.89,619.5121,0.0,123.21,0.0,11.1,1500000,42250000,26300000,25200000,1500000,106,26,79,1.24,1.5376,0.0225,0.3364,0.15,0.58,1,2,0,14.609633655864222,14.609633655864222,14.609633655864222
CHW,CHW,NYM,6.3,6.3,6.3,10,11,2021,9,4,439,192721,9409,222784,97,472,120,14400,784,13225,28,115,3,5,9,29,30,30,Chicago White Sox,CHW,Chicago White Sox,New York Mets,18,324,49,289,7,17,119,14161,961,23104,31,152,161,60,162,James McCann,0.789,0.6225210000000001,0.8028160000000001,0.48441599999999996,0.896,0.696,6,6,5,220,220,220,9,10,9,0.273,0.07452900000000001,0.08352099999999998,0.059536,0.289,0.244,0.739,0.546121,0.267289,0.46922500000000006,0.517,0.685,C,C,C,0.4472049689440994,0.5833333333333334,0.4753086419753086,60,3600,225,3721,15,61,UFA,2500000,2500000,5400000,8000000,2500000,2000000,8150000,5400000,8150000,67.86,4604.9796,0.0,24.010000000000005,0.0,4.9,40600000,24500000,151500000,94150000,10150000,72,35,77,3.75,14.0625,1.44,0.9801,1.2,0.99,3,3,2,14.73180128983843,14.73180128983843,14.73180128983843
ARI,CHW,TOR,5.9,5.9,5.9,10,11,2021,9,1,400,160000,3721,38416,61,196,92,8464,121,1521,11,39,4,5,6,34,35,36,Arizona Diamondbacks,CHW,Chicago White Sox,Toronto Blue Jays,7,49,0,0,0,0,130,16900,1024,17956,32,134,162,60,163,Jarrod Dyson,0.633,0.400689,0.168921,0.256036,0.411,0.506,1,6,2,165,165,165,6,10,8,0.23,0.0529,0.0324,0.039601000000000004,0.18,0.199,0.803,0.6448090000000001,0.28408900000000004,0.364816,0.533,0.604,CF,CF,CF,0.5246913580246914,0.5833333333333334,0.5644171779141104,27,729,25,225,5,15,UFA,4000000,3500000,2000000,1500000,4000000,342736,298405,2000000,1500000,28.92,836.3664000000001,0.0,14.2884,0.0,3.78,1500000,11600000,151500000,186250000,1500000,85,35,92,1.45,2.1025,0.3721,0.18489999999999998,-0.61,-0.43,1,3,2,15.201804919084164,15.068273526459642,15.201804919084164
MIN,SD,HOU,6.3,6.3,6.3,10,11,2021,9,2,237,56169,6400,52441,80,229,55,3025,225,2500,15,50,4,2,5,32,33,34,Minnesota Twins,SD,San Diego Padres,Houston Astros,13,169,4,100,2,10,80,6400,729,8649,27,93,162,61,162,Jason Castro,0.767,0.5882890000000001,0.44622400000000007,0.568516,0.668,0.754,6,2,4,215,215,215,16,6,15,0.232,0.053824000000000004,0.035344,0.047524,0.188,0.218,0.494,0.244036,0.2025,0.175561,0.45,0.419,C,C,C,0.6234567901234568,0.6229508196721312,0.5864197530864198,30,900,81,900,9,30,UFA,8000000,8000000,6850000,2500000,8000000,1098114,3500000,6850000,3500000,0.0,0.0,0.0,0.0,0.0,0.0,7000000,46800000,43000000,76100000,3500000,101,38,95,0.72,0.5184,0.0004,1.0201,-0.02,1.01,3,0,1,15.89495209964411,15.89495209964411,15.89495209964411
CHC,CHC,CHC,6.5,6.5,6.5,10,11,2016,9,8,513,263169,21609,220900,147,470,129,16641,1521,11664,39,108,5,4,10,29,30,31,Chicago Cubs,STL,Chicago Cubs,Chicago Cubs,21,441,36,196,6,14,148,21904,2500,23716,50,154,162,58,162,Jason Heyward,0.772,0.5959840000000001,0.719104,0.48860099999999995,0.848,0.699,17,17,17,240,240,240,20,21,21,0.252,0.063504,0.07022500000000001,0.0529,0.265,0.23,0.914,0.835396,0.693889,0.48163599999999995,0.833,0.694,RF,RF,RF,0.5185185185185185,0.5517241379310345,0.4382716049382716,62,3844,484,2704,22,52,UFA,22500000,20000000,21000000,21000000,22500000,7777778,23500000,23500000,23500000,19.57,382.98490000000004,1986.4849,2130.7455999999997,44.57,46.16,184000000,49325000,2650000,24500000,23000000,84,32,71,1.97,3.8809,1.7424000000000002,2.8560999999999996,1.32,1.69,3,3,3,16.929025867174648,16.811242831518264,16.929025867174648
