Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
54,Joe Wendle,2B,TB,139,0.858,487,146,7,61,0.3,0.789,"$4,500,000"
55,Stephen Piscotty,RF,OAK,151,0.932,546,146,27,88,0.267,0.821,"$7,250,000"
56,Andrew McCutchen,RF,NYY,155,0.957,569,145,20,65,0.255,0.792,"$8,500,000"
57,Matt Carpenter,1B,STL,156,0.963,564,145,36,81,0.257,0.897,$0
58,Yolmer Sanchez,3B,CHW,155,0.957,600,145,8,55,0.242,0.678,$0
59,Cody Bellinger,1B,LAD,162,0.994,557,145,25,76,0.26,0.814,"$17,000,000"
60,Mike Moustakas,3B,MIL,153,0.939,573,144,28,95,0.251,0.774,"$16,000,000"
61,George Springer,CF,HOU,141,0.87,544,144,22,71,0.265,0.78,"$28,000,000"
62,Joey Votto,1B,CIN,145,0.895,503,143,12,67,0.284,0.837,"$25,000,000"
63,Asdrubal Cabrera,2B,PHI,148,0.914,546,143,23,75,0.262,0.774,$0
64,Matt Olson,1B,OAK,162,1,580,143,29,84,0.247,0.788,"$15,000,000"
65,Khris Davis,DH,OAK,151,0.932,576,142,48,123,0.247,0.874,$0
66,Mallex Smith,LF,TB,141,0.87,480,142,2,40,0.296,0.773,$0
67,Amed Rosario,SS,NYM,154,0.951,554,142,9,51,0.256,0.676,"$4,950,000"
68,Jon Jay,CF,ARI,143,0.883,527,141,3,40,0.268,0.678,$0
69,Trey Mancini,LF,BAL,156,0.963,582,141,24,58,0.242,0.715,"$7,500,000"
70,Odubel Herrera,CF,PHI,148,0.914,550,140,22,71,0.255,0.73,"$1,750,000"
71,Ben Zobrist,2B,CHC,140,0.859,455,139,9,58,0.306,0.817,$0
72,Justin Upton,LF,LAA,146,0.901,533,137,30,85,0.257,0.808,$0
73,Joe Mauer,1B,MIN,127,0.784,486,137,6,48,0.282,0.729,$0
74,Bryce Harper,CF,WSH,160,0.988,550,137,34,100,0.249,0.889,"$26,000,000"
75,Rhys Hoskins,LF,PHI,153,0.944,558,137,34,96,0.246,0.85,"$7,700,000"
76,Chris Taylor,SS,LAD,155,0.951,536,136,17,63,0.254,0.775,"$15,000,000"
77,Tommy Pham,CF,TB,139,0.858,494,136,21,63,0.275,0.83,"$6,000,000"
78,Yoan Moncada,2B,CHW,149,0.92,578,136,17,61,0.235,0.714,"$14,000,000"
79,Tim Anderson,SS,CHW,153,0.944,567,136,20,64,0.24,0.687,"$9,500,000"
80,Brandon Crawford,SS,SF,151,0.932,531,135,14,54,0.254,0.719,"$16,000,000"
81,Didi Gregorius,SS,NYY,134,0.827,504,135,27,86,0.268,0.829,"$14,500,000"
82,Jesus Aguilar,1B,MIL,149,0.914,492,135,35,108,0.274,0.89,"$7,300,000"
83,Ketel Marte,2B,ARI,153,0.944,520,135,14,59,0.26,0.768,"$11,000,000"
84,Matt Kemp,RF,LAD,146,0.896,462,134,21,85,0.29,0.818,$0
85,Nelson Cruz,DH,SEA,146,0.901,519,133,37,97,0.256,0.85,"$12,000,000"
86,Jurickson Profar,SS,TEX,146,0.901,524,133,20,77,0.254,0.792,"$8,000,000"
87,Derek Dietrich,LF,MIA,149,0.926,499,132,16,45,0.265,0.751,$0
88,Jose Abreu,1B,CHW,128,0.79,499,132,22,78,0.265,0.798,"$14,000,000"
89,J.T. Realmuto,C,MIA,126,0.783,477,132,21,74,0.277,0.825,"$23,875,000"
90,Michael Conforto,RF,NYM,153,0.944,543,132,28,82,0.243,0.797,$0
91,Ian Desmond,1B,COL,160,0.982,555,131,22,88,0.236,0.729,$0
92,Josh Bell,1B,PIT,148,0.919,501,131,12,62,0.262,0.768,"$10,000,000"
93,Kyle Seager,3B,SEA,156,0.963,583,129,22,78,0.221,0.673,$0
94,Kevin Pillar,CF,TOR,142,0.877,512,129,15,59,0.252,0.708,$0
95,Carlos Gonzalez,RF,COL,133,0.816,463,128,16,64,0.277,0.796,$0
96,Carlos Santana,1B,PHI,161,0.994,560,128,24,86,0.229,0.766,"$10,500,000"
97,Eduardo Nunez,2B,BOS,127,0.784,480,127,10,44,0.265,0.677,$0
98,Albert Almora,CF,CHC,153,0.939,444,127,5,41,0.286,0.701,$0
99,C.J. Cron,DH,TB,140,0.864,501,127,30,74,0.254,0.816,"$7,250,000"
100,Ronald Acuna Jr.,LF,ATL,111,0.685,433,127,26,64,0.293,0.917,"$15,000,000"
101,Nomar Mazara,RF,TEX,130,0.803,489,126,20,77,0.258,0.753,$0
102,Johan Camargo,3B,ATL,135,0.833,464,126,19,76,0.272,0.806,"$1,400,000"
103,Brett Gardner,LF,NYY,140,0.864,530,125,12,45,0.236,0.69,$0
104,Alex Gordon,LF,KC,142,0.877,506,124,13,54,0.245,0.694,$0
105,Miguel Rojas,SS,MIA,154,0.957,488,123,11,53,0.252,0.643,"$5,500,000"
106,Justin Smoak,1B,TOR,147,0.907,505,122,25,77,0.242,0.808,$0
107,Marwin Gonzalez,LF,HOU,145,0.895,489,121,16,68,0.247,0.733,"$1,150,000"
108,Nick Ahmed,SS,ARI,153,0.944,516,121,16,70,0.235,0.7,"$8,250,000"
109,Jonathan Villar,SS,BAL,141,0.87,466,121,14,46,0.26,0.709,"$4,500,000"
110,Jeimer Candelario,3B,DET,144,0.889,539,121,19,54,0.225,0.71,"$5,800,000"
111,Juan Soto,LF,WSH,116,0.716,414,121,22,70,0.292,0.923,"$17,100,000"
112,Yadier Molina,C,STL,124,0.765,459,120,20,74,0.261,0.75,"$10,000,000"
113,Salvador Perez,C,KC,129,0.796,510,120,27,80,0.235,0.713,"$18,000,000"
114,Travis Shaw,3B,MIL,152,0.933,498,120,32,86,0.241,0.825,"$1,500,000"
115,Rougned Odor,2B,TEX,130,0.803,474,120,18,63,0.253,0.751,"$700,000"
116,Jason Heyward,RF,CHC,128,0.785,440,119,8,57,0.271,0.731,"$22,000,000"
117,Brian Dozier,2B,LAD,151,0.926,553,119,21,72,0.215,0.696,$0
118,Aaron Hicks,CF,NYY,138,0.852,480,119,27,79,0.248,0.833,"$10,500,000"
119,Billy Hamilton,CF,CIN,153,0.944,504,119,4,29,0.236,0.626,$0
120,Max Kepler,CF,MIN,156,0.963,532,119,20,58,0.224,0.727,"$6,750,000"
121,Adrian Beltre,3B,TEX,120,0.741,433,118,15,65,0.273,0.763,$0
122,Willson Contreras,C,CHC,138,0.847,474,118,10,54,0.249,0.73,"$7,500,000"
123,Victor Martinez,DH,DET,133,0.821,467,117,9,54,0.251,0.651,$0
124,Evan Longoria,3B,SF,126,0.778,480,117,16,54,0.244,0.694,"$14,500,000"
125,Ian Kinsler,2B,BOS,128,0.79,487,117,14,48,0.24,0.681,$0
126,Wilson Ramos,C,PHI,111,0.685,382,117,15,70,0.306,0.845,$0
127,Gregory Polanco,RF,PIT,131,0.814,461,117,23,81,0.254,0.839,$0
128,Maikel Franco,3B,PHI,131,0.809,433,117,22,68,0.27,0.78,"$1,000,000"
129,Manuel Margot,CF,SD,141,0.87,477,117,8,51,0.245,0.675,"$5,600,000"
130,Gleyber Torres,SS,NYY,124,0.765,431,117,24,77,0.272,0.82,"$6,250,000"
131,Jose Iglesias,SS,DET,125,0.772,432,116,5,48,0.269,0.699,"$5,000,000"
132,Ryon Healy,1B,SEA,134,0.827,493,116,24,73,0.235,0.688,$0
133,Aaron Judge,RF,NYY,112,0.691,413,115,27,67,0.279,0.919,"$17,000,000"
134,Colin Moran,3B,PIT,145,0.901,415,115,11,58,0.277,0.747,"$1,000,000"
135,Albert Pujols,DH,LAA,117,0.722,465,114,19,64,0.245,0.7,"$2,500,000"
136,Denard Span,LF,SEA,137,0.846,437,114,11,58,0.261,0.76,$0
137,Gerardo Parra,LF,COL,142,0.871,401,114,6,53,0.284,0.714,$0
138,Justin Turner,3B,LAD,103,0.632,365,114,14,52,0.312,0.924,"$16,000,000"
139,Tucker Barnhart,C,CIN,138,0.852,460,114,10,46,0.248,0.699,"$7,750,000"
140,Dansby Swanson,SS,ATL,136,0.84,478,114,14,59,0.239,0.699,"$10,100,000"
141,Brandon Nimmo,CF,NYM,141,0.87,433,114,17,47,0.263,0.886,"$7,000,000"
142,Teoscar Hernandez,LF,TOR,136,0.84,476,114,22,57,0.24,0.771,"$10,650,000"
143,Buster Posey,C,SF,106,0.654,398,113,5,41,0.284,0.741,$0
144,Alcides Escobar,SS,KC,140,0.864,485,112,4,34,0.231,0.593,"$1,000,000"
145,Jackie Bradley Jr.,CF,BOS,144,0.889,474,111,13,59,0.234,0.717,"$9,500,000"
146,Aledmys Diaz,SS,TOR,130,0.803,422,111,18,55,0.263,0.756,"$4,450,000"
147,Jonathan Schoop,2B,MIL,132,0.81,473,110,21,61,0.233,0.682,"$7,500,000"
148,Jose Pirela,2B,SD,146,0.901,438,109,5,32,0.249,0.645,$0
149,Niko Goodrum,2B,DET,131,0.809,444,109,16,53,0.246,0.747,"$2,100,000"
150,Yasiel Puig,RF,LAD,126,0.773,405,108,23,63,0.267,0.82,$0
151,Robbie Grossman,DH,MIN,129,0.796,396,108,5,48,0.273,0.751,"$5,000,000"
152,Rafael Devers,3B,BOS,121,0.747,450,108,21,66,0.24,0.731,"$11,200,000"
153,Yasmani Grandal,C,LAD,141,0.865,440,106,24,68,0.241,0.815,"$18,250,000"
154,A.J. Pollock,CF,ARI,113,0.698,413,106,21,65,0.257,0.8,"$10,000,000"
155,Kris Bryant,3B,CHC,102,0.626,389,106,13,52,0.273,0.834,"$24,000,000"
156,Yangervis Solarte,3B,TOR,122,0.753,468,106,17,54,0.227,0.655,$0
157,Josh Reddick,RF,HOU,135,0.833,433,105,17,47,0.243,0.718,$0
158,Addison Russell,SS,CHC,131,0.804,420,105,5,38,0.25,0.657,$0
159,Paul DeJong,SS,STL,115,0.71,436,105,19,68,0.241,0.746,"$6,000,000"
160,Randal Grichuk,CF,TOR,124,0.765,424,104,25,61,0.245,0.803,"$3,950,000"
161,Max Muncy,2B,LAD,137,0.841,395,104,35,79,0.263,0.973,"$11,500,000"
162,Nick Williams,RF,PHI,140,0.864,407,104,17,50,0.256,0.749,$0
163,Ryan Braun,LF,MIL,126,0.773,405,103,20,64,0.254,0.782,$0
164,Kendrys Morales,DH,TOR,130,0.803,413,103,21,57,0.249,0.769,$0
165,Wilmer Flores,1B,NYM,126,0.778,386,103,11,51,0.267,0.736,"$3,500,000"
166,Enrique Hernandez,LF,LAD,145,0.89,402,103,21,52,0.256,0.806,"$7,000,000"
167,Joey Gallo,LF,TEX,150,0.926,500,103,40,92,0.206,0.81,"$10,275,000"
168,Kole Calhoun,RF,LAA,137,0.846,491,102,19,57,0.208,0.652,"$5,200,000"
169,Kyle Schwarber,LF,CHC,137,0.841,428,102,26,61,0.238,0.823,"$19,000,000"
170,Scott Kingery,SS,PHI,147,0.907,452,102,8,35,0.226,0.605,$0
171,Elvis Andrus,SS,TEX,97,0.599,395,101,6,33,0.256,0.675,"$6,750,000"
172,Brandon Belt,1B,SF,112,0.691,399,101,14,46,0.253,0.756,"$18,400,000"
173,Adam Engel,CF,CHW,144,0.889,429,101,6,29,0.235,0.614,"$2,000,000"
174,Jonathan Lucroy,C,OAK,126,0.778,415,100,4,51,0.241,0.617,$0
175,Harrison Bader,RF,STL,138,0.852,379,100,12,37,0.264,0.756,"$5,700,000"
176,Hunter Renfroe,RF,SD,117,0.722,403,100,26,68,0.248,0.805,"$7,650,000"
177,Daniel Palka,LF,CHW,124,0.765,417,100,27,67,0.24,0.778,$0
178,Mitch Moreland,1B,BOS,125,0.772,404,99,15,68,0.245,0.758,$0
179,Jordy Mercer,SS,PIT,118,0.733,394,99,6,39,0.251,0.696,$0
180,Matt Davidson,DH,CHW,128,0.79,434,99,20,62,0.228,0.738,$0
181,Daniel Murphy,2B,CHC,92,0.564,328,98,12,42,0.299,0.79,$0
182,Joc Pederson,LF,LAD,148,0.908,395,98,25,56,0.248,0.843,"$6,000,000"
183,Gorkys Hernandez,LF,SF,142,0.877,414,97,15,40,0.234,0.676,$0
184,Scott Schebler,RF,CIN,107,0.661,380,97,17,49,0.255,0.777,$0
185,Adam Eaton,RF,WSH,96,0.593,319,96,5,33,0.301,0.808,$0
186,Carlos Correa,SS,HOU,111,0.685,402,96,15,65,0.239,0.728,"$35,100,000"
187,Justin Bour,1B,PHI,141,0.87,423,96,20,59,0.227,0.746,$0
188,Robinson Cano,2B,SEA,80,0.494,310,94,10,50,0.303,0.845,"$20,250,000"
189,Kurt Suzuki,C,ATL,105,0.648,347,94,12,50,0.271,0.776,"$1,750,000"
190,James McCann,C,DET,118,0.728,427,94,8,39,0.22,0.581,"$8,000,000"
191,Wilmer Difo,SS,WSH,148,0.914,408,94,7,42,0.23,0.649,$0
192,Isiah Kiner-Falefa,3B,TEX,111,0.685,356,93,4,34,0.261,0.684,"$4,700,000"
193,Shohei Ohtani,DH,LAA,114,0.704,326,93,22,61,0.285,0.925,"$5,500,000"
194,Evan Gattis,C,HOU,128,0.79,407,92,25,78,0.226,0.736,$0
195,Jedd Gyorko,3B,STL,125,0.772,351,92,11,47,0.262,0.762,$0
196,Joe Panik,2B,SF,103,0.636,358,91,4,24,0.254,0.639,$0
197,Mark Canha,LF,OAK,123,0.759,365,91,17,52,0.249,0.778,"$14,000,000"
198,Ronald Guzman,1B,TEX,123,0.759,387,91,16,58,0.235,0.722,$0
199,Jorge Alfaro,C,PHI,108,0.667,344,90,10,37,0.262,0.731,"$2,725,000"
200,Ian Happ,CF,CHC,142,0.871,387,90,15,44,0.233,0.761,"$6,850,000"
201,Travis Jankowski,RF,SD,118,0.728,347,90,4,17,0.259,0.678,"$1,250,000"
202,Brock Holt,2B,BOS,109,0.673,321,89,7,46,0.277,0.774,$0
203,Jacoby Jones,CF,DET,129,0.796,429,89,11,34,0.208,0.63,$0
204,Kolten Wong,2B,STL,127,0.784,353,88,9,38,0.249,0.72,"$8,000,000"
205,Adam Frazier,2B,PIT,113,0.702,318,88,10,35,0.277,0.798,"$7,500,000"
206,Todd Frazier,3B,NYM,115,0.71,408,87,18,59,0.213,0.695,$0
207,Jorge Polanco,SS,MIN,77,0.475,302,87,6,42,0.288,0.773,"$5,500,000"
208,Francisco Cervelli,C,PIT,106,0.658,332,86,12,57,0.259,0.809,$0
209,Mark Trumbo,DH,BAL,90,0.556,330,86,17,44,0.261,0.764,$0
210,Josh Harrison,2B,PIT,98,0.609,344,86,8,37,0.25,0.656,"$4,000,000"
211,Logan Forsythe,2B,MIN,120,0.741,371,86,2,27,0.232,0.604,$0
212,Cameron Maybin,CF,SEA,129,0.796,342,85,4,28,0.249,0.662,$0
213,Austin Jackson,CF,NYM,116,0.716,347,85,3,32,0.245,0.624,$0
214,Tim Beckham,SS,BAL,96,0.593,369,85,12,35,0.23,0.661,$0
215,Martin Maldonado,C,HOU,119,0.735,373,84,9,44,0.225,0.627,"$5,000,000"
216,Ehire Adrianza,SS,MIN,115,0.71,335,84,6,39,0.251,0.68,"$1,500,000"
217,Avisail Garcia,RF,CHW,93,0.574,356,84,19,49,0.236,0.719,"$12,000,000"
218,Jesse Winker,RF,CIN,90,0.556,281,84,7,43,0.299,0.836,"$7,000,000"
219,Curtis Granderson,RF,MIL,123,0.755,343,83,13,38,0.242,0.782,$0
220,Daniel Descalso,3B,ARI,138,0.852,349,83,13,57,0.238,0.789,$0
221,David Freese,3B,LAD,113,0.693,280,83,11,51,0.296,0.83,$0
222,Christian Villanueva,3B,SD,111,0.685,351,83,20,46,0.237,0.75,$0
223,Devon Travis,2B,TOR,104,0.642,357,83,11,44,0.233,0.656,$0
224,Hunter Dozier,1B,KC,104,0.642,362,83,11,34,0.229,0.673,"$4,500,000"
225,Orlando Arcia,SS,MIL,119,0.73,348,82,3,30,0.236,0.576,"$1,600,000"
226,Mitch Garver,C,MIN,103,0.636,302,81,7,45,0.268,0.749,"$3,335,000"
227,Yairo Munoz,SS,STL,108,0.667,293,81,8,42,0.277,0.763,$0
228,Robinson Chirinos,C,TEX,114,0.704,360,80,18,65,0.222,0.757,"$900,000"
229,Hernan Perez,2B,MIL,132,0.81,316,80,9,29,0.253,0.676,$0
230,Charlie Culberson,3B,ATL,113,0.698,296,80,12,45,0.27,0.792,"$1,000,000"
231,Wil Myers,LF,SD,84,0.519,312,80,11,39,0.256,0.776,"$20,000,000"
232,Michael Taylor,CF,WSH,134,0.827,353,80,6,28,0.227,0.644,"$4,500,000"
233,Willy Adames,SS,TB,86,0.531,288,80,10,34,0.278,0.754,"$4,600,000"
234,Chris Davis,1B,BAL,129,0.796,470,79,16,49,0.168,0.539,$0
235,Lucas Duda,1B,ATL,108,0.667,328,79,14,50,0.241,0.731,$0
236,David Fletcher,SS,LAA,80,0.494,284,78,1,25,0.275,0.678,"$4,000,000"
237,Manuel Pina,C,MIL,98,0.601,306,77,9,28,0.252,0.702,"$3,500,000"
238,Omar Narvaez,C,CHW,97,0.599,280,77,9,30,0.275,0.794,"$5,000,000"
239,Chad Pinder,LF,OAK,110,0.679,298,77,13,27,0.258,0.769,"$2,725,000"
240,Ryan Zimmerman,1B,WSH,86,0.531,288,76,13,51,0.264,0.824,$0
241,Neil Walker,2B,NYY,113,0.698,347,76,11,46,0.219,0.664,$0
242,Adalberto Mondesi,SS,KC,75,0.463,275,76,14,37,0.276,0.804,"$3,000,000"
243,Jake Cave,RF,MIN,91,0.562,283,76,13,45,0.269,0.797,$0
244,Lewis Brinson,CF,MIA,109,0.677,382,76,11,42,0.199,0.577,$0
245,Carlos Gomez,RF,TB,118,0.728,360,75,9,32,0.208,0.634,$0
246,Mike Zunino,C,SEA,114,0.704,373,75,20,44,0.201,0.669,"$7,000,000"
247,Adam Duvall,LF,ATL,138,0.852,384,75,15,61,0.195,0.639,"$9,500,000"
248,John Hicks,1B,DET,81,0.5,288,75,9,32,0.26,0.715,$0
249,Alen Hanson,2B,SF,110,0.679,294,74,8,39,0.252,0.699,$0
250,Daniel Robertson,SS,TB,88,0.543,282,74,9,34,0.262,0.797,$0
251,Jeff McNeil,3B,NYM,63,0.389,225,74,3,19,0.329,0.852,"$3,000,000"
252,Adeiny Hechavarria,SS,NYY,94,0.58,296,73,6,31,0.247,0.624,$0
253,Matt Adams,1B,STL,121,0.747,306,73,21,57,0.239,0.786,$0
254,Franmil Reyes,RF,SD,87,0.537,261,73,16,31,0.28,0.838,"$4,550,000"
255,Delino DeShields,CF,TEX,107,0.661,334,72,2,22,0.216,0.591,$0
256,Kevin Kiermaier,CF,TB,89,0.549,332,72,7,29,0.217,0.653,"$12,000,000"
257,Elias Diaz,C,PIT,82,0.509,252,72,10,34,0.286,0.792,"$3,000,000"
258,Jay Bruce,RF,NYM,95,0.586,319,71,9,37,0.223,0.68,$0
259,J.T. Riddle,SS,MIA,104,0.646,308,71,9,36,0.231,0.653,$0
260,Leury Garcia,RF,CHW,82,0.506,258,70,4,32,0.271,0.679,"$5,500,000"
261,Cory Spangenberg,2B,SD,116,0.716,298,70,7,25,0.235,0.661,$0
262,Austin Hedges,C,SD,92,0.568,303,70,14,37,0.231,0.711,"$4,000,000"
263,Ben Gamel,LF,SEA,102,0.63,257,70,1,19,0.272,0.728,"$1,800,000"
264,Lourdes Gurriel Jr.,2B,TOR,65,0.401,249,70,11,35,0.281,0.755,"$4,500,000"
265,Guillermo Heredia,CF,SEA,125,0.772,292,69,5,19,0.236,0.661,"$1,000,000"
266,Nick Hundley,C,SF,96,0.593,282,68,10,31,0.241,0.706,$0
267,David Dahl,OF,COL,77,0.472,249,68,16,48,0.273,0.859,$0
268,Chris Iannetta,C,COL,110,0.675,299,67,11,36,0.224,0.73,$0
269,Tony Kemp,LF,HOU,97,0.599,255,67,6,30,0.263,0.743,"$2,250,000"
270,Jose Bautista,RF,PHI,122,0.753,325,66,13,48,0.203,0.727,$0
271,Rosell Herrera,SS,KC,86,0.531,278,65,1,20,0.234,0.602,$0
272,Jake Bauers,1B,TB,96,0.593,323,65,11,48,0.201,0.7,$0
273,Steven Pearce,LF,BOS,77,0.475,215,61,11,42,0.284,0.89,$0
274,Renato Nunez,LF,BAL,73,0.451,236,61,8,22,0.259,0.741,$0
275,Nicky Delmonico,LF,CHW,90,0.556,284,61,8,25,0.215,0.669,$0
276,Gary Sanchez,C,NYY,89,0.549,323,60,18,53,0.186,0.697,"$7,500,000"
277,Logan Morrison,DH,MIN,95,0.586,318,59,15,39,0.186,0.644,$0
278,Austin Romine,C,NYY,78,0.482,242,59,10,42,0.244,0.713,$0
279,Jorge Soler,LF,KC,61,0.377,223,59,9,28,0.265,0.82,"$12,000,000"
280,Caleb Joseph,C,BAL,84,0.519,265,58,3,17,0.219,0.575,$0
281,Chris Owings,RF,ARI,106,0.654,281,58,4,22,0.206,0.574,"$700,000"
282,Tyler White,DH,HOU,66,0.407,210,58,12,42,0.276,0.888,$0
283,Pablo Sandoval,3B,SF,92,0.568,230,57,9,40,0.248,0.727,$0
284,Tyler Flowers,C,ATL,82,0.506,251,57,8,30,0.227,0.7,$0
285,Russell Martin,C,TOR,90,0.556,289,56,10,25,0.194,0.663,$0
286,Matt Wieters,C,WSH,76,0.469,235,56,8,30,0.238,0.704,$0
287,Domingo Santana,RF,MIL,85,0.522,211,56,5,20,0.265,0.74,$0
288,Tyler Austin,1B,MIN,69,0.426,244,56,17,47,0.23,0.767,$0
289,Phillip Ervin,CF,CIN,78,0.482,218,55,7,31,0.252,0.728,$0
290,Eric Thames,1B,MIL,96,0.589,247,54,16,37,0.219,0.783,$0
291,Devin Mesoraco,C,NYM,85,0.525,244,54,11,33,0.221,0.7,$0
292,Greg Bird,1B,NYY,82,0.506,272,54,11,38,0.199,0.672,$0
293,Hunter Pence,RF,SF,97,0.599,235,53,4,24,0.226,0.59,$0
294,Jorge Bonifacio,RF,KC,70,0.432,236,53,4,23,0.225,0.672,$0
295,Steven Souza,RF,ARI,72,0.444,241,53,5,29,0.22,0.678,$0
296,Miguel Sano,3B,MIN,71,0.438,266,53,13,41,0.199,0.679,"$9,250,000"
297,Dexter Fowler,CF,STL,90,0.556,289,52,8,31,0.18,0.576,$0
298,Christian Vazquez,C,BOS,80,0.494,251,52,3,16,0.207,0.54,"$7,000,000"
299,Joey Rickard,LF,BAL,79,0.488,213,52,8,23,0.244,0.713,$0
300,Mark Reynolds,3B,WSH,86,0.531,206,51,13,40,0.248,0.803,$0
301,Austin Meadows,CF,TB,59,0.364,178,51,6,17,0.287,0.785,"$4,000,000"
302,Kevan Smith,C,CHW,52,0.321,171,50,3,21,0.292,0.728,$0
303,Max Stassi,C,HOU,88,0.543,221,50,8,27,0.226,0.71,"$3,000,000"
304,Ji-Man Choi,1B,TB,61,0.377,190,50,10,32,0.263,0.863,"$3,200,000"
