Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
294,Andrew McCutchen,RF,PHI,59,0.364,219,56,10,29,0.256,0.834,"$8,500,000"
295,Ronald Guzman,1B,TEX,87,0.537,256,56,10,36,0.219,0.723,$0
296,Chris Davis,1B,BAL,106,0.654,307,55,12,36,0.179,0.601,$0
297,Jason Castro,C,MIN,80,0.494,237,55,13,30,0.232,0.767,"$3,250,000"
298,Ehire Adrianza,SS,MIN,84,0.519,202,55,5,22,0.272,0.765,"$1,500,000"
299,Juan Lagares,CF,NYM,133,0.821,258,55,5,27,0.213,0.605,$0
300,Joe Wendle,2B,TB,75,0.463,238,55,3,19,0.231,0.633,"$4,500,000"
301,Austin Hedges,C,SD,103,0.636,312,55,11,36,0.176,0.563,"$4,000,000"
302,Adam Engel,CF,CHW,89,0.553,227,55,6,26,0.242,0.687,"$2,000,000"
303,Mitch Haniger,RF,SEA,64,0.395,246,54,15,32,0.22,0.778,"$7,750,000"
304,Johan Camargo,3B,ATL,98,0.605,232,54,7,32,0.233,0.663,"$1,400,000"
305,Ildemaro Vargas,2B,ARI,93,0.574,201,54,6,24,0.269,0.712,$0
306,Josh VanMeter,2B,CIN,96,0.593,228,54,8,23,0.237,0.735,"$700,000"
307,Billy McKinney,OF,TOR,84,0.519,251,54,12,28,0.215,0.696,"$1,000,000"
308,Hernan Perez,2B,MIL,91,0.562,232,53,8,18,0.228,0.643,$0
309,Aristides Aquino,RF,CIN,56,0.346,205,53,19,47,0.259,0.891,"$700,000"
310,Tim Locastro,SS,ARI,91,0.562,212,53,1,17,0.25,0.697,$0
311,Aaron Hicks,CF,NYY,59,0.364,221,52,12,36,0.235,0.769,"$10,500,000"
312,Curt Casali,C,CIN,84,0.519,207,52,8,32,0.251,0.741,"$2,600,000"
313,Tony Kemp,LF,CHC,110,0.679,245,52,8,29,0.212,0.671,"$2,250,000"
314,David Freese,1B,LAD,80,0.494,162,51,11,29,0.315,1.002,$0
315,Addison Russell,SS,CHC,82,0.506,215,51,9,23,0.237,0.699,$0
316,Willians Astudillo,C,MIN,58,0.358,190,51,4,21,0.268,0.678,$0
317,Jake Cave,RF,MIN,72,0.444,198,51,8,25,0.258,0.805,$0
318,Dylan Moore,SS,SEA,113,0.698,247,51,9,28,0.207,0.691,"$1,350,000"
319,Tyler White,1B,LAD,83,0.512,240,50,3,23,0.208,0.612,$0
320,Jacob Stallings,C,PIT,73,0.451,191,50,6,13,0.262,0.708,"$2,600,000"
321,Dominic Smith,1B,NYM,90,0.556,177,50,11,25,0.283,0.881,"$3,950,000"
322,Adeiny Hechavarria,SS,ATL,84,0.519,203,49,9,33,0.241,0.742,$0
323,Ender Inciarte,CF,ATL,65,0.401,199,49,5,24,0.246,0.74,$0
324,Gordon Beckham,2B,DET,83,0.516,223,48,6,15,0.215,0.643,$0
325,Welington Castillo,C,CHW,74,0.46,230,48,12,41,0.209,0.684,$0
326,Kevan Smith,C,LAA,68,0.42,191,48,5,20,0.251,0.71,$0
327,Alex Dickerson,LF,SF,70,0.432,174,48,6,28,0.276,0.82,"$1,000,000"
328,Ryan Cordell,LF,CHW,97,0.603,217,48,7,24,0.221,0.645,$0
329,Isiah Kiner-Falefa,C,TEX,65,0.401,202,48,1,21,0.238,0.62,"$4,700,000"
330,Luis Urias,SS,SD,71,0.438,215,48,4,24,0.223,0.655,"$700,000"
331,Justin Upton,LF,LAA,63,0.389,219,47,12,40,0.215,0.724,$0
