Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
120,Colin Moran,3B,PIT,52,0.867,178,44,10,23,0.247,0.797,"$1,000,000"
121,Austin Nola,C,SD,48,0.8,161,44,7,28,0.273,0.825,"$700,000"
122,Eduardo Escobar,3B,ARI,54,0.9,203,43,4,20,0.212,0.605,"$10,000,000"
123,Kole Calhoun,RF,ARI,54,0.9,190,43,16,40,0.226,0.864,"$5,200,000"
124,Avisail Garcia,LF,MIL,53,0.883,181,43,2,15,0.238,0.659,"$12,000,000"
125,Jonathan Villar,CF,TOR,52,0.867,185,43,2,15,0.232,0.593,"$4,500,000"
126,Mauricio Dubon,2B,SF,54,0.9,157,43,4,19,0.274,0.726,"$700,000"
127,Ty France,3B,SEA,43,0.717,141,43,4,23,0.305,0.836,"$700,000"
128,Joey Votto,1B,CIN,54,0.9,186,42,11,22,0.226,0.8,"$25,000,000"
129,Jose Altuve,2B,HOU,48,0.8,192,42,5,18,0.219,0.629,"$26,000,000"
130,Ryan Mountcastle,SS,BAL,35,0.583,126,42,5,23,0.333,0.878,"$700,000"
131,Eric Hosmer,1B,SD,40,0.667,143,41,9,36,0.287,0.851,"$20,000,000"
132,Erik Gonzalez,2B,PIT,50,0.833,181,41,3,20,0.227,0.614,$0
133,Christian Yelich,LF,MIL,58,0.967,200,41,12,22,0.205,0.786,"$22,000,000"
134,Matt Olson,1B,OAK,60,1,210,41,14,42,0.195,0.734,"$15,000,000"
135,Rio Ruiz,3B,BAL,54,0.9,185,41,9,32,0.222,0.713,$0
136,Robbie Grossman,OF,OAK,51,0.85,166,40,8,23,0.241,0.826,"$5,000,000"
137,Eugenio Suarez,3B,CIN,57,0.95,198,40,15,38,0.202,0.781,"$11,000,000"
138,Pedro Severino,C,BAL,48,0.8,160,40,5,21,0.25,0.71,$0
139,Anthony Santander,LF,BAL,37,0.617,153,40,11,32,0.261,0.89,"$3,150,000"
140,Ronald Acuna Jr.,RF,ATL,46,0.767,160,40,14,29,0.25,0.987,"$15,000,000"
141,Jason Heyward,RF,CHC,50,0.833,147,39,6,22,0.265,0.848,"$22,000,000"
142,Travis Shaw,1B,TOR,50,0.833,163,39,6,17,0.239,0.717,"$1,500,000"
143,Max Kepler,RF,MIN,48,0.8,171,39,9,23,0.228,0.76,"$6,750,000"
144,Max Muncy,1B,LAD,58,0.967,203,39,12,27,0.192,0.72,"$11,500,000"
145,Manuel Margot,CF,TB,47,0.783,145,39,1,11,0.269,0.679,"$5,600,000"
146,Garrett Hampson,2B,COL,53,0.883,167,39,5,11,0.234,0.671,"$1,862,500"
147,Pat Valaika,SS,BAL,52,0.867,141,39,8,16,0.277,0.791,$0
148,Ramon Laureano,OF,OAK,54,0.9,183,39,6,25,0.213,0.704,"$2,450,000"
149,Yadier Molina,C,STL,42,0.724,145,38,4,16,0.262,0.662,"$10,000,000"
150,Aaron Hicks,CF,NYY,54,0.9,169,38,6,21,0.225,0.793,"$10,500,000"
151,Miguel Rojas,SS,MIA,40,0.667,125,38,4,20,0.304,0.888,"$5,500,000"
152,Miguel Sano,1B,MIN,53,0.883,186,38,13,25,0.204,0.757,"$9,250,000"
153,Paul DeJong,SS,STL,45,0.776,152,38,3,25,0.25,0.671,"$6,000,000"
154,Jesse Winker,LF,CIN,54,0.9,149,38,12,23,0.255,0.932,"$7,000,000"
155,Cedric Mullins,CF,BAL,48,0.8,140,38,3,12,0.271,0.723,"$700,000"
156,Shogo Akiyama,CF,CIN,54,0.9,155,38,0,9,0.245,0.654,$0
157,Todd Frazier,3B,NYM,45,0.75,157,37,4,12,0.236,0.684,$0
158,Yasmani Grandal,C,CHW,46,0.767,161,37,8,27,0.23,0.773,"$18,250,000"
159,Marwin Gonzalez,3B,MIN,53,0.883,175,37,5,22,0.211,0.606,"$1,150,000"
160,Alex Bregman,3B,HOU,42,0.7,153,37,6,22,0.242,0.801,"$11,000,000"
161,Bo Bichette,SS,TOR,30,0.5,123,37,5,23,0.301,0.84,"$723,550"
162,Luis Garcia,SS,WSH,40,0.667,134,37,2,16,0.276,0.668,$0
163,Victor Robles,CF,WSH,52,0.867,168,37,3,15,0.22,0.608,"$1,650,000"
164,Rhys Hoskins,1B,PHI,41,0.683,151,37,10,26,0.245,0.887,"$7,700,000"
165,Ryan McMahon,2B,COL,52,0.867,172,37,9,26,0.215,0.714,"$5,000,000"
166,Mitch Moreland,1B,SD,42,0.7,136,36,10,29,0.265,0.894,$0
167,Adam Eaton,RF,WSH,41,0.683,159,36,4,17,0.226,0.669,$0
168,Kyle Schwarber,LF,CHC,59,0.983,191,36,11,24,0.189,0.701,"$19,000,000"
169,Stephen Piscotty,RF,OAK,45,0.75,159,36,5,29,0.226,0.629,"$7,250,000"
170,Hunter Dozier,RF,KC,44,0.733,158,36,6,12,0.228,0.736,"$4,500,000"
171,Amed Rosario,SS,NYM,46,0.767,143,36,4,15,0.252,0.643,"$4,950,000"
172,Luis Arraez,2B,MIN,32,0.533,112,36,0,13,0.321,0.765,"$2,000,000"
173,Andrelton Simmons,SS,LAA,30,0.5,118,35,0,10,0.297,0.702,"$4,000,000"
174,Joey Gallo,RF,TEX,57,0.95,193,35,10,26,0.181,0.679,"$10,275,000"
175,Kevin Newman,SS,PIT,44,0.733,156,35,1,10,0.224,0.556,"$1,950,000"
176,Bryan Reynolds,CF,PIT,55,0.917,185,35,7,19,0.189,0.632,"$6,750,000"
177,Yandy Diaz,3B,TB,34,0.567,114,35,2,11,0.307,0.814,"$2,800,000"
178,Clint Frazier,OF,NYY,39,0.65,131,35,8,26,0.267,0.905,"$1,500,000"
179,Nick Madrigal,SS,CHW,29,0.483,103,35,0,11,0.34,0.745,"$700,000"
180,Dylan Moore,SS,SEA,38,0.633,137,35,8,17,0.256,0.855,"$1,350,000"
181,Alex Gordon,LF,KC,50,0.833,163,34,4,11,0.209,0.606,$0
182,Albert Pujols,1B,LAA,39,0.65,152,34,6,25,0.224,0.665,"$2,500,000"
183,Wilson Ramos,C,NYM,45,0.75,142,34,5,15,0.239,0.684,$0
184,Jorge Soler,DH,KC,43,0.717,149,34,8,24,0.228,0.769,"$12,000,000"
185,Nicholas Lopez,2B,KC,56,0.933,169,34,1,13,0.201,0.552,"$2,000,000"
186,Austin Hays,CF,BAL,33,0.55,122,34,4,9,0.279,0.722,"$700,000"
187,Garrett Cooper,1B,MIA,34,0.567,120,34,6,20,0.283,0.853,"$2,500,000"
188,Timmy Lopes,2B,SEA,46,0.767,143,34,2,15,0.238,0.642,$0
189,Nick Markakis,RF,ATL,37,0.617,130,33,1,15,0.254,0.704,$0
190,Brad Miller,2B,STL,48,0.828,142,33,7,25,0.232,0.807,"$6,000,000"
191,Byron Buxton,CF,MIN,39,0.65,130,33,13,27,0.254,0.844,"$10,000,000"
192,Matt Chapman,3B,OAK,37,0.617,142,33,10,25,0.232,0.812,"$13,000,000"
193,Will Smith,C,LAD,37,0.617,114,33,8,25,0.29,0.98,"$700,000"
194,Gleyber Torres,SS,NYY,42,0.7,136,33,3,16,0.243,0.724,"$6,250,000"
195,Matt Joyce,LF,MIA,46,0.767,127,32,2,14,0.252,0.682,$0
196,Mike Moustakas,2B,CIN,44,0.733,139,32,8,27,0.23,0.799,"$16,000,000"
197,Enrique Hernandez,CF,LAD,48,0.8,139,32,5,20,0.23,0.68,"$7,000,000"
198,Ke'Bryan Hayes,3B,PIT,24,0.4,85,32,5,11,0.377,1.124,"$10,000,000"
199,Rowdy Tellez,1B,TOR,35,0.583,113,32,8,23,0.283,0.886,"$1,940,000"
200,Ozzie Albies,2B,ATL,29,0.483,118,32,6,19,0.271,0.773,"$5,000,000"
201,Evan White,1B,SEA,54,0.9,182,32,8,26,0.176,0.599,"$1,400,000"
202,Austin Romine,C,DET,37,0.638,130,31,2,17,0.239,0.582,$0
203,Freddy Galvis,SS,CIN,47,0.783,141,31,7,16,0.22,0.712,$0
204,Yan Gomes,C,WSH,30,0.5,109,31,4,13,0.284,0.787,"$6,000,000"
205,Brian Goodwin,RF,CIN,50,0.833,144,31,6,22,0.215,0.715,$0
206,Michael Chavis,2B,BOS,42,0.7,146,31,5,19,0.212,0.636,"$700,000"
207,Nomar Mazara,RF,CHW,42,0.7,136,31,1,15,0.228,0.589,$0
208,Jacob Stallings,C,PIT,42,0.7,125,31,3,18,0.248,0.702,"$2,600,000"
209,Andres Gimenez,SS,NYM,49,0.817,118,31,3,12,0.263,0.732,"$700,000"
210,Jon Berti,2B,MIA,39,0.65,120,31,2,14,0.258,0.738,"$1,200,000"
211,Justin Upton,LF,LAA,42,0.7,147,30,9,22,0.204,0.711,$0
212,Ryan Braun,1B,MIL,39,0.65,129,30,8,26,0.233,0.769,$0
213,Kurt Suzuki,C,WSH,33,0.55,111,30,2,17,0.27,0.745,"$1,750,000"
214,Kevin Kiermaier,CF,TB,49,0.817,138,30,3,22,0.217,0.683,"$12,000,000"
215,Josh Fuentes,1B,COL,30,0.5,98,30,2,17,0.306,0.759,$0
216,Daniel Murphy,1B,COL,40,0.667,123,29,3,16,0.236,0.608,$0
217,Brett Gardner,CF,NYY,49,0.817,130,29,5,15,0.223,0.747,$0
218,Martin Maldonado,C,HOU,47,0.783,135,29,6,24,0.215,0.727,"$5,000,000"
219,Jedd Gyorko,3B,MIL,43,0.717,117,29,9,17,0.248,0.838,$0
220,Niko Goodrum,SS,DET,43,0.741,158,29,5,20,0.184,0.598,"$2,100,000"
221,Shohei Ohtani,DH,LAA,46,0.767,153,29,7,24,0.19,0.657,"$5,500,000"
222,Jared Walsh,1B,LAA,32,0.533,99,29,9,26,0.293,0.971,"$700,000"
223,Matt Kemp,LF,COL,43,0.717,117,28,6,21,0.239,0.745,$0
224,James McCann,C,CHW,31,0.517,97,28,7,15,0.289,0.896,"$8,000,000"
225,Ji-Man Choi,1B,TB,42,0.7,122,28,3,16,0.23,0.741,"$3,200,000"
226,Kevin Plawecki,C,BOS,24,0.4,82,28,1,17,0.342,0.857,"$2,250,000"
227,Victor Caratini,C,CHC,44,0.733,116,28,1,16,0.241,0.661,"$2,000,000"
228,Jason Kipnis,2B,CHC,44,0.733,114,27,3,16,0.237,0.744,$0
229,Kris Bryant,3B,CHC,34,0.567,131,27,4,11,0.206,0.644,"$24,000,000"
230,Joe Panik,2B,TOR,41,0.683,120,27,1,7,0.225,0.64,$0
231,Ben Gamel,LF,MIL,40,0.667,114,27,3,10,0.237,0.718,"$1,800,000"
232,Sean Murphy,C,OAK,43,0.717,116,27,7,14,0.233,0.821,"$700,000"
233,Carson Kelly,C,ARI,39,0.65,122,27,5,19,0.221,0.649,"$3,325,000"
234,Leodys Taveras,OF,TEX,33,0.55,119,27,4,6,0.227,0.703,$0
235,Austin Meadows,LF,TB,36,0.6,132,27,4,13,0.205,0.667,"$4,000,000"
236,Shin-Soo Choo,DH,TEX,33,0.55,110,26,5,15,0.236,0.723,$0
237,Matt Carpenter,3B,STL,50,0.862,140,26,4,24,0.186,0.64,$0
238,Taylor Ward,3B,LAA,34,0.567,94,26,0,5,0.277,0.716,"$700,000"
239,Aaron Judge,RF,NYY,28,0.467,101,26,9,22,0.257,0.891,"$17,000,000"
240,Jacoby Jones,CF,DET,30,0.517,97,26,5,14,0.268,0.849,$0
241,Adam Engel,CF,CHW,36,0.6,88,26,3,12,0.296,0.811,"$2,000,000"
242,Luis Urias,2B,MIL,41,0.683,109,26,0,11,0.239,0.602,"$700,000"
243,Michael Brosseau,3B,TB,37,0.617,86,26,5,12,0.302,0.936,"$700,000"
244,Edwin Encarnacion,DH,CHW,44,0.733,159,25,10,19,0.157,0.627,$0
245,Howie Kendrick,2B,WSH,25,0.417,91,25,2,14,0.275,0.705,$0
246,Eric Thames,1B,WSH,41,0.683,123,25,3,12,0.203,0.617,$0
247,Max Stassi,C,LAA,31,0.517,90,25,7,20,0.278,0.886,"$3,000,000"
248,Jake Cave,RF,MIN,42,0.7,113,25,4,15,0.221,0.674,$0
249,David Bote,2B,CHC,45,0.75,125,25,7,29,0.2,0.711,"$2,500,000"
250,Eric Sogard,2B,MIL,43,0.717,115,24,1,10,0.209,0.56,$0
251,Darin Ruf,1B,SF,40,0.667,87,24,5,18,0.276,0.887,"$3,000,000"
252,Gregory Polanco,RF,PIT,50,0.833,157,24,7,22,0.153,0.539,$0
253,Cole Tucker,SS,PIT,37,0.617,109,24,1,8,0.22,0.527,"$700,000"
254,Harrison Bader,CF,STL,50,0.862,106,24,4,11,0.226,0.779,"$5,700,000"
255,Dan Vogelbach,DH,MIL,39,0.65,115,24,6,16,0.209,0.722,"$800,000"
256,Lewis Brinson,RF,MIA,47,0.783,106,24,3,12,0.226,0.636,$0
257,Austin Slater,LF,SF,31,0.517,85,24,5,7,0.282,0.914,"$1,850,000"
258,Tyler O'Neill,LF,STL,50,0.862,139,24,7,19,0.173,0.621,"$3,500,000"
259,Joey Bart,C,SF,33,0.55,103,24,0,7,0.233,0.609,"$700,000"
260,Nico Hoerner,SS,CHC,48,0.8,108,24,0,13,0.222,0.571,"$700,000"
261,Cameron Maybin,RF,CHC,32,0.533,93,23,1,7,0.247,0.694,$0
262,Philip Gosselin,2B,PHI,39,0.65,92,23,3,12,0.25,0.726,$0
263,Tony Wolters,C,COL,42,0.7,100,23,0,8,0.23,0.55,$0
264,Joc Pederson,LF,LAD,43,0.717,121,23,7,16,0.19,0.681,"$6,000,000"
265,Rougned Odor,2B,TEX,38,0.633,138,23,10,30,0.167,0.623,"$700,000"
266,Tommy Pham,LF,SD,31,0.517,109,23,3,12,0.211,0.624,"$6,000,000"
267,Gary Sanchez,C,NYY,49,0.817,156,23,10,24,0.147,0.618,"$7,500,000"
268,Roman Quinn,CF,PHI,41,0.683,108,23,2,7,0.213,0.576,$0
269,Tony Kemp,2B,OAK,49,0.817,93,23,0,4,0.247,0.664,"$2,250,000"
270,Mike Tauchman,LF,NYY,43,0.717,95,23,0,14,0.242,0.648,$0
271,Edward Olivares,OF,KC,31,0.517,96,23,3,10,0.24,0.642,"$700,000"
272,Josh Harrison,2B,WSH,33,0.55,79,22,3,14,0.279,0.769,"$4,000,000"
273,Ender Inciarte,CF,ATL,46,0.767,116,22,1,10,0.19,0.512,$0
274,Dylan Carlson,OF,STL,35,0.603,110,22,3,16,0.2,0.616,"$703,000"
275,Jose Marmolejos,1B,SEA,35,0.583,107,22,6,18,0.206,0.672,$0
276,Adam Haseley,CF,PHI,40,0.667,79,22,0,13,0.279,0.69,$0
277,Danny Jansen,C,TOR,43,0.717,120,22,6,20,0.183,0.671,"$1,950,000"
278,Ryan O'Hearn,1B,KC,42,0.7,113,22,2,18,0.195,0.604,"$1,250,000"
279,Sam Hilliard,CF,COL,36,0.6,105,22,6,10,0.21,0.71,"$700,000"
280,Isaac Paredes,INF,DET,34,0.586,100,22,1,6,0.22,0.568,$0
281,Dexter Fowler,RF,STL,31,0.535,90,21,4,15,0.233,0.706,$0
282,Austin Barnes,C,LAD,29,0.483,86,21,1,9,0.244,0.667,"$2,600,000"
283,Jorge Alfaro,C,MIA,31,0.517,93,21,3,16,0.226,0.624,"$2,725,000"
284,Chance Sisco,C,BAL,36,0.6,98,21,4,10,0.214,0.741,$0
285,Bobby Dalbec,3B,BOS,23,0.383,80,21,8,16,0.263,0.959,"$700,000"
286,Elvis Andrus,SS,TEX,29,0.483,103,20,3,7,0.194,0.582,"$6,750,000"
287,Brock Holt,2B,WSH,37,0.617,95,20,0,5,0.211,0.557,$0
288,Tucker Barnhart,C,CIN,38,0.633,98,20,5,13,0.204,0.679,"$7,750,000"
289,Carter Kieboom,3B,WSH,33,0.55,99,20,0,9,0.202,0.556,"$700,000"
290,Andrew Knapp,C,PHI,33,0.55,72,20,2,15,0.278,0.849,"$700,000"
291,Jordon Adell,OF,LAA,38,0.633,124,20,3,7,0.161,0.478,"$700,000"
292,Tim Locastro,CF,ARI,33,0.55,69,20,2,7,0.29,0.859,$0
293,Shed Long,2B,SEA,34,0.567,117,20,3,9,0.171,0.533,$0
294,Jay Bruce,RF,PHI,32,0.533,96,19,6,14,0.198,0.721,$0
295,Giancarlo Stanton,DH,NYY,23,0.383,76,19,4,11,0.25,0.887,"$19,000,000"
296,Jorge Bonifacio,RF,DET,30,0.517,86,19,2,17,0.221,0.602,$0
297,Willie Calhoun,LF,TEX,29,0.483,100,19,1,13,0.19,0.491,"$1,300,000"
