Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
58,Mike Moustakas,3B,KC,148,0.914,555,151,38,85,0.272,0.835,"$16,000,000"
59,Tim Anderson,SS,CHW,146,0.901,587,151,17,56,0.257,0.679,"$9,500,000"
60,Josh Reddick,RF,HOU,134,0.827,477,150,13,82,0.315,0.847,$0
61,Alcides Escobar,SS,KC,162,1,599,150,6,54,0.25,0.629,"$1,000,000"
62,Cesar Hernandez,2B,PHI,128,0.79,511,150,9,34,0.294,0.793,"$4,000,000"
63,Kevin Pillar,CF,TOR,154,0.951,587,150,16,42,0.256,0.704,$0
64,Chris Taylor,LF,LAD,140,0.864,514,148,21,72,0.288,0.85,"$15,000,000"
65,J.T. Realmuto,C,MIA,141,0.87,532,148,17,65,0.278,0.783,"$23,875,000"
66,Justin Turner,3B,LAD,130,0.803,457,147,21,71,0.322,0.945,"$16,000,000"
67,Tim Beckham,SS,BAL,137,0.846,533,147,22,62,0.276,0.778,$0
68,Travis Shaw,3B,MIL,144,0.889,538,147,31,101,0.273,0.862,"$1,500,000"
69,Joe Panik,2B,SF,138,0.852,512,147,10,53,0.287,0.767,$0
70,Odubel Herrera,CF,PHI,138,0.852,526,147,14,56,0.28,0.774,"$1,750,000"
71,Eduardo Nunez,SS,BOS,114,0.704,467,146,12,58,0.313,0.801,$0
72,Domingo Santana,RF,MIL,151,0.932,525,146,30,85,0.278,0.875,$0
73,Adam Duvall,LF,CIN,157,0.969,587,146,31,99,0.249,0.782,"$9,500,000"
74,Kyle Seager,3B,SEA,154,0.951,578,144,27,88,0.249,0.773,$0
75,Billy Hamilton,CF,CIN,139,0.858,582,144,4,38,0.247,0.634,$0
76,Shin-Soo Choo,RF,TEX,149,0.92,544,143,22,78,0.263,0.783,$0
77,Albert Pujols,DH,LAA,149,0.92,593,143,23,101,0.241,0.672,"$2,500,000"
78,Chase Headley,3B,NYY,147,0.907,512,140,12,61,0.273,0.758,$0
79,Khris Davis,LF,OAK,153,0.944,566,140,43,111,0.247,0.864,$0
80,Josh Bell,1B,PIT,159,0.982,549,140,26,90,0.255,0.8,"$10,000,000"
81,Nomar Mazara,RF,TEX,148,0.914,554,140,20,101,0.253,0.745,$0
82,Ben Gamel,LF,SEA,134,0.827,509,140,11,59,0.275,0.735,"$1,800,000"
83,Orlando Arcia,SS,MIL,153,0.944,506,140,15,53,0.277,0.731,"$1,600,000"
84,Mark Reynolds,3B,COL,148,0.914,520,139,30,97,0.267,0.839,$0
85,Kendrys Morales,DH,TOR,150,0.926,557,139,28,85,0.25,0.753,$0
86,Kole Calhoun,RF,LAA,155,0.957,569,139,19,71,0.244,0.725,"$5,200,000"
87,Eugenio Suarez,3B,CIN,156,0.963,534,139,26,82,0.26,0.828,"$11,000,000"
88,Wil Myers,RF,SD,155,0.957,567,138,30,74,0.243,0.792,"$20,000,000"
89,Marwin Gonzalez,LF,HOU,134,0.827,455,138,23,90,0.303,0.907,"$1,150,000"
90,Yadier Molina,C,STL,136,0.84,501,137,18,82,0.274,0.751,"$10,000,000"
91,Scooter Gennett,2B,CIN,141,0.87,461,136,27,97,0.295,0.874,$0
92,Denard Span,CF,SF,129,0.796,497,135,12,43,0.272,0.756,$0
93,Freddie Freeman,1B,ATL,117,0.722,440,135,28,71,0.307,0.989,"$20,000,000"
94,Tommy Pham,LF,STL,128,0.79,444,135,23,72,0.304,0.927,"$6,000,000"
95,Asdrubal Cabrera,2B,NYM,135,0.833,479,134,14,59,0.28,0.785,$0
96,Bryce Harper,RF,WSH,111,0.685,420,134,29,87,0.319,1.008,"$26,000,000"
97,Carlos Correa,SS,HOU,109,0.673,422,134,24,85,0.318,0.945,"$35,100,000"
98,Starlin Castro,2B,NYY,112,0.691,443,133,16,63,0.3,0.792,$0
99,Jake Lamb,3B,ARI,149,0.92,536,133,30,105,0.248,0.844,$0
100,Mark Trumbo,DH,BAL,146,0.901,559,132,23,65,0.236,0.689,$0
101,Josh Harrison,2B,PIT,128,0.79,486,132,16,47,0.272,0.771,"$4,000,000"
102,Maikel Franco,3B,PHI,154,0.951,575,132,24,76,0.23,0.69,"$1,000,000"
103,Gary Sanchez,C,NYY,122,0.753,471,132,33,90,0.28,0.88,"$7,500,000"
104,J.D. Martinez,DH,ARI,119,0.735,432,131,45,104,0.303,1.066,"$19,350,000"
105,Brandon Crawford,SS,SF,144,0.889,518,131,14,77,0.253,0.709,"$16,000,000"
106,Yasiel Puig,RF,LAD,152,0.938,499,131,28,75,0.263,0.831,$0
107,Ian Kinsler,2B,DET,139,0.858,551,130,22,52,0.236,0.725,$0
108,Hunter Pence,LF,SF,134,0.827,493,129,13,67,0.262,0.705,$0
109,Zack Cozart,SS,CIN,122,0.753,438,129,24,62,0.295,0.928,$0
110,Javier Baez,2B,CHC,145,0.895,469,129,23,76,0.275,0.801,"$20,000,000"
111,Yolmer Sanchez,2B,CHW,141,0.87,484,129,12,59,0.267,0.732,$0
112,Jordy Mercer,SS,PIT,145,0.895,502,128,14,58,0.255,0.733,$0
113,Manuel Margot,CF,SD,126,0.778,487,128,13,39,0.263,0.721,"$5,600,000"
114,Cody Bellinger,1B,LAD,132,0.815,480,128,39,97,0.267,0.933,"$17,000,000"
115,Logan Morrison,DH,TB,149,0.92,512,126,38,85,0.246,0.868,$0
116,Salvador Perez,C,KC,129,0.796,471,126,27,80,0.268,0.792,"$18,000,000"
117,Jose Peraza,SS,CIN,143,0.883,487,126,5,37,0.259,0.622,$0
118,Mitch Moreland,1B,BOS,149,0.92,508,125,22,79,0.246,0.769,$0
119,Steven Souza,RF,TB,148,0.914,523,125,30,78,0.239,0.81,$0
120,Jorge Polanco,SS,MIN,133,0.821,488,125,13,74,0.256,0.723,"$5,500,000"
121,Rougned Odor,2B,TEX,162,1,607,124,30,75,0.204,0.649,"$700,000"
122,Max Kepler,RF,MIN,147,0.907,511,124,19,69,0.243,0.737,"$6,750,000"
123,Jose Reyes,3B,NYM,145,0.895,501,123,15,58,0.246,0.728,$0
124,Mike Trout,CF,LAA,114,0.704,402,123,33,72,0.306,1.071,"$35,450,000"
125,Carlos Gonzalez,RF,COL,136,0.84,470,122,14,57,0.26,0.756,$0
126,Gerardo Parra,LF,COL,115,0.71,392,122,10,72,0.311,0.798,$0
127,Matt Kemp,RF,ATL,115,0.71,438,121,19,64,0.276,0.781,$0
128,Hanley Ramirez,DH,BOS,133,0.821,496,120,23,62,0.242,0.75,$0
129,Jose Bautista,RF,TOR,157,0.969,587,120,23,65,0.204,0.677,$0
130,Yonder Alonso,1B,SEA,142,0.877,451,120,28,67,0.266,0.866,$0
131,Matt Carpenter,3B,STL,145,0.895,497,120,23,69,0.241,0.835,$0
132,Yangervis Solarte,3B,SD,128,0.79,466,119,18,64,0.255,0.731,$0
133,Brandon Drury,2B,ARI,135,0.833,445,119,13,63,0.267,0.764,"$700,000"
134,Tommy Joseph,1B,PHI,142,0.877,495,119,22,69,0.24,0.721,$0
135,Paul DeJong,3B,STL,108,0.667,417,119,25,65,0.285,0.857,"$6,000,000"
136,Trevor Story,SS,COL,145,0.895,503,119,24,82,0.237,0.762,"$20,000,000"
137,Dustin Pedroia,2B,BOS,105,0.648,406,118,7,62,0.291,0.756,$0
138,Jose Iglesias,SS,DET,130,0.803,463,118,6,54,0.255,0.657,"$5,000,000"
139,Miguel Cabrera,1B,DET,130,0.803,469,117,16,60,0.25,0.728,"$32,000,000"
140,Cory Spangenberg,2B,SD,129,0.796,444,117,13,46,0.264,0.725,$0
141,Byron Buxton,CF,MIN,140,0.864,462,117,16,51,0.253,0.728,"$10,000,000"
142,Eric Thames,1B,MIL,138,0.852,469,116,31,63,0.247,0.877,$0
143,Jackie Bradley Jr.,CF,BOS,133,0.821,482,116,17,64,0.241,0.718,"$9,500,000"
144,Jedd Gyorko,SS,STL,125,0.772,426,116,20,67,0.272,0.813,$0
145,Trea Turner,SS,WSH,98,0.605,412,116,11,45,0.282,0.782,"$21,000,000"
146,Danny Valencia,3B,SEA,130,0.803,450,115,15,66,0.256,0.725,$0
147,Matt Joyce,RF,OAK,141,0.87,469,114,25,68,0.243,0.808,$0
148,Eduardo Escobar,SS,MIN,129,0.796,457,114,21,72,0.25,0.747,"$10,000,000"
149,A.J. Pollock,CF,ARI,112,0.691,425,113,14,49,0.266,0.801,"$10,000,000"
150,Jason Heyward,RF,CHC,126,0.778,432,112,11,59,0.259,0.715,"$22,000,000"
151,Jonathan Lucroy,C,COL,123,0.759,423,112,6,40,0.265,0.716,$0
152,David Freese,3B,PIT,130,0.803,426,112,10,52,0.263,0.739,$0
153,Jon Jay,CF,CHC,141,0.87,379,112,2,34,0.296,0.749,$0
154,Hernan Perez,LF,MIL,136,0.84,432,112,14,51,0.259,0.704,$0
155,Miguel Sano,3B,MIN,114,0.704,424,112,28,77,0.264,0.859,"$9,250,000"
156,Dansby Swanson,SS,ATL,144,0.889,487,112,6,51,0.23,0.633,"$10,100,000"
157,Adam Frazier,2B,PIT,121,0.747,406,112,6,53,0.276,0.743,"$7,500,000"
158,Dexter Fowler,CF,STL,118,0.728,420,111,18,64,0.264,0.851,$0
159,Josh Donaldson,3B,TOR,113,0.698,415,111,33,78,0.268,0.94,"$23,000,000"
160,Scott Schebler,LF,CIN,141,0.87,473,110,30,67,0.233,0.791,$0
161,Justin Bour,1B,MIA,108,0.667,377,109,25,83,0.289,0.902,$0
162,Carlos Beltran,DH,HOU,129,0.796,467,108,14,51,0.231,0.666,$0
163,Yasmani Grandal,C,LAD,129,0.796,438,108,22,58,0.247,0.767,"$18,250,000"
164,Michael Taylor,CF,WSH,118,0.728,399,108,19,53,0.271,0.806,"$4,500,000"
165,Adrian Beltre,3B,TEX,94,0.58,340,106,17,71,0.312,0.915,$0
166,Kevin Kiermaier,CF,TB,98,0.605,380,105,15,39,0.276,0.788,"$12,000,000"
167,Michael Conforto,CF,NYM,109,0.673,373,104,27,68,0.279,0.939,$0
168,Willson Contreras,C,CHC,117,0.722,377,104,21,74,0.276,0.855,"$7,500,000"
169,Mitch Haniger,RF,SEA,96,0.593,369,104,16,47,0.282,0.843,"$7,750,000"
170,Hunter Renfroe,RF,SD,122,0.753,445,103,26,58,0.232,0.751,"$7,650,000"
171,Ryan Braun,LF,MIL,104,0.642,380,102,17,52,0.268,0.821,$0
172,Neil Walker,2B,MIL,111,0.685,385,102,14,49,0.265,0.803,$0
173,Ben Zobrist,2B,CHC,128,0.79,435,101,12,50,0.232,0.693,$0
174,Todd Frazier,3B,NYY,147,0.907,474,101,27,76,0.213,0.772,$0
175,Derek Dietrich,2B,MIA,135,0.833,406,101,13,53,0.249,0.758,$0
176,Delino DeShields,CF,TEX,120,0.741,376,101,6,22,0.269,0.714,$0
177,Kolten Wong,2B,STL,108,0.667,354,101,4,42,0.285,0.788,"$8,000,000"
178,Aaron Altherr,RF,PHI,107,0.661,372,101,19,65,0.272,0.856,$0
179,Victor Martinez,DH,DET,107,0.661,392,100,10,47,0.255,0.697,$0
180,Tucker Barnhart,C,CIN,121,0.747,370,100,7,44,0.27,0.75,"$7,750,000"
181,Alex Gordon,LF,KC,148,0.914,476,99,9,45,0.208,0.608,$0
182,Ryan Goins,2B,TOR,143,0.883,418,99,9,62,0.237,0.643,$0
183,Chris Davis,1B,BAL,128,0.79,456,98,26,61,0.215,0.732,$0
184,Jorge Bonifacio,RF,KC,113,0.698,384,98,17,40,0.255,0.752,$0
185,Randal Grichuk,RF,STL,122,0.753,412,98,22,59,0.238,0.758,"$3,950,000"
186,Mike Zunino,C,SEA,124,0.765,387,97,25,64,0.251,0.84,"$7,000,000"
187,Chris Owings,2B,ARI,97,0.599,362,97,12,51,0.268,0.741,"$700,000"
188,Jonathan Villar,SS,MIL,122,0.753,403,97,11,40,0.241,0.665,"$4,500,000"
189,Yunel Escobar,3B,LAA,89,0.549,350,96,7,31,0.274,0.73,$0
190,Howie Kendrick,LF,WSH,91,0.562,305,96,9,41,0.315,0.844,$0
191,Welington Castillo,C,BAL,96,0.593,341,96,20,54,0.282,0.813,$0
192,Mikie Mahtook,LF,DET,109,0.673,348,96,12,38,0.276,0.785,$0
193,Guillermo Heredia,CF,SEA,123,0.759,386,96,6,24,0.249,0.652,"$1,000,000"
194,Martin Maldonado,C,LAA,138,0.852,429,95,14,38,0.221,0.645,"$5,000,000"
195,Gregory Polanco,LF,PIT,108,0.667,379,95,11,35,0.251,0.695,$0
196,Jacoby Ellsbury,CF,NYY,112,0.691,356,94,7,39,0.264,0.75,$0
197,Carlos Gomez,CF,TEX,105,0.648,368,94,17,51,0.255,0.804,$0
198,Curtis Granderson,RF,LAD,147,0.907,449,94,26,64,0.209,0.768,$0
199,Matt Wieters,C,WSH,123,0.759,422,94,10,52,0.223,0.627,$0
200,Christian Vazquez,C,BOS,99,0.611,324,94,5,32,0.29,0.735,"$7,000,000"
201,Robbie Grossman,LF,MIN,119,0.735,382,94,9,45,0.246,0.741,"$5,000,000"
202,Joey Gallo,3B,TEX,145,0.895,449,94,41,80,0.209,0.869,"$10,275,000"
203,Ian Desmond,LF,COL,95,0.586,339,93,7,40,0.274,0.701,$0
204,Norichika Aoki,LF,NYM,110,0.679,336,93,5,35,0.277,0.728,$0
205,Matt Adams,1B,ATL,131,0.809,339,93,20,65,0.274,0.841,$0
206,Lucas Duda,1B,TB,127,0.784,423,92,30,64,0.218,0.818,$0
207,Brandon Belt,1B,SF,104,0.642,382,92,18,51,0.241,0.823,"$18,400,000"
208,Manuel Pina,C,MIL,107,0.661,330,92,9,43,0.279,0.751,"$3,500,000"
209,Ronald Torreyes,2B,NYY,108,0.667,315,92,3,36,0.292,0.689,$0
210,Ian Happ,OF,CHC,115,0.71,364,92,24,68,0.253,0.842,"$6,850,000"
211,Wilmer Flores,SS,NYM,110,0.679,336,91,18,52,0.271,0.795,"$3,500,000"
212,Keon Broxton,LF,MIL,143,0.883,414,91,20,49,0.22,0.719,$0
213,Matt Davidson,DH,CHW,118,0.728,414,91,26,68,0.22,0.711,$0
214,Cameron Maybin,CF,HOU,114,0.704,395,90,10,35,0.228,0.683,$0
215,Wilmer Difo,SS,WSH,124,0.765,332,90,5,21,0.271,0.69,$0
216,Jose Pirela,LF,SD,83,0.512,312,90,10,40,0.289,0.837,$0
217,Nick Williams,RF,PHI,83,0.512,313,90,12,55,0.288,0.811,$0
218,Tyler Flowers,C,ATL,99,0.611,317,89,12,49,0.281,0.823,$0
219,Albert Almora,CF,CHC,132,0.815,299,89,8,46,0.298,0.782,$0
220,James McCann,C,DET,106,0.654,352,89,13,49,0.253,0.733,"$8,000,000"
221,Kyle Schwarber,LF,CHC,129,0.796,422,89,30,59,0.211,0.782,"$19,000,000"
222,Jarrod Dyson,RF,SEA,111,0.685,346,87,5,30,0.251,0.674,$0
223,Matt Holliday,DH,NYY,105,0.648,373,86,19,64,0.231,0.748,$0
224,Adeiny Hechavarria,SS,TB,97,0.599,330,86,8,30,0.261,0.695,$0
225,Jason Castro,C,MIN,110,0.679,356,86,10,47,0.242,0.72,"$3,250,000"
226,Yoenis Cespedes,CF,NYM,81,0.5,291,85,17,42,0.292,0.892,$0
227,Starling Marte,CF,PIT,77,0.475,309,85,7,31,0.275,0.712,"$17,000,000"
228,Travis d'Arnaud,C,NYM,112,0.691,348,85,16,57,0.244,0.735,"$8,000,000"
229,Marcus Semien,SS,OAK,85,0.525,342,85,10,40,0.249,0.722,"$25,000,000"
230,Brian McCann,C,HOU,97,0.599,349,84,18,62,0.241,0.759,$0
231,Seth Smith,RF,BAL,111,0.685,330,84,13,32,0.255,0.768,$0
232,C.J. Cron,1B,LAA,100,0.617,339,84,16,56,0.248,0.741,"$7,250,000"
233,Addison Russell,SS,CHC,110,0.679,352,84,12,43,0.239,0.722,$0
234,Jose Martinez,LF,STL,106,0.654,272,84,14,46,0.309,0.897,$0
235,Austin Hedges,C,SD,120,0.741,386,83,18,55,0.215,0.662,"$4,000,000"
236,Carlos Asuaje,2B,SD,89,0.549,307,83,4,21,0.27,0.696,$0
237,Mike Napoli,1B,TEX,124,0.765,425,82,29,66,0.193,0.713,$0
238,Logan Forsythe,2B,LAD,119,0.735,361,82,6,37,0.227,0.685,$0
239,Adam Lind,1B,WSH,116,0.716,267,81,14,59,0.303,0.875,$0
240,Alex Avila,C,CHC,112,0.691,311,81,14,49,0.261,0.828,$0
241,Ezequiel Carrera,CF,TOR,131,0.809,287,81,8,20,0.282,0.764,$0
242,Leury Garcia,OF,CHW,87,0.537,300,81,9,33,0.27,0.739,"$5,500,000"
243,Daniel Descalso,3B,ARI,131,0.809,344,80,10,51,0.233,0.727,$0
244,Ben Revere,CF,LAA,109,0.673,291,80,1,20,0.275,0.652,$0
245,Steven Pearce,LF,TOR,92,0.568,313,80,13,39,0.256,0.763,$0
246,Aaron Hicks,RF,NYY,88,0.543,301,80,15,52,0.266,0.847,"$10,500,000"
247,Stephen Piscotty,RF,STL,107,0.661,341,80,9,39,0.235,0.707,"$7,250,000"
248,Rajai Davis,CF,BOS,117,0.722,336,79,5,20,0.235,0.641,$0
249,Gorkys Hernandez,CF,SF,128,0.79,310,79,0,22,0.255,0.652,$0
250,Evan Gattis,C,HOU,84,0.519,300,79,12,55,0.263,0.767,$0
251,Miguel Rojas,SS,MIA,90,0.556,272,79,1,26,0.29,0.736,"$5,500,000"
252,Erick Aybar,SS,SD,108,0.667,333,78,7,22,0.234,0.648,$0
253,Kurt Suzuki,C,ATL,81,0.5,276,78,19,50,0.283,0.887,"$1,750,000"
254,Darwin Barney,SS,TOR,129,0.796,336,78,6,25,0.232,0.602,$0
255,Kevan Smith,C,CHW,87,0.537,276,78,4,30,0.283,0.697,$0
256,Alex Presley,LF,DET,71,0.438,245,76,3,20,0.31,0.762,$0
257,Brandon Moss,DH,KC,118,0.728,362,75,22,50,0.207,0.707,$0
258,Andrew Romine,SS,DET,124,0.765,318,75,4,25,0.236,0.632,$0
259,Jesus Aguilar,1B,MIL,133,0.821,279,74,16,52,0.265,0.837,"$7,300,000"
260,Chase Utley,2B,LAD,127,0.784,309,73,8,34,0.236,0.728,$0
261,Aledmys Diaz,SS,STL,79,0.488,286,72,7,20,0.252,0.668,"$4,450,000"
262,Johan Camargo,SS,ATL,82,0.506,241,72,4,27,0.299,0.783,"$1,400,000"
263,Nick Hundley,C,SF,101,0.624,287,70,9,35,0.244,0.691,$0
264,Omar Narvaez,C,CHW,90,0.556,253,70,2,14,0.277,0.713,"$5,000,000"
265,Chris Iannetta,C,ARI,89,0.549,272,69,17,43,0.254,0.865,$0
266,Luis Valbuena,3B,LAA,117,0.722,347,69,22,65,0.199,0.727,$0
267,Mallex Smith,LF,TB,81,0.5,256,69,2,12,0.27,0.684,$0
268,Russell Martin,C,TOR,91,0.562,307,68,13,35,0.222,0.731,$0
269,Eric Sogard,2B,MIL,94,0.58,249,68,3,18,0.273,0.77,$0
270,Robinson Chirinos,C,TEX,88,0.543,263,68,17,39,0.259,0.869,"$900,000"
271,Brad Miller,SS,TB,110,0.679,338,68,9,40,0.201,0.664,"$6,000,000"
272,Matt Chapman,3B,OAK,84,0.519,290,68,14,40,0.235,0.785,"$13,000,000"
273,Chad Pinder,SS,OAK,87,0.537,282,67,15,42,0.238,0.75,"$2,725,000"
274,Francisco Cervelli,C,PIT,81,0.5,265,66,5,31,0.249,0.712,$0
275,Adam Rosales,2B,ARI,105,0.648,289,65,7,36,0.225,0.613,$0
276,Caleb Joseph,C,BAL,89,0.549,254,65,8,28,0.256,0.7,$0
277,Stephen Vogt,C,MIL,99,0.611,279,64,12,40,0.229,0.701,"$850,000"
278,Cameron Rupp,C,PHI,88,0.543,295,64,14,34,0.217,0.716,$0
279,Enrique Hernandez,LF,LAD,140,0.864,297,64,11,37,0.216,0.729,"$7,000,000"
280,Juan Lagares,CF,NYM,94,0.58,252,63,3,15,0.25,0.661,$0
281,Brian Goodwin,CF,WSH,74,0.457,251,63,13,30,0.251,0.811,$0
282,Austin Barnes,C,LAD,102,0.63,218,63,8,38,0.289,0.895,"$2,600,000"
283,Joey Rickard,LF,BAL,111,0.685,261,63,4,19,0.241,0.621,$0
284,Rafael Devers,3B,BOS,58,0.358,222,63,10,30,0.284,0.824,"$11,200,000"
285,T.J. Rivera,3B,NYM,73,0.451,214,62,5,27,0.29,0.76,$0
286,Ozzie Albies,SS,ATL,57,0.352,217,62,6,28,0.286,0.81,"$5,000,000"
287,Sandy Leon,C,BOS,85,0.525,271,61,7,39,0.225,0.644,$0
288,Kennys Vargas,1B,MIN,78,0.482,241,61,11,41,0.253,0.758,$0
289,Greg Garcia,2B,STL,133,0.821,241,61,2,20,0.253,0.697,$0
290,Troy Tulowitzki,SS,TOR,66,0.407,241,60,7,26,0.249,0.678,$0
291,Joc Pederson,CF,LAD,102,0.63,273,58,11,35,0.213,0.738,"$6,000,000"
292,Ketel Marte,2B,ARI,73,0.451,223,58,5,18,0.26,0.74,"$11,000,000"
293,Chris Young,RF,BOS,90,0.556,243,57,7,25,0.235,0.709,$0
294,Jayson Werth,LF,WSH,70,0.432,252,57,10,29,0.226,0.717,$0
295,Pablo Sandoval,3B,SF,79,0.488,259,57,9,32,0.22,0.632,$0
296,Adrian Gonzalez,1B,LAD,71,0.438,231,56,3,30,0.242,0.642,$0
297,Trevor Plouffe,3B,TB,100,0.617,283,56,9,19,0.198,0.59,$0
298,Jake Marisnick,CF,HOU,106,0.654,230,56,16,35,0.244,0.815,"$1,000,000"
299,J.T. Riddle,SS,MIA,70,0.432,228,56,3,31,0.246,0.624,$0
300,J.J. Hardy,SS,BAL,73,0.451,254,55,4,24,0.217,0.578,$0
301,Daniel Nava,LF,PHI,80,0.494,183,55,4,21,0.301,0.813,$0
302,Gregor Blanco,RF,ARI,90,0.556,224,55,3,13,0.246,0.694,$0
303,Tony Wolters,C,COL,83,0.512,229,55,0,16,0.24,0.625,$0
304,Rene Rivera,C,CHC,74,0.457,218,55,10,35,0.252,0.736,$0
305,John Jaso,RF,PIT,126,0.778,256,54,10,35,0.211,0.73,$0
306,Wilson Ramos,C,TB,64,0.395,208,54,11,35,0.26,0.737,$0
307,Bruce Maxwell,C,OAK,76,0.469,219,52,3,22,0.237,0.663,$0
308,Taylor Motter,SS,SEA,92,0.568,258,51,7,26,0.198,0.583,$0
309,Adam Engel,OF,CHW,97,0.599,301,51,6,21,0.169,0.524,"$2,000,000"
