Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
86,Miguel Montero,C,ARI,141,0.87,486,139,15,88,0.286,0.829,$0
87,David Murphy,DH,TEX,147,0.907,457,139,15,61,0.304,0.859,$0
88,Chris Davis,1B,BAL,139,0.858,515,139,33,85,0.27,0.827,$0
89,Darwin Barney,SS,CHC,156,0.963,548,139,7,44,0.254,0.653,$0
90,Curtis Granderson,RF,NYY,160,0.988,596,138,43,106,0.232,0.811,$0
91,Zack Cozart,SS,CIN,138,0.852,561,138,15,35,0.246,0.687,$0
92,Chris Johnson,3B,HOU,136,0.84,488,137,15,76,0.281,0.777,$0
93,Dustin Ackley,2B,SEA,153,0.944,607,137,12,50,0.226,0.622,$0
94,Dexter Fowler,CF,COL,143,0.883,454,136,13,53,0.3,0.863,$0
95,Mike Moustakas,3B,KC,149,0.92,563,136,20,73,0.242,0.708,"$16,000,000"
96,Josh Willingham,LF,MIN,145,0.895,519,135,35,110,0.26,0.89,$0
97,Rickie Weeks,1B,MIL,157,0.969,588,135,21,63,0.23,0.728,$0
98,Justin Morneau,1B,MIN,134,0.827,505,135,19,77,0.267,0.773,$0
99,Jon Jay,CF,STL,117,0.722,443,135,4,40,0.305,0.773,$0
100,Brett Lawrie,2B,TOR,125,0.772,494,135,11,48,0.273,0.729,$0
101,Ruben Tejada,SS,NYM,114,0.704,464,134,1,25,0.289,0.685,$0
102,Jesus Montero,C,SEA,135,0.833,515,134,15,62,0.26,0.685,$0
103,A.J. Pierzynski,C,CHW,135,0.833,479,133,27,77,0.278,0.827,$0
104,David DeJesus,LF,CHC,148,0.914,506,133,9,50,0.263,0.753,$0
105,Ryan Doumit,C,MIN,134,0.827,484,133,18,75,0.275,0.781,$0
106,Jeff Francoeur,LF,KC,148,0.914,561,132,16,49,0.235,0.665,$0
107,Kendrys Morales,DH,LAA,134,0.827,484,132,22,73,0.273,0.787,$0
108,Neil Walker,2B,PIT,129,0.796,472,132,14,69,0.28,0.768,$0
109,Matt Wieters,C,BAL,144,0.889,526,131,23,83,0.249,0.764,$0
110,Giancarlo Stanton,RF,MIA,123,0.759,449,130,37,86,0.29,0.969,"$19,000,000"
111,Garrett Jones,RF,PIT,145,0.895,475,130,27,86,0.274,0.832,$0
112,Dayan Viciedo,RF,CHW,147,0.907,505,129,25,78,0.255,0.744,$0
113,Jason Kubel,LF,ARI,141,0.87,506,128,30,90,0.253,0.833,$0
114,Pedro Alvarez,1B,PIT,149,0.92,525,128,30,85,0.244,0.784,$0
115,Mike Aviles,3B,BOS,136,0.84,512,128,13,60,0.25,0.663,$0
116,Cody Ross,RF,BOS,130,0.803,476,127,22,81,0.267,0.807,$0
117,Jhonny Peralta,3B,DET,150,0.926,531,127,13,63,0.239,0.689,$0
118,Joey Votto,1B,CIN,111,0.685,374,126,14,56,0.337,1.041,"$25,000,000"
119,Rafael Furcal,SS,STL,121,0.747,477,126,5,49,0.264,0.671,$0
120,Alex Rodriguez,DH,NYY,122,0.753,463,126,18,57,0.272,0.783,$0
121,Colby Rasmus,LF,TOR,151,0.932,565,126,23,75,0.223,0.689,$0
122,Nick Markakis,RF,BAL,104,0.642,420,125,13,54,0.298,0.834,$0
123,Michael Saunders,LF,SEA,139,0.858,507,125,19,57,0.247,0.738,$0
124,Desmond Jennings,LF,TB,132,0.815,505,124,13,47,0.246,0.702,$0
125,Eric Hosmer,1B,KC,152,0.938,535,124,14,60,0.232,0.663,"$20,000,000"
126,Cameron Maybin,CF,SD,147,0.907,507,123,8,45,0.243,0.656,$0
127,Gordon Beckham,2B,CHW,151,0.932,525,123,16,60,0.234,0.668,$0
128,Matt Kemp,RF,LAD,106,0.654,403,122,23,69,0.303,0.906,$0
129,Tyler Colvin,RP,COL,136,0.84,420,122,18,72,0.291,0.858,$0
130,Carlos Ruiz,C,PHI,114,0.704,372,121,16,68,0.325,0.935,$0
131,Coco Crisp,CF,OAK,120,0.741,455,118,11,46,0.259,0.742,$0
132,Ike Davis,1B,NYM,156,0.963,519,118,32,90,0.227,0.771,$0
133,Mike Morse,LF,WSH,102,0.63,406,118,18,62,0.291,0.791,$0
134,Ryan Ludwick,LF,CIN,125,0.772,422,116,26,80,0.275,0.877,$0
135,Dan Uggla,2B,ATL,154,0.951,523,115,19,78,0.22,0.732,$0
136,Alberto Callaspo,3B,LAA,138,0.852,457,115,10,53,0.252,0.692,$0
137,Rajai Davis,CF,TOR,142,0.877,447,115,8,43,0.257,0.687,$0
138,Todd Frazier,3B,CIN,128,0.79,422,115,19,67,0.273,0.829,$0
139,Kelly Johnson,2B,TOR,142,0.877,507,114,16,55,0.225,0.678,$0
140,A.J. Ellis,C,LAD,133,0.821,423,114,13,52,0.27,0.786,$0
141,Mark Teixeira,1B,NYY,123,0.759,451,113,24,84,0.251,0.807,$0
142,Brennan Boesch,RF,DET,132,0.815,470,113,12,54,0.24,0.659,$0
143,Brandon Belt,1B,SF,145,0.895,411,113,7,56,0.275,0.781,"$18,400,000"
144,Pablo Sandoval,3B,SF,108,0.667,396,112,12,63,0.283,0.789,$0
145,Adam Dunn,DH,CHW,151,0.932,539,110,41,96,0.204,0.8,$0
146,Will Venable,CF,SD,148,0.914,417,110,9,45,0.264,0.765,$0
147,James Loney,1B,LAD,144,0.889,434,108,6,41,0.249,0.63,$0
148,Carlos Gomez,CF,MIL,137,0.846,415,108,19,51,0.26,0.768,$0
149,John Mayberry Jr.,RF,PHI,149,0.92,441,108,14,46,0.245,0.695,$0
150,Brandon Crawford,SS,SF,143,0.883,435,108,4,45,0.248,0.653,"$16,000,000"
151,Mark Ellis,2B,LAD,110,0.679,415,107,7,31,0.258,0.697,$0
152,Wilin Rosario,1B,COL,117,0.722,396,107,28,71,0.27,0.843,$0
153,Bobby Abreu,LF,LAA,200,0.617,438,106,6,48,0.242,0.693,$0
154,Justin Smoak,1B,SEA,132,0.815,483,105,19,51,0.217,0.654,$0
155,Gerardo Parra,LF,ARI,133,0.821,385,105,7,36,0.273,0.727,$0
156,Drew Stubbs,CF,CIN,136,0.84,493,105,14,40,0.213,0.61,$0
157,Steve Lombardozzi,2B,WSH,126,0.778,384,105,3,27,0.273,0.671,$0
158,Clint Barmes,SS,PIT,144,0.889,455,104,8,45,0.229,0.593,$0
159,Chris Nelson,3B,COL,111,0.685,345,104,9,53,0.301,0.81,$0
160,David Ortiz,DH,BOS,90,0.556,324,103,23,60,0.318,1.026,$0
161,Ryan Roberts,2B,ARI,143,0.883,439,103,12,52,0.235,0.656,$0
162,Chris Denorfia,RF,SD,130,0.803,348,102,8,36,0.293,0.796,$0
163,Brian McCann,C,ATL,121,0.747,439,101,20,67,0.23,0.698,$0
164,Mark Reynolds,3B,BAL,135,0.833,457,101,23,69,0.221,0.763,$0
165,Jonathan Lucroy,C,MIL,96,0.593,316,101,12,58,0.32,0.881,$0
166,Scott Hairston,RF,NYM,134,0.827,377,99,20,57,0.263,0.803,$0
167,Trevor Plouffe,3B,MIN,119,0.735,422,99,24,55,0.235,0.756,$0
168,Willie Bloomquist,2B,ARI,80,0.494,324,98,0,23,0.303,0.724,$0
169,Carlos Pena,1B,TB,160,0.988,497,98,19,61,0.197,0.684,$0
170,Jemile Weeks,2B,OAK,118,0.728,444,98,2,20,0.221,0.609,$0
171,Kurt Suzuki,C,WSH,118,0.728,408,96,6,43,0.235,0.605,"$1,750,000"
172,Gregor Blanco,RF,SF,141,0.87,393,96,5,34,0.244,0.676,$0
173,Lucas Duda,1B,NYM,121,0.747,401,96,15,57,0.239,0.718,$0
174,Matt Joyce,RF,TB,124,0.765,399,96,17,59,0.241,0.769,$0
175,Anthony Rizzo,1B,CHC,87,0.537,337,96,15,48,0.285,0.805,"$16,000,000"
176,J.D. Martinez,DH,HOU,113,0.698,395,95,11,55,0.241,0.685,"$19,350,000"
177,Michael Cuddyer,LF,COL,101,0.624,358,93,16,58,0.26,0.806,$0
178,Raul Ibanez,DH,NYY,130,0.803,384,92,19,62,0.24,0.761,$0
179,Seth Smith,RF,OAK,125,0.772,383,92,14,52,0.24,0.754,$0
180,Chris Heisey,LF,CIN,120,0.741,347,92,7,31,0.265,0.715,$0
181,Greg Dobbs,1B,MIA,120,0.741,319,91,5,39,0.285,0.698,$0
182,Jayson Werth,LF,WSH,81,0.5,300,90,5,31,0.3,0.827,$0
183,Jarrod Saltalamacchia,C,BOS,121,0.747,405,90,25,59,0.222,0.742,$0
184,Cliff Pennington,SS,OAK,125,0.772,418,90,6,28,0.215,0.589,$0
185,Russell Martin,C,NYY,133,0.821,422,89,21,53,0.211,0.713,$0
186,Alex Avila,C,DET,116,0.716,367,89,9,48,0.243,0.736,$0
187,Mitch Moreland,1B,TEX,114,0.704,327,89,15,50,0.272,0.783,$0
188,Ryan Hanigan,C,CIN,112,0.691,317,87,2,24,0.274,0.703,$0
189,Salvador Perez,C,KC,76,0.469,289,87,11,39,0.301,0.798,"$18,000,000"
190,Matt Carpenter,3B,STL,114,0.704,296,87,6,46,0.294,0.828,$0
191,Logan Forsythe,2B,SD,91,0.562,315,86,6,26,0.273,0.733,$0
192,Joaquin Arias,SS,SF,112,0.691,319,86,5,34,0.27,0.693,$0
193,Daniel Descalso,3B,STL,143,0.883,374,85,4,26,0.227,0.627,$0
194,Donovan Solano,2B,MIA,93,0.574,285,84,2,28,0.295,0.717,"$4,500,000"
195,Jed Lowrie,2B,HOU,97,0.599,340,83,16,42,0.244,0.769,"$850,000"
196,Jacoby Ellsbury,CF,BOS,74,0.457,303,82,4,26,0.271,0.682,$0
197,Adam Lind,1B,TOR,93,0.574,321,82,11,45,0.256,0.729,$0
198,Alex Presley,LF,PIT,104,0.642,346,82,10,25,0.237,0.683,$0
199,Robert Andino,CF,BAL,127,0.784,384,81,7,28,0.211,0.588,$0
200,J.P. Arencibia,1B,TOR,102,0.63,347,81,18,56,0.233,0.71,$0
201,Jose Tabata,RF,PIT,103,0.636,333,81,3,16,0.243,0.664,$0
202,John Jaso,RF,SEA,108,0.667,294,81,10,50,0.276,0.85,$0
203,Mike Napoli,1B,TEX,108,0.667,352,80,24,56,0.227,0.812,$0
204,Jose Bautista,RF,TOR,92,0.568,332,80,27,65,0.241,0.886,$0
205,Brendan Ryan,1B,SEA,141,0.87,407,79,3,31,0.194,0.555,$0
206,Evan Longoria,3B,TB,74,0.457,273,79,17,55,0.289,0.896,"$14,500,000"
207,Eric Chavez,3B,NYY,113,0.698,278,78,16,37,0.281,0.845,$0
208,Reed Johnson,LF,CHC,119,0.735,269,78,3,20,0.29,0.735,$0
209,Brandon Moss,DH,OAK,84,0.519,265,77,21,52,0.291,0.954,$0
210,Chase Utley,2B,PHI,83,0.512,301,77,11,45,0.256,0.793,$0
211,Will Middlebrooks,3B,BOS,75,0.463,267,77,15,54,0.288,0.835,$0
212,Jarrod Dyson,RF,KC,102,0.63,292,76,0,9,0.26,0.65,$0
213,Pedro Ciriaco,SS,BOS,76,0.469,259,76,2,19,0.293,0.705,$0
214,Josh Rutledge,SS,COL,73,0.451,277,76,8,37,0.274,0.775,$0
215,Chris Young,RF,ARI,101,0.624,325,75,14,41,0.231,0.745,$0
216,Skip Schumaker,LF,STL,107,0.661,272,75,1,28,0.276,0.707,$0
217,Josh Thole,C,NYM,104,0.642,321,75,1,21,0.234,0.584,$0
218,Quintin Berry,LF,DET,94,0.58,291,75,2,29,0.258,0.684,$0
219,Carlos Quentin,LF,SD,86,0.531,284,74,16,46,0.261,0.877,$0
220,Maicer Izturis,2B,LAA,100,0.617,289,74,2,20,0.256,0.634,$0
221,Brian Dozier,2B,MIN,84,0.519,316,74,6,33,0.234,0.603,$0
222,Jonny Gomes,LF,OAK,99,0.611,279,73,18,47,0.262,0.868,$0
223,Craig Gentry,LF,TEX,122,0.753,240,73,1,26,0.304,0.759,$0
224,Elliot Johnson,2B,TB,123,0.759,297,72,6,33,0.242,0.654,$0
225,Alexi Casilla,2B,MIN,106,0.654,299,72,1,30,0.241,0.603,$0
226,Brian Bogusevic,RF,HOU,146,0.901,355,72,7,28,0.203,0.596,$0
227,Justin Maxwell,LF,NYY,124,0.765,315,72,18,53,0.229,0.764,$0
228,Jesus Guzman,1B,SD,120,0.741,287,71,9,48,0.247,0.737,$0
229,Kirk Nieuwenhuis,CF,NYM,91,0.562,282,71,7,28,0.252,0.691,$0
230,Miguel Olivo,C,SEA,87,0.537,315,70,12,29,0.222,0.62,$0
231,Nyjer Morgan,CF,MIL,122,0.753,289,69,3,16,0.239,0.61,$0
232,Casey McGehee,3B,NYY,114,0.704,318,69,9,41,0.217,0.643,$0
233,Dee Gordon,2B,LAD,87,0.537,303,69,1,17,0.228,0.561,"$1,000,000"
234,Logan Morrison,DH,MIA,93,0.574,296,68,11,36,0.23,0.707,$0
235,D.J. LeMahieu,2B,COL,81,0.5,229,68,2,22,0.297,0.742,"$15,000,000"
236,John Buck,C,MIA,106,0.654,343,66,12,41,0.192,0.644,$0
237,Kevin Frandsen,3B,PHI,55,0.34,195,66,2,14,0.339,0.834,$0
238,Jordan Schafer,CF,HOU,106,0.654,313,66,4,23,0.211,0.591,$0
239,Roger Bernadina,LF,WSH,129,0.796,227,66,5,25,0.291,0.777,$0
240,Jason Castro,C,HOU,87,0.537,257,66,6,29,0.257,0.735,"$3,250,000"
241,Alexi Amarista,SS,LAA,106,0.654,275,66,5,32,0.24,0.668,$0
242,Josh Donaldson,3B,OAK,75,0.463,274,66,9,33,0.241,0.687,"$23,000,000"
243,Daniel Nava,LF,BOS,88,0.543,267,65,6,33,0.243,0.742,$0
244,Gaby Sanchez,1B,PIT,105,0.648,299,65,7,30,0.217,0.62,$0
245,Geovany Soto,C,CHC,99,0.611,324,64,11,39,0.198,0.613,$0
246,Stephen Drew,2B,OAK,79,0.488,287,64,7,28,0.223,0.657,$0
247,Nate McLouth,LF,PIT,89,0.549,266,64,7,20,0.241,0.694,$0
248,Sean Rodriguez,2B,TB,112,0.691,301,64,6,32,0.213,0.607,$0
249,Emilio Bonifacio,CF,MIA,64,0.395,244,63,1,11,0.258,0.645,$0
250,Eric Thames,1B,SEA,86,0.531,271,63,9,25,0.233,0.672,$0
251,Nate Schierholtz,RF,PHI,114,0.704,241,62,6,21,0.257,0.728,$0
252,Martin Maldonado,C,MIL,78,0.482,233,62,8,30,0.266,0.729,"$5,000,000"
253,Hector Sanchez,C,SF,74,0.457,218,61,3,34,0.28,0.685,$0
254,Tony Gwynn Jr.,LF,LAD,103,0.636,259,60,0,17,0.232,0.57,$0
255,Lorenzo Cain,CF,KC,61,0.377,222,59,7,31,0.266,0.734,"$17,000,000"
256,Jonathan Herrera,SS,COL,86,0.531,225,59,3,12,0.262,0.668,$0
257,Luis Valbuena,3B,CHC,90,0.556,265,58,4,28,0.219,0.65,$0
258,Brett Wallace,3B,HOU,66,0.407,229,58,9,24,0.253,0.746,$0
259,Josh Harrison,2B,PIT,104,0.642,249,58,3,16,0.233,0.624,"$4,000,000"
260,Ryan Howard,1B,PHI,71,0.438,260,57,14,56,0.219,0.718,$0
261,Jose Molina,C,TB,102,0.63,251,56,8,32,0.223,0.64,$0
262,Michael McKenry,C,PIT,88,0.543,240,56,12,39,0.233,0.762,$0
263,Eric Young Jr.,CF,COL,98,0.605,174,55,4,15,0.316,0.825,$0
264,Chris Iannetta,C,LAA,79,0.488,221,53,9,26,0.24,0.73,$0
265,Ryan Sweeney,CF,BOS,63,0.389,204,53,0,16,0.26,0.675,$0
266,Troy Tulowitzki,SS,COL,47,0.29,181,52,8,27,0.287,0.846,$0
267,Chris Getz,2B,KC,64,0.395,189,52,0,17,0.275,0.672,$0
268,Chris Carter,1B,OAK,67,0.414,218,52,16,39,0.239,0.864,$0
269,Brayan Pena,C,KC,68,0.42,212,50,2,25,0.236,0.583,$0
270,Manny Machado,3B,BAL,51,0.315,191,50,7,26,0.262,0.739,"$30,000,000"
271,John McDonald,SS,ARI,70,0.432,197,49,6,22,0.249,0.681,$0
272,Gerald Laird,C,DET,63,0.389,174,49,2,11,0.282,0.71,$0
273,Andrelton Simmons,SS,ATL,49,0.303,167,48,3,19,0.287,0.747,"$4,000,000"
274,Marwin Gonzalez,LF,HOU,80,0.494,205,48,2,12,0.234,0.607,"$1,150,000"
275,Ramon Santiago,2B,DET,93,0.574,228,47,2,17,0.206,0.555,$0
276,Mike Baxter,LF,NYM,89,0.549,179,47,3,17,0.263,0.775,$0
277,Jeff Mathis,C,TOR,71,0.438,211,46,8,27,0.218,0.642,$0
278,John Baker,C,SD,63,0.389,193,46,0,14,0.238,0.59,$0
279,Justin Turner,3B,NYM,94,0.58,171,46,2,19,0.269,0.711,"$16,000,000"
280,Tony Campana,LF,CHC,89,0.549,174,46,0,5,0.264,0.607,$0
281,Jordany Valdespin,2B,NYM,94,0.58,191,46,8,26,0.241,0.71,$0
282,Jeff Baker,1B,CHC,83,0.512,188,45,4,25,0.239,0.656,$0
283,David Ross,C,ATL,62,0.383,176,45,9,23,0.256,0.77,$0
284,Juan Francisco,1B,ATL,93,0.574,192,45,9,32,0.234,0.71,$0
285,Welington Castillo,C,CHC,52,0.321,170,45,5,22,0.265,0.754,$0
286,Domonic Brown,LF,PHI,56,0.346,187,44,5,26,0.235,0.712,$0
287,Chris Parmelee,1B,MIN,64,0.395,192,44,5,19,0.229,0.665,$0
288,Ronny Cedeno,SS,NYM,78,0.482,166,43,4,22,0.259,0.741,$0
289,Jayson Nix,2B,NYY,74,0.457,177,43,4,18,0.243,0.69,$0
290,Johnny Giavotella,2B,KC,53,0.327,181,43,1,15,0.238,0.574,$0
291,Freddy Galvis,SS,PHI,58,0.358,190,43,3,24,0.226,0.617,$0
292,Starling Marte,CF,PIT,47,0.29,167,43,5,17,0.258,0.737,"$17,000,000"
293,Shane Robinson,CF,STL,102,0.63,166,42,3,16,0.253,0.665,$0
294,Derek Norris,C,OAK,60,0.37,209,42,7,34,0.201,0.625,$0
295,Travis Snider,RF,PIT,60,0.37,164,41,4,17,0.25,0.697,$0
296,Darin Mastroianni,CF,MIN,77,0.475,163,41,3,17,0.252,0.678,$0
297,Tyler Pastornicky,SS,ATL,76,0.469,169,41,2,13,0.243,0.613,$0
298,Tyler Moore,1B,WSH,75,0.463,156,41,10,29,0.263,0.84,$0
299,Steve Clevenger,C,CHC,69,0.426,199,40,1,16,0.201,0.537,$0
300,Franklin Gutierrez,CF,SEA,40,0.247,150,39,4,17,0.26,0.729,$0
301,Travis Ishikawa,1B,MIL,94,0.58,152,39,4,30,0.257,0.757,$0
302,Jean Segura,SS,MIL,45,0.278,151,39,0,14,0.258,0.64,"$14,250,000"
303,Peter Bourjos,RF,LAA,101,0.624,168,37,3,19,0.22,0.606,$0
304,Jose Lobaton,C,TB,69,0.426,167,37,2,20,0.222,0.64,$0
305,George Kottaras,C,OAK,85,0.525,171,36,9,31,0.211,0.766,$0
306,Ian Stewart,2B,CHC,55,0.34,179,36,5,17,0.201,0.627,$0
307,Bobby Wilson,C,LAA,75,0.463,171,36,3,13,0.211,0.569,$0
308,Ryan Raburn,LF,DET,66,0.407,205,35,1,12,0.171,0.48,$0
309,Nick Punto,SS,BOS,87,0.537,160,35,1,10,0.219,0.602,$0
310,Mike Carp,LF,SEA,59,0.364,164,35,5,20,0.213,0.654,$0
311,Erik Kratz,C,PHI,50,0.309,141,35,9,26,0.248,0.809,$0
312,Devin Mesoraco,C,CIN,54,0.333,165,35,5,14,0.212,0.64,$0
313,Chris Stewart,C,NYY,55,0.34,141,34,1,13,0.241,0.611,$0
314,Carl Crawford,LF,BOS,31,0.191,117,33,3,19,0.282,0.785,$0
315,Ryan Flaherty,3B,BAL,77,0.475,153,33,6,19,0.216,0.617,$0
316,Humberto Quintero,C,KC,43,0.265,138,32,1,19,0.232,0.598,$0
317,Endy Chavez,LF,BAL,64,0.395,158,32,2,12,0.203,0.515,$0
318,Nick Hundley,C,SD,58,0.358,204,32,3,22,0.157,0.464,$0
319,Adeiny Hechavarria,SS,TOR,41,0.253,126,32,2,15,0.254,0.645,$0
320,Tony Cruz,C,STL,51,0.315,126,32,1,11,0.254,0.632,$0
321,Charlie Blackmon,CF,COL,42,0.259,113,32,2,9,0.283,0.732,"$21,000,000"
322,Paul Janish,SS,CIN,55,0.34,167,31,0,9,0.186,0.502,$0
323,Juan Uribe,3B,LAD,66,0.407,162,31,2,17,0.191,0.542,$0
