"Rank","Player","Pos","Team","GP","GP%","AB","H","HR","RBI","AVG","OPS","Cash2023","Age","Weight","Height",""
"","Gilberto Celestino","LF","MIN","122","0.753","311","74","2","24","0.238","0.615","$0","23","170","6'0""",""
"","Harrison Bader","CF","NYY","86","0.531","292","73","5","30","0.250","0.650","$4,700,000","28","210","6'0""",""
"","Austin Slater","CF","SF","125","0.772","277","73","7","34","0.264","0.774","$2,954,966","29","197","6'2""",""
"","Spencer Torkelson","1B","DET","110","0.679","360","73","8","28","0.203","0.604","$0","22","220","6'1""",""
"","Tyler Naquin","DH","NYM","105","0.648","310","71","11","46","0.229","0.705","$0","31","195","6'2""",""
"","Michael Brantley","LF","HOU","64","0.395","243","70","5","26","0.288","0.785","$12,000,000","35","209","6'2""",""
"","Francisco Mejia","C","TB","93","0.574","289","70","6","31","0.242","0.645","$2,488,013","26","188","5'8""",""
"","CJ Abrams","SS","WSH","90","0.556","284","70","2","21","0.247","0.604","$0","21","185","6'2""",""
"","Darin Ruf","DH","NYM","119","0.735","334","68","11","45","0.204","0.645","$3,000,000","35","250","6'3""",""
"","Wil Myers","RF","SD","77","0.475","261","68","7","41","0.261","0.713","$6,000,000","31","207","6'3""",""
"","Jace Peterson","3B","MIL","113","0.698","288","68","8","34","0.236","0.698","$4,500,000","32","215","6'0""",""
"","Bobby Dalbec","1B","BOS","117","0.722","317","68","12","39","0.215","0.652","$0","27","227","6'4""",""
"","Tomas Nido","C","NYM","98","0.605","284","68","3","28","0.239","0.600","$1,595,639","28","210","6'0""",""
"","Carson Kelly","C","ARI","104","0.642","317","67","7","35","0.211","0.617","$4,443,254","27","220","6'2""",""
"","Reese McGuire","C","BOS","89","0.549","249","67","3","22","0.269","0.677","$1,068,322","27","215","6'0""",""
"","Joey Votto","1B","CIN","91","0.562","322","66","11","41","0.205","0.689","$25,000,000","38","220","6'2""",""
"","Yasmani Grandal","C","CHW","99","0.611","327","66","5","27","0.202","0.570","$18,250,000","33","225","6'2""",""
"","Jack Suwinski","LF","PIT","106","0.654","326","66","19","38","0.203","0.709","$0","23","200","6'2""",""
"","Lars Nootbaar","OF","STL","108","0.667","290","66","14","40","0.228","0.788","$0","24","210","6'3""",""
"","Evan Longoria","3B","SF","89","0.549","266","65","14","42","0.244","0.767","$0","36","215","6'1""",""
"","Yan Gomes","C","CHC","86","0.531","277","65","8","31","0.235","0.625","$6,000,000","34","215","6'2""",""
"","Martin Maldonado","C","HOU","113","0.698","344","64","15","45","0.186","0.600","$4,000,000","35","230","6'0""",""
"","Jose Siri","CF","TB","104","0.642","301","64","7","24","0.213","0.607","$0","26","175","6'2""",""
"","Juan Yepez","DH","STL","76","0.469","253","64","12","30","0.253","0.742","$0","24","200","6'1""",""
"","Leury Garcia","2B","CHW","97","0.599","300","63","3","20","0.210","0.500","$5,500,000","31","190","5'8""",""
"","Jorge Alfaro","C","SD","82","0.506","256","63","7","40","0.246","0.667","$0","29","230","6'3""",""
"","Andrew Velazquez","SS","LAA","125","0.772","322","63","9","28","0.196","0.540","$0","27","170","5'9""",""
"","Nick Allen","SS","OAK","100","0.617","299","62","4","19","0.207","0.547","$0","23","166","5'9""",""
"","Adam Duvall","LF","ATL","86","0.531","287","61","12","36","0.213","0.680","$0","33","215","6'1""",""
"","Ozzie Albies","2B","ATL","64","0.395","247","61","8","35","0.247","0.703","$7,000,000","25","165","5'8""",""
"","Jordon Adell","RF","LAA","88","0.543","269","61","8","27","0.227","0.646","$0","23","215","6'3""",""
"","Matt Reynolds","3B","CIN","93","0.574","244","60","3","23","0.246","0.652","$0","31","200","6'1""",""
"","Abraham Toro-Hernandez","3B","SEA","109","0.673","324","60","10","35","0.185","0.563","$1,386,481","25","206","6'0""",""
"","Alfonso Rivas","1B","CHC","101","0.624","251","59","3","25","0.235","0.628","$0","25","188","6'0""",""
"","Rodolfo Castro","SS","PIT","71","0.438","253","59","11","27","0.233","0.725","$0","23","205","6'0""",""
"","Matt Duffy","3B","LAA","77","0.475","228","57","2","16","0.250","0.619","$0","31","190","6'2""",""
"","Jorge Soler","LF","MIA","72","0.444","270","56","13","34","0.207","0.695","$15,000,000","30","230","6'4""",""
