Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
Jhoulys Chacin,7,1,1750000,1750000,34,32,180.3,157,82,78,72,153,13,10,0,1.27,3.89,SD,14.375126345899696,14.375126345899696,14.375126345899696,0.0942872989462007,0.0443704936217415,2.125,1156,1024,32508.090000000004,24649,6724,6084,5184,23409,169,100,0,1.6129,15.1321,0.001968740704237,4.515625,6,1,1100000,1100000,34,22,144.0,153,81,77,55,119,6,8,0,1.44,4.81,LAA,0.0918209876543209,0.0424382716049382,2.163636363636364,1156,484,20736.0,23409,6561,5929,3025,14161,36,64,0,2.0736,23.136099999999995,0.0018010068968145,4.681322314049586
Jhoulys Chacin,8,2,15500000,7750000,36,35,192.7,153,83,75,71,156,15,8,0,1.16,3.5,MIL,15.89495209964411,15.984564258333798,15.984564258333798,0.0899498356685694,0.040938707259413,2.197183098591549,1296,1225,37133.28999999999,23409,6889,5625,5041,24336,225,64,0,1.3456,12.25,0.0016759777520719,4.827613568736362,7,1,1750000,1750000,34,32,180.3,157,82,78,72,153,13,10,0,1.27,3.89,SD,0.0942872989462007,0.0443704936217415,2.125,1156,1024,32508.090000000004,24649,6724,6084,5184,23409,169,100,0,1.6129,15.1321,0.001968740704237,4.515625
Jordan Lyles,10,2,16000000,8000000,12,9,57.7,67,49,45,23,36,1,6,0,1.56,7.02,TEX,15.89495209964411,15.89495209964411,14.76816909115215,0.0693240901213171,0.0442903909108415,1.565217391304348,144,81,3329.2900000000004,4489,2401,2025,529,1296,1,36,0,2.4336,49.28039999999999,0.0019616387270351,2.449905482041588,9,1,2050000,2050000,28,28,141.0,131,72,65,55,146,12,8,0,1.32,4.15,MIL,0.1150512214342001,0.0433412135539795,2.6545454545454548,784,784,19881.0,17161,5184,4225,3025,21316,144,64,0,1.7424000000000002,17.222500000000004,0.0018784607923316,7.046611570247935
Jordan Lyles,9,1,2050000,2050000,28,28,141.0,131,72,65,55,146,12,8,0,1.32,4.15,MIL,14.53335035111459,14.53335035111459,13.450783280834713,0.1150512214342001,0.0433412135539795,2.6545454545454548,784,784,19881.0,17161,5184,4225,3025,21316,144,64,0,1.7424000000000002,17.222500000000004,0.0018784607923316,7.046611570247935,8,1,1000000,1000000,37,9,87.7,83,42,40,28,84,3,4,0,1.27,4.11,MIL,0.1064234131508931,0.0354744710502977,3.0,1369,81,7691.290000000001,6889,1764,1600,784,7056,9,16,0,1.6129,16.892100000000003,0.0012584380962984,9.0
Lance Lynn,9,3,30000000,10000000,33,33,208.3,195,89,85,59,246,16,11,0,1.22,3.67,TEX,15.89495209964411,16.049102743757082,16.049102743757082,0.1312209953592575,0.0314717021390089,4.169491525423729,1089,1089,43388.89000000001,38025,7921,7225,3481,60516,256,121,0,1.4884,13.4689,0.0009904680355264,17.384659580580298,8,1,12000000,12000000,31,29,156.7,163,87,83,76,161,10,10,0,1.53,4.77,NYY,0.1141601077784868,0.053889243423385,2.1184210526315788,961,841,24554.89,26569,7569,6889,5776,25921,100,100,0,2.3409,22.7529,0.0029040505567448,4.487707756232687
Martin Perez,10,1,6000000,6000000,12,12,62.0,55,33,31,28,46,3,5,0,1.34,4.5,BOS,15.520258650202699,15.555976732804778,14.614018154182041,0.082437275985663,0.050179211469534,1.6428571428571428,144,144,3844.0,3025,1089,961,784,2116,9,25,0,1.7956000000000003,20.25,0.0025179532637042,2.6989795918367343,9,1,4000000,4000000,32,29,165.3,184,104,94,67,135,10,7,0,1.52,5.12,MIN,0.0907441016333938,0.045035961551388,2.014925373134328,1024,841,27324.090000000004,33856,10816,8836,4489,18225,100,49,0,2.3104,26.2144,0.0020282378328581,4.059924259300511
Mat Latos,6,0,0,0,17,12,70.0,74,40,38,30,42,7,3,0,1.49,4.89,WSH,13.137251989898079,13.137251989898079,11.361672250100924,0.0666666666666666,0.0476190476190476,1.4,289,144,4900.0,5476,1600,1444,900,1764,49,9,0,2.2201,23.912099999999995,0.0022675736961451,1.96,5,0,0,0,24,21,116.3,120,67,64,32,100,4,10,0,1.31,4.95,LAA,0.0955383586509983,0.0305722747683194,3.125,576,441,13525.69,14400,4489,4096,1024,10000,16,100,0,1.7161000000000002,24.5025,0.0009346639845096,9.765625
Michael Fiers,9,2,14100000,7050000,34,32,184.7,166,82,80,53,126,14,4,0,1.19,3.9,OAK,15.60727002719233,15.60727002719233,15.60727002719233,0.075798592311857,0.0318835348613367,2.3773584905660377,1156,1024,34114.09,27556,6724,6400,2809,15876,196,16,0,1.4161,15.21,0.001016559795254,5.651833392666429,8,1,6000000,6000000,31,30,172.0,166,71,68,37,139,12,8,0,1.18,3.56,OAK,0.0897932816537467,0.0239018087855297,3.756756756756757,961,900,29584.0,27556,5041,4624,1369,19321,144,64,0,1.3924,12.6736,0.00057129646322,14.113221329437543
Rich Hill,7,3,48000000,16000000,25,25,135.7,99,51,50,49,166,12,8,0,1.09,3.32,LAD,16.300417207752275,16.35448437639097,16.35448437639097,0.1359207401948743,0.0401211823466797,3.3877551020408165,625,625,18414.49,9801,2601,2500,2401,27556,144,64,0,1.1881000000000002,11.0224,0.0016097092728955,11.476884631403584,6,1,6000000,6000000,20,20,110.3,77,29,26,33,129,12,5,0,1.0,2.12,LAD,0.1299486249622242,0.0332426715019643,3.909090909090909,400,400,12166.09,5929,841,676,1089,16641,144,25,0,1.0,4.494400000000001,0.0011050752085875,15.28099173553719
Rich Hill,6,1,6000000,6000000,20,20,110.3,77,29,26,33,129,12,5,0,1.0,2.12,LAD,15.60727002719233,15.60727002719233,14.540918711853546,0.1299486249622242,0.0332426715019643,3.909090909090909,400,400,12166.09,5929,841,676,1089,16641,144,25,0,1.0,4.494400000000001,0.0011050752085875,15.28099173553719,5,1,0,0,4,4,29.0,14,5,5,5,36,2,1,0,0.65,1.55,BOS,0.1379310344827586,0.0191570881226053,7.2,16,16,841.0,196,25,25,25,1296,4,1,0,0.4225,2.4025000000000003,0.0003669940253372,51.84
Rich Hill,5,1,0,0,4,4,29.0,14,5,5,5,36,2,1,0,0.65,1.55,BOS,13.137251989898079,13.137251989898079,11.185850931283975,0.1379310344827586,0.0191570881226053,7.2,16,16,841.0,196,25,25,25,1296,4,1,0,0.4225,2.4025000000000003,0.0003669940253372,51.84,4,1,840000,840000,16,0,5.3,7,2,2,6,9,0,0,0,2.44,3.38,NYY,0.1886792452830188,0.1257861635220125,1.5,256,0,28.09,49,4,4,36,81,0,0,0,5.9536,11.4244,0.0158221589335864,2.25
Rich Hill,11,1,2500000,2500000,32,31,158.7,137,70,68,55,150,7,8,0,1.21,3.86,NYM,14.73180128983843,14.73180128983843,13.782731135087204,0.1050199537912203,0.0385073163901141,2.727272727272727,1024,961,25185.689999999995,18769,4900,4624,3025,22500,49,64,0,1.4641,14.8996,0.0014828134155683,7.438016528925619,10,1,3000000,3000000,8,8,38.7,28,13,13,17,31,2,2,0,1.16,3.03,MIN,0.0890037324145851,0.0488084984209015,1.8235294117647056,64,64,1497.6900000000005,784,169,169,289,961,4,4,0,1.3456,9.1809,0.0023822695181031,3.325259515570934
Ryan Vogelsong,5,1,4000000,4000000,33,22,135.0,140,76,70,58,108,9,11,0,1.47,4.67,SF,15.201804919084164,15.201804919084164,15.201804919084164,0.0888888888888888,0.0477366255144032,1.862068965517241,1089,484,18225.0,19600,5776,4900,3364,11664,81,121,0,2.1609,21.8089,0.0022787854155023,3.467300832342449,4,1,5000000,5000000,32,32,184.7,178,86,82,58,151,8,13,0,1.28,4.0,SF,0.0908379955483366,0.0348914155086326,2.603448275862069,1024,1024,34114.09,31684,7396,6724,3364,22801,64,169,0,1.6384,16.0,0.001217410876196,6.77794292508918
Ryan Vogelsong,6,1,2000000,2000000,24,14,82.1,81,51,44,40,61,3,7,0,1.47,4.82,PIT,14.508657738524219,14.98644350821201,14.98644350821201,0.0825551495466233,0.0541345242928677,1.525,576,196,6740.409999999999,6561,2601,1936,1600,3721,9,49,0,2.1609,23.2324,0.002930546720415,2.325625,5,1,4000000,4000000,33,22,135.0,140,76,70,58,108,9,11,0,1.47,4.67,SF,0.0888888888888888,0.0477366255144032,1.862068965517241,1089,484,18225.0,19600,5776,4900,3364,11664,81,121,0,2.1609,21.8089,0.0022787854155023,3.467300832342449
Scott Baker,4,1,1000000,1000000,25,8,80.7,82,49,49,14,55,3,4,0,1.19,5.47,TEX,13.815510557964274,13.815510557964274,13.815510557964274,0.0757262839047225,0.0192757813575657,3.928571428571429,625,64,6512.490000000001,6724,2401,2401,196,3025,9,16,0,1.4161,29.9209,0.0003715557469446,15.433673469387754,3,1,5500000,5500000,3,3,15.0,9,6,6,4,6,0,0,0,0.87,3.6,CHC,0.0444444444444444,0.0296296296296296,1.5,9,9,225.0,81,36,36,16,36,0,0,0,0.7569,12.96,0.000877914951989,2.25
Scott Feldman,4,3,30000000,10000000,29,29,180.3,185,86,75,50,107,8,12,0,1.3,3.74,HOU,16.300417207752275,16.300417207752275,16.300417207752275,0.0659394835767547,0.030812842792876,2.14,841,841,32508.090000000004,34225,7396,5625,2500,11449,64,144,0,1.6900000000000002,13.987600000000002,0.0009494312809784,4.5796,3,1,6000000,6000000,31,30,181.7,159,87,78,56,132,12,12,0,1.18,3.86,BAL,0.0807191341038341,0.0342444811349599,2.357142857142857,961,900,33014.89,25281,7569,6084,3136,17424,144,144,0,1.3924,14.8996,0.0011726844882026,5.556122448979592
Taijuan Walker,11,3,23000000,7666667,31,29,159.0,133,84,79,55,146,7,11,0,1.18,4.47,NYM,16.11809565095832,16.11809565095832,16.11809565095832,0.1020265548567435,0.0384346610761705,2.6545454545454548,961,841,25281.0,17689,7056,6241,3025,21316,49,121,0,1.3924,19.9809,0.00147722317204,7.046611570247935,10,1,2000000,2000000,11,11,53.3,43,23,16,19,50,4,3,0,1.16,2.7,TOR,0.1042318115488847,0.0396080883885761,2.631578947368421,121,121,2840.89,1849,529,256,361,2500,16,9,0,1.3456,7.290000000000001,0.0015688006657972,6.925207756232688
Wade Miley,10,2,15000000,7500000,6,4,14.3,15,10,9,9,12,0,3,0,1.67,5.65,CIN,15.60727002719233,15.60727002719233,14.614018154182041,0.0932400932400932,0.0699300699300699,1.3333333333333333,36,16,204.49,225,100,81,81,144,0,9,0,2.7889,31.922500000000003,0.0048902146804244,1.7777777777777777,9,1,4500000,4500000,33,33,167.3,164,83,74,61,140,14,6,0,1.35,3.98,HOU,0.0929800092980009,0.0405127183369861,2.295081967213114,1089,1089,27989.290000000005,26896,6889,5476,3721,19600,196,36,0,1.8225,15.8404,0.0016412803470519,5.26740123622682
