"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Patrick Corbin","2021","SP","WSH","$24,000,000","$416,666","$24,416,666","$24,416,666","6","$140,000,000","$62,270,452","2025","2019","29","31","220","6'4""",""
"","Jason Heyward","2021","RF","CHC","$21,000,000","$2,500,000","$23,500,000","$23,500,000","8","$184,000,000","$126,889,278","2024","2016","26","31","240","6'5""",""
"","Yu Darvish","2021","SP","SD","$23,000,000","$0","$23,000,000","$19,000,000","6","$126,000,000","$138,355,991","2024","2018","31","34","220","6'5""",""
"","Justin Upton","2021","LF","LAA","$23,000,000","$0","$23,000,000","$23,000,000","5","$106,000,000","$153,062,778","2023","2018","30","33","215","6'1""",""
"","Wil Myers","2021","LF","SD","$20,000,000","$2,500,000","$22,500,000","$22,500,000","6","$83,000,000","$53,233,776","2024","2017","26","30","207","6'3""",""
"","Zack Wheeler","2021","SP","PHI","$22,500,000","$0","$22,500,000","$22,500,000","5","$118,000,000","$44,305,242","2025","2020","29","31","195","6'4""",""
"","Freddie Freeman","2021","1B","ATL","$22,000,000","$359,375","$22,409,375","$22,409,375","8","$135,000,000","$123,739,279","2022","2014","24","31","220","6'5""",""
"","Buster Posey","2021","C","SF","$21,400,000","$777,777","$22,202,777","$22,202,777","8","$159,000,000","$153,910,967","2023","2013","25","34","210","6'1""",""
"","Charlie Blackmon","2021","RF","COL","$21,000,000","$333,333","$21,333,333","$21,333,333","6","$108,000,000","$90,545,937","2024","2018","31","35","221","6'3""",""
"","Josh Donaldson","2021","3B","MIN","$21,000,000","$0","$21,000,000","$21,000,000","4","$92,000,000","$108,667,798","2025","2020","34","35","210","6'1""",""
"","Eric Hosmer","2021","1B","SD","$20,000,000","$1,000,000","$21,000,000","$21,000,000","8","$144,000,000","$109,752,157","2026","2018","28","31","226","6'4""",""
"","Kenley Jansen","2021","RP/CL","LAD","$20,000,000","$0","$20,000,000","$20,000,000","5","$80,000,000","$92,615,505","2022","2017","29","33","265","6'5""",""
"","Hyun-Jin Ryu","2021","SP","TOR","$20,000,000","$0","$20,000,000","$20,000,000","4","$80,000,000","$81,382,407","2024","2020","32","34","255","6'3""",""
"","Xander Bogaerts","2021","SS","BOS","$20,000,000","$0","$20,000,000","$20,000,000","6","$120,000,000","$53,190,366","2027","2019","26","28","218","6'2""",""
"","J.D. Martinez","2021","DH","BOS","$19,350,000","$0","$19,350,000","$19,350,000","5","$110,000,000","$99,071,096","2023","2018","30","33","230","6'3""",""
"","Madison Bumgarner","2021","SP","ARI","$19,000,000","$0","$19,000,000","$14,000,000","5","$85,000,000","$83,182,222","2025","2020","30","31","257","6'4""",""
"","Kyle Seager","2021","3B","SEA","$18,000,000","$500,000","$18,500,000","$18,500,000","7","$100,000,000","$104,385,300","2022","2015","27","33","210","6'0""",""
"","Matt Carpenter","2021","3B","STL","$18,500,000","$0","$18,500,000","$18,500,000","2","$39,000,000","$78,423,996","2023","2019","33","35","210","6'4""",""
"","Evan Longoria","2021","3B","SF","$18,500,000","$0","$18,500,000","$16,500,000","6","$100,000,000","$116,352,890","2024","2016","30","35","215","6'1""",""
"","Trevor Story","2021","SS","COL","$17,500,000","$1,000,000","$18,500,000","$18,500,000","2","$27,500,000","$29,980,463","2022","2020","27","28","213","6'2""",""
"","Yasmani Grandal","2021","C","CHW","$18,250,000","$0","$18,250,000","$18,250,000","4","$73,000,000","$65,718,259","2024","2020","31","32","225","6'2""",""
"","A.J. Pollock","2021","LF","LAD","$15,000,000","$3,000,000","$18,000,000","$18,000,000","5","$60,000,000","$53,498,337","2023","2019","31","33","210","6'1""",""
"","Dallas Keuchel","2021","SP","CHW","$18,000,000","$0","$18,000,000","$18,000,000","3","$55,500,000","$77,584,347","2024","2020","31","33","205","6'2""",""
"","Jose Abreu","2021","1B","CHW","$16,000,000","$1,666,666","$17,666,666","$17,666,666","3","$50,000,000","$99,044,074","2023","2020","32","34","235","6'3""",""
"","Brandon Belt","2021","1B","SF","$16,000,000","$1,200,000","$17,200,000","$17,200,000","5","$72,800,000","$76,927,998","2022","2016","27","33","235","6'4""",""
"","Aroldis Chapman","2021","RP","NYY","$15,000,000","$2,200,000","$17,200,000","$14,838,710","3","$48,000,000","$131,066,491","2023","2020","31","33","218","6'4""",""
"","Nathan Eovaldi","2021","SP","BOS","$17,000,000","$0","$17,000,000","$17,000,000","4","$68,000,000","$55,065,197","2023","2019","28","31","217","6'2""",""
"","Miles Mikolas","2021","SP","STL","$15,750,000","$1,000,000","$16,750,000","$16,750,000","4","$68,000,000","$42,734,870","2024","2019","30","32","220","6'5""",""
"","Yusei Kikuchi","2021","SP","SEA","$15,000,000","$1,500,000","$16,500,000","$16,500,000","3","$43,000,000","$34,185,185","2026","2019","27","30","194","6'0""",""
"","Dexter Fowler","2021","RF","LAA","$14,500,000","$2,000,000","$16,500,000","$1,750,000","5","$82,500,000","$106,575,370","2022","2017","30","35","205","6'5""",""
"","Anthony Rizzo","2021","1B","NYY","$16,500,000","$0","$16,500,000","$0","7","$41,000,000","$62,565,422","2022","2013","23","31","240","6'3""",""
"","Lorenzo Cain","2021","CF","MIL","$17,000,000","$0","$16,000,000","$16,000,000","5","$80,000,000","$70,830,580","2023","2018","31","35","214","6'2""",""
"","Craig Kimbrel","2021","RP/CL","CHW","$16,000,000","$0","$16,000,000","$5,591,430","3","$43,000,000","$88,275,188","2023","2019","30","33","215","6'0""",""
"","Danny Duffy","2021","SP","LAD","$15,500,000","$0","$15,500,000","$500,000","5","$65,000,000","$64,194,929","2022","2017","28","32","205","6'3""",""
"","Brandon Crawford","2021","SS","SF","$15,000,000","$200,000","$15,200,000","$15,200,000","6","$75,000,000","$70,889,183","0","2016","28","34","227","6'2""",""
"","Alex Cobb","2021","SP","LAA","$15,000,000","$0","$15,000,000","$5,000,000","4","$57,000,000","$51,095,287","2022","2018","30","33","205","6'3""",""
"","Nick Castellanos","2021","RF","CIN","$14,000,000","$0","$14,075,000","$13,849,496","4","$64,000,000","$43,942,249","2025","2020","27","29","203","6'4""",""
"","Mike Moustakas","2021","3B","CIN","$14,000,000","$0","$14,000,000","$14,000,000","4","$64,000,000","$60,006,308","2025","2020","31","32","225","6'0""",""
"","Kyle Hendricks","2021","SP","CHC","$14,000,000","$0","$14,000,000","$14,000,000","4","$55,500,000","$32,149,468","2024","2019","29","31","190","6'3""",""
"","Christian Yelich","2021","LF","MIL","$14,000,000","$0","$14,000,000","$14,000,000","7","$188,500,000","$42,835,613","2030","2020","28","29","195","6'3""",""
"","Will Smith","2021","RP","ATL","$13,000,000","$0","$13,000,000","$13,000,000","3","$40,000,000","$30,322,101","2024","2020","30","31","255","6'5""",""
"","Zack Britton","2021","RP","NYY","$13,000,000","$0","$13,000,000","$13,000,000","3","$39,000,000","$65,931,918","2023","2019","31","33","200","6'1""",""
"","Alex Bregman","2021","3B","HOU","$11,000,000","$1,666,667","$12,666,666","$12,666,666","5","$100,000,000","$32,947,084","2025","2019","24","27","192","6'0""",""
"","Starling Marte","2021","CF","OAK","$12,500,000","$0","$12,500,000","$205,489","6","$31,000,000","$44,342,076","2022","2014","25","32","195","6'1""",""
"","Aaron Nola","2021","SP","PHI","$11,750,000","$500,000","$12,250,000","$12,250,000","4","$45,000,000","$25,856,353","2024","2019","25","28","195","6'2""",""
"","Andrew Miller","2021","RP","STL","$12,000,000","$0","$12,000,000","$12,000,000","2","$25,000,000","$78,004,603","2021","2018","32","36","200","6'7""",""
"","Carlos Carrasco","2021","SP","NYM","$12,000,000","$0","$12,000,000","$12,000,000","4","$47,000,000","$48,953,465","2024","2019","31","34","224","6'4""",""
"","Carlos Martinez","2021","SP","STL","$11,500,000","$200,000","$11,700,000","$11,700,000","5","$51,000,000","$46,974,569","2024","2017","25","29","190","6'0""",""
"","Jeurys Familia","2021","RP","NYM","$11,000,000","$666,668","$11,666,668","$16,666,668","3","$30,000,000","$40,853,874","2022","2019","29","31","240","6'3""",""
"","Kevin Kiermaier","2021","CF","TB","$11,500,000","$166,666","$11,666,666","$11,666,666","6","$53,500,000","$34,162,095","2024","2017","26","31","210","6'1""",""
"","Kyle Gibson","2021","SP","PHI","$10,000,000","$0","$11,500,000","$11,500,000","3","$28,000,000","$34,932,074","2023","2020","32","33","215","6'6""",""
"","Blake Snell","2021","SP","SD","$10,500,000","$600,000","$11,100,000","$11,100,000","5","$50,000,000","$19,035,897","2024","2019","26","28","225","6'4""",""
"","Miguel Sano","2021","1B","MIN","$11,000,000","$0","$11,000,000","$11,000,000","3","$30,000,000","$19,757,744","2024","2020","26","28","272","6'4""",""
"","Aaron Hicks","2021","CF","NYY","$10,500,000","$285,714","$10,785,714","$10,785,714","7","$70,000,000","$29,946,435","2027","2019","29","31","205","6'1""",""
"","Avisail Garcia","2021","RF","MIL","$10,500,000","$250,000","$10,750,000","$10,750,000","2","$20,000,000","$33,565,538","2023","2020","28","30","250","6'4""",""
"","Luis Severino","2021","SP","NYY","$10,250,000","$500,000","$10,750,000","$10,750,000","4","$40,000,000","$21,805,889","2024","2019","24","27","215","6'2""",""
"","Randal Grichuk","2021","RF","TOR","$9,333,333","$1,000,000","$10,333,333","$10,333,333","5","$52,000,000","$31,555,991","2024","2019","27","29","216","6'2""",""
"","Michael Pineda","2021","SP","MIN","$10,000,000","$0","$10,000,000","$10,000,000","2","$20,000,000","$33,779,247","2022","2020","30","32","280","6'7""",""
"","Corey Dickerson","2021","LF","TOR","$9,500,000","$0","$9,500,000","$2,250,000","2","$17,500,000","$31,698,867","2022","2020","30","32","200","6'1""",""
"","Lance Lynn","2021","SP","CHW","$8,000,000","$1,333,334","$9,333,334","$9,333,334","3","$30,000,000","$61,440,917","0","2019","31","34","270","6'5""",""
"","Raisel Iglesias","2021","RP/CL","LAA","$9,125,000","$0","$9,125,000","$9,125,000","3","$24,125,000","$35,458,333","2022","2019","28","31","190","6'2""",""
"","Max Muncy","2021","1B","LAD","$7,500,000","$1,500,000","$9,000,000","$9,000,000","3","$26,000,000","$14,049,043","2024","2020","29","30","215","6'0""",""
"","Elvis Andrus","2021","SS","OAK","$7,750,000","$250,000","$8,800,000","$8,300,000","8","$120,000,000","$113,626,156","2024","2015","26","32","200","6'0""",""
"","Ryan Pressly","2021","RP/CL","HOU","$8,750,000","$0","$8,750,000","$8,750,000","2","$17,500,000","$18,840,766","2023","2019","30","32","206","6'2""",""
"","Joe Kelly","2021","RP","LAD","$8,500,000","$0","$8,500,000","$8,500,000","3","$25,000,000","$28,825,055","2023","2019","30","33","174","6'1""",""
"","Wade Miley","2021","SP","CIN","$8,000,000","$0","$8,150,000","$8,150,000","2","$15,000,000","$39,603,762","2023","2020","33","34","220","6'2""",""
"","Nick Ahmed","2021","SS","ARI","$7,500,000","$375,000","$8,125,000","$8,125,000","4","$32,500,000","$18,073,695","2024","2020","29","31","201","6'2""",""
"","Travis d'Arnaud","2021","C","ATL","$8,000,000","$0","$8,000,000","$8,000,000","2","$16,000,000","$20,078,070","0","2020","30","32","210","6'2""",""
"","Will Harris","2021","RP","WSH","$8,000,000","$0","$8,000,000","$8,000,000","3","$24,000,000","$22,143,927","2023","2020","35","36","240","6'4""",""
"","Jordan Lyles","2021","SP","TEX","$8,000,000","$0","$8,000,000","$8,000,000","2","$16,000,000","$26,444,136","2022","2020","29","30","230","6'5""",""
"","Drew Pomeranz","2021","RP","SD","$6,000,000","$2,000,000","$8,000,000","$8,000,000","4","$34,000,000","$32,152,740","2024","2020","31","32","246","6'5""",""
"","Ian Desmond","2021","CF","COL","$8,000,000","$0","$8,000,000","$8,000,000","5","$70,000,000","$78,484,000","2023","2017","31","35","220","6'3""",""
"","Chris Taylor","2021","2B","LAD","$7,800,000","$0","$7,800,000","$7,800,000","2","$13,400,000","$15,465,516","2022","2020","29","30","196","6'1""",""
"","German Marquez","2021","SP","COL","$7,500,000","$300,000","$7,800,000","$7,800,000","5","$43,000,000","$13,006,516","2025","2019","23","26","230","6'1""",""
"","Felipe Vazquez","2021","RP","PIT","$7,250,000","$500,000","$7,750,000","$7,750,000","4","$22,500,000","$10,002,130","2024","2018","26","29","225","6'2""",""
"","Stephen Piscotty","2021","RF","OAK","$7,250,000","$333,333","$7,583,333","$7,583,333","6","$33,500,000","$22,996,257","2024","2017","25","30","211","6'4""",""
"","David Peralta","2021","LF","ARI","$7,500,000","$0","$7,500,000","$7,500,000","3","$22,000,000","$22,541,393","2023","2020","32","33","210","6'1""",""
"","Whit Merrifield","2021","RF","KC","$6,750,000","$0","$7,450,000","$7,450,000","4","$16,250,000","$11,792,402","2025","2019","29","32","195","6'1""",""
"","Tim Anderson","2021","SS","CHW","$7,250,000","$0","$7,250,000","$7,250,000","6","$25,000,000","$14,464,376","2025","2017","23","28","185","6'1""",""
"","Adam Ottavino","2021","RP","BOS","$7,150,000","$75,044","$7,225,044","$7,225,044","3","$27,000,000","$34,273,958","2022","2019","33","35","246","6'5""",""
"","Chris Martin","2021","RP","ATL","$7,000,000","$0","$7,000,000","$7,000,000","2","$14,000,000","$13,791,946","2024","2020","33","35","225","6'8""",""
"","Shogo Akiyama","2021","CF","CIN","$7,000,000","$0","$7,000,000","$7,000,000","3","$21,000,000","$9,222,222","2023","2020","31","33","190","6'0""",""
"","Yoan Moncada","2021","3B","CHW","$6,000,000","$800,000","$6,800,000","$6,800,000","5","$70,000,000","$41,300,012","2026","2020","24","26","225","6'2""",""
"","Andrew Benintendi","2021","LF","KC","$6,600,000","$0","$6,600,000","$3,800,000","2","$10,000,000","$13,508,585","2023","2020","25","26","180","5'9""",""
"","Max Kepler","2021","RF","MIN","$6,500,000","$0","$6,500,000","$6,500,000","5","$35,000,000","$17,174,086","2025","2019","25","28","220","6'4""",""
"","Christian Vazquez","2021","C","BOS","$6,250,000","$0","$6,250,000","$6,250,000","3","$13,350,000","$13,797,262","2023","2018","27","30","205","5'9""",""
"","Yan Gomes","2021","C","OAK","$6,000,000","$0","$6,000,000","$2,096,770","2","$10,000,000","$31,242,053","2022","2020","32","33","215","6'2""",""
"","Daniel Hudson","2021","RP/CL","SD","$6,000,000","$0","$6,000,000","$2,096,770","2","$11,000,000","$27,035,107","2022","2020","32","34","215","6'3""",""
"","Dellin Betances","2021","RP","NYM","$6,000,000","$0","$6,000,000","$6,000,000","1","$10,500,000","$30,797,341","2022","2020","31","33","265","6'8""",""
"","Ketel Marte","2021","CF","ARI","$6,000,000","$0","$6,000,000","$6,000,000","5","$24,000,000","$13,812,140","0","2018","24","27","165","6'1""",""
"","Kenta Maeda","2021","SP","MIN","$3,000,000","$125,000","$5,625,000","$2,561,000","8","$25,000,000","$46,414,704","2024","2016","27","33","184","6'1""",""
"","Marco Gonzales","2021","SP","SEA","$5,000,000","$250,000","$5,250,000","$5,250,000","4","$30,000,000","$9,950,517","2026","2020","27","29","195","6'1""",""
"","Ronald Acuna Jr.","2021","RF","ATL","$5,000,000","$0","$5,000,000","$5,000,000","8","$100,000,000","$6,936,240","2029","2019","21","23","205","6'0""",""
"","Miguel Rojas","2021","SS","MIA","$5,000,000","$0","$5,000,000","$5,000,000","2","$10,250,000","$15,722,502","2023","2020","30","32","188","6'0""",""
"","Jose Leclerc","2021","RP/CL","TEX","$4,000,000","$500,000","$4,500,000","$4,500,000","4","$14,750,000","$8,984,787","2025","2019","25","27","190","6'0""",""
"","Craig Stammen","2021","RP","SD","$4,000,000","$0","$4,500,000","$4,500,000","2","$9,000,000","$19,574,963","2023","2020","35","37","228","6'2""",""
"","Eloy Jimenez","2021","DH","CHW","$3,500,000","$833,333","$4,333,333","$4,333,333","6","$43,000,000","$12,855,556","2027","2019","22","24","235","6'4""",""
"","Merrill Kelly","2021","SP","ARI","$4,250,000","$0","$4,250,000","$4,250,000","2","$5,500,000","$7,361,111","0","2019","30","32","202","6'2""",""
"","Paul DeJong","2021","SS","STL","$4,000,000","$166,666","$4,166,666","$4,166,666","6","$26,000,000","$8,790,556","2026","2018","24","27","205","6'0""",""
"","Scott Oberg","2021","RP","COL","$4,000,000","$0","$4,000,000","$4,000,000","3","$13,000,000","$7,921,284","2023","2020","29","31","203","6'2""",""
"","Joe Smith","2021","RP","SEA","$4,000,000","$0","$4,000,000","$1,462,340","2","$8,000,000","$45,563,000","2022","2020","35","37","211","6'2""",""
"","Jake Diekman","2021","RP","OAK","$4,000,000","$0","$4,000,000","$4,000,000","2","$7,500,000","$16,654,481","2023","2020","32","34","195","6'4""",""
"","Kwang-hyun Kim","2021","SP","STL","$4,000,000","$0","$4,000,000","$4,000,000","2","$8,000,000","$5,481,481","2026","2020","31","32","195","6'2""",""
"","Lourdes Gurriel Jr.","2021","LF","TOR","$3,500,000","$428,571","$3,928,571","$3,928,571","7","$22,000,000","$6,925,926","2025","2017","23","27","215","6'4""",""
"","Stephen Vogt","2021","C","ATL","$3,500,000","$0","$3,500,000","$1,467,726","1","$3,000,000","$12,962,499","2022","2020","35","36","225","6'0""",""
"","Leury Garcia","2021","OF","CHW","$3,500,000","$0","$3,500,000","$3,500,000","1","$3,500,000","$8,990,659","2022","2020","28","30","190","5'8""",""
"","Luis Robert","2021","CF","CHW","$3,500,000","$0","$3,500,000","$3,500,000","6","$50,000,000","$30,055,556","2028","2020","22","23","220","6'2""",""
"","Martin Maldonado","2021","C","HOU","$3,500,000","$0","$3,500,000","$3,500,000","2","$7,000,000","$16,460,356","2022","2020","33","34","230","6'0""",""
"","Ozzie Albies","2021","2B","ATL","$3,000,000","$0","$3,000,000","$3,000,000","7","$35,000,000","$5,456,596","2028","2019","21","24","165","5'8""",""
"","Wilmer Flores","2021","2B","SF","$3,000,000","$0","$3,000,000","$3,000,000","2","$6,250,000","$16,225,803","0","2020","28","29","205","6'3""",""
"","Joely Rodriguez","2021","RP","NYY","$2,500,000","$0","$2,500,000","$0","2","$5,500,000","$7,275,396","2023","2020","28","29","200","6'1""",""
"","Pierce Johnson","2021","RP","SD","$2,000,000","$0","$2,000,000","$2,000,000","2","$5,000,000","$4,531,836","2023","2020","28","30","200","6'2""",""
"","Aaron Bummer","2021","RP","CHW","$2,000,000","$0","$2,000,000","$2,000,000","5","$16,000,000","$3,421,731","2027","2020","26","27","215","6'3""",""
"","Brooks Raley","2021","RP","HOU","$2,000,000","$0","$2,000,000","$2,000,000","1","$563,500","$3,037,720","2026","2020","31","33","200","6'3""",""
"","Brent Suter","2021","RP","MIL","$1,500,000","$0","$1,550,000","$1,550,000","2","$2,500,000","$3,566,140","2024","2020","30","31","213","6'4""",""
"","Evan White","2021","1B","SEA","$1,300,000","$0","$1,300,000","$1,300,000","6","$24,000,000","$4,906,481","2029","2020","23","25","205","6'3""",""
"","David Bote","2021","2B","CHC","$1,000,000","$10,000","$1,010,000","$1,010,000","5","$15,000,000","$2,356,352","2027","2020","26","28","205","6'1""",""
"","Brett Phillips","2021","RF","TB","$584,400","$0","$584,400","$584,400","1","$584,400","$1,452,563","2025","2020","25","27","195","6'0""",""
