"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Mike Moustakas","2021","3B","CIN","$14,000,000","$14,000,000","$14,000,000",""
"","Corey Seager","2021","SS","LAD","$13,750,000","$13,750,000","$13,750,000",""
"","Nelson Cruz","2021","DH","TB","$13,000,000","$13,000,000","$5,102,116",""
"","Zack Britton","2021","RP","NYY","$13,000,000","$13,000,000","$13,000,000",""
"","Will Smith","2021","RP","ATL","$13,000,000","$13,000,000","$13,000,000",""
"","Trea Turner","2021","SS","LAD","$13,000,000","$13,000,000","$4,567,568",""
"","Didi Gregorius","2021","SS","PHI","$12,000,000","$12,750,000","$12,750,000",""
"","Alex Bregman","2021","3B","HOU","$11,000,000","$12,666,666","$12,666,666",""
"","Starling Marte","2021","CF","OAK","$12,500,000","$12,500,000","$205,489",""
"","Rougned Odor","2021","2B","NYY","$12,000,000","$12,333,333","$0",""
"","Michael Conforto","2021","RF","NYM","$12,250,000","$12,250,000","$12,250,000",""
"","Aaron Nola","2021","SP","PHI","$11,750,000","$12,250,000","$12,250,000",""
"","Andrew Miller","2021","RP","STL","$12,000,000","$12,000,000","$12,000,000",""
"","Carlos Carrasco","2021","SP","NYM","$12,000,000","$12,000,000","$12,000,000",""
"","Justin Turner","2021","3B","LAD","$8,000,000","$12,000,000","$12,000,000",""
"","Carlos Martinez","2021","SP","STL","$11,500,000","$11,700,000","$11,700,000",""
"","Carlos Correa","2021","SS","HOU","$11,700,000","$11,700,000","$11,700,000",""
"","Jeurys Familia","2021","RP","NYM","$11,000,000","$11,666,668","$16,666,668",""
"","Kevin Kiermaier","2021","CF","TB","$11,500,000","$11,666,666","$11,666,666",""
"","Javier Baez","2021","SS","NYM","$11,650,000","$11,650,000","$199,355",""
"","Kyle Gibson","2021","SP","PHI","$10,000,000","$11,500,000","$11,500,000",""
"","Liam Hendriks","2021","RP/CL","CHW","$11,000,000","$11,333,333","$11,333,333",""
"","Blake Snell","2021","SP","SD","$10,500,000","$11,100,000","$11,100,000",""
"","Trevor Rosenthal","2021","RP","OAK","$11,000,000","$11,000,000","$11,000,000",""
"","Corey Kluber","2021","SP","NYY","$11,000,000","$11,000,000","$11,000,000",""
"","Drew Smyly","2021","SP","ATL","$11,000,000","$11,000,000","$11,000,000",""
"","Miguel Sano","2021","1B","MIN","$11,000,000","$11,000,000","$11,000,000",""
"","Aaron Hicks","2021","CF","NYY","$10,500,000","$10,785,714","$10,785,714",""
"","Eugenio Suarez","2021","3B","CIN","$10,500,000","$10,785,714","$10,785,714",""
"","Avisail Garcia","2021","RF","MIL","$10,500,000","$10,750,000","$10,750,000",""
"","Luis Severino","2021","SP","NYY","$10,250,000","$10,750,000","$10,750,000",""
