Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIN,6.3,2020,2018,2018,1,318,101124,59,3481,0,6,30,30,Minnesota Twins,TB,18648494,15,225,95,162,9025,Logan Morrison,0.644,0.41473600000000005,6,245,15,0.186,0.034596,0.586,0.343396,DH,0.4814814814814814,39,1521,UFA,5500000,5500000,5500000,0.0,0.0,6500000,52250000,6500000,6500000,78,-0.31,0.0961,3,15.520258650202699,15.520258650202699,15.520258650202699
OAK,6.0,2019,2018,2018,1,415,172225,100,10000,0,3,32,31,Oakland Athletics,COL,25714000,4,16,126,162,15876,Jonathan Lucroy,0.617,0.380689,15,200,27,0.241,0.058080999999999994,0.778,0.605284,C,0.5987654320987654,51,2601,UFA,6500000,6500000,6500000,5.94,35.28360000000001,6500000,18000000,6500000,6500000,97,-0.69,0.4760999999999999,9,15.687312734865866,15.687312734865866,15.687312734865866
MIL,6.0,2020,2018,2018,1,573,328329,144,20736,0,5,29,29,Milwaukee Brewers,KC,30511864,28,784,153,163,23409,Mike Moustakas,0.774,0.599076,1,225,5,0.251,0.063001,0.939,0.8817209999999999,3B,0.588957055214724,95,9025,UFA,1922050,5500000,7700000,56.33,3173.0688999999998,6500000,103750000,6500000,6500000,96,2.12,4.494400000000001,0,14.46890288274216,15.520258650202699,15.856730886823913
CIN,0.0,2020,2018,2018,2,1,1,0,0,0,3,33,32,Cincinnati Reds,ARI,14925000,0,0,57,162,3249,David Hernandez,0.0,0.0,10,245,15,0.0,0.0,0.352,0.12390399999999999,RP,0.4135802469135802,0,0,UFA,2800000,2500000,2800000,75.49,5698.740099999999,5000000,10250000,5000000,2500000,67,1.78,3.1684,5,14.845129975145433,14.73180128983843,14.845129975145433
MIL,6.1,2019,2018,2018,1,343,117649,83,6889,0,5,37,36,Milwaukee Brewers,LAD,105738342,13,169,123,163,15129,Curtis Granderson,0.782,0.6115240000000001,1,200,5,0.242,0.058564,0.755,0.570025,RF,0.588957055214724,38,1444,UFA,833342,5000000,5000000,39.12,1530.3743999999997,5000000,103750000,5000000,5000000,96,0.6,0.36,0,13.63319940111624,15.424948470398375,15.424948470398375
STL,6.3,2019,2018,2018,1,306,93636,73,5329,0,3,29,29,St. Louis Cardinals,ATL,11229427,21,441,121,162,14641,Matt Adams,0.786,0.617796,23,245,28,0.239,0.057121,0.747,0.558009,1B,0.5432098765432098,57,3249,UFA,881705,4000000,4000000,35.31,1246.7961000000003,4000000,28000000,4000000,4000000,88,1.37,1.8769000000000002,11,13.689612811922144,15.201804919084164,15.201804919084164
DET,6.3,2019,2018,2018,1,1,1,0,0,0,3,34,34,Detroit Tigers,HOU,63293000,0,0,27,162,729,Francisco Liriano,0.0,0.0,11,218,16,0.0,0.0,0.167,0.027889000000000004,SP,0.3950617283950617,0,0,UFA,4000000,4000000,4000000,22.68,514.3824,4000000,11750000,4000000,4000000,64,0.0,0.0,4,15.201804919084164,15.201804919084164,15.201804919084164
NYY,0.0,2019,2018,2018,1,347,120409,76,5776,0,2,32,32,New York Yankees,MIL,52087000,11,121,113,162,12769,Neil Walker,0.664,0.44089600000000007,40,210,54,0.219,0.047961,0.698,0.4872039999999999,2B,0.6172839506172839,46,2116,UFA,4000000,4000000,4000000,18.33,335.98889999999994,4000000,14000000,4000000,4000000,100,-0.14,0.019600000000000003,27,15.201804919084164,15.201804919084164,15.201804919084164
TB,6.3,2019,2018,2018,1,360,129600,75,5625,0,2,32,32,Tampa Bay Rays,TEX,50210920,9,81,118,162,13924,Carlos Gomez,0.634,0.40195600000000004,1,220,4,0.208,0.043264,0.728,0.529984,RF,0.5555555555555556,32,1024,UFA,4400000,4000000,4400000,20.15,406.0224999999999,4000000,6500000,4000000,4000000,90,0.61,0.3721,0,15.29711509888849,15.201804919084164,15.29711509888849
ATL,6.4,2019,2018,2018,1,328,107584,79,6241,0,4,32,31,Atlanta Braves,TB,25060911,14,196,108,162,11664,Lucas Duda,0.731,0.534361,18,255,24,0.241,0.058080999999999994,0.667,0.44488900000000003,1B,0.5555555555555556,50,2500,UFA,301075,3500000,3800000,28.73,825.4129,3500000,2900000,3500000,3500000,90,0.49,0.24009999999999998,3,12.61511468212868,15.068273526459642,15.150511624696614
