Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAA,6.2,2017,7,1,148,21904,5,4,83,6889,82,6724,2.6444444444444444,6.993086419753086,0.036231884057971016,0.0013127494223902543,0.09581320450885668,0.009180170158255993,5.35,28.622499999999995,33,Los Angeles Angels,LAD,California,138.0,19044.0,38,162,1444,21,441,Jesse Chavez,11,121,1,175,10,RP,0.4938271604938271,0,0,UFA,119,14161,6550000,5750000,6550000,0.0,0.0,5750000,24750000,5750000,80,-0.17,0.028900000000000006,1.4,1.9599999999999997,1,45,2025,7,49,15.694975607611434,15.564710412773533,15.694975607611434
SD,6.3,2017,7,1,157,24649,5,4,82,6724,78,6084,2.125,4.515625,0.044370493621741544,0.001968740704237007,0.09428729894620078,0.008890094742570234,3.89,15.132100000000001,29,San Diego Padres,LAA,California,180.3,32508.090000000004,34,162,1156,32,1024,Jhoulys Chacin,10,100,2,215,5,SP,0.4382716049382716,0,0,UFA,153,23409,1750000,1750000,1750000,79.71,6353.684099999999,1750000,8250000,1750000,71,2.54,6.4516,1.27,1.6129,0,72,5184,13,169,14.375126345899696,14.375126345899696,14.375126345899696
KC,6.3,2016,7,3,49,2401,2,4,24,576,23,529,3.2,10.240000000000002,0.03968253968253968,0.0015747039556563364,0.12698412698412698,0.016124968505920885,3.7,13.690000000000001,33,Kansas City Royals,PIT,Missouri,56.0,3136.0,59,162,3481,0,0,Joakim Soria,3,9,4,205,9,RP/CL,0.4938271604938271,1,1,UFA,64,4096,8000000,8000000,8000000,34.09,1162.1281000000001,25000000,43800000,8333333,80,1.05,1.1025,1.23,1.5129,2,20,400,4,16,15.89495209964411,15.89495209964411,15.89495209964411
PIT,6.4,2017,7,1,43,1849,2,2,28,784,26,676,2.090909090909091,4.37190082644628,0.04859730505853766,0.00236169805895257,0.10161254694057875,0.01032510969575132,4.65,21.622500000000002,40,Pittsburgh Pirates,TOR,Pennsylvania,50.3,2530.0899999999997,52,162,2704,0,0,Joaquin Benoit,6,36,9,250,17,RP,0.4629629629629629,2,4,UFA,46,2116,7500000,7500000,2581992,8.63,74.47690000000001,7500000,37000000,7500000,75,0.57,0.32489999999999997,1.29,1.6641000000000001,5,22,484,1,1,15.830413578506539,15.830413578506539,14.76407175201057
WSH,6.3,2017,7,1,52,2704,1,4,29,841,28,784,3.0,9.0,0.03260596940055179,0.0010631492405497197,0.09781790820165538,0.00956834316494748,5.68,32.2624,36,Washington Nationals,LAD,Washington DC,44.3,1962.4899999999998,51,163,2601,0,0,Joe Blanton,4,16,1,252,5,RP,0.5950920245398773,0,0,UFA,39,1521,4000000,4000000,4000000,3.05,9.302499999999998,4000000,10400000,4000000,97,-0.23,0.0529,1.47,2.1609,0,13,169,2,4,15.201804919084164,15.201804919084164,15.201804919084164
CHC,6.6,2016,7,2,165,27225,2,3,93,8649,87,7569,2.811320754716981,7.903524385902457,0.034498470350842934,0.001190144456547989,0.09698626570331316,0.009406335735073658,4.59,21.068099999999998,38,Chicago Cubs,STL,Illinois,170.7,29138.489999999994,32,162,1024,30,900,John Lackey,12,144,17,235,19,SP,0.5679012345679012,0,0,UFA,149,22201,16000000,16000000,16000000,25.39,644.6521,32000000,16000000,16000000,92,1.13,1.2768999999999997,1.28,1.6384,3,53,2809,12,144,16.588099280204055,16.588099280204055,16.588099280204055
CHC,6.4,2015,7,6,179,32041,2,3,101,10201,87,7569,3.0,9.0,0.03689356207341819,0.0013611349224651613,0.11068068622025456,0.012250214302186448,4.33,18.7489,33,Chicago Cubs,OAK,Illinois,180.7,32652.489999999994,32,162,1024,32,1024,Jon Lester,8,64,17,240,19,SP,0.5679012345679012,0,0,UFA,180,32400,25000000,20000000,25000000,21.74,472.6275999999999,155000000,16000000,25833333,92,0.71,0.5041,1.32,1.7424000000000002,3,60,3600,13,169,17.034386382832476,16.811242831518264,17.034386382832476
DET,6.2,2016,7,5,204,41616,1,1,111,12321,108,11664,2.340909090909091,5.479855371900826,0.030555555555555555,0.0009336419753086419,0.07152777777777777,0.00511622299382716,6.08,36.9664,31,Detroit Tigers,WSH,Michigan,160.0,25600.0,29,162,841,29,841,Jordan Zimmermann,13,169,11,225,16,SP,0.3950617283950617,0,0,UFA,103,10609,18000000,18000000,18000000,3.02,9.1204,110000000,2000000,22000000,64,0.34,0.11560000000000002,1.55,2.4025000000000003,4,44,1936,8,64,16.70588231586044,16.70588231586044,16.70588231586044
MIA,0.0,2017,7,2,55,3025,2,6,35,1225,35,1225,1.7272727272727273,2.9834710743801653,0.04420333534257585,0.0019539348554082157,0.07635121559172192,0.0058295081223336005,5.69,32.3761,31,Miami Marlins,BOS,Florida,55.3,3058.0899999999997,55,162,3025,0,0,Junichi Tazawa,5,25,2,200,2,RP,0.4753086419753086,0,0,UFA,38,1444,5000000,5000000,5000000,3.28,10.758399999999998,12000000,57250000,6000000,77,-0.69,0.4760999999999999,1.39,1.9320999999999997,2,22,484,3,9,15.424948470398375,15.424948470398375,15.424948470398375
LAD,6.5,2017,7,5,44,1936,5,6,11,121,10,100,15.571428571428571,242.46938775510202,0.011387668781519441,0.0001296790002775925,0.17732227102651701,0.03144318780200155,1.32,1.7424000000000002,29,Los Angeles Dodgers,LAD,California,68.3,4664.889999999999,65,162,4225,0,0,Kenley Jansen,0,0,25,265,31,RP/CL,0.6419753086419753,41,1681,UFA,109,11881,11333333,10000000,11333333,90.26,8146.8676000000005,80000000,199600000,16000000,104,2.96,8.7616,0.75,0.5625,6,7,49,5,25,16.24325876450056,16.11809565095832,16.24325876450056
CHC,6.2,2017,7,1,38,1444,2,3,21,441,19,361,4.166666666666667,17.361111111111114,0.031007751937984496,0.0009614806802475813,0.12919896640826872,0.01669237292096495,3.98,15.8404,42,Chicago Cubs,BOS,Illinois,43.0,1849.0,49,162,2401,0,0,Koji Uehara,4,16,17,195,19,RP,0.5679012345679012,2,4,UFA,50,2500,6000000,6000000,6000000,17.88,319.6944,6000000,16000000,6000000,92,0.16,0.0256,1.16,1.3456,3,12,144,3,9,15.60727002719233,15.60727002719233,15.60727002719233
HOU,6.3,2015,7,3,62,3844,2,3,31,961,31,961,3.5,12.25,0.03642987249544627,0.0013271356100344725,0.12750455373406194,0.016257411222922288,4.57,20.884900000000002,33,Houston Astros,OAK,Texas,61.0,3721.0,65,162,4225,0,0,Luke Gregerson,3,9,2,200,11,RP,0.6234567901234568,1,1,UFA,70,4900,6250000,6250000,6250000,4.46,19.8916,18500000,82000000,6166667,101,0.03,0.0009,1.34,1.7956000000000003,1,20,400,2,4,15.648092021712584,15.648092021712584,15.648092021712584
SEA,6.2,2017,7,2,29,841,1,2,16,256,14,196,1.25,1.5625,0.07099751508697195,0.00504064714852481,0.08874689385871495,0.007876011169570018,4.02,16.160399999999996,31,Seattle Mariners,WSH,Washington,31.3,979.69,64,162,4096,0,0,Marc Rzepczynski,2,4,0,220,4,RP,0.4814814814814814,1,1,UFA,25,625,5500000,5500000,5500000,9.39,88.17210000000001,11000000,11535000,5500000,78,0.25,0.0625,1.56,2.4336,0,20,400,2,4,15.520258650202699,15.520258650202699,15.520258650202699
TOR,6.0,2016,7,2,186,34596,1,6,104,10816,103,10609,2.4788732394366195,6.144812537195,0.04241338112305854,0.0017988948982898187,0.10513739545997611,0.011053871924107405,4.98,24.800400000000003,33,Toronto Blue Jays,TOR,Toronto,186.0,34596.0,33,162,1089,33,1089,Marco Estrada,9,81,2,180,7,SP,0.4691358024691358,0,0,UFA,176,30976,14500000,14000000,14500000,29.26,856.1476000000001,26000000,70000000,13000000,76,2.21,4.8841,1.38,1.9043999999999996,2,71,5041,10,100,16.489659207390805,16.454567887579532,16.489659207390805
SF,6.1,2017,7,4,37,1369,5,3,16,256,15,225,4.833333333333333,23.361111111111107,0.022222222222222223,0.0004938271604938272,0.10740740740740741,0.011536351165980795,4.5,20.25,32,San Francisco Giants,WSH,California,30.0,900.0,32,162,1024,0,0,Mark Melancon,2,4,23,215,26,RP/CL,0.3950617283950617,11,121,UFA,29,841,14000000,4000000,14000000,0.0,0.0,62000000,65250000,15500000,64,0.12,0.0144,1.43,2.0448999999999997,8,6,36,1,1,16.454567887579532,15.201804919084164,16.454567887579532
MIN,6.3,2017,7,1,47,2209,1,2,31,961,27,729,2.4545454545454546,6.024793388429752,0.04122166010867529,0.0016992252621151518,0.10118043844856663,0.01023748112464418,4.1,16.81,37,Minnesota Twins,WSH,Minnesota,59.3,3516.49,61,162,3721,0,0,Matt Belisle,2,4,6,230,15,RP,0.5246913580246914,9,81,UFA,54,2916,2050000,2050000,2050000,39.68,1574.5024,2050000,26550000,2050000,85,0.06,0.0036,1.16,1.3456,3,22,484,2,4,14.53335035111459,14.53335035111459,14.53335035111459
MIL,6.4,2014,7,4,121,14641,1,3,72,5184,63,3969,1.7555555555555555,3.0819753086419754,0.043591979075850044,0.001900260639749348,0.07652814104427008,0.005856556371691695,4.95,24.5025,33,Milwaukee Brewers,TEX,Wisconsin,114.7,13156.09,24,162,576,22,484,Matt Garza,9,81,1,215,4,SP,0.5308641975308642,0,0,UFA,79,6241,12500000,12500000,12500000,14.45,208.80249999999998,50000000,7550000,12500000,86,-0.22,0.0484,1.45,2.1025,0,45,2025,6,36,16.34123920227253,16.34123920227253,16.34123920227253
