Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Rafael Furcal,2012,UFA,STL,2,14000000,7000000,SS,121,0.747,477,126,5,49,0.264,0.671,STL,6000000,6500000,6500000,14641,0.558009,227529,15876,25,2401,0.06969600000000001,0.45024100000000006
Aaron Harang,2012,UFA,SD,2,12000000,6000000,SP,31,0.191,56,4,0,2,0.071,0.161,LAD,3000000,3000000,3000000,961,0.036481,3136,16,0,4,0.0050409999999999995,0.025921000000000003
Aaron Hill,2012,UFA,ARI,2,11000000,5500000,3B,156,0.963,609,184,26,85,0.302,0.882,ARI,5500000,5500000,5500000,24336,0.9273689999999999,370881,33856,676,7225,0.091204,0.7779240000000001
Edwin Jackson,2012,UFA,STL,1,11000000,11000000,SP,34,0.21,57,13,0,0,0.228,0.495,WSH,11000000,11000000,11000000,1156,0.04409999999999999,3249,169,0,0,0.051984,0.245025
Clint Barmes,2012,UFA,HOU,2,10500000,5250000,SS,144,0.889,455,104,8,45,0.229,0.593,PIT,5000000,5000000,5000000,20736,0.790321,207025,10816,64,2025,0.052441,0.351649
Chris Capuano,2012,UFA,NYM,2,10000000,5000000,RP,34,0.21,54,5,0,3,0.093,0.237,LAD,3000000,3375000,3375000,1156,0.04409999999999999,2916,25,0,9,0.008649,0.056169
David DeJesus,2012,UFA,OAK,2,10000000,5000000,LF,148,0.914,506,133,9,50,0.263,0.753,CHC,4250000,4250000,4250000,21904,0.835396,256036,17689,81,2500,0.06916900000000001,0.567009
Mark Ellis,2012,UFA,COL,2,8750000,4375000,2B,110,0.679,415,107,7,31,0.258,0.697,LAD,2500000,2500000,2500000,12100,0.4610410000000001,172225,11449,49,961,0.066564,0.48580899999999994
Omar Infante,2012,UFA,MIA,2,8000000,4000000,2B,149,0.92,554,152,12,53,0.274,0.719,DET,4000000,2142076,2142076,22201,0.8464,306916,23104,144,2809,0.07507600000000002,0.516961
Carlos Pena,2012,UFA,CHC,1,7250000,7250000,1B,160,0.988,497,98,19,61,0.197,0.684,TB,7250000,7250000,7250000,25600,0.976144,247009,9604,361,3721,0.038809,0.46785600000000005
Alex Gonzalez,2012,UFA,ATL,1,4250000,4250000,SS,24,0.148,81,21,4,15,0.259,0.783,MIL,3500000,3500000,3500000,576,0.021903999999999996,6561,441,16,225,0.067081,0.613089
Ramon Santiago,2012,UFA,DET,2,4000000,2000000,2B,93,0.574,228,47,2,17,0.206,0.555,DET,2100000,2100000,2100000,8649,0.32947599999999994,51984,2209,4,289,0.042435999999999995,0.30802500000000005
Chien-Ming Wang,2012,UFA,WSH,1,4000000,4000000,RP,10,0.062,6,1,0,0,0.167,0.619,WSH,4000000,4000000,4000000,100,0.0038439999999999998,36,1,0,0,0.027889000000000004,0.383161
Willie Bloomquist,2012,UFA,ARI,2,3800000,1900000,2B,80,0.494,324,98,0,23,0.303,0.724,ARI,1900000,1900000,1900000,6400,0.244036,104976,9604,0,529,0.091809,0.524176
Ryan Ludwick,2012,UFA,PIT,1,3000000,3000000,LF,125,0.772,422,116,26,80,0.275,0.877,CIN,2000000,2450000,2450000,15625,0.5959840000000001,178084,13456,676,6400,0.07562500000000001,0.769129
Cody Ross,2012,UFA,SF,1,3000000,3000000,RF,130,0.803,476,127,22,81,0.267,0.807,BOS,3000000,3000000,3000000,16900,0.6448090000000001,226576,16129,484,6561,0.071289,0.6512490000000001
Greg Dobbs,2012,UFA,MIA,2,3000000,1500000,1B,120,0.741,319,91,5,39,0.285,0.698,MIA,1400000,1400000,1400000,14400,0.549081,101761,8281,25,1521,0.08122499999999999,0.4872039999999999
Jose Molina,2012,UFA,TOR,1,1800000,1800000,C,102,0.63,251,56,8,32,0.223,0.64,TB,1500000,1500000,1500000,10404,0.39690000000000003,63001,3136,64,1024,0.049729,0.4096
Endy Chavez,2012,UFA,TEX,1,1500000,1500000,LF,64,0.395,158,32,2,12,0.203,0.515,BAL,1500000,1500000,1500000,4096,0.15602500000000002,24964,1024,4,144,0.041209,0.265225
Ronny Cedeno,2012,UFA,PIT,1,1150000,1150000,SS,78,0.482,166,43,4,22,0.259,0.741,NYM,1150000,1150000,1150000,6084,0.23232399999999997,27556,1849,16,484,0.067081,0.549081
Reed Johnson,2012,UFA,CHC,1,1150000,1150000,LF,119,0.735,269,78,3,20,0.29,0.735,CHC,1150000,1150000,1150000,14161,0.540225,72361,6084,9,400,0.0841,0.540225
Raul Ibanez,2012,UFA,PHI,1,1100000,1100000,DH,130,0.803,384,92,19,62,0.24,0.761,NYY,1100000,1100000,1100000,16900,0.6448090000000001,147456,8464,361,3844,0.0576,0.579121
Scott Hairston,2012,UFA,NYM,1,1100000,1100000,RF,134,0.827,377,99,20,57,0.263,0.803,NYM,1100000,1100000,1100000,17956,0.6839289999999999,142129,9801,400,3249,0.06916900000000001,0.6448090000000001
Jonny Gomes,2012,UFA,WSH,1,1000000,1000000,LF,99,0.611,279,73,18,47,0.262,0.868,OAK,1000000,1000000,1000000,9801,0.37332099999999996,77841,5329,324,2209,0.06864400000000001,0.753424
Dan Johnson,2012,UFA,TB,1,900000,900000,1B,14,0.086,22,8,3,6,0.364,1.367,CHW,900000,900000,162295,196,0.007395999999999999,484,64,9,36,0.132496,1.868689
Jamey Wright,2012,UFA,SEA,1,900000,900000,RP,66,0.407,2,0,0,0,0.0,0.0,LAD,900000,900000,900000,4356,0.165649,4,0,0,0,0.0,0.0
Eric Chavez,2012,UFA,NYY,1,900000,900000,3B,113,0.698,278,78,16,37,0.281,0.845,NYY,900000,1800000,1800000,12769,0.4872039999999999,77284,6084,256,1369,0.07896100000000002,0.7140249999999999
Zach Duke,2012,UFA,ARI,1,900000,900000,RP,8,0.049,1,0,0,0,0.0,0.0,WSH,900000,900000,167213,64,0.0024010000000000004,1,0,0,0,0.0,0.0
Chris Young,2012,UFA,NYM,1,900000,900000,RF,101,0.624,325,75,14,41,0.231,0.745,ARI,7000000,7200000,7200000,10201,0.389376,105625,5625,196,1681,0.053361000000000006,0.555025
Chris Young,2012,UFA,NYM,1,900000,900000,RF,101,0.624,325,75,14,41,0.231,0.745,NYM,900000,900000,545901,10201,0.389376,105625,5625,196,1681,0.053361000000000006,0.555025
Chris Young,2012,UFA,NYM,1,900000,900000,RP,20,0.124,31,4,0,2,0.129,0.35,ARI,7000000,7200000,7200000,400,0.015375999999999999,961,16,0,4,0.016641,0.12249999999999998
Chris Young,2012,UFA,NYM,1,900000,900000,RP,20,0.124,31,4,0,2,0.129,0.35,NYM,900000,900000,545901,400,0.015375999999999999,961,16,0,4,0.016641,0.12249999999999998
Dioner Navarro,2012,UFA,LAD,1,800000,800000,C,24,0.148,69,20,2,12,0.29,0.755,CIN,800000,800000,800000,576,0.021903999999999996,4761,400,4,144,0.0841,0.570025
Xavier Nady,2012,UFA,ARI,1,700000,700000,1B,59,0.364,152,28,4,13,0.184,0.569,SF,700000,700000,126229,3481,0.132496,23104,784,16,169,0.033856,0.32376099999999997
Brad Penny,2012,UFA,DET,1,500000,500000,SP,22,0.136,1,0,0,0,0.0,0.0,SF,500000,500000,265027,484,0.018496000000000002,1,0,0,0,0.0,0.0
Bobby Abreu,2012,UFA,LAA,1,401311,401311,LF,200,0.617,438,106,6,48,0.242,0.693,LAA,8598689,8598689,8598689,40000,0.380689,191844,11236,36,2304,0.058564,0.4802489999999999
Bobby Abreu,2012,UFA,LAA,1,401311,401311,LF,200,0.617,438,106,6,48,0.242,0.693,LAD,480000,480000,401311,40000,0.380689,191844,11236,36,2304,0.058564,0.4802489999999999
Hiroki Kuroda,2012,UFA,LAD,0,0,0,SP,33,0.204,2,0,0,0,0.0,0.0,NYY,10000000,10000000,10000000,1089,0.04161599999999999,4,0,0,0,0.0,0.0
Wil Nieves,2012,UFA,MIL,1,0,0,C,32,0.198,83,25,2,8,0.301,0.739,ARI,800000,800000,367213,1024,0.039204,6889,625,4,64,0.09060099999999999,0.546121
