Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
COL,No,6.1,2022,2025,5,4,185,34225,300000,1,5,109,11881,101,10201,2.380952380952381,5.668934240362812,0.038525041276829944,0.001484178805381451,0.091726288754357,0.008413712048647678,5.0,25.0,27,23,Colorado Rockies,Colorado,24006516,181.7,33014.89,31,162,31,German Marquez,13,169,11000000,1,230.0,5,0.19135802469135801,SP,0.419753086419753,0,0,150,22500,11300000,11000000,0.081,11300000,18.28,334.15840000000003,8600000,195350000,43000000,68,1.47,2.1609,1.37,1.8769000000000002,0,63,3969,9,81,16.240313283682568,16.213405830762646,16.240313283682568
SD,No,6.5,2022,0,1,0,154,23716,0,5,3,67,4489,59,3481,4.380952380952381,19.192743764172338,0.02578268876611418,0.0006647470400103103,0.11295273173726213,0.012758319606909903,2.93,8.584900000000001,29,29,San Diego Padres,California,16450904,181.0,32761.0,30,162,30,Joe Musgrove,7,49,8625000,2,235.0,7,0.18518518518518517,SP,0.5493827160493827,0,0,184,33856,8625000,8625000,0.038,8625000,69.26,4796.9476,8625000,32500000,8625000,89,3.14,9.8596,1.08,1.1664,0,42,1764,10,100,15.970175520881698,15.970175520881698,15.970175520881698
OAK,No,6.4,2022,2027,1,1,174,30276,0,5,2,87,7569,80,6400,3.5555555555555554,12.641975308641975,0.022099447513812154,0.0004883855804157382,0.07857581338244321,0.006174158448712542,3.98,15.8404,28,27,Oakland Athletics,California,2313555,181.0,32761.0,30,162,30,Cole Irvin,13,169,705000,15,180.0,29,0.18518518518518517,SP,0.3703703703703703,0,0,128,16384,705000,705000,0.015,705000,64.32,4137.062399999999,705000,1700000,705000,60,1.74,3.0276,1.16,1.3456,9,36,1296,9,81,13.465953081794405,13.465953081794405,13.465953081794405
ATL,No,6.4,2022,2027,1,0,156,24336,0,1,6,67,4489,64,4096,3.2830188679245285,10.778212887148452,0.032661613360448635,0.0010667809873074368,0.10722869291920872,0.011497992585161963,3.19,10.1761,26,26,Atlanta Braves,Georgia,8105971,180.3,32508.090000000004,30,162,30,Kyle Wright,5,25,720000,18,215.0,28,0.18518518518518517,SP,0.6234567901234568,0,0,174,30276,720000,720000,0.004,720000,94.32,8896.2624,720000,61250000,720000,101,3.75,14.0625,1.16,1.3456,4,53,2809,21,441,13.487006490992238,13.487006490992238,13.487006490992238
MIA,No,6.4,2022,2025,1,1,157,24649,0,2,2,78,6084,75,5625,3.2830188679245285,10.778212887148452,0.03271604938271605,0.0010703398872123153,0.10740740740740741,0.011536351165980795,3.75,14.0625,26,25,Miami Marlins,Florida,4085453,180.0,32400.0,32,162,32,Pablo Lopez,10,100,2450000,2,225.0,3,0.19753086419753085,SP,0.4259259259259259,0,0,174,30276,2450000,2450000,0.03,2450000,63.57,4041.1449000000002,2450000,89000000,2450000,69,3.01,9.060099999999998,1.17,1.3688999999999998,2,53,2809,10,100,14.71159858252091,14.71159858252091,14.71159858252091
BOS,No,6.5,2022,2025,1,1,175,30625,0,1,6,91,8281,91,8281,2.3972602739726026,5.7468568211671975,0.04513695665615532,0.0020373448561796445,0.1082050330798244,0.011708329183805894,4.56,20.793599999999998,29,28,Boston Red Sox,Massachusetts,5071399,179.7,32292.089999999997,33,162,33,Nick Pivetta,12,144,2650000,14,214.0,25,0.2037037037037037,SP,0.4814814814814814,0,0,175,30625,2650000,2650000,0.013,2650000,49.92,2492.0064,2650000,173000000,2650000,78,2.53,6.400899999999999,1.38,1.9043999999999996,9,73,5329,10,100,14.790070197962406,14.790070197962406,14.790070197962406
BAL,Si,6.5,2022,2024,1,0,196,38416,500000,1,3,94,8836,88,7744,2.769230769230769,7.668639053254437,0.03227808814400993,0.0010418749742324746,0.0893854748603352,0.007989763116007615,4.43,19.624899999999997,31,31,Baltimore Orioles,Maryland,33444136,179.0,32041.0,32,162,32,Jordan Lyles,11,121,6000000,7,230.0,14,0.19753086419753085,SP,0.5123456790123457,0,0,144,20736,6000000,5500000,0.134,6000000,30.85,951.7225000000001,7000000,7900000,7000000,83,1.03,1.0609,1.38,1.9043999999999996,3,52,2704,12,144,15.60727002719233,15.520258650202699,15.60727002719233
LAD,Si,6.2,2022,2023,1,0,145,21025,0,5,9,57,3249,51,2601,4.0588235294117645,16.47404844290657,0.02114033451470497,0.00044691374339362623,0.08580488714792017,0.007362478658467317,2.57,6.604899999999999,32,32,Los Angeles Dodgers,California,17651053,178.7,31933.689999999995,31,162,28,Tyler Anderson,5,25,8500000,25,213.0,36,0.19135802469135801,SP,0.6851851851851852,0,0,138,19044,8500000,8000000,0.031,8500000,90.95,8271.9025,8000000,267800000,8000000,111,4.26,18.147599999999997,1.0,1.0,7,34,1156,15,225,15.955576721460545,15.89495209964411,15.955576721460545
STL,No,6.6,2022,2024,1,0,159,25281,0,2,4,72,5184,69,4761,4.388888888888889,19.26234567901235,0.022434099831744252,0.0005032888352606674,0.09846077148376643,0.009694523521178474,3.48,12.1104,29,29,St. Louis Cardinals,Missouri,10424671,178.3,31790.890000000003,32,162,32,Jordan Montgomery,6,36,2109888,23,228.0,32,0.19753086419753085,SP,0.5740740740740741,0,0,158,24964,2109888,6000000,0.014,6000000,54.28,2946.3184,6000000,52700000,6000000,93,0.86,0.7395999999999999,1.09,1.1881000000000002,11,36,1296,9,81,14.562145423474705,15.60727002719233,15.60727002719233
SF,Si,6.3,2022,2023,2,0,131,17161,0,5,7,59,3481,57,3249,4.5576923076923075,20.77255917159763,0.03245942571785269,0.0010536143179327964,0.14794007490636704,0.02188626576330149,2.88,8.2944,29,29,San Francisco Giants,California,40811276,178.0,31684.0,31,162,31,Carlos Rodon,8,64,21500000,23,245.0,27,0.19135802469135801,SP,0.5,0,0,237,56169,21500000,21500000,0.133,21500000,81.03,6565.860900000001,22000000,140700000,44000000,81,5.31,28.196099999999994,1.03,1.0609,8,52,2704,14,196,16.883563493097892,16.883563493097892,16.883563493097892
NYY,No,6.5,2022,2023,1,0,168,28224,0,2,4,78,6084,77,5929,4.71875,22.2666015625,0.020053894842388918,0.00040215869834959284,0.09462931628752272,0.008954707501044013,3.91,15.288100000000002,30,30,New York Yankees,New York,17399590,177.3,31435.290000000005,32,162,32,Jameson Taillon,5,25,5800000,40,230.0,58,0.19753086419753085,SP,0.6111111111111112,0,0,151,22801,5800000,5800000,0.023,5800000,55.35,3063.6225,5800000,37400000,5800000,99,1.36,1.8496000000000004,1.13,1.2768999999999997,27,32,1024,13,169,15.573368475516649,15.573368475516649,15.573368475516649
HOU,Si,6.5,2022,2024,2,1,116,13456,0,2,3,43,1849,34,1156,6.379310344827586,40.69560047562426,0.018412698412698412,0.0003390274628369866,0.11746031746031746,0.013796926177878558,1.75,3.0625,39,38,Houston Astros,Texas,299588222,175.0,30625.0,28,162,28,Justin Verlander,4,16,25000000,5,225.0,16,0.1728395061728395,SP,0.654320987654321,0,0,185,34225,25000000,25000000,0.136,25000000,94.25,8883.0625,25000000,69100000,50000000,106,5.5,30.25,0.83,0.6889,2,29,841,18,324,17.034386382832476,17.034386382832476,17.034386382832476
