Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
COL,No,6.4,2022,0,1,1,35,1225,0,1,5,15,225,12,144,2.76,7.617599999999999,0.04606596646397642,0.0021220732662602,0.1271420674405749,0.0161651053130637,1.79,3.2041,37,36,Colorado Rockies,Colorado,9389029,60.3,3636.0899999999997,57,162,0,Daniel Bard,4,16,4400000,1,215.0,5,0.35185185185185186,RP/CL,0.419753086419753,34,1156,69,4761,4400000,4400000,0.031,4400000,98.94,9789.123599999999,4400000,195350000,4400000,68,3.72,13.838400000000002,0.99,0.9801,0,25,625,6,36,15.29711509888849,15.29711509888849,15.29711509888849
DET,No,6.1,2022,2026,1,1,49,2401,0,1,4,32,1024,22,484,1.7647058823529411,3.1141868512110724,0.06264971439100793,0.003924986713274866,0.1105583195135434,0.012223142013658752,3.28,10.758399999999998,27,26,Detroit Tigers,Michigan,1825616,60.3,3636.0899999999997,64,162,0,Gregory Soto,11,121,722400,11,236.0,16,0.3950617283950617,RP/CL,0.4074074074074074,30,900,60,3600,722400,722400,0.005,722400,64.74,4191.267599999999,722400,235500000,722400,66,0.28,0.07840000000000001,1.38,1.9043999999999996,4,34,1156,2,4,13.490334281084913,13.490334281084913,13.490334281084913
DET,No,5.580428134556572,2022,0,1,1,53,2809,0,1,4,29,841,27,729,1.3793103448275863,1.902497027348395,0.05343652109821265,0.0028554617870797253,0.07370554634236227,0.005432507561626112,4.03,16.240900000000003,26,25,Detroit Tigers,Michigan,411526,60.3,3636.0899999999997,17,162,8,Garrett Hill,3,9,311526,11,209.35153583617748,16,0.10493827160493827,SP,0.4074074074074074,0,0,40,1600,311526,700000,0.002,700000,0.0,0.0,700000,235500000,700000,66,0.57,0.32489999999999997,1.36,1.8496000000000004,4,29,841,3,9,12.649238080821164,13.458835614025542,13.458835614025542
HOU,No,6.1,2022,2027,1,1,45,2025,0,2,3,16,256,13,169,3.3846153846153846,11.455621301775148,0.047908605122535475,0.0022952344447870325,0.162152201953197,0.02629333659827038,1.94,3.7636,25,24,Houston Astros,Texas,1251693,60.3,3636.0899999999997,55,162,0,Bryan Abreu,0,0,719600,5,225.0,16,0.3395061728395062,RP,0.654320987654321,2,4,88,7744,719600,719600,0.004,719600,75.57,5710.824899999999,719600,69100000,719600,106,1.26,1.5876000000000001,1.18,1.3923999999999999,2,26,676,4,16,13.486450781058515,13.486450781058515,13.486450781058515
DET,No,6.4,2022,2028,1,0,72,5184,0,1,4,27,729,26,676,3.909090909090909,15.28099173553719,0.020269025244149624,0.0004108333843479747,0.07923346231803945,0.006277941550904177,3.88,15.0544,26,26,Detroit Tigers,Michigan,742549,60.3,3636.0899999999997,60,162,0,Jason Foley,0,0,647472,11,215.0,16,0.37037037037037035,RP,0.4074074074074074,0,0,43,1849,647472,701400,0.005,701400,32.81,1076.4961,701400,235500000,701400,66,0.25,0.0625,1.38,1.9043999999999996,4,11,121,1,1,13.38083082837757,13.460833616688214,13.460833616688214
LAD,No,6.0,2022,2023,3,4,51,2601,0,5,9,31,961,25,625,2.5714285714285716,6.612244897959185,0.05185185185185185,0.0026886145404663923,0.13333333333333333,0.017777777777777778,3.75,14.0625,34,30,Los Angeles Dodgers,California,104275188,60.0,3600.0,63,162,0,Craig Kimbrel,7,49,16000000,25,215.0,36,0.3888888888888889,RP/CL,0.6851851851851852,22,484,72,5184,16000000,16000000,0.059,16000000,8.79,77.26409999999998,14333333,267800000,43000000,111,0.12,0.0144,1.32,1.7424000000000002,7,28,784,6,36,16.588099280204055,16.588099280204055,16.588099280204055
MIN,No,6.4,2022,2023,1,0,78,6084,0,1,4,46,2116,44,1936,2.7333333333333334,7.471111111111111,0.027777777777777776,0.0007716049382716049,0.07592592592592592,0.00576474622770919,6.6,43.559999999999995,29,29,Minnesota Twins,Minnesota,13628112,60.0,3600.0,15,162,10,Aaron Sanchez,4,16,130764,6,210.0,17,0.09259259259259259,RP,0.4814814814814814,0,0,41,1681,130764,700000,0.001,700000,0.0,0.0,700000,116550000,700000,78,1.2584499999999992,1.583696402499998,1.55,2.4025000000000003,3,15,225,3,9,11.781149450764886,13.458835614025542,13.458835614025542
ARI,No,6.4,2022,0,1,1,59,3481,0,1,3,22,484,19,361,10.166666666666666,103.3611111111111,0.011111111111111112,0.0001234567901234568,0.11296296296296296,0.012760631001371741,2.85,8.1225,31,30,Arizona Diamondbacks,Arizona,1263525,60.0,3600.0,69,162,0,Joe Mantiply,5,25,717000,1,219.0,6,0.42592592592592593,RP,0.4567901234567901,2,4,61,3721,717000,717000,0.008,717000,64.34,4139.6356000000005,717000,23250000,717000,74,0.85,0.7224999999999999,1.08,1.1664,1,6,36,2,4,13.482831119581757,13.482831119581757,13.482831119581757
BOS,No,6.5,2022,2028,1,1,49,2401,0,1,6,22,484,21,441,2.5454545454545454,6.479338842975206,0.040740740740740744,0.0016598079561042527,0.1037037037037037,0.01075445816186557,3.15,9.9225,26,25,Boston Red Sox,Massachusetts,3563319,60.0,3600.0,32,162,4,Tanner Houck,4,16,716000,14,230.0,25,0.19753086419753085,RP/CL,0.4814814814814814,8,64,56,3136,716000,716000,0.003,716000,0.0,0.0,716000,173000000,716000,78,1.62,2.6244000000000005,1.18,1.3923999999999999,9,22,484,5,25,13.481435445942783,13.481435445942783,13.481435445942783
MIL,No,5.9,2022,2025,1,1,43,1849,0,1,5,31,961,23,529,4.111111111111111,16.90123456790123,0.03350083752093802,0.0011223061146042887,0.1377256653638563,0.018968358899916927,3.47,12.0409,36,35,Milwaukee Brewers,Wisconsin,6071710,59.7,3564.09,65,162,6,Matt Bush,4,16,290112,1,180.0,8,0.4012345679012346,RP,0.5308641975308642,4,16,74,5476,290112,825000,0.002,825000,38.92,1514.7664000000002,825000,13625000,825000,86,0.37,0.1369,1.02,1.0404,0,18,324,2,4,12.57802233430052,13.623138665316818,13.623138665316818
MIN,No,6.0,2022,2025,1,1,51,2601,0,1,4,26,676,23,529,4.444444444444445,19.75308641975309,0.033726812816188875,0.0011374979027382421,0.14989694584972832,0.022469094375076385,3.49,12.180100000000001,35,34,Minnesota Twins,Minnesota,3083182,59.3,3516.49,67,162,0,Caleb Thielbar,3,9,1300000,6,205.0,17,0.41358024691358025,RP,0.4814814814814814,1,1,80,6400,1300000,1300000,0.009,1300000,45.61,2080.2721,1300000,116550000,1300000,78,0.46,0.2116,1.16,1.3456,3,18,324,4,16,14.077874822431765,14.077874822431765,14.077874822431765
WSH,No,6.0,2022,2028,1,1,55,3025,0,1,5,32,1024,22,484,1.7692307692307692,3.130177514792899,0.04871650740116171,0.0023732980933674434,0.0861907438635938,0.0074288443277596315,3.34,11.1556,29,28,Washington Nationals,Washington DC,906760,59.3,3516.49,51,162,0,Andres Machado,0,0,552522,1,220.0,6,0.3148148148148148,RP,0.3395061728395062,0,0,46,2116,552522,708200,0.004,708200,22.94,526.2436,708200,23750000,708200,55,1.2584499999999992,1.583696402499998,1.37,1.8769000000000002,1,26,676,2,4,13.222248530585814,13.470481818659941,13.470481818659941
HOU,No,6.5,2022,2024,3,2,58,3364,0,2,3,35,1225,26,676,2.6,6.760000000000001,0.047080979284369114,0.0022166186103751936,0.1224105461393597,0.01498434180613631,3.97,15.760900000000001,32,30,Houston Astros,Texas,44322101,59.0,3481.0,65,162,0,Will Smith,3,9,4642857,5,255.0,16,0.4012345679012346,RP,0.654320987654321,5,25,65,4225,4642857,13000000,0.025,13000000,0.41,0.16809999999999997,13333333,69100000,40000000,106,1.2584499999999992,1.583696402499998,1.41,1.9880999999999998,2,25,625,0,0,15.350840467475422,16.38045991542581,16.38045991542581
STL,No,6.2,2022,0,1,0,42,1764,0,2,4,23,529,20,400,4.055555555555555,16.447530864197528,0.03389830508474576,0.0011490950876185005,0.1374764595103578,0.01889977691950305,3.05,9.302499999999998,30,30,St. Louis Cardinals,Missouri,4485829,59.0,3481.0,57,162,0,Giovanny Gallegos,6,36,2910000,23,215.0,32,0.35185185185185186,RP,0.5740740740740741,14,196,73,5329,2410000,2410000,0.015,2410000,69.9,4886.010000000001,2410000,52700000,2410000,93,0.61,0.3721,1.02,1.0404,11,18,324,3,9,14.695137305466838,14.695137305466838,14.695137305466838
DET,Si,6.2,2022,2023,1,1,45,2025,0,1,4,39,1521,34,1156,2.2758620689655173,5.179548156956005,0.05489305318947567,0.0030132472884626046,0.12492901760363428,0.015607259439409165,5.22,27.248399999999997,29,28,Detroit Tigers,Michigan,11997212,58.7,3445.6900000000005,41,162,3,Daniel Norris,4,16,700000,11,185.0,16,0.25308641975308643,RP,0.4074074074074074,0,0,66,4356,700000,700000,0.005,700000,0.0,0.0,700000,235500000,700000,66,1.2584499999999992,1.583696402499998,1.26,1.5876000000000001,4,29,841,2,4,13.458835614025542,13.458835614025542,13.458835614025542
TEX,No,6.2,2022,2026,1,1,50,2500,0,2,8,39,1521,34,1156,1.9285714285714286,3.719387755102041,0.0530001892863903,0.0028090200643932015,0.10221465076660986,0.010447834831340019,5.22,27.248399999999997,26,25,Texas Rangers,Texas,2020714,58.7,3445.6900000000005,63,162,1,Dennis Santana,8,64,720000,2,190.0,8,0.3888888888888889,RP,0.419753086419753,1,1,54,2916,720000,720000,0.005,720000,17.22,296.5284,720000,580700000,720000,68,1.2584499999999992,1.583696402499998,1.33,1.7689000000000001,0,28,784,3,9,13.487006490992238,13.487006490992238,13.487006490992238
TB,No,6.3,2022,2026,1,1,46,2116,0,2,4,30,900,26,676,2.909090909090909,8.462809917355372,0.04164300586787809,0.0017341399377121293,0.12114328979746354,0.014675696662952233,3.99,15.920100000000001,28,27,Tampa Bay Rays,Florida,1870777,58.7,3445.6900000000005,65,162,0,Colin Poche,2,4,642282,2,225.0,8,0.4012345679012346,RP,0.5308641975308642,7,49,64,4096,642282,700000,0.007,700000,44.73,2000.7728999999997,700000,18900000,700000,86,0.37,0.1369,1.16,1.3456,0,22,484,4,16,13.37278273856548,13.458835614025542,13.458835614025542
PIT,No,6.3,2022,2024,1,1,63,3969,0,2,6,39,1521,35,1225,3.9285714285714284,15.433673469387754,0.02681992337164751,0.0007193082896610444,0.1053639846743295,0.011101569266452343,5.43,29.484899999999996,29,28,Pittsburgh Pirates,Pennsylvania,5504374,58.0,3364.0,58,162,0,Robert Stephenson,2,4,274287,9,205.0,17,0.35802469135802467,RP,0.382716049382716,0,0,55,3025,274287,1280000,0.004,1280000,5.72,32.718399999999995,1280000,14100000,1280000,62,1.2584499999999992,1.583696402499998,1.33,1.7689000000000001,5,14,196,2,4,12.521930282437665,14.0623706358958,14.0623706358958
CIN,No,6.5,2022,2028,1,1,67,4489,0,2,4,41,1681,41,1681,4.0,16.0,0.02681992337164751,0.0007193082896610444,0.10727969348659004,0.01150893263457671,6.36,40.449600000000004,27,26,Cincinnati Reds,Ohio,854739,58.0,3364.0,53,162,0,Joel Kuhnel,3,9,576900,10,260.0,16,0.3271604938271605,RP,0.382716049382716,1,1,56,3136,576900,700000,0.005,700000,16.28,265.0384,700000,14825000,700000,62,1.2584499999999992,1.583696402499998,1.4,1.9599999999999997,5,14,196,2,4,13.26542422024498,13.458835614025542,13.458835614025542
CHW,No,6.0,2022,2025,3,2,44,1936,333333,2,5,22,484,18,324,5.3125,28.22265625,0.0308107067205854,0.0009492996486219264,0.16368187945310994,0.026791757661302415,2.81,7.896100000000001,33,31,Chicago White Sox,Illinois,33819843,57.7,3329.2900000000004,58,162,0,Liam Hendriks,4,16,13000000,6,235.0,11,0.35802469135802467,RP/CL,0.5,37,1369,85,7225,13333333,13000000,0.066,13333333,37.89,1435.6521,18000000,63000000,54000000,81,1.69,2.8560999999999996,1.04,1.0816000000000001,3,16,256,4,16,16.405777698410102,16.38045991542581,16.405777698410102
CHW,Si,6.4,2022,2025,2,1,52,2704,0,2,5,40,1600,32,1024,1.880952380952381,3.5379818594104306,0.08087810514153668,0.006541267891285461,0.15212786443289042,0.023142887136911885,4.99,24.900100000000002,35,34,Chicago White Sox,Illinois,20135265,57.7,3329.2900000000004,70,162,0,Jake Diekman,4,16,1230784,6,195.0,11,0.43209876543209874,RP,0.5,1,1,79,6241,1230784,3500000,0.006,3500000,4.62,21.3444,4000000,63000000,8000000,81,0.26,0.06760000000000001,1.63,2.6569,3,42,1764,5,25,14.02316192267052,15.068273526459642,15.068273526459642
NYY,No,6.1,2022,2027,1,1,46,2116,0,2,4,23,529,20,400,2.4347826086956523,5.928166351606806,0.04429039091084151,0.0019616387270351525,0.1078374735220489,0.011628920695618597,3.12,9.7344,26,25,New York Yankees,New York,3121385,57.7,3329.2900000000004,29,162,3,Clarke Schmidt,5,25,481545,40,209.0,58,0.17901234567901234,RP,0.6111111111111112,2,4,56,3136,481545,712500,0.002,712500,0.0,0.0,712500,37400000,712500,99,0.72,0.5184,1.2,1.44,27,23,529,5,25,13.084754963797321,13.476535191124942,13.476535191124942
OAK,No,6.2,2022,0,1,0,69,4761,0,5,2,42,1764,40,1600,2.789473684210526,7.781163434903046,0.036587714230695165,0.0013386608326270135,0.10206046601193913,0.010416338722574183,6.24,38.9376,25,25,Oakland Athletics,California,203838,57.7,3329.2900000000004,12,162,12,Adrian Martinez,6,36,203838,15,215.0,29,0.07407407407407407,SP,0.3703703703703703,0,0,53,2809,203838,700000,0.004,700000,0.0,0.0,700000,1700000,700000,60,1.2584499999999992,1.583696402499998,1.53,2.3409,9,19,361,4,16,12.225080839700848,13.458835614025542,13.458835614025542
NYY,No,6.4,2022,2025,1,1,63,3969,0,2,4,19,361,17,289,3.5294117647058822,12.45674740484429,0.03296490207484972,0.0010866847688044314,0.11634671320535196,0.01353655767368842,2.67,7.1289,35,34,New York Yankees,New York,2468352,57.3,3283.2899999999995,50,162,0,Lucas Luetge,4,16,905000,40,205.0,58,0.30864197530864196,RP,0.6111111111111112,2,4,60,3600,905000,905000,0.004,905000,50.01,2501.0000999999997,905000,37400000,905000,99,0.65,0.42250000000000004,1.39,1.9320999999999997,27,17,289,4,16,13.715690222682063,13.715690222682063,13.715690222682063
DET,Si,6.2,2022,2024,2,1,48,2304,500000,1,4,26,676,18,324,3.526315789473684,12.434903047091412,0.036843125848361455,0.0013574159222782,0.12992049641264303,0.01687933538810759,2.83,8.0089,32,31,Detroit Tigers,Michigan,16508962,57.3,3283.2899999999995,64,162,0,Andrew Chafin,3,9,6500000,11,235.0,16,0.3950617283950617,RP,0.4074074074074074,3,9,67,4489,6000000,5500000,0.044,6000000,20.62,425.18440000000004,6500000,235500000,13000000,66,0.29,0.0841,1.17,1.3688999999999998,4,19,361,2,4,15.60727002719233,15.520258650202699,15.60727002719233
LAA,Si,6.1,2022,2024,2,0,42,1764,0,5,9,27,729,23,529,2.35,5.522500000000001,0.03878223773511732,0.0015040619637431577,0.0911382586775257,0.008306182194771588,3.61,13.0321,34,34,Los Angeles Angels,California,12225863,57.3,3283.2899999999995,59,162,0,Ryan Tepera,4,16,7000000,1,195.0,10,0.36419753086419754,RP,0.4506172839506173,6,36,47,2209,7000000,7000000,0.039,7000000,32.01,1024.6400999999998,7000000,123750000,14000000,73,0.52,0.27040000000000003,1.08,1.1664,1,20,400,5,25,15.761420707019587,15.761420707019587,15.761420707019587
PIT,No,6.2,2022,2026,1,0,58,3364,0,2,6,35,1225,28,784,2.28,5.1983999999999995,0.04847779716889665,0.002350096818348684,0.11052937754508436,0.0122167433005038,4.4,19.360000000000003,27,27,Pittsburgh Pirates,Pennsylvania,1647017,57.3,3283.2899999999995,51,162,1,Duane Underwood,6,36,725000,9,210.0,17,0.3148148148148148,RP,0.382716049382716,1,1,57,3249,725000,725000,0.011,725000,21.49,461.8200999999999,725000,14100000,725000,62,1.2584499999999992,1.583696402499998,1.45,2.1025,5,25,625,1,1,13.493926933836812,13.493926933836812,13.493926933836812
BOS,No,6.1,2022,0,1,1,75,5625,0,1,6,34,1156,30,900,2.037037037037037,4.149519890260632,0.052356020942408384,0.0027411529289219053,0.10665115377157264,0.011374468600807633,4.71,22.1841,23,22,Boston Red Sox,Massachusetts,339526,57.3,3283.2899999999995,13,162,11,Brayan Bello,8,64,311526,14,170.0,25,0.08024691358024691,SP,0.4814814814814814,0,0,55,3025,311526,700000,0.002,700000,0.0,0.0,700000,173000000,700000,78,0.38,0.1444,1.78,3.1684,9,27,729,2,4,12.649238080821164,13.458835614025542,13.458835614025542
COL,No,6.6,2022,2023,1,0,44,1936,0,1,5,27,729,22,484,2.347826086956522,5.512287334593574,0.04483430799220273,0.0020101151731396934,0.10526315789473684,0.011080332409972297,3.47,12.0409,29,29,Colorado Rockies,Colorado,6450680,57.0,3249.0,62,162,0,Carlos Estevez,4,16,3025000,1,277.0,5,0.38271604938271603,RP,0.419753086419753,2,4,54,2916,3025000,3025000,0.022,3025000,40.14,1611.2196000000001,3025000,195350000,3025000,68,1.15,1.3224999999999998,1.17,1.3688999999999998,0,23,529,4,16,14.92242164944708,14.92242164944708,14.92242164944708
CIN,No,6.2,2022,2028,1,1,66,4356,0,2,4,43,1849,40,1600,1.6206896551724137,2.626634958382877,0.056530214424951264,0.003195665142930968,0.09161793372319688,0.008393845779708095,6.32,39.942400000000006,26,25,Cincinnati Reds,Ohio,568380,57.0,3249.0,45,162,4,Reiver Sanmartin,4,16,549978,10,160.0,16,0.2777777777777778,RP,0.382716049382716,0,0,47,2209,549978,700000,0.005,700000,0.0,0.0,700000,14825000,700000,62,1.2584499999999992,1.583696402499998,1.67,2.7889,5,29,841,4,16,13.217633556408632,13.458835614025542,13.458835614025542
DET,No,6.3,2022,2024,1,1,49,2401,0,1,4,24,576,22,484,5.923076923076923,35.082840236686394,0.025475210660395844,0.000648986358191546,0.15089163237311384,0.022768284720222937,3.49,12.180100000000001,27,26,Detroit Tigers,Michigan,4942255,56.7,3214.8900000000003,62,162,0,Joe Jimenez,2,4,1790000,11,272.0,16,0.38271604938271603,RP,0.4074074074074074,2,4,77,5929,1790000,1790000,0.013,1790000,45.42,2062.9764,1790000,235500000,1790000,66,0.45,0.2025,1.09,1.1881000000000002,4,13,169,3,9,14.397726177816939,14.397726177816939,14.397726177816939
NYY,No,6.2,2022,2028,1,0,45,2025,0,2,4,23,529,16,256,4.133333333333334,17.084444444444447,0.029394473838918283,0.0008640350922668514,0.12149715853419557,0.014761559531883451,2.54,6.4516,28,28,New York Yankees,New York,911912,56.7,3214.8900000000003,60,162,1,Scott Effross,4,16,250582,40,202.0,58,0.37037037037037035,RP,0.6111111111111112,4,16,62,3844,250582,701500,0.001,701500,61.32,3760.1424,701500,37400000,701500,99,0.73,0.5328999999999999,1.06,1.1236000000000002,27,15,225,1,1,12.431541491250652,13.460976178524653,13.460976178524653
NYY,No,6.0,2022,2024,1,0,42,1764,0,2,4,19,361,17,289,2.764705882352941,7.643598615916955,0.03355042431418986,0.001125630971662182,0.09275705545687783,0.008603871337030309,2.72,7.398400000000001,30,30,New York Yankees,New York,5218426,56.3,3169.6899999999996,56,162,0,Wandy Peralta,4,16,2150000,40,220.0,58,0.345679012345679,RP,0.6111111111111112,4,16,47,2209,2150000,2150000,0.009,2150000,72.92,5317.3264,2150000,37400000,2150000,99,1.06,1.1236000000000002,1.05,1.1025,27,17,289,3,9,14.580978400103845,14.580978400103845,14.580978400103845
ARI,Si,6.1,2022,2025,2,1,63,3969,0,1,3,37,1369,29,841,1.6666666666666667,2.777777777777778,0.041666666666666664,0.001736111111111111,0.06944444444444445,0.0048225308641975315,4.66,21.715600000000002,37,36,Arizona Diamondbacks,Arizona,89111776,56.0,3136.0,62,162,0,Mark Melancon,10,100,7000000,1,215.0,6,0.38271604938271603,RP,0.4567901234567901,18,324,35,1225,7000000,6000000,0.081,7000000,8.4,70.56,7000000,23250000,14000000,74,1.2584499999999992,1.583696402499998,1.5,2.25,1,21,441,3,9,15.761420707019587,15.60727002719233,15.761420707019587
LAD,Si,6.8,2022,2023,1,1,50,2500,0,5,9,20,400,19,361,14.8,219.04000000000002,0.00992063492063492,9.841899722852102e-05,0.14682539682539683,0.02155769715293525,3.05,9.302499999999998,36,35,Los Angeles Dodgers,California,17041946,56.0,3136.0,60,162,0,Chris Martin,1,1,1684066,25,225.0,36,0.37037037037037035,RP,0.6851851851851852,2,4,74,5476,934066,2500000,0.003,3250000,38.02,1445.5204000000003,2500000,267800000,2500000,111,0.02,0.0004,0.98,0.9603999999999999,7,5,25,4,16,13.747302378525973,14.73180128983843,14.994165554305921
PIT,No,6.5,2022,2027,1,1,49,2401,0,2,6,21,441,20,400,2.347826086956522,5.512287334593574,0.04563492063492063,0.002082545981355505,0.10714285714285714,0.011479591836734693,3.21,10.3041,24,23,Pittsburgh Pirates,Pennsylvania,2562895,56.0,3136.0,21,162,8,Johan Oviedo,3,9,130764,9,245.0,17,0.12962962962962962,SP,0.382716049382716,0,0,54,2916,130764,700000,0.002,700000,33.45,1118.9025000000001,700000,14100000,700000,62,0.25,0.0625,1.29,1.6641000000000001,5,23,529,4,16,11.781149450764886,13.458835614025542,13.458835614025542
MIN,No,6.9,2022,2028,1,0,48,2304,0,1,4,22,484,20,400,4.636363636363637,21.495867768595044,0.021825396825396824,0.00047634794658604177,0.10119047619047619,0.010239512471655329,3.21,10.3041,26,26,Minnesota Twins,Minnesota,1202307,56.0,3136.0,11,162,11,Bailey Ober,3,9,706200,6,260.0,17,0.06790123456790123,SP,0.4814814814814814,0,0,51,2601,706200,706200,0.005,706200,0.0,0.0,706200,116550000,706200,78,0.86,0.7395999999999999,1.05,1.1025,3,11,121,2,4,13.467653762476424,13.467653762476424,13.467653762476424
KC,No,6.4,2022,2027,1,1,72,5184,0,2,2,48,2304,46,2116,1.1290322580645162,1.2747138397502604,0.061507936507936505,0.0037832262534643482,0.06944444444444445,0.0048225308641975315,7.39,54.6121,25,24,Kansas City Royals,Missouri,900155,56.0,3136.0,27,162,7,Carlos Hernandez,5,25,404976,4,245.0,9,0.16666666666666666,RP,0.4012345679012346,0,0,35,1225,404976,708750,0.004,708750,0.0,0.0,708750,13975000,708750,65,1.2584499999999992,1.583696402499998,1.84,3.3856,2,31,961,0,0,12.911583085073518,13.471258134024099,13.471258134024099
OAK,No,6.2,2022,2027,1,1,60,3600,0,5,2,24,576,20,400,2.5625,6.56640625,0.03191701575902653,0.0010186958949619479,0.08178735288250548,0.006689171091527477,3.23,10.4329,28,27,Oakland Athletics,California,1198668,55.7,3102.4900000000002,41,162,0,Joel Payamps,6,36,179124,15,225.0,29,0.25308641975308643,RP,0.3703703703703703,0,0,41,1681,179124,708750,0.004,708750,0.0,0.0,708750,1700000,708750,60,0.77,0.5929,1.37,1.8769000000000002,9,16,256,3,9,12.09583358242124,13.471258134024099,13.471258134024099
CHC,No,6.1,2022,2028,1,1,50,2500,0,2,11,25,625,24,576,2.5,6.25,0.040625634775543366,0.0016504422009158384,0.10156408693885842,0.010315263755723992,3.95,15.602500000000001,28,27,Chicago Cubs,Illinois,924408,54.7,2992.09,41,162,0,Michael Rucker,1,1,548120,17,195.0,21,0.25308641975308643,RP,0.4567901234567901,0,0,50,2500,548120,702500,0.004,702500,0.0,0.0,702500,109707000,702500,74,0.44,0.1936,1.28,1.6384,3,20,400,3,9,13.214249520060138,13.462400680190038,13.462400680190038
HOU,No,6.4,2022,2024,1,0,36,1296,0,2,3,8,64,7,49,2.0,4.0,0.06296973390209222,0.003965187387700303,0.12593946780418444,0.01586074955080121,1.15,1.3224999999999998,30,30,Houston Astros,Texas,6353886,54.7,2992.09,59,162,0,Ryne Stanek,1,1,2100000,5,226.0,16,0.36419753086419754,RP,0.654320987654321,1,1,62,3844,2100000,2100000,0.012,2100000,73.81,5447.9161,2100000,69100000,2100000,106,2.11,4.4521,1.23,1.5129,2,31,961,2,4,14.557447902693651,14.557447902693651,14.557447902693651
PHI,No,6.1,2022,2027,1,0,47,2209,0,2,7,25,625,20,400,3.12,9.7344,0.051156128504194806,0.0026169494835376924,0.1596071209330878,0.02547443305254931,3.31,10.956100000000001,30,30,Philadelphia Phillies,Pennsylvania,988350,54.3,2948.49,59,162,1,Andrew Bellatti,4,16,673050,8,190.0,15,0.36419753086419754,RP,0.5370370370370371,2,4,78,6084,673050,700000,0.003,700000,44.87,2013.3168999999998,700000,204150000,700000,87,0.83,0.6889,1.33,1.7689000000000001,2,25,625,4,16,13.41957490007224,13.458835614025542,13.458835614025542
SEA,No,6.3,2022,0,1,1,40,1600,0,1,2,27,729,22,484,2.409090909090909,5.803719008264463,0.045017393083691425,0.0020265656800515885,0.10845099242889299,0.011761617758811804,3.64,13.249600000000001,28,27,Seattle Mariners,Washington,3849668,54.3,2948.49,59,162,0,Diego Castillo,3,9,2150000,0,250.0,5,0.36419753086419754,RP,0.5555555555555556,7,49,53,2809,2150000,2150000,0.019,2150000,48.42,2344.4964,2150000,115700000,2150000,90,1.2584499999999992,1.583696402499998,1.14,1.2995999999999999,0,22,484,7,49,14.580978400103845,14.580978400103845,14.580978400103845
PIT,No,6.0,2022,0,1,1,40,1600,0,2,6,27,729,22,484,2.409090909090909,5.803719008264463,0.045017393083691425,0.0020265656800515885,0.10845099242889299,0.011761617758811804,3.64,13.249600000000001,28,27,Pittsburgh Pirates,Pennsylvania,534594,54.3,2948.49,59,162,0,Diego Castillo,3,9,534594,9,170.0,17,0.36419753086419754,2B,0.382716049382716,7,49,53,2809,534594,700000,0.008,700000,48.42,2344.4964,700000,14100000,700000,62,1.2584499999999992,1.583696402499998,1.14,1.2995999999999999,5,22,484,7,49,13.189262859279417,13.458835614025542,13.458835614025542
SEA,No,6.3,2022,0,1,1,6,36,0,1,2,8,64,8,64,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.027777777777777776,0.05555555555555555,0.0030864197530864196,36.0,1296.0,28,27,Seattle Mariners,Washington,3849668,2.0,4.0,96,162,71,Diego Castillo,0,0,2150000,0,250.0,5,0.5925925925925926,RP,0.5555555555555556,0,0,1,1,2150000,2150000,0.019,2150000,0.0,0.0,2150000,115700000,2150000,90,1.2584499999999992,1.583696402499998,4.5,20.25,0,3,9,0,0,14.580978400103845,14.580978400103845,14.580978400103845
PIT,No,6.0,2022,0,1,1,6,36,0,2,6,8,64,8,64,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.027777777777777776,0.05555555555555555,0.0030864197530864196,36.0,1296.0,28,27,Pittsburgh Pirates,Pennsylvania,534594,2.0,4.0,96,162,71,Diego Castillo,0,0,534594,9,170.0,17,0.5925925925925926,2B,0.382716049382716,0,0,1,1,534594,700000,0.008,700000,0.0,0.0,700000,14100000,700000,62,1.2584499999999992,1.583696402499998,4.5,20.25,5,3,9,0,0,13.189262859279417,13.458835614025542,13.458835614025542
