Acronimo,Agente libre,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIL,No,0.0,2012,2013,2010,3,196,38416,0,3,103,10609,99,9801,2.0,4.0,0.03663777918692313,0.0013423268637497378,0.07327555837384626,0.005369307454998951,5.65,31.922500000000003,35,33,Milwaukee Brewers,72462104,157.7,24869.289999999997,31,162,961,26,676,Randy Wolf,10,100,1,0,4,SP,0.5123456790123457,0,0,104,10816,9500000,9500000,9500000,6.27,39.31289999999999,40250000,29750000,83,0.02,0.0004,1.57,2.4649,0,52,2704,5,25,16.06680235657077,16.06680235657077,16.06680235657077
NYM,No,6.0,2012,2014,2008,6,117,13689,0,7,65,4225,63,3969,2.8461538461538463,8.100591715976332,0.037037037037037035,0.0013717421124828531,0.10541310541310542,0.011111922792834475,4.85,23.522499999999997,33,28,New York Mets,148560000,117.0,13689.0,21,162,441,21,441,Johan Santana,9,81,5,155,8,SP,0.4567901234567901,0,0,111,12321,24000000,24000000,24000000,1.26,1.5876000000000001,20400000,137500000,74,,,1.33,1.7689000000000001,2,39,1521,6,36,16.99356438831222,16.99356438831222,16.99356438831222
TEX,No,6.4,2012,2013,2010,2,99,9801,0,4,48,2304,40,1600,6.642857142857143,44.12755102040817,0.014814814814814815,0.00021947873799725654,0.09841269841269841,0.009685059208868732,3.43,11.7649,32,30,Texas Rangers,10279500,105.0,11025.0,16,162,256,16,256,Colby Lewis,6,36,2,238,6,SP,0.5740740740740741,0,0,93,8649,3250000,3250000,3250000,0.0,0.0,19000000,5000000,93,1.93,3.7249,1.08,1.1664,0,14,196,6,36,14.994165554305921,14.994165554305921,14.994165554305921
WSH,No,6.5,2012,0,2009,4,136,18496,1875000,6,62,3844,56,3136,4.104166666666667,16.84418402777778,0.033479807491106926,0.0011208975096415794,0.137406709911418,0.01888060392868058,3.16,9.985600000000002,23,20,Washington Nationals,15400000,159.3,25376.490000000005,28,162,784,28,784,Stephen Strasburg,6,36,1,235,2,SP,0.6049382716049383,0,0,197,38809,4875000,3000000,4875000,87.6,7673.759999999999,18650000,15100000,98,3.09,9.5481,1.15,1.3224999999999998,0,48,2304,15,225,15.399630662414085,14.914122846632385,15.399630662414085
TB,No,6.3,2012,2015,2008,4,209,43681,0,4,103,10609,89,7921,3.8448275862068964,14.78269916765755,0.028302347142926856,0.00080102285379874,0.10881764504952912,0.01184127987412531,3.52,12.3904,30,26,Tampa Bay Rays,17344900,227.7,51847.28999999999,33,162,1089,33,1089,James Shields,10,100,1,215,3,SP,0.5555555555555556,0,0,223,49729,7500000,7500000,7500000,79.41,6305.9481,15950000,11250000,90,2.55,6.5024999999999995,1.17,1.3688999999999998,0,58,3364,15,225,15.830413578506539,15.830413578506539,15.830413578506539
OAK,No,6.4,2012,2015,2010,4,29,841,250000,3,11,121,10,100,3.5714285714285716,12.755102040816327,0.022222222222222223,0.0004938271604938272,0.07936507936507936,0.006298815822625346,2.57,6.604899999999999,24,21,Oakland Athletics,6850000,35.0,1225.0,6,162,36,6,36,Brett Anderson,2,4,15,230,24,SP,0.5802469135802469,0,0,25,625,3250000,3000000,3250000,0.0,0.0,15414066,12500000,94,0.92,0.8464,1.03,1.0609,9,7,49,4,16,14.994165554305921,14.914122846632385,14.994165554305921
PIT,No,6.5,2012,2014,2009,5,189,35721,0,3,86,7396,79,6241,2.903225806451613,8.428720083246619,0.03405283682100291,0.0011595956955578514,0.09886307464162135,0.009773907527594794,3.51,12.320099999999998,35,31,Pittsburgh Pirates,106117500,202.3,40925.29000000001,31,162,961,31,961,A.J. Burnett,10,100,9,230,14,SP,0.4876543209876543,0,0,180,32400,5000000,16500000,16500000,50.0,2500.0,14500000,82500000,79,2.59,6.708099999999999,1.24,1.5376,5,62,3844,16,256,15.424948470398375,16.61887093887081,16.61887093887081
NYY,No,6.6,2012,2016,2009,7,184,33856,1285714,9,89,7921,75,5625,4.4772727272727275,20.045971074380166,0.024444444444444446,0.0005975308641975309,0.10944444444444444,0.011978086419753085,3.38,11.424399999999999,31,28,New York Yankees,127285714,200.0,40000.0,28,162,784,28,784,C.C. Sabathia,6,36,40,300,50,SP,0.5864197530864198,0,0,197,38809,24285714,23000000,24285714,40.63,1650.7969000000003,9100000,161000000,95,3.36,11.289599999999998,1.14,1.2995999999999999,27,44,1936,15,225,17.005398834194516,16.951004773893423,17.005398834194516
BAL,No,6.5,2012,0,2008,4,112,12544,800000,5,61,3721,53,2809,1.975609756097561,3.9030339083878642,0.046485260770975055,0.002160879468945552,0.09183673469387756,0.008433985839233653,4.87,23.716900000000003,25,20,Baltimore Orioles,5325000,98.0,9604.0,34,162,1156,16,256,Brian Matusz,10,100,7,190,12,RP,0.5740740740740741,0,0,81,6561,1450000,650000,1450000,0.0,0.0,6675000,3472500,93,-0.02,0.0004,1.56,2.4336,3,41,1681,6,36,14.187074114396758,13.38472764187182,14.187074114396758
BOS,No,6.4,2012,2015,2009,5,216,46656,0,3,117,13689,110,12100,2.4411764705882355,5.959342560553634,0.03680251123017806,0.0013544248328473823,0.08984142447366997,0.008071481551458145,4.82,23.232400000000002,28,24,Boston Red Sox,20227403,205.3,42148.090000000004,33,162,1089,33,1089,Jon Lester,14,196,12,240,20,SP,0.4259259259259259,0,0,166,27556,7625000,7625000,7625000,23.9,571.2099999999999,6000000,30000000,69,0.26,0.06760000000000001,1.38,1.9043999999999996,7,68,4624,9,81,15.84694288045775,15.84694288045775,15.84694288045775
BOS,No,6.0,2012,2013,2007,6,58,3364,333334,3,43,1849,42,1764,2.05,4.2025,0.04862630683199611,0.0023645177161194316,0.09968392900559202,0.00993688570199191,8.28,68.55839999999999,31,26,Boston Red Sox,51999999,45.7,2088.4900000000002,11,162,121,11,121,Daisuke Matsuzaka,7,49,12,200,20,SP,0.4259259259259259,0,0,41,1681,10333334,10000000,10333334,0.0,0.0,6000000,52000000,69,,,1.71,2.9240999999999997,7,20,400,1,1,16.150885538297437,16.11809565095832,16.150885538297437
CIN,No,6.4,2012,0,2010,6,35,1225,2708333,4,13,169,12,144,5.304347826086956,28.136105860113418,0.03564233689756702,0.0012703761795196673,0.18905935223926854,0.035743438669131815,1.51,2.2801,24,21,Cincinnati Reds,20275000,71.7,5140.89,68,162,4624,0,0,Aroldis Chapman,5,25,10,218,14,RP,0.5987654320987654,38,1444,122,14884,4733333,2000000,4733333,96.25,9264.0625,5100000,30250000,97,3.38,11.424399999999999,0.81,0.6561000000000001,5,23,529,5,25,15.370140163480842,14.508657738524219,15.370140163480842
KC,No,6.2,2012,2017,2010,3,54,2916,500000,2,27,729,25,625,2.9545454545454546,8.729338842975206,0.03778121243345354,0.0014274200129417442,0.11162630946247637,0.012460432964212542,3.48,12.1104,25,23,Kansas City Royals,3900000,64.7,4186.09,73,162,5329,0,0,Aaron Crow,1,1,2,205,7,RP,0.4444444444444444,2,4,65,4225,1600000,1100000,1600000,54.84,3007.4256000000005,5000000,3000000,72,0.97,0.9409,1.17,1.3688999999999998,1,22,484,3,9,14.28551418721001,13.9108207377686,14.28551418721001
SF,No,6.4,2012,2014,2007,7,186,34596,0,3,91,8281,85,7225,1.6285714285714286,2.6522448979591835,0.04220172424187617,0.0017809855289873586,0.06872852233676975,0.004723609782595859,4.15,17.222500000000004,34,28,San Francisco Giants,119540000,184.3,33966.490000000005,32,162,1024,32,1024,Barry Zito,8,64,23,208,23,SP,0.5802469135802469,0,0,114,12996,19000000,19000000,19000000,10.98,120.56040000000002,4800000,126000000,94,0.07,0.004900000000000001,1.39,1.9320999999999997,7,70,4900,15,225,16.759949537130716,16.759949537130716,16.759949537130716
SF,No,6.4,2012,2013,2010,2,57,3249,0,3,23,529,19,361,2.4782608695652173,6.141776937618147,0.04037212568018256,0.001629908531936456,0.10005265929436546,0.010010534631874375,2.7,7.290000000000001,33,30,San Francisco Giants,26863000,63.3,4006.8899999999994,67,162,4489,0,0,Jeremy Affeldt,2,4,23,226,23,RP,0.5802469135802469,3,9,57,3249,5000000,5000000,5000000,39.98,1598.4003999999998,4800000,9500000,94,0.77,0.5929,1.26,1.5876000000000001,7,23,529,1,1,15.424948470398375,15.424948470398375,15.424948470398375
ATL,No,6.1,2012,2014,2010,3,168,28224,0,1,77,5929,72,5184,2.125,4.515625,0.0297951582867784,0.0008877514573341794,0.0633147113594041,0.004008752674524655,3.62,13.1044,36,34,Atlanta Braves,88200000,179.0,32041.0,29,162,841,28,784,Tim Hudson,7,49,18,174,22,SP,0.5802469135802469,0,0,102,10404,9000000,9000000,9000000,75.59,5713.8481,1000000,28000000,94,1.42,2.0164,1.21,1.4641,3,48,2304,16,256,16.012735135300492,16.012735135300492,16.012735135300492
CHW,No,6.1,2012,2014,2010,3,191,36481,0,1,88,7744,82,6724,3.9591836734693877,15.675135360266555,0.024860476915271434,0.0006180433124547439,0.09842719431760527,0.009687912581235627,3.37,11.356900000000001,31,28,Chicago White Sox,74605000,219.0,47961.0,32,162,1024,32,1024,Jake Peavy,12,144,6,180,9,RP,0.5246913580246914,0,0,194,37636,17075000,17000000,17075000,0.0,0.0,900000,52000000,85,5.02,25.200399999999995,1.1,1.2100000000000002,3,49,2401,11,121,16.65312596342113,16.64872390202049,16.65312596342113
CHW,No,6.4,2012,2014,2009,4,166,27556,0,1,84,7056,80,6400,2.2857142857142856,5.224489795918367,0.041666666666666664,0.001736111111111111,0.09523809523809523,0.009070294784580497,4.29,18.4041,29,25,Chicago White Sox,21126000,168.0,28224.0,29,162,841,29,841,Gavin Floyd,11,121,6,235,9,RP,0.5246913580246914,0,0,144,20736,7000000,7000000,7000000,0.0,0.0,900000,15500000,85,2.22,4.928400000000001,1.36,1.8496000000000004,3,63,3969,12,144,15.761420707019587,15.761420707019587,15.761420707019587
