Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019
Daniel Stumpf,48,1,0,1.72,4.35,DET,566600
Chad Sobotka,32,0,0,1.62,6.21,ATL,565000
Jordan Hicks,29,2,14,0.94,3.14,STL,555000
Randy Dobnak,9,2,1,1.13,1.59,MIN,555000
Jesse Biddle,30,0,0,2.29,8.36,TEX,575000
Zac Reininger,26,0,0,2.14,8.68,DET,555000
Evan Phillips,25,0,0,1.86,6.43,BAL,555000
Lewis Thorpe,12,3,0,1.74,6.18,MIN,555000
Sam Coonrod,33,5,0,1.23,3.58,SF,555000
Carson Fulmer,20,1,0,1.68,6.26,CHW,555000
Alex McRae,11,0,0,1.95,8.78,PIT,555000
Brock Burke,6,0,0,1.54,7.43,TEX,555000
Taylor Guerrieri,20,0,0,1.78,5.81,TEX,555000
Tanner Scott,28,1,0,1.78,4.79,BAL,555000
Jake Jewell,18,0,0,1.37,6.84,LAA,555000
Gerardo Reyes,27,4,0,1.35,7.62,SD,555000
Brock Stewart,13,4,0,1.75,9.82,TOR,565000
Chance Adams,13,1,1,1.97,8.53,NYY,556725
Kohl Stewart,9,2,0,1.46,6.4,MIN,555000
Joe Smith,28,1,0,0.96,1.8,HOU,8000000
D.J. Johnson,28,0,0,1.68,5.04,COL,557000
Cody Stashak,18,0,0,1.2,3.24,MIN,555000
Seranthony Dominguez,27,3,0,1.46,4.01,PHI,564000
Stephen Tarpley,21,1,2,1.99,6.93,NYY,557250
Jandel Gustave,23,0,1,1.11,2.96,SF,555000
Kevin Ginkel,25,3,2,0.99,1.48,ARI,555000
Yefry Ramirez,14,0,0,1.89,7.4,PIT,555000
David McKay,25,0,0,1.44,5.18,DET,555000
Connor Sadzeck,20,0,1,1.39,2.66,SEA,556000
Drew Gagnon,18,3,0,1.73,8.37,NYM,555000
Matt Hall,16,0,0,1.84,7.71,DET,555000
Emmanuel Clase,21,2,1,1.11,2.31,TEX,555000
Sam Tuivailala,23,1,0,1.04,2.35,SEA,568600
Andres Munoz,22,1,1,1.17,3.91,SD,555000
T.J. Zeuch,5,1,0,1.46,4.77,TOR,555000
Walker Lockett,9,1,0,1.72,8.34,NYM,555000
Heath Fillmyer,12,0,0,1.79,8.06,KC,555000
Jimmy Nelson,10,0,0,1.91,6.96,MIL,3700000
Tyler Bashlor,24,0,0,1.73,6.96,NYM,555000
Parker Markel,20,0,0,1.96,7.77,PIT,555000
Ryan Tepera,23,0,0,1.29,4.99,TOR,1525000
Jason Adam,23,3,0,1.15,2.91,TOR,555000
Burch Smith,17,0,0,1.88,5.48,SF,555000
Cy Sneed,8,0,0,1.45,5.48,HOU,555000
Dillon Tate,16,0,0,1.29,6.43,BAL,555000
Eric Skoglund,6,0,0,1.86,9.0,KC,568175
Pete Fairbanks,21,2,2,1.67,6.86,TB,555000
Reggie McClain,14,1,0,1.67,6.0,SEA,555000
Tyler Anderson,5,0,0,2.13,11.76,COL,2625000
Austin Davis,14,0,0,1.74,6.53,PHI,555000
Michael Shawaryn,14,0,0,1.92,9.74,BOS,555000
Genesis Cabrera,13,0,1,1.67,4.87,STL,555000
Buddy Boshers,28,0,0,1.5,4.05,TOR,555000
Bryse Wilson,6,1,0,1.8,7.2,ATL,565000
Ryan Burr,16,1,0,1.27,4.58,CHW,556000
Ronald Bolanos,5,0,0,1.48,5.95,SD,555000
Paul Sewald,17,1,1,1.07,4.58,NYM,555000
Kyle Wright,7,0,0,1.88,8.7,ATL,565000
Jose Rodriguez,9,0,0,1.42,2.75,LAA,555000
Josh Staumont,16,0,0,1.6,3.72,KC,555000
Mike Mayers,16,0,0,1.68,6.63,STL,563700
Sam Howard,20,2,0,1.63,6.63,COL,555000
JD Hammer,20,1,0,1.42,3.79,PHI,555000
Jacob Faria,16,0,0,2.14,6.75,MIL,555000
Kyle Zimmer,15,0,0,2.56,10.8,KC,555000
Brent Suter,9,4,0,0.6,0.49,MIL,568300
Jimmie Sherfy,17,1,1,1.53,5.89,ARI,555000
Pat Neshek,20,0,3,1.39,5.0,PHI,7750000
Joe Harvey,18,1,0,1.72,5.0,COL,555000
Tyler Rogers,17,2,0,0.85,1.02,SF,555000
Scott Alexander,28,3,0,1.38,3.64,LAD,575000
Zac Grotz,14,1,0,1.27,4.15,SEA,555000
Montana DuRapau,14,0,0,2.08,9.35,PIT,555000
James Marvel,4,0,0,1.79,8.31,PIT,555000
C.J. Edwards,22,1,0,1.47,8.47,SD,1500000
