Jugador,Valor_contrato_2015,Valor_promedio_contrato_2015,Porcetnaje_juegos_2015,RBI_2015,Porcentaje_bateo_2015,OPS_2015,Equipo_2015,Sueldo_2015
Alberto Callaspo,3000000,3000000,0.599,15,0.235,0.594,LAD,2147540
Chris Denorfia,2600000,2600000,0.636,18,0.269,0.691,CHC,2600000
Brandon Morrow,2500000,2500000,0.031,0,0.0,0.1,SD,2500000
Corey Hart,2500000,2500000,0.216,9,0.222,0.597,PIT,2500000
Burke Badenhop,2500000,2500000,0.42,0,0.0,0.0,CIN,1000000
A.J. Pierzynski,2000000,2000000,0.698,49,0.302,0.774,ATL,2400000
Gordon Beckham,2000000,2000000,0.617,20,0.21,0.601,CHW,2000000
Ichiro Suzuki,2000000,2000000,0.944,21,0.229,0.561,MIA,3200000
Carlos Villanueva,2000000,2000000,0.216,0,0.0,0.0,STL,2000000
Mark Reynolds,2000000,2000000,0.864,48,0.23,0.713,STL,2000000
Kelly Johnson,1500000,1500000,0.685,47,0.265,0.753,NYM,598360
Chad Billingsley,1500000,1500000,0.043,1,0.077,0.385,PHI,1500000
Clint Barmes,1500000,1500000,0.605,16,0.232,0.633,SD,1300000
Geovany Soto,1500000,1500000,0.475,21,0.222,0.715,CHW,1500000
Don Kelly,1250000,1250000,0.012,0,0.0,0.0,MIA,1250000
Justin Smoak,1000000,1000000,0.815,59,0.226,0.768,TOR,1000000
Kyle Blanks,1000000,1000000,0.111,6,0.313,0.875,TEX,1000000
Eric Young Jr.,1000000,1000000,0.327,5,0.153,0.464,NYM,1000000
Jonathan Herrera,900000,900000,0.451,14,0.23,0.576,CHC,900000
Jeanmar Gomez,800000,800000,0.401,0,0.0,0.0,PHI,800000
Bobby Wilson,700000,700000,0.346,14,0.189,0.505,TEX,700000
Chris Young,675000,675000,0.864,42,0.252,0.773,NYY,2500000
Chris Young,675000,675000,0.864,42,0.252,0.773,KC,675000
Chris Young,675000,675000,0.204,3,0.5,1.0,NYY,2500000
Chris Young,675000,675000,0.204,3,0.5,1.0,KC,675000
Shane Robinson,550000,550000,0.512,16,0.25,0.621,MIN,550000
Ross Detwiler,507500,507500,0.253,0,0.0,0.0,ATL,507500
Mat Latos,0,0,0.148,1,0.292,0.583,LAA,507500
Taylor Teagarden,0,0,0.049,2,0.2,0.4,CHC,507500
Josh Wilson,0,0,0.13,5,0.316,0.745,DET,507500
Clint Robinson,0,0,0.778,34,0.272,0.782,WSH,525000
Trevor Cahill,0,0,0.161,0,0.143,0.393,CHC,507500
Ezequiel Carrera,0,0,0.562,26,0.273,0.693,TOR,507500
Clayton Richard,0,0,0.142,3,0.143,0.486,CHC,507500
Shawn O'Malley,0,0,0.148,7,0.262,0.775,SEA,507500
Quintin Berry,0,0,0.049,0,0.0,0.0,CHC,507500
Casey McGehee,0,0,0.673,20,0.198,0.538,MIA,507500
Reed Johnson,0,0,0.105,3,0.227,0.523,WSH,1000000
J.P. Arencibia,0,0,0.148,17,0.31,0.921,TB,507500
Franklin Gutierrez,0,0,0.364,35,0.292,0.974,SEA,507500
Brett Wallace,0,0,0.395,16,0.302,0.895,SD,507500
Nolan Reimold,0,0,0.377,20,0.247,0.738,BAL,507500
