Jugador,Juegos_2018,Wins_2018,Saves_2018,WHIP_2018,ERA_2018,Equipo_2018,Sueldo_2018,Agente libre
Jake Arrieta,31,10,0,1.29,3.96,PHI,30000000,Si
Jon Gray,31,12,0,1.35,5.12,COL,555000,No
Michael Fiers,31,12,0,1.18,3.56,OAK,6000000,Si
Dylan Bundy,31,8,0,1.41,5.45,BAL,1640000,No
Derek Holland,37,7,0,1.29,3.57,SF,1750000,No
Gio Gonzalez,32,10,0,1.44,4.21,WSH,12000000,No
Trevor Williams,31,14,0,1.18,3.11,PIT,569500,No
Matt Boyd,31,9,0,1.16,4.39,DET,562000,No
Luis Castillo,31,10,0,1.22,4.3,CIN,555000,No
Charlie Morton,30,15,0,1.16,3.13,HOU,8875000,No
Marco Gonzales,29,13,0,1.22,4.0,SEA,550300,No
Jake Odorizzi,33,7,0,1.35,4.49,MIN,6300000,No
Sean Newcomb,31,12,0,1.33,3.9,ATL,555000,No
Nick Pivetta,34,7,0,1.3,4.77,PHI,551000,No
Wade LeBlanc,32,9,0,1.18,3.72,SEA,700000,No
Clayton Kershaw,27,9,0,1.04,2.73,LAD,35571428,No
Ivan Nova,29,9,0,1.28,4.19,PIT,9416666,No
Sean Manaea,27,12,0,1.08,3.59,OAK,550000,No
James Paxton,28,11,0,1.1,3.76,SEA,4900000,No
Andrew Suarez,29,7,0,1.3,4.49,SF,545000,No
Clayton Richard,28,7,0,1.38,5.33,SD,3500000,No
Chris Sale,27,12,0,0.86,2.11,BOS,12515000,No
Chase Anderson,31,10,0,1.19,3.93,MIL,4750000,No
Mike Minor,28,12,0,1.12,4.19,TEX,8333333,Si
Lance Lynn,31,10,0,1.53,4.77,NYY,12000000,Si
Masahiro Tanaka,27,12,0,1.13,3.75,NYY,22000000,No
Felix Hernandez,29,7,0,1.4,5.55,SEA,26857142,No
Danny Duffy,28,8,0,1.49,4.88,KC,14000000,No
Matt Harvey,32,7,0,1.3,4.94,CIN,5625000,No
Noah Syndergaard,25,13,0,1.21,3.03,NYM,2975000,No
Steven Matz,30,5,0,1.25,3.97,NYM,577000,No
C.C. Sabathia,29,9,0,1.31,3.65,NYY,10500000,Si
Andrew Cashner,30,5,0,1.58,5.29,BAL,9500000,Si
Alex Cobb,28,5,0,1.41,4.9,BAL,14000000,Si
Alex Wood,33,9,0,1.21,3.68,LAD,6000000,No
Jack Flaherty,31,8,0,1.11,3.34,STL,545000,No
Tyson Ross,34,7,0,1.3,4.15,STL,2700000,No
Chris Archer,27,6,0,1.38,4.31,PIT,6416666,No
Ryan Yarbrough,38,16,0,1.29,3.91,TB,545000,No
Vincent Velasquez,32,9,0,1.34,4.85,PHI,559000,No
Bartolo Colon,29,7,0,1.35,5.78,TEX,2450000,No
Sal Romano,39,8,0,1.43,5.31,CIN,545000,No
Chris Stratton,28,10,0,1.43,5.09,SF,552500,No
Marco Estrada,28,7,0,1.43,5.64,TOR,13000000,No
Junior Guerra,31,6,0,1.4,4.09,MIL,545000,No
Brad Keller,41,9,0,1.3,3.08,KC,545000,No
Walker Buehler,24,8,0,0.96,2.62,LAD,545000,No
Anibal Sanchez,25,7,0,1.08,2.83,ATL,1000000,Si
Luke Weaver,35,8,0,1.5,4.95,STL,550800,No
Francisco Liriano,27,5,0,1.5,4.58,DET,4000000,Si
Wei-Yin Chen,27,6,0,1.34,4.79,MIA,10000000,No
Rich Hill,25,11,0,1.12,3.66,LAD,16666666,No
Michael Fulmer,24,3,0,1.32,4.69,DET,575200,No
Jordan Zimmermann,25,7,0,1.26,4.52,DET,24000000,No
Sonny Gray,30,11,0,1.5,4.9,NYY,6500000,No
Stephen Strasburg,22,10,0,1.2,3.74,WSH,18333333,No
Joey Lucchesi,26,8,0,1.29,4.09,SD,545000,No
Madison Bumgarner,22,6,0,1.24,3.26,SF,12000000,No
Eduardo Rodriguez,27,13,0,1.26,3.82,BOS,2375000,No
Jaime Barria,26,10,0,1.27,3.41,LAA,545000,No
Lance McCullers,25,10,0,1.17,3.86,HOU,2450000,No
Zach Eflin,25,11,0,1.3,4.36,PHI,545000,No
Jason Hammel,40,5,0,1.63,6.02,KC,9000000,No
Trevor Richards,26,4,0,1.38,4.42,MIA,545000,No
Tyler Skaggs,24,8,0,1.33,4.02,LAA,1875000,No
Kenta Maeda,41,8,2,1.26,3.81,LAD,6125000,No
Mike Montgomery,39,5,0,1.37,3.99,CHC,611250,No
Robbie Ray,25,6,0,1.35,3.93,ARI,3950000,No
Sam Gaviglio,26,3,0,1.44,5.31,TOR,545000,No
Dan Straily,26,5,0,1.3,4.12,MIA,3375000,No
Ross Stripling,36,8,0,1.19,3.03,LAD,555000,No
Dylan Covey,27,5,0,1.49,5.18,CHW,545000,No
Carlos Rodon,20,6,0,1.26,4.18,CHW,2300000,No
Chad Bettis,27,5,0,1.4,5.01,COL,2000000,No
Ian Kennedy,22,3,0,1.38,4.66,KC,16000000,No
Carlos Martinez,34,8,5,1.35,3.11,STL,11700000,No
Ty Blach,50,6,0,1.47,4.25,SF,565000,No
Dereck Rodriguez,21,6,0,1.13,2.81,SF,545000,No
Daniel Mengden,22,7,0,1.12,4.05,OAK,547500,No
Joe Musgrove,20,6,0,1.18,4.06,PIT,571000,No
Anthony DeSclafani,21,7,0,1.29,4.93,CIN,860000,No
John Gant,28,7,0,1.3,3.47,STL,545000,No
Eric Lauer,23,6,0,1.54,4.34,SD,545000,No
Tyler Mahle,24,7,0,1.59,4.98,CIN,545000,No
Tyler Glasnow,45,2,0,1.27,4.27,TB,556500,No
Nathan Eovaldi,24,7,0,1.13,3.81,BOS,2000000,No
Trevor Cahill,21,7,0,1.19,3.76,OAK,1500000,Si
Robbie Erlin,40,4,0,1.14,4.21,SD,650000,No
Homer Bailey,20,1,0,1.64,6.09,CIN,21000000,No
Aaron Sanchez,20,4,0,1.56,4.89,TOR,2700000,No
Tyler Chatwood,25,4,0,1.8,5.3,CHC,12500000,Si
David Hess,21,3,0,1.38,4.88,BAL,545000,No
Marcus Stroman,19,3,0,1.48,5.54,TOR,6500000,No
Matt Moore,39,3,0,1.66,6.79,TEX,9000000,No
Hector Santiago,49,6,2,1.59,4.5,CHW,2000000,No
Seth Lugo,55,3,3,1.08,2.66,NYM,564000,No
Brent Suter,21,8,0,1.19,4.44,MIL,556500,No
Brian Johnson,38,4,0,1.43,4.17,BOS,548000,No
Clay Buchholz,17,7,0,1.04,2.01,ARI,1500000,Si
Ryan Borucki,17,4,0,1.32,3.87,TOR,545000,No
Jesse Chavez,63,5,5,1.06,2.55,CHC,1500000,Si
Yovani Gallardo,21,8,0,1.63,6.39,TEX,2300000,Si
Yusmeiro Petit,74,7,0,1.01,3.0,OAK,3500000,Si
Felix Pena,19,3,0,1.24,4.18,LAA,545000,No
Edwin Jackson,17,6,0,1.22,3.33,OAK,1500000,No
Jason Vargas,21,6,0,1.41,5.77,NYM,6000000,Si
Steven Brault,46,6,0,1.54,4.62,PIT,557000,No
Jeremy Hellickson,19,5,0,1.07,3.45,WSH,2000000,No
Antonio Senzatela,23,6,0,1.37,4.38,COL,545000,No
Yonny Chirinos,18,4,0,1.22,3.51,TB,545000,No
Jordan Lyles,37,3,0,1.27,4.11,MIL,750000,Si
Matt Koch,19,5,0,1.27,4.15,ARI,545000,No
Miguel Castro,63,2,0,1.45,3.96,BAL,553000,No
Blaine Hardy,30,4,1,1.17,3.56,DET,795000,No
Domingo German,21,2,0,1.33,5.57,NYY,548225,No
Martin Perez,22,2,0,1.78,6.22,TEX,6000000,No
Chad Kuhl,18,5,0,1.43,4.55,PIT,570500,No
Hector Velazquez,48,7,0,1.45,3.18,BOS,547000,No
Michael Wacha,15,8,0,1.23,3.2,STL,5300000,No
Mike Wright,48,4,0,1.63,5.55,BAL,553500,No
Noe Ramirez,69,7,1,1.26,4.54,LAA,548500,No
Hyun-Jin Ryu,16,7,0,1.01,1.97,LAD,7833333,No
Heath Fillmyer,17,4,0,1.34,4.26,KC,545000,No
Jaime Garcia,33,3,0,1.54,5.82,CHC,545000,Si
Josh Hader,55,6,12,0.81,2.43,MIL,556500,No
Michael Lorenzen,55,4,1,1.38,3.11,CIN,1312500,No
Wade Miley,16,5,0,1.22,2.57,MIL,2500000,No
Brett Anderson,17,4,0,1.28,4.48,OAK,4000000,No
Blake Treinen,68,9,38,0.83,0.78,OAK,2150000,No
Robert Gsellman,69,6,13,1.3,4.28,NYM,562375,No
Craig Stammen,73,8,0,1.04,2.73,SD,3250000,Si
Brandon McCarthy,15,6,0,1.46,4.92,ATL,11500000,No
Jared Hughes,72,4,7,1.02,1.95,CIN,2875000,Si
Matt Andriese,41,3,0,1.39,5.26,ARI,558400,No
Freddy Peralta,16,6,0,1.14,4.25,MIL,545000,No
Burch Smith,38,1,0,1.67,6.92,KC,552400,No
Adam Ottavino,75,6,6,0.99,2.43,COL,7000000,No
Jordan Hicks,73,3,6,1.34,3.59,STL,545000,No
Caleb Smith,16,5,0,1.24,4.19,MIA,1090000,No
Jeremy Jeffress,73,8,15,0.99,1.29,MIL,2300000,No
Mychal Givens,69,0,9,1.19,3.99,BAL,566500,No
Garrett Richards,16,5,0,1.28,3.66,LAA,7300000,No
Nicholas Tropeano,14,5,0,1.3,4.74,LAA,545000,No
Nick Kingham,18,5,0,1.38,5.21,PIT,545000,No
Brian Flynn,48,3,1,1.61,4.04,KC,573500,No
Chad Green,63,8,0,1.04,2.5,NYY,570800,No
Austin Gomber,29,6,0,1.51,4.44,STL,545000,No
Drew Pomeranz,26,2,0,1.77,6.08,BOS,8500000,No
Lou Trivino,69,8,4,1.13,2.92,OAK,545000,No
Brad Ziegler,82,2,10,1.3,3.91,ARI,9000000,No
Edwin Diaz,73,0,57,0.79,1.96,SEA,570800,No
Bryan Mitchell,16,2,0,1.75,5.43,SD,552800,No
Trevor Hildenberger,73,4,7,1.38,5.43,MIN,555000,No
Collin McHugh,58,6,0,0.91,1.99,HOU,5000000,No
Jeurys Familia,70,8,18,1.22,3.13,OAK,7925000,No
T.J. McFarland,47,2,1,1.19,2.0,ARI,850000,No
Raisel Iglesias,66,2,30,1.07,2.38,CIN,5214285,No
Joseph Biagini,50,4,0,1.67,6.0,TOR,545000,No
Kevin McCarthy,65,5,0,1.25,3.25,KC,554250,No
Kenley Jansen,69,1,38,0.99,3.01,LAD,11333333,No
Archie Bradley,76,4,3,1.14,3.64,ARI,581900,No
Ryan Pressly,77,2,2,1.11,2.54,HOU,1600000,No
Steve Cishek,81,4,4,1.04,2.18,CHC,7500000,Si
Sam Dyson,74,4,3,1.08,2.69,SF,4425000,No
Felipe Vazquez,70,4,37,1.24,2.7,PIT,3000000,No
Eric Skoglund,14,1,0,1.21,5.14,KC,545000,No
David Robertson,69,8,5,1.03,3.23,NYY,13000000,No
Austin Pruitt,23,2,4,1.26,4.65,TB,545000,No
Buck Farmer,66,3,0,1.56,4.15,DET,554800,No
Richard Rodriguez,63,4,0,1.07,2.47,PIT,545000,No
Tyler Clippard,73,4,6,1.16,3.67,TOR,1500000,No
Alexander Claudio,66,4,1,1.52,4.48,TEX,568450,No
Taylor Rogers,72,1,2,0.95,2.63,MIN,565000,No
Seung-Hwan Oh,73,6,3,1.01,2.63,COL,2750000,Si
Alex Colome,70,7,12,1.18,3.04,SEA,5300000,No
Sergio Romo,73,3,25,1.26,4.14,TB,2500000,Si
Dellin Betances,66,4,4,1.05,2.7,NYY,5100000,No
Blake Parker,67,2,15,1.24,3.26,LAA,1800000,No
Ryne Stanek,59,2,0,1.09,2.99,TB,545000,No
Edgar Santana,69,3,0,1.1,3.26,PIT,556500,No
Yoshihisa Hirano,75,4,3,1.09,2.44,ARI,3000000,No
Doug Fister,12,1,0,1.39,4.5,TEX,3500000,Si
Tony Watson,72,4,0,1.03,2.59,SF,3000000,Si
Scott Alexander,73,2,3,1.27,3.68,LAD,550000,No
Zach Davies,13,2,0,1.33,4.77,MIL,572000,No
Jarlin Garcia,29,3,0,1.32,4.91,MIA,555000,No
Jonathan Holder,60,1,0,1.09,3.14,NYY,553850,No
Joe Kelly,73,4,2,1.36,4.39,BOS,3825000,No
Elieser Hernandez,32,2,0,1.45,5.21,MIA,1090000,No
Wade Davis,69,3,43,1.06,4.13,COL,16000000,Si
Yefry Ramirez,17,1,0,1.53,5.92,BAL,545000,No
Brad Peacock,61,3,3,1.17,3.46,HOU,2440000,No
Frankie Montas,13,4,0,1.46,3.88,OAK,545000,No
Jacob Faria,17,4,0,1.43,5.4,TB,555000,No
Reyes Moronta,69,5,1,1.09,2.49,SF,545000,No
Ryan Tepera,68,5,7,1.22,3.62,TOR,574700,No
Drew Steckenrider,71,4,5,1.27,3.9,MIA,1090000,No
Corey Oswalt,17,3,0,1.38,5.85,NYM,545000,No
Fernando Rodney,68,4,25,1.46,3.36,OAK,5900000,Si
Dan Jennings,73,4,1,1.38,3.22,MIL,750000,Si
David Hernandez,57,5,0,0.98,2.53,CIN,2800000,Si
Tommy Hunter,65,5,4,1.25,3.8,PHI,9000000,Si
Cam Bedrosian,71,5,1,1.39,3.8,LAA,1100000,No
Dylan Floro,54,6,0,1.25,2.25,LAD,545000,No
Jose Alvarado,70,1,8,1.11,2.39,TB,549800,No
Jesse Biddle,60,6,1,1.27,3.11,ATL,545000,No
Jim Johnson,62,5,2,1.36,3.84,LAA,5000000,No
Shane Greene,67,5,33,1.37,5.12,DET,1950000,No
Jose Alvarez,76,6,1,1.16,2.71,LAA,1050000,No
Kirby Yates,65,5,12,0.92,2.14,SD,1062500,No
Shane Carle,53,4,1,1.22,2.86,ATL,555000,No
Amir Garrett,66,1,0,1.29,4.29,CIN,545000,No
Brad Brach,69,2,12,1.6,3.59,ATL,5165000,No
Joe Jimenez,69,6,4,1.2,4.31,DET,547200,No
Craig Kimbrel,63,5,42,1.0,2.74,BOS,13050000,No
Emilio Pagan,55,3,0,1.19,4.36,OAK,545000,No
Alex Wilson,59,2,0,1.05,3.36,DET,1925000,No
Matt Barnes,62,6,0,1.26,3.65,BOS,605000,No
Matthew Strahm,42,3,0,0.98,2.05,SD,552700,No
A.J. Minter,65,4,15,1.29,3.23,ATL,555000,No
Joakim Soria,66,3,16,1.14,3.12,MIL,9000000,No
Brandon Kintzler,70,3,2,1.47,4.6,CHC,5000000,Si
Daniel Winkler,69,4,2,1.19,3.43,ATL,610000,No
Kyle Crick,64,3,2,1.13,2.39,PIT,545000,No
Heath Hembree,67,4,0,1.33,4.2,BOS,581500,No
Pedro Strop,61,6,13,0.99,2.26,CHC,5850000,No
Matt Grace,56,1,0,1.14,2.87,WSH,557000,No
Victor Arano,60,1,3,1.2,2.73,PHI,545500,No
Hector Rondon,63,2,15,1.32,3.2,HOU,4000000,Si
Scott Oberg,57,8,0,0.97,2.46,COL,555000,No
Pablo Lopez,12,2,0,1.26,4.14,MIA,545000,No
Tayron Guerrero,60,1,0,1.62,5.43,MIA,545000,No
Seranthony Dominguez,53,2,16,0.93,2.95,PHI,545000,No
Bud Norris,64,3,28,1.25,3.59,STL,3000000,Si
Jose Leclerc,59,2,12,0.85,1.56,TEX,552300,No
Cory Gearrin,62,2,1,1.34,3.77,OAK,1675000,No
Will Harris,61,5,0,1.09,3.49,HOU,2800000,No
Matt Magill,40,3,0,1.43,3.81,MIN,545000,No
Diego Castillo,43,3,0,0.95,3.18,TB,545000,No
Nick Vincent,62,4,0,1.15,3.99,SEA,2750000,No
Drew VerHagen,41,3,0,1.15,4.63,DET,551400,No
Pedro Baez,55,3,0,1.23,2.88,LAD,1500000,No
Paul Sewald,47,0,3,1.51,6.07,NYM,553250,No
Jorge De La Rosa,61,0,1,1.39,3.38,CHC,545000,No
Addison Reed,55,1,0,1.43,4.5,MIN,8250000,Si
Hansel Robles,53,2,2,1.39,3.7,LAA,900000,No
Kyle Barraclough,61,1,10,1.33,4.2,MIA,1113000,No
Corey Knebel,57,4,16,1.08,3.58,MIL,3650000,No
Justin Anderson,57,3,4,1.48,4.07,LAA,545000,No
John Axford,50,4,0,1.35,5.27,LAD,1500000,No
Bryan Shaw,61,4,0,1.79,5.93,COL,7500000,Si
Justin Wilson,71,4,0,1.43,3.46,CHC,4250000,No
Chris Rusin,49,2,0,1.5,6.09,COL,1287500,No
Ariel Jurado,12,5,0,1.54,5.93,TEX,545000,No
Steven Wright,20,3,1,1.25,2.68,BOS,1100000,No
Jorge Lopez,17,2,0,1.47,5.03,KC,545000,No
Chasen Bradford,46,5,0,1.29,3.69,SEA,545000,No
Jake Diekman,71,1,2,1.5,4.73,ARI,2712500,No
Brad Boxberger,60,3,32,1.42,4.39,ARI,1850000,No
Tanner Scott,53,3,0,1.56,5.4,BAL,545000,No
Johnny Cueto,9,3,0,1.11,3.23,SF,21000000,No
Will Smith,54,2,14,0.98,2.55,SF,2500000,No
Taylor Williams,56,1,0,1.47,4.25,MIL,545000,No
Ryan Madson,58,2,4,1.4,5.47,LAD,7916668,No
Chasen Shreve,60,3,1,1.52,3.93,STL,825000,No
Justin Miller,51,7,2,1.13,3.61,WSH,545000,No
Zach Duke,72,5,0,1.5,4.15,SEA,3650000,No
C.J. Edwards,59,3,0,1.31,2.6,CHC,594000,No
Keone Kela,54,3,24,1.1,3.29,PIT,1200000,No
Jefry Rodriguez,14,3,0,1.54,5.71,WSH,545000,No
Adam Warren,47,3,0,1.32,3.14,SEA,3315000,No
Mike Mayers,50,2,1,1.43,4.7,STL,545000,No
Shohei Ohtani,114,4,0,1.16,3.31,LAA,545000,No
Aroldis Chapman,55,3,32,1.05,2.46,NYY,17200000,No
Jake McGee,61,2,1,1.46,6.49,COL,7000000,Si
Louis Coleman,51,4,0,1.3,3.51,DET,545000,No
Jace Fry,59,2,4,1.11,4.38,CHW,545000,No
Roenis Elias,23,3,0,1.22,2.65,SEA,598000,No
Adam Conley,52,3,3,1.09,4.09,MIA,545000,No
John Brebbia,45,3,2,1.16,3.2,STL,552000,No
Jalen Beeks,14,5,0,1.5,5.51,TB,545000,No
Sam Freeman,63,3,0,1.45,4.29,ATL,1075000,No
Chaz Roe,61,1,1,1.01,3.58,TB,720000,No
Ken Giles,55,0,26,1.21,4.65,TOR,4600000,No
Erick Fedde,11,2,0,1.53,5.54,WSH,545000,No
James Pazos,60,4,0,1.24,2.88,SEA,553900,No
Eddie Butler,30,2,2,1.57,5.62,TEX,570750,No
Andrew Chafin,77,1,0,1.34,3.1,ARI,1195000,No
Adam Morgan,68,0,1,1.44,3.83,PHI,560000,No
Shawn Kelley,54,2,0,0.9,2.94,OAK,5600000,No
Caleb Ferguson,30,7,2,1.12,3.49,LAD,545000,No
Jacob Barnes,49,0,2,1.52,3.33,MIL,558900,No
A.J. Cole,32,4,0,1.59,6.15,NYY,555300,No
Oliver Drake,44,1,0,1.45,5.29,MIN,554300,No
Chris Bassitt,11,2,0,1.24,3.02,OAK,545000,No
Michael Feliz,47,1,0,1.51,5.66,PIT,575500,No
Hector Neris,53,1,11,1.3,5.1,PHI,582500,No
Wander Suero,40,4,0,1.22,3.59,WSH,545000,No
Chris Devenski,50,2,2,1.16,4.18,HOU,599200,No
Phil Maton,45,0,0,1.54,4.37,SD,548700,No
Juan Minaya,52,2,1,1.46,3.28,CHW,558000,No
Randy Rosario,44,4,1,1.48,3.66,CHC,545000,No
Greg Holland,56,2,3,1.62,4.66,WSH,545000,Si
Daniel Hudson,40,3,0,1.22,4.11,LAD,545000,No
Luis Garcia,59,3,1,1.46,6.07,PHI,1200000,No
Joe Smith,56,5,0,1.01,3.75,HOU,7000000,Si
Erasmo Ramirez,10,2,0,1.4,6.5,SEA,4200000,No
Jake Petricka,41,3,0,1.64,4.53,TOR,1300000,No
Tim Hill,70,1,2,1.31,4.53,KC,545000,No
Luis Avilan,71,2,2,1.37,3.77,PHI,2450000,No
Hunter Strickland,49,3,15,1.41,3.97,SF,1550000,No
Wandy Peralta,59,2,0,1.96,5.36,CIN,557500,No
Sean Doolittle,43,3,25,0.6,1.6,WSH,4380000,No
Austin Bibens-Dirkx,13,2,0,1.56,6.2,TEX,545000,No
Luis Perdomo,12,1,0,1.88,7.05,SD,566800,No
Jeff Samardzija,10,1,0,1.63,6.25,SF,19800000,No
Luis Cessa,16,1,2,1.43,5.24,NYY,568925,No
Harrison Musgrave,35,2,0,1.3,4.63,COL,545000,No
Kelvin Herrera,48,2,17,1.2,2.44,WSH,7937500,No
Daniel Norris,11,0,0,1.47,5.68,DET,561400,No
Wilmer Font,19,2,0,1.41,5.93,TB,550000,No
Pierce Johnson,37,3,0,1.37,5.57,SF,545000,No
Cody Reed,17,1,0,1.39,3.98,CIN,545000,No
Thomas Pannone,12,4,0,1.21,4.19,TOR,545000,No
Jerry Blevins,65,4,1,1.36,4.85,NYM,7000000,No
Edubray Ramos,52,3,1,1.15,2.32,PHI,554000,No
Jacob Nix,9,2,0,1.53,7.02,SD,545000,No
Brandon Woodruff,19,3,1,1.18,3.61,MIL,550100,No
Juan Nicasio,46,1,1,1.38,6.0,SEA,7750000,Si
Chris Martin,46,1,0,1.22,4.54,TEX,1750000,No
Brandon Workman,43,6,0,1.21,3.27,BOS,835000,No
Andrew Triggs,9,3,0,1.33,5.23,OAK,550000,No
Josh Fields,45,2,2,0.95,2.2,LAD,2200000,No
Danny Barnes,47,3,0,1.68,5.71,TOR,561600,No
Hunter Wood,31,1,0,1.46,3.73,TB,545000,No
Zack Britton,41,2,7,1.23,3.1,NYY,12000000,No
Luke Jackson,35,1,1,1.52,4.43,ATL,545000,No
Adam Wainwright,8,2,0,1.46,4.46,STL,19500000,No
Yu Darvish,8,1,0,1.42,4.95,CHC,25000000,Si
Matt Wisler,18,1,0,1.2,4.28,CIN,545000,No
Jimmy Yacabonis,12,0,0,1.45,5.4,BAL,545000,No
Aaron Loup,59,0,0,1.56,4.54,PHI,1812500,No
Robert Stock,32,1,0,1.26,2.5,SD,545000,No
Ryan Buchter,54,6,0,1.2,2.75,OAK,555000,No
Sammy Solis,56,1,0,1.55,6.41,WSH,560300,No
Mark Melancon,41,1,3,1.59,3.23,SF,20000000,No
Odrisamer Despaigne,19,2,0,1.82,6.69,LAA,1090000,No
Tony Sipp,54,3,0,1.03,1.86,HOU,6000000,No
Artie Lewicki,13,0,0,1.6,4.89,DET,545000,No
Arodys Vizcaino,39,2,16,1.17,2.11,ATL,3400000,No
Daniel Stumpf,56,1,0,1.57,4.93,DET,552000,No
Jackson Stephens,29,2,0,1.7,4.93,CIN,545000,No
Glenn Sparkman,15,0,0,1.62,4.46,KC,545000,No
Andrew Kittredge,33,3,0,1.85,7.75,TB,548100,No
Jose Castillo,37,3,0,0.91,3.29,SD,545000,No
Roberto Osuna,38,2,21,0.97,2.37,HOU,5300000,No
Deck McGuire,21,0,0,1.68,6.16,LAA,545000,No
Corbin Burnes,30,7,1,1.0,2.61,MIL,545000,No
Brian Duensing,49,3,1,1.88,7.65,CHC,3500000,Si
Paul Fry,35,1,2,1.27,3.35,BAL,545000,No
Sam Tuivailala,36,4,0,1.43,3.41,SEA,554600,No
Framber Valdez,8,4,0,1.24,2.19,HOU,545000,No
Erik Goeddel,31,3,0,1.25,2.95,LAD,545000,No
Kohl Stewart,8,2,0,1.42,3.68,MIN,545000,No
Gabriel Moya,35,3,0,1.32,4.71,MIN,545000,No
Taylor Cole,18,4,0,0.89,2.75,LAA,545000,No
Yacksel Rios,36,3,0,1.61,6.75,PHI,545000,No
Tim Mayza,37,2,0,1.32,3.28,TOR,545000,No
Drew Rucinski,32,4,0,1.33,4.33,MIA,545000,No
Kazuhisa Makita,27,0,0,1.26,5.4,SD,1900000,No
Austin Davis,32,1,0,1.36,4.15,PHI,545000,No
Matt Albers,34,3,1,1.66,7.34,MIL,2500000,Si
Matt Belisle,33,1,0,1.75,7.86,MIN,545000,No
Jonny Venters,50,5,3,1.22,3.67,ATL,545000,No
Wily Peralta,37,1,14,1.49,3.67,KC,1500000,Si
Kendall Graveman,7,1,0,1.66,7.6,OAK,2360000,No
Adam Kolarek,31,1,2,1.25,3.93,TB,545000,No
Sandy Alcantara,6,1,0,1.41,3.44,MIA,545000,No
Ryan Brasier,34,2,0,0.77,1.6,BOS,545000,No
Nick Wittgren,32,2,0,1.31,2.94,MIA,545000,No
Max Fried,14,1,0,1.37,2.94,ATL,545000,No
Xavier Cedeno,48,2,1,1.26,2.43,MIL,1050000,No
Sean Reid-Foley,7,2,0,1.56,5.13,TOR,545000,No
Brett Graves,21,1,1,1.59,5.4,MIA,1090000,No
Vidal Nuno,17,3,0,1.03,1.64,TB,545000,No
Daniel Poncedeleon,12,0,1,1.12,2.73,STL,545000,No
Brett Cecil,40,1,0,1.96,6.89,STL,7750000,No
Richard Bleier,31,3,0,1.22,1.93,BAL,556000,No
J.T. Chargois,39,2,0,1.27,3.34,LAD,550000,No
Jacob Rhame,30,1,1,1.42,5.85,NYM,545650,No
Tyler Bashlor,24,0,0,1.19,4.22,NYM,545000,No
Jeffrey Springs,18,1,0,1.44,3.38,TEX,545000,No
Aaron Bummer,37,0,0,1.58,4.26,CHW,549000,No
Brandon Maurer,37,0,1,2.14,7.76,KC,2950000,No
Matt Shoemaker,7,2,0,1.26,4.94,LAA,4125000,No
Silvino Bracho,31,2,0,1.19,3.19,ARI,545000,No
Brandon Morrow,35,0,22,1.08,1.47,CHC,9000000,Si
