Jugador,Porcetnaje_juegos_2017,RBI_2017,Porcentaje_bateo_2017,OPS_2017,Equipo_2017,Sueldo_2017
Nick Williams,0.512,55,0.288,0.811,PHI,535000
Tyler Flowers,0.611,49,0.281,0.823,ATL,3600000
Albert Almora,0.815,46,0.298,0.782,CHC,552000
James McCann,0.654,49,0.253,0.733,DET,552100
Kyle Schwarber,0.796,59,0.211,0.782,CHC,565500
Jarrod Dyson,0.685,30,0.251,0.674,SEA,2800000
Adeiny Hechavarria,0.599,30,0.261,0.695,TB,4350000
Starling Marte,0.475,31,0.275,0.712,PIT,3147540
Travis d'Arnaud,0.691,57,0.244,0.735,NYM,1875000
Marcus Semien,0.525,40,0.249,0.722,OAK,545000
Brian McCann,0.599,62,0.241,0.759,HOU,17000000
Seth Smith,0.685,32,0.255,0.768,BAL,7000000
C.J. Cron,0.617,56,0.248,0.741,LAA,565000
Addison Russell,0.679,43,0.239,0.722,CHC,644000
Jose Martinez,0.654,46,0.309,0.897,STL,535000
Austin Hedges,0.741,55,0.215,0.662,SD,537100
Carlos Asuaje,0.549,21,0.27,0.696,SD,535000
Logan Forsythe,0.735,37,0.227,0.685,LAD,7000000
Ezequiel Carrera,0.809,20,0.282,0.764,TOR,1162500
Leury Garcia,0.537,33,0.27,0.739,CHW,535000
Aaron Hicks,0.543,52,0.266,0.847,NYY,1350000
Stephen Piscotty,0.661,39,0.235,0.707,STL,1333333
Gorkys Hernandez,0.79,22,0.255,0.652,SF,537000
Evan Gattis,0.519,55,0.263,0.767,HOU,5200000
Miguel Rojas,0.556,26,0.29,0.736,MIA,535000
Erick Aybar,0.667,22,0.234,0.648,SD,1750000
Darwin Barney,0.796,25,0.232,0.602,TOR,2887500
Kevan Smith,0.537,30,0.283,0.697,CHW,535000
Alex Presley,0.438,20,0.31,0.762,DET,535000
Andrew Romine,0.765,25,0.236,0.632,DET,1300000
Jesus Aguilar,0.821,52,0.265,0.837,MIL,536000
Aledmys Diaz,0.488,20,0.252,0.668,STL,2500000
Johan Camargo,0.506,27,0.299,0.783,ATL,535000
Omar Narvaez,0.556,14,0.277,0.713,CHW,540000
Mallex Smith,0.5,12,0.27,0.684,TB,539800
Russell Martin,0.562,35,0.222,0.731,TOR,20000000
Eric Sogard,0.58,18,0.273,0.77,MIL,535000
Robinson Chirinos,0.543,39,0.259,0.869,TEX,1900000
Brad Miller,0.679,40,0.201,0.664,TB,3575000
Matt Chapman,0.519,40,0.235,0.785,OAK,535000
Chad Pinder,0.537,42,0.238,0.75,OAK,535000
Francisco Cervelli,0.5,31,0.249,0.712,PIT,9000000
Caleb Joseph,0.549,28,0.256,0.7,BAL,700000
Stephen Vogt,0.611,40,0.229,0.701,MIL,2965000
Cameron Rupp,0.543,34,0.217,0.716,PHI,565000
Enrique Hernandez,0.864,37,0.216,0.729,LAD,555000
Juan Lagares,0.58,15,0.25,0.661,NYM,4500000
Brian Goodwin,0.457,30,0.251,0.811,WSH,535000
Austin Barnes,0.63,38,0.289,0.895,LAD,540000
Joey Rickard,0.685,19,0.241,0.621,BAL,539000
Rafael Devers,0.358,30,0.284,0.824,BOS,535000
T.J. Rivera,0.451,27,0.29,0.76,NYM,539958
Ozzie Albies,0.352,28,0.286,0.81,ATL,535000
Sandy Leon,0.525,39,0.225,0.644,BOS,1300000
Kennys Vargas,0.482,41,0.253,0.758,MIN,540000
Greg Garcia,0.821,20,0.253,0.697,STL,547900
Troy Tulowitzki,0.407,26,0.249,0.678,TOR,20000000
Joc Pederson,0.63,35,0.213,0.738,LAD,555000
Ketel Marte,0.451,18,0.26,0.74,ARI,535000
Chris Young,0.556,25,0.235,0.709,BOS,6500000
Jayson Werth,0.432,29,0.226,0.717,WSH,21571428
Pablo Sandoval,0.488,32,0.22,0.632,SF,535000
Adrian Gonzalez,0.438,30,0.242,0.642,LAD,22357142
Jake Marisnick,0.654,35,0.244,0.815,HOU,1100000
J.T. Riddle,0.432,31,0.246,0.624,MIA,535000
J.J. Hardy,0.451,24,0.217,0.578,BAL,14000000
Daniel Nava,0.494,21,0.301,0.813,PHI,1350000
Gregor Blanco,0.556,13,0.246,0.694,ARI,1000000
Tony Wolters,0.512,16,0.24,0.625,COL,540000
Rene Rivera,0.457,35,0.252,0.736,CHC,1750000
John Jaso,0.778,35,0.211,0.73,PIT,4000000
Bruce Maxwell,0.469,22,0.237,0.663,OAK,535000
Taylor Motter,0.568,26,0.198,0.583,SEA,537200
Adam Engel,0.599,21,0.169,0.524,CHW,535000
Austin Romine,0.494,21,0.218,0.565,NYY,805000
Kelby Tomlinson,0.642,11,0.258,0.646,SF,543000
Jose Osuna,0.648,30,0.233,0.697,PIT,535000
Ichiro Suzuki,0.84,20,0.25,0.64,MIA,2000000
Cliff Pennington,0.537,21,0.253,0.635,LAA,2250000
Hyun-soo Kim,0.593,14,0.231,0.599,PHI,4200000
Matt Olson,0.364,45,0.259,1.003,OAK,535000
Devon Travis,0.309,24,0.26,0.729,TOR,545200
Alen Hanson,0.654,11,0.221,0.607,CHW,541500
Pat Valaika,0.679,40,0.258,0.817,COL,535000
Yoan Moncada,0.333,22,0.231,0.75,CHW,535000
John Hicks,0.37,22,0.266,0.766,DET,535000
Raimel Tapia,0.432,16,0.288,0.754,COL,535000
Brandon Nimmo,0.426,21,0.26,0.797,NYM,536240
Matt Szczur,0.735,18,0.231,0.714,SD,549500
Jesus Sucre,0.389,29,0.256,0.699,TB,630000
Tyler Saladino,0.488,10,0.178,0.484,CHW,547000
Daniel Robertson,0.463,19,0.206,0.634,TB,535000
Andrew Knapp,0.346,13,0.257,0.736,PHI,535000
Rhys Hoskins,0.309,48,0.259,1.014,PHI,535000
Tyler Moore,0.642,30,0.23,0.668,MIA,1000000
Ehire Adrianza,0.432,24,0.265,0.707,MIN,600000
Dixon Machado,0.451,11,0.259,0.621,DET,537800
Peter Bourjos,0.617,15,0.223,0.655,TB,1350000
Nick Ahmed,0.327,21,0.252,0.717,ARI,566000
Elias Diaz,0.395,19,0.223,0.582,PIT,535000
Allen Cordoba,0.617,15,0.208,0.579,SD,535000
Chris Gimenez,0.475,16,0.22,0.731,MIN,950000
Chris Herrmann,0.654,27,0.181,0.619,ARI,937500
Jarrett Parker,0.315,23,0.247,0.709,SF,539000
Adonis Garcia,0.321,19,0.237,0.62,ATL,547500
Amed Rosario,0.284,10,0.249,0.665,NYM,535000
Miguel Montero,0.469,16,0.216,0.656,TOR,14000000
Jace Peterson,0.549,17,0.215,0.635,ATL,555000
Yasmany Tomas,0.29,32,0.241,0.758,ARI,9500000
Patrick Kivlehan,0.71,26,0.208,0.703,CIN,535000
Nicky Delmonico,0.265,23,0.262,0.856,CHW,535000
Tommy La Stella,0.451,22,0.288,0.861,CHC,573500
Deven Marrero,0.438,27,0.211,0.593,BOS,535000
Mark Canha,0.352,14,0.208,0.644,OAK,545000
Jeimer Candelario,0.235,16,0.284,0.784,DET,535000
Jesse Winker,0.29,15,0.298,0.904,CIN,535000
Martin Prado,0.228,12,0.25,0.636,MIA,11500000
Jett Bandy,0.37,18,0.207,0.636,MIL,539800
Jabari Blash,0.377,16,0.213,0.675,SD,535000
Daniel Santana,0.506,23,0.202,0.6,ATL,545000
Jorge Alfaro,0.179,14,0.318,0.874,PHI,535000
Cheslor Cuthbert,0.358,18,0.231,0.596,KC,552250
Boog Powell,0.321,12,0.282,0.76,OAK,535000
Austin Slater,0.21,16,0.282,0.74,SF,535000
Dominic Smith,0.303,26,0.198,0.658,NYM,535000
Reymond Fuentes,0.395,9,0.235,0.616,ARI,535000
Derek Fisher,0.327,17,0.212,0.663,HOU,535000
Clint Frazier,0.241,17,0.231,0.715,NYY,535000
Devin Mesoraco,0.346,14,0.213,0.711,CIN,7325000
Hector Sanchez,0.463,25,0.219,0.668,SD,750000
Josh Phegley,0.352,10,0.201,0.59,OAK,545000
Lane Adams,0.525,20,0.275,0.807,ATL,535000
Eric Young Jr.,0.29,16,0.264,0.754,LAA,535000
Tyler Collins,0.303,14,0.193,0.611,DET,544700
Rio Ruiz,0.327,19,0.193,0.59,ATL,535000
Ryan Rua,0.389,12,0.217,0.627,TEX,544740
Greg Bird,0.296,28,0.191,0.71,NYY,545500
Luke Voit,0.383,18,0.246,0.736,STL,535000
Ryan Hanigan,0.204,13,0.267,0.671,COL,1250000
Carlos Ruiz,0.333,11,0.216,0.665,SEA,4500000
Adam Eaton,0.142,13,0.297,0.854,WSH,4000000
Brock Holt,0.395,7,0.193,0.534,BOS,1950000
Craig Gentry,0.475,11,0.257,0.719,BAL,535000
Kevin Plawecki,0.228,13,0.26,0.764,NYM,535000
Matt Reynolds,0.42,5,0.23,0.609,NYM,535000
Andrew Toles,0.191,15,0.271,0.772,LAD,540000
Ryder Jones,0.327,5,0.173,0.517,SF,535000
Tomas Telis,0.296,9,0.24,0.625,MIA,535000
Willy Garcia,0.272,12,0.238,0.705,CHW,535000
Jose Lobaton,0.315,11,0.17,0.525,WSH,1575000
Chris Stewart,0.315,4,0.183,0.463,PIT,1400000
Josh Rutledge,0.228,9,0.224,0.558,BOS,600000
Max Moroff,0.346,21,0.2,0.627,PIT,535000
Jacoby Jones,0.346,13,0.17,0.51,DET,536100
Drew Robinson,0.296,13,0.224,0.775,TEX,535000
Brett Phillips,0.228,12,0.276,0.799,MIL,535000
Kaleb Cowart,0.309,11,0.226,0.695,LAA,535000
Teoscar Hernandez,0.167,20,0.261,0.908,TOR,535000
Leonys Martin,0.303,9,0.172,0.513,CHC,4850000
Jefry Marte,0.278,14,0.173,0.576,LAA,547000
Zach Granite,0.247,13,0.237,0.611,MIN,535000
Brian Anderson,0.154,8,0.262,0.706,MIA,535000
Mike Aviles,0.228,8,0.244,0.611,MIA,535000
Dustin Garneau,0.253,9,0.188,0.585,OAK,537000
Sam Travis,0.204,1,0.263,0.667,BOS,535000
Harrison Bader,0.198,10,0.235,0.659,STL,535000
Luis Torrens,0.346,7,0.163,0.446,SD,535000
Magneuris Sierra,0.136,5,0.333,0.708,STL,535000
Luke Maile,0.284,7,0.146,0.407,TOR,535000
Adrian Sanchez,0.21,11,0.268,0.654,WSH,535000
Ramon Torres,0.204,4,0.243,0.575,KC,535000
Jeremy Hazelbaker,0.253,10,0.346,1.02,ARI,542500
Ryan Raburn,0.154,6,0.262,0.735,WSH,535000
Juan Graterol,0.296,10,0.202,0.457,LAA,535000
Paulo Orlando,0.241,6,0.198,0.527,KC,558250
Ty Kelly,0.432,14,0.191,0.595,PHI,537208
Tyler White,0.136,10,0.279,0.853,HOU,535000
Pedro Florimon,0.093,6,0.348,0.866,PHI,535000
Mac Williamson,0.173,6,0.235,0.685,SF,539000
Marco Hernandez,0.13,2,0.276,0.628,BOS,548500
Jared Hoying,0.222,7,0.222,0.565,TEX,535000
Gavin Cecchini,0.198,7,0.208,0.529,NYM,535000
Cameron Perkins,0.259,8,0.182,0.51,PHI,535000
Jordan Luplow,0.167,11,0.205,0.66,PIT,535000
Phillip Ervin,0.173,10,0.259,0.766,CIN,535000
Jacob deGrom,0.228,4,0.211,0.5,NYM,4050000
Rob Refsnyder,0.321,0,0.171,0.463,TOR,535000
Brett Nicholas,0.136,11,0.238,0.658,TEX,537000
Victor Caratini,0.191,2,0.254,0.689,CHC,535000
Tzu-Wei Lin,0.154,2,0.268,0.709,BOS,535000
J.P. Crawford,0.142,6,0.214,0.656,PHI,535000
Jorge Soler,0.216,6,0.144,0.503,KC,3666667
Efren Navarro,0.142,2,0.23,0.696,DET,535000
Travis Jankowski,0.167,1,0.187,0.496,SD,544300
Richard Urena,0.13,4,0.206,0.579,TOR,535000
Franklin Barreto,0.154,6,0.197,0.602,OAK,535000
Garrett Cooper,0.08,6,0.326,0.822,NYY,535000
J.D. Davis,0.154,7,0.226,0.763,HOU,535000
Zack Greinke,0.204,4,0.21,0.52,ARI,34000000
Robbie Ray,0.173,2,0.245,0.569,ARI,570400
Austin Hays,0.124,8,0.217,0.555,BAL,535000
Alejandro De Aza,0.173,9,0.194,0.546,WSH,535000
Taijuan Walker,0.173,5,0.231,0.553,ARI,2250000
Juan Centeno,0.136,4,0.231,0.632,HOU,535000
Raffy Lopez,0.148,12,0.222,0.769,TOR,535000
Carson Kelly,0.21,6,0.174,0.457,STL,535000
Adam Wainwright,0.161,11,0.262,0.731,STL,19500000
Carlos Martinez,0.21,11,0.177,0.429,STL,3700000
Christian Villanueva,0.074,7,0.344,1.094,SD,535000
Stuart Turner,0.228,7,0.134,0.426,CIN,535000
Max Scherzer,0.191,5,0.161,0.422,WSH,22242857
Ty Blach,0.235,7,0.227,0.627,SF,536500
Phillip Evans,0.117,1,0.303,0.758,NYM,535000
Clayton Kershaw,0.167,2,0.184,0.449,LAD,35571428
Rob Brantly,0.086,5,0.29,0.905,CHW,535000
Rymer Liriano,0.13,6,0.22,0.646,CHW,535000
Gerrit Cole,0.21,3,0.164,0.415,PIT,3750000
Tyler Austin,0.124,8,0.225,0.708,NYY,544000
Andrew Stevenson,0.228,1,0.158,0.443,WSH,535000
Willie Calhoun,0.08,4,0.265,0.677,TEX,535000
Mitch Garver,0.142,3,0.196,0.636,MIN,535000
Tyler Wade,0.185,2,0.155,0.446,NYY,535000
Travis Taijeron,0.161,3,0.173,0.54,NYM,535000
Jon Lester,0.198,6,0.148,0.463,CHC,25000000
Geovany Soto,0.08,9,0.191,0.676,CHW,2000000
Andre Ethier,0.136,3,0.235,0.757,LAD,17500000
Jake Arrieta,0.198,5,0.131,0.358,CHC,15637500
Mike Leake,0.198,4,0.17,0.411,SEA,15000000
Julio Teheran,0.228,6,0.14,0.307,ATL,6466666
Ryan Flaherty,0.142,4,0.211,0.539,BAL,1800000
Will Middlebrooks,0.136,3,0.211,0.599,TEX,535000
Carlos Moncrief,0.173,5,0.211,0.493,SF,535000
Kyle Freeland,0.216,2,0.154,0.401,COL,535000
Chris Bostick,0.124,1,0.296,0.777,PIT,535000
German Marquez,0.179,5,0.178,0.4,COL,537000
Tony Kemp,0.105,4,0.216,0.5,HOU,535000
Miguel Gomez,0.136,2,0.242,0.538,SF,535000
Anthony Santander,0.08,2,0.267,0.625,BAL,535000
Homer Bailey,0.111,0,0.25,0.571,CIN,19000000
John Lackey,0.198,1,0.132,0.33,CHC,16000000
Stephen Strasburg,0.173,3,0.13,0.401,WSH,18333333
Madison Bumgarner,0.105,5,0.206,0.721,SF,12200000
Mike Morse,0.148,3,0.194,0.556,SF,535000
Patrick Corbin,0.216,0,0.125,0.37,ARI,3950000
Bryan Holaday,0.08,2,0.241,0.552,DET,535000
Chase Anderson,0.154,3,0.135,0.288,MIL,2450000
Philip Gosselin,0.247,2,0.146,0.368,TEX,559500
Jake Smolinski,0.099,0,0.259,0.607,OAK,545000
Orlando Calixte,0.179,6,0.143,0.348,SF,535000
Cesar Puello,0.105,3,0.206,0.514,TB,535000
Shane Robinson,0.124,1,0.194,0.451,LAA,535000
Jeff Samardzija,0.216,2,0.094,0.266,SF,19800000
Gio Gonzalez,0.198,5,0.091,0.234,WSH,12000000
Matt Moore,0.198,4,0.128,0.291,SF,7000000
Tyler Chatwood,0.216,2,0.154,0.354,COL,4400000
Mike Freeman,0.216,1,0.1,0.365,CHC,535000
Trayce Thompson,0.167,2,0.122,0.483,LAD,535000
Jimmy Nelson,0.179,2,0.105,0.226,MIL,547000
Vincent Velasquez,0.099,1,0.25,0.53,PHI,547000
Jameson Taillon,0.154,0,0.158,0.316,PIT,555500
