Jugador,Porcetnaje_juegos_2020,RBI_2020,Porcentaje_bateo_2020,OPS_2020,Equipo_2020,Sueldo_2020
Adam Duvall,0.95,33,0.237,0.833,ATL,3250000
Yoan Moncada,0.867,24,0.225,0.705,CHW,1800000
Giovanny Urshela,0.717,30,0.298,0.86,NYY,2475000
Alex Dickerson,0.867,27,0.298,0.947,SF,925000
Orlando Arcia,0.983,20,0.26,0.734,MIL,2200000
Austin Riley,0.85,27,0.239,0.716,ATL,568500
Willi Castro,0.621,24,0.349,0.932,DET,563500
Brandon Crawford,0.9,28,0.256,0.792,SF,15200000
Josh Bell,0.95,22,0.226,0.669,PIT,4800000
Colin Moran,0.867,23,0.247,0.797,PIT,593500
Austin Nola,0.8,28,0.273,0.825,SD,570800
Eduardo Escobar,0.9,20,0.212,0.605,ARI,7166666
Jonathan Villar,0.867,15,0.232,0.593,TOR,8200000
Mauricio Dubon,0.9,19,0.274,0.726,SF,566625
Ty France,0.717,23,0.305,0.836,SEA,567100
Joey Votto,0.9,22,0.226,0.8,CIN,25000000
Jose Altuve,0.8,18,0.219,0.629,HOU,29000000
Ryan Mountcastle,0.583,23,0.333,0.878,BAL,563500
Eric Hosmer,0.667,36,0.287,0.851,SD,21000000
Erik Gonzalez,0.833,20,0.227,0.614,PIT,725000
Christian Yelich,0.967,22,0.205,0.786,MIL,12500000
Matt Olson,1.0,42,0.195,0.734,OAK,603500
Rio Ruiz,0.9,32,0.222,0.713,BAL,573000
Robbie Grossman,0.85,23,0.241,0.826,OAK,3725000
Eugenio Suarez,0.95,38,0.202,0.781,CIN,9535714
Pedro Severino,0.8,21,0.25,0.71,BAL,576000
Anthony Santander,0.617,32,0.261,0.89,BAL,572500
Ronald Acuna Jr.,0.767,29,0.25,0.987,ATL,1000000
Jason Heyward,0.833,22,0.265,0.848,CHC,23500000
Max Kepler,0.8,23,0.228,0.76,MIN,6250000
Max Muncy,0.967,27,0.192,0.72,LAD,2500000
Manuel Margot,0.783,11,0.269,0.679,TB,2475000
Garrett Hampson,0.883,11,0.234,0.671,COL,568500
Pat Valaika,0.867,16,0.277,0.791,BAL,563500
Ramon Laureano,0.9,25,0.213,0.704,OAK,568500
Yadier Molina,0.724,16,0.262,0.662,STL,20000000
Aaron Hicks,0.9,21,0.225,0.793,NYY,10785714
Miguel Rojas,0.667,20,0.304,0.888,MIA,4750000
Miguel Sano,0.883,25,0.204,0.757,MIN,7000000
Paul DeJong,0.776,25,0.25,0.671,STL,1666666
Jesse Winker,0.9,23,0.255,0.932,CIN,605000
Cedric Mullins,0.8,12,0.271,0.723,BAL,563500
Shogo Akiyama,0.9,9,0.245,0.654,CIN,6000000
Marwin Gonzalez,0.883,22,0.211,0.606,MIN,9000000
Alex Bregman,0.7,22,0.242,0.801,HOU,12666666
Bo Bichette,0.5,23,0.301,0.84,TOR,570000
Luis Garcia,0.667,16,0.276,0.668,WSH,563500
Luis Garcia,0.667,16,0.276,0.668,HOU,18690
Victor Robles,0.867,15,0.22,0.608,WSH,592800
Rhys Hoskins,0.683,26,0.245,0.887,PHI,605000
Ryan McMahon,0.867,26,0.215,0.714,COL,573500
Adam Eaton,0.683,17,0.226,0.669,WSH,9500000
Kyle Schwarber,0.983,24,0.189,0.701,CHC,7010000
Stephen Piscotty,0.75,29,0.226,0.629,OAK,7333333
Hunter Dozier,0.733,12,0.228,0.736,KC,610500
Amed Rosario,0.767,15,0.252,0.643,NYM,608780
Luis Arraez,0.533,13,0.321,0.765,MIN,596000
Andrelton Simmons,0.5,10,0.297,0.702,LAA,15000000
Joey Gallo,0.95,26,0.181,0.679,TEX,4400000
Kevin Newman,0.733,10,0.224,0.556,PIT,589000
Bryan Reynolds,0.917,19,0.189,0.632,PIT,589500
Yandy Diaz,0.567,11,0.307,0.814,TB,576600
Clint Frazier,0.65,26,0.267,0.905,NYY,588100
Nick Madrigal,0.483,11,0.34,0.745,CHW,563500
Dylan Moore,0.633,17,0.256,0.855,SEA,570100
Albert Pujols,0.65,25,0.224,0.665,LAA,29000000
Wilson Ramos,0.75,15,0.239,0.684,NYM,10436000
Jorge Soler,0.717,24,0.228,0.769,KC,7300000
Nicholas Lopez,0.933,13,0.201,0.552,KC,571250
Austin Hays,0.55,9,0.279,0.722,BAL,567500
Garrett Cooper,0.567,20,0.283,0.853,MIA,580000
Timmy Lopes,0.767,15,0.238,0.642,SEA,566700
Nick Markakis,0.617,15,0.254,0.704,ATL,4000000
Brad Miller,0.828,25,0.232,0.807,STL,2000000
Byron Buxton,0.65,27,0.254,0.844,MIN,3075000
Matt Chapman,0.617,25,0.232,0.812,OAK,623500
Gleyber Torres,0.7,16,0.243,0.724,NYY,675500
Enrique Hernandez,0.8,20,0.23,0.68,LAD,5900000
Ke'Bryan Hayes,0.4,11,0.377,1.124,PIT,563500
Rowdy Tellez,0.583,23,0.283,0.886,TOR,579600
Ozzie Albies,0.483,19,0.271,0.773,ATL,1000000
Evan White,0.9,26,0.176,0.599,SEA,1300000
Freddy Galvis,0.783,16,0.22,0.712,CIN,5500000
Brian Goodwin,0.833,22,0.215,0.715,CIN,2200000
Michael Chavis,0.7,19,0.212,0.636,BOS,571000
Nomar Mazara,0.7,15,0.228,0.589,CHW,5560000
Jacob Stallings,0.7,18,0.248,0.702,PIT,586500
Andres Gimenez,0.817,12,0.263,0.732,NYM,563500
Jon Berti,0.65,14,0.258,0.738,MIA,595000
Justin Upton,0.7,22,0.204,0.711,LAA,21000000
Ryan Braun,0.65,26,0.233,0.769,MIL,17000000
Kurt Suzuki,0.55,17,0.27,0.745,WSH,6000000
Kevin Kiermaier,0.817,22,0.217,0.683,TB,10166666
Josh Fuentes,0.5,17,0.306,0.759,COL,565500
Daniel Murphy,0.667,16,0.236,0.608,COL,8000000
Niko Goodrum,0.741,20,0.184,0.598,DET,698200
Shohei Ohtani,0.767,24,0.19,0.657,LAA,700000
Jared Walsh,0.533,26,0.293,0.971,LAA,563500
Matt Kemp,0.717,21,0.239,0.745,COL,1000000
James McCann,0.517,15,0.289,0.896,CHW,5400000
Ji-Man Choi,0.7,16,0.23,0.741,TB,850000
Victor Caratini,0.733,16,0.241,0.661,CHC,592000
Jason Kipnis,0.733,16,0.237,0.744,CHC,1000000
Kris Bryant,0.567,11,0.206,0.644,CHC,18600000
Joe Panik,0.683,7,0.225,0.64,TOR,2850000
Ben Gamel,0.667,10,0.237,0.718,MIL,1400000
Sean Murphy,0.717,14,0.233,0.821,OAK,563500
Carson Kelly,0.65,19,0.221,0.649,ARI,581700
Leodys Taveras,0.55,6,0.227,0.703,TEX,563500
Austin Meadows,0.6,13,0.205,0.667,TB,578900
Shin-Soo Choo,0.55,15,0.236,0.723,TEX,21000000
Matt Carpenter,0.862,24,0.186,0.64,STL,18500000
Taylor Ward,0.567,5,0.277,0.716,LAA,566500
Aaron Judge,0.467,22,0.257,0.891,NYY,8500000
Jacoby Jones,0.517,14,0.268,0.849,DET,1575000
Adam Engel,0.6,12,0.296,0.811,CHW,588000
Luis Urias,0.683,11,0.239,0.602,MIL,568800
Michael Brosseau,0.617,12,0.302,0.936,TB,563500
Max Stassi,0.517,20,0.278,0.886,LAA,800000
Jake Cave,0.7,15,0.221,0.674,MIN,587500
David Bote,0.75,29,0.2,0.711,CHC,960000
Darin Ruf,0.667,18,0.276,0.887,SF,563500
Gregory Polanco,0.833,22,0.153,0.539,PIT,8600000
Cole Tucker,0.617,8,0.22,0.527,PIT,563500
Harrison Bader,0.862,11,0.226,0.779,STL,590100
Dan Vogelbach,0.65,16,0.209,0.722,MIL,580900
Lewis Brinson,0.783,12,0.226,0.636,MIA,580000
Austin Slater,0.517,7,0.282,0.914,SF,576000
Tyler O'Neill,0.862,19,0.173,0.621,STL,573400
Joey Bart,0.55,7,0.233,0.609,SF,563500
Nico Hoerner,0.8,13,0.222,0.571,CHC,565000
Philip Gosselin,0.65,12,0.25,0.726,PHI,575000
Tony Wolters,0.7,8,0.23,0.55,COL,1900000
Joc Pederson,0.717,16,0.19,0.681,LAD,7750000
Rougned Odor,0.633,30,0.167,0.623,TEX,9333333
Tommy Pham,0.517,12,0.211,0.624,SD,7900000
Gary Sanchez,0.817,24,0.147,0.618,NYY,5000000
Roman Quinn,0.683,7,0.213,0.576,PHI,569000
Tony Kemp,0.817,4,0.247,0.664,OAK,597100
Mike Tauchman,0.717,14,0.242,0.648,NYY,603100
Edward Olivares,0.517,10,0.24,0.642,KC,563500
Josh Harrison,0.55,14,0.279,0.769,WSH,1000000
Ender Inciarte,0.767,10,0.19,0.512,ATL,7700000
Dylan Carlson,0.603,16,0.2,0.616,STL,563500
Jose Marmolejos,0.583,18,0.206,0.672,SEA,563500
Adam Haseley,0.667,13,0.279,0.69,PHI,569500
Danny Jansen,0.717,20,0.183,0.671,TOR,580900
Ryan O'Hearn,0.7,18,0.195,0.604,KC,576950
Sam Hilliard,0.6,10,0.21,0.71,COL,565500
Isaac Paredes,0.586,6,0.22,0.568,DET,563500
Dexter Fowler,0.535,15,0.233,0.706,STL,16500000
Austin Barnes,0.483,9,0.244,0.667,LAD,1100000
Jorge Alfaro,0.517,16,0.226,0.624,MIA,595000
Chance Sisco,0.6,10,0.214,0.741,BAL,571000
Bobby Dalbec,0.383,16,0.263,0.959,BOS,563500
Elvis Andrus,0.483,7,0.194,0.582,TEX,15250000
Tucker Barnhart,0.633,13,0.204,0.679,CIN,3937500
Carter Kieboom,0.55,9,0.202,0.556,WSH,564700
Andrew Knapp,0.55,15,0.278,0.849,PHI,710000
Jordon Adell,0.633,7,0.161,0.478,LAA,563500
Tim Locastro,0.55,7,0.29,0.859,ARI,574400
Shed Long,0.567,9,0.171,0.533,SEA,567600
Jay Bruce,0.533,14,0.198,0.721,PHI,14000000
Giancarlo Stanton,0.383,11,0.25,0.887,NYY,26000000
Jorge Bonifacio,0.517,17,0.221,0.602,DET,563500
Willie Calhoun,0.483,13,0.19,0.491,TEX,577000
Omar Narvaez,0.667,10,0.176,0.562,MIL,2725000
Hunter Renfroe,0.7,22,0.156,0.645,TB,3300000
Ronald Guzman,0.433,9,0.244,0.75,TEX,588000
Daulton Varsho,0.617,9,0.188,0.653,ARI,563500
Jose Trevino,0.4,9,0.25,0.715,TEX,565500
Luis Guillorme,0.5,9,0.333,0.865,NYM,566054
Edwin Rios,0.533,17,0.25,0.946,LAD,566000
Anderson Tejeda,0.383,8,0.253,0.726,TEX,563500
Pablo Sandoval,0.567,6,0.214,0.549,ATL,563500
Michael Taylor,0.633,16,0.196,0.676,WSH,3325000
Scott Kingery,0.6,6,0.159,0.511,PHI,1750000
Luis Torrens,0.417,6,0.257,0.696,SEA,568800
Randy Arozarena,0.383,11,0.281,1.022,TB,563500
Jonathan Arauz,0.417,9,0.25,0.644,BOS,563500
Ehire Adrianza,0.733,3,0.191,0.557,MIN,1600000
Khris Davis,0.5,10,0.2,0.632,OAK,16750000
Curt Casali,0.517,8,0.224,0.866,CIN,1462500
D.J. Stewart,0.517,15,0.193,0.803,BAL,567500
David Dahl,0.4,9,0.183,0.47,COL,2475000
Kyle Farmer,0.533,4,0.266,0.641,CIN,571000
Myles Straw,0.55,8,0.207,0.5,HOU,571300
Harold Castro,0.379,3,0.347,0.836,DET,570700
Leury Garcia,0.267,8,0.271,0.758,CHW,3250000
Elias Diaz,0.433,9,0.235,0.641,COL,575000
Jose Osuna,0.433,11,0.205,0.641,PIT,589500
Tyler Flowers,0.367,5,0.217,0.673,ATL,4000000
Dee Gordon,0.55,3,0.2,0.482,SEA,13800000
Andrew Stevenson,0.25,12,0.366,1.179,WSH,563500
Cameron Gallagher,0.417,3,0.283,0.79,KC,580500
Yairo Munoz,0.2,4,0.333,0.844,BOS,575000
Tyler Wade,0.867,10,0.171,0.595,NYY,582800
Ryan Jeffers,0.433,7,0.273,0.791,MIN,563500
Aledmys Diaz,0.283,6,0.241,0.737,HOU,2600000
Phillip Evans,0.183,9,0.359,0.932,PIT,563500
Michael Perez,0.633,13,0.167,0.475,TB,566600
Luis Rengifo,0.55,3,0.156,0.469,LAA,570000
Nick Senzel,0.4,8,0.186,0.604,CIN,570000
Abraham Toro-Hernandez,0.55,9,0.149,0.513,HOU,573700
Chad Pinder,0.4,8,0.232,0.688,OAK,2025000
Chadwick Tromp,0.4,10,0.213,0.645,SF,563500
Sam Haggerty,0.217,6,0.26,0.715,SEA,563800
Vimael Machin,0.4,0,0.206,0.534,OAK,563500
Derek Dietrich,0.417,8,0.197,0.806,TEX,575000
Greg Garcia,0.583,11,0.2,0.529,SD,1500000
Mitch Garver,0.383,5,0.167,0.511,MIN,620000
Kyle Higashioka,0.267,10,0.25,0.771,NYY,579200
Christian Arroyo,0.25,8,0.24,0.736,BOS,565500
Phillip Ervin,0.617,4,0.149,0.481,SEA,573500
Mike Zunino,0.467,10,0.147,0.598,TB,4500000
Chris Owings,0.283,5,0.268,0.757,COL,563500
Jake Marisnick,0.267,5,0.333,0.959,NYM,3312500
Gavin Lux,0.317,8,0.175,0.596,LAD,566000
Sam Huff,0.167,4,0.355,1.136,TEX,563500
Daz Cameron,0.293,3,0.193,0.483,DET,563500
Magneuris Sierra,0.317,7,0.25,0.697,MIA,563500
Josh Rojas,0.283,2,0.18,0.437,ARI,568800
Jeff Mathis,0.4,9,0.161,0.575,TEX,3000000
John Ryan Murphy,0.417,2,0.172,0.433,PIT,575000
Bubba Starling,0.583,5,0.17,0.456,KC,568250
Ildemaro Vargas,0.4,3,0.196,0.536,CHC,572600
J.T. Riddle,0.383,1,0.149,0.398,PIT,850000
Pavin Smith,0.2,4,0.27,0.746,ARI,563500
Chad Wallach,0.25,6,0.227,0.64,MIA,563500
Ramon Urias,0.132,3,0.333,0.894,BAL,575000
Anthony Bemboom,0.35,5,0.208,0.744,LAA,563500
Manuel Pina,0.25,5,0.231,0.744,MIL,1850000
Erik Kratz,0.3,4,0.321,0.76,NYY,1000000
Jace Peterson,0.433,5,0.2,0.749,MIL,563500
Eli White,0.317,3,0.188,0.46,TEX,563500
Josh VanMeter,0.433,6,0.129,0.485,ARI,568500
Jacob Nottingham,0.333,13,0.188,0.736,MIL,563500
Tyrone Taylor,0.367,6,0.237,0.793,MIL,565300
Jazz Chisholm,0.35,6,0.161,0.563,MIA,563500
Alejandro Kirk,0.15,3,0.375,0.983,TOR,563500
Jon Jay,0.3,4,0.16,0.451,ARI,1550000
Kevan Smith,0.283,8,0.258,0.83,TB,575000
Tyler Heineman,0.25,1,0.191,0.506,SF,563500
Daniel Santana,0.25,7,0.146,0.511,TEX,3600000
Monte Harrison,0.533,3,0.17,0.491,MIA,563500
Aristides Aquino,0.383,8,0.17,0.623,CIN,563500
Franchy Cordero,0.267,7,0.211,0.733,KC,571100
Tzu-Wei Lin,0.433,3,0.154,0.355,BOS,570000
Jack Mayfield,0.35,3,0.191,0.453,HOU,563500
Jonah Heim,0.217,5,0.211,0.479,OAK,563500
Daniel Robertson,0.217,2,0.333,0.75,SF,1025000
Tomas Nido,0.117,6,0.292,0.929,NYM,576826
Derek Fisher,0.267,7,0.226,0.811,TOR,579600
Jonathan Davis,0.217,6,0.259,0.808,TOR,569000
Chris Davis,0.267,1,0.115,0.337,BAL,21065362
Lorenzo Cain,0.083,2,0.333,0.817,MIL,15000000
Drew Butera,0.483,4,0.154,0.396,COL,1000000
Rangel Ravelo,0.224,6,0.171,0.53,STL,566000
Jake Noll,0.117,0,0.353,0.765,WSH,563500
Anthony Alford,0.3,7,0.214,0.741,PIT,566800
Brent Rooker,0.117,5,0.316,0.96,MIN,563500
Steven Duggar,0.35,3,0.177,0.458,SF,563500
Wyatt Mathisen,0.15,5,0.222,0.808,ARI,563500
Yoenis Cespedes,0.133,4,0.161,0.622,NYM,6000000
Bryan Holaday,0.35,4,0.161,0.406,BAL,575000
Yolmer Sanchez,0.2,1,0.313,1.164,CHW,575000
Braden Bishop,0.2,4,0.167,0.476,SEA,563500
Joseph Odom,0.3,2,0.128,0.338,SEA,563500
Yadiel Hernandez,0.2,6,0.192,0.637,WSH,563500
Billy Hamilton,0.517,2,0.125,0.39,CHC,1000000
Andrew Benintendi,0.233,1,0.103,0.442,BOS,3400000
Jorge Mateo,0.367,2,0.154,0.454,SD,563500
Jake Fraley,0.117,0,0.154,0.511,SEA,563800
Isan Diaz,0.117,1,0.182,0.364,MIA,563500
Rafael Marchan,0.05,3,0.5,1.431,PHI,563500
Cesar Puello,0.083,0,0.375,0.875,BOS,563500
Jahmai Jones,0.05,1,0.429,0.857,LAA,563500
Jared Oliva,0.1,0,0.188,0.375,PIT,563500
Eric Haase,0.121,2,0.177,0.387,DET,565400
Sergio Alcantara,0.172,1,0.143,0.598,DET,563500
Joe Hudson,0.15,0,0.177,0.44,SEA,563500
Kyle Garlick,0.2,3,0.136,0.356,PHI,564500
Elliot Soto,0.05,0,0.333,0.929,LAA,563500
Brendan Rodgers,0.117,2,0.095,0.238,COL,565500
Harold Ramirez,0.05,1,0.2,0.473,MIA,580000
Yordan Alvarez,0.033,4,0.25,0.958,HOU,607000
Franklin Barreto,0.35,2,0.074,0.181,LAA,568500
Luis Alexander Basabe,0.15,1,0.143,0.476,SF,563500
Sherten Apostel,0.117,0,0.1,0.293,TEX,563500
Nick Heath,0.25,3,0.154,0.543,KC,563500
Eduardo Nunez,0.033,0,0.5,1.0,NYM,1250000
Andrew Romine,0.033,0,0.25,0.75,TEX,575000
Rene Rivera,0.033,0,0.25,0.5,NYM,1000000
Derek Hill,0.259,0,0.091,0.258,DET,563500
Ryan Cordell,0.083,0,0.125,0.25,NYM,575000
Luis Campusano,0.017,1,0.333,1.833,SD,563500
Brandon Dixon,0.086,2,0.077,0.297,DET,575000
Austin Dean,0.052,0,0.25,1.071,STL,563500
Austin Adams,0.05,0,0.0,0.0,SD,570900
Andrew Susac,0.017,0,0.0,0.5,PIT,575000
Alec Mills,0.2,0,0.0,0.0,CHC,569500
Joey Rickard,0.067,0,0.0,0.167,SF,563500
Tim Hill,0.383,0,0.0,0.0,SD,585750
Nate Orf,0.1,0,0.0,0.0,OAK,563500
Jason Martin,0.117,0,0.0,0.182,PIT,563500
