Jugador,Porcetnaje_juegos_2018,RBI_2018,Porcentaje_bateo_2018,OPS_2018,Equipo_2018,Sueldo_2018
Matt Carpenter,0.963,81,0.257,0.897,STL,13750000
Yolmer Sanchez,0.957,55,0.242,0.678,CHW,2350000
Cody Bellinger,0.994,76,0.26,0.814,LAD,585000
George Springer,0.87,71,0.265,0.78,HOU,12000000
Joey Votto,0.895,67,0.284,0.837,CIN,25075000
Asdrubal Cabrera,0.914,75,0.262,0.774,PHI,8250000
Matt Olson,1.0,84,0.247,0.788,OAK,547500
Khris Davis,0.932,123,0.247,0.874,OAK,10500000
Mallex Smith,0.87,40,0.296,0.773,TB,553000
Amed Rosario,0.951,51,0.256,0.676,NYM,548940
Jon Jay,0.883,40,0.268,0.678,ARI,4500000
Trey Mancini,0.963,58,0.242,0.715,BAL,556500
Odubel Herrera,0.914,71,0.255,0.73,PHI,3350000
Ben Zobrist,0.859,58,0.306,0.817,CHC,16500000
Justin Upton,0.901,85,0.257,0.808,LAA,16000000
Joe Mauer,0.784,48,0.282,0.729,MIN,23000000
Bryce Harper,0.988,100,0.249,0.889,WSH,21725000
Rhys Hoskins,0.944,96,0.246,0.85,PHI,552500
Chris Taylor,0.951,63,0.254,0.775,LAD,575000
Tommy Pham,0.858,63,0.275,0.83,TB,570100
Yoan Moncada,0.92,61,0.235,0.714,CHW,555000
Tim Anderson,0.944,64,0.24,0.687,CHW,1000000
Brandon Crawford,0.932,54,0.254,0.719,SF,15200000
Didi Gregorius,0.827,86,0.268,0.829,NYY,8500000
Jesus Aguilar,0.914,108,0.274,0.89,MIL,557200
Ketel Marte,0.944,59,0.26,0.768,ARI,3000000
Matt Kemp,0.896,85,0.29,0.818,LAD,21500000
Nelson Cruz,0.901,97,0.256,0.85,SEA,14275000
Jurickson Profar,0.901,77,0.254,0.792,TEX,1050000
Derek Dietrich,0.926,45,0.265,0.751,MIA,2900000
Jose Abreu,0.79,78,0.265,0.798,CHW,13000000
J.T. Realmuto,0.783,74,0.277,0.825,MIA,2900000
Michael Conforto,0.944,82,0.243,0.797,NYM,605094
Ian Desmond,0.982,88,0.236,0.729,COL,22000000
Josh Bell,0.919,62,0.262,0.768,PIT,572500
Kyle Seager,0.963,78,0.221,0.673,SEA,19000000
Kevin Pillar,0.877,59,0.252,0.708,TOR,3250000
Albert Almora,0.939,41,0.286,0.701,CHC,584500
C.J. Cron,0.864,74,0.254,0.816,TB,2300000
Ronald Acuna Jr.,0.685,64,0.293,0.917,ATL,545000
Nomar Mazara,0.803,77,0.258,0.753,TEX,563560
Johan Camargo,0.833,76,0.272,0.806,ATL,555000
Brett Gardner,0.864,45,0.236,0.69,NYY,11500000
Alex Gordon,0.877,54,0.245,0.694,KC,20000000
Miguel Rojas,0.957,53,0.252,0.643,MIA,1180000
Justin Smoak,0.907,77,0.242,0.808,TOR,4125000
Marwin Gonzalez,0.895,68,0.247,0.733,HOU,5125000
Nick Ahmed,0.944,70,0.235,0.7,ARI,1275000
Jonathan Villar,0.87,46,0.26,0.709,BAL,2550000
Jeimer Candelario,0.889,54,0.225,0.71,DET,548300
Juan Soto,0.716,70,0.292,0.923,WSH,545000
Yadier Molina,0.765,74,0.261,0.75,STL,20000000
Salvador Perez,0.796,80,0.235,0.713,KC,8700000
Travis Shaw,0.933,86,0.241,0.825,MIL,567400
Rougned Odor,0.803,63,0.253,0.751,TEX,3333333
Jason Heyward,0.785,57,0.271,0.731,CHC,28166667
Brian Dozier,0.926,72,0.215,0.696,LAD,9000000
Aaron Hicks,0.852,79,0.248,0.833,NYY,2825000
Billy Hamilton,0.944,29,0.236,0.626,CIN,4600000
Max Kepler,0.963,58,0.224,0.727,MIN,587500
Adrian Beltre,0.741,65,0.273,0.763,TEX,18000000
Willson Contreras,0.847,54,0.249,0.73,CHC,604500
Victor Martinez,0.821,54,0.251,0.651,DET,18000000
Evan Longoria,0.778,54,0.244,0.694,SF,13500000
Ian Kinsler,0.79,48,0.24,0.681,BOS,11000000
Wilson Ramos,0.685,70,0.306,0.845,PHI,10500000
Gregory Polanco,0.814,81,0.254,0.839,PIT,4100000
Maikel Franco,0.809,68,0.27,0.78,PHI,2950000
Manuel Margot,0.87,51,0.245,0.675,SD,556900
Gleyber Torres,0.765,77,0.272,0.82,NYY,545000
Jose Iglesias,0.772,48,0.269,0.699,DET,6275000
Ryon Healy,0.827,73,0.235,0.688,SEA,559200
Aaron Judge,0.691,67,0.279,0.919,NYY,622300
Colin Moran,0.901,58,0.277,0.747,PIT,550000
Albert Pujols,0.722,64,0.245,0.7,LAA,30000000
Denard Span,0.846,58,0.261,0.76,SEA,12500000
Gerardo Parra,0.871,53,0.284,0.714,COL,10000000
Justin Turner,0.632,52,0.312,0.924,LAD,12000000
Tucker Barnhart,0.852,46,0.248,0.699,CIN,4437500
Dansby Swanson,0.84,59,0.239,0.699,ATL,565000
Brandon Nimmo,0.87,47,0.263,0.886,NYM,555968
Teoscar Hernandez,0.84,57,0.24,0.771,TOR,545000
Buster Posey,0.654,41,0.284,0.741,SF,22202777
Jackie Bradley Jr.,0.889,59,0.234,0.717,BOS,6100000
Aledmys Diaz,0.803,55,0.263,0.756,TOR,2000000
Jonathan Schoop,0.81,61,0.233,0.682,MIL,8500000
Jose Pirela,0.901,32,0.249,0.645,SD,556200
Niko Goodrum,0.809,53,0.246,0.747,DET,545000
Yasiel Puig,0.773,63,0.267,0.82,LAD,9214285
Robbie Grossman,0.796,48,0.273,0.751,MIN,2000000
Rafael Devers,0.747,66,0.24,0.731,BOS,564500
Yasmani Grandal,0.865,68,0.241,0.815,LAD,7900000
A.J. Pollock,0.698,65,0.257,0.8,ARI,7750000
Kris Bryant,0.626,52,0.273,0.834,CHC,10850000
Yangervis Solarte,0.753,54,0.227,0.655,TOR,4125000
Josh Reddick,0.833,47,0.243,0.718,HOU,13000000
Addison Russell,0.804,38,0.25,0.657,CHC,3200000
Paul DeJong,0.71,68,0.241,0.746,STL,1166666
Randal Grichuk,0.765,61,0.245,0.803,TOR,2800000
Max Muncy,0.841,79,0.263,0.973,LAD,545000
Nick Williams,0.864,50,0.256,0.749,PHI,553000
Ryan Braun,0.773,64,0.254,0.782,MIL,20000000
Kendrys Morales,0.803,57,0.249,0.769,TOR,11000000
Wilmer Flores,0.778,51,0.267,0.736,NYM,3400000
Enrique Hernandez,0.89,52,0.256,0.806,LAD,1600000
Joey Gallo,0.926,92,0.206,0.81,TEX,560000
Kole Calhoun,0.846,57,0.208,0.652,LAA,8500000
Kyle Schwarber,0.841,61,0.238,0.823,CHC,604500
Scott Kingery,0.907,35,0.226,0.605,PHI,1000000
Elvis Andrus,0.599,33,0.256,0.675,TEX,15250000
Brandon Belt,0.691,46,0.253,0.756,SF,17200000
Adam Engel,0.889,29,0.235,0.614,CHW,552000
Harrison Bader,0.852,37,0.264,0.756,STL,545000
Hunter Renfroe,0.722,68,0.248,0.805,SD,553800
Daniel Palka,0.765,67,0.24,0.778,CHW,545000
Jordy Mercer,0.733,39,0.251,0.696,PIT,6750000
Matt Davidson,0.79,62,0.228,0.738,CHW,570000
Daniel Murphy,0.564,42,0.299,0.79,CHC,17500000
Joc Pederson,0.908,56,0.248,0.843,LAD,2600000
Gorkys Hernandez,0.877,40,0.234,0.676,SF,561500
Scott Schebler,0.661,49,0.255,0.777,CIN,580000
Adam Eaton,0.593,33,0.301,0.808,WSH,6000000
Carlos Correa,0.685,65,0.239,0.728,HOU,1000000
Justin Bour,0.87,59,0.227,0.746,PHI,3400000
Robinson Cano,0.494,50,0.303,0.845,SEA,24000000
Kurt Suzuki,0.648,50,0.271,0.776,ATL,3850000
James McCann,0.728,39,0.22,0.581,DET,2375000
Wilmer Difo,0.914,42,0.23,0.649,WSH,557900
Isiah Kiner-Falefa,0.685,34,0.261,0.684,TEX,545000
Shohei Ohtani,0.704,61,0.285,0.925,LAA,545000
Evan Gattis,0.79,78,0.226,0.736,HOU,6700000
Jedd Gyorko,0.772,47,0.262,0.762,STL,9000000
Joe Panik,0.636,24,0.254,0.639,SF,3450000
Mark Canha,0.759,52,0.249,0.778,OAK,547500
Ronald Guzman,0.759,58,0.235,0.722,TEX,545000
Jorge Alfaro,0.667,37,0.262,0.731,PHI,547000
Ian Happ,0.871,44,0.233,0.761,CHC,570000
Travis Jankowski,0.728,17,0.259,0.678,SD,555000
Brock Holt,0.673,46,0.277,0.774,BOS,2225000
Jacoby Jones,0.796,34,0.208,0.63,DET,549400
Kolten Wong,0.784,38,0.249,0.72,STL,4000000
Adam Frazier,0.702,35,0.277,0.798,PIT,571000
Jorge Polanco,0.475,42,0.288,0.773,MIN,575000
Francisco Cervelli,0.658,57,0.259,0.809,PIT,10500000
Mark Trumbo,0.556,44,0.261,0.764,BAL,12500000
Josh Harrison,0.609,37,0.25,0.656,PIT,10250000
Logan Forsythe,0.741,27,0.232,0.604,MIN,9000000
Tim Beckham,0.593,35,0.23,0.661,BAL,3350000
Martin Maldonado,0.735,44,0.225,0.627,HOU,3900000
Ehire Adrianza,0.71,39,0.251,0.68,MIN,1000000
Avisail Garcia,0.574,49,0.236,0.719,CHW,6700000
Jesse Winker,0.556,43,0.299,0.836,CIN,545000
Daniel Descalso,0.852,57,0.238,0.789,ARI,2000000
David Freese,0.693,51,0.296,0.83,LAD,4250000
Christian Villanueva,0.685,46,0.237,0.75,SD,548500
Devon Travis,0.642,44,0.233,0.656,TOR,1450000
Hunter Dozier,0.642,34,0.229,0.673,KC,545000
Orlando Arcia,0.73,30,0.236,0.576,MIL,559600
Mitch Garver,0.636,45,0.268,0.749,MIN,547500
Yairo Munoz,0.667,42,0.277,0.763,STL,545000
Robinson Chirinos,0.704,65,0.222,0.757,TEX,2250000
Hernan Perez,0.81,29,0.253,0.676,MIL,1975000
Charlie Culberson,0.698,45,0.27,0.792,ATL,575000
Wil Myers,0.519,39,0.256,0.776,SD,4500000
Michael Taylor,0.827,28,0.227,0.644,WSH,2525000
Willy Adames,0.531,34,0.278,0.754,TB,545000
Chris Davis,0.796,49,0.168,0.539,BAL,21065362
David Fletcher,0.494,25,0.275,0.678,LAA,545000
Manuel Pina,0.601,28,0.252,0.702,MIL,560100
Omar Narvaez,0.599,30,0.275,0.794,CHW,560000
Chad Pinder,0.679,27,0.258,0.769,OAK,550000
Ryan Zimmerman,0.531,51,0.264,0.824,WSH,14000000
Adalberto Mondesi,0.463,37,0.276,0.804,KC,545000
Jake Cave,0.562,45,0.269,0.797,MIN,545000
Lewis Brinson,0.677,42,0.199,0.577,MIA,545000
Mike Zunino,0.704,44,0.201,0.669,SEA,2975000
Adam Duvall,0.852,61,0.195,0.639,ATL,645000
John Hicks,0.5,32,0.26,0.715,DET,551300
Alen Hanson,0.679,39,0.252,0.699,SF,545000
Daniel Robertson,0.543,34,0.262,0.797,TB,548300
Jeff McNeil,0.389,19,0.329,0.852,NYM,545000
Adeiny Hechavarria,0.58,31,0.247,0.624,NYY,5900000
Franmil Reyes,0.537,31,0.28,0.838,SD,545000
Delino DeShields,0.661,22,0.216,0.591,TEX,561500
Kevin Kiermaier,0.549,29,0.217,0.653,TB,5666666
Elias Diaz,0.509,34,0.286,0.792,PIT,559000
J.T. Riddle,0.646,36,0.231,0.653,MIA,545000
Leury Garcia,0.506,32,0.271,0.679,CHW,1175000
Cory Spangenberg,0.716,25,0.235,0.661,SD,1700000
Austin Hedges,0.568,37,0.231,0.711,SD,553100
Ben Gamel,0.63,19,0.272,0.728,SEA,558100
Lourdes Gurriel Jr.,0.401,35,0.281,0.755,TOR,1428571
Guillermo Heredia,0.772,19,0.236,0.661,SEA,782000
David Dahl,0.472,48,0.273,0.859,COL,550000
Tony Kemp,0.599,30,0.263,0.743,HOU,545000
Rosell Herrera,0.531,20,0.234,0.602,KC,545000
Jake Bauers,0.593,48,0.201,0.7,TB,545000
Steven Pearce,0.475,42,0.284,0.89,BOS,6250000
Renato Nunez,0.451,22,0.259,0.741,BAL,545000
Nicky Delmonico,0.556,25,0.215,0.669,CHW,553000
Gary Sanchez,0.549,53,0.186,0.697,NYY,620400
Austin Romine,0.482,42,0.244,0.713,NYY,1100000
Jorge Soler,0.377,28,0.265,0.82,KC,4666667
Caleb Joseph,0.519,17,0.219,0.575,BAL,1250000
Chris Owings,0.654,22,0.206,0.574,ARI,3400000
Tyler White,0.407,42,0.276,0.888,HOU,545000
Pablo Sandoval,0.568,40,0.248,0.727,SF,545000
Tyler Flowers,0.506,30,0.227,0.7,ATL,4300000
Russell Martin,0.556,25,0.194,0.663,TOR,20000000
Matt Wieters,0.469,30,0.238,0.704,WSH,10500000
Domingo Santana,0.522,20,0.265,0.74,MIL,572400
Tyler Austin,0.426,47,0.23,0.767,MIN,558600
Phillip Ervin,0.482,31,0.252,0.728,CIN,545000
Eric Thames,0.589,37,0.219,0.783,MIL,5000000
Devin Mesoraco,0.525,33,0.221,0.7,NYM,13125000
Greg Bird,0.506,38,0.199,0.672,NYY,582000
Hunter Pence,0.599,24,0.226,0.59,SF,18500000
Jorge Bonifacio,0.432,23,0.225,0.672,KC,561900
Steven Souza,0.444,29,0.22,0.678,ARI,3550000
Miguel Sano,0.438,41,0.199,0.679,MIN,602500
Dexter Fowler,0.556,31,0.18,0.576,STL,16500000
Christian Vazquez,0.494,16,0.207,0.54,BOS,1425000
Joey Rickard,0.488,23,0.244,0.713,BAL,545000
Mark Reynolds,0.531,40,0.248,0.803,WSH,1000000
Austin Meadows,0.364,17,0.287,0.785,TB,545000
Kevan Smith,0.321,21,0.292,0.728,CHW,545000
Max Stassi,0.543,27,0.226,0.71,HOU,557100
Ji-Man Choi,0.377,32,0.263,0.863,TB,850000
Kevin Plawecki,0.488,30,0.21,0.685,NYM,557471
Luke Maile,0.426,27,0.248,0.7,TOR,558400
Austin Slater,0.457,23,0.251,0.64,SF,545000
Johnny Field,0.519,21,0.222,0.657,MIN,545000
Martin Prado,0.335,18,0.244,0.592,MIA,13500000
Erik Kratz,0.411,23,0.237,0.634,MIL,545000
Sandy Leon,0.556,22,0.177,0.511,BOS,1950000
Jim Adduci,0.364,21,0.267,0.676,DET,545000
Victor Reyes,0.617,12,0.222,0.526,DET,545000
Jake Lamb,0.346,31,0.222,0.655,ARI,4275000
Ryan LaMarre,0.469,18,0.279,0.704,CHW,580000
Luke Voit,0.29,36,0.322,1.069,NYY,545000
Tommy La Stella,0.761,19,0.266,0.672,CHC,950000
Jake Marisnick,0.636,28,0.211,0.674,HOU,1900000
Mikie Mahtook,0.414,29,0.202,0.635,DET,560400
Ramon Laureano,0.296,19,0.289,0.832,OAK,545000
Nick Martini,0.34,19,0.296,0.811,OAK,545000
Blake Swihart,0.506,18,0.229,0.613,BOS,563500
Aaron Altherr,0.648,38,0.181,0.628,PHI,561000
David Bote,0.454,33,0.239,0.727,CHC,545000
Matt Joyce,0.519,15,0.208,0.675,OAK,6000000
Dustin Fowler,0.432,23,0.224,0.61,OAK,547500
John Ryan Murphy,0.537,24,0.202,0.619,ARI,558000
Jace Peterson,0.593,28,0.2,0.634,BAL,545000
Jefry Marte,0.556,22,0.217,0.644,LAA,559000
Victor Caratini,0.472,21,0.232,0.597,CHC,547500
Ryan McMahon,0.558,19,0.232,0.683,COL,547000
Ronny Rodriguez,0.383,20,0.22,0.591,DET,545000
Gregor Blanco,0.42,12,0.217,0.58,SF,1000000
A.J. Ellis,0.407,15,0.272,0.722,SD,1250000
Curt Casali,0.321,16,0.293,0.805,CIN,545000
Austin Barnes,0.614,14,0.205,0.619,LAD,555000
Brian McCann,0.395,23,0.212,0.64,HOU,17000000
Miguel Cabrera,0.235,22,0.299,0.843,DET,30000000
Greg Garcia,0.704,15,0.221,0.613,STL,569600
Cedric Mullins,0.278,11,0.235,0.671,BAL,545000
Jeff Mathis,0.426,20,0.2,0.544,ARI,2000000
Ryan O'Hearn,0.278,30,0.262,0.95,KC,545000
Preston Tucker,0.599,27,0.229,0.703,ATL,565000
Jesus Sucre,0.451,17,0.209,0.5,TB,925000
Brian Goodwin,0.475,25,0.239,0.708,KC,553900
Yoenis Cespedes,0.235,29,0.262,0.821,NYM,29000000
Andrew Knapp,0.519,15,0.198,0.61,PHI,548000
Mason Williams,0.315,6,0.293,0.729,CIN,545000
Steven Duggar,0.253,17,0.255,0.693,SF,545000
Roman Quinn,0.309,12,0.26,0.729,PHI,545000
Noel Cuevas,0.46,10,0.233,0.583,COL,545000
Willians Astudillo,0.185,21,0.355,0.887,MIN,545000
Franchy Cordero,0.247,19,0.237,0.746,SD,546500
Tyler O'Neill,0.383,23,0.254,0.803,STL,545000
Pedro Severino,0.432,15,0.168,0.501,WSH,545000
Dominic Smith,0.346,11,0.224,0.675,NYM,545000
Drew Butera,0.38,21,0.19,0.564,COL,2300000
Bryan Holaday,0.379,16,0.205,0.519,MIA,1000000
Tony Wolters,0.454,27,0.17,0.577,COL,550000
Tyler Saladino,0.356,16,0.246,0.696,MIL,565000
Jose Miguel Fernandez,0.222,11,0.267,0.697,LAA,545000
Alex Blandino,0.426,8,0.234,0.613,CIN,545000
Brandon Lowe,0.265,25,0.233,0.774,TB,545000
Billy McKinney,0.235,13,0.252,0.78,TOR,545000
Jose Briceno,0.22,12,0.246,0.694,LAA,545000
Kelby Tomlinson,0.389,10,0.207,0.529,SF,560000
Spencer Kieboom,0.321,13,0.232,0.642,WSH,545000
Chance Sisco,0.395,16,0.181,0.557,BAL,546500
Richard Urena,0.247,6,0.293,0.703,TOR,545000
Ronald Torreyes,0.278,7,0.28,0.664,NYY,615500
Magneuris Sierra,0.335,7,0.191,0.433,MIA,545000
Austin Wynns,0.259,11,0.255,0.669,BAL,545000
Francisco Pena,0.358,8,0.203,0.51,STL,650000
Ryan Rua,0.383,12,0.194,0.58,TEX,870000
Corey Seager,0.16,13,0.267,0.744,LAD,605000
Carlos Tocci,0.407,5,0.225,0.555,TEX,545000
Andrew Romine,0.463,2,0.21,0.504,SEA,1050000
Brett Phillips,0.315,11,0.187,0.558,KC,545000
J.P. Crawford,0.303,12,0.214,0.712,PHI,545500
Austin Dean,0.217,14,0.221,0.642,MIA,545000
Bobby Wilson,0.29,16,0.178,0.523,CHC,545000
Yadiel Rivera,0.689,9,0.173,0.485,MIA,545000
Taylor Ward,0.247,15,0.178,0.578,LAA,545000
Jose Osuna,0.317,11,0.226,0.648,PIT,545000
Jose Rondon,0.259,14,0.23,0.75,CHW,545000
Eric Young Jr.,0.253,8,0.202,0.551,LAA,545000
Willie Calhoun,0.216,11,0.222,0.602,TEX,545000
Rowdy Tellez,0.142,14,0.314,0.943,TOR,545000
Tom Murphy,0.233,11,0.226,0.637,COL,545000
Francisco Arcia,0.253,23,0.204,0.654,LAA,545000
Grayson Greiner,0.185,12,0.219,0.609,DET,545000
Brandon Dixon,0.457,10,0.178,0.574,CIN,545000
Michael Perez,0.148,11,0.284,0.696,TB,545000
Chase d'Arnaud,0.259,9,0.215,0.618,SF,545000
Juan Lagares,0.185,6,0.339,0.765,NYM,6500000
Cheslor Cuthbert,0.185,7,0.194,0.583,KC,573500
Aramis Garcia,0.067,11,0.299,0.811,SF,545000
Alex Verdugo,0.227,4,0.26,0.706,LAD,545000
Drew Robinson,0.296,9,0.184,0.582,TEX,547990
David Freitas,0.222,5,0.215,0.589,SEA,545000
Dawel Lugo,0.167,8,0.213,0.576,DET,545000
Danny Jansen,0.191,8,0.247,0.779,TOR,545000
Josh Phegley,0.247,15,0.204,0.599,OAK,905000
Kevin Newman,0.193,6,0.209,0.478,PIT,545000
Andrew Stevenson,0.352,13,0.253,0.626,WSH,545000
Pat Valaika,0.423,5,0.156,0.46,COL,550000
Chris Herrmann,0.222,7,0.237,0.743,SEA,537992
Peter O'Brien,0.137,10,0.273,0.868,MIA,545000
German Marquez,0.203,5,0.3,0.65,COL,550000
Dan Vogelbach,0.228,13,0.207,0.691,SEA,545700
J.D. Davis,0.259,5,0.175,0.471,HOU,550100
Max Scherzer,0.216,6,0.243,0.545,WSH,22242857
Franklin Barreto,0.198,16,0.233,0.746,OAK,545000
Victor Robles,0.13,10,0.288,0.874,WSH,545000
Jordan Luplow,0.23,7,0.185,0.631,PIT,545000
Pablo Reyes,0.112,7,0.293,0.832,PIT,545000
Pedro Florimon,0.309,5,0.225,0.699,PHI,600000
Dilson Herrera,0.327,11,0.184,0.682,CIN,545000
Christin Stewart,0.105,10,0.267,0.792,DET,545000
Kyle Farmer,0.239,9,0.235,0.635,LAD,547500
Tzu-Wei Lin,0.228,6,0.246,0.744,BOS,545000
Adrian Sanchez,0.173,3,0.276,0.633,WSH,545000
Matt Holliday,0.153,3,0.283,0.849,COL,545000
Zack Greinke,0.21,5,0.234,0.566,ARI,34000000
Pete Kozma,0.167,8,0.217,0.584,DET,545000
Kaleb Cowart,0.29,10,0.134,0.451,LAA,545000
Breyvic Valera,0.204,8,0.234,0.567,BAL,545000
Keon Broxton,0.313,11,0.18,0.691,MIL,545000
Tomas Nido,0.21,9,0.167,0.438,NYM,545000
John Andreoli,0.161,4,0.23,0.546,BAL,545000
Brandon Drury,0.161,10,0.169,0.516,TOR,621900
Cameron Gallagher,0.136,7,0.206,0.552,KC,545000
Isaac Galloway,0.267,7,0.203,0.692,MIA,545000
Patrick Wisdom,0.198,10,0.26,0.882,STL,545000
Chris Gimenez,0.154,7,0.211,0.621,MIN,545000
Patrick Corbin,0.204,5,0.197,0.435,ARI,7500000
Kyle Higashioka,0.179,6,0.167,0.56,NYY,545000
Michael Hermosillo,0.191,1,0.211,0.608,LAA,545000
Clayton Kershaw,0.166,7,0.239,0.622,LAD,35571428
Zack Wheeler,0.179,4,0.196,0.425,NYM,1900000
Tanner Roark,0.191,8,0.19,0.475,WSH,6475000
Jacob deGrom,0.21,5,0.164,0.39,NYM,7400000
Garrett Hampson,0.147,4,0.275,0.796,COL,545000
Tyler Wade,0.222,5,0.167,0.487,NYY,551300
Carlos Perez,0.173,3,0.143,0.392,TEX,545000
D.J. Stewart,0.105,10,0.25,0.89,BAL,545000
Chris Shaw,0.136,7,0.185,0.552,SF,545000
Francisco Mejia,0.13,8,0.179,0.633,SD,545000
Luis Urias,0.074,5,0.208,0.618,SD,545000
Jason Castro,0.117,3,0.143,0.495,MIN,8000000
Miles Mikolas,0.21,6,0.143,0.421,STL,7750000
Michael Lorenzen,0.34,10,0.29,1.043,CIN,1312500
Vincent Velasquez,0.198,1,0.225,0.475,PHI,559000
Kyle Tucker,0.173,4,0.141,0.439,HOU,545000
Reese McGuire,0.086,4,0.29,0.914,TOR,545000
Clint Frazier,0.093,1,0.265,0.743,NYY,559200
Carlos Martinez,0.21,4,0.242,0.629,STL,11700000
Gordon Beckham,0.136,1,0.182,0.455,SEA,545000
Tyson Ross,0.21,4,0.195,0.478,STL,2700000
Christian Walker,0.228,6,0.163,0.614,ARI,545000
Sam Travis,0.117,7,0.222,0.652,BOS,545000
Jacob Stallings,0.087,5,0.216,0.485,PIT,545000
Chad Wallach,0.093,5,0.178,0.541,MIA,545000
Steve Wilkerson,0.099,3,0.174,0.464,BAL,545000
Jon Lester,0.209,9,0.119,0.288,CHC,27500000
Madison Bumgarner,0.136,4,0.159,0.378,SF,12000000
Jose Lobaton,0.136,4,0.143,0.47,NYM,1250000
Julio Teheran,0.191,4,0.175,0.44,ATL,8166666
Kris Negron,0.124,4,0.219,0.555,SEA,545000
Hyun-Jin Ryu,0.098,2,0.269,0.629,LAD,7833333
Socrates Brito,0.148,3,0.175,0.477,ARI,545000
Walker Buehler,0.147,1,0.163,0.363,LAD,545000
Jack Flaherty,0.191,0,0.152,0.34,STL,545000
Nick Ciuffo,0.099,5,0.189,0.559,TB,545000
Andrew Toles,0.104,4,0.233,0.581,LAD,555000
Garrett Cooper,0.087,2,0.212,0.558,MIA,545000
Meibrys Viloria,0.062,4,0.259,0.619,KC,545000
Colby Rasmus,0.111,1,0.133,0.426,BAL,3000000
Wei-Yin Chen,0.168,2,0.15,0.325,MIA,10000000
Lane Adams,0.161,6,0.24,0.865,ATL,545000
Anthony DeSclafani,0.13,4,0.143,0.357,CIN,860000
Noah Syndergaard,0.154,3,0.128,0.313,NYM,2975000
Kyle Freeland,0.203,2,0.092,0.242,COL,550000
Luke Weaver,0.216,2,0.158,0.337,STL,550800
Chris Stratton,0.173,5,0.14,0.299,SF,552500
Brent Suter,0.129,3,0.231,0.778,MIL,556500
Dylan Cozens,0.161,2,0.158,0.562,PHI,545000
Luis Castillo,0.191,2,0.102,0.25,CIN,555000
