Jugador,Porcetnaje_juegos_2015,RBI_2015,Porcentaje_bateo_2015,OPS_2015,Equipo_2015,Sueldo_2015,Agente libre
Jung Ho Kang,0.778,58,0.29,0.821,PIT,2500000,No
Eddie Rosario,0.753,50,0.267,0.75,MIN,507500,No
Marcell Ozuna,0.759,44,0.259,0.698,MIA,545000,No
Joe Panik,0.617,37,0.312,0.836,SF,522500,No
Chris Owings,0.907,43,0.229,0.589,ARI,512500,No
Aramis Ramirez,0.846,75,0.246,0.72,PIT,3000000,No
Jacoby Ellsbury,0.685,33,0.257,0.665,NYY,21142857,No
Andre Ethier,0.877,53,0.294,0.855,LAD,18000000,No
Jimmy Rollins,0.889,41,0.224,0.643,LAD,11000000,No
Pablo Sandoval,0.778,48,0.247,0.664,BOS,17600000,Si
Stephen Vogt,0.84,71,0.261,0.783,OAK,512500,No
Freddie Freeman,0.728,66,0.276,0.848,ATL,8859375,No
Lucas Duda,0.833,73,0.244,0.838,NYM,4200000,No
Addison Russell,0.877,54,0.242,0.696,CHC,507500,No
Juan Lagares,0.883,41,0.259,0.647,NYM,553696,No
J.T. Realmuto,0.778,47,0.259,0.696,MIA,507500,No
Brad Miller,0.889,46,0.258,0.73,SEA,527600,No
Justin Turner,0.778,60,0.291,0.856,LAD,2500000,No
Mark Canha,0.765,70,0.254,0.749,OAK,507500,No
Dustin Pedroia,0.574,42,0.291,0.797,BOS,12625000,No
Carlos Gomez,0.71,56,0.255,0.728,HOU,2928961,No
Cesar Hernandez,0.784,35,0.274,0.692,PHI,510000,No
Delino DeShields,0.747,37,0.261,0.718,TEX,507500,No
Rougned Odor,0.741,61,0.261,0.781,TEX,513850,No
Yasmany Tomas,0.728,48,0.273,0.709,ARI,5379781,No
Chris Coghlan,0.914,41,0.25,0.788,CHC,2505000,No
Nick Hundley,0.636,43,0.301,0.809,COL,3100000,Si
David Freese,0.747,56,0.257,0.743,LAA,6425000,No
Wilson Ramos,0.79,68,0.23,0.616,WSH,3550000,No
Michael Taylor,0.852,63,0.231,0.647,WSH,508700,No
Brian McCann,0.833,94,0.232,0.756,NYY,17000000,No
Victor Martinez,0.745,64,0.246,0.667,DET,14000000,No
Carlos Correa,0.611,68,0.279,0.857,HOU,507500,No
Ryan Howard,0.796,77,0.229,0.72,PHI,25000000,No
Eduardo Escobar,0.784,58,0.262,0.754,MIN,532500,No
Chris Colabello,0.624,54,0.321,0.886,TOR,507500,No
George Springer,0.63,41,0.276,0.834,HOU,512900,No
Justin Bour,0.796,73,0.262,0.8,MIA,507500,No
Brandon Moss,0.901,58,0.226,0.711,STL,2379781,No
Russell Martin,0.796,77,0.24,0.787,TOR,7000000,Si
Pedro Alvarez,0.926,77,0.243,0.787,PIT,5750000,No
James McCann,0.708,41,0.264,0.683,DET,507500,No
Kurt Suzuki,0.809,50,0.24,0.61,MIN,6000000,No
Jedd Gyorko,0.79,57,0.247,0.696,SD,2000000,No
Eugenio Suarez,0.599,48,0.28,0.761,CIN,507500,No
Cody Asche,0.796,39,0.245,0.689,PHI,517500,No
Colby Rasmus,0.846,61,0.238,0.789,HOU,8000000,Si
Logan Morrison,0.901,54,0.225,0.685,SEA,2750000,No
David Murphy,0.82,50,0.283,0.738,LAA,2262295,No
Norichika Aoki,0.574,26,0.287,0.733,SF,4000000,No
Michael Bourn,0.876,30,0.238,0.592,ATL,4278688,No
James Loney,0.642,32,0.28,0.68,TB,8666666,No
Joc Pederson,0.932,54,0.21,0.763,LAD,510000,No
Mark Teixeira,0.685,79,0.255,0.908,NYY,23125000,No
Hanley Ramirez,0.648,53,0.249,0.717,BOS,19750000,Si
Jimmy Paredes,0.642,42,0.276,0.726,BAL,515000,No
Yonder Alonso,0.636,31,0.283,0.742,SD,1650000,No
Danny Valencia,0.648,66,0.29,0.864,OAK,567486,No
Scooter Gennett,0.704,29,0.264,0.675,MIL,516500,No
C.J. Cron,0.698,51,0.262,0.742,LAA,512500,No
Omar Infante,0.765,44,0.222,0.558,KC,7500000,No
Alex Gordon,0.642,51,0.276,0.823,KC,14000000,No
Michael Cuddyer,0.722,41,0.259,0.699,NYM,8500000,No
Alex Rios,0.648,32,0.255,0.64,KC,9500000,Si
Seth Smith,0.84,42,0.248,0.773,SEA,6000000,No
Jonathan Lucroy,0.636,43,0.264,0.717,MIL,3400000,No
Luis Valbuena,0.815,56,0.224,0.748,HOU,4200000,No
Khris Davis,0.747,66,0.247,0.833,MIL,519500,No
Jordy Mercer,0.716,34,0.244,0.613,PIT,538000,No
Jorge Soler,0.624,47,0.262,0.723,CHC,2666667,No
Marwin Gonzalez,0.741,34,0.279,0.759,HOU,1062500,No
Gregor Blanco,0.71,26,0.291,0.781,SF,3600000,No
Nick Ahmed,0.827,34,0.226,0.634,ARI,508500,No
Ruben Tejada,0.716,28,0.261,0.688,NYM,1880000,No
Ryan Goins,0.79,45,0.25,0.672,TOR,512800,No
Billy Hamilton,0.704,28,0.226,0.563,CIN,545000,No
Eric Sogard,0.741,37,0.247,0.598,OAK,1075000,No
Jake Lamb,0.661,34,0.263,0.716,ARI,508500,No
Mike Napoli,0.821,50,0.224,0.734,TEX,1500000,No
Ichiro Suzuki,0.944,21,0.229,0.561,MIA,3200000,Si
Juan Uribe,0.735,43,0.253,0.737,NYM,3152855,No
Brayan Pena,0.667,18,0.273,0.659,CIN,1400000,No
J.J. Hardy,0.704,37,0.219,0.564,BAL,11500000,No
Adam LaRoche,0.784,45,0.21,0.638,CHW,12000000,Si
Aaron Hicks,0.599,33,0.256,0.724,MIN,515000,No
Ben Paulsen,0.716,49,0.277,0.787,COL,507500,No
Danny Espinosa,0.728,37,0.243,0.724,WSH,1800000,No
Randal Grichuk,0.636,47,0.276,0.883,STL,510000,No
Mark Reynolds,0.864,48,0.23,0.713,STL,2000000,Si
Rajai Davis,0.696,30,0.258,0.746,DET,5000000,No
Brandon Guyer,0.79,28,0.265,0.774,TB,515800,No
Yolmer Sanchez,0.741,31,0.224,0.595,CHW,510000,No
Miguel Montero,0.698,53,0.248,0.754,CHC,12000000,No
Ryan Zimmerman,0.586,73,0.249,0.776,WSH,14000000,No
Alejandro De Aza,0.704,35,0.262,0.755,SF,5000000,No
Will Venable,0.833,33,0.244,0.669,TEX,1091530,No
Jonathan Schoop,0.531,39,0.279,0.788,BAL,515000,No
Maikel Franco,0.494,50,0.28,0.84,PHI,507500,No
Jeff Francoeur,0.735,45,0.258,0.718,PHI,925000,No
Clint Robinson,0.778,34,0.272,0.782,WSH,525000,Si
Steven Souza,0.679,40,0.225,0.717,TB,508700,No
Yasmani Grandal,0.71,47,0.234,0.756,LAD,693000,No
Kelly Johnson,0.685,47,0.265,0.753,NYM,598360,Si
Anthony Rendon,0.494,25,0.264,0.707,WSH,2500000,No
Cory Spangenberg,0.667,21,0.271,0.736,SD,508500,No
Welington Castillo,0.679,57,0.237,0.752,ARI,1422950,No
Chris Young,0.864,42,0.252,0.773,NYY,2500000,Si
Chris Young,0.864,42,0.252,0.773,KC,675000,Si
Chris Young,0.204,3,0.5,1.0,NYY,2500000,Si
Chris Young,0.204,3,0.5,1.0,KC,675000,Si
Tyler Flowers,0.691,39,0.241,0.656,CHW,2675000,No
Jake Marisnick,0.821,36,0.236,0.665,HOU,511200,No
Blake Swihart,0.519,31,0.274,0.712,BOS,507500,No
Chase Utley,0.661,39,0.209,0.632,LAD,2130000,No
Chris Carter,0.796,64,0.2,0.734,HOU,4175000,No
Stephen Drew,0.809,44,0.201,0.652,NYY,5000000,Si
Denard Span,0.377,23,0.305,0.804,WSH,9000000,No
Miguel Sano,0.494,52,0.269,0.916,MIN,507500,No
Giancarlo Stanton,0.457,67,0.265,0.952,MIA,6550000,No
Caleb Joseph,0.617,49,0.231,0.687,BAL,515000,No
Jayson Werth,0.543,42,0.221,0.685,WSH,21571428,No
Preston Tucker,0.605,33,0.243,0.734,HOU,507500,No
Aaron Hill,0.716,39,0.23,0.64,ARI,12000000,No
Joey Butler,0.543,30,0.28,0.75,TB,507500,No
Jason Castro,0.642,31,0.211,0.651,HOU,4000000,No
Yasiel Puig,0.488,38,0.252,0.751,LAD,6214285,No
Stephen Piscotty,0.389,39,0.305,0.853,STL,507500,No
Grady Sizemore,0.599,33,0.253,0.688,TB,507500,No
Matt Wieters,0.463,25,0.267,0.742,BAL,8300000,No
Corey Dickerson,0.401,31,0.308,0.878,COL,512500,No
Rusney Castillo,0.494,29,0.253,0.647,BOS,11271428,No
Andres Blanco,0.654,25,0.292,0.863,PHI,850000,No
David DeJesus,0.691,30,0.233,0.626,LAA,1885245,No
Justin Smoak,0.815,59,0.226,0.768,TOR,1000000,Si
Alexi Amarista,0.728,30,0.204,0.544,SD,1150000,No
Devon Travis,0.383,35,0.304,0.859,TOR,507500,No
Brandon Barnes,0.654,17,0.255,0.663,COL,507500,No
Carlos Perez,0.531,21,0.25,0.645,LAA,507500,No
Matt Holliday,0.451,35,0.28,0.813,STL,17025000,No
Steven Pearce,0.568,40,0.218,0.711,BAL,3700000,No
Hernan Perez,0.696,21,0.243,0.584,MIL,508500,No
Travis d'Arnaud,0.414,41,0.268,0.825,NYM,525424,No
Derek Dietrich,0.556,24,0.256,0.81,MIA,507500,No
Leonys Martin,0.586,25,0.219,0.576,TEX,4750000,No
Darin Ruf,0.654,39,0.235,0.714,PHI,515000,No
Cameron Rupp,0.5,28,0.233,0.679,PHI,508000,No
Ketel Marte,0.352,17,0.288,0.766,SEA,507500,No
Wilin Rosario,0.537,29,0.268,0.71,COL,2800000,No
Elian Herrera,0.512,33,0.242,0.696,MIL,507500,No
Travis Shaw,0.401,36,0.274,0.822,BOS,507500,No
Tucker Barnhart,0.5,18,0.256,0.662,CIN,507500,No
Enrique Hernandez,0.469,22,0.307,0.836,LAD,512500,No
Carlos Ruiz,0.531,22,0.211,0.572,PHI,8500000,No
Skip Schumaker,0.809,21,0.242,0.642,CIN,2500000,No
Paulo Orlando,0.531,26,0.24,0.694,KC,507500,No
Hunter Pence,0.321,40,0.275,0.806,SF,18500000,No
Chris Denorfia,0.636,18,0.269,0.691,CHC,2600000,Si
Sam Fuld,0.741,22,0.197,0.569,OAK,1750000,No
Wil Myers,0.37,29,0.253,0.763,SD,519800,No
Kyle Schwarber,0.426,43,0.246,0.842,CHC,507500,No
Josh Phegley,0.451,34,0.249,0.749,OAK,510000,No
Daniel Santana,0.562,21,0.215,0.532,MIN,530000,No
Travis Snider,0.537,28,0.232,0.663,PIT,507500,No
Dustin Ackley,0.667,30,0.231,0.712,NYY,2600000,No
Sean Rodriguez,0.858,17,0.246,0.642,PIT,1900000,No
Jackie Bradley Jr.,0.457,43,0.249,0.832,BOS,528000,No
Alberto Callaspo,0.599,15,0.235,0.594,LAD,2147540,Si
Robinson Chirinos,0.482,34,0.232,0.762,TEX,518290,No
Ryan Flaherty,0.562,31,0.202,0.637,BAL,1075000,No
Kelby Tomlinson,0.333,20,0.303,0.762,SF,507500,No
Melvin Upton,0.537,17,0.259,0.757,SD,15050000,No
Eduardo Nunez,0.444,20,0.282,0.758,MIN,1025000,No
John Jaso,0.432,22,0.287,0.839,TB,3175000,No
Mike Morse,0.605,19,0.231,0.649,PIT,2928961,Si
Scott Van Slyke,0.593,30,0.239,0.7,LAD,522500,No
Rene Rivera,0.679,26,0.178,0.489,TB,1200000,No
Tyler Saladino,0.42,20,0.225,0.599,CHW,507500,No
Adonis Garcia,0.358,26,0.278,0.79,ATL,507500,No
Chris Iannetta,0.568,34,0.191,0.635,LAA,5525000,No
Justin Morneau,0.303,15,0.31,0.821,COL,7250000,No
Shane Peterson,0.574,16,0.259,0.683,MIL,507500,No
Jed Lowrie,0.426,30,0.222,0.712,HOU,8000000,Si
Alexander Guerrero,0.654,36,0.232,0.692,LAD,6500000,No
Tyler Collins,0.373,25,0.266,0.732,DET,507500,No
Kevin Plawecki,0.451,21,0.219,0.576,NYM,507500,No
Franklin Gutierrez,0.364,35,0.292,0.974,SEA,507500,Si
Jarrod Dyson,0.556,18,0.25,0.691,KC,1225000,No
Ike Davis,0.457,20,0.234,0.661,OAK,3800000,No
Zack Cozart,0.327,28,0.258,0.769,CIN,2350000,No
Clint Barmes,0.605,16,0.232,0.633,SD,1300000,Si
Carl Crawford,0.426,16,0.265,0.713,LAD,21357142,No
Jonny Gomes,0.586,26,0.213,0.66,KC,1000000,Si
Martin Maldonado,0.488,22,0.21,0.575,MIL,825000,No
Casey McGehee,0.673,20,0.198,0.538,MIA,507500,Si
Jason Bourgeois,0.42,14,0.24,0.625,CIN,522500,No
Ezequiel Carrera,0.562,26,0.273,0.693,TOR,507500,Si
Andrew Romine,0.677,15,0.255,0.62,DET,520000,No
Michael Conforto,0.346,26,0.27,0.841,NYM,507500,No
Hank Conger,0.451,33,0.229,0.759,HOU,1075000,No
Chris Stewart,0.358,15,0.289,0.659,PIT,1225000,No
Shane Robinson,0.512,16,0.25,0.621,MIN,550000,Si
Jarrod Saltalamacchia,0.488,24,0.225,0.745,ARI,507500,No
Tim Beckham,0.506,37,0.222,0.702,TB,508100,No
Jason Rogers,0.531,16,0.296,0.808,MIL,507500,No
David Wright,0.235,17,0.29,0.814,NYM,20000000,No
Gordon Beckham,0.617,20,0.21,0.601,CHW,2000000,Si
Cliff Pennington,0.648,21,0.21,0.578,TOR,1020081,No
Jon Jay,0.488,10,0.21,0.563,STL,4125000,No
Nick Swisher,0.472,25,0.196,0.631,ATL,4754098,No
Ryan Hanigan,0.333,16,0.247,0.664,BOS,3500000,No
Josh Hamilton,0.309,25,0.253,0.732,TEX,2000000,No
A.J. Ellis,0.389,21,0.238,0.758,LAD,4250000,No
Domonic Brown,0.389,25,0.228,0.634,PHI,2600000,No
John Ryan Murphy,0.414,14,0.277,0.734,NYY,518700,No
Dioner Navarro,0.333,20,0.246,0.682,TOR,5000000,No
Nolan Reimold,0.377,20,0.247,0.738,BAL,507500,Si
Matt Joyce,0.574,21,0.17,0.556,LAA,4750000,No
Matt Adams,0.37,24,0.24,0.657,STL,534000,No
Cole Gillespie,0.414,16,0.29,0.761,MIA,507500,No
Kennys Vargas,0.358,17,0.24,0.624,MIN,517500,No
Geovany Soto,0.475,21,0.222,0.715,CHW,1500000,Si
Shane Victorino,0.438,7,0.23,0.601,LAA,1172677,No
Tommy Pham,0.321,18,0.268,0.824,STL,507500,No
Greg Bird,0.284,31,0.261,0.871,NYY,507500,No
Miguel Rojas,0.37,16,0.282,0.695,MIA,507500,No
Peter Bourjos,0.722,13,0.2,0.62,STL,1650000,No
J.B. Shuck,0.482,15,0.273,0.702,CHW,516000,No
Daniel Descalso,0.624,22,0.205,0.606,COL,1500000,Si
Tyler Moore,0.599,27,0.203,0.614,WSH,518200,No
Domingo Santana,0.321,26,0.238,0.768,MIL,507500,No
Pedro Ciriaco,0.519,15,0.261,0.627,ATL,507500,No
Trayce Thompson,0.272,16,0.295,0.896,CHW,507500,No
Alex Avila,0.416,13,0.191,0.626,DET,5400000,No
Eric Campbell,0.438,19,0.197,0.607,NYM,511065,No
Philip Gosselin,0.272,15,0.311,0.873,ARI,507500,No
Rafael Ynoa,0.444,9,0.26,0.616,COL,509500,No
Jonathan Villar,0.327,11,0.285,0.752,HOU,513000,No
Aaron Altherr,0.241,22,0.241,0.827,PHI,507500,No
Corey Seager,0.167,17,0.337,0.986,LAD,507500,No
Eury Perez,0.29,5,0.269,0.633,ATL,507500,No
Christian Bethancourt,0.296,12,0.207,0.528,ATL,507500,No
Jake Smolinski,0.469,26,0.193,0.649,OAK,508500,No
Justin Ruggiano,0.352,15,0.248,0.805,LAD,2505000,No
Christian Colon,0.265,6,0.29,0.692,KC,509525,No
Mikie Mahtook,0.253,19,0.295,0.97,TB,507500,No
Steve Clevenger,0.185,15,0.297,0.759,BAL,514000,No
Brett Wallace,0.395,16,0.302,0.895,SD,507500,Si
Jonathan Herrera,0.451,14,0.23,0.576,CHC,900000,Si
Tony Cruz,0.426,11,0.204,0.545,STL,775000,No
Andrew Susac,0.321,14,0.218,0.666,SF,507500,No
David Ross,0.444,9,0.176,0.537,CHC,2500000,Si
Daniel Nava,0.37,10,0.194,0.56,TB,606557,No
Jose Lobaton,0.272,20,0.199,0.573,WSH,1200000,No
David Lough,0.519,12,0.202,0.569,BAL,525500,No
Logan Schafer,0.426,6,0.221,0.635,MIL,510500,No
Tuffy Gosewisch,0.235,13,0.211,0.542,ARI,514500,No
Byron Buxton,0.284,6,0.209,0.576,MIN,507500,No
Michael McKenry,0.358,17,0.205,0.731,COL,1087600,No
Desmond Jennings,0.173,7,0.268,0.664,TB,3100000,No
Bobby Wilson,0.346,14,0.189,0.505,TEX,700000,Si
Jesus Montero,0.235,19,0.223,0.661,SEA,507500,No
Chris Gimenez,0.222,14,0.255,0.82,TEX,507500,No
Kirk Nieuwenhuis,0.457,14,0.195,0.645,NYM,525415,No
Matt den Dekker,0.34,12,0.253,0.8,WSH,512972,No
Taylor Featherston,0.624,9,0.162,0.458,LAA,507500,No
Drew Stubbs,0.482,10,0.195,0.665,TEX,507500,No
Curt Casali,0.235,18,0.238,0.898,TB,509000,No
Austin Hedges,0.346,11,0.168,0.463,SD,507500,No
Daniel Castro,0.204,5,0.24,0.617,ATL,507500,No
Coco Crisp,0.272,6,0.175,0.474,OAK,11000000,No
Dan Uggla,0.414,16,0.183,0.598,WSH,507500,No
Brendan Ryan,0.29,8,0.229,0.608,NYY,2000000,No
J.P. Arencibia,0.148,17,0.31,0.921,TB,507500,Si
Javier Baez,0.173,4,0.29,0.733,CHC,507500,No
Micah Johnson,0.222,4,0.218,0.552,CHW,507500,No
Hanser Alberto,0.253,4,0.222,0.5,TEX,507500,No
Joey Gallo,0.222,14,0.204,0.717,TEX,507500,No
Drew Butera,0.34,5,0.196,0.505,KC,809426,No
Kyle Blanks,0.111,6,0.313,0.875,TEX,1000000,Si
Sandy Leon,0.253,3,0.184,0.439,BOS,510400,No
Josh Rutledge,0.241,10,0.284,0.671,BOS,527500,No
Ehire Adrianza,0.321,11,0.186,0.569,SF,509500,No
Efren Navarro,0.333,5,0.253,0.597,LAA,511000,No
Daniel Robertson,0.228,7,0.28,0.605,LAA,511250,No
Dalton Pompey,0.21,6,0.223,0.674,TOR,508500,No
Max Muncy,0.278,9,0.206,0.66,OAK,507500,No
Jesus Sucre,0.321,7,0.158,0.424,SEA,509300,No
Hector Olivera,0.148,11,0.253,0.715,ATL,5398906,No
Madison Bumgarner,0.222,9,0.247,0.743,SF,7000000,No
Carlos Corporan,0.204,15,0.178,0.543,TEX,975000,No
Kyle Parker,0.284,11,0.179,0.535,COL,507500,No
Luis Sardinas,0.222,4,0.196,0.467,MIL,507500,No
Dilson Herrera,0.191,6,0.211,0.677,NYM,507500,No
Travis Jankowski,0.21,12,0.211,0.589,SD,507500,No
Ryan Lavarnway,0.228,6,0.192,0.602,ATL,515000,No
Mike Olt,0.185,5,0.192,0.574,CHW,520000,No
Bryan Holaday,0.149,13,0.281,0.745,DET,507500,No
Tommy La Stella,0.204,11,0.269,0.727,CHC,513000,No
Greg Garcia,0.303,4,0.24,0.716,STL,507500,No
Donovan Solano,0.34,7,0.189,0.459,MIA,531500,No
Jefry Marte,0.205,11,0.213,0.697,DET,507500,No
Jarrett Parker,0.13,14,0.347,1.163,SF,507500,No
Jose Pirela,0.228,5,0.23,0.558,NYY,510000,No
