Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019,Agente libre
Emilio Pagan,66,4,20,0.83,2.31,TB,555000,No
Ross Detwiler,18,3,0,1.62,6.59,CHW,555000,No
Pedro Baez,71,7,1,0.95,3.1,LAD,2100000,No
Joakim Soria,71,2,1,1.03,4.3,OAK,6500000,Si
Taylor Rogers,60,2,30,1.0,2.61,MIN,1525000,No
Chris Devenski,61,2,0,1.3,4.83,HOU,1525000,No
Chad Green,54,4,2,1.23,4.17,NYY,598650,No
Jose Leclerc,70,2,14,1.33,4.33,TEX,1500000,No
Diego Castillo,66,5,8,1.24,3.41,TB,561500,No
Wei-Yin Chen,45,0,0,1.54,6.59,MIA,20000000,No
Sean Newcomb,55,6,1,1.32,3.16,ATL,575000,No
Edwin Jackson,18,3,0,2.03,9.58,DET,555000,No
Nathan Eovaldi,23,2,0,1.58,5.99,BOS,17000000,Si
Javy Guerra,51,3,2,1.24,4.66,WSH,800000,No
Noe Ramirez,51,5,0,1.17,3.99,LAA,569000,No
Buck Farmer,73,6,0,1.27,3.72,DET,570800,No
Hector Neris,68,3,28,1.02,2.93,PHI,1800000,No
Josh Osich,57,4,0,1.14,4.66,CHW,555000,No
Aaron Bummer,58,0,1,0.99,2.13,CHW,555000,No
Mark Melancon,67,5,12,1.32,3.61,ATL,19000000,No
Raisel Iglesias,68,3,34,1.22,4.16,CIN,6000000,No
Nestor Cortes,33,5,0,1.54,5.67,NYY,555000,No
Adam Ottavino,73,6,2,1.31,1.9,NYY,9000000,Si
John Gant,64,11,3,1.28,3.66,STL,571300,No
Will Smith,63,6,34,1.03,2.76,SF,4225000,No
Will Smith,63,6,34,1.03,2.76,LAD,555000,No
Richard Rodriguez,72,4,1,1.35,3.72,PIT,650000,No
Roberto Osuna,66,4,38,0.88,2.63,HOU,6500000,No
Nick Anderson,68,5,1,1.08,3.32,TB,555000,No
Robert Stephenson,57,3,0,1.04,3.76,CIN,565000,No
Joseph Biagini,63,3,1,1.5,4.59,HOU,900000,No
Matt Barnes,70,5,4,1.38,3.78,BOS,1600000,No
Trevor May,65,5,2,1.07,2.94,MIN,900000,No
Luke Weaver,13,4,0,1.07,2.94,ARI,581300,No
Steve Cishek,70,4,7,1.2,2.95,CHC,6500000,No
Joe Ross,28,4,0,1.67,5.48,WSH,1000000,No
Chad Bettis,39,1,1,1.55,6.08,COL,3325000,No
Robert Gsellman,52,2,1,1.37,4.67,NYM,582500,No
Ian Kennedy,63,3,30,1.28,3.41,KC,16500000,No
Kenley Jansen,62,5,34,1.06,3.71,LAD,19333334,No
Chi Chi Gonzalez,14,2,0,1.46,5.29,COL,555000,No
Mychal Givens,58,2,11,1.19,4.57,BAL,2150000,No
Shane Greene,65,0,23,1.0,2.3,ATL,4000000,No
Sam Dyson,61,5,2,1.06,3.32,MIN,5000000,No
Yimi Garcia,64,1,0,0.87,3.61,LAD,710000,No
Brett Martin,51,2,0,1.44,4.77,TEX,555000,No
Alexander Claudio,83,2,0,1.31,4.07,MIL,1275000,No
Luis Garcia,64,2,1,1.52,4.36,LAA,1675000,No
Josh A. Smith,36,0,2,2.84,11.62,BOS,555000,No
Zack Britton,66,3,3,1.14,1.91,NYY,13000000,Si
Blake Parker,60,3,10,1.22,4.55,PHI,555000,Si
Tommy Kahnle,72,3,0,1.06,3.67,NYY,1387500,No
Cam Bedrosian,59,3,1,1.14,3.23,LAA,1750000,No
Josh James,49,5,1,1.32,4.7,HOU,566800,No
Jake Diekman,75,1,0,1.43,4.72,OAK,2250000,Si
Alex Colome,62,4,30,1.07,2.8,CHW,7325000,No
Kyle Ryan,73,4,0,1.38,3.54,CHC,555000,No
Hector Rondon,62,3,0,1.25,3.71,HOU,4500000,No
Kirby Yates,60,0,41,0.89,1.19,SD,3062500,No
Yoan Lopez,70,2,1,1.14,3.41,ARI,556900,No
Adam Conley,60,2,2,1.73,6.53,MIA,1125000,No
Derek Law,58,1,5,1.66,4.9,TOR,555000,No
Tyler Glasnow,12,6,0,0.89,1.78,TB,566700,No
Sergio Romo,65,2,20,1.11,3.43,MIN,2500000,Si
Kevin McCarthy,56,4,1,1.48,4.48,KC,578250,No
Sean Doolittle,63,6,29,1.3,4.05,WSH,6000000,No
Jeurys Familia,66,4,0,1.73,5.7,NYM,6666666,Si
Will Harris,68,4,4,0.93,1.5,HOU,4225000,No
Felipe Vazquez,56,5,28,0.93,1.65,PIT,4500000,No
Lou Trivino,61,4,0,1.53,5.25,OAK,557500,No
Matt Albers,67,8,4,1.37,5.13,MIL,2500000,No
Daniel Mengden,13,5,1,1.44,4.83,OAK,555000,No
Joe Jimenez,66,4,9,1.32,4.37,DET,569200,No
Clay Buchholz,12,2,0,1.49,6.56,TOR,3000000,Si
Jose Alvarez,67,3,1,1.42,3.36,PHI,1925000,No
Rich Hill,13,4,0,1.13,2.46,LAD,18666668,No
Blake Treinen,57,6,16,1.62,4.91,OAK,6400000,No
Dylan Covey,19,1,0,1.76,7.98,CHW,571000,No
Drew VerHagen,22,4,0,1.6,5.9,DET,567400,No
Shawn Armstrong,56,1,5,1.64,5.74,BAL,559100,No
Edwin Diaz,66,2,26,1.38,5.59,NYM,607425,No
Erik Swanson,27,1,2,1.17,5.74,SEA,555000,No
Jairo Diaz,56,6,5,1.3,4.53,COL,555000,No
Tyler Duffey,58,5,0,1.01,2.5,MIN,555000,No
Gregory Soto,34,0,0,1.86,5.78,DET,555000,No
Paul Fry,66,1,3,1.45,5.34,BAL,559000,No
Aroldis Chapman,60,3,37,1.11,2.21,NYY,17200000,No
Brandon Kintzler,62,3,1,1.03,2.68,CHC,5000000,No
Nick Margevicius,17,2,0,1.61,6.79,SD,555000,No
Reyes Moronta,56,3,0,1.31,2.86,SF,567500,No
Michael Feliz,58,4,0,1.26,3.99,PIT,850000,No
Hector Velazquez,34,1,0,1.53,5.43,BOS,568500,No
Oliver Drake,50,5,2,0.98,3.21,TB,566100,No
T.J. McFarland,51,0,0,1.63,4.82,ARI,1400000,No
Scott Oberg,49,6,5,1.11,2.25,COL,1300000,No
Amir Garrett,69,5,0,1.41,3.21,CIN,567500,No
Ryan Brasier,62,2,7,1.29,4.85,BOS,577500,No
Chris Martin,58,1,4,1.02,3.4,ATL,2250000,No
Cory Gearrin,66,1,0,1.45,4.07,NYY,1400000,Si
Robbie Erlin,37,0,0,1.57,5.37,SD,1450000,No
Richard Bleier,53,3,4,1.32,5.37,BAL,572500,No
Tyler Webb,65,2,1,1.02,3.76,STL,555000,No
Adam Kolarek,82,6,1,1.16,3.27,LAD,560800,No
Jace Fry,68,3,0,1.58,4.75,CHW,569000,No
Andrew Miller,73,5,6,1.32,4.45,STL,11500000,Si
Colten Brewer,58,1,0,1.7,4.12,BOS,557000,No
Brad Brach,59,5,0,1.62,5.47,NYM,555000,Si
Ryan Pressly,55,2,3,0.9,2.32,HOU,2900000,No
Ryne Harper,61,4,1,1.18,3.81,MIN,555000,No
Tony Watson,60,2,0,1.26,4.17,SF,7500000,No
Tyler Alexander,13,1,0,1.4,4.86,DET,555000,No
Anthony Swarzak,59,3,4,1.48,4.56,ATL,8500000,No
Ken Giles,55,2,23,1.0,1.87,TOR,6300000,No
Yoshihisa Hirano,62,5,1,1.38,4.76,ARI,3500000,No
Andrew Chafin,78,2,0,1.33,3.76,ARI,1945000,No
Trevor Gott,50,7,1,1.1,4.44,SF,567500,No
Taylor Cole,38,3,0,1.59,5.92,LAA,557500,No
Colin Poche,51,5,2,1.01,4.7,TB,555000,No
Kelvin Herrera,57,3,1,1.62,6.14,CHW,8500000,Si
Joe Kelly,55,5,1,1.38,4.56,LAD,3000000,Si
Matt Wisler,44,3,0,1.4,5.61,SEA,570000,No
Tim Mayza,68,1,0,1.4,4.91,TOR,568300,No
Chaz Roe,71,1,1,1.57,4.06,TB,1275000,No
Trey Wingenter,51,1,1,1.22,5.65,SD,557200,No
Manny Banuelos,16,3,0,1.84,6.93,CHW,559000,No
Matt Magill,50,5,5,1.4,4.09,SEA,560000,No
Mike Morin,52,1,1,1.11,4.62,PHI,555000,No
Evan Marshall,55,4,0,1.3,2.49,CHW,555000,No
Jarlin Garcia,53,4,0,1.11,3.02,MIA,555000,No
Roenis Elias,48,4,14,1.28,3.96,WSH,910000,No
Clay Holmes,35,1,0,1.62,5.58,PIT,555000,No
Andrew Kittredge,37,1,0,1.27,4.17,TB,555000,No
Tyler Kinley,52,3,1,1.6,3.65,MIA,555000,No
Kyle Crick,52,3,0,1.55,4.96,PIT,581500,No
Corbin Burnes,32,1,1,1.84,8.82,MIL,562800,No
Devin Smeltzer,12,2,1,1.26,3.86,MIN,555000,No
Brendan McKay,18,2,0,1.41,5.14,TB,555000,No
Luke Bard,32,3,0,1.1,4.78,LAA,575000,No
Ranger Suarez,37,6,0,1.32,3.14,PHI,555000,No
Daniel Poncedeleon,13,1,0,1.27,3.7,STL,555000,No
Carlos Martinez,48,4,24,1.18,3.17,STL,11700000,No
Tanner Rainey,52,2,0,1.45,3.91,WSH,555000,No
Anthony Bass,45,2,5,0.98,3.56,SEA,555000,No
Mitch Keller,11,1,0,1.83,7.13,PIT,555000,No
Fernando Rodney,55,0,2,1.62,5.66,WSH,5250000,No
Shawn Kelley,51,5,11,1.39,4.94,TEX,2562500,Si
Juan Nicasio,47,2,1,1.65,4.75,PHI,9250000,No
Brandon Brennan,44,3,0,1.23,4.56,SEA,575000,No
Josh Taylor,52,2,0,1.18,3.04,BOS,555000,No
Austin Pruitt,14,3,0,1.25,4.4,TB,555000,No
Justin Anderson,54,3,1,1.57,5.55,LAA,561500,No
Dylan Floro,50,5,0,1.29,4.24,LAD,565000,No
Casey Sadler,33,4,1,1.16,2.14,LAD,555000,No
Tayron Guerrero,52,1,0,1.7,6.26,MIA,565000,No
Ryan Buchter,64,1,0,1.43,2.98,OAK,1400000,No
Kolby Allard,9,4,0,1.57,4.96,TEX,555000,No
Nick Vincent,32,1,0,1.32,4.43,PHI,555000,No
Austin Brice,36,1,0,1.23,3.43,MIA,555000,No
Caleb Ferguson,46,1,0,1.48,4.84,LAD,560000,No
Blaine Hardy,39,1,0,1.15,4.47,DET,1300000,No
Austin Voth,9,2,0,1.05,3.3,WSH,556000,No
Lucas Sims,24,2,0,1.16,4.61,CIN,555000,No
Wade Davis,50,1,15,1.88,8.65,COL,18000000,No
Victor Alcantara,47,3,0,1.41,4.85,DET,559100,No
Pedro Strop,50,2,10,1.27,4.97,CHC,6250000,No
Touki Toussaint,24,4,0,1.68,5.62,ATL,555000,No
Cole Irvin,16,2,1,1.39,5.83,PHI,555000,No
Jake McGee,45,0,0,1.4,4.36,COL,8500000,No
Jonathan Holder,34,5,0,1.31,6.32,NYY,580300,No
Branden Kline,34,1,0,1.54,5.93,BAL,555000,No
Jose Urquidy,9,2,0,1.1,3.95,HOU,555000,No
Dominic Leone,40,1,1,1.5,5.53,STL,1260000,No
Ryan Weber,18,2,0,1.38,5.09,BOS,555000,No
Brian Johnson,22,1,0,1.88,6.03,BOS,575000,No
Anthony Gonsolin,11,4,1,1.02,2.93,LAD,555000,No
Jose Ruiz,40,1,0,2.0,5.63,CHW,555000,No
Heath Hembree,45,1,2,1.31,3.86,BOS,1312500,No
Wandy Peralta,47,1,0,1.41,5.67,SF,570000,No
Tim Hill,46,2,1,1.11,3.63,KC,573175,No
Justin Shafer,34,2,1,1.66,3.86,TOR,555000,No
Logan Webb,9,2,0,1.46,5.22,SF,555000,No
Patrick Sandoval,10,0,0,1.37,5.03,LAA,555000,No
Jeremy Hellickson,9,2,0,1.72,6.23,WSH,1900000,Si
Justin Wilson,45,4,4,1.33,2.54,NYM,5000000,Si
Edgar Garcia,37,2,0,1.64,5.77,PHI,555000,No
Jeff Brigham,32,3,1,1.3,4.46,MIA,555000,No
Jameson Taillon,7,2,0,1.13,4.1,PIT,587500,No
Jimmy Cordero,31,1,0,0.99,2.89,CHW,555000,No
Ryan Helsley,24,2,0,1.25,2.95,STL,555000,No
Jon Duplantier,15,1,1,1.55,4.42,ARI,555000,No
Justus Sheffield,8,0,0,1.72,5.5,SEA,555000,No
Alec Mills,9,1,1,1.17,2.75,CHC,555000,No
Jesus Tinoco,24,0,1,1.61,4.75,COL,555000,No
Corey Kluber,7,2,0,1.65,5.8,TEX,17700000,No
Alex Wood,7,1,0,1.4,5.8,CIN,9650000,No
Tyson Ross,7,1,0,1.67,6.11,DET,6000000,Si
Jose Cisnero,35,0,0,1.53,4.33,DET,555000,No
Geoff Hartlieb,29,0,0,2.0,9.0,PIT,555000,No
Carlos Rodon,7,3,0,1.44,5.19,CHW,4200000,No
Dustin May,14,2,0,1.1,3.64,LAD,555000,No
Brad Wieck,44,2,0,1.18,5.71,CHC,555000,No
Wes Parsons,32,1,0,1.76,5.45,COL,565000,No
David Phelps,41,2,1,1.4,3.41,CHC,2500000,Si
Robert Dugger,8,0,0,1.46,5.77,MIA,555000,No
Yency Almonte,28,0,0,1.56,5.56,COL,555000,No
Hector Santiago,19,1,0,1.9,6.68,CHW,555000,No
Kyle Barraclough,43,1,0,1.75,5.61,SF,1725000,No
Elvis Luciano,25,1,0,1.78,5.35,TOR,555000,No
Tim Melville,7,2,0,1.44,4.86,COL,555000,No
