Jugador,Juegos_2018,Wins_2018,Saves_2018,WHIP_2018,ERA_2018,Equipo_2018,Sueldo_2018
Andrew Suarez,29,7,0,1.3,4.49,SF,545000
Clayton Richard,28,7,0,1.38,5.33,SD,3500000
Chris Sale,27,12,0,0.86,2.11,BOS,12515000
Chase Anderson,31,10,0,1.19,3.93,MIL,4750000
Masahiro Tanaka,27,12,0,1.13,3.75,NYY,22000000
Felix Hernandez,29,7,0,1.4,5.55,SEA,26857142
Danny Duffy,28,8,0,1.49,4.88,KC,14000000
Matt Harvey,32,7,0,1.3,4.94,CIN,5625000
Noah Syndergaard,25,13,0,1.21,3.03,NYM,2975000
Steven Matz,30,5,0,1.25,3.97,NYM,577000
Alex Wood,33,9,0,1.21,3.68,LAD,6000000
Jack Flaherty,31,8,0,1.11,3.34,STL,545000
Tyson Ross,34,7,0,1.3,4.15,STL,2700000
Chris Archer,27,6,0,1.38,4.31,PIT,6416666
Ryan Yarbrough,38,16,0,1.29,3.91,TB,545000
Vincent Velasquez,32,9,0,1.34,4.85,PHI,559000
Bartolo Colon,29,7,0,1.35,5.78,TEX,2450000
Sal Romano,39,8,0,1.43,5.31,CIN,545000
Chris Stratton,28,10,0,1.43,5.09,SF,552500
Marco Estrada,28,7,0,1.43,5.64,TOR,13000000
Junior Guerra,31,6,0,1.4,4.09,MIL,545000
Brad Keller,41,9,0,1.3,3.08,KC,545000
Walker Buehler,24,8,0,0.96,2.62,LAD,545000
Luke Weaver,35,8,0,1.5,4.95,STL,550800
Wei-Yin Chen,27,6,0,1.34,4.79,MIA,10000000
Rich Hill,25,11,0,1.12,3.66,LAD,16666666
Michael Fulmer,24,3,0,1.32,4.69,DET,575200
Jordan Zimmermann,25,7,0,1.26,4.52,DET,24000000
Sonny Gray,30,11,0,1.5,4.9,NYY,6500000
Stephen Strasburg,22,10,0,1.2,3.74,WSH,18333333
Joey Lucchesi,26,8,0,1.29,4.09,SD,545000
Madison Bumgarner,22,6,0,1.24,3.26,SF,12000000
Eduardo Rodriguez,27,13,0,1.26,3.82,BOS,2375000
Jaime Barria,26,10,0,1.27,3.41,LAA,545000
Lance McCullers,25,10,0,1.17,3.86,HOU,2450000
Zach Eflin,25,11,0,1.3,4.36,PHI,545000
Jason Hammel,40,5,0,1.63,6.02,KC,9000000
Trevor Richards,26,4,0,1.38,4.42,MIA,545000
Tyler Skaggs,24,8,0,1.33,4.02,LAA,1875000
Kenta Maeda,41,8,2,1.26,3.81,LAD,6125000
Mike Montgomery,39,5,0,1.37,3.99,CHC,611250
Robbie Ray,25,6,0,1.35,3.93,ARI,3950000
Sam Gaviglio,26,3,0,1.44,5.31,TOR,545000
Dan Straily,26,5,0,1.3,4.12,MIA,3375000
Ross Stripling,36,8,0,1.19,3.03,LAD,555000
Dylan Covey,27,5,0,1.49,5.18,CHW,545000
Carlos Rodon,20,6,0,1.26,4.18,CHW,2300000
Chad Bettis,27,5,0,1.4,5.01,COL,2000000
Ian Kennedy,22,3,0,1.38,4.66,KC,16000000
Carlos Martinez,34,8,5,1.35,3.11,STL,11700000
Ty Blach,50,6,0,1.47,4.25,SF,565000
Dereck Rodriguez,21,6,0,1.13,2.81,SF,545000
Daniel Mengden,22,7,0,1.12,4.05,OAK,547500
Joe Musgrove,20,6,0,1.18,4.06,PIT,571000
Anthony DeSclafani,21,7,0,1.29,4.93,CIN,860000
John Gant,28,7,0,1.3,3.47,STL,545000
Eric Lauer,23,6,0,1.54,4.34,SD,545000
Tyler Mahle,24,7,0,1.59,4.98,CIN,545000
Tyler Glasnow,45,2,0,1.27,4.27,TB,556500
Nathan Eovaldi,24,7,0,1.13,3.81,BOS,2000000
Robbie Erlin,40,4,0,1.14,4.21,SD,650000
Homer Bailey,20,1,0,1.64,6.09,CIN,21000000
Aaron Sanchez,20,4,0,1.56,4.89,TOR,2700000
David Hess,21,3,0,1.38,4.88,BAL,545000
Marcus Stroman,19,3,0,1.48,5.54,TOR,6500000
Matt Moore,39,3,0,1.66,6.79,TEX,9000000
Hector Santiago,49,6,2,1.59,4.5,CHW,2000000
Seth Lugo,55,3,3,1.08,2.66,NYM,564000
Brent Suter,21,8,0,1.19,4.44,MIL,556500
Brian Johnson,38,4,0,1.43,4.17,BOS,548000
Ryan Borucki,17,4,0,1.32,3.87,TOR,545000
Felix Pena,19,3,0,1.24,4.18,LAA,545000
Edwin Jackson,17,6,0,1.22,3.33,OAK,1500000
Steven Brault,46,6,0,1.54,4.62,PIT,557000
Jeremy Hellickson,19,5,0,1.07,3.45,WSH,2000000
Antonio Senzatela,23,6,0,1.37,4.38,COL,545000
Yonny Chirinos,18,4,0,1.22,3.51,TB,545000
Matt Koch,19,5,0,1.27,4.15,ARI,545000
Miguel Castro,63,2,0,1.45,3.96,BAL,553000
Blaine Hardy,30,4,1,1.17,3.56,DET,795000
Domingo German,21,2,0,1.33,5.57,NYY,548225
Martin Perez,22,2,0,1.78,6.22,TEX,6000000
Chad Kuhl,18,5,0,1.43,4.55,PIT,570500
Hector Velazquez,48,7,0,1.45,3.18,BOS,547000
Michael Wacha,15,8,0,1.23,3.2,STL,5300000
Mike Wright,48,4,0,1.63,5.55,BAL,553500
Noe Ramirez,69,7,1,1.26,4.54,LAA,548500
Hyun-Jin Ryu,16,7,0,1.01,1.97,LAD,7833333
Heath Fillmyer,17,4,0,1.34,4.26,KC,545000
Josh Hader,55,6,12,0.81,2.43,MIL,556500
Michael Lorenzen,55,4,1,1.38,3.11,CIN,1312500
Wade Miley,16,5,0,1.22,2.57,MIL,2500000
Brett Anderson,17,4,0,1.28,4.48,OAK,4000000
Blake Treinen,68,9,38,0.83,0.78,OAK,2150000
Robert Gsellman,69,6,13,1.3,4.28,NYM,562375
Brandon McCarthy,15,6,0,1.46,4.92,ATL,11500000
Matt Andriese,41,3,0,1.39,5.26,ARI,558400
Freddy Peralta,16,6,0,1.14,4.25,MIL,545000
Burch Smith,38,1,0,1.67,6.92,KC,552400
Adam Ottavino,75,6,6,0.99,2.43,COL,7000000
Jordan Hicks,73,3,6,1.34,3.59,STL,545000
Caleb Smith,16,5,0,1.24,4.19,MIA,1090000
Jeremy Jeffress,73,8,15,0.99,1.29,MIL,2300000
Mychal Givens,69,0,9,1.19,3.99,BAL,566500
Garrett Richards,16,5,0,1.28,3.66,LAA,7300000
Nicholas Tropeano,14,5,0,1.3,4.74,LAA,545000
Nick Kingham,18,5,0,1.38,5.21,PIT,545000
Brian Flynn,48,3,1,1.61,4.04,KC,573500
Chad Green,63,8,0,1.04,2.5,NYY,570800
Austin Gomber,29,6,0,1.51,4.44,STL,545000
Drew Pomeranz,26,2,0,1.77,6.08,BOS,8500000
Lou Trivino,69,8,4,1.13,2.92,OAK,545000
Brad Ziegler,82,2,10,1.3,3.91,ARI,9000000
Edwin Diaz,73,0,57,0.79,1.96,SEA,570800
Bryan Mitchell,16,2,0,1.75,5.43,SD,552800
Trevor Hildenberger,73,4,7,1.38,5.43,MIN,555000
Collin McHugh,58,6,0,0.91,1.99,HOU,5000000
Jeurys Familia,70,8,18,1.22,3.13,OAK,7925000
T.J. McFarland,47,2,1,1.19,2.0,ARI,850000
Raisel Iglesias,66,2,30,1.07,2.38,CIN,5214285
Joseph Biagini,50,4,0,1.67,6.0,TOR,545000
Kevin McCarthy,65,5,0,1.25,3.25,KC,554250
Kenley Jansen,69,1,38,0.99,3.01,LAD,11333333
Archie Bradley,76,4,3,1.14,3.64,ARI,581900
Ryan Pressly,77,2,2,1.11,2.54,HOU,1600000
Sam Dyson,74,4,3,1.08,2.69,SF,4425000
Felipe Vazquez,70,4,37,1.24,2.7,PIT,3000000
Eric Skoglund,14,1,0,1.21,5.14,KC,545000
David Robertson,69,8,5,1.03,3.23,NYY,13000000
Austin Pruitt,23,2,4,1.26,4.65,TB,545000
Buck Farmer,66,3,0,1.56,4.15,DET,554800
Richard Rodriguez,63,4,0,1.07,2.47,PIT,545000
Tyler Clippard,73,4,6,1.16,3.67,TOR,1500000
Alexander Claudio,66,4,1,1.52,4.48,TEX,568450
Taylor Rogers,72,1,2,0.95,2.63,MIN,565000
Alex Colome,70,7,12,1.18,3.04,SEA,5300000
Dellin Betances,66,4,4,1.05,2.7,NYY,5100000
Blake Parker,67,2,15,1.24,3.26,LAA,1800000
Ryne Stanek,59,2,0,1.09,2.99,TB,545000
Edgar Santana,69,3,0,1.1,3.26,PIT,556500
Yoshihisa Hirano,75,4,3,1.09,2.44,ARI,3000000
Scott Alexander,73,2,3,1.27,3.68,LAD,550000
Zach Davies,13,2,0,1.33,4.77,MIL,572000
Jarlin Garcia,29,3,0,1.32,4.91,MIA,555000
Jonathan Holder,60,1,0,1.09,3.14,NYY,553850
Joe Kelly,73,4,2,1.36,4.39,BOS,3825000
Elieser Hernandez,32,2,0,1.45,5.21,MIA,1090000
Yefry Ramirez,17,1,0,1.53,5.92,BAL,545000
Brad Peacock,61,3,3,1.17,3.46,HOU,2440000
Frankie Montas,13,4,0,1.46,3.88,OAK,545000
Jacob Faria,17,4,0,1.43,5.4,TB,555000
Reyes Moronta,69,5,1,1.09,2.49,SF,545000
Ryan Tepera,68,5,7,1.22,3.62,TOR,574700
Drew Steckenrider,71,4,5,1.27,3.9,MIA,1090000
Corey Oswalt,17,3,0,1.38,5.85,NYM,545000
Cam Bedrosian,71,5,1,1.39,3.8,LAA,1100000
Dylan Floro,54,6,0,1.25,2.25,LAD,545000
Jose Alvarado,70,1,8,1.11,2.39,TB,549800
Jesse Biddle,60,6,1,1.27,3.11,ATL,545000
Jim Johnson,62,5,2,1.36,3.84,LAA,5000000
Shane Greene,67,5,33,1.37,5.12,DET,1950000
Jose Alvarez,76,6,1,1.16,2.71,LAA,1050000
Kirby Yates,65,5,12,0.92,2.14,SD,1062500
Shane Carle,53,4,1,1.22,2.86,ATL,555000
Amir Garrett,66,1,0,1.29,4.29,CIN,545000
Brad Brach,69,2,12,1.6,3.59,ATL,5165000
Joe Jimenez,69,6,4,1.2,4.31,DET,547200
Craig Kimbrel,63,5,42,1.0,2.74,BOS,13050000
Emilio Pagan,55,3,0,1.19,4.36,OAK,545000
Alex Wilson,59,2,0,1.05,3.36,DET,1925000
Matt Barnes,62,6,0,1.26,3.65,BOS,605000
Matthew Strahm,42,3,0,0.98,2.05,SD,552700
A.J. Minter,65,4,15,1.29,3.23,ATL,555000
Joakim Soria,66,3,16,1.14,3.12,MIL,9000000
Daniel Winkler,69,4,2,1.19,3.43,ATL,610000
Kyle Crick,64,3,2,1.13,2.39,PIT,545000
Heath Hembree,67,4,0,1.33,4.2,BOS,581500
Pedro Strop,61,6,13,0.99,2.26,CHC,5850000
Matt Grace,56,1,0,1.14,2.87,WSH,557000
Victor Arano,60,1,3,1.2,2.73,PHI,545500
Scott Oberg,57,8,0,0.97,2.46,COL,555000
Pablo Lopez,12,2,0,1.26,4.14,MIA,545000
Tayron Guerrero,60,1,0,1.62,5.43,MIA,545000
Seranthony Dominguez,53,2,16,0.93,2.95,PHI,545000
Jose Leclerc,59,2,12,0.85,1.56,TEX,552300
Cory Gearrin,62,2,1,1.34,3.77,OAK,1675000
Will Harris,61,5,0,1.09,3.49,HOU,2800000
Matt Magill,40,3,0,1.43,3.81,MIN,545000
Diego Castillo,43,3,0,0.95,3.18,TB,545000
Nick Vincent,62,4,0,1.15,3.99,SEA,2750000
Drew VerHagen,41,3,0,1.15,4.63,DET,551400
Pedro Baez,55,3,0,1.23,2.88,LAD,1500000
Paul Sewald,47,0,3,1.51,6.07,NYM,553250
Jorge De La Rosa,61,0,1,1.39,3.38,CHC,545000
Hansel Robles,53,2,2,1.39,3.7,LAA,900000
Kyle Barraclough,61,1,10,1.33,4.2,MIA,1113000
Corey Knebel,57,4,16,1.08,3.58,MIL,3650000
Justin Anderson,57,3,4,1.48,4.07,LAA,545000
John Axford,50,4,0,1.35,5.27,LAD,1500000
Justin Wilson,71,4,0,1.43,3.46,CHC,4250000
Chris Rusin,49,2,0,1.5,6.09,COL,1287500
Ariel Jurado,12,5,0,1.54,5.93,TEX,545000
Steven Wright,20,3,1,1.25,2.68,BOS,1100000
Jorge Lopez,17,2,0,1.47,5.03,KC,545000
Chasen Bradford,46,5,0,1.29,3.69,SEA,545000
Jake Diekman,71,1,2,1.5,4.73,ARI,2712500
Brad Boxberger,60,3,32,1.42,4.39,ARI,1850000
Tanner Scott,53,3,0,1.56,5.4,BAL,545000
Johnny Cueto,9,3,0,1.11,3.23,SF,21000000
Will Smith,54,2,14,0.98,2.55,SF,2500000
Taylor Williams,56,1,0,1.47,4.25,MIL,545000
Ryan Madson,58,2,4,1.4,5.47,LAD,7916668
Chasen Shreve,60,3,1,1.52,3.93,STL,825000
Justin Miller,51,7,2,1.13,3.61,WSH,545000
Zach Duke,72,5,0,1.5,4.15,SEA,3650000
C.J. Edwards,59,3,0,1.31,2.6,CHC,594000
Keone Kela,54,3,24,1.1,3.29,PIT,1200000
Jefry Rodriguez,14,3,0,1.54,5.71,WSH,545000
Adam Warren,47,3,0,1.32,3.14,SEA,3315000
Mike Mayers,50,2,1,1.43,4.7,STL,545000
Shohei Ohtani,114,4,0,1.16,3.31,LAA,545000
Aroldis Chapman,55,3,32,1.05,2.46,NYY,17200000
Louis Coleman,51,4,0,1.3,3.51,DET,545000
Jace Fry,59,2,4,1.11,4.38,CHW,545000
Roenis Elias,23,3,0,1.22,2.65,SEA,598000
Adam Conley,52,3,3,1.09,4.09,MIA,545000
John Brebbia,45,3,2,1.16,3.2,STL,552000
Jalen Beeks,14,5,0,1.5,5.51,TB,545000
Sam Freeman,63,3,0,1.45,4.29,ATL,1075000
Chaz Roe,61,1,1,1.01,3.58,TB,720000
Ken Giles,55,0,26,1.21,4.65,TOR,4600000
Erick Fedde,11,2,0,1.53,5.54,WSH,545000
James Pazos,60,4,0,1.24,2.88,SEA,553900
Eddie Butler,30,2,2,1.57,5.62,TEX,570750
Andrew Chafin,77,1,0,1.34,3.1,ARI,1195000
Adam Morgan,68,0,1,1.44,3.83,PHI,560000
Shawn Kelley,54,2,0,0.9,2.94,OAK,5600000
Caleb Ferguson,30,7,2,1.12,3.49,LAD,545000
Jacob Barnes,49,0,2,1.52,3.33,MIL,558900
A.J. Cole,32,4,0,1.59,6.15,NYY,555300
Oliver Drake,44,1,0,1.45,5.29,MIN,554300
Chris Bassitt,11,2,0,1.24,3.02,OAK,545000
Michael Feliz,47,1,0,1.51,5.66,PIT,575500
Hector Neris,53,1,11,1.3,5.1,PHI,582500
Wander Suero,40,4,0,1.22,3.59,WSH,545000
Chris Devenski,50,2,2,1.16,4.18,HOU,599200
Phil Maton,45,0,0,1.54,4.37,SD,548700
Juan Minaya,52,2,1,1.46,3.28,CHW,558000
Randy Rosario,44,4,1,1.48,3.66,CHC,545000
Daniel Hudson,40,3,0,1.22,4.11,LAD,545000
Luis Garcia,59,3,1,1.46,6.07,PHI,1200000
Erasmo Ramirez,10,2,0,1.4,6.5,SEA,4200000
Jake Petricka,41,3,0,1.64,4.53,TOR,1300000
Tim Hill,70,1,2,1.31,4.53,KC,545000
Luis Avilan,71,2,2,1.37,3.77,PHI,2450000
Hunter Strickland,49,3,15,1.41,3.97,SF,1550000
Wandy Peralta,59,2,0,1.96,5.36,CIN,557500
Sean Doolittle,43,3,25,0.6,1.6,WSH,4380000
Austin Bibens-Dirkx,13,2,0,1.56,6.2,TEX,545000
Luis Perdomo,12,1,0,1.88,7.05,SD,566800
Jeff Samardzija,10,1,0,1.63,6.25,SF,19800000
Luis Cessa,16,1,2,1.43,5.24,NYY,568925
Harrison Musgrave,35,2,0,1.3,4.63,COL,545000
Kelvin Herrera,48,2,17,1.2,2.44,WSH,7937500
Daniel Norris,11,0,0,1.47,5.68,DET,561400
Wilmer Font,19,2,0,1.41,5.93,TB,550000
Pierce Johnson,37,3,0,1.37,5.57,SF,545000
Cody Reed,17,1,0,1.39,3.98,CIN,545000
Thomas Pannone,12,4,0,1.21,4.19,TOR,545000
Jerry Blevins,65,4,1,1.36,4.85,NYM,7000000
Edubray Ramos,52,3,1,1.15,2.32,PHI,554000
Jacob Nix,9,2,0,1.53,7.02,SD,545000
Brandon Woodruff,19,3,1,1.18,3.61,MIL,550100
Chris Martin,46,1,0,1.22,4.54,TEX,1750000
Brandon Workman,43,6,0,1.21,3.27,BOS,835000
Andrew Triggs,9,3,0,1.33,5.23,OAK,550000
Josh Fields,45,2,2,0.95,2.2,LAD,2200000
Danny Barnes,47,3,0,1.68,5.71,TOR,561600
Hunter Wood,31,1,0,1.46,3.73,TB,545000
Zack Britton,41,2,7,1.23,3.1,NYY,12000000
Luke Jackson,35,1,1,1.52,4.43,ATL,545000
Adam Wainwright,8,2,0,1.46,4.46,STL,19500000
Matt Wisler,18,1,0,1.2,4.28,CIN,545000
Jimmy Yacabonis,12,0,0,1.45,5.4,BAL,545000
Aaron Loup,59,0,0,1.56,4.54,PHI,1812500
Robert Stock,32,1,0,1.26,2.5,SD,545000
Ryan Buchter,54,6,0,1.2,2.75,OAK,555000
Sammy Solis,56,1,0,1.55,6.41,WSH,560300
Mark Melancon,41,1,3,1.59,3.23,SF,20000000
Odrisamer Despaigne,19,2,0,1.82,6.69,LAA,1090000
Tony Sipp,54,3,0,1.03,1.86,HOU,6000000
Artie Lewicki,13,0,0,1.6,4.89,DET,545000
Arodys Vizcaino,39,2,16,1.17,2.11,ATL,3400000
Daniel Stumpf,56,1,0,1.57,4.93,DET,552000
Jackson Stephens,29,2,0,1.7,4.93,CIN,545000
Glenn Sparkman,15,0,0,1.62,4.46,KC,545000
Andrew Kittredge,33,3,0,1.85,7.75,TB,548100
Jose Castillo,37,3,0,0.91,3.29,SD,545000
Roberto Osuna,38,2,21,0.97,2.37,HOU,5300000
Deck McGuire,21,0,0,1.68,6.16,LAA,545000
Corbin Burnes,30,7,1,1.0,2.61,MIL,545000
Paul Fry,35,1,2,1.27,3.35,BAL,545000
Sam Tuivailala,36,4,0,1.43,3.41,SEA,554600
Framber Valdez,8,4,0,1.24,2.19,HOU,545000
Erik Goeddel,31,3,0,1.25,2.95,LAD,545000
Kohl Stewart,8,2,0,1.42,3.68,MIN,545000
Gabriel Moya,35,3,0,1.32,4.71,MIN,545000
Taylor Cole,18,4,0,0.89,2.75,LAA,545000
Yacksel Rios,36,3,0,1.61,6.75,PHI,545000
Tim Mayza,37,2,0,1.32,3.28,TOR,545000
Drew Rucinski,32,4,0,1.33,4.33,MIA,545000
Kazuhisa Makita,27,0,0,1.26,5.4,SD,1900000
Austin Davis,32,1,0,1.36,4.15,PHI,545000
Matt Belisle,33,1,0,1.75,7.86,MIN,545000
Jonny Venters,50,5,3,1.22,3.67,ATL,545000
Kendall Graveman,7,1,0,1.66,7.6,OAK,2360000
Adam Kolarek,31,1,2,1.25,3.93,TB,545000
Sandy Alcantara,6,1,0,1.41,3.44,MIA,545000
Ryan Brasier,34,2,0,0.77,1.6,BOS,545000
Nick Wittgren,32,2,0,1.31,2.94,MIA,545000
Max Fried,14,1,0,1.37,2.94,ATL,545000
Xavier Cedeno,48,2,1,1.26,2.43,MIL,1050000
Sean Reid-Foley,7,2,0,1.56,5.13,TOR,545000
Brett Graves,21,1,1,1.59,5.4,MIA,1090000
Vidal Nuno,17,3,0,1.03,1.64,TB,545000
Daniel Poncedeleon,12,0,1,1.12,2.73,STL,545000
Brett Cecil,40,1,0,1.96,6.89,STL,7750000
Richard Bleier,31,3,0,1.22,1.93,BAL,556000
J.T. Chargois,39,2,0,1.27,3.34,LAD,550000
Jacob Rhame,30,1,1,1.42,5.85,NYM,545650
Tyler Bashlor,24,0,0,1.19,4.22,NYM,545000
Jeffrey Springs,18,1,0,1.44,3.38,TEX,545000
Aaron Bummer,37,0,0,1.58,4.26,CHW,549000
Brandon Maurer,37,0,1,2.14,7.76,KC,2950000
Matt Shoemaker,7,2,0,1.26,4.94,LAA,4125000
Silvino Bracho,31,2,0,1.19,3.19,ARI,545000
Jaime Schultz,22,2,0,1.15,5.64,TB,545000
Nate Jones,33,2,5,1.43,3.0,CHW,3950000
Victor Alcantara,27,1,0,1.03,2.4,DET,545000
Touki Toussaint,8,2,0,1.35,4.03,ATL,545000
Junichi Tazawa,31,1,0,1.82,7.07,LAA,545000
Drew Smith,27,1,0,1.43,3.54,NYM,545000
Pedro Araujo,20,1,0,1.68,7.71,BAL,545000
Yohander Mendez,8,2,0,1.55,5.53,TEX,545000
Paul Blackburn,6,2,0,1.41,7.16,OAK,547500
Tim Peterson,22,2,0,1.23,6.18,NYM,545000
Dakota Hudson,26,4,0,1.35,2.63,STL,545000
Jordan Montgomery,6,2,0,1.35,3.62,NYY,580450
Sean Gilmartin,12,1,0,1.26,3.0,BAL,545000
Dovydas Neverauskas,25,0,0,1.48,8.0,PIT,557500
Brett Kennedy,6,1,0,1.8,6.75,SD,545000
Clay Holmes,11,1,0,2.01,6.84,PIT,545000
Michael Soroka,5,2,0,1.44,3.51,ATL,545000
Trevor May,24,4,3,1.03,3.2,MIN,650000
Ryan Dull,28,0,0,1.14,4.26,OAK,555000
Alan Busenitz,23,4,0,2.01,7.82,MIN,545000
Jeanmar Gomez,26,0,0,1.56,4.68,CHW,545000
Tyler Duffey,19,2,0,1.2,7.2,MIN,545000
Ervin Santana,5,0,0,1.62,8.03,MIN,13500000
Stephen Gonsalves,7,2,0,2.03,6.57,MIN,545000
Jonathan Loaisiga,9,2,0,1.54,5.11,NYY,545000
Daniel Gossett,5,0,0,1.36,5.18,OAK,547500
Liam Hendriks,25,0,0,1.46,4.13,OAK,1900000
Tyler Thornburg,25,2,0,1.58,5.63,BOS,2050000
Dominic Leone,30,1,0,1.46,4.5,STL,1085000
Casey Kelly,7,0,0,1.39,3.04,SF,545000
Tommy Kahnle,24,2,1,1.63,6.56,NYY,1312500
Ray Black,26,2,0,1.16,6.17,SF,545000
Casey Lawrence,11,1,0,1.63,7.33,SEA,545000
Mark Leiter Jr.,20,0,0,2.01,7.71,TOR,549500
Matt Bush,21,0,0,1.61,4.7,TEX,555950
Adrian Sampson,5,0,0,1.22,4.3,TEX,545000
Josh James,6,2,0,0.96,2.35,HOU,545000
Tim Collins,38,0,0,1.54,4.37,WSH,545000
Tony Cingrani,30,1,0,1.1,4.77,LAD,2300000
Yimi Garcia,25,1,0,1.48,5.64,LAD,630000
Adalberto Mejia,5,2,0,1.16,2.02,MIN,545000
Bobby Poyner,20,1,0,1.12,3.22,BOS,545000
Zac Reininger,18,1,0,1.73,7.59,DET,545000
Ryan Meisinger,18,2,0,1.33,6.43,BAL,545000
Tyler Webb,22,0,0,1.52,4.43,STL,545000
Zack Littell,8,0,0,1.77,6.2,MIN,545000
Darren O'Day,20,0,2,1.1,3.6,ATL,9000000
A.J. Ramos,28,2,0,1.63,6.41,NYM,9225000
Luiz Gohara,9,0,1,1.22,5.95,ATL,555000
Donnie Hart,20,0,0,2.22,5.59,BAL,552500
Jimmy Cordero,22,1,0,1.84,5.68,WSH,545000
Enyel De Los Santos,7,1,0,1.42,4.74,PHI,545000
Ben Meyer,13,0,0,2.11,10.42,MIA,545000
Trey Wingenter,22,0,0,1.26,3.79,SD,545000
Miguel Diaz,11,1,0,1.5,4.82,SD,545000
Alec Mills,7,0,0,1.0,4.0,CHC,545000
Brock Stewart,9,0,0,1.81,6.11,LAD,545000
Chase De Jong,4,1,0,1.36,3.57,MIN,545000
Keynan Middleton,16,0,6,1.3,2.04,LAA,551000
Thyago Vieira,16,1,1,1.7,7.13,CHW,545000
Michael Dunn,25,0,0,2.35,9.0,COL,7000000
Ryan Cook,19,2,0,1.29,5.29,SEA,545000
William Cuevas,9,0,0,1.82,7.41,BOS,545000
Cody Carroll,15,0,0,2.0,9.0,BAL,545000
J.B. Wendelken,13,0,0,0.78,0.54,OAK,545000
Spencer Turnbull,4,0,0,1.29,6.06,DET,545000
Zac Curtis,15,0,0,1.9,4.96,TEX,545000
Koda Glover,22,1,1,1.41,3.31,WSH,551700
Jimmie Sherfy,15,0,0,1.1,1.65,ARI,545000
Ty Buttrey,16,0,4,1.22,3.31,LAA,545000
Jeff Brigham,4,0,0,1.78,6.06,MIA,545000
Shelby Miller,5,0,0,2.0,10.69,ARI,4900000
Joe Ross,3,0,0,1.31,5.06,WSH,567900
Lucas Sims,9,0,0,1.79,7.47,CIN,545000
Williams Jerez,17,0,0,1.67,6.0,LAA,545000
Ranger Suarez,4,1,0,1.8,5.4,PHI,545000
Shawn Armstrong,14,0,1,0.82,1.23,SEA,545000
