Jugador,Juegos_2013,Wins_2013,Saves_2013,WHIP_2013,ERA_2013,Equipo_2013,Sueldo_2013
Luis Garcia,24,1,0,1.6,3.73,PHI,490000
Brad Brach,33,1,0,1.77,3.19,SD,498200
Andrew Miller,37,1,0,1.37,2.64,BOS,1475000
Jeff Manship,11,0,0,1.6,7.04,COL,490000
Johnny Hellweg,8,1,0,2.15,6.75,MIL,490000
Brandon Cumpton,6,2,0,1.01,2.05,PIT,490000
Allen Webster,8,1,0,1.81,8.6,BOS,490000
Brandon Beachy,5,2,0,1.03,4.5,ATL,510000
James McDonald,8,2,0,1.65,5.76,PIT,3025000
Louis Coleman,27,3,0,0.84,0.61,KC,511000
Jake Odorizzi,7,0,1,1.21,3.94,TB,490000
Luke Putkonen,30,1,0,1.32,3.03,DET,490000
Donnie Veal,50,2,0,1.43,4.6,CHW,497500
Andrew Bailey,30,3,8,1.22,3.77,BOS,4100000
Josh Edgin,34,1,1,1.33,3.77,NYM,493500
Bruce Rondon,30,1,1,1.36,3.45,DET,490000
Carlos Martinez,21,2,1,1.41,5.08,STL,490000
Mike Kickham,12,0,0,1.98,10.17,SF,490000
Fernando Salas,27,0,0,1.18,4.5,STL,512000
Alex Wilson,26,1,0,1.74,4.88,BOS,490000
Erik Johnson,5,3,0,1.55,3.25,CHW,490000
Josh Zeid,25,0,1,1.37,3.9,HOU,490000
Rob Wooten,27,3,0,1.26,3.9,MIL,490000
Matt Reynolds,30,0,2,1.1,1.98,ARI,505500
Jenrry Mejia,6,1,0,1.17,2.31,NYM,494925
Hector Noesi,12,0,0,1.98,6.59,SEA,490000
Ian Krol,32,2,0,1.28,3.95,WSH,490000
Evan Scribner,18,0,0,1.24,4.39,OAK,495000
Collin McHugh,7,0,0,1.92,10.04,COL,490000
Dustin McGowan,25,0,0,1.21,2.46,TOR,1500000
Sergio Santos,29,1,1,0.58,1.75,TOR,2750000
Franklin Morales,20,2,0,1.54,4.62,BOS,1487500
Gavin Floyd,5,0,0,1.6,5.18,CHW,9500000
Danny Duffy,5,2,0,1.36,1.85,KC,505125
J.C. Ramirez,18,0,0,1.88,7.5,PHI,490000
James Paxton,4,3,0,0.92,1.5,SEA,490000
Curtis Partch,14,0,0,1.46,6.17,CIN,490000
Michael Fiers,11,1,0,1.52,7.25,MIL,498000
Chaz Roe,21,1,0,1.39,4.03,ARI,490000
Michael Kirkman,25,0,1,2.32,8.18,TEX,495800
Brad Boxberger,18,0,1,1.46,2.86,SD,492300
Drew Pomeranz,8,0,0,2.03,6.23,COL,490000
Cory Rasmus,19,1,0,1.71,5.4,LAA,490000
Josh Lueke,19,0,0,1.64,5.06,TB,490000
Rhiner Cruz,20,0,0,1.69,3.38,HOU,498000
Drake Britton,19,1,0,1.33,3.86,BOS,490000
Brad Hand,7,1,0,1.02,3.05,MIA,490000
Kevin Chapman,25,1,1,1.28,1.77,HOU,490000
Joe Savery,18,2,0,1.3,3.15,PHI,490000
Vidal Nuno,5,1,0,1.1,2.25,NYY,490000
B.J. Rosenberg,22,2,1,1.48,4.58,PHI,490000
Brandon Gomes,26,3,0,1.29,6.52,TB,490000
Jake Petricka,16,1,0,1.55,3.26,CHW,490000
Eric O'Flaherty,19,3,0,0.94,2.5,ATL,4320000
Brian Flynn,4,0,0,2.22,8.5,MIA,490000
Michael Blazek,18,0,0,1.67,5.71,MIL,490000
Cesar Jimenez,19,1,0,1.41,3.71,PHI,490000
Vic Black,18,3,1,1.35,3.71,NYM,490000
Colt Hynes,22,0,0,2.0,9.0,SD,490000
Alex Colome,3,1,0,1.44,2.25,TB,490000
Steve Johnson,9,1,0,1.72,7.47,BAL,495000
Charlie Leesman,8,0,0,2.09,7.04,CHW,490000
Yordano Ventura,3,0,0,1.24,3.52,KC,490000
Buddy Boshers,25,0,0,1.37,4.7,LAA,490000
Taijuan Walker,3,1,0,1.0,3.6,SEA,490000
Eury De La Rosa,19,0,0,1.23,7.36,ARI,490000
Brooks Raley,9,0,0,1.36,5.14,CHC,490000
Steven Wright,4,2,0,1.58,5.4,BOS,490000
Arquimedes Caminero,13,0,0,1.0,2.77,MIA,490000
Xavier Cedeno,16,0,0,1.87,6.57,WSH,495900
Sam Freeman,13,1,0,1.05,2.19,STL,490000
Chad Billingsley,2,1,0,1.42,3.0,LAD,11000000
Kyuji Fujikawa,12,1,2,1.08,5.25,CHC,4500000
Jose Ortega,11,0,0,1.37,3.86,DET,490000
Rubby De La Rosa,11,0,0,1.5,5.56,BOS,493500
Daniel Webb,9,0,0,1.15,3.18,CHW,490000
David Martinez,4,1,0,1.68,7.15,HOU,490000
Michael Tonkin,9,0,0,1.06,0.79,MIN,490000
Sam Dyson,5,0,0,1.91,9.0,MIA,490000
Matt Harrison,2,0,0,1.97,8.44,TEX,5200000
Jeurys Familia,9,0,1,1.97,4.22,NYM,491750
Bobby LaFromboise,10,0,0,1.5,5.91,SEA,490000
Sean Marshall,16,0,0,0.58,1.74,CIN,4500000
Jeremy Jeffress,10,1,0,1.26,0.87,TOR,495900
Pedro Beato,10,1,0,1.4,3.6,BOS,490000
Jorge De Leon,11,0,0,1.9,5.4,HOU,490000
Jimmy Nelson,4,0,0,0.7,0.9,MIL,490000
Stolmy Pimentel,5,0,0,0.86,1.93,PIT,490000
Chris Hatcher,7,0,0,1.96,12.46,MIA,490000
Tom Layne,14,0,0,1.73,2.08,SD,491300
Erik Davis,10,1,0,1.27,3.12,WSH,490000
Francisley Bueno,7,1,0,0.72,0.0,KC,492650
Jose Dominguez,9,0,0,1.68,2.16,LAD,490000
Heath Hembree,9,0,0,0.78,0.0,SF,490000
Stephen Pryor,7,0,0,0.55,0.0,SEA,492200
Zac Rosscup,10,0,0,1.5,1.35,CHC,490000
Frank Francisco,8,1,1,1.11,4.26,NYM,6500000
Dellin Betances,6,0,0,2.2,10.8,NYY,490000
Rafael Dolis,5,0,0,1.0,0.0,CHC,490000
Matt Shoemaker,1,0,0,0.8,0.0,LAA,490000
Neftali Feliz,6,0,0,1.5,0.0,TEX,2900000
Enny Romero,1,0,0,1.07,0.0,TB,490000
Nick Christiani,3,0,0,1.0,2.25,CIN,490000
Cesar Cabral,8,0,0,1.09,2.46,NYY,490000
Zach Putnam,5,0,0,2.7,18.9,CHC,490000
Kyle Drabek,3,0,0,2.57,7.71,TOR,499500
Skip Schumaker,125,0,0,3.0,0.0,LAD,1500000
Chris Narveson,2,0,0,1.0,0.0,MIL,840000
Onelki Garcia,3,0,0,3.75,13.5,LAD,490000
David Murphy,142,0,0,1.0,0.0,TEX,5775000
Daniel Bard,2,0,0,3.0,9.0,CHC,1862500
Anthony Recker,50,0,0,2.0,18.0,NYM,490840
Jake Elmore,52,0,0,0.0,0.0,HOU,490000
Jeff Beliveau,1,0,0,3.0,0.0,TB,492000
John McDonald,51,0,0,6.0,0.0,BOS,1500000
Sam Fuld,119,0,0,0.0,0.0,TB,725000
Josh Harrison,60,0,0,0.0,0.0,PIT,503000
Shawn Tolleson,1,0,0,0.0,0.0,LAD,490000
