Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo,Agente libre
Nick Vincent,69,3,0,1.16,3.2,SEA,1325000,No
Chris Beck,57,2,0,1.64,6.4,CHW,535000,No
Wandy Peralta,69,3,0,1.17,3.76,CIN,535000,No
Zach Eflin,11,1,0,1.41,6.16,PHI,537000,No
Liam Hendriks,70,4,1,1.25,4.22,OAK,1100000,No
Pedro Baez,66,3,0,1.33,2.95,LAD,550000,No
Roberto Osuna,66,3,39,0.86,3.38,TOR,552400,No
Collin McHugh,12,5,0,1.29,3.55,HOU,3850000,No
Richard Bleier,57,2,0,1.18,1.85,BAL,535000,No
Randall Delgado,26,1,1,1.18,3.59,ARI,1775000,No
Dan Jennings,77,3,0,1.36,3.73,TB,1400000,No
Tommy Kahnle,69,2,0,1.12,2.59,NYY,535000,No
Ken Giles,63,1,34,1.04,2.3,HOU,550100,No
Warwick Saupold,45,3,0,1.52,4.88,DET,535000,No
Pat Neshek,71,5,1,0.87,1.59,COL,6500000,No
Brian Duensing,68,1,0,1.22,2.74,CHC,2000000,Si
Asher Wojciechowski,25,4,0,1.44,6.5,CIN,535000,No
Bud Norris,60,2,19,1.34,4.21,LAA,1750000,No
Heath Hembree,62,2,0,1.45,3.77,BOS,547000,No
Jose Ramirez,68,2,0,1.19,3.19,ATL,536250,No
Tyler Glasnow,18,2,0,2.02,7.69,PIT,541000,No
Daniel Hudson,71,2,0,1.48,4.52,PIT,5500000,Si
Hunter Strickland,68,4,1,1.43,2.64,SF,555000,No
Ryan Pressly,57,2,0,1.16,4.7,MIN,1175000,No
Matt Albers,63,7,2,0.85,1.62,WSH,1750000,No
Luke Gregerson,65,2,1,1.34,4.57,HOU,6250000,No
Darren O'Day,64,2,2,1.08,3.43,BAL,7000000,No
Tyler Clippard,67,2,5,1.29,4.77,HOU,6150000,No
Pedro Strop,69,5,0,1.18,2.83,CHC,5500000,No
Luke Weaver,15,7,0,1.26,3.88,STL,535000,No
