Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
Brett Anderson,10000000,10000000,SP,31,0.191,47,4,0,3,0.085,0.279,LAD,12400000,91,161,0.5652173913043478
Alberto Callaspo,3000000,3000000,3B,97,0.599,230,54,1,15,0.235,0.594,LAD,2147540,91,161,0.5652173913043478
Nick Markakis,44000000,11000000,RF,156,0.963,612,181,3,53,0.296,0.746,ATL,11000000,65,160,0.40625
A.J. Pierzynski,2000000,2000000,C,113,0.698,407,123,9,49,0.302,0.774,ATL,2400000,65,160,0.40625
Ross Detwiler,507500,507500,SP,41,0.253,1,0,0,0,0.0,0.0,ATL,507500,65,160,0.40625
Melky Cabrera,42000000,14000000,LF,158,0.975,629,172,12,76,0.273,0.71,CHW,13000000,76,161,0.4720496894409938
Adam LaRoche,25000000,12500000,DH,127,0.784,429,90,12,45,0.21,0.638,CHW,12000000,76,161,0.4720496894409938
Gordon Beckham,2000000,2000000,2B,100,0.617,210,44,6,20,0.21,0.601,CHW,2000000,76,161,0.4720496894409938
Geovany Soto,1500000,1500000,C,77,0.475,185,41,9,21,0.222,0.715,CHW,1500000,76,161,0.4720496894409938
Francisco Liriano,39000000,13000000,RP,31,0.191,65,11,1,7,0.169,0.415,PIT,11666666,97,161,0.6024844720496895
Mike Morse,16000000,8000000,LF,98,0.605,229,53,5,19,0.231,0.649,PIT,2928961,97,161,0.6024844720496895
A.J. Burnett,8500000,8500000,SP,26,0.161,42,5,1,5,0.119,0.307,PIT,8500000,97,161,0.6024844720496895
Corey Hart,2500000,2500000,RF,35,0.216,54,12,2,9,0.222,0.597,PIT,2500000,97,161,0.6024844720496895
Billy Butler,30000000,10000000,DH,151,0.932,538,135,15,65,0.251,0.713,OAK,6666666,68,161,0.422360248447205
Jake Peavy,24000000,12000000,RP,19,0.117,36,7,1,3,0.194,0.55,SF,9000000,84,161,0.5217391304347826
Sergio Romo,15000000,7500000,RP,70,0.432,2,0,0,0,0.0,0.0,SF,6000000,84,161,0.5217391304347826
Ryan Vogelsong,4000000,4000000,SP,33,0.204,36,5,1,2,0.139,0.412,SF,4000000,84,161,0.5217391304347826
Jed Lowrie,23000000,7666667,2B,69,0.426,230,51,9,30,0.222,0.712,HOU,8000000,86,161,0.5341614906832298
Colby Rasmus,8000000,8000000,LF,137,0.846,432,103,25,61,0.238,0.789,HOU,8000000,86,161,0.5341614906832298
Edinson Volquez,20000000,10000000,SP,35,0.216,6,0,0,0,0.0,0.0,KC,7500000,94,161,0.5838509316770186
Kendrys Morales,17000000,8500000,DH,158,0.975,569,165,22,106,0.29,0.847,KC,7250000,94,161,0.5838509316770186
Alex Rios,11000000,11000000,RF,105,0.648,385,98,4,32,0.255,0.64,KC,9500000,94,161,0.5838509316770186
Jonny Gomes,4000000,4000000,LF,95,0.586,225,48,7,26,0.213,0.66,KC,1000000,94,161,0.5838509316770186
Chris Young,675000,675000,RF,140,0.864,318,80,14,42,0.252,0.773,KC,675000,94,161,0.5838509316770186
Chris Young,675000,675000,RP,33,0.204,4,2,0,3,0.5,1.0,KC,675000,94,161,0.5838509316770186
Torii Hunter,10500000,10500000,RF,139,0.858,521,125,22,81,0.24,0.702,MIN,10500000,83,161,0.515527950310559
Shane Robinson,550000,550000,CF,83,0.512,180,45,0,16,0.25,0.621,MIN,550000,83,161,0.515527950310559
Asdrubal Cabrera,7500000,7500000,2B,143,0.883,505,134,15,58,0.265,0.744,TB,7500000,79,161,0.4906832298136646
J.P. Arencibia,0,0,1B,24,0.148,71,22,6,17,0.31,0.921,TB,507500,79,161,0.4906832298136646
Nick Hundley,6250000,3125000,C,103,0.636,366,110,10,43,0.301,0.809,COL,3100000,67,161,0.4161490683229814
Kyle Kendrick,5500000,5500000,SP,27,0.167,43,8,1,2,0.186,0.541,COL,5500000,67,161,0.4161490683229814
Daniel Descalso,3600000,1800000,3B,101,0.624,185,38,5,22,0.205,0.606,COL,1500000,67,161,0.4161490683229814
Aaron Harang,5000000,5000000,SP,29,0.179,48,8,0,0,0.167,0.371,PHI,5000000,62,161,0.3850931677018633
Chad Billingsley,1500000,1500000,SP,7,0.043,13,1,1,1,0.077,0.385,PHI,1500000,62,161,0.3850931677018633
Jeanmar Gomez,800000,800000,RP,65,0.401,1,0,0,0,0.0,0.0,PHI,800000,62,161,0.3850931677018633
Colby Lewis,4000000,4000000,SP,33,0.204,2,0,0,0,0.0,0.0,TEX,4000000,87,161,0.5403726708074534
Kyle Blanks,1000000,1000000,LF,18,0.111,67,21,3,6,0.313,0.875,TEX,1000000,87,161,0.5403726708074534
Bobby Wilson,700000,700000,C,56,0.346,132,25,1,14,0.189,0.505,TEX,700000,87,161,0.5403726708074534
Burke Badenhop,2500000,2500000,RP,68,0.42,1,0,0,0,0.0,0.0,CIN,1000000,64,161,0.3975155279503105
Ichiro Suzuki,2000000,2000000,RF,153,0.944,398,91,1,21,0.229,0.561,MIA,3200000,71,161,0.4409937888198758
Don Kelly,1250000,1250000,CF,2,0.012,1,0,0,0,0.0,0.0,MIA,1250000,71,161,0.4409937888198758
Casey McGehee,0,0,3B,109,0.673,237,47,2,20,0.198,0.538,MIA,507500,71,161,0.4409937888198758
Carlos Villanueva,2000000,2000000,RP,35,0.216,8,0,0,0,0.0,0.0,STL,2000000,100,160,0.625
Mark Reynolds,2000000,2000000,3B,140,0.864,382,88,13,48,0.23,0.713,STL,2000000,100,160,0.625
Kelly Johnson,1500000,1500000,2B,111,0.685,310,82,14,47,0.265,0.753,NYM,598360,89,161,0.5527950310559007
Eric Young Jr.,1000000,1000000,CF,53,0.327,85,13,0,5,0.153,0.464,NYM,1000000,89,161,0.5527950310559007
Mat Latos,0,0,SP,24,0.148,24,7,0,1,0.292,0.583,LAA,507500,85,161,0.5279503105590062
Josh Wilson,0,0,2B,21,0.13,38,12,0,5,0.316,0.745,DET,507500,73,160,0.45625
Nolan Reimold,0,0,LF,61,0.377,170,42,6,20,0.247,0.738,BAL,507500,80,161,0.4968944099378882
