Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Max Muncy,1B,144,0.889,497,124,36,94,0.25,0.895,LAD,7500000,9000000,9000000,20736,0.790321,247009,15376,1296,8836,0.0625,0.801025
Anthony Rizzo,1B,141,0.87,496,123,22,61,0.248,0.783,NYY,16500000,16500000,0,19881,0.7569,246016,15129,484,3721,0.061503999999999996,0.613089
Mookie Betts,RF,122,0.753,466,123,23,58,0.264,0.854,LAD,17500000,22500000,22500000,14884,0.567009,217156,15129,529,3364,0.06969600000000001,0.729316
Randal Grichuk,RF,149,0.92,511,123,22,81,0.241,0.703,TOR,9333333,10333333,10333333,22201,0.8464,261121,15129,484,6561,0.058080999999999994,0.49420899999999995
Joe Wendle,3B,136,0.84,460,122,11,54,0.265,0.741,TB,2250000,2250000,2250000,18496,0.7055999999999999,211600,14884,121,2916,0.07022500000000001,0.549081
Luis Urias,3B,150,0.926,490,122,23,75,0.249,0.789,MIL,575100,575100,575100,22500,0.8574760000000001,240100,14884,529,5625,0.062001,0.6225210000000001
Miguel Cabrera,DH,130,0.803,472,121,15,75,0.256,0.702,DET,30000000,30000000,30000000,16900,0.6448090000000001,222784,14641,225,5625,0.065536,0.49280399999999996
Elvis Andrus,SS,146,0.901,497,121,3,37,0.244,0.614,OAK,7750000,8800000,8300000,21316,0.811801,247009,14641,9,1369,0.059536,0.376996
Avisail Garcia,RF,135,0.833,461,121,29,86,0.263,0.821,MIL,10500000,10750000,10750000,18225,0.693889,212521,14641,841,7396,0.06916900000000001,0.6740409999999999
Buster Posey,C,113,0.698,395,120,18,56,0.304,0.889,SF,21400000,22202777,22202777,12769,0.4872039999999999,156025,14400,324,3136,0.092416,0.790321
Mark Canha,LF,141,0.87,519,120,17,61,0.231,0.746,OAK,6925000,6925000,6925000,19881,0.7569,269361,14400,289,3721,0.053361000000000006,0.556516
Austin Meadows,DH,142,0.877,518,120,27,106,0.232,0.769,TB,591400,591400,591400,20164,0.769129,268324,14400,729,11236,0.053824000000000004,0.591361
Joey Votto,1B,129,0.796,448,119,36,99,0.266,0.938,CIN,25000000,25000000,25000000,16641,0.6336160000000001,200704,14161,1296,9801,0.07075600000000001,0.8798439999999998
Yandy Diaz,3B,134,0.827,465,119,13,64,0.256,0.74,TB,588900,588900,588900,17956,0.6839289999999999,216225,14161,169,4096,0.065536,0.5476
Gleyber Torres,SS,127,0.784,459,119,9,51,0.259,0.697,NYY,4000000,4000000,4000000,16129,0.6146560000000001,210681,14161,81,2601,0.067081,0.48580899999999994
Christian Vazquez,C,138,0.852,458,118,6,49,0.258,0.659,BOS,6250000,6250000,6250000,19044,0.725904,209764,13924,36,2401,0.066564,0.43428100000000003
Jesus Aguilar,1B,131,0.809,449,117,22,93,0.261,0.788,MIA,4350000,4500000,4500000,17161,0.6544810000000001,201601,13689,484,8649,0.068121,0.620944
Odubel Herrera,CF,124,0.765,450,117,13,51,0.26,0.726,PHI,10000000,10350000,10350000,15376,0.585225,202500,13689,169,2601,0.06760000000000001,0.527076
Kevin Newman,SS,148,0.914,517,117,5,39,0.226,0.574,PIT,598000,598000,598000,21904,0.835396,267289,13689,25,1521,0.051076,0.32947599999999994
Jorge Soler,DH,150,0.932,516,115,27,70,0.223,0.749,ATL,8050000,8250000,2813172,22500,0.8686240000000001,266256,13225,729,4900,0.049729,0.561001
Jazz Chisholm,2B,124,0.765,464,115,18,53,0.248,0.728,MIA,571750,571750,571750,15376,0.585225,215296,13225,324,2809,0.061503999999999996,0.529984
A.J. Pollock,LF,117,0.722,384,114,21,69,0.297,0.892,LAD,15000000,18000000,18000000,13689,0.521284,147456,12996,441,4761,0.088209,0.795664
Josh Donaldson,3B,135,0.833,457,113,26,72,0.247,0.827,MIN,21000000,21000000,21000000,18225,0.693889,208849,12769,676,5184,0.061009,0.6839289999999999
Wil Myers,LF,146,0.901,442,113,17,63,0.256,0.768,SD,20000000,22500000,22500000,21316,0.811801,195364,12769,289,3969,0.065536,0.589824
Jed Lowrie,2B,139,0.858,457,112,14,69,0.245,0.717,OAK,1500000,1500000,1500000,19321,0.7361639999999999,208849,12544,196,4761,0.060024999999999995,0.5140889999999999
Giovanny Urshela,3B,116,0.716,420,112,14,49,0.267,0.72,NYY,4650000,4650000,4650000,13456,0.512656,176400,12544,196,2401,0.071289,0.5184
Trent Grisham,CF,132,0.815,462,112,15,62,0.242,0.74,SD,589200,589200,589200,17424,0.664225,213444,12544,225,3844,0.058564,0.5476
Leury Garcia,OF,126,0.778,415,111,5,54,0.268,0.711,CHW,3500000,3500000,3500000,15876,0.605284,172225,12321,25,2916,0.07182400000000001,0.505521
Tyler Naquin,RF,127,0.784,411,111,19,70,0.27,0.809,CIN,1500000,1500000,1500000,16129,0.6146560000000001,168921,12321,361,4900,0.0729,0.6544810000000001
Matt Chapman,3B,151,0.932,529,111,27,72,0.21,0.716,OAK,6490000,6490000,6490000,22801,0.8686240000000001,279841,12321,729,5184,0.04409999999999999,0.512656
Nick Solak,3B,127,0.784,458,111,11,49,0.242,0.677,TEX,586000,586000,497858,16129,0.6146560000000001,209764,12321,121,2401,0.058564,0.45832900000000004
Brendan Rodgers,SS,103,0.64,387,110,15,51,0.284,0.798,COL,575500,575500,575500,10609,0.4096,149769,12100,225,2601,0.08065599999999999,0.636804
Tommy Pham,LF,155,0.957,475,109,15,49,0.23,0.724,SD,8900000,8900000,8900000,24025,0.9158489999999999,225625,11881,225,2401,0.0529,0.524176
Dominic Smith,LF,145,0.895,446,109,11,58,0.244,0.668,NYM,2550000,2550000,2550000,21025,0.801025,198916,11881,121,3364,0.059536,0.44622400000000007
Ketel Marte,CF,90,0.556,340,108,14,50,0.318,0.909,ARI,6000000,6000000,6000000,8100,0.3091360000000001,115600,11664,196,2500,0.101124,0.826281
Corey Seager,SS,95,0.586,353,108,16,57,0.306,0.915,LAD,13750000,13750000,13750000,9025,0.343396,124609,11664,256,3249,0.093636,0.8372250000000001
Andrew McCutchen,LF,144,0.889,482,107,27,80,0.222,0.778,PHI,20000000,20000000,20000000,20736,0.790321,232324,11449,729,6400,0.049284,0.605284
