"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Daniel Zamora","RP","NYM","1.00","0.00","0.51","0.59","0.29","0.29","0.29","0.47","0.00","0.06","0.00","0.10","0.31","0.00","0.00","$0",""
"","Chris Mazza","RP","NYM","1.00","0.00","1.81","2.33","1.11","1.11","0.56","1.22","0.11","0.11","0.00","0.18","0.61","0.00","0.00","$0",""
"","Ian Gibaut","RP","TEX","1.00","0.00","1.43","1.20","0.90","0.90","1.00","1.60","0.10","0.10","0.00","0.15","0.57","0.00","0.00","$0",""
"","Ty France","3B","SD","1.00","0.65","0.03","0.03","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.07","0.00","0.00","$4,100,000",""
"","Joe Harvey","RP","COL","1.00","0.06","1.00","1.00","0.61","0.56","0.72","0.94","0.06","0.00","0.00","0.10","0.28","0.00","0.00","$0",""
"","Edgar Garcia","RP","PHI","1.00","0.00","1.05","1.03","0.68","0.68","0.70","1.22","0.05","0.00","0.00","0.04","0.16","0.00","0.00","$0",""
"","Darwinzon Hernandez","RP","BOS","1.00","0.03","1.05","0.93","0.62","0.52","0.90","1.97","0.00","0.03","0.00","0.06","0.15","0.00","0.00","$0",""
"","Elvis Luciano","RP","TOR","1.00","0.00","1.35","1.44","0.80","0.80","0.96","1.08","0.04","0.00","0.00","0.07","0.21","0.00","0.00","$0",""
"","David McKay","P","DET","1.00","0.00","0.97","0.72","0.60","0.56","0.68","1.20","0.00","0.00","0.00","0.06","0.21","0.00","0.00","$0",""
"","Jared Walsh","RP","LAA","1.00","0.60","0.14","0.09","0.03","0.03","0.17","0.14","0.00","0.00","0.00","0.05","0.05","0.00","0.00","$2,650,000",""
"","Colin Poche","P","TB","1.00","0.00","1.01","0.65","0.53","0.53","0.37","1.41","0.10","0.10","0.04","0.02","0.09","0.00","0.00","$1,175,000",""
"","Reggie McClain","P","SEA","1.00","0.14","1.50","1.57","1.00","1.00","0.93","0.79","0.07","0.07","0.00","0.12","0.43","0.00","0.00","$0",""
"","Devin Williams","P","MIL","1.00","0.00","1.05","1.38","0.69","0.46","0.46","1.08","0.00","0.00","0.00","0.14","0.30","0.00","0.00","$3,350,000",""
"","John Schreiber","P","DET","1.00","0.00","1.00","1.23","0.69","0.69","0.31","1.46","0.15","0.00","0.00","0.12","0.48","0.00","0.00","$0",""
