"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Chone Figgins","2012","3B","SEA","$9,000,000","$500,000","$9,500,000","$9,500,000","4","$36,000,000","$44,985,000","2015","2010","31","34","0","0'0""",""
"","Randy Wolf","2012","SP","MIL","$9,500,000","$0","$9,500,000","$9,500,000","3","$29,750,000","$72,462,104","2013","2010","33","35","0","0'0""",""
"","Shane Victorino","2012","RF","LAD","$9,500,000","$0","$9,500,000","$3,374,316","3","$22,000,000","$26,495,000","2013","2010","29","31","160","5'9""",""
"","Jose Valverde","2012","RP","DET","$9,000,000","$0","$9,000,000","$9,000,000","2","$14,000,000","$0","2013","2010","31","34","0","0'0""",""
"","Tim Hudson","2012","SP","ATL","$9,000,000","$0","$9,000,000","$9,000,000","3","$28,000,000","$88,200,000","2014","2010","34","36","174","6'1""",""
"","Adam Wainwright","2012","SP","STL","$9,000,000","$0","$9,000,000","$9,000,000","4","$15,000,000","$26,853,000","2014","2008","26","30","230","6'7""",""
"","Bobby Abreu","2012","LF","LAA","$8,598,689","$0","$8,598,689","$8,598,689","2","$19,000,000","$401,311","2013","2010","35","38","0","0'0""",""
"","Dustin Pedroia","2012","2B","BOS","$8,000,000","$250,000","$8,250,000","$8,250,000","6","$40,500,000","$21,065,984","0","2009","25","28","175","5'9""",""
"","Mark Reynolds","2012","3B","BAL","$7,500,000","$333,333","$7,833,333","$7,833,333","3","$14,500,000","$15,199,000","2013","2010","26","28","220","6'2""",""
"","Jon Lester","2012","SP","BOS","$7,625,000","$0","$7,625,000","$7,625,000","5","$30,000,000","$20,227,403","2015","2009","24","28","240","6'4""",""
"","Huston Street","2012","RP","SD","$7,500,000","$0","$7,525,000","$7,025,000","3","$22,500,000","$25,140,625","2014","2010","26","28","195","6'0""",""
"","James Shields","2012","SP","TB","$7,500,000","$0","$7,500,000","$7,500,000","4","$11,250,000","$17,344,900","2015","2008","26","30","215","6'3""",""
"","Ian Kinsler","2012","2B","TEX","$7,000,000","$200,000","$7,250,000","$7,250,000","5","$22,000,000","$22,397,708","2014","2008","25","30","200","6'0""",""
"","Chris Young","2012","RF","ARI","$7,000,000","$200,000","$7,200,000","$7,200,000","5","$28,000,000","$18,586,000","2014","2009","25","28","200","6'2""",""
"","Gavin Floyd","2012","RP","CHW","$7,000,000","$0","$7,000,000","$7,000,000","4","$15,500,000","$21,126,000","2014","2009","25","29","235","6'4""",""
"","Justin Upton","2012","LF","ARI","$6,750,000","$208,333","$6,958,333","$6,958,333","6","$51,500,000","$20,035,000","2016","2010","22","24","215","6'1""",""
"","Marlon Byrd","2012","LF","BOS","$6,500,000","$0","$6,500,000","$435,165","3","$15,000,000","$27,514,837","2013","2010","32","34","245","6'0""",""
"","Scott Baker","2012","SP","MIN","$6,500,000","$0","$6,500,000","$6,500,000","4","$15,250,000","$17,298,500","2014","2009","27","30","215","6'4""",""
"","Placido Polanco","2012","3B","PHI","$6,250,000","$166,667","$6,416,667","$6,416,667","3","$18,000,000","$49,285,000","2013","2010","34","36","0","0'0""",""
"","Joakim Soria","2012","RP/CL","KC","$6,000,000","$0","$6,000,000","$6,000,000","3","$8,750,000","$14,806,500","2015","2009","24","28","205","6'3""",""
"","Franklin Gutierrez","2012","CF","SEA","$5,500,000","$312,500","$5,812,500","$5,812,500","4","$20,250,000","$14,634,300","2014","2010","26","29","200","6'2""",""
"","Yovani Gallardo","2012","RP","MIL","$5,500,000","$250,000","$5,750,000","$5,750,000","5","$30,100,000","$12,423,000","2016","2010","23","26","205","6'2""",""
"","Brandon Lyon","2012","RP","TOR","$5,500,000","$0","$5,500,000","$2,284,153","3","$15,000,000","$25,674,500","2013","2010","30","32","0","0'0""",""
"","Mark Teahen","2012","RF","TOR","$5,500,000","$0","$5,500,000","$5,500,000","3","$14,000,000","$20,989,000","2013","2010","28","30","0","0'0""",""
"","Adam Lind","2012","1B","TOR","$5,000,000","$150,000","$5,150,000","$5,150,000","4","$18,000,000","$7,628,200","2017","2010","26","28","195","6'2""",""
"","Jeremy Affeldt","2012","RP","SF","$5,000,000","$0","$5,000,000","$5,000,000","2","$9,500,000","$26,863,000","2013","2010","30","33","226","6'4""",""
"","Stephen Strasburg","2012","SP","WSH","$3,000,000","$1,875,000","$4,875,000","$4,875,000","4","$15,100,000","$15,400,000","0","2009","20","23","235","6'5""",""
"","Nick Blackburn","2012","SP","MIN","$4,750,000","$0","$4,750,000","$4,750,000","4","$14,000,000","$9,330,000","2015","2010","27","30","0","0'0""",""
"","Aroldis Chapman","2012","RP","CIN","$2,000,000","$2,708,333","$4,733,333","$4,733,333","6","$30,250,000","$20,275,000","0","2010","21","24","218","6'4""",""
"","Ben Zobrist","2012","2B","TB","$4,500,000","$140,475","$4,640,475","$4,640,475","4","$18,000,000","$11,260,100","2016","2010","28","31","210","6'3""",""
"","Evan Longoria","2012","3B","TB","$4,500,000","$0","$4,500,000","$4,500,000","6","$17,500,000","$12,175,000","0","2008","22","26","215","6'1""",""
"","Maicer Izturis","2012","2B","LAA","$3,800,000","$166,667","$3,966,667","$3,966,667","3","$10,000,000","$13,907,000","2013","2010","29","31","155","5'8""",""
"","Chris Iannetta","2012","C","LAA","$3,550,000","$83,334","$3,633,334","$3,633,334","3","$8,350,000","$9,924,000","0","2010","26","29","230","0'0""",""
"","Brett Anderson","2012","SP","OAK","$3,000,000","$250,000","$3,250,000","$3,250,000","4","$12,500,000","$6,850,000","2015","2010","21","24","230","6'4""",""
"","Colby Lewis","2012","SP","TEX","$3,250,000","$0","$3,250,000","$3,250,000","2","$5,000,000","$10,279,500","2013","2010","30","32","238","6'4""",""
"","Denard Span","2012","CF","MIN","$3,000,000","$0","$3,000,000","$3,000,000","5","$16,500,000","$7,275,000","2016","2010","25","28","210","6'0""",""
"","Adeiny Hechavarria","2012","SS","TOR","$1,750,000","$1,000,000","$2,750,000","$2,750,000","4","$10,000,000","$8,250,000","0","2010","20","23","195","0'0""",""
"","Carlos Zambrano","2012","SP","MIA","$2,550,000","$0","$2,550,000","$2,550,000","5","$91,500,000","$115,150,000","2013","2008","26","31","0","0'0""",""
"","Pedro Alvarez","2012","1B","PIT","$700,000","$1,500,000","$2,200,000","$2,200,000","4","$6,355,000","$8,150,000","2015","2009","21","25","235","6'3""",""
"","Dustin Ackley","2012","2B","SEA","$900,000","$1,200,000","$2,100,000","$2,100,000","5","$7,500,000","$5,200,000","0","2010","21","24","205","6'1""",""
"","Aaron Crow","2012","RP","KC","$1,100,000","$500,000","$1,600,000","$1,600,000","3","$3,000,000","$3,900,000","2017","2010","23","25","205","6'2""",""
"","Brian Matusz","2012","RP","BAL","$650,000","$800,000","$1,450,000","$1,450,000","4","$3,472,500","$5,325,000","0","2008","20","25","190","6'5""",""
"","Yonder Alonso","2012","1B","SD","$1,000,000","$400,000","$1,400,000","$1,400,000","5","$4,550,000","$4,550,000","0","2008","20","25","230","6'1""",""
"","Jacob Turner","2012","RP","DET","$1,175,000","$0","$1,175,000","$1,175,000","4","$5,500,000","$3,525,000","0","2010","18","21","215","6'5""",""
