Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Chad Qualls,2014,UFA,MIA,2,6000000,3000000,RP,58,0,51.3,54,22,19,5,43,1,5,19,1.15,3.33,HOU,2750000,2750000,2750000,0.09313406974225688,0.010829542993285684,8.6,3364,0,2631.6899999999996,2916,484,361,25,1849,1,25,361,1.3224999999999998,11.0889,0.00011727900144342304,73.96,11316496
Jason Hammel,2014,UFA,BAL,1,6000000,6000000,SP,30,29,176.3,154,70,68,44,158,10,11,0,1.12,3.47,OAK,6000000,6000000,2852459,0.09957773996344614,0.027730509863238165,3.590909090909091,900,841,31081.690000000002,23716,4900,4624,1936,24964,100,121,0,1.2544000000000002,12.0409,0.0007689811772751492,12.894628099173554,810000
Manny Parra,2014,UFA,CIN,2,5500000,2750000,RP,53,0,36.7,39,20,19,18,34,0,3,1,1.55,4.66,CIN,2000000,2000000,2000000,0.10293672419013018,0.05449591280653951,1.8888888888888888,2809,0,1346.89,1521,400,361,324,1156,0,9,1,2.4025000000000003,21.715600000000002,0.0029698045126179567,3.567901234567901,7890481
Skip Schumaker,2014,UFA,LAD,2,5000000,2500000,LF,83,60,1.0,0,0,0,1,0,0,0,0,1.0,0.0,CIN,2000000,2000000,2000000,0.0,0.1111111111111111,0.0,6889,3600,1.0,0,0,0,1,0,0,0,0,1.0,0.0,0.012345679012345678,0.0,47458321
Ryan Vogelsong,2014,UFA,SF,1,5000000,5000000,SP,32,32,184.7,178,86,82,58,151,8,13,0,1.28,4.0,SF,5000000,5000000,5000000,0.09083799554833664,0.03489141550863262,2.603448275862069,1024,1024,34114.09,31684,7396,6724,3364,22801,64,169,0,1.6384,16.0,0.0012174108761960488,6.77794292508918,1048576
Edinson Volquez,2014,UFA,LAD,1,5000000,5000000,SP,32,31,192.7,166,75,65,71,140,13,7,0,1.23,3.04,PIT,5000000,5000000,5000000,0.08072421149743413,0.040938707259413024,1.971830985915493,1024,961,37133.28999999999,27556,5625,4225,5041,19600,169,49,0,1.5129,9.2416,0.0016759777520719166,3.888117437016465,1048576
Oliver Perez,2014,UFA,SEA,2,4250000,2125000,RP,68,0,58.7,50,25,19,24,76,3,4,0,1.26,2.92,ARI,1750000,1750000,1750000,0.14385765663448796,0.04542873367404883,3.1666666666666665,4624,0,3445.6900000000005,2500,625,361,576,5776,9,16,0,1.5876000000000001,8.526399999999999,0.002063769843227658,10.027777777777777,21381376
Scott Downs,2014,UFA,ATL,1,4000000,4000000,RP,55,0,38.0,36,24,21,20,25,0,4,1,1.47,4.97,KC,500000,500000,500000,0.07309941520467836,0.05847953216374269,1.25,3025,0,1444.0,1296,576,441,400,625,0,16,1,2.1609,24.700899999999997,0.0034198556820902153,1.5625,9150625
Gavin Floyd,2014,UFA,CHW,1,4000000,4000000,RP,9,9,54.3,55,23,16,13,45,2,2,0,1.25,2.65,ATL,4000000,4000000,4000000,0.09208103130755065,0.026601186822181298,3.4615384615384617,81,81,2948.49,3025,529,256,169,2025,4,4,0,1.5625,7.0225,0.0007076231403485919,11.98224852071006,6561
Francisco Rodriguez,2014,UFA,BAL,1,3250000,3250000,RP,69,0,68.0,49,23,23,18,73,5,5,44,0.99,3.04,MIL,3250000,3250000,3250000,0.119281045751634,0.029411764705882353,4.055555555555555,4761,0,4624.0,2401,529,529,324,5329,25,25,1936,0.9801,9.2416,0.0008650519031141869,16.447530864197528,22667121
