Acronimo_t,Acronimo_t_1,Agente_libre,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_en_contra_2_t,Bateos_en_contra_2_t_1,Bateos_en_contra_t,Bateos_en_contra_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_en_contra_2_t,Carreras_en_contra_2_t_1,Carreras_en_contra_t,Carreras_en_contra_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
CHC,CHC,No,6.3,6.3,0,2026,2022,1,1,0,0,10201,900,101,30,0,0,11,10,2,2,1600,225,40,15,1296,121,36,11,7.310013717421125,12.25,2.7037037037037037,3.5,0.0008273207035167564,0.0006340821744738531,0.028763183125599234,0.02518098835379289,0.006047725691413985,0.0077675066373047,0.07776712474699052,0.0881334592382751,9.672099999999999,7.839999999999999,3.11,2.8,30,29,30,Chicago Cubs,Chicago Cubs,Illinois,1729122,1309991,10878.49,1246.0899999999997,104.3,35.3,19,5,21,11,162,162,Adrian Sampson,25,4,5,2,415368,141082,17,17,210.0,210.0,21,21,SP,RP,0.4567901234567901,0.4382716049382716,0,0,0,0,5329,784,73,28,415368,141082,700000,570500,0.003,0.001,700000,570500,4690.880099999999,0.0,68.49,0.0,700000,570500,109707000,24500000,700000,570500,74,71,4.368099999999999,0.6241000000000001,2.09,0.79,1.5129,1.1664,1.23,1.08,3,3,729,64,27,8,16,1,4,1,12.936920153272945,13.458835614025542,13.458835614025542
CHC,CHC,No,6.4,6.4,2026,2026,2022,1,1,0,0,784,18769,28,137,0,0,11,10,2,2,400,5625,20,75,361,4489,19,67,13.444444444444443,6.547577854671279,3.6666666666666665,2.5588235294117645,0.0003546589776600311,0.0010078105316200553,0.018832391713747648,0.031746031746031744,0.004768192921873752,0.006598717918539965,0.06905210295040805,0.08123249299719888,93.7024,25.704900000000002,9.68,5.07,30,29,30,Chicago Cubs,Chicago Cubs,Illinois,2275996,1534746,313.28999999999996,14161.0,17.7,119.0,2,20,7,33,162,162,Alec Mills,1,49,1,7,741250,600000,17,17,205.0,205.0,21,21,SP,SP,0.4567901234567901,0.4382716049382716,0,1,0,1,121,7569,11,87,741250,600000,741250,600000,0.005,0.004,741250,600000,0.0,414.93690000000004,0.0,20.37,741250,600000,109707000,24500000,741250,600000,74,71,1.583696402499998,1.5011196963456546,1.2584499999999992,1.22520190023753,3.0625,2.0736,1.75,1.44,3,3,9,1156,3,34,0,36,0,6,13.516093229294071,13.516093229294071,13.516093229294071
TOR,TOR,No,6.6,6.6,2028,0,2022,1,1,1,1,20736,5929,144,77,0,0,6,6,1,1,3025,1936,55,44,2401,1600,49,40,12.45674740484429,10.080625,3.5294117647058822,3.175,0.0008299398414229063,0.0015831738854596845,0.028808676495509236,0.03978911767631552,0.010338350965821669,0.015959382249112038,0.10167768174885612,0.1263304486223018,5.017600000000001,10.368400000000001,2.24,3.22,23,22,24,Toronto Blue Jays,Toronto Blue Jays,Toronto,5673143,4943143,38690.88999999999,12476.890000000001,196.7,111.7,31,20,31,20,162,163,Alek Manoah,49,4,7,2,730000,395643,2,2,260.0,260.0,9,8,SP,SP,0.5679012345679012,0.5644171779141104,0,0,0,0,32400,16129,180,127,730000,395643,730000,570500,0.004,0.003,730000,570500,9771.322499999998,8020.993600000001,98.85,89.56,730000,570500,157000000,186250000,730000,570500,92,92,35.880100000000006,7.507600000000001,5.99,2.74,0.9801,1.1025,0.99,1.05,2,2,2601,1600,51,40,256,81,16,9,13.500799813124575,13.500799813124575,13.500799813124575
SF,LAA,Si,6.3,6.3,2025,2022,2022,2,4,0,3,23104,7225,152,85,0,0,7,6,5,5,5184,2116,72,46,3844,1521,62,39,12.331530557057869,8.819100091827364,3.511627906976744,2.9696969696969697,0.0010186108352901377,0.0015444703430421806,0.03191568321828843,0.03929974991068239,0.012561030641130571,0.013620838544147935,0.11207600385957099,0.11670834821960224,13.9129,14.137599999999999,3.73,3.76,34,30,34,San Francisco Giants,Los Angeles Angels,California,66595287,51095287,22410.089999999997,8704.89,149.7,93.3,28,18,28,18,162,162,Alex Cobb,64,9,8,3,9000000,5000000,23,1,205.0,205.0,27,10,SP,SP,0.5,0.4753086419753086,0,0,0,0,22801,9604,151,98,9000000,5000000,9000000,15000000,0.056,0.028,9000000,15000000,3007.4256000000005,3255.8436,54.84,57.06,10000000,14250000,140700000,12625000,20000000,57000000,81,77,5.2441,2.6569,2.29,1.63,1.6900000000000002,1.5876000000000001,1.3,1.26,8,1,1849,1089,43,33,49,64,7,8,16.012735135300492,16.012735135300492,16.012735135300492
COL,MIN,Si,6.1,6.1,2023,2023,2022,1,1,0,0,3249,4624,57,68,0,0,5,6,1,1,1296,1681,36,41,900,900,30,30,2.115702479338843,6.359168241965974,1.4545454545454546,2.5217391304347827,0.0027049835409575862,0.001545766673971802,0.05200945626477541,0.039316239316239315,0.005722940384174729,0.009829790342610854,0.07565011820330969,0.09914529914529914,33.0625,17.222500000000004,5.75,4.15,33,32,33,Colorado Rockies,Minnesota Twins,Colorado,28609822,24509822,2209.0,4225.0,47.0,65.0,0,0,53,67,162,163,Alex Colome,49,16,7,4,4100000,5000000,1,6,225.0,225.0,5,17,RP,RP,0.419753086419753,0.4478527607361963,16,289,4,17,1024,3364,32,58,4100000,5000000,4100000,5000000,0.029,0.042,4100000,5000000,3.4969000000000006,58.216899999999995,1.87,7.63,4100000,6250000,195350000,41750000,4100000,6250000,68,73,1.583696402499998,1.5011196963456546,1.2584499999999992,1.22520190023753,2.8223999999999996,1.9599999999999997,1.68,1.4,0,3,484,529,22,23,4,16,2,4,15.226497531674536,15.226497531674536,15.226497531674536
DET,DET,No,6.3,6.3,2028,0,2022,1,1,0,0,2401,1369,49,37,0,0,4,5,1,1,900,324,30,18,729,256,27,16,6.996878251821019,5.94140625,2.6451612903225805,2.4375,0.0029609491478089496,0.0024798106122139,0.05441460417763736,0.049797696856520385,0.020717400697052416,0.014733562270223993,0.14393540459891171,0.12138188608776844,14.7456,16.3216,3.84,4.04,26,25,26,Detroit Tigers,Detroit Tigers,Michigan,2901663,2197963,4006.8899999999994,1274.4900000000002,63.3,35.7,0,0,71,36,162,162,Alex Lange,16,9,4,3,703700,272963,11,11,197.0,197.0,16,16,RP,RP,0.4074074074074074,0.4753086419753086,0,1,0,1,6724,1521,82,39,703700,272963,703700,570500,0.005,0.003,703700,570500,2040.3289000000002,0.0,45.17,0.0,703700,570500,235500000,21500000,703700,570500,66,77,0.3844,0.0841,0.62,0.29,1.5876000000000001,2.2201,1.26,1.49,4,4,961,256,31,16,49,1,7,1,13.464107407954641,13.464107407954641,13.464107407954641
LAD,LAD,No,6.1,6.1,2027,2027,2022,1,1,1,1,1369,289,37,17,0,0,9,7,5,5,196,289,14,17,169,100,13,10,10.835069444444443,6.024793388429752,3.2916666666666665,2.4545454545454546,0.002411780644028337,0.0037345679012345677,0.04910988336402701,0.06111111111111111,0.02613181076281398,0.0225,0.1616533660732556,0.15,4.6225,5.0625,2.15,2.25,25,24,26,Los Angeles Dodgers,Los Angeles Dodgers,California,1265675,545675,2948.49,1600.0,54.3,40.0,0,0,63,41,162,162,Alex Vesia,0,1,0,1,720000,368040,25,25,209.0,209.0,36,35,RP,RP,0.6851851851851852,0.654320987654321,1,1,1,1,6241,2916,79,54,720000,368040,720000,570500,0.003,0.001,720000,570500,5858.371600000001,0.0,76.54,0.0,720000,570500,267800000,160320500,720000,570500,111,106,2.2801,0.3721,1.51,0.61,1.2544000000000002,0.9603999999999999,1.12,0.98,7,7,576,484,24,22,25,9,5,3,13.487006490992238,13.487006490992238,13.487006490992238
SF,SF,Si,6.4,6.4,2024,2022,2022,2,1,1,1,17424,15625,132,125,0,0,7,8,5,5,6084,3969,78,63,5476,3481,74,59,19.067777777777774,15.19000657462196,4.366666666666666,3.8974358974358974,0.0006504386135224497,0.0009760931680351321,0.02550369803621525,0.03124248978610911,0.012402418940731956,0.014826861639897233,0.11136614809147327,0.12176560121765602,26.009999999999998,14.6689,5.1,3.83,30,29,31,San Francisco Giants,San Francisco Giants,California,40014397,27514397,17082.489999999998,19237.689999999995,130.7,138.7,26,26,26,26,162,163,Alex Wood,144,16,12,4,12500000,5000000,23,23,215.0,215.0,27,27,SP,SP,0.5,0.6625766871165644,0,0,0,0,17161,23104,131,152,12500000,5000000,12500000,3000000,0.077,0.029,12500000,5000000,359.4816,4643.0596000000005,18.96,68.14,12500000,3000000,140700000,36200000,25000000,3000000,81,108,0.0361,2.6569,0.19,1.63,1.5376,1.3923999999999999,1.24,1.18,8,8,900,1521,30,39,64,100,8,10,16.34123920227253,16.34123920227253,16.34123920227253
KC,CIN,No,6.5,6.5,2024,2024,2022,1,1,1,1,784,2116,28,46,0,0,2,1,2,2,676,1156,26,34,625,1024,25,32,2.3447265625,4.42449464922711,1.53125,2.103448275862069,0.006160536481656252,0.004563249541545349,0.07848908511160167,0.06755182855811787,0.014444773527789704,0.020190073179655457,0.12018641157714005,0.1420917773119031,24.6016,36.4816,4.96,6.04,29,28,30,Kansas City Royals,Cincinnati Reds,Missouri,6138478,4113478,2052.0899999999997,2275.2900000000004,45.3,47.7,0,0,60,63,162,163,Amir Garrett,1,16,1,4,2025000,1500000,4,10,239.0,239.0,9,16,RP,RP,0.4012345679012346,0.50920245398773,0,49,0,7,2401,3721,49,61,2025000,1500000,2025000,1500000,0.022,0.012,2025000,1500000,582.2569,10.240000000000002,24.13,3.2,2025000,1500000,13975000,1500000,2025000,1500000,65,83,1.583696402499998,1.5011196963456546,1.2584499999999992,1.22520190023753,1.7424000000000002,2.4649,1.32,1.57,2,5,1024,841,32,29,9,0,3,0,14.521080258522776,14.521080258522776,14.521080258522776
WSH,WSH,No,6.0,6.0,2028,0,2022,1,1,1,1,3025,900,55,30,0,0,5,6,1,1,1024,289,32,17,484,196,22,14,3.130177514792899,4.0,1.7692307692307692,2.0,0.0023732980933674434,0.0021795210458911236,0.04871650740116171,0.04668534080298786,0.0074288443277596315,0.008718084183564494,0.0861907438635938,0.09337068160597572,11.1556,12.460899999999999,3.34,3.53,28,27,29,Washington Nationals,Washington Nationals,Washington DC,906760,354238,3516.49,1274.4900000000002,59.3,35.7,0,0,51,40,162,162,Andres Machado,0,4,0,2,552522,260695,1,1,220.0,220.0,6,6,RP,RP,0.3395061728395062,0.4012345679012346,0,0,0,0,2116,900,46,30,552522,260695,708200,570500,0.004,0.002,708200,570500,526.2436,0.0,22.94,0.0,708200,570500,23750000,28000000,708200,570500,55,65,1.583696402499998,0.04000000000000001,1.2584499999999992,0.2,1.8769000000000002,1.5876000000000001,1.37,1.26,1,1,676,225,26,15,4,1,2,1,13.222248530585814,13.470481818659941,13.470481818659941
SEA,SEA,No,6.2,6.2,2029,2026,2022,4,1,1,1,1849,0,43,0,187500,0,2,4,1,1,400,0,20,0,324,0,18,0,40.96000000000001,0.25,6.4,0.5,0.0006574621959237343,0.10078105316200553,0.02564102564102564,0.31746031746031744,0.02692965154503616,0.025195263290501382,0.1641025641025641,0.15873015873015872,6.200100000000001,0.0,2.49,0.0,22,21,23,Seattle Mariners,Seattle Mariners,Washington,3223461,1723461,4225.0,0.48999999999999994,65.0,0.7,0,0,64,1,162,162,Andres Munoz,25,0,5,0,1500000,575000,0,0,165.0,165.0,5,4,RP,RP,0.5555555555555556,0.5555555555555556,16,0,4,0,9216,1,96,1,937500,575000,750000,575000,0.008,0.007,937500,575000,5620.5009,0.0,74.97,0.0,1875000,575000,115700000,16300000,7500000,575000,90,90,1.8769000000000002,0.0004,1.37,0.02,0.7921,9.0,0.89,3.0,0,0,225,4,15,2,4,0,2,0,13.750972036826703,13.527828485512494,13.750972036826703
PHI,MIA,No,6.1,6.1,2027,0,2022,1,1,0,0,2209,36,47,6,0,0,7,2,2,2,625,25,25,5,400,25,20,5,9.7344,4.0,3.12,2.0,0.0026169494835376924,0.004534684669364804,0.051156128504194806,0.06734006734006734,0.02547443305254931,0.018138738677459215,0.1596071209330878,0.13468013468013468,10.956100000000001,182.25,3.31,13.5,30,29,30,Philadelphia Phillies,Miami Marlins,Pennsylvania,988350,315300,2948.49,10.889999999999999,54.3,3.3,1,0,59,3,162,162,Andrew Bellatti,16,0,4,0,673050,18402,8,2,190.0,190.0,15,3,RP,RP,0.5370370370370371,0.4135802469135802,4,0,2,0,6084,16,78,4,673050,18402,700000,570500,0.003,0.0,700000,570500,2013.3168999999998,0.0,44.87,0.0,700000,570500,204150000,10000000,700000,570500,87,67,0.6889,1.5011196963456546,0.83,1.22520190023753,1.7689000000000001,5.76,1.33,2.4,2,2,625,4,25,2,16,0,4,0,13.41957490007224,13.458835614025542,13.458835614025542
