"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Miles Mikolas","2022","SP","STL","$15,750,000","$1,000,000","$16,750,000","$16,750,000","0.104","$15,750,000","$17,000,000","4","$68,000,000","$58,484,870","2024","2019","30",""
"","Craig Kimbrel","2022","RP/CL","LAD","$16,000,000","$0","$16,000,000","$16,000,000","0.060","$16,000,000","$14,333,333","3","$43,000,000","$104,530,926","2023","2019","30",""
"","Mike Moustakas","2022","DH","CIN","$16,000,000","$0","$16,000,000","$16,000,000","0.139","$16,000,000","$16,000,000","4","$64,000,000","$76,169,194","2025","2020","31",""
"","Aaron Nola","2022","SP","PHI","$15,000,000","$500,000","$15,500,000","$15,500,000","0.064","$15,000,000","$11,250,000","4","$45,000,000","$40,856,353","2024","2019","25",""
"","Ronald Acuna Jr.","2022","RF","ATL","$15,000,000","$0","$15,000,000","$15,000,000","0.083","$15,000,000","$12,500,000","8","$100,000,000","$21,936,240","2029","2019","21",""
"","Jean Segura","2022","2B","PHI","$14,250,000","$600,000","$14,850,000","$14,850,000","0.061","$14,250,000","$14,000,000","5","$70,000,000","$72,037,777","2024","2017","26",""
"","A.J. Pollock","2022","LF","CHW","$11,500,000","$3,000,000","$14,500,000","$14,500,000","0.074","$11,500,000","$12,000,000","5","$60,000,000","$66,841,944","2024","2019","31",""
"","Zack Britton","2022","RP","NYY","$14,000,000","$0","$14,000,000","$14,000,000","0.055","$14,000,000","$13,000,000","3","$39,000,000","$79,572,260","2023","2019","31",""
"","Kyle Hendricks","2022","SP","CHC","$14,000,000","$0","$14,000,000","$14,000,000","0.092","$14,000,000","$13,875,000","4","$55,500,000","$46,149,468","2024","2019","29",""
"","Yoan Moncada","2022","3B","CHW","$13,000,000","$800,000","$13,800,000","$13,800,000","0.070","$14,000,000","$14,000,000","5","$70,000,000","$55,615,787","2026","2020","24",""
"","Blake Snell","2022","SP","SD","$12,500,000","$600,000","$13,100,000","$13,100,000","0.060","$12,500,000","$10,000,000","5","$50,000,000","$31,738,367","2024","2019","26",""
"","Max Muncy","2022","DH","LAD","$11,500,000","$1,500,000","$13,000,000","$13,000,000","0.049","$11,500,000","$8,666,667","3","$26,000,000","$25,787,562","2024","2020","29",""
"","Will Smith","2022","RP","HOU","$13,000,000","$0","$13,000,000","$4,642,857","0.025","$4,642,857","$13,333,333","3","$40,000,000","$43,655,815","2024","2020","30",""
"","Alex Bregman","2022","3B","HOU","$11,000,000","$1,666,667","$12,666,666","$12,666,666","0.069","$11,000,000","$20,000,000","5","$100,000,000","$44,260,474","2025","2019","24",""
"","Kevin Kiermaier","2022","CF","TB","$12,000,000","$166,668","$12,166,668","$12,166,668","0.134","$12,000,000","$8,916,667","6","$53,500,000","$46,162,095","2024","2017","26",""
"","Carlos Carrasco","2022","SP","NYM","$12,000,000","$0","$12,000,000","$12,000,000","0.046","$12,000,000","$11,750,000","4","$47,000,000","$61,607,003","2024","2019","31",""
"","Sonny Gray","2022","SP","MIN","$10,700,000","$166,667","$11,866,667","$11,866,667","0.083","$11,700,000","$10,166,667","3","$30,500,000","$48,280,796","2024","2019","29",""
"","Luis Severino","2022","SP","NYY","$11,000,000","$500,000","$11,500,000","$11,500,000","0.046","$11,000,000","$10,000,000","4","$40,000,000","$32,805,889","2024","2019","24",""
"","German Marquez","2022","SP","COL","$11,000,000","$300,000","$11,300,000","$11,300,000","0.081","$11,000,000","$8,600,000","5","$43,000,000","$24,053,538","2025","2019","23",""
"","Eugenio Suarez","2022","3B","SEA","$11,000,000","$285,714","$11,285,714","$11,285,714","0.098","$11,000,000","$11,000,000","6","$66,000,000","$37,121,225","2026","2018","26",""
"","Aaron Hicks","2022","CF","NYY","$10,500,000","$285,714","$10,785,714","$10,785,714","0.043","$10,500,000","$10,000,000","7","$70,000,000","$40,604,363","2027","2019","29",""
"","Randal Grichuk","2022","RF","COL","$9,333,333","$1,000,000","$10,333,333","$10,333,333","0.074","$3,950,000","$10,400,000","5","$52,000,000","$40,587,869","2024","2019","27",""
"","Drew Pomeranz","2022","RP","SD","$8,000,000","$2,000,000","$10,000,000","$10,000,000","0.046","$10,000,000","$8,500,000","4","$34,000,000","$42,687,462","2024","2020","31",""
"","Felipe Vazquez","2022","RP","PIT","$10,000,000","$0","$10,000,000","$10,000,000","0.152","$0","$5,625,000","4","$22,500,000","$10,002,130","2024","2018","26",""
"","Wade Miley","2022","SP","CHC","$10,000,000","$0","$10,000,000","$10,000,000","0.066","$10,000,000","$7,500,000","2","$15,000,000","$49,918,222","2023","2020","33",""
"","Tim Anderson","2022","SS","CHW","$9,500,000","$0","$9,500,000","$9,500,000","0.048","$9,448,925","$4,166,667","6","$25,000,000","$24,101,906","2025","2017","23",""
"","Miguel Sano","2022","1B","MIN","$9,250,000","$0","$9,250,000","$9,250,000","0.065","$9,250,000","$10,000,000","3","$30,000,000","$29,007,744","2024","2020","26",""
"","Nick Ahmed","2022","SS","ARI","$7,750,000","$375,000","$8,125,000","$8,125,000","0.098","$8,250,000","$8,125,000","4","$32,500,000","$26,323,695","2024","2020","29",""
"","David Peralta","2022","LF","TB","$8,000,000","$0","$8,000,000","$3,302,198","0.037","$3,302,198","$7,333,333","3","$22,000,000","$30,541,393","2023","2020","32",""
"","Will Harris","2022","RP","WSH","$8,000,000","$0","$8,000,000","$8,000,000","0.065","$8,000,000","$8,000,000","3","$24,000,000","$30,621,614","2023","2020","35",""
"","Tucker Barnhart","2022","C","DET","$7,750,000","$0","$7,750,000","$7,750,000","0.057","$7,750,000","$4,000,000","4","$16,000,000","$23,056,965","2023","2017","25",""
"","Eloy Jimenez","2022","LF","CHW","$6,500,000","$833,333","$7,333,333","$7,333,333","0.037","$6,500,000","$7,166,667","6","$43,000,000","$19,355,556","2027","2019","22",""
"","Whit Merrifield","2022","2B","TOR","$7,000,000","$0","$7,000,000","$2,461,568","0.014","$2,461,568","$4,062,500","4","$16,250,000","$18,792,486","2025","2019","29",""
"","Kyle Gibson","2022","SP","PHI","$7,000,000","$0","$7,000,000","$7,000,000","0.029","$7,000,000","$9,333,333","3","$28,000,000","$42,272,129","2023","2020","32",""
"","Christian Vazquez","2022","C","HOU","$7,000,000","$0","$7,000,000","$2,461,568","0.013","$2,461,568","$4,450,000","3","$13,350,000","$20,797,346","2023","2018","27",""
"","Scott Oberg","2022","RP","COL","$7,000,000","$0","$7,000,000","$7,000,000","0.050","$7,000,000","$4,333,333","3","$13,000,000","$14,921,284","2024","2020","29",""
"","Max Kepler","2022","RF","MIN","$6,750,000","$0","$6,750,000","$6,750,000","0.047","$6,750,000","$7,000,000","5","$35,000,000","$24,043,366","2025","2019","25",""
"","Paul DeJong","2022","SS","STL","$6,000,000","$166,666","$6,166,666","$6,166,666","0.038","$6,000,000","$4,333,333","6","$26,000,000","$14,790,556","2026","2018","24",""
"","Luis Robert","2022","CF","CHW","$6,000,000","$0","$6,000,000","$6,000,000","0.031","$6,000,000","$8,333,333","6","$50,000,000","$36,055,556","2028","2020","22",""
"","Marco Gonzales","2022","SP","SEA","$5,500,000","$250,000","$5,750,000","$5,750,000","0.050","$5,500,000","$7,500,000","4","$30,000,000","$15,342,977","2026","2020","27",""
"","Jorge Polanco","2022","2B","MIN","$5,500,000","$0","$5,500,000","$5,500,000","0.038","$5,500,000","$5,150,000","5","$25,750,000","$17,107,701","2026","2019","25",""
"","Jose Leclerc","2022","RP","TEX","$4,750,000","$500,000","$5,250,000","$5,250,000","0.036","$4,750,000","$3,687,500","4","$14,750,000","$13,734,787","2025","2019","25",""
"","Ozzie Albies","2022","2B","ATL","$5,000,000","$0","$5,000,000","$5,000,000","0.028","$5,000,000","$5,000,000","7","$35,000,000","$10,456,596","2028","2019","21",""
"","Lourdes Gurriel Jr.","2022","LF","TOR","$4,500,000","$428,571","$4,928,571","$4,928,571","0.028","$4,500,000","$3,142,857","7","$22,000,000","$11,425,926","2025","2017","23",""
"","Brandon Lowe","2022","2B","TB","$4,000,000","$0","$4,000,000","$4,000,000","0.044","$4,000,000","$4,000,000","6","$24,000,000","$8,922,996","2027","2019","24",""
"","Craig Stammen","2022","RP","SD","$4,000,000","$0","$4,000,000","$4,000,000","0.018","$4,000,000","$4,500,000","2","$9,000,000","$23,675,481","2023","2020","35",""
"","Wilmer Flores","2022","DH","SF","$3,500,000","$0","$3,500,000","$3,500,000","0.023","$3,500,000","$3,125,000","2","$6,250,000","$20,205,803","2023","2020","28",""
"","Kenta Maeda","2022","SP","MIN","$3,000,000","$125,000","$3,125,000","$3,125,000","0.022","$3,000,000","$3,125,000","8","$25,000,000","$49,414,704","2024","2016","27",""
"","Pierce Johnson","2022","RP","SD","$3,000,000","$0","$3,000,000","$3,000,000","0.014","$3,000,000","$2,500,000","2","$5,000,000","$7,531,836","2026","2020","28",""
"","Aaron Bummer","2022","RP","CHW","$2,500,000","$0","$2,500,000","$2,500,000","0.013","$2,500,000","$3,200,000","5","$16,000,000","$5,921,731","2027","2020","26",""
"","Freddy Peralta","2022","SP","MIL","$2,250,000","$234,960","$2,484,960","$2,484,960","0.019","$2,250,000","$3,100,000","5","$15,500,000","$5,728,657","2027","2020","23",""
