"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Michael Young","2013","3B","LAD","$16,000,000","$0","$16,000,000","$966,666","0.004","$966,666","$16,000,000","5","$80,000,000","$95,665,000","2014","2009","32",""
"","John Lackey","2013","SP","BOS","$15,250,000","$700,000","$15,950,000","$15,950,000","0.093","$15,250,000","$16,500,000","5","$82,500,000","$95,485,000","2016","2010","31",""
"","Hanley Ramirez","2013","DH","LAD","$15,500,000","$0","$15,500,000","$15,500,000","0.066","$15,500,000","$11,666,667","6","$70,000,000","$55,288,000","2015","2009","25",""
"","Nick Markakis","2013","RF","BAL","$15,000,000","$350,000","$15,350,000","$15,350,000","0.153","$15,000,000","$11,016,667","6","$66,100,000","$52,207,000","2016","2009","25",""
"","Chase Utley","2013","2B","PHI","$15,000,000","$285,714","$15,285,714","$15,285,714","0.094","$15,000,000","$12,142,857","7","$85,000,000","$88,278,257","0","2007","28",""
"","Justin Morneau","2013","1B","PIT","$14,000,000","$1,000,000","$15,000,000","$2,371,584","0.033","$2,371,584","$13,333,333","6","$80,000,000","$87,595,000","2014","2008","26",""
"","Robinson Cano","2013","2B","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.063","$15,000,000","$7,500,000","4","$30,000,000","$58,021,800","2014","2008","25",""
"","Curtis Granderson","2013","RF","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.063","$15,000,000","$6,050,000","5","$30,250,000","$44,905,000","2014","2008","26",""
"","Ryan Zimmerman","2013","1B","WSH","$14,000,000","$100,000","$14,275,000","$14,275,000","0.127","$14,175,000","$9,000,000","5","$45,000,000","$49,892,000","2014","2009","24",""
"","Josh Johnson","2013","SP","TOR","$13,750,000","$0","$13,750,000","$13,750,000","0.104","$13,750,000","$9,750,000","4","$39,000,000","$41,499,000","2014","2010","25",""
"","Alex Rios","2013","RF","TEX","$12,500,000","$500,000","$13,000,000","$2,551,912","0.019","$2,551,912","$9,833,571","7","$68,835,000","$60,400,000","2015","2008","26",""
"","Ervin Santana","2013","SP","KC","$13,000,000","$0","$13,000,000","$13,000,000","0.152","$13,000,000","$7,500,000","4","$30,000,000","$44,236,000","2014","2009","26",""
"","Adam Wainwright","2013","SP","STL","$12,000,000","$0","$12,150,000","$12,150,000","0.101","$12,150,000","$3,750,000","4","$15,000,000","$39,003,000","2014","2008","26",""
"","Brian McCann","2013","C","ATL","$12,000,000","$0","$12,000,000","$12,000,000","0.126","$12,000,000","$4,466,667","6","$26,800,000","$42,699,500","2014","2007","22",""
"","Jon Lester","2013","SP","BOS","$11,625,000","$0","$11,625,000","$11,625,000","0.068","$11,625,000","$6,000,000","5","$30,000,000","$31,852,403","2015","2009","24",""
"","Dustin Pedroia","2013","2B","BOS","$10,000,000","$250,000","$10,250,000","$10,250,000","0.060","$10,250,000","$6,750,000","6","$40,500,000","$31,315,984","0","2009","25",""
"","James Shields","2013","SP","KC","$10,250,000","$0","$10,250,000","$10,250,000","0.120","$10,250,000","$2,812,500","4","$11,250,000","$27,594,900","2015","2008","26",""
"","Brian Roberts","2013","2B","BAL","$10,000,000","$0","$10,000,000","$10,000,000","0.100","$10,000,000","$10,000,000","4","$40,000,000","$62,310,000","2014","2010","32",""
"","Justin Upton","2013","LF","ATL","$9,750,000","$208,333","$9,958,333","$9,958,333","0.105","$9,750,000","$8,583,333","6","$51,500,000","$29,785,000","2016","2010","22",""
"","Tim Hudson","2013","SP","ATL","$9,000,000","$0","$9,500,000","$9,500,000","0.100","$9,500,000","$9,333,333","3","$28,000,000","$97,700,000","2014","2010","34",""
"","Gavin Floyd","2013","RP","CHW","$9,500,000","$0","$9,500,000","$9,500,000","0.085","$9,500,000","$3,875,000","4","$15,500,000","$30,626,000","2014","2009","25",""
"","Chris Young","2013","RF","OAK","$8,500,000","$200,000","$8,700,000","$8,700,000","0.130","$8,700,000","$5,600,000","5","$28,000,000","$27,286,000","2014","2009","25",""
"","Yovani Gallardo","2013","RP","MIL","$7,750,000","$250,000","$8,000,000","$8,000,000","0.091","$7,750,000","$6,020,000","5","$30,100,000","$20,173,000","2016","2010","23",""
"","Franklin Gutierrez","2013","CF","SEA","$7,000,000","$312,500","$7,312,500","$7,312,500","0.088","$7,000,000","$5,062,500","4","$20,250,000","$21,634,300","2014","2010","26",""
"","Kurt Suzuki","2013","C","OAK","$6,450,000","$37,500","$6,487,500","$1,374,590","0.021","$1,374,590","$4,062,500","4","$16,250,000","$11,642,158","2014","2010","26",""
"","Evan Longoria","2013","3B","TB","$6,000,000","$0","$6,000,000","$6,000,000","0.083","$6,000,000","$2,916,667","6","$17,500,000","$18,175,000","0","2008","22",""
"","Brett Anderson","2013","SP","OAK","$5,500,000","$250,000","$5,750,000","$5,750,000","0.086","$5,500,000","$3,125,000","4","$12,500,000","$12,350,000","2015","2010","21",""
"","Ben Zobrist","2013","2B","TB","$5,500,000","$140,475","$5,640,475","$5,640,475","0.078","$5,500,000","$4,500,000","4","$18,000,000","$16,760,100","2016","2010","28",""
"","Adam Lind","2013","1B","TOR","$5,000,000","$150,000","$5,150,000","$5,150,000","0.039","$5,000,000","$4,500,000","4","$18,000,000","$12,628,200","2017","2010","26",""
"","Carlos Ruiz","2013","C","PHI","$5,000,000","$0","$5,000,000","$5,000,000","0.031","$5,000,000","$2,950,000","3","$8,850,000","$14,938,000","2014","2010","30",""
"","Denard Span","2013","CF","WSH","$4,750,000","$0","$4,750,000","$4,750,000","0.042","$4,750,000","$3,300,000","5","$16,500,000","$12,025,000","2016","2010","25",""
"","Aroldis Chapman","2013","RP","CIN","$2,000,000","$2,708,333","$4,733,333","$4,733,333","0.044","$2,025,000","$5,041,667","6","$30,250,000","$22,300,000","0","2010","21",""
"","Stephen Strasburg","2013","SP","WSH","$3,900,000","$0","$3,900,000","$3,900,000","0.035","$3,900,000","$3,775,000","4","$15,100,000","$19,000,000","0","2009","20",""
"","Adeiny Hechavarria","2013","SS","MIA","$1,750,000","$1,000,000","$2,750,000","$2,750,000","0.076","$1,750,000","$2,500,000","4","$10,000,000","$10,000,000","0","2010","20",""
"","Dustin Ackley","2013","2B","SEA","$1,500,000","$1,200,000","$2,700,000","$2,700,000","0.033","$2,700,000","$1,500,000","5","$7,500,000","$7,900,000","0","2010","21",""
"","Yasmani Grandal","2013","C","SD","$490,000","$747,500","$1,237,500","$1,237,500","0.017","$1,237,500","$1,193,500","4","$4,774,000","$3,880,000","2015","2010","21",""
"","Jacob Turner","2013","RP","MIA","$1,175,000","$0","$1,175,000","$1,175,000","0.033","$1,175,000","$1,375,000","4","$5,500,000","$4,700,000","0","2010","18",""
"","Pedro Alvarez","2013","1B","PIT","$700,000","$0","$700,000","$700,000","0.010","$700,000","$1,588,750","4","$6,355,000","$8,850,000","2015","2009","21",""
"","Jose Iglesias","2013","SS","DET","$562,500","$0","$562,500","$190,573","0.001","$562,500","$2,062,500","4","$8,250,000","$8,621,927","0","2010","19",""
