"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Paul DeJong","2023","SS","STL","$9,000,000","$166,668","$9,166,668","$9,166,668","0.115","$9,000,000","$4,333,333","6","$26,000,000","$23,790,556","2026","2018","24",""
"","Max Kepler","2023","RF","MIN","$8,500,000","$0","$8,500,000","$8,500,000","0.072","$8,500,000","$7,000,000","5","$35,000,000","$32,543,366","2025","2019","25",""
"","Scott Oberg","2023","RP","COL","$8,000,000","$0","$8,000,000","$8,000,000","0.053","$8,000,000","$4,333,333","3","$13,000,000","$22,921,284","2024","2020","29",""
"","Jorge Polanco","2023","SS","MIN","$7,500,000","$0","$7,500,000","$7,500,000","0.063","$7,500,000","$5,150,000","5","$25,750,000","$24,607,701","2026","2019","25",""
"","Ozzie Albies","2023","2B","ATL","$7,000,000","$0","$7,000,000","$7,000,000","0.045","$7,000,000","$5,000,000","7","$35,000,000","$17,456,596","2028","2019","21",""
"","Whit Merrifield","2023","2B","TOR","$2,750,000","$0","$6,750,000","$6,750,000","0.052","$6,750,000","$4,062,500","4","$16,250,000","$25,542,486","2025","2019","29",""
"","Marco Gonzales","2023","SP","SEA","$6,500,000","$250,000","$6,750,000","$6,750,000","0.089","$6,500,000","$7,500,000","4","$30,000,000","$21,842,977","2026","2020","27",""
"","Jose Leclerc","2023","RP","TEX","$6,000,000","$0","$6,000,000","$6,000,000","0.058","$750,000","$3,687,500","4","$14,750,000","$14,484,787","2025","2019","25",""
"","Lourdes Gurriel Jr.","2023","LF","TOR","$5,400,000","$428,571","$5,828,571","$5,828,571","0.045","$5,400,000","$3,142,857","7","$22,000,000","$16,825,926","2025","2017","23",""
"","Brandon Lowe","2023","2B","TB","$5,250,000","$0","$5,250,000","$5,250,000","0.140","$5,250,000","$4,000,000","6","$24,000,000","$14,172,996","2027","2019","24",""
"","Aaron Bummer","2023","RP","CHW","$3,750,000","$0","$3,750,000","$3,750,000","0.026","$3,750,000","$3,200,000","5","$16,000,000","$9,671,731","2027","2020","26",""
"","Freddy Peralta","2023","SP","MIL","$3,500,000","$234,960","$3,734,960","$3,734,960","0.094","$3,500,000","$3,100,000","5","$15,500,000","$9,228,657","2027","2020","23",""
"","Kenta Maeda","2023","SP","MIN","$3,000,000","$125,000","$3,125,000","$3,125,000","0.026","$3,000,000","$3,125,000","8","$25,000,000","$52,414,704","2024","2016","27",""
"","Evan White","2023","1B","SEA","$3,000,000","$0","$3,000,000","$3,000,000","0.040","$3,000,000","$4,000,000","6","$24,000,000","$9,306,481","2029","2020","23",""
