Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_en_contra_2_t,Bateos_en_contra_2_t_1,Bateos_en_contra_t,Bateos_en_contra_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_en_contra_2_t,Carreras_en_contra_2_t_1,Carreras_en_contra_t,Carreras_en_contra_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
LAD,LAD,6.1,6.1,2023,2023,2020,3,3,2,1,64,2401,8,49,0,0,4,3,5,5,9,961,3,31,4,676,2,26,1.6530612244897962,7.942148760330579,1.2857142857142858,2.8181818181818183,0.006049382716049383,0.00227052146794467,0.07777777777777778,0.047649989170457006,0.010000000000000002,0.018032819261940728,0.1,0.13428633311674248,3.24,20.793599999999998,1.8,4.56,30,30,32,Los Angeles Dodgers,Los Angeles Dodgers,California,16325055,13176907,100.0,2631.6899999999996,10.0,51.3,1,0,12,55,59,161,Joe Kelly,0,16,0,4,3148148,3000000,25,25,174,174.0,34,33,RP,RP,0.711864406779661,0.6521739130434783,0,1,0,1,81,3844,9,62,3148148,3000000,8500000,3000000,0.025,0.015,8500000,3000000,0.0,75.3424,0.0,8.68,8333333,8333333,15813500,85000000,25000000,25000000,42,105,0.04409999999999999,1.3834999818255351,0.21,1.1762227602905562,2.25,1.9043999999999996,1.5,1.38,7,6,49,484,7,22,0,25,0,5,14.962324901391437,15.955576721460545,15.955576721460545
PIT,PIT,6.5,6.5,2023,2023,2020,1,1,0,0,1089,28224,33,168,0,0,3,2,2,2,289,9604,17,98,289,7056,17,84,11.81640625,16.20578566732413,3.4375,4.0256410256410255,0.0020052749698053368,0.0006474629165614538,0.04478029666946543,0.02544529262086514,0.023695143686176347,0.010492645253335488,0.15393226980128744,0.10243361388399556,14.8996,19.713600000000003,3.86,4.44,27,26,27,Pittsburgh Pirates,Pittsburgh Pirates,Pennsylvania,3375904,2338867,1576.0900000000001,29002.090000000004,39.7,170.3,8,31,8,46,59,162,Joe Musgrove,25,144,5,12,1037037,582500,9,9,235,235.0,17,17,SP,SP,0.3220338983050847,0.4259259259259259,0,0,0,0,3025,24649,55,157,1037037,582500,2800000,582500,0.041,0.008,2800000,582500,3451.5625,3161.8128999999994,58.75,56.23,2800000,582500,3900000,4800000,2800000,582500,19,69,0.3364,2.8560999999999996,0.58,1.69,1.5376,1.4884,1.24,1.22,5,5,256,1521,16,39,1,121,1,11,13.851878166420862,14.845129975145433,14.845129975145433
TEX,TEX,6.1,6.1,0,0,2020,1,1,0,0,9,441,3,21,0,0,4,6,2,2,9,289,3,17,9,289,3,17,2.777777777777778,6.890625,1.6666666666666667,2.625,0.02100399075824407,0.002833100709204789,0.14492753623188406,0.05322687957418497,0.05834441877290019,0.019521834574364252,0.24154589371980678,0.13972055888223556,133.8649,84.27239999999999,11.57,9.18,25,24,25,Texas Rangers,Texas Rangers,Texas,616769,408066,5.289999999999999,278.89,2.3,16.7,0,4,2,7,59,162,Joe Palumbo,1,9,1,3,208703,56696,2,2,168,168.0,8,8,RP,RP,0.3728813559322034,0.4814814814814814,0,0,0,0,25,441,5,21,208704,56696,563500,555000,0.003,0.0,563500,555000,0.0,0.0,0.0,0.0,563500,555000,55750000,47250000,563500,555000,22,78,0.38616860499155536,1.3834999818255351,0.6214246575342464,1.1762227602905562,6.604899999999999,3.0276,2.57,1.74,0,0,9,64,3,8,0,0,0,0,12.248672259148991,13.241922612461968,13.241922612461968
STL,STL,6.4,6.4,2023,2023,2020,1,1,0,0,81,2601,9,51,0,0,2,1,2,2,36,841,6,29,16,729,4,27,6.612244897959185,3.1141868512110724,2.5714285714285716,1.7647058823529411,0.0026886145404663923,0.003246726893450541,0.05185185185185185,0.05698005698005699,0.017777777777777778,0.01011091420105705,0.13333333333333333,0.10055304172951234,5.76,13.395600000000002,2.4,3.66,27,26,27,St. Louis Cardinals,St. Louis Cardinals,Missouri,2127334,1645853,225.0,4395.69,15.0,66.3,0,0,17,64,58,162,John Gant,9,1,3,1,481481,571300,23,23,200,200.0,30,29,RP,RP,0.5172413793103449,0.5617283950617284,0,9,0,3,324,3600,18,60,481481,571300,1300000,571300,0.007,0.003,1300000,571300,0.0,6054.3961,0.0,77.81,1300000,571300,7000000,25000000,1300000,571300,30,91,0.028900000000000006,0.34809999999999997,0.17,0.59,1.1449,1.6384,1.07,1.28,11,11,49,1156,7,34,0,121,0,11,13.084622049420982,14.077874822431765,14.077874822431765
BAL,BAL,6.3,6.3,2025,0,2020,1,1,1,1,1296,19044,36,138,0,0,2,1,1,1,484,4624,22,68,484,3844,22,62,36.0,10.139196675900276,6.0,3.1842105263157894,0.0003167730215924775,0.000742025410773243,0.01779811848461734,0.02724014336917563,0.011403828777329188,0.007523541578345602,0.10678871090770405,0.08673835125448029,20.5209,12.96,4.53,3.6,26,25,27,Baltimore Orioles,Baltimore Orioles,Maryland,790825,576010,1909.6900000000003,24025.0,43.7,155.0,9,27,10,31,62,161,John Means,9,121,3,11,214815,555500,7,7,235,235.0,14,14,SP,RP,0.4354838709677419,0.3354037267080745,0,0,0,0,1764,14641,42,121,214815,555500,580000,555500,0.009,0.008,580000,555500,3562.8961,0.0,59.69,0.0,580000,555500,3800000,800000,580000,555500,27,54,0.9216,19.009600000000002,0.96,4.36,0.9801,1.2768999999999997,0.99,1.13,3,3,49,1444,7,38,4,144,2,12,12.277532471580912,13.270783382522602,13.270783382522602
CHC,CHC,6.4,6.4,2022,2022,2020,6,6,6,5,4096,42025,64,205,5000000,5000000,4,5,2,2,1225,10201,35,101,1225,7225,35,85,6.103806228373703,10.068417159763312,2.4705882352941178,3.173076923076923,0.0009588554782499064,0.0011323510263558094,0.030965391621129327,0.033650423865916004,0.005852668040252023,0.01140098250463643,0.07650273224043716,0.10677538342069501,26.625600000000002,19.8916,5.16,4.46,30,30,36,Chicago Cubs,Chicago Cubs,Illinois,190457959,162402403,3721.0,29480.889999999996,61.0,171.7,12,31,12,32,58,162,Jon Lester,9,100,3,10,18055556,25000000,17,17,240,240.0,21,20,SP,SP,0.5517241379310345,0.5185185185185185,0,0,0,0,1764,27225,42,165,10555556,27500000,15000000,22500000,0.122,0.124,20000000,27500000,129.7321,370.9476000000001,11.39,19.26,25833333,25833333,2650000,49325000,155000000,155000000,32,84,0.38616860499155536,0.6400000000000001,0.6214246575342464,0.8,1.7689000000000001,2.25,1.33,1.5,3,3,289,2704,17,52,9,169,3,13,16.172162914333857,16.523560759066484,16.811242831518264
TEX,TEX,6.2,6.2,0,0,2020,1,1,0,0,576,196,24,14,0,0,4,6,2,2,100,100,10,10,100,64,10,8,15.015625,2.1360946745562126,3.875,1.4615384615384615,0.0008221888208013771,0.0074811565602438965,0.02867383512544803,0.08649367930805058,0.012345679012345678,0.015980458687858263,0.1111111111111111,0.1264138389886893,8.41,18.6624,2.9,4.32,23,22,23,Texas Rangers,Texas Rangers,Texas,631418,422344,961.0,278.89,31.0,16.7,0,2,27,9,59,162,Jonathan Hernandez,1,1,1,1,209074,122344,2,2,175,175.0,8,8,RP,P,0.3728813559322034,0.4814814814814814,0,0,0,0,961,361,31,19,209074,122344,564500,555000,0.003,0.001,564500,555000,5596.5361,0.0,74.81,0.0,564500,555000,55750000,47250000,564500,555000,22,78,0.5476,0.0729,0.74,0.27,1.0609,2.6244000000000005,1.03,1.62,0,0,64,169,8,13,25,4,5,2,12.25044353526567,13.243695662571854,13.243695662571854
NYY,NYY,6.2,6.2,2024,0,2020,1,1,1,1,625,1849,25,43,0,0,2,5,2,2,169,1024,13,32,144,841,12,29,1.6198347107438016,17.48760330578512,1.2727272727272727,4.181818181818182,0.003172348447607355,0.0008757905366706888,0.05632360471070149,0.02959375840731773,0.0051386801300086086,0.015315477484257666,0.07168458781362008,0.12375571697605596,24.900100000000002,39.942400000000006,4.99,6.32,26,25,27,New York Yankees,New York Yankees,New York,3481931,3204153,470.89,1705.6899999999998,21.7,41.3,0,1,19,34,60,162,Jonathan Holder,0,4,0,2,277778,580300,40,40,232,232.0,56,55,RP,RP,0.55,0.6358024691358025,0,0,0,0,196,2116,14,46,277778,474240,750000,580300,0.003,0.002,750000,580300,1173.0625,0.0,34.25,0.0,750000,580300,336500000,124555000,750000,580300,33,103,0.0144,1.3834999818255351,0.12,1.1762227602905562,2.7556,1.7161000000000002,1.66,1.31,27,27,121,121,11,11,9,25,3,5,12.53457751250189,13.527828485512494,13.527828485512494
NYY,NYY,6.6,6.6,2024,2024,2020,1,1,0,0,2304,49,48,7,0,0,2,5,2,2,729,9,27,3,625,9,25,3,27.271604938271604,inf,5.222222222222222,inf,0.0005165289256198347,inf,0.022727272727272728,inf,0.01408657279869401,0.019290123456790126,0.11868686868686869,0.1388888888888889,26.1121,45.5625,5.11,6.75,27,26,27,New York Yankees,New York Yankees,New York,2294677,2036577,1936.0,16.0,44.0,4.0,10,1,10,2,60,162,Jordan Montgomery,9,0,3,0,258100,596600,40,40,228,228.0,56,55,SP,SP,0.55,0.6358024691358025,0,0,0,0,2209,25,47,5,258100,596600,805000,596600,0.002,0.003,805000,596600,2765.7081000000003,0.0,52.59,0.0,805000,596600,336500000,124555000,805000,596600,33,103,0.028900000000000006,1.3834999818255351,0.17,1.1762227602905562,1.6641000000000001,3.0625,1.29,1.75,27,27,81,0,9,0,4,0,2,0,12.461102385706706,13.5985975564007,13.5985975564007
TOR,TOR,6.5,6.5,0,0,2020,1,1,1,1,64,289,8,17,0,0,3,5,1,1,9,196,3,14,4,169,2,13,17.64,5.4444444444444455,4.2,2.3333333333333335,0.0014283029076247952,0.004271861249946601,0.03779289493575208,0.065359477124183,0.025195263290501393,0.023257911249709273,0.15873015873015875,0.15250544662309368,1.5129,58.216899999999995,1.23,7.63,26,25,27,Toronto Blue Jays,Toronto Blue Jays,Toronto,381512,171216,216.08999999999997,234.09000000000003,14.7,15.3,0,0,15,17,61,161,Jordan Romano,1,4,1,2,210296,146216,2,2,225,225.0,8,7,RP/CL,P,0.5245901639344263,0.4099378881987577,4,0,2,0,441,441,21,21,210296,146216,567800,555000,0.004,0.001,567800,555000,0.0,0.0,0.0,0.0,567800,555000,108000000,15500000,567800,555000,32,66,1.0816000000000001,1.3834999818255351,1.04,1.1762227602905562,0.7921,2.8899999999999997,0.89,1.7,2,2,25,81,5,9,4,0,2,0,12.25627134106292,13.249524523021007,13.249524523021007
DET,DET,6.2,6.2,2021,2021,2020,5,5,5,4,121,21025,11,145,0,0,5,4,1,1,36,7921,6,89,25,7396,5,86,9.0,10.758399999999998,3.0,3.28,0.0015199358587067624,0.0006151187326782564,0.03898635477582846,0.0248015873015873,0.013679422728360861,0.006617693373645755,0.11695906432748537,0.08134920634920635,63.043600000000005,47.7481,7.94,6.91,29,29,34,Detroit Tigers,Detroit Tigers,Michigan,127620259,118361000,32.49,12544.0,5.7,112.0,2,23,3,23,57,161,Jordan Zimmermann,0,169,0,13,9259259,25000000,11,11,225,225.0,16,16,RP,SP,0.4035087719298245,0.2919254658385093,0,0,0,0,36,6724,6,82,9259259,25000000,25000000,25000000,0.215,0.218,25000000,25000000,0.0,1.44,0.0,1.2,22000000,22000000,19350000,15500000,110000000,110000000,23,47,0.38616860499155536,1.3834999818255351,0.6214246575342464,1.1762227602905562,5.2441,2.3104,2.29,1.52,4,4,4,625,2,25,0,1,0,1,16.04113458182219,17.034386382832476,17.034386382832476
MIN,MIN,6.3,6.3,2026,0,2020,1,1,0,0,441,1,21,1,0,0,7,4,1,1,64,0,8,0,49,0,7,0,11.390625,1.0,3.375,1.0,0.0013717421124828531,0.0042718612499466025,0.037037037037037035,0.06535947712418301,0.015625,0.0042718612499466025,0.125,0.06535947712418301,6.916899999999999,0.0,2.63,0.0,24,23,24,Minnesota Twins,Minnesota Twins,Minnesota,735670,555000,576.0,2.8899999999999997,24.0,1.7,0,0,16,2,60,162,Jorge Alcala,1,0,1,0,180670,555000,6,6,205,205.0,17,16,RP,P,0.6,0.6234567901234568,0,0,0,0,729,1,27,1,180670,47744,563500,555000,0.003,0.0,563500,555000,0.0,0.0,0.0,0.0,563500,555000,134000000,46800000,563500,555000,36,101,0.1936,0.0025000000000000005,0.44,0.05,1.4641,1.44,1.21,1.2,3,3,64,1,8,1,4,0,2,0,12.104427441767973,13.241922612461968,13.241922612461968
BAL,KC,6.3,6.3,2025,2025,2020,1,1,1,1,2116,19600,46,140,0,0,2,5,1,2,1024,8836,32,94,841,7569,29,87,5.4444444444444455,6.735260770975057,2.3333333333333335,2.5952380952380953,0.0011688216816421947,0.0014232269623667567,0.03418803418803419,0.0377256804095931,0.006363584711163058,0.00958580472782281,0.07977207977207977,0.09790712296775353,44.7561,40.0689,6.69,6.33,26,25,27,Baltimore Orioles,Kansas City Royals,Maryland,1748361,1537501,1521.0,15301.69,39.0,123.7,6,18,10,39,62,162,Jorge Lopez,4,81,2,9,158956,562250,7,4,200,200.0,14,9,SP,SP,0.4354838709677419,0.3580246913580246,0,1,0,1,784,11881,28,109,158956,562250,586750,562250,0.007,0.005,586750,562250,396.00999999999993,54.908100000000005,19.9,7.41,586750,562250,3800000,15700000,586750,562250,27,58,0.38616860499155536,1.3834999818255351,0.6214246575342464,1.1762227602905562,2.2201,2.1609,1.49,1.47,3,2,144,1764,12,42,4,16,2,4,11.97638271334593,13.28235411371327,13.28235411371327
MIN,MIN,6.0,6.0,2023,2023,2020,1,1,1,1,3249,37636,57,194,0,0,7,4,1,1,784,8836,28,94,784,6724,28,82,6.840236686390533,14.619377162629759,2.6153846153846154,3.823529411764706,0.0021027158005406093,0.0008003748523772283,0.04585537918871252,0.028290896987851557,0.014383073759910913,0.011700981838386814,0.11992945326278659,0.10817107671825595,16.0,13.5424,4.0,3.68,25,24,26,Minnesota Twins,Minnesota Twins,Minnesota,4970943,3480202,3969.0,40120.090000000004,63.0,200.3,12,32,12,32,60,162,Jose Berrios,16,64,4,8,1490741,620000,6,6,205,205.0,17,16,SP,SP,0.6,0.6234567901234568,0,0,0,0,4624,38025,68,195,1490741,620000,4025000,620000,0.027,0.005,4025000,620000,4630.8025,7609.072900000001,68.05,87.23,4025000,620000,134000000,46800000,4025000,620000,36,101,0.5041,12.6025,0.71,3.55,1.7424000000000002,1.4884,1.32,1.22,3,3,676,2601,26,51,25,196,5,14,14.214783869737547,15.208035468834801,15.208035468834801
DET,DET,6.3,6.3,2024,0,2020,1,1,1,1,529,1225,23,35,0,0,5,4,1,1,100,441,10,21,100,289,10,17,11.559999999999999,4.432132963988919,3.4,2.1052631578947367,0.001399594033754569,0.0035766197653915774,0.03741114852225963,0.05980484734025811,0.01617930703020282,0.015852054361846328,0.12719790497568276,0.12590494176896444,9.1809,18.7489,3.03,4.33,30,29,31,Detroit Tigers,Detroit Tigers,Michigan,1174943,963387,882.0899999999999,1246.0899999999997,29.7,35.3,0,0,29,35,57,161,Jose Cisnero,9,16,3,4,211556,250656,11,11,245,245.0,16,16,RP,RP,0.4035087719298245,0.2919254658385093,1,0,1,0,1156,1600,34,40,211556,274528,571200,555000,0.005,0.002,571200,555000,4960.384900000001,0.0,70.43,0.0,571200,555000,19350000,15500000,571200,555000,23,47,0.5184,0.0841,0.72,0.29,1.2321000000000002,2.3409,1.11,1.53,4,4,100,361,10,19,9,0,3,0,12.262245017835358,13.255494690007511,13.255494690007511
CIN,TB,6.2,6.2,2026,0,2020,1,1,0,0,36,9,6,3,0,0,4,2,2,2,144,4,12,2,144,1,12,1,0.8264462809917354,5.4444444444444455,0.9090909090909091,2.3333333333333335,0.041495198902606306,0.006944444444444444,0.2037037037037037,0.08333333333333333,0.034293552812071325,0.03780864197530864,0.18518518518518517,0.19444444444444445,324.0,5.0625,18.0,2.25,27,26,27,Cincinnati Reds,Tampa Bay Rays,Ohio,2514437,2427217,36.0,16.0,6.0,4.0,0,0,5,3,59,161,Jose De Leon,0,0,0,0,87220,351000,10,1,215,215.0,16,5,RP,RP,0.5254237288135594,0.5962732919254659,0,0,0,0,100,49,10,7,87220,351000,563500,558000,0.002,0.006,563500,558000,0.0,0.0,0.0,0.0,563500,558000,144825000,33500000,563500,558000,31,96,0.38616860499155536,0.0004,0.6214246575342464,0.02,8.0089,2.25,2.83,1.5,5,0,121,9,11,3,0,1,0,1,11.376188941396757,13.241922612461968,13.241922612461968
TEX,TEX,6.0,6.0,2025,2025,2020,4,4,1,0,4,2704,2,52,500000,500000,4,6,2,2,1,1156,1,34,1,1089,1,33,2.25,6.574621959237345,1.5,2.5641025641025643,0.012345679012345678,0.003978604056151521,0.1111111111111111,0.06307617661329451,0.027777777777777776,0.026157817594684555,0.16666666666666666,0.16173378618793463,20.25,18.7489,4.5,4.33,25,25,26,Texas Rangers,Texas Rangers,Texas,4984787,4151454,4.0,4719.6900000000005,2.0,68.7,0,3,2,70,59,162,Jose Leclerc,0,16,0,4,833333,3000000,2,2,190,190.0,8,8,RP/CL,RP/CL,0.3728813559322034,0.4814814814814814,1,196,1,14,9,10000,3,100,1333333,1500000,2250000,1000000,0.021,0.01,2750000,1500000,0.0,2575.5625,0.0,50.75,3687500,3687500,55750000,47250000,14750000,14750000,22,78,0.38616860499155536,2.1025,0.6214246575342464,1.45,4.0,1.7689000000000001,2.0,1.33,0,0,4,1521,2,39,0,4,0,2,14.103192380416024,14.626440774180603,14.827111469642754
CHC,CHC,6.1,6.1,2021,2021,2020,5,5,7,6,100,36481,10,191,0,0,4,5,2,2,25,10000,5,100,25,7921,5,89,16.0,10.918714555765595,4.0,3.3043478260869565,0.0011111111111111111,0.0008933845213954192,0.03333333333333333,0.029889538661468484,0.017777777777777778,0.009754610577655844,0.13333333333333333,0.09876543209876543,20.25,21.902399999999997,4.5,4.68,24,24,31,Chicago Cubs,Chicago Cubs,Illinois,41158111,36898852,100.0,29241.0,10.0,171.0,1,31,4,32,58,162,Jose Quintana,0,81,0,9,4259259,10500000,17,17,220,220.0,21,20,RP,SP,0.5517241379310345,0.5185185185185185,0,0,0,0,144,23104,12,152,4259259,10500000,10500000,10500000,0.049,0.047,10500000,10500000,0.0,2851.56,0.0,53.4,5300000,5300000,2650000,49325000,26500000,26500000,32,84,0.0001,0.6723999999999999,0.01,0.82,1.6900000000000002,1.9320999999999997,1.3,1.39,3,3,9,2116,3,46,0,169,0,13,15.264605759453628,16.166885815127753,16.166885815127753
CHW,CHW,6.1,6.1,2025,2025,2020,1,1,0,0,4,3136,2,56,0,0,5,3,2,2,1,729,1,27,1,625,1,25,inf,2.1267361111111107,inf,1.4583333333333333,0.0027474515109743016,0.0044444444444444444,0.05241613788685982,0.06666666666666667,0.019290123456790126,0.00945216049382716,0.1388888888888889,0.09722222222222222,5.0625,31.6969,2.25,5.63,25,24,25,Chicago White Sox,Chicago White Sox,Illinois,621147,502777,16.0,1600.0,4.0,40.0,0,0,5,40,60,161,Jose Ruiz,0,16,0,4,118370,420744,6,6,245,245.0,10,9,RP,RP,0.5833333333333334,0.4472049689440994,0,0,0,0,25,1225,5,35,118370,420744,563500,555000,0.002,0.005,563500,555000,0.0,0.0,0.0,0.0,563500,555000,151500000,24500000,563500,555000,35,72,0.019600000000000003,1.3834999818255351,0.14,1.1762227602905562,0.25,4.0,0.5,2.0,3,3,0,576,0,24,0,1,0,1,11.68157059094794,13.241922612461968,13.241922612461968
MIA,MIA,6.2,6.2,2022,0,2020,1,1,0,0,484,9801,22,99,0,0,6,2,2,2,225,2809,15,53,196,2401,14,49,1.3313609467455618,5.686390532544379,1.1538461538461537,2.3846153846153846,0.0038431721952631647,0.0011633083795081578,0.0619933237958989,0.03410730683457956,0.005116649372391787,0.006615025755664731,0.07153075822603719,0.08133280860553588,29.160000000000004,27.144099999999998,5.4,5.21,28,27,28,Miami Marlins,Miami Marlins,Florida,6311924,4923035,542.89,7174.09,23.3,84.7,5,13,5,25,60,162,Jose Urena,9,100,3,10,1388889,3200000,2,2,208,208.0,3,2,SP,RP,0.5166666666666667,0.3518518518518518,0,9,0,3,225,3844,15,62,1388889,3200000,3750000,3200000,0.04,0.042,3750000,3200000,0.0,0.0,0.0,0.0,3750000,3200000,25350000,4500000,3750000,3200000,31,57,0.0729,1.3834999818255351,0.27,1.1762227602905562,2.25,2.1904,1.5,1.48,2,2,169,676,13,26,0,16,0,4,14.144014704936307,15.137266397946593,15.137266397946593
HOU,HOU,6.0,6.0,2026,0,2020,1,1,1,1,484,1444,22,38,0,0,3,3,2,2,81,324,9,18,81,324,9,18,4.515625,32.6530612244898,2.125,5.714285714285714,0.0008957401816029242,0.0003598680973259597,0.029928918817807706,0.018970189701897018,0.004044826757550705,0.011750795014725217,0.06359895248784138,0.10840108401084012,7.4529,15.602500000000001,2.73,3.95,24,23,25,Houston Astros,Houston Astros,Texas,364999,152184,882.0899999999999,1681.0,29.7,41.0,5,7,5,9,60,161,Jose Urquidy,1,1,1,1,212815,152184,3,3,217,217.0,14,13,SP,SP,0.4833333333333333,0.6583850931677019,0,0,0,0,289,1600,17,40,212815,152184,574600,555000,0.003,0.001,574600,555000,0.0,0.0,0.0,0.0,574600,555000,15650000,42250000,574600,555000,29,106,0.6723999999999999,0.3721,0.82,0.61,1.0201,1.2100000000000002,1.01,1.1,1,1,64,49,8,7,1,4,1,2,12.268178522687217,13.261429425527327,13.261429425527327
MIA,BOS,6.2,6.2,2026,2020,2020,1,1,0,0,1089,5184,33,72,0,0,6,1,2,1,441,1936,21,44,400,1600,20,40,2.6776859504132235,13.140625,1.6363636363636365,3.625,0.0021596772549752445,0.0008221888208013771,0.04647232784114913,0.02867383512544803,0.005782937443074209,0.010804074973343096,0.07604562737642585,0.1039426523297491,46.785599999999995,135.02439999999999,6.84,11.62,32,31,32,Miami Marlins,Boston Red Sox,Florida,475296,297272,691.69,3844.0,26.3,62.0,1,4,16,36,60,161,Josh A. Smith,1,36,1,6,178024,296272,2,14,220,220.0,3,24,RP,RP,0.5166666666666667,0.515527950310559,1,4,1,2,324,3364,18,58,178024,296272,575000,555000,0.005,0.001,575000,555000,0.0,0.0,0.0,0.0,575000,555000,25350000,68000000,575000,555000,31,83,0.38616860499155536,1.3834999818255351,0.6214246575342464,1.1762227602905562,2.7889,8.0656,1.67,2.84,2,9,121,256,11,16,1,0,1,0,12.089673651645953,13.262125319779487,13.262125319779487
HOU,HOU,6.3,6.3,2025,2025,2020,1,1,1,1,225,2116,15,46,0,0,3,3,2,2,196,1156,14,34,196,1024,14,32,1.5259515570934257,8.16326530612245,1.2352941176470589,2.857142857142857,0.011921217663697085,0.004024668557045275,0.10918432883750802,0.06344027551205365,0.018191200656368214,0.03285443720036959,0.13487475915221578,0.18125793003443902,52.85289999999999,22.090000000000003,7.27,4.7,26,25,27,Houston Astros,Houston Astros,Texas,873478,654700,299.29,3757.6899999999996,17.3,61.3,2,1,13,49,60,161,Josh James,0,1,0,1,218778,566800,3,3,234,234.0,14,13,SP,RP,0.4833333333333333,0.6583850931677019,0,1,0,1,441,10000,21,100,218778,566800,590700,566800,0.003,0.003,590700,566800,615.5360999999999,1842.1264,24.81,42.92,590700,566800,15650000,42250000,590700,566800,29,106,0.38616860499155536,0.0004,0.6214246575342464,0.02,3.4225000000000003,1.7424000000000002,1.85,1.32,1,1,289,1225,17,35,1,25,1,5,12.29581279602856,13.289063553295327,13.289063553295327
KC,KC,6.3,6.3,2026,0,2020,1,1,0,0,400,441,20,21,0,0,3,5,2,2,64,169,8,13,49,64,7,8,5.34765625,2.25,2.3125,1.5,0.004785074455571612,0.003314365221172562,0.06917423259835712,0.05757052389176741,0.025588933319052883,0.007457321747638266,0.15996541288370084,0.08635578583765112,6.0516,13.838400000000002,2.46,3.72,26,25,26,Kansas City Royals,Kansas City Royals,Missouri,1388859,1179248,660.49,372.49,25.7,19.3,0,0,26,16,59,162,Josh Staumont,1,0,1,0,209611,214848,4,4,200,200.0,9,9,RP,RP,0.423728813559322,0.3580246913580246,0,0,0,0,1369,225,37,15,209611,214848,565950,555000,0.006,0.002,565950,555000,2595.9025,0.0,50.95,0.0,565950,555000,7550000,15700000,565950,555000,25,58,0.5328999999999999,1.3834999818255351,0.73,1.1762227602905562,1.9599999999999997,2.5600000000000005,1.4,1.6,2,2,256,100,16,10,4,0,2,0,12.253008710967979,13.246261014060567,13.246261014060567
BOS,BOS,6.5,6.5,2026,0,2020,1,1,1,1,49,1600,7,40,0,0,8,1,1,1,64,289,8,17,64,256,8,16,1.9599999999999997,15.015625,1.4,3.875,0.005791742828084855,0.0014126437909973647,0.076103500761035,0.03758515386422363,0.011351815943046316,0.021211729424194806,0.106544901065449,0.1456424712238666,96.4324,9.2416,9.82,3.04,26,25,27,Boston Red Sox,Boston Red Sox,Massachusetts,672793,459089,53.29,2237.2899999999995,7.3,47.3,0,1,8,52,60,161,Josh Taylor,1,4,1,2,213704,459089,14,14,245,245.0,24,24,RP,RP,0.4,0.515527950310559,0,0,0,0,49,3844,7,62,213704,459089,577000,555000,0.003,0.002,577000,555000,0.0,4905.601600000001,0.0,70.04,577000,555000,19100000,68000000,577000,555000,24,83,0.38616860499155536,1.6384,0.6214246575342464,1.28,2.6895999999999995,1.3923999999999999,1.64,1.18,9,9,25,256,5,16,1,4,1,2,12.272347158960795,13.265597545490236,13.265597545490236
