Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
BOS,6.3,2013,4,2,518,268324,136,18496,1,9,38,Boston Red Sox,BOS,Massachusetts,35,1225,142,162,20164,David Ortiz,0.873,0.762129,13,230,21,0.263,0.06916900000000001,0.877,0.769129,DH,0.4382716049382716,104,10816,UFA,15500000,15000000,15500000,74.84,5601.025600000001,29000000,56433443,14500000,71,2.64,6.969600000000001,8,16.556350581889475,16.523560759066484,16.556350581889475
BOS,6.2,2013,4,2,152,23104,28,784,1,9,37,Boston Red Sox,ATL,Massachusetts,7,49,50,162,2500,David Ross,0.629,0.395641,13,230,21,0.184,0.033856,0.309,0.095481,C,0.4382716049382716,15,225,UFA,3100000,3100000,3100000,0.0,0.0,6200000,56433443,3100000,71,-0.32,0.1024,8,14.946912669455374,14.946912669455374,14.946912669455374
BAL,6.3,2014,4,1,242,58564,73,5329,1,10,28,Baltimore Orioles,TB,Maryland,7,49,83,162,6889,Delmon Young,0.779,0.6068410000000001,7,205,13,0.302,0.091204,0.512,0.262144,LF,0.5925925925925926,30,900,UFA,1000000,1000000,1000000,0.0,0.0,1000000,23300000,1000000,96,0.72,0.5184,3,13.815510557964274,13.815510557964274,13.815510557964274
TOR,5.9,2014,4,2,481,231361,132,17424,1,2,30,Toronto Blue Jays,CHC,Toronto,12,144,139,162,19321,Dioner Navarro,0.712,0.506944,2,215,5,0.274,0.07507600000000002,0.858,0.7361639999999999,C,0.5123456790123457,69,4761,UFA,3000000,3000000,3000000,43.47,1889.6408999999999,8000000,8000000,4000000,83,2.57,6.604899999999999,2,14.914122846632385,14.914122846632385,14.914122846632385
CIN,6.0,2014,4,1,4,16,0,0,2,6,28,Cincinnati Reds,CHW,Ohio,0,0,5,162,25,Dylan Axelrod,0.0,0.0,10,195,15,0.0,0.0,0.031,0.0009609999999999999,RP,0.4691358024691358,0,0,UFA,500000,500000,90163,0.0,0.0,500000,15125000,500000,76,,,5,13.122363377404328,13.122363377404328,11.409374422339322
PIT,0.0,2014,4,1,53,2809,2,4,2,1,30,Pittsburgh Pirates,LAD,Pennsylvania,0,0,32,162,1024,Edinson Volquez,0.127,0.016129,9,220,16,0.038,0.001444,0.198,0.039204,SP,0.5432098765432098,2,4,UFA,5000000,5000000,5000000,60.78,3694.2084,5000000,5000000,5000000,88,2.59,6.708099999999999,5,15.424948470398375,15.424948470398375,15.424948470398375
CHC,0.0,2013,4,4,40,1600,7,49,2,13,30,Chicago Cubs,WSH,Illinois,0,0,29,162,841,Edwin Jackson,0.4,0.16000000000000003,17,210,16,0.175,0.030624999999999996,0.179,0.032041,SP,0.4506172839506173,0,0,UFA,13000000,11000000,13000000,0.52,0.27040000000000003,52000000,9650000,13000000,73,-2.25,5.0625,2,16.38045991542581,16.213405830762646,16.38045991542581
ATL,6.2,2014,4,1,63,3969,7,49,1,5,31,Atlanta Braves,KC,Georgia,0,0,31,162,961,Ervin Santana,0.265,0.07022500000000001,18,175,23,0.111,0.012321,0.191,0.036481,SP,0.4876543209876543,1,1,UFA,14100000,14100000,14100000,36.43,1327.1449,14100000,47350000,14100000,79,1.3,1.6900000000000002,3,16.461685355348397,16.461685355348397,16.461685355348397
CHW,6.2,2014,4,1,1,1,0,0,2,10,30,Chicago White Sox,KC,Illinois,0,0,4,162,16,Felipe Paulino,0.0,0.0,6,260,9,0.0,0.0,0.025,0.0006250000000000001,SP,0.4506172839506173,0,0,UFA,1500000,1500000,1500000,0.0,0.0,1750000,12250000,1750000,73,-0.93,0.8649000000000001,3,14.22097566607244,14.22097566607244,14.22097566607244
MIA,6.4,2014,4,2,496,246016,122,14884,2,10,33,Miami Marlins,PIT,Florida,15,225,146,162,21316,Garrett Jones,0.72,0.5184,2,233,2,0.246,0.060516,0.901,0.811801,RF,0.4753086419753086,53,2809,UFA,2750000,2750000,2750000,25.02,626.0004,7750000,39486387,3875000,77,-0.74,0.5476,2,14.827111469642754,14.827111469642754,14.827111469642754
