Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Alcides Escobar,2018,UFA,KC,1,2500000,2500000,SS,140,0.864,485,112,4,34,0.231,0.593,KC,2500000,3775000,3775000,19600,0.7464959999999999,235225,12544,16,1156,0.053361000000000006,0.351649
Anibal Sanchez,2018,UFA,DET,1,2500000,2500000,SP,25,0.154,41,1,0,0,0.024,0.072,ATL,1000000,1000000,1000000,625,0.023716,1681,1,0,0,0.000576,0.005183999999999999
Chase Utley,2018,UFA,LAD,2,2000000,1000000,2B,87,0.534,164,35,1,14,0.213,0.61,LAD,1000000,1000000,1000000,7569,0.285156,26896,1225,1,196,0.045369,0.3721
Chris Young,2018,UFA,BOS,1,2000000,2000000,RF,59,0.364,113,19,6,13,0.168,0.615,LAA,2000000,2000000,2000000,3481,0.132496,12769,361,36,169,0.028224000000000003,0.378225
Jose Reyes,2018,UFA,NYM,1,2000000,2000000,3B,110,0.679,228,43,4,16,0.189,0.58,NYM,2000000,2000000,2000000,12100,0.4610410000000001,51984,1849,16,256,0.035721,0.3364
Clay Buchholz,2018,UFA,PHI,1,1500000,1500000,SP,17,0.105,31,2,0,1,0.065,0.191,ARI,1500000,1500000,1080645,289,0.011024999999999998,961,4,0,1,0.0042250000000000005,0.036481
Jesse Chavez,2018,UFA,LAA,1,1500000,1500000,RP,63,0.387,1,0,0,0,0.0,0.0,CHC,1000000,1500000,397824,3969,0.149769,1,0,0,0,0.0,0.0
Jordan Lyles,2018,UFA,SD,1,1000000,1000000,SP,37,0.227,15,0,0,1,0.0,0.167,MIL,750000,750000,229824,1369,0.051529000000000005,225,0,0,1,0.0,0.027889000000000004
Yovani Gallardo,2018,UFA,MIL,1,750000,750000,SP,21,0.13,1,0,0,0,0.0,0.0,TEX,2000000,2300000,1139785,441,0.016900000000000002,1,0,0,0,0.0,0.0
Ryan Flaherty,2018,UFA,PHI,1,750000,750000,3B,81,0.5,161,35,2,13,0.217,0.59,ATL,750000,750000,750000,6561,0.25,25921,1225,4,169,0.047089,0.34809999999999997
Dan Jennings,2018,UFA,TB,1,750000,750000,RP,73,0.448,3,2,0,0,0.667,1.667,MIL,750000,750000,750000,5329,0.20070400000000002,9,4,0,0,0.44488900000000003,2.778889
Chris Stewart,2018,UFA,PIT,1,575000,575000,C,8,0.049,15,3,0,3,0.2,0.435,ARI,575000,575000,98912,64,0.0024010000000000004,225,9,0,9,0.04000000000000001,0.189225
Austin Jackson,2018,UFA,TEX,1,545000,545000,CF,116,0.716,347,85,3,32,0.245,0.624,NYM,545000,545000,193380,13456,0.512656,120409,7225,9,1024,0.060024999999999995,0.389376
Jose Bautista,2018,UFA,ATL,1,545000,545000,RF,122,0.753,325,66,13,48,0.203,0.727,PHI,545000,545000,99620,14884,0.567009,105625,4356,169,2304,0.041209,0.5285289999999999
