Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Scott Feldman,2014,UFA,BAL,3,30000000,10000000,Houston Astros,8,43800000,HOU,70,162,9,1,0,0.4320987654320987,SP,29,0.179,2,0,0,0,0.0,0.0,1.76,39.15,31,225,6.6,12000000,12000000,12000000,841,0.032041,4,0,0,0,0.0,0.0,3.0976,1532.7224999999999
Tim Hudson,2014,UFA,ATL,3,28000000,9333333,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,SP,31,0.191,53,2,0,1,0.038,0.127,1.2,46.83,38,174,6.1,11000000,11025000,11025000,961,0.036481,2809,4,0,1,0.001444,0.016129,1.44,2193.0489
Phil Hughes,2014,UFA,NYY,3,24000000,8000000,Minnesota Twins,7,97290983,MIN,70,162,14,6,3,0.4320987654320987,RP,32,0.198,6,0,0,0,0.0,0.0,4.54,0.0,28,240,6.5,8000000,8500000,8500000,1024,0.039204,36,0,0,0,0.0,0.0,20.6116,0.0
Bronson Arroyo,2014,UFA,CIN,2,23500000,11750000,Arizona Diamondbacks,8,42450000,ARI,64,161,5,1,1,0.3975155279503105,SP,15,0.093,27,6,0,0,0.222,0.444,0.55,0.0,37,185,6.4,9500000,9500000,9500000,225,0.008649,729,36,0,0,0.049284,0.197136,0.30250000000000005,0.0
Scott Kazmir,2014,UFA,CLE,2,22000000,11000000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,SP,32,0.198,4,0,0,0,0.0,0.0,1.94,48.65,30,185,6.0,7000000,9050000,9050000,1024,0.039204,16,0,0,0,0.0,0.0,3.7636,2366.8224999999998
Jarrod Saltalamacchia,2014,UFA,BOS,3,21000000,7000000,Miami Marlins,10,39486387,MIA,77,162,2,2,2,0.4753086419753086,C,114,0.704,373,82,11,44,0.22,0.681,0.48,24.06,29,235,6.4,6000000,6000000,6000000,12996,0.49561599999999995,139129,6724,121,1936,0.0484,0.4637610000000001,0.2304,578.8835999999999
James Loney,2014,UFA,TB,3,21000000,7000000,Tampa Bay Rays,5,28150000,TB,77,162,4,1,0,0.4753086419753086,1B,155,0.957,600,174,9,69,0.29,0.716,1.52,33.67,30,235,6.3,1000000,2666666,2666666,24025,0.9158489999999999,360000,30276,81,4761,0.0841,0.512656,2.3104,1133.6689000000001
Marlon Byrd,2014,UFA,PIT,2,16000000,8000000,Philadelphia Phillies,7,59875000,PHI,73,162,14,7,2,0.4506172839506173,LF,154,0.951,591,156,25,85,0.264,0.757,3.32,57.76,36,245,6.0,8000000,8000000,8000000,23716,0.9044009999999999,349281,24336,625,7225,0.06969600000000001,0.573049,11.0224,3336.2176
Hiroki Kuroda,2014,UFA,NYY,1,16000000,16000000,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,SP,32,0.198,3,0,0,0,0.0,0.0,2.0,35.24,39,0,0.0,16000000,16000000,16000000,1024,0.039204,9,0,0,0,0.0,0.0,4.0,1241.8576
A.J. Burnett,2014,UFA,PIT,1,16000000,16000000,Philadelphia Phillies,7,59875000,PHI,73,162,14,7,2,0.4506172839506173,SP,34,0.21,60,8,0,1,0.133,0.341,0.17,12.28,37,230,6.5,7500000,11250000,11250000,1156,0.04409999999999999,3600,64,0,1,0.017689000000000003,0.11628100000000002,0.028900000000000006,150.7984
Juan Uribe,2014,UFA,LAD,2,15000000,7500000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,3B,103,0.636,386,120,9,54,0.311,0.777,4.05,57.62,35,245,6.0,6500000,7500000,7500000,10609,0.404496,148996,14400,81,2916,0.096721,0.6037290000000001,16.4025,3320.0643999999998
Ervin Santana,2014,UFA,KC,1,14100000,14100000,Atlanta Braves,5,47350000,ATL,79,162,23,18,3,0.4876543209876543,SP,31,0.191,63,7,0,1,0.111,0.265,1.3,36.43,31,175,6.2,14100000,14100000,14100000,961,0.036481,3969,49,0,1,0.012321,0.07022500000000001,1.6900000000000002,1327.1449
Justin Morneau,2014,UFA,PIT,2,12500000,6250000,Colorado Rockies,6,31250000,COL,66,161,3,1,0,0.4099378881987577,1B,135,0.833,502,160,17,82,0.319,0.86,3.16,80.69,33,220,6.4,5000000,5000000,5000000,18225,0.693889,252004,25600,289,6724,0.101761,0.7395999999999999,9.985600000000002,6510.8760999999995
Brad Ziegler,2014,UFA,ARI,2,10500000,5250000,Arizona Diamondbacks,8,42450000,ARI,64,161,5,1,1,0.3975155279503105,RP,68,0.42,1,0,0,0,0.0,0.0,0.25,17.3,34,220,6.4,4500000,4500000,4500000,4624,0.17639999999999997,1,0,0,0,0.0,0.0,0.0625,299.29
Stephen Drew,2014,UFA,BOS,1,10093443,10093443,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,2B,85,0.525,271,44,7,26,0.162,0.536,-0.06,0.0,31,200,6.0,14100000,14100000,3122950,7225,0.275625,73441,1936,49,676,0.026244,0.28729600000000005,0.0036,0.0
Rajai Davis,2014,UFA,TOR,2,10000000,5000000,Detroit Tigers,5,33500000,DET,90,162,16,11,4,0.5555555555555556,CF,134,0.827,461,130,8,51,0.282,0.721,1.61,56.52,33,195,5.9,5000000,5000000,5000000,17956,0.6839289999999999,212521,16900,64,2601,0.07952399999999998,0.519841,2.5921000000000003,3194.5104000000006
Dan Haren,2014,UFA,WSH,1,10000000,10000000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,SP,32,0.198,54,10,0,5,0.185,0.432,-0.53,36.33,33,215,6.5,10000000,11000000,11000000,1024,0.039204,2916,100,0,25,0.034225,0.18662399999999998,0.28090000000000004,1319.8689
Nelson Cruz,2014,UFA,TEX,1,8000000,8000000,Baltimore Orioles,10,23300000,BAL,96,162,13,7,3,0.5925925925925926,DH,159,0.982,613,166,40,108,0.271,0.859,4.46,91.19,33,230,6.2,8000000,8000000,8000000,25281,0.964324,375769,27556,1600,11664,0.073441,0.737881,19.8916,8315.6161
Dioner Navarro,2014,UFA,CHC,2,8000000,4000000,Toronto Blue Jays,2,8000000,TOR,83,162,5,2,2,0.5123456790123457,C,139,0.858,481,132,12,69,0.274,0.712,2.57,43.47,30,215,5.9,3000000,3000000,3000000,19321,0.7361639999999999,231361,17424,144,4761,0.07507600000000002,0.506944,6.604899999999999,1889.6408999999999
Garrett Jones,2014,UFA,PIT,2,7750000,3875000,Miami Marlins,10,39486387,MIA,77,162,2,2,2,0.4753086419753086,RF,146,0.901,496,122,15,53,0.246,0.72,-0.74,25.02,33,233,6.4,2750000,2750000,2750000,21316,0.811801,246016,14884,225,2809,0.060516,0.5184,0.5476,626.0004
Kendrys Morales,2014,UFA,SEA,1,7540983,7540983,Seattle Mariners,8,267800000,SEA,86,161,4,0,0,0.5341614906832298,DH,98,0.605,367,80,8,42,0.218,0.612,-0.67,4.3,31,225,6.1,12000000,12000000,4393442,9604,0.366025,134689,6400,64,1764,0.047524,0.374544,0.4489000000000001,18.49
Chris Young,2014,UFA,OAK,1,7250000,7250000,New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185,RF,111,0.685,325,72,11,38,0.222,0.71,0.09,51.45,30,200,6.2,500000,500000,73770,12321,0.46922500000000006,105625,5184,121,1444,0.049284,0.5041,0.0081,2647.1025000000004
Chris Young,2014,UFA,OAK,1,7250000,7250000,Seattle Mariners,8,267800000,SEA,86,161,4,0,0,0.5341614906832298,RF,111,0.685,325,72,11,38,0.222,0.71,0.09,51.45,30,200,6.2,1500000,4725000,4725000,12321,0.46922500000000006,105625,5184,121,1444,0.049284,0.5041,0.0081,2647.1025000000004
Corey Hart,2014,UFA,MIL,1,6000000,6000000,Seattle Mariners,8,267800000,SEA,86,161,4,0,0,0.5341614906832298,RF,68,0.42,232,47,6,21,0.203,0.59,-0.47,0.0,32,240,6.6,6000000,6000000,6000000,4624,0.17639999999999997,53824,2209,36,441,0.041209,0.34809999999999997,0.22089999999999999,0.0
Mike Morse,2014,UFA,BAL,1,6000000,6000000,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,LF,131,0.809,438,122,16,61,0.279,0.811,0.96,50.41,32,245,6.5,6000000,6000000,6000000,17161,0.6544810000000001,191844,14884,256,3721,0.07784100000000002,0.6577210000000001,0.9216,2541.1681
Jason Hammel,2014,UFA,BAL,1,6000000,6000000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,SP,30,0.185,37,5,0,3,0.135,0.293,3.21,0.0,31,225,6.6,6000000,6000000,2852459,900,0.034225,1369,25,0,9,0.018225,0.085849,10.3041,0.0
Mark Ellis,2014,UFA,LAD,1,5250000,5250000,St. Louis Cardinals,5,59750000,STL,89,161,27,23,11,0.5527950310559007,2B,73,0.451,178,32,0,12,0.18,0.466,-0.49,0.0,37,0,0.0,5250000,5250000,5250000,5329,0.203401,31684,1024,0,144,0.0324,0.21715600000000002,0.24009999999999998,0.0
Ryan Vogelsong,2014,UFA,SF,1,5000000,5000000,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,SP,32,0.198,61,7,0,2,0.115,0.304,0.96,37.82,36,215,6.4,5000000,5000000,5000000,1024,0.039204,3721,49,0,4,0.013225,0.092416,0.9216,1430.3524
Edinson Volquez,2014,UFA,LAD,1,5000000,5000000,Pittsburgh Pirates,1,5000000,PIT,88,162,16,9,5,0.5432098765432098,SP,32,0.198,53,2,0,2,0.038,0.127,2.59,60.78,30,220,0.0,5000000,5000000,5000000,1024,0.039204,2809,4,0,4,0.001444,0.016129,6.708099999999999,3694.2084
Jose Molina,2014,UFA,TB,2,4500000,2250000,Tampa Bay Rays,5,28150000,TB,77,162,4,1,0,0.4753086419753086,C,80,0.494,225,40,0,10,0.178,0.417,-1.91,0.0,39,0,0.0,1750000,1750000,1750000,6400,0.244036,50625,1600,0,100,0.031684,0.173889,3.6481,0.0
Gavin Floyd,2014,UFA,CHW,1,4000000,4000000,Atlanta Braves,5,47350000,ATL,79,162,23,18,3,0.4876543209876543,RP,9,0.056,18,2,0,0,0.111,0.222,0.86,0.0,31,235,6.4,4000000,4000000,4000000,81,0.0031360000000000003,324,4,0,0,0.012321,0.049284,0.7395999999999999,0.0
Jeff Baker,2014,UFA,TEX,2,3700000,1850000,Miami Marlins,10,39486387,MIA,77,162,2,2,2,0.4753086419753086,1B,90,0.556,208,55,3,28,0.264,0.701,,0.0,33,205,6.2,1600000,1600000,1600000,8100,0.3091360000000001,43264,3025,9,784,0.06969600000000001,0.4914009999999999,,0.0
Kelly Johnson,2014,UFA,TB,1,3000000,3000000,Baltimore Orioles,10,23300000,BAL,96,162,13,7,3,0.5925925925925926,2B,106,0.654,265,57,7,27,0.215,0.659,-0.08,13.83,32,195,6.1,3000000,3000000,983606,11236,0.42771600000000004,70225,3249,49,729,0.046224999999999995,0.43428100000000003,0.0064,191.2689
Nick Punto,2014,UFA,LAD,1,3000000,3000000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,SS,73,0.451,198,41,2,14,0.207,0.589,0.47,0.0,36,0,0.0,2750000,2750000,2750000,5329,0.203401,39204,1681,4,196,0.042849,0.346921,0.22089999999999999,0.0
Raul Ibanez,2014,UFA,SEA,1,2750000,2750000,Kansas City Royals,4,66500000,KC,89,162,8,3,1,0.5493827160493827,DH,90,0.556,246,41,5,26,0.167,0.549,-0.78,0.0,42,225,6.2,500000,500000,500000,8100,0.3091360000000001,60516,1681,25,676,0.027889000000000004,0.30140100000000003,0.6084,0.0
Joba Chamberlain,2014,UFA,NYY,1,2500000,2500000,Detroit Tigers,5,33500000,DET,90,162,16,11,4,0.5555555555555556,RP,69,0.426,1,0,0,0,0.0,0.0,0.91,28.25,28,245,6.3,2500000,3000000,3000000,4761,0.181476,1,0,0,0,0.0,0.0,0.8281000000000001,798.0625
Paul Konerko,2014,UFA,CHW,1,2500000,2500000,Chicago White Sox,10,12250000,CHW,73,162,9,6,3,0.4506172839506173,1B,81,0.5,208,43,5,22,0.207,0.572,-1.01,0.0,38,0,0.0,2500000,2500000,2500000,6561,0.25,43264,1849,25,484,0.042849,0.3271839999999999,1.0201,0.0
Brayan Pena,2014,UFA,DET,2,2275000,1137500,Cincinnati Reds,6,15125000,CIN,76,162,15,10,5,0.4691358024691358,C,115,0.71,348,88,5,26,0.253,0.645,-0.37,10.4,32,242,5.9,875000,875000,875000,13225,0.5041,121104,7744,25,676,0.064009,0.41602500000000003,0.1369,108.16000000000001
LaTroy Hawkins,2014,UFA,NYM,1,2250000,2250000,Colorado Rockies,6,31250000,COL,66,161,3,1,0,0.4099378881987577,RP/CL,57,0.352,1,0,0,0,0.0,0.0,0.83,81.74,41,195,6.5,2250000,2250000,2250000,3249,0.12390399999999999,1,0,0,0,0.0,0.0,0.6889,6681.427599999999
Mark Reynolds,2014,UFA,NYY,1,2000000,2000000,Milwaukee Brewers,7,57600000,MIL,82,162,4,1,0,0.5061728395061729,3B,130,0.803,378,74,22,45,0.196,0.681,0.67,34.75,30,220,6.2,2000000,2000000,2000000,16900,0.6448090000000001,142884,5476,484,2025,0.038416000000000006,0.4637610000000001,0.4489000000000001,1207.5625
Colby Lewis,2014,UFA,TEX,1,2000000,2000000,Texas Rangers,7,136050000,TEX,67,162,6,2,0,0.4135802469135802,SP,29,0.179,5,2,0,1,0.4,0.8,-0.41,16.13,34,238,6.4,2000000,2000000,2000000,841,0.032041,25,4,0,1,0.16000000000000003,0.6400000000000001,0.16809999999999997,260.1769
J.P. Arencibia,2014,UFA,TOR,1,1800000,1800000,Texas Rangers,7,136050000,TEX,67,162,6,2,0,0.4135802469135802,1B,63,0.389,203,36,10,35,0.177,0.608,-1.22,0.0,28,203,6.0,1800000,1800000,1800000,3969,0.151321,41209,1296,100,1225,0.031328999999999996,0.369664,1.4884,0.0
Jamey Wright,2014,UFA,TB,1,1800000,1800000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,RP,61,0.377,5,0,0,0,0.0,0.0,-0.2,37.98,39,240,6.6,1800000,1800000,1800000,3721,0.142129,25,0,0,0,0.0,0.0,0.04000000000000001,1442.4803999999997
Felipe Paulino,2014,UFA,KC,1,1750000,1750000,Chicago White Sox,10,12250000,CHW,73,162,9,6,3,0.4506172839506173,SP,4,0.025,1,0,0,0,0.0,0.0,-0.93,0.0,30,260,6.2,1500000,1500000,1500000,16,0.0006250000000000001,1,0,0,0,0.0,0.0,0.8649000000000001,0.0
Lyle Overbay,2014,UFA,NYY,1,1500000,1500000,Milwaukee Brewers,7,57600000,MIL,82,162,4,1,0,0.5061728395061729,1B,121,0.747,258,60,4,35,0.233,0.661,-0.39,12.78,37,235,6.2,1500000,1500000,1500000,14641,0.558009,66564,3600,16,1225,0.054289000000000004,0.43692100000000006,0.1521,163.3284
Daisuke Matsuzaka,2014,UFA,NYM,1,1500000,1500000,New York Mets,10,93775000,NYM,79,162,8,5,2,0.4876543209876543,SP,34,0.21,11,2,0,1,0.182,0.432,,7.54,33,200,6.0,1500000,1500000,1500000,1156,0.04409999999999999,121,4,0,1,0.033124,0.18662399999999998,,56.8516
Paul Maholm,2014,UFA,ATL,1,1500000,1500000,Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795,RP,30,0.185,9,0,0,0,0.0,0.182,,0.0,32,245,6.2,1500000,1500000,1500000,900,0.034225,81,0,0,0,0.0,0.033124,,0.0
Delmon Young,2014,UFA,TB,1,1000000,1000000,Baltimore Orioles,10,23300000,BAL,96,162,13,7,3,0.5925925925925926,LF,83,0.512,242,73,7,30,0.302,0.779,0.72,0.0,28,205,6.3,1000000,1000000,1000000,6889,0.262144,58564,5329,49,900,0.091204,0.6068410000000001,0.5184,0.0
Tyler Colvin,2014,UFA,COL,1,1000000,1000000,San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534,RP,57,0.352,139,31,2,18,0.223,0.65,0.0,96.3,28,210,6.3,1000000,1000000,448087,3249,0.12390399999999999,19321,961,4,324,0.049729,0.42250000000000004,0.0,9273.689999999999
Scott Baker,2014,UFA,CHC,1,1000000,1000000,Texas Rangers,7,136050000,TEX,67,162,6,2,0,0.4135802469135802,SP,25,0.154,1,0,0,0,0.0,0.0,-0.15,6.04,32,215,6.4,1000000,1000000,1000000,625,0.023716,1,0,0,0,0.0,0.0,0.0225,36.4816
Jeff Francoeur,2014,UFA,CLE,1,925000,925000,San Diego Padres,7,25700000,SD,77,161,5,2,0,0.4782608695652174,LF,10,0.062,24,2,0,1,0.083,0.262,-0.34,0.0,30,220,6.4,1000000,1000000,103825,100,0.0038439999999999998,576,4,0,1,0.006889000000000001,0.06864400000000001,0.11560000000000002,0.0
Kevin Frandsen,2014,UFA,PHI,1,900000,900000,Washington Nationals,8,14150000,WSH,96,162,3,1,0,0.5925925925925926,3B,105,0.648,220,57,1,17,0.259,0.608,-0.64,3.33,32,189,6.0,900000,950000,950000,11025,0.419904,48400,3249,1,289,0.067081,0.369664,0.4096,11.0889
John Baker,2014,UFA,LAD,1,875000,875000,Chicago Cubs,13,9650000,CHC,73,162,16,17,2,0.4506172839506173,C,68,0.42,182,35,0,15,0.192,0.504,,0.0,33,213,6.1,875000,875000,875000,4624,0.17639999999999997,33124,1225,0,225,0.036864,0.254016,,0.0
John McDonald,2014,UFA,BOS,1,850000,850000,Los Angeles Angels,8,22100000,LAA,98,161,10,1,1,0.6086956521739131,SS,95,0.586,76,13,0,5,0.171,0.453,,0.0,39,0,0.0,850000,850000,850000,9025,0.343396,5776,169,0,25,0.029241000000000003,0.205209,,0.0
Zach Duke,2014,UFA,CIN,1,850000,850000,Milwaukee Brewers,7,57600000,MIL,82,162,4,1,0,0.5061728395061729,RP,74,0.457,1,0,0,0,0.0,0.0,1.14,68.05,31,210,6.2,850000,850000,850000,5476,0.208849,1,0,0,0,0.0,0.0,1.2995999999999999,4630.8025
Sam Fuld,2014,UFA,TB,1,800000,800000,Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098,CF,113,0.698,351,84,4,36,0.239,0.663,0.75,43.76,32,180,5.9,800000,800000,349727,12769,0.4872039999999999,123201,7056,16,1296,0.057121,0.43956900000000004,0.5625,1914.9375999999997
Chris Coghlan,2014,UFA,MIA,1,800000,800000,Chicago Cubs,13,9650000,CHC,73,162,16,17,2,0.4506172839506173,LF,125,0.772,385,109,9,41,0.283,0.804,0.75,59.3,29,195,6.0,800000,800000,651366,15625,0.5959840000000001,148225,11881,81,1681,0.08008899999999998,0.6464160000000001,0.5625,3516.49
Brennan Boesch,2014,UFA,NYY,1,800000,800000,Los Angeles Angels,8,22100000,LAA,98,161,10,1,1,0.6086956521739131,RF,27,0.167,75,14,2,7,0.187,0.496,-0.51,0.0,29,235,6.5,800000,800000,800000,729,0.027889000000000004,5625,196,4,49,0.034969,0.24601599999999998,0.2601,0.0
Adam Rosales,2014,UFA,OAK,1,750000,750000,Texas Rangers,7,136050000,TEX,67,162,6,2,0,0.4135802469135802,2B,56,0.346,164,43,4,19,0.262,0.706,1.22,0.0,31,200,6.2,750000,750000,750000,3136,0.11971599999999999,26896,1849,16,361,0.06864400000000001,0.49843599999999993,1.4884,0.0
Grady Sizemore,2014,UFA,CLE,1,750000,750000,Philadelphia Phillies,7,59875000,PHI,73,162,14,7,2,0.4506172839506173,RF,112,0.691,347,81,5,27,0.233,0.654,-0.07,21.63,31,210,6.2,500000,500000,218579,12544,0.47748099999999993,120409,6561,25,729,0.054289000000000004,0.42771600000000004,0.004900000000000001,467.85689999999994
Ryan Kalish,2014,UFA,BOS,1,550000,550000,Chicago Cubs,13,9650000,CHC,73,162,16,17,2,0.4506172839506173,LF,57,0.352,121,30,0,5,0.248,0.642,,0.0,26,0,0.0,550000,550000,550000,3249,0.12390399999999999,14641,900,0,25,0.061503999999999996,0.41216400000000003,,0.0
A.J. Pierzynski,2014,UFA,BOS,1,500000,500000,St. Louis Cardinals,5,59750000,STL,89,161,27,23,11,0.5527950310559007,C,102,0.63,338,85,5,37,0.252,0.625,-0.24,12.26,37,250,6.3,167539,167539,167539,10404,0.39690000000000003,114244,7225,25,1369,0.063504,0.390625,0.0576,150.3076
Dylan Axelrod,2014,UFA,CHW,1,500000,500000,Cincinnati Reds,6,15125000,CIN,76,162,15,10,5,0.4691358024691358,RP,5,0.031,4,0,0,0,0.0,0.0,,0.0,28,195,6.0,500000,500000,90163,25,0.0009609999999999999,16,0,0,0,0.0,0.0,,0.0
John Buck,2014,UFA,SEA,1,0,0,Los Angeles Angels,8,22100000,LAA,98,161,10,1,1,0.6086956521739131,C,32,0.198,89,20,1,6,0.225,0.57,-0.03,0.0,33,230,6.2,500000,500000,73770,1024,0.039204,7921,400,1,36,0.050625,0.32489999999999997,0.0009,0.0
Jim Johnson,2014,UFA,OAK,1,0,0,Detroit Tigers,5,33500000,DET,90,162,16,11,4,0.5555555555555556,RP,54,0.333,1,0,0,0,0.0,0.0,-1.31,3.09,31,250,6.6,500000,500000,117486,2916,0.11088900000000002,1,0,0,0,0.0,0.0,1.7161000000000002,9.5481
