Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Melky Cabrera,2013,UFA,SF,2,16000000,8000000,Toronto Blue Jays,7,36750000,TOR,74,162,5,2,2,0.4567901234567901,LF,88,0.543,344,96,3,30,0.279,0.682,0.14,0.0,28,210,0.0,8000000,8000000,8000000,7744,0.294849,118336,9216,9,900,0.07784100000000002,0.4651240000000001,0.019600000000000003,0.0
Brandon McCarthy,2013,UFA,OAK,2,15500000,7750000,Arizona Diamondbacks,7,54650000,ARI,81,162,5,1,1,0.5,SP,22,0.136,37,1,0,0,0.027,0.127,-0.22,34.32,29,225,6.7,4000000,5250000,5250000,484,0.018496000000000002,1369,1,0,0,0.0007289999999999999,0.016129,0.0484,1177.8624
Joe Blanton,2013,UFA,LAD,2,15000000,7500000,Los Angeles Angels,8,153500000,LAA,78,162,10,1,1,0.4814814814814814,RP,28,0.173,6,1,0,0,0.167,0.333,-1.92,0.0,32,252,6.3,6500000,6500000,6500000,784,0.029928999999999997,36,1,0,0,0.027889000000000004,0.11088900000000002,3.6864,0.0
Hiroki Kuroda,2013,UFA,NYY,1,15000000,15000000,New York Yankees,8,64000000,NYY,85,162,50,40,27,0.5246913580246914,SP,32,0.198,6,0,0,0,0.0,0.0,3.96,52.5,38,0,0.0,15000000,15000000,15000000,1024,0.039204,36,0,0,0,0.0,0.0,15.6816,2756.25
Ryan Ludwick,2013,UFA,CIN,2,15000000,7500000,Cincinnati Reds,12,41800000,CIN,90,162,15,10,5,0.5555555555555556,LF,38,0.235,129,31,2,12,0.24,0.618,-0.91,0.0,34,214,6.2,1000000,2000000,2000000,1444,0.055224999999999996,16641,961,4,144,0.0576,0.381924,0.8281000000000001,0.0
Hisashi Iwakuma,2013,UFA,SEA,2,14000000,7000000,Seattle Mariners,10,28400000,SEA,71,162,4,0,0,0.4382716049382716,SP,33,0.204,3,0,0,0,0.0,0.0,7.22,90.46,32,210,6.3,6500000,6550000,6550000,1089,0.04161599999999999,9,0,0,0,0.0,0.0,52.1284,8183.011599999999
Ichiro Suzuki,2013,UFA,NYY,2,13000000,6500000,New York Yankees,8,64000000,NYY,85,162,50,40,27,0.5246913580246914,RF,150,0.926,520,136,7,35,0.262,0.639,1.65,17.47,39,175,6.0,6500000,6500000,6500000,22500,0.8574760000000001,270400,18496,49,1225,0.06864400000000001,0.408321,2.7224999999999997,305.20089999999993
Dan Haren,2013,UFA,LAA,1,13000000,13000000,Washington Nationals,11,67000000,WSH,86,162,2,1,0,0.5308641975308642,SP,31,0.191,47,8,0,2,0.17,0.438,0.05,11.67,32,215,6.5,13000000,13000000,13000000,961,0.036481,2209,64,0,4,0.028900000000000006,0.191844,0.0025000000000000005,136.1889
Jonny Gomes,2013,UFA,OAK,2,10000000,5000000,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,LF,116,0.716,311,77,13,52,0.248,0.773,1.11,41.03,32,205,6.1,5000000,5000000,5000000,13456,0.512656,96721,5929,169,2704,0.061503999999999996,0.597529,1.2321000000000002,1683.4609
Maicer Izturis,2013,UFA,LAA,3,10000000,3333333,Toronto Blue Jays,7,36750000,TOR,74,162,5,2,2,0.4567901234567901,2B,107,0.661,365,86,5,32,0.236,0.597,-0.98,5.48,32,155,5.8,3000000,3000000,3000000,11449,0.43692100000000006,133225,7396,25,1024,0.055695999999999996,0.356409,0.9603999999999999,30.030400000000004
Kevin Correia,2013,UFA,PIT,2,10000000,5000000,Minnesota Twins,7,15515000,MIN,66,162,14,6,3,0.4074074074074074,SP,32,0.198,7,0,0,0,0.0,0.0,2.07,40.26,32,200,6.3,4500000,4500000,4500000,1024,0.039204,49,0,0,0,0.0,0.0,4.2848999999999995,1620.8675999999998
Carlos Villanueva,2013,UFA,TOR,2,10000000,5000000,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,RP,47,0.29,32,5,0,1,0.156,0.313,1.44,0.0,29,215,6.2,5000000,5000000,5000000,2209,0.0841,1024,25,0,1,0.024336,0.097969,2.0736,0.0
Stephen Drew,2013,UFA,OAK,1,9500000,9500000,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,2B,124,0.765,441,112,13,67,0.254,0.778,2.65,57.35,30,200,6.0,9500000,10000000,10000000,15376,0.585225,194481,12544,169,4489,0.064516,0.605284,7.0225,3289.0225
A.J. Pierzynski,2013,UFA,CHW,1,7500000,7500000,Texas Rangers,12,33750000,TEX,91,162,6,2,0,0.5617283950617284,C,134,0.822,503,137,17,70,0.272,0.722,1.84,28.32,36,250,6.3,7500000,7500000,7500000,17956,0.675684,253009,18769,289,4900,0.07398400000000001,0.521284,3.3856,802.0224000000001
Joe Saunders,2013,UFA,BAL,1,6500000,6500000,Seattle Mariners,10,28400000,SEA,71,162,4,0,0,0.4382716049382716,SP,33,0.204,5,0,0,0,0.0,0.0,-0.23,12.78,31,215,6.3,6500000,6500000,6500000,1089,0.04161599999999999,25,0,0,0,0.0,0.0,0.0529,163.3284
David Ross,2013,UFA,ATL,2,6200000,3100000,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,C,36,0.222,102,22,4,10,0.216,0.681,0.76,0.0,36,230,6.2,3100000,3100000,3100000,1296,0.049284,10404,484,16,100,0.046655999999999996,0.4637610000000001,0.5776,0.0
Scott Feldman,2013,UFA,TEX,1,6000000,6000000,Baltimore Orioles,4,2000000,BAL,85,162,12,7,3,0.5246913580246914,SP,31,0.191,37,6,1,8,0.162,0.459,0.65,42.8,30,225,6.6,6000000,6000000,2983606,961,0.036481,1369,36,1,64,0.026244,0.210681,0.42250000000000004,1831.8399999999997
Tom Gorzelanny,2013,UFA,WSH,2,5700000,2850000,Milwaukee Brewers,7,43300000,MIL,74,162,4,1,0,0.4567901234567901,RP,43,0.265,17,1,0,0,0.059,0.118,0.28,0.0,30,210,6.2,2600000,2750000,2750000,1849,0.07022500000000001,289,1,0,0,0.0034809999999999997,0.013923999999999999,0.07840000000000001,0.0
Scott Baker,2013,UFA,MIN,1,5500000,5500000,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,SP,3,0.019,3,0,0,0,0.0,0.0,0.23,0.0,31,215,6.4,5500000,5500000,5500000,9,0.000361,9,0,0,0,0.0,0.0,0.0529,0.0
Scott Hairston,2013,UFA,NYM,2,5000000,2500000,Washington Nationals,11,67000000,WSH,86,162,2,1,0,0.5308641975308642,RF,85,0.525,157,30,10,26,0.191,0.651,,0.0,33,204,6.0,2500000,2500000,1161202,7225,0.275625,24649,900,100,676,0.036481,0.42380100000000004,,0.0
Mike Napoli,2013,UFA,TEX,1,5000000,5000000,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,1B,139,0.858,498,129,23,92,0.259,0.842,4.01,87.65,31,225,6.1,5000000,13000000,13000000,19321,0.7361639999999999,248004,16641,529,8464,0.067081,0.7089639999999999,16.080099999999998,7682.522500000001
Mike Pelfrey,2013,UFA,NYM,1,4000000,4000000,Minnesota Twins,7,15515000,MIN,66,162,14,6,3,0.4074074074074074,RP,29,0.179,1,0,0,0,0.0,0.0,0.02,0.0,29,240,6.7,4000000,4000000,4000000,841,0.032041,1,0,0,0,0.0,0.0,0.0004,0.0
Jack Hannahan,2013,UFA,CLE,2,4000000,2000000,Cincinnati Reds,12,41800000,CIN,90,162,15,10,5,0.5555555555555556,1B,83,0.512,139,30,1,14,0.216,0.605,-0.35,0.0,33,0,0.0,1000000,1000000,1000000,6889,0.262144,19321,900,1,196,0.046655999999999996,0.366025,0.12249999999999998,0.0
Roberto Hernandez,2013,UFA,CLE,1,3250000,3250000,Tampa Bay Rays,10,19090000,TB,91,162,4,1,0,0.5617283950617284,RP,32,0.196,4,0,0,0,0.0,0.0,,0.0,32,230,6.4,3250000,3250000,3250000,1024,0.038416000000000006,16,0,0,0,0.0,0.0,,0.0
Gerald Laird,2013,UFA,DET,2,3000000,1500000,Atlanta Braves,3,77250000,ATL,96,162,23,18,3,0.5925925925925926,C,47,0.29,121,34,1,13,0.281,0.739,,0.0,33,218,6.2,1500000,1500000,1500000,2209,0.0841,14641,1156,1,169,0.07896100000000002,0.546121,,0.0
Eric Chavez,2013,UFA,NYY,1,3000000,3000000,Arizona Diamondbacks,7,54650000,ARI,81,162,5,1,1,0.5,3B,80,0.494,228,64,9,44,0.281,0.81,,0.0,35,208,0.0,3000000,3000000,3000000,6400,0.244036,51984,4096,81,1936,0.07896100000000002,0.6561000000000001,,0.0
Jason Marquis,2013,UFA,SD,1,3000000,3000000,San Diego Padres,3,3550000,SD,76,162,5,2,0,0.4691358024691358,SP,21,0.13,42,5,0,2,0.119,0.262,-0.15,11.89,34,210,6.1,3000000,3000000,3000000,441,0.016900000000000002,1764,25,0,4,0.014160999999999998,0.06864400000000001,0.0225,141.37210000000002
Carlos Pena,2013,UFA,TB,1,2900000,2900000,Kansas City Royals,5,26100000,KC,86,162,7,2,1,0.5308641975308642,1B,89,0.549,280,58,8,25,0.207,0.668,-0.31,0.0,35,0,0.0,490000,490000,74972,7921,0.30140100000000003,78400,3364,64,625,0.042849,0.44622400000000007,0.0961,0.0
J.P. Howell,2013,UFA,TB,1,2850000,2850000,Los Angeles Dodgers,7,150850000,LAD,92,162,27,25,6,0.5679012345679012,RP,67,0.414,1,0,0,0,0.0,0.0,1.65,64.65,30,180,6.0,2850000,2850000,2850000,4489,0.171396,1,0,0,0,0.0,0.0,2.7224999999999997,4179.6225
Geovany Soto,2013,UFA,TEX,1,2750000,2750000,Texas Rangers,12,33750000,TEX,91,162,6,2,0,0.5617283950617284,C,54,0.331,163,40,9,22,0.245,0.794,1.44,0.0,30,220,6.1,2750000,2750000,2750000,2916,0.109561,26569,1600,81,484,0.060024999999999995,0.6304360000000001,2.0736,0.0
Raul Ibanez,2013,UFA,NYY,1,2750000,2750000,Seattle Mariners,10,28400000,SEA,71,162,4,0,0,0.4382716049382716,DH,123,0.759,453,110,29,65,0.243,0.795,0.46,55.4,41,225,6.2,2750000,2750000,2750000,15129,0.5760810000000001,205209,12100,841,4225,0.059049,0.6320250000000001,0.2116,3069.16
John Lannan,2013,UFA,WSH,1,2500000,2500000,Philadelphia Phillies,6,16350000,PHI,73,162,14,7,2,0.4506172839506173,RP,14,0.086,21,4,0,1,0.191,0.499,-0.35,0.0,28,235,6.4,2500000,2500000,2500000,196,0.007395999999999999,441,16,0,1,0.036481,0.249001,0.12249999999999998,0.0
Kelly Johnson,2013,UFA,TOR,1,2450000,2450000,Tampa Bay Rays,10,19090000,TB,91,162,4,1,0,0.5617283950617284,2B,118,0.724,366,86,16,52,0.235,0.715,1.33,40.09,31,195,6.1,2450000,2450000,2450000,13924,0.524176,133956,7396,256,2704,0.055224999999999996,0.5112249999999999,1.7689000000000001,1607.2081000000003
Nate Schierholtz,2013,UFA,PHI,1,2250000,2250000,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,RF,137,0.846,461,116,21,68,0.252,0.772,1.69,56.85,29,215,6.2,2250000,2250000,2250000,18769,0.7157159999999999,212521,13456,441,4624,0.063504,0.5959840000000001,2.8560999999999996,3231.9225
James Loney,2013,UFA,BOS,1,2000000,2000000,Tampa Bay Rays,10,19090000,TB,91,162,4,1,0,0.5617283950617284,1B,158,0.969,549,164,13,75,0.299,0.778,2.59,58.28,29,235,6.3,2000000,2000000,2000000,24964,0.9389609999999999,301401,26896,169,5625,0.089401,0.605284,6.708099999999999,3396.5584000000003
Chris Young,2013,UFA,NYM,1,2000000,2000000,Oakland Athletics,3,3000000,OAK,96,162,25,15,9,0.5925925925925926,RF,106,0.654,335,67,12,40,0.2,0.657,-0.29,18.99,29,200,6.2,8500000,8700000,8700000,11236,0.42771600000000004,112225,4489,144,1600,0.04000000000000001,0.43164900000000006,0.0841,360.6200999999999
Dioner Navarro,2013,UFA,CIN,1,1750000,1750000,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,C,89,0.549,240,72,13,34,0.3,0.856,1.94,0.0,29,215,5.9,1750000,1750000,1750000,7921,0.30140100000000003,57600,5184,169,1156,0.09,0.7327359999999999,3.7636,0.0
Jeff Baker,2013,UFA,ATL,1,1750000,1750000,Texas Rangers,12,33750000,TEX,91,162,6,2,0,0.5617283950617284,1B,74,0.454,154,43,11,21,0.279,0.905,,0.0,32,205,6.2,1750000,1750000,1750000,5476,0.20611600000000002,23716,1849,121,441,0.07784100000000002,0.819025,,0.0
Robert Andino,2013,UFA,SEA,1,1600000,1600000,Pittsburgh Pirates,8,28875000,PIT,94,162,15,9,5,0.5802469135802469,CF,28,0.173,76,14,0,4,0.184,0.49,-0.4,0.0,29,195,6.0,1600000,1600000,542076,784,0.029928999999999997,5776,196,0,16,0.033856,0.24009999999999998,0.16000000000000003,0.0
Jeff Francis,2013,UFA,COL,1,1500000,1500000,Colorado Rockies,7,5800000,COL,74,162,3,1,0,0.4567901234567901,SP,23,0.142,14,1,0,1,0.071,0.365,-0.7,4.78,32,200,6.5,1500000,1500000,1500000,529,0.020163999999999998,196,1,0,1,0.0050409999999999995,0.13322499999999998,0.48999999999999994,22.8484
Lyle Overbay,2013,UFA,ATL,1,1250000,1250000,New York Yankees,8,64000000,NYY,85,162,50,40,27,0.5246913580246914,1B,142,0.877,445,107,14,59,0.24,0.688,0.25,24.58,36,235,6.2,1250000,1250000,1250000,20164,0.769129,198025,11449,196,3481,0.0576,0.47334399999999993,0.0625,604.1764
Erik Bedard,2013,UFA,PIT,1,1150000,1150000,Houston Astros,5,5900000,HOU,51,162,9,1,0,0.3148148148148148,SP,32,0.198,3,0,0,0,0.0,0.0,0.96,16.69,34,0,0.0,1150000,1150000,1150000,1024,0.039204,9,0,0,0,0.0,0.0,0.9216,278.5561
Ronny Cedeno,2013,UFA,NYM,1,1150000,1150000,San Diego Padres,3,3550000,SD,76,162,5,2,0,0.4691358024691358,SS,89,0.549,264,64,3,21,0.242,0.617,-0.64,0.0,30,195,6.0,490000,490000,147267,7921,0.30140100000000003,69696,4096,9,441,0.058564,0.380689,0.4096,0.0
Manny Parra,2013,UFA,MIL,1,1000000,1000000,Cincinnati Reds,12,41800000,CIN,90,162,15,10,5,0.5555555555555556,RP,57,0.352,2,1,0,0,0.5,1.0,0.54,30.37,30,215,6.3,1000000,1000000,1000000,3249,0.12390399999999999,4,1,0,0,0.25,1.0,0.2916,922.3369
Don Kelly,2013,UFA,DET,1,900000,900000,Detroit Tigers,4,107775000,DET,93,162,15,11,4,0.5740740740740741,CF,112,0.691,216,48,6,23,0.222,0.652,-0.67,9.91,33,217,6.4,900000,900000,900000,12544,0.47748099999999993,46656,2304,36,529,0.049284,0.42510400000000004,0.4489000000000001,98.2081
Brayan Pena,2013,UFA,KC,1,875000,875000,Detroit Tigers,4,107775000,DET,93,162,15,11,4,0.5740740740740741,C,71,0.438,229,68,4,22,0.297,0.713,0.36,0.0,31,242,5.9,875000,875000,875000,5041,0.191844,52441,4624,16,484,0.088209,0.508369,0.1296,0.0
Kevin Slowey,2013,UFA,CLE,1,750000,750000,Miami Marlins,12,7675000,MIA,62,162,2,2,2,0.382716049382716,RP,20,0.124,21,1,0,0,0.048,0.178,,0.0,29,0,0.0,750000,750000,750000,400,0.015375999999999999,441,1,0,0,0.002304,0.031684,,0.0
Delmon Young,2013,UFA,DET,1,750000,750000,Tampa Bay Rays,10,19090000,TB,91,162,4,1,0,0.5617283950617284,LF,103,0.636,334,87,11,38,0.261,0.715,-1.03,20.4,27,205,6.3,490000,490000,80327,10609,0.404496,111556,7569,121,1444,0.068121,0.5112249999999999,1.0609,416.15999999999997
Marlon Byrd,2013,UFA,BOS,1,700000,700000,Pittsburgh Pirates,8,28875000,PIT,94,162,15,9,5,0.5802469135802469,LF,147,0.907,532,155,24,88,0.291,0.847,3.86,86.8,35,245,6.0,700000,700000,131720,21609,0.8226490000000001,283024,24025,576,7744,0.08468099999999999,0.717409,14.8996,7534.24
Eric Fryer,2013,UFA,PIT,1,515000,515000,Minnesota Twins,7,15515000,MIN,66,162,14,6,3,0.4074074074074074,C,6,0.037,13,5,1,4,0.385,1.192,0.45,0.0,27,215,6.2,490000,490000,58907,36,0.0013689999999999998,169,25,1,16,0.148225,1.420864,0.2025,0.0
Brandon Snyder,2013,UFA,TEX,1,0,0,Boston Red Sox,10,130700000,BOS,97,162,21,13,8,0.5987654320987654,3B,27,0.167,50,9,2,7,0.18,0.572,-0.4,0.0,26,225,6.2,490000,490000,259726,729,0.027889000000000004,2500,81,4,49,0.0324,0.3271839999999999,0.16000000000000003,0.0
Zach Duke,2013,UFA,WSH,1,0,0,Cincinnati Reds,12,41800000,CIN,90,162,15,10,5,0.5555555555555556,RP,26,0.161,2,2,0,0,1.0,2.0,0.57,0.0,30,210,6.2,490000,490000,83005,676,0.025921000000000003,4,4,0,0,1.0,4.0,0.32489999999999997,0.0
Mark Reynolds,2013,UFA,CLE,1,0,0,New York Yankees,8,64000000,NYY,85,162,50,40,27,0.5246913580246914,3B,135,0.833,445,98,21,67,0.22,0.699,-1.17,29.89,29,220,6.2,490000,490000,120491,18225,0.693889,198025,9604,441,4489,0.0484,0.48860099999999995,1.3688999999999998,893.4121
Dan Johnson,2013,UFA,CHW,1,0,0,Baltimore Orioles,4,2000000,BAL,85,162,12,7,3,0.5246913580246914,1B,3,0.019,5,0,0,0,0.0,0.0,,0.0,33,0,0.0,490000,490000,48196,9,0.000361,25,0,0,0,0.0,0.0,,0.0
Ross Ohlendorf,2013,UFA,SD,1,0,0,Washington Nationals,11,67000000,WSH,86,162,2,1,0,0.5308641975308642,RP,16,0.099,15,0,0,1,0.0,0.063,0.99,0.0,30,240,6.4,490000,490000,297213,256,0.009801,225,0,0,1,0.0,0.003969,0.9801,0.0
Brian Bogusevic,2013,UFA,HOU,1,0,0,Chicago Cubs,10,73850000,CHC,66,162,16,17,2,0.4074074074074074,RF,47,0.29,143,39,6,16,0.273,0.784,0.36,0.0,29,216,6.3,490000,490000,265081,2209,0.0841,20449,1521,36,256,0.07452900000000001,0.6146560000000001,0.1296,0.0
Miguel Olivo,2013,UFA,SEA,1,0,0,Miami Marlins,12,7675000,MIA,62,162,2,2,2,0.382716049382716,C,33,0.204,74,15,4,9,0.203,0.642,-0.06,0.0,34,207,6.1,800000,800000,800000,1089,0.04161599999999999,5476,225,16,81,0.041209,0.41216400000000003,0.0036,0.0
Bryan Anderson,2013,UFA,STL,1,0,0,Chicago White Sox,5,14800000,CHW,63,162,9,6,3,0.3888888888888889,C,10,0.062,18,1,0,2,0.056,0.216,,0.0,26,200,6.1,490000,490000,80327,100,0.0038439999999999998,324,1,0,4,0.0031360000000000003,0.046655999999999996,,0.0
