Acronimo,Altura,Anio,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas
COL,0.0,2019,2,438,191844,122,14884,1,1,34,Colorado Rockies,CHC,Colorado,13,169,132,161,17424,Daniel Murphy,0.78,0.6084,1,221,5,0.279,0.07784100000000002,0.815,0.664225,1B,0.4347826086956521,78,6084,UFA,10000000,10000000,10000000,19.76,390.45760000000007,24000000,24000000,12000000,70,0.17,0.028900000000000006,0
NYY,6.4,2019,2,602,362404,197,38809,2,5,30,New York Yankees,COL,New York,26,676,145,162,21025,D.J. LeMahieu,0.893,0.7974490000000001,40,220,55,0.327,0.10692900000000001,0.895,0.801025,2B,0.6358024691358025,102,10404,UFA,12000000,12000000,12000000,88.79,7883.664100000001,24000000,124555000,12000000,103,6.03,36.3609,27
ATL,6.1,2019,1,549,301401,142,20164,1,6,33,Atlanta Braves,CLE,Georgia,37,1369,157,161,24649,Josh Donaldson,0.9,0.81,18,210,25,0.259,0.067081,0.969,0.9389609999999999,3B,0.6024844720496895,94,8836,UFA,23000000,23000000,23000000,77.88,6065.294399999999,23000000,52210000,23000000,97,5.42,29.3764,3
ATL,6.2,2019,1,38,1444,5,25,1,6,31,Atlanta Braves,HOU,Georgia,0,0,19,161,361,Dallas Keuchel,0.312,0.097344,18,205,25,0.132,0.017424000000000002,0.117,0.013689000000000002,SP,0.6024844720496895,2,4,UFA,21210000,21210000,13000000,40.73,1658.9328999999998,21210000,52210000,21210000,97,2.05,4.2025,3
MIN,6.1,2019,2,425,180625,112,12544,1,4,30,Minnesota Twins,HOU,Minnesota,15,225,116,162,13456,Marwin Gonzalez,0.736,0.541696,6,205,16,0.264,0.06969600000000001,0.716,0.512656,3B,0.6234567901234568,55,3025,UFA,12000000,12000000,12000000,25.08,629.0063999999999,21000000,46800000,10500000,101,1.61,2.5921000000000003,3
NYM,6.0,2019,2,7,49,0,0,2,6,35,New York Mets,OAK,New York,0,0,9,161,81,Jed Lowrie,0.125,0.015625,5,180,9,0.0,0.0,0.056,0.0031360000000000003,2B,0.5279503105590062,0,0,UFA,8500000,6000000,8500000,0.0,0.0,20000000,79000000,10000000,85,-0.15,0.0225,2
NYM,6.1,2019,2,473,223729,136,18496,2,6,31,New York Mets,PHI,New York,14,196,142,161,20164,Wilson Ramos,0.768,0.589824,5,245,9,0.288,0.08294399999999999,0.877,0.769129,C,0.5279503105590062,72,5184,UFA,7750000,6250000,7750000,30.19,911.4361000000001,19000000,79000000,9500000,85,1.96,3.8415999999999997,2
WSH,6.0,2019,2,52,2704,6,36,1,7,35,Washington Nationals,ATL,Washington DC,0,0,30,162,900,Anibal Sanchez,0.231,0.053361000000000006,1,205,6,0.115,0.013225,0.185,0.034225,SP,0.5740740740740741,1,1,UFA,10000000,8000000,6000000,70.67,4994.2489000000005,19000000,184550000,9500000,93,3.66,13.395600000000002,1
MIL,6.2,2019,1,513,263169,126,15876,1,5,30,Milwaukee Brewers,LAD,Wisconsin,28,784,153,161,23409,Yasmani Grandal,0.848,0.719104,1,225,6,0.246,0.060516,0.944,0.8911359999999999,C,0.5527950310559007,77,5929,UFA,16000000,16000000,16000000,50.22,2522.0483999999997,18250000,31900000,18250000,89,2.47,6.100900000000001,0
SD,6.2,2019,2,2,4,0,0,5,4,31,San Diego Padres,LAA,California,0,0,3,162,9,Garrett Richards,0.0,0.0,2,210,5,0.0,0.0,0.019,0.000361,SP,0.4320987654320987,0,0,UFA,7000000,7000000,7000000,0.0,0.0,15500000,326000000,7750000,70,-0.24,0.0576,0
MIN,6.2,2019,1,454,206116,141,19881,1,4,38,Minnesota Twins,SEA,Minnesota,41,1681,120,162,14400,Nelson Cruz,1.031,1.0629609999999998,6,230,16,0.311,0.096721,0.741,0.549081,DH,0.6234567901234568,108,11664,UFA,14000000,14000000,14000000,94.89,9004.1121,14300000,46800000,14300000,101,4.42,19.5364,3
MIL,6.0,2019,1,523,273529,133,17689,1,5,30,Milwaukee Brewers,MIL,Wisconsin,35,1225,143,161,20449,Mike Moustakas,0.845,0.7140249999999999,1,225,6,0.254,0.064516,0.883,0.779689,3B,0.5527950310559007,87,7569,UFA,7050000,7000000,7050000,67.79,4595.484100000001,10000000,31900000,10000000,89,3.21,10.3041,0
WSH,0.0,2019,1,416,173056,99,9801,1,7,32,Washington Nationals,LAD,Washington DC,20,400,135,162,18225,Brian Dozier,0.771,0.594441,1,200,6,0.238,0.05664399999999999,0.833,0.693889,2B,0.5740740740740741,50,2500,UFA,9000000,9000000,9000000,27.48,755.1504,9000000,184550000,9000000,93,1.27,1.6129,1
LAA,6.4,2019,1,3,9,1,1,5,4,31,Los Angeles Angels,OAK,California,0,0,39,161,1521,Trevor Cahill,0.667,0.44488900000000003,1,230,10,0.333,0.11088900000000002,0.241,0.058080999999999994,RP,0.4472049689440994,0,0,UFA,9000000,9000000,9000000,0.0,0.0,9000000,31000000,9000000,72,-0.36,0.1296,1
SD,6.0,2019,2,258,66564,56,3136,5,4,37,San Diego Padres,BOS,California,9,81,87,162,7569,Ian Kinsler,0.646,0.417316,2,200,5,0.217,0.047089,0.537,0.28836900000000004,2B,0.4320987654320987,22,484,UFA,3750000,3750000,3750000,0.0,0.0,8000000,326000000,4000000,70,-0.29,0.0841,0
TEX,6.2,2019,2,2,4,1,1,2,6,35,Texas Rangers,CHC,Texas,0,0,48,162,2304,Jesse Chavez,1.0,1.0,2,175,8,0.5,0.25,0.296,0.08761599999999999,RP,0.4814814814814814,0,0,UFA,4000000,4000000,4000000,0.0,0.0,8000000,47250000,4000000,78,0.71,0.5041,0
MIN,6.1,2019,1,433,187489,111,12321,1,4,27,Minnesota Twins,MIL,Minnesota,23,529,122,162,14884,Jonathan Schoop,0.777,0.6037290000000001,6,225,16,0.256,0.065536,0.753,0.567009,2B,0.6234567901234568,59,3481,UFA,7500000,7500000,7500000,37.44,1401.7535999999998,7500000,46800000,7500000,101,1.63,2.6569,3
CHC,6.2,2019,1,14,196,1,1,2,5,32,Chicago Cubs,SF,Illinois,0,0,53,162,2809,Derek Holland,0.205,0.04202499999999999,17,213,20,0.071,0.0050409999999999995,0.327,0.10692900000000001,RP,0.5185185185185185,0,0,UFA,6500000,6500000,475000,2.31,5.3361,7000000,49325000,7000000,84,-0.82,0.6723999999999999,3
ATL,0.0,2019,1,414,171396,118,13924,1,6,35,Atlanta Braves,ATL,Georgia,9,81,116,161,13456,Nick Markakis,0.776,0.602176,18,210,25,0.285,0.08122499999999999,0.716,0.512656,RF,0.6024844720496895,62,3844,UFA,4000000,4000000,4000000,39.67,1573.7089,6000000,52210000,6000000,97,0.77,0.5929,3
HOU,6.1,2019,1,366,133956,87,7569,2,3,35,Houston Astros,TEX,Texas,17,289,114,161,12996,Robinson Chirinos,0.79,0.6241000000000001,3,220,13,0.238,0.05664399999999999,0.704,0.49561599999999995,C,0.6583850931677019,58,3364,UFA,5750000,5750000,5750000,66.06,4363.9236,5750000,42250000,5750000,106,3.85,14.822500000000002,1
DET,6.3,2019,1,255,65025,69,4761,1,4,32,Detroit Tigers,PIT,Michigan,9,81,74,161,5476,Jordy Mercer,0.75,0.5625,11,210,16,0.271,0.073441,0.46,0.2116,SS,0.2919254658385093,22,484,UFA,5250000,5250000,5250000,0.0,0.0,5250000,15500000,5250000,47,0.3,0.09,4
ATL,6.0,2019,1,316,99856,69,4761,1,6,28,Atlanta Braves,CIN,Georgia,0,0,119,161,14161,Billy Hamilton,0.564,0.31809599999999993,18,160,25,0.218,0.047524,0.735,0.540225,CF,0.6024844720496895,15,225,UFA,4450000,4250000,959658,8.32,69.22240000000001,5250000,52210000,5250000,97,0.5,0.25,3
HOU,6.2,2019,1,4,16,0,0,2,3,32,Houston Astros,MIL,Texas,0,0,33,161,1089,Wade Miley,0.2,0.04000000000000001,3,220,13,0.0,0.0,0.204,0.04161599999999999,SP,0.6583850931677019,0,0,UFA,5000000,4500000,5000000,64.33,4138.3489,4500000,42250000,4500000,106,1.99,3.9601,1
ARI,6.3,2019,1,265,70225,84,7056,1,4,27,Arizona Diamondbacks,NYM,Arizona,9,81,89,162,7921,Wilmer Flores,0.848,0.719104,1,205,6,0.317,0.10048900000000001,0.549,0.30140100000000003,2B,0.5246913580246914,37,1369,UFA,3750000,3750000,3750000,0.0,0.0,4250000,11600000,4250000,85,0.63,0.39690000000000003,1
WSH,6.3,2019,1,310,96100,70,4900,1,7,30,Washington Nationals,STL,Washington DC,20,400,111,162,12321,Matt Adams,0.741,0.549081,1,245,6,0.226,0.051076,0.685,0.46922500000000006,1B,0.5740740740740741,56,3136,UFA,3000000,3000000,3000000,20.88,435.97439999999995,4000000,184550000,4000000,93,0.54,0.2916,1
MIN,6.0,2019,1,3,9,0,0,1,4,28,Minnesota Twins,TEX,Minnesota,0,0,32,162,1024,Martin Perez,0.0,0.0,6,200,16,0.0,0.0,0.198,0.039204,SP,0.6234567901234568,0,0,UFA,3500000,3500000,3500000,32.44,1052.3536,4000000,46800000,4000000,101,0.23,0.0529,3
WSH,6.0,2019,1,447,199809,116,13456,1,7,33,Washington Nationals,PHI,Washington DC,18,324,132,162,17424,Asdrubal Cabrera,0.783,0.613089,1,235,6,0.26,0.06760000000000001,0.815,0.664225,2B,0.5740740740740741,91,8281,UFA,555000,555000,164120,52.47,2753.1009,3500000,184550000,3500000,93,-0.23,0.0529,1
TB,6.4,2019,1,489,239121,138,19044,2,2,28,Tampa Bay Rays,CHW,Florida,20,400,126,161,15876,Avisail Garcia,0.796,0.6336160000000001,1,250,5,0.282,0.07952399999999998,0.778,0.605284,RF,0.5962732919254659,72,5184,UFA,4500000,3500000,4500000,60.32,3638.5024,3500000,33500000,3500000,96,2.04,4.1616,0
ARI,6.2,2019,1,485,235225,126,15876,1,4,33,Arizona Diamondbacks,BAL,Arizona,16,256,137,162,18769,Adam Jones,0.728,0.529984,1,215,6,0.26,0.06760000000000001,0.846,0.7157159999999999,CF,0.5246913580246914,67,4489,UFA,4500000,3000000,4500000,24.39,594.8721,3000000,11600000,3000000,85,-0.36,0.1296,1
HOU,6.0,2019,1,333,110889,71,5041,2,3,32,Houston Astros,HOU,Texas,12,144,106,161,11236,Martin Maldonado,0.671,0.45024100000000006,3,230,13,0.213,0.045369,0.654,0.42771600000000004,C,0.6583850931677019,27,729,UFA,2500000,2500000,806452,22.5,506.25,2500000,42250000,2500000,106,1.1,1.2100000000000002,1
CHW,6.3,2019,1,439,192721,120,14400,2,3,29,Chicago White Sox,DET,Illinois,18,324,119,161,14161,James McCann,0.789,0.6225210000000001,6,220,9,0.273,0.07452900000000001,0.739,0.546121,C,0.4472049689440994,60,3600,UFA,2500000,2500000,2500000,67.86,4604.9796,2500000,24500000,2500000,72,3.75,14.0625,3
LAA,6.3,2019,1,151,22801,26,676,5,4,31,Los Angeles Angels,PHI,California,8,64,52,161,2704,Justin Bour,0.623,0.388129,1,270,10,0.172,0.029583999999999996,0.321,0.10304100000000001,1B,0.4472049689440994,26,676,UFA,2500000,2500000,2500000,0.0,0.0,2500000,31000000,2500000,72,-0.57,0.32489999999999997,1
MIL,6.5,2019,1,45,2025,4,16,1,5,28,Milwaukee Brewers,MIL,Wisconsin,0,0,28,161,784,Jordan Lyles,0.217,0.047089,1,230,6,0.089,0.007921,0.173,0.029928999999999997,SP,0.5527950310559007,4,16,UFA,2050000,2050000,694386,50.14,2514.0196,2050000,31900000,2050000,89,0.11,0.0121,0
OAK,6.0,2019,1,420,176400,101,10201,5,6,29,Oakland Athletics,MIN,California,6,36,138,162,19044,Robbie Grossman,0.684,0.46785600000000005,15,216,28,0.241,0.058080999999999994,0.852,0.725904,DH,0.5987654320987654,38,1444,UFA,2000000,2000000,2000000,27.29,744.7441,2000000,37600000,2000000,97,1.03,1.0609,9
ATL,6.3,2019,1,277,76729,69,4761,1,6,35,Atlanta Braves,HOU,Georgia,12,144,85,161,7225,Brian McCann,0.734,0.538756,18,225,25,0.249,0.062001,0.525,0.275625,C,0.6024844720496895,45,2025,UFA,2000000,2000000,2000000,0.0,0.0,2000000,52210000,2000000,97,0.31,0.0961,3
MIL,6.0,2019,1,25,625,1,1,1,5,33,Milwaukee Brewers,NYY,Wisconsin,0,0,19,161,361,Gio Gonzalez,0.117,0.013689000000000002,1,205,6,0.04,0.0016,0.117,0.013689000000000002,SP,0.5527950310559007,0,0,UFA,2000000,2000000,1709677,60.97,3717.3408999999997,2000000,31900000,2000000,89,1.88,3.5343999999999998,0
MIA,0.0,2019,1,337,113569,88,7744,2,2,33,Miami Marlins,NYY,Florida,8,64,115,162,13225,Neil Walker,0.738,0.544644,2,210,2,0.261,0.068121,0.71,0.5041,1B,0.3518518518518518,38,1444,UFA,2000000,2000000,2000000,27.73,768.9529,2000000,4500000,2000000,57,0.65,0.42250000000000004,2
SEA,6.1,2019,1,304,92416,72,5184,1,3,29,Seattle Mariners,BAL,Washington,15,225,89,162,7921,Tim Beckham,0.753,0.567009,0,205,4,0.237,0.056169,0.549,0.30140100000000003,3B,0.419753086419753,47,2209,UFA,1800000,1750000,1800000,0.0,0.0,1750000,4450000,1750000,68,0.4,0.16000000000000003,0
MIL,6.5,2019,1,19,361,0,0,1,5,30,Milwaukee Brewers,BOS,Wisconsin,0,0,46,161,2116,Drew Pomeranz,0.0,0.0,1,246,6,0.0,0.0,0.284,0.08065599999999999,RP,0.5527950310559007,0,0,UFA,1500000,1500000,491965,0.0,0.0,1500000,31900000,1500000,89,-0.36,0.1296,0
OAK,6.4,2019,1,8,64,4,16,5,6,31,Oakland Athletics,OAK,California,0,0,32,162,1024,Brett Anderson,1.0,1.0,15,230,28,0.5,0.25,0.198,0.039204,SP,0.5987654320987654,0,0,UFA,1500000,1500000,1500000,78.02,6087.1204,1500000,37600000,1500000,97,2.52,6.3504000000000005,9
WSH,6.1,2019,1,9,81,1,1,1,7,32,Washington Nationals,WSH,Washington DC,0,0,9,162,81,Jeremy Hellickson,0.384,0.147456,1,190,6,0.111,0.012321,0.056,0.0031360000000000003,RP,0.5740740740740741,0,0,UFA,1900000,1300000,1900000,0.0,0.0,1300000,184550000,1300000,93,-0.36,0.1296,1
ARI,6.3,2019,1,38,1444,8,64,1,4,33,Arizona Diamondbacks,BAL,Arizona,0,0,20,162,400,Caleb Joseph,0.513,0.263169,1,180,6,0.211,0.044521,0.124,0.015375999999999999,C,0.5246913580246914,3,9,UFA,1100000,1100000,473120,0.0,0.0,1100000,11600000,1100000,85,-0.01,0.0001,1
NYM,6.1,2019,0,438,191844,107,11449,2,6,28,New York Mets,SF,New York,5,25,142,161,20164,Joe Panik,0.651,0.42380100000000004,5,205,9,0.244,0.059536,0.877,0.769129,2B,0.5279503105590062,39,1521,UFA,555000,555000,152184,0.0,0.0,0,79000000,0,85,-0.54,0.2916,2
ATL,0.0,2019,0,141,19881,30,900,1,6,33,Atlanta Braves,PIT,Georgia,3,9,48,161,2304,Francisco Cervelli,0.649,0.42120100000000005,18,210,25,0.213,0.045369,0.296,0.08761599999999999,C,0.6024844720496895,12,144,UFA,555000,555000,110408,0.0,0.0,0,52210000,0,97,-0.07,0.004900000000000001,3
PHI,6.3,2019,0,1,1,0,0,2,4,34,Philadelphia Phillies,LAA,Pennsylvania,0,0,60,162,3600,Blake Parker,0.0,0.0,7,225,14,0.0,0.0,0.37,0.1369,RP,0.5,0,0,UFA,555000,555000,185008,45.82,2099.4724,0,403000000,0,81,0.3,0.09,2
NYM,6.6,2019,0,4,16,1,1,2,6,33,New York Mets,CHC,New York,0,0,59,161,3481,Brad Brach,0.5,0.25,5,215,9,0.25,0.0625,0.364,0.132496,RP,0.5279503105590062,1,1,UFA,555000,555000,158152,23.15,535.9224999999999,0,79000000,0,85,-0.37,0.1369,2
ATL,0.0,2019,0,203,41209,49,2401,1,6,30,Atlanta Braves,NYM,Georgia,9,81,84,161,7056,Adeiny Hechavarria,0.742,0.5505639999999999,18,195,25,0.241,0.058080999999999994,0.519,0.269361,SS,0.6024844720496895,33,1089,UFA,1000000,1000000,241935,0.0,0.0,0,52210000,0,97,-0.19,0.0361,3
TB,6.2,2019,0,351,123201,88,7744,2,2,30,Tampa Bay Rays,NYM,Florida,16,256,103,161,10609,Travis d'Arnaud,0.745,0.555025,1,210,5,0.251,0.063001,0.636,0.404496,C,0.5962732919254659,69,4761,UFA,555000,555000,438648,35.8,1281.6399999999999,0,33500000,0,96,-0.41,0.16809999999999997,0
CHC,6.0,2019,0,293,85849,68,4624,2,5,33,Chicago Cubs,LAA,Illinois,8,64,102,162,10404,Jonathan Lucroy,0.66,0.43560000000000004,17,200,20,0.232,0.053824000000000004,0.63,0.39690000000000003,C,0.5185185185185185,36,1296,UFA,555000,555000,158152,11.99,143.7601,0,49325000,0,84,-0.64,0.4096,3
