Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Jesse Chavez,2017,UFA,LAD,1,5750000,5750000,Los Angeles Angels,4,24750000,LAA,80,162,10,1,1,0.4938271604938271,RP,38,0.235,5,0,0,0,0.0,0.0,-0.17,0.0,33,175,6.2,5750000,6550000,6550000,1444,0.055224999999999996,25,0,0,0,0.0,0.0,0.028900000000000006,0.0
Mitch Moreland,2017,UFA,TEX,1,5500000,5500000,Boston Red Sox,1,5500000,BOS,93,162,23,13,8,0.5740740740740741,1B,149,0.92,508,125,22,79,0.246,0.769,1.95,47.53,31,245,6.3,5500000,5500000,5500000,22201,0.8464,258064,15625,484,6241,0.060516,0.591361,3.8024999999999998,2259.1009
Trevor Plouffe,2017,UFA,MIN,1,5250000,5250000,Tampa Bay Rays,5,21700000,TB,80,162,4,1,0,0.4938271604938271,3B,100,0.617,283,56,9,19,0.198,0.59,0.04,5.07,31,205,6.2,5250000,5250000,1069723,10000,0.380689,80089,3136,81,361,0.039204,0.34809999999999997,0.0016,25.704900000000002
Colby Rasmus,2017,UFA,HOU,1,5000000,5000000,Tampa Bay Rays,5,21700000,TB,80,162,4,1,0,0.4938271604938271,LF,37,0.228,121,34,9,23,0.281,0.896,1.2,0.0,30,195,6.2,5000000,5000000,2786918,1369,0.051984,14641,1156,81,529,0.07896100000000002,0.8028160000000001,1.44,0.0
Ben Revere,2017,UFA,WSH,1,4000000,4000000,Los Angeles Angels,4,24750000,LAA,80,162,10,1,1,0.4938271604938271,CF,109,0.673,291,80,1,20,0.275,0.652,0.17,13.06,29,175,5.9,4000000,4000000,4000000,11881,0.4529290000000001,84681,6400,1,400,0.07562500000000001,0.42510400000000004,0.028900000000000006,170.5636
Jeff Mathis,2017,UFA,MIA,2,4000000,2000000,Arizona Diamondbacks,5,9750000,ARI,93,162,6,1,1,0.5740740740740741,C,60,0.37,186,40,2,11,0.215,0.6,-0.56,0.0,34,205,6.0,2000000,2000000,2000000,3600,0.1369,34596,1600,4,121,0.046224999999999995,0.36,0.31360000000000005,0.0
Drew Butera,2017,UFA,KC,2,3800000,1900000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,C,75,0.463,163,37,3,14,0.227,0.603,-0.46,0.0,33,205,6.1,1500000,1500000,1500000,5625,0.21436900000000003,26569,1369,9,196,0.051529000000000005,0.36360899999999996,0.2116,0.0
Stephen Drew,2017,UFA,WSH,1,3500000,3500000,Washington Nationals,4,10400000,WSH,97,163,5,1,0,0.5950920245398773,2B,46,0.284,95,24,1,17,0.253,0.66,-0.11,0.0,34,200,6.0,3500000,3500000,3500000,2116,0.08065599999999999,9025,576,1,289,0.064009,0.43560000000000004,0.0121,0.0
Drew Storen,2017,UFA,SEA,1,3000000,3000000,Cincinnati Reds,2,5300000,CIN,68,162,15,10,5,0.419753086419753,RP,58,0.358,1,0,0,0,0.0,0.0,-0.2,10.73,29,195,0.0,3000000,3150000,3150000,3364,0.128164,1,0,0,0,0.0,0.0,0.04000000000000001,115.1329
Franklin Gutierrez,2017,UFA,SEA,1,2600000,2600000,Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,CF,35,0.216,56,13,1,8,0.232,0.657,-0.13,0.0,34,200,6.2,2600000,2600000,2600000,1225,0.046655999999999996,3136,169,1,64,0.053824000000000004,0.43164900000000006,0.016900000000000002,0.0
A.J. Ellis,2017,UFA,PHI,1,2500000,2500000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,C,51,0.315,143,30,6,14,0.21,0.669,0.6,0.0,36,225,6.2,2500000,2500000,2500000,2601,0.09922500000000001,20449,900,36,196,0.04409999999999999,0.44756100000000004,0.36,0.0
Edwin Jackson,2017,UFA,SD,1,2450000,2450000,Washington Nationals,4,10400000,WSH,97,163,5,1,0,0.5950920245398773,SP,22,0.136,21,2,0,0,0.095,0.19,-0.23,12.3,33,210,0.0,1000000,1000000,415264,484,0.018496000000000002,441,4,0,0,0.009025,0.0361,0.0529,151.29000000000002
Scott Feldman,2017,UFA,TOR,1,2300000,2300000,Cincinnati Reds,2,5300000,CIN,68,162,15,10,5,0.419753086419753,SP,21,0.13,34,1,0,0,0.029,0.059,0.52,37.19,34,225,6.6,2300000,3000000,3000000,441,0.016900000000000002,1156,1,0,0,0.0008410000000000001,0.0034809999999999997,0.27040000000000003,1383.0960999999998
Brian Duensing,2017,UFA,BAL,1,2000000,2000000,Chicago Cubs,3,16000000,CHC,92,162,19,17,3,0.5679012345679012,RP,68,0.42,4,0,0,0,0.0,0.0,1.39,54.78,34,200,6.0,2000000,2000000,2000000,4624,0.17639999999999997,16,0,0,0,0.0,0.0,1.9320999999999997,3000.8484000000003
