Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_t,Anio_t_1,Anios_contrato,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
BAL,MIL,6.0,6.0,2013,3,2,1,1764,4225,42,65,4,3,196,1369,196,1225,14,35,14,37,14.877551020408164,5.394380853277836,3.857142857142857,2.3225806451612905,0.001109525508585831,0.002288618350861149,0.033309540804187486,0.047839506172839504,0.016507022362430016,0.012345679012345678,0.1284796573875803,0.1111111111111111,7.290000000000001,19.1844,2.7,4.38,31,30,MIL,Baltimore Orioles,Milwaukee Brewers,2180.8900000000003,5184.0,46.7,72.0,2304,6084,0,0,0,0,48,78,162,162,Francisco Rodriguez,4,49,2,7,7,1,180,180,12,4,RP,RP,0.5246913580246914,0.5123456790123457,100,9,10,3,UFA,2916,5184,54,72,2000000,8000000,1256831,8000000,2000000,8000000,0.0,1.1236000000000002,0.0,1.06,0,2000000,40250000,0,85,83,0.0004,0.0576,0.02,-0.24,1.44,1.7689000000000001,1.2,1.33,3,0,196,961,14,31,9,4,3,2,14.508657738524219,14.044104031437303,14.508657738524219
NYM,NYM,0.0,0.0,2012,3,2,2,16,2209,4,47,10,7,9,729,9,676,3,26,3,27,4.0,5.009070294784581,2.0,2.238095238095238,0.002799473698944599,0.003042795994190123,0.052910052910052914,0.055161544523246654,0.011197894795778396,0.01524157902758726,0.10582010582010583,0.1234567901234568,18.147599999999997,30.580900000000003,4.26,5.53,33,32,TOR,New York Mets,New York Mets,39.69,1789.2899999999997,6.3,42.3,64,2304,0,0,0,0,8,48,162,162,Frank Francisco,0,9,0,3,5,5,0,0,8,8,RP,RP,0.4567901234567901,0.4567901234567901,1,529,1,23,UFA,36,2209,6,47,6500000,5500000,6500000,5500000,6500000,5500000,0.0,0.0,0.0,0.0,12000000,7150000,20400000,6000000,74,74,0.0009,0.4096,-0.03,-0.64,1.2321000000000002,2.5921000000000003,1.11,1.61,2,2,9,441,3,21,1,1,1,1,15.687312734865866,15.687312734865866,15.687312734865866
ARI,MIA,0.0,0.0,2012,3,2,3,5476,4900,74,70,7,6,900,1444,900,1296,30,36,30,38,20.25,4.13912009512485,4.5,2.0344827586206895,0.0007321906982665299,0.0025587750787720884,0.027059022492812446,0.05058433629862201,0.014826861639897226,0.010591077347450222,0.12176560121765599,0.10291296005581718,16.892100000000003,25.908099999999997,4.11,5.09,35,34,SD,Arizona Diamondbacks,Miami Marlins,4316.490000000001,4057.6900000000005,65.7,63.7,4761,5329,0,0,0,0,69,73,162,162,Heath Bell,4,25,2,5,1,2,0,0,5,2,RP,RP,0.5,0.4259259259259259,225,361,15,19,UFA,5184,3481,72,59,9000000,6000000,10000000,7000000,10000000,7000000,2.1315999999999997,6.4516,1.46,2.54,27000000,54650000,203300000,9000000,81,69,0.0324,0.1521,-0.18,-0.39,1.8769000000000002,2.4025000000000003,1.37,1.55,1,2,256,841,16,29,25,16,5,4,16.012735135300492,16.11809565095832,16.11809565095832
NYY,NYY,0.0,0.0,2013,3,2,1,36481,42025,191,205,8,9,6241,7396,5476,6561,74,81,79,86,12.16873985938345,10.72241445597847,3.488372093023256,3.2745098039215685,0.0005633318969131632,0.0006652658332059775,0.023734613898548324,0.02579274768623881,0.0068550393080292985,0.007133255987036334,0.08279516476237787,0.08445860516866434,10.956100000000001,11.0224,3.31,3.32,38,37,NYY,New York Yankees,New York Yankees,40521.69,48268.09,201.3,219.7,1024,1089,1024,1089,32,33,32,33,162,162,Hiroki Kuroda,169,121,13,11,40,40,0,0,50,50,SP,SP,0.5246913580246914,0.5864197530864198,0,0,0,0,UFA,22500,27889,150,167,15000000,10000000,15000000,10000000,15000000,10000000,2756.25,6699.422499999999,52.5,81.85,15000000,64000000,9100000,15000000,85,95,15.6816,27.878400000000003,3.96,5.28,1.3456,1.3456,1.16,1.16,27,27,1849,2601,43,51,121,256,11,16,16.523560759066484,16.523560759066484,16.523560759066484
LAD,TB,6.0,6.0,2013,3,2,1,1764,1521,42,39,7,4,196,289,196,289,14,17,14,17,5.512287334593574,3.6446280991735542,2.347826086956522,1.9090909090909092,0.0016989761179840958,0.00236169805895257,0.04121863799283154,0.04859730505853766,0.009365244536940686,0.008607511107422179,0.0967741935483871,0.0927766732935719,4.120899999999999,9.2416,2.03,3.04,30,29,TB,Los Angeles Dodgers,Tampa Bay Rays,3844.0,2530.0899999999997,62.0,50.3,4489,3025,0,0,0,0,67,55,162,162,J.P. Howell,1,0,1,0,25,1,180,180,27,3,RP,RP,0.5679012345679012,0.5555555555555556,0,0,0,0,UFA,2916,1764,54,42,2850000,1350000,2850000,1350000,2850000,1350000,4179.6225,336.3556,64.65,18.34,2850000,150850000,15950000,2850000,92,90,2.7224999999999997,0.6561000000000001,1.65,0.81,1.1025,1.4641,1.05,1.21,6,0,529,484,23,22,16,1,4,1,14.862829552244833,14.862829552244833,14.862829552244833
TB,LAD,6.6,6.6,2013,3,2,1,3721,5184,61,72,10,9,625,1225,576,784,24,28,25,35,7.986767485822307,3.24,2.8260869565217392,1.8,0.0013328294280675235,0.0024242653445693176,0.03650793650793651,0.04923682914820285,0.010644998740236835,0.00785461971640459,0.10317460317460317,0.08862629246676514,9.5481,13.838400000000002,3.09,3.72,38,37,LAD,Tampa Bay Rays,Los Angeles Dodgers,4900.0,4583.29,70.0,67.7,4356,4356,1,0,1,0,66,66,162,162,Jamey Wright,4,9,2,3,1,25,240,240,4,26,RP,RP,0.5617283950617284,0.5308641975308642,0,0,0,0,UFA,4225,2916,65,54,900000,900000,900000,900000,900000,900000,3272.9841,2196.7969,57.21,46.87,900000,19090000,44651311,900000,91,86,0.8835999999999999,0.0064,0.94,0.08,1.44,2.2801,1.2,1.51,0,6,529,900,23,30,4,25,2,5,13.710150042306449,13.710150042306449,13.710150042306449
PIT,PIT,6.5,6.5,2013,3,2,2,1600,2025,40,45,8,3,225,400,225,361,15,19,15,20,32.40236686390533,16.735537190082646,5.6923076923076925,4.090909090909091,0.0008345679012345678,0.0017341399377121293,0.028888888888888888,0.04164300586787809,0.027041975308641976,0.029021763420388938,0.16444444444444445,0.1703577512776831,7.290000000000001,8.526399999999999,2.7,2.92,36,35,PIT,Pittsburgh Pirates,Pittsburgh Pirates,2500.0,3445.6900000000005,50.0,58.7,2916,4096,0,0,0,0,54,64,162,162,Jason Grilli,4,36,2,6,9,9,235,235,15,14,RP,RP,0.5802469135802469,0.4876543209876543,1089,4,33,2,UFA,5476,8100,74,90,2250000,1100000,2500000,1100000,2500000,1100000,4923.8289,1129.6321,70.17,33.61,6750000,28875000,14500000,3375000,94,79,0.7395999999999999,1.0609,0.86,1.03,1.1236000000000002,1.2995999999999999,1.06,1.14,5,5,169,484,13,22,0,1,0,1,14.626440774180603,14.73180128983843,14.73180128983843
SD,MIN,6.1,6.1,2013,3,2,1,12321,21316,111,146,3,4,3721,7396,2809,5476,53,74,61,86,1.1211072664359862,4.694444444444444,1.0588235294117647,2.1666666666666665,0.0041207842868435166,0.0013354627150052385,0.0641933352213726,0.036543983294179065,0.0046198412073955,0.006269255523219037,0.06796941376380629,0.07917863047072131,16.4025,27.248399999999997,4.05,5.22,34,33,SD,San Diego Padres,Minnesota Twins,13853.29,16307.29,117.7,127.7,441,576,400,484,20,22,21,24,162,162,Jason Marquis,25,121,5,11,2,6,210,210,5,14,SP,SP,0.4691358024691358,0.4074074074074074,0,0,0,0,UFA,5184,8281,72,91,3000000,3000000,3000000,3000000,3000000,3000000,141.37210000000002,109.20249999999999,11.89,10.45,3000000,3550000,32750000,3000000,76,66,0.0225,1.1664,-0.15,-1.08,2.3104,2.1609,1.52,1.47,0,3,4624,1764,68,42,81,64,9,8,14.914122846632385,14.914122846632385,14.914122846632385
COL,COL,6.5,6.5,2013,3,2,1,7921,21025,89,145,7,4,2916,5041,2401,4900,49,70,54,71,6.890625,11.933884297520661,2.625,3.4545454545454546,0.001438887416277549,0.00046795431450977437,0.03793266951161688,0.021632251720747297,0.009914833602787486,0.005584512645885242,0.09957325746799432,0.07472959685349066,39.31289999999999,31.136400000000002,6.27,5.58,32,31,COL,Colorado Rockies,Colorado Rockies,4942.089999999999,12769.0,70.3,113.0,529,576,144,576,12,24,23,24,162,162,Jeff Francis,25,49,5,7,1,1,200,200,3,3,SP,SP,0.4567901234567901,0.3950617283950617,0,0,0,0,UFA,3969,5776,63,76,1500000,480000,1500000,306885,1500000,480000,22.8484,2270.5225,4.78,47.65,1500000,5800000,39900000,1500000,74,64,0.48999999999999994,2.4025000000000003,-0.7,1.55,2.5921000000000003,2.1904,1.61,1.48,0,0,576,484,24,22,9,36,3,6,14.22097566607244,14.22097566607244,14.22097566607244
SF,SF,6.4,6.4,2013,3,2,3,729,3249,27,57,6,3,196,529,196,361,14,19,14,23,1.5259515570934257,6.141776937618147,1.2352941176470589,2.4782608695652173,0.003141615436050243,0.001629908531936456,0.0560501153972964,0.04037212568018256,0.00479395296642961,0.010010534631874375,0.06923837784371908,0.10005265929436546,13.987600000000002,7.290000000000001,3.74,2.7,34,33,SF,San Francisco Giants,San Francisco Giants,1135.6900000000003,4006.8899999999994,33.7,63.3,1521,4489,0,0,0,0,39,67,162,162,Jeremy Affeldt,25,4,5,2,23,23,226,226,23,23,RP,RP,0.4691358024691358,0.5802469135802469,0,9,0,3,UFA,441,3249,21,57,5000000,5000000,6000000,5000000,6000000,5000000,0.0,1598.4003999999998,0.0,39.98,18000000,80750000,4800000,6000000,76,94,0.010000000000000002,0.5929,0.1,0.77,1.7161000000000002,1.5876000000000001,1.31,1.26,7,7,289,529,17,23,1,1,1,1,15.424948470398375,15.60727002719233,15.60727002719233
KC,COL,6.1,6.1,2013,3,2,3,55696,42436,236,206,5,4,9801,11881,9025,9216,95,96,99,109,3.5395001436368863,4.0804,1.88135593220339,2.02,0.0009589087650208506,0.0009348568942941865,0.03096625203380045,0.030575429584785666,0.00339405771152597,0.0038145900714779994,0.05825854196189577,0.06176236776126705,16.3216,22.6576,4.04,4.76,34,33,KC,Kansas City Royals,Colorado Rockies,44816.88999999999,33014.89,211.7,181.7,1089,1444,1089,841,33,29,33,38,162,162,Jeremy Guthrie,144,144,12,12,2,1,205,205,7,3,SP,SP,0.5308641975308642,0.3950617283950617,0,0,0,0,UFA,12321,10201,111,101,5000000,8200000,5000000,8200000,5000000,8200000,943.1041,49.4209,30.71,7.03,25000000,26100000,39900000,8333333,86,64,1.4884,0.1521,1.22,-0.39,1.9320999999999997,1.9880999999999998,1.39,1.41,1,0,3481,2500,59,50,225,64,15,8,15.424948470398375,15.424948470398375,15.424948470398375
LAA,PHI,6.3,6.3,2013,3,2,2,32400,42849,180,207,8,7,9216,11236,7921,10000,89,100,96,106,10.089965397923875,23.837370242214536,3.176470588235294,4.882352941176471,0.0008104588508833466,0.0003912065167695952,0.028468558988528847,0.01977894124490983,0.008177501761854113,0.00932533458140395,0.0904295403165034,0.09656777196044211,36.4816,22.1841,6.04,4.71,32,31,LAD,Los Angeles Angels,Philadelphia Phillies,17609.289999999997,36481.0,132.7,191.0,784,961,400,900,20,30,28,31,162,162,Joe Blanton,196,169,14,13,1,7,252,252,10,14,RP,RP,0.4814814814814814,0.5,0,0,0,0,UFA,11664,27556,108,166,6500000,8500000,6500000,10500000,6500000,10500000,0.0,0.0,0.0,0.0,15000000,153500000,57650000,7500000,78,81,3.6864,0.0121,-1.92,0.11,2.5921000000000003,1.5876000000000001,1.61,1.26,1,2,1156,1156,34,34,4,100,2,10,15.687312734865866,15.687312734865866,15.687312734865866
TEX,TEX,6.4,6.4,2012,3,2,2,1296,3025,36,55,12,4,100,529,100,400,10,20,10,23,11.010330578512399,36.0,3.3181818181818183,6.0,0.0014274200129417442,0.0005046377553425985,0.03778121243345354,0.022464143770520133,0.01571636621687305,0.01816695919233355,0.1253649321655504,0.1347848626231208,1.9320999999999997,7.839999999999999,1.39,2.8,38,37,MIN,Texas Rangers,Texas Rangers,4186.09,4134.49,64.7,64.3,4489,4356,0,0,0,0,67,66,162,162,Joe Nathan,4,25,2,5,2,2,230,230,6,6,RP,RP,0.5617283950617284,0.5740740740740741,1849,1369,43,37,UFA,5329,6084,73,78,7000000,7000000,8050000,8050000,8050000,8050000,8815.3321,3469.21,93.89,58.9,14000000,33750000,19000000,7000000,91,93,9.985600000000002,3.0976,3.16,1.76,0.81,1.1236000000000002,0.9,1.06,0,0,484,169,22,13,36,9,6,3,15.761420707019587,15.901182649394746,15.901182649394746
SEA,ARI,6.3,6.3,2013,3,2,1,53824,38025,232,195,10,4,13689,7744,11449,6241,107,79,117,88,3.076861058855146,8.247205785667324,1.7540983606557377,2.871794871794872,0.0013717421124828531,0.0006152595807475594,0.037037037037037035,0.024804426636138143,0.004220659888690186,0.005074172374028524,0.0649666059502125,0.07123322521147364,27.667599999999997,16.5649,5.26,4.07,31,30,BAL,Seattle Mariners,Arizona Diamondbacks,33489.0,30520.089999999997,183.0,174.7,1089,784,1024,784,32,28,33,28,162,162,Joe Saunders,256,169,16,13,0,1,215,215,4,5,SP,SP,0.4382716049382716,0.5,0,0,0,0,UFA,11449,12544,107,112,6500000,6000000,6500000,6000000,6500000,6000000,163.3284,1982.9209,12.78,44.53,6500000,28400000,17750000,6500000,71,81,0.0529,0.2304,-0.23,0.48,2.5600000000000005,1.7956000000000003,1.6,1.34,0,1,3721,1521,61,39,121,81,11,9,15.687312734865866,15.687312734865866,15.687312734865866
