Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Nick Punto,2014,UFA,LAD,1,3000000,3000000,SS,73,0.451,198,41,2,14,0.207,0.589,OAK,2750000,2750000,2750000,5329,0.203401,39204,1681,4,196,0.042849,0.346921
Raul Ibanez,2014,UFA,SEA,1,2750000,2750000,DH,90,0.556,246,41,5,26,0.167,0.549,KC,500000,500000,500000,8100,0.3091360000000001,60516,1681,25,676,0.027889000000000004,0.30140100000000003
Kurt Suzuki,2014,UFA,OAK,1,2750000,2750000,C,131,0.809,452,130,3,61,0.288,0.727,MIN,2750000,3300000,3300000,17161,0.6544810000000001,204304,16900,9,3721,0.08294399999999999,0.5285289999999999
Joba Chamberlain,2014,UFA,NYY,1,2500000,2500000,RP,69,0.426,1,0,0,0,0.0,0.0,DET,2500000,3000000,3000000,4761,0.181476,1,0,0,0,0.0,0.0
Paul Konerko,2014,UFA,CHW,1,2500000,2500000,1B,81,0.5,208,43,5,22,0.207,0.572,CHW,2500000,2500000,2500000,6561,0.25,43264,1849,25,484,0.042849,0.3271839999999999
Brayan Pena,2014,UFA,DET,2,2275000,1137500,C,115,0.71,348,88,5,26,0.253,0.645,CIN,875000,875000,875000,13225,0.5041,121104,7744,25,676,0.064009,0.41602500000000003
LaTroy Hawkins,2014,UFA,NYM,1,2250000,2250000,RP/CL,57,0.352,1,0,0,0,0.0,0.0,COL,2250000,2250000,2250000,3249,0.12390399999999999,1,0,0,0,0.0,0.0
Mark Reynolds,2014,UFA,NYY,1,2000000,2000000,3B,130,0.803,378,74,22,45,0.196,0.681,MIL,2000000,2000000,2000000,16900,0.6448090000000001,142884,5476,484,2025,0.038416000000000006,0.4637610000000001
Colby Lewis,2014,UFA,TEX,1,2000000,2000000,SP,29,0.179,5,2,0,1,0.4,0.8,TEX,2000000,2000000,2000000,841,0.032041,25,4,0,1,0.16000000000000003,0.6400000000000001
J.P. Arencibia,2014,UFA,TOR,1,1800000,1800000,1B,63,0.389,203,36,10,35,0.177,0.608,TEX,1800000,1800000,1800000,3969,0.151321,41209,1296,100,1225,0.031328999999999996,0.369664
Jamey Wright,2014,UFA,TB,1,1800000,1800000,RP,61,0.377,5,0,0,0,0.0,0.0,LAD,1800000,1800000,1800000,3721,0.142129,25,0,0,0,0.0,0.0
Felipe Paulino,2014,UFA,KC,1,1750000,1750000,SP,4,0.025,1,0,0,0,0.0,0.0,CHW,1500000,1500000,1500000,16,0.0006250000000000001,1,0,0,0,0.0,0.0
Lyle Overbay,2014,UFA,NYY,1,1500000,1500000,1B,121,0.747,258,60,4,35,0.233,0.661,MIL,1500000,1500000,1500000,14641,0.558009,66564,3600,16,1225,0.054289000000000004,0.43692100000000006
Daisuke Matsuzaka,2014,UFA,NYM,1,1500000,1500000,SP,34,0.21,11,2,0,1,0.182,0.432,NYM,1500000,1500000,1500000,1156,0.04409999999999999,121,4,0,1,0.033124,0.18662399999999998
Paul Maholm,2014,UFA,ATL,1,1500000,1500000,RP,30,0.185,9,0,0,0,0.0,0.182,LAD,1500000,1500000,1500000,900,0.034225,81,0,0,0,0.0,0.033124
Wil Nieves,2014,UFA,ARI,1,1125000,1125000,C,36,0.222,122,31,1,7,0.254,0.614,PHI,1125000,1125000,1125000,1296,0.049284,14884,961,1,49,0.064516,0.376996
Ramon Santiago,2014,UFA,DET,1,1100000,1100000,2B,75,0.463,179,44,2,17,0.246,0.667,CIN,1100000,1100000,1100000,5625,0.21436900000000003,32041,1936,4,289,0.060516,0.44488900000000003
Justin Turner,2014,UFA,NYM,1,1000000,1000000,3B,109,0.673,288,98,7,43,0.34,0.897,LAD,1000000,1100000,1100000,11881,0.4529290000000001,82944,9604,49,1849,0.11560000000000002,0.804609
Delmon Young,2014,UFA,TB,1,1000000,1000000,LF,83,0.512,242,73,7,30,0.302,0.779,BAL,1000000,1000000,1000000,6889,0.262144,58564,5329,49,900,0.091204,0.6068410000000001
Tyler Colvin,2014,UFA,COL,1,1000000,1000000,RP,57,0.352,139,31,2,18,0.223,0.65,SF,1000000,1000000,448087,3249,0.12390399999999999,19321,961,4,324,0.049729,0.42250000000000004
Scott Baker,2014,UFA,CHC,1,1000000,1000000,SP,25,0.154,1,0,0,0,0.0,0.0,TEX,1000000,1000000,1000000,625,0.023716,1,0,0,0,0.0,0.0
Reed Johnson,2014,UFA,ATL,1,1000000,1000000,LF,113,0.698,187,44,2,25,0.235,0.614,MIA,1000000,1000000,1000000,12769,0.4872039999999999,34969,1936,4,625,0.055224999999999996,0.376996
Jeff Francoeur,2014,UFA,CLE,1,925000,925000,LF,10,0.062,24,2,0,1,0.083,0.262,SD,1000000,1000000,103825,100,0.0038439999999999998,576,4,0,1,0.006889000000000001,0.06864400000000001
Kevin Frandsen,2014,UFA,PHI,1,900000,900000,3B,105,0.648,220,57,1,17,0.259,0.608,WSH,900000,950000,950000,11025,0.419904,48400,3249,1,289,0.067081,0.369664
John Baker,2014,UFA,LAD,1,875000,875000,C,68,0.42,182,35,0,15,0.192,0.504,CHC,875000,875000,875000,4624,0.17639999999999997,33124,1225,0,225,0.036864,0.254016
John McDonald,2014,UFA,BOS,1,850000,850000,SS,95,0.586,76,13,0,5,0.171,0.453,LAA,850000,850000,850000,9025,0.343396,5776,169,0,25,0.029241000000000003,0.205209
Zach Duke,2014,UFA,CIN,1,850000,850000,RP,74,0.457,1,0,0,0,0.0,0.0,MIL,850000,850000,850000,5476,0.208849,1,0,0,0,0.0,0.0
Sam Fuld,2014,UFA,TB,1,800000,800000,CF,113,0.698,351,84,4,36,0.239,0.663,OAK,800000,800000,349727,12769,0.4872039999999999,123201,7056,16,1296,0.057121,0.43956900000000004
Chris Coghlan,2014,UFA,MIA,1,800000,800000,LF,125,0.772,385,109,9,41,0.283,0.804,CHC,800000,800000,651366,15625,0.5959840000000001,148225,11881,81,1681,0.08008899999999998,0.6464160000000001
Brennan Boesch,2014,UFA,NYY,1,800000,800000,RF,27,0.167,75,14,2,7,0.187,0.496,LAA,800000,800000,800000,729,0.027889000000000004,5625,196,4,49,0.034969,0.24601599999999998
Adam Rosales,2014,UFA,OAK,1,750000,750000,2B,56,0.346,164,43,4,19,0.262,0.706,TEX,750000,750000,750000,3136,0.11971599999999999,26896,1849,16,361,0.06864400000000001,0.49843599999999993
Grady Sizemore,2014,UFA,CLE,1,750000,750000,RF,112,0.691,347,81,5,27,0.233,0.654,PHI,500000,500000,218579,12544,0.47748099999999993,120409,6561,25,729,0.054289000000000004,0.42771600000000004
Ryan Kalish,2014,UFA,BOS,1,550000,550000,LF,57,0.352,121,30,0,5,0.248,0.642,CHC,550000,550000,550000,3249,0.12390399999999999,14641,900,0,25,0.061503999999999996,0.41216400000000003
A.J. Pierzynski,2014,UFA,BOS,1,500000,500000,C,102,0.63,338,85,5,37,0.252,0.625,STL,167539,167539,167539,10404,0.39690000000000003,114244,7225,25,1369,0.063504,0.390625
Dylan Axelrod,2014,UFA,CHW,1,500000,500000,RP,5,0.031,4,0,0,0,0.0,0.0,CIN,500000,500000,90163,25,0.0009609999999999999,16,0,0,0,0.0,0.0
Endy Chavez,2014,UFA,SEA,1,0,0,LF,80,0.494,232,64,2,23,0.276,0.688,SEA,500000,500000,333333,6400,0.244036,53824,4096,4,529,0.07617600000000001,0.47334399999999993
Tsuyoshi Wada,2014,UFA,BAL,1,0,0,SP,13,0.08,20,1,0,0,0.05,0.145,CHC,500000,500000,183060,169,0.0064,400,1,0,0,0.0025000000000000005,0.021025
John Buck,2014,UFA,SEA,1,0,0,C,32,0.198,89,20,1,6,0.225,0.57,LAA,500000,500000,73770,1024,0.039204,7921,400,1,36,0.050625,0.32489999999999997
Jordany Valdespin,2014,UFA,NYM,1,0,0,2B,52,0.321,98,21,3,10,0.214,0.627,MIA,500000,500000,196721,2704,0.10304100000000001,9604,441,9,100,0.045795999999999996,0.393129
Jim Johnson,2014,UFA,OAK,1,0,0,RP,54,0.333,1,0,0,0,0.0,0.0,DET,500000,500000,117486,2916,0.11088900000000002,1,0,0,0,0.0,0.0
