Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
ATL,6.2,2019,1,115,13225,1,6,50,2500,47,2209,2.3333333333333335,5.4444444444444455,0.03845016267376516,0.0014784150096390034,0.08971704623878536,0.00804914838581235,3.75,14.0625,31,Atlanta Braves,HOU,Georgia,112.7,12701.29,19,161,361,19,361,Dallas Keuchel,8,64,18,205,25,SP,0.6024844720496895,0,0,UFA,91,8281,21210000,21210000,13000000,40.73,1658.9328999999998,21210000,52210000,21210000,97,2.05,4.2025,1.37,1.8769000000000002,3,39,1521,8,64
WSH,6.3,2019,1,56,3136,1,7,25,625,20,400,2.6296296296296298,6.914951989026064,0.0410958904109589,0.0016888722086695438,0.1080669710806697,0.011678470238550303,2.47,6.100900000000001,32,Washington Nationals,LAA,Washington DC,73.0,5329.0,69,162,4761,1,1,Daniel Hudson,3,9,1,215,6,RP,0.5740740740740741,8,64,UFA,71,5041,1500000,1500000,491965,79.69,6350.496099999999,1500000,184550000,1500000,93,1.1,1.2100000000000002,1.14,1.2995999999999999,1,27,729,9,81
ATL,6.4,2016,4,3,9,1,6,1,1,1,1,6.0,36.0,0.020964360587002098,0.0004395044148218469,0.12578616352201258,0.01582215893358649,1.69,2.8560999999999996,36,Atlanta Braves,BAL,Georgia,5.3,28.09,8,161,64,0,0,Darren O'Day,0,0,18,220,25,RP,0.6024844720496895,0,0,UFA,6,36,9000000,9000000,9000000,0.0,0.0,31000000,52210000,7750000,97,0.18,0.0324,0.75,0.5625,3,1,1,0,0
CHC,6.2,2019,1,31,961,2,5,14,196,13,169,2.1176470588235294,4.484429065743945,0.0550696469063816,0.003032666010393545,0.11661807580174928,0.01359977560370254,3.41,11.628100000000002,32,Chicago Cubs,SEA,Illinois,34.3,1176.4899999999998,41,162,1681,1,1,David Phelps,1,1,17,198,20,RP,0.5185185185185185,1,1,UFA,36,1296,2500000,2500000,833342,0.0,0.0,2500000,49325000,2500000,84,0.31,0.0961,1.4,1.9599999999999997,3,17,289,2,4
BOS,6.5,2016,7,109,11881,1,1,57,3249,51,2601,4.0,16.0,0.033136584860722795,0.0010980332562318831,0.13254633944289118,0.01756853209971013,4.28,18.3184,33,Boston Red Sox,TOR,Massachusetts,107.3,11513.289999999999,22,161,484,22,484,David Price,5,25,14,215,24,SP,0.515527950310559,0,0,UFA,128,16384,31000000,31000000,31000000,13.02,169.5204,217000000,68000000,31000000,83,1.83,3.3489000000000004,1.31,1.7161000000000002,9,32,1024,7,49
CHC,6.2,2019,1,82,6724,2,5,61,3721,57,3249,1.8222222222222222,3.320493827160494,0.05931198102016608,0.003517911092536541,0.1080796098589693,0.011681202067267015,6.08,36.9664,32,Chicago Cubs,SF,Illinois,84.3,7106.49,53,162,2809,8,64,Derek Holland,5,25,17,213,20,RP,0.5185185185185185,0,0,UFA,82,6724,6500000,6500000,475000,2.31,5.3361,7000000,49325000,7000000,84,-0.82,0.6723999999999999,1.51,2.2801,3,45,2025,2,4
MIL,6.5,2019,1,105,11025,1,5,58,3364,56,3136,3.1136363636363638,9.694731404958679,0.04700854700854701,0.0022098034918547737,0.14636752136752137,0.021423451311271827,4.85,23.522499999999997,30,Milwaukee Brewers,BOS,Wisconsin,104.0,10816.0,46,161,2116,18,324,Drew Pomeranz,10,100,1,246,6,RP,0.5527950310559007,2,4,UFA,137,18769,1500000,1500000,491965,0.0,0.0,1500000,31900000,1500000,89,-0.36,0.1296,1.43,2.0448999999999997,0,44,1936,2,4
PHI,6.2,2018,2,126,15876,2,4,83,6889,79,6241,2.1818181818181817,4.760330578512396,0.05360623781676413,0.0028736287328674725,0.11695906432748537,0.013679422728360861,6.24,38.9376,30,Philadelphia Phillies,SEA,Pennsylvania,114.0,12996.0,25,162,625,21,441,Drew Smyly,7,49,7,188,14,SP,0.5,1,1,UFA,120,14400,7000000,7000000,211855,4.32,18.6624,10000000,403000000,5000000,81,-0.68,0.4624000000000001,1.59,2.5281000000000002,2,55,3025,4,16
SD,6.2,2019,2,10,100,5,4,8,64,8,64,1.8333333333333333,3.3611111111111107,0.07662835249042146,0.0058719044053962815,0.140485312899106,0.01973612314035972,8.31,69.05610000000001,31,San Diego Padres,LAA,California,8.7,75.68999999999998,3,162,9,3,9,Garrett Richards,1,1,2,210,5,SP,0.4320987654320987,0,0,UFA,11,121,7000000,7000000,7000000,0.0,0.0,15500000,326000000,7750000,70,-0.24,0.0576,1.85,3.4225000000000003,0,6,36,0,0
MIL,6.0,2019,1,76,5776,1,5,36,1296,34,1156,2.108108108108108,4.4441197954711456,0.04709176530482373,0.0022176343595245998,0.09927453226422299,0.009855432756280251,3.5,12.25,33,Milwaukee Brewers,NYY,Wisconsin,87.3,7621.289999999999,19,161,361,17,289,Gio Gonzalez,2,4,1,205,6,SP,0.5527950310559007,0,0,UFA,78,6084,2000000,2000000,1709677,60.97,3717.3408999999997,2000000,31900000,2000000,89,1.88,3.5343999999999998,1.29,1.6641000000000001,0,37,1369,3,9
