"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Marcus Stroman","SP","TOR","34","33","201.0","201","82","69","62","164","13","9","0","1.31","3.09","5.72","93.92","$25,000,000","$25,000,000","$23,666,667","$65,463,544","26","180","5'7""",""
"","Clayton Richard","SP","SD","32","32","197.3","240","114","105","59","151","8","15","0","1.51","4.79","0.54","40.31","$0","$0","$0","$0","33","240","6'5""",""
"","Luis Severino","SP","NYY","31","31","193.3","150","73","64","51","230","14","6","0","1.04","2.98","5.32","97.89","$11,500,000","$11,000,000","$10,000,000","$32,805,889","23","215","6'2""",""
"","Zach Davies","SP","MIL","33","33","191.3","204","90","85","55","124","17","9","0","1.35","4.00","2.90","85.19","$1,500,000","$1,500,000","$1,750,000","$16,967,264","24","180","6'0""",""
"","R.A. Dickey","SP","ATL","31","31","190.0","193","99","91","67","136","10","10","0","1.37","4.31","2.04","52.01","$0","$0","$0","$0","42","215","6'3""",""
"","Patrick Corbin","SP","ARI","35","32","189.3","208","97","85","61","178","14","13","0","1.42","4.04","2.80","65.61","$23,416,666","$23,000,000","$23,333,333","$85,475,037","27","220","6'4""",""
"","Jose Quintana","SP","CHC","32","32","188.7","170","92","87","61","207","11","11","0","1.22","4.15","1.26","62.32","$2,000,000","$714,285","$2,000,000","$51,289,259","28","220","6'1""",""
"","Julio Teheran","SP","ATL","37","32","188.3","187","103","95","72","151","11","13","0","1.38","4.54","1.53","46.36","$0","$0","$0","$0","26","205","6'2""",""
"","Ivan Nova","SP","PIT","31","31","187.0","203","96","86","36","131","11","14","0","1.28","4.14","2.15","53.20","$0","$0","$0","$0","30","250","6'5""",""
"","Yu Darvish","SP","LAD","31","31","186.7","159","83","80","58","209","10","12","0","1.16","3.86","0.62","50.45","$19,000,000","$19,000,000","$21,000,000","$153,305,991","30","220","6'5""",""
"","Kevin Gausman","SP","BAL","34","34","186.7","208","99","97","71","179","11","12","0","1.50","4.68","2.03","46.83","$21,000,000","$21,000,000","$22,000,000","$63,094,346","26","190","6'3""",""
"","Lance Lynn","SP","STL","33","33","186.3","151","80","71","78","153","11","8","0","1.23","3.43","3.17","72.50","$18,500,000","$18,500,000","$19,000,000","$80,085,704","30","270","6'5""",""
"","Mike Leake","SP","SEA","32","31","186.0","200","93","81","37","130","10","13","0","1.27","3.92","1.03","41.89","$0","$0","$0","$0","29","170","0'0""",""
"","Marco Estrada","SP","TOR","33","33","186.0","186","104","103","71","176","10","9","0","1.38","4.98","2.21","29.26","$0","$0","$0","$0","33","180","6'0""",""
"","Martin Perez","SP","TEX","32","32","185.0","221","108","98","63","115","13","12","0","1.53","4.77","1.89","52.07","$4,000,000","$4,000,000","$4,000,000","$34,166,681","26","200","6'0""",""
"","Dan Straily","SP","MIA","33","33","181.7","177","90","86","60","170","10","9","0","1.30","4.26","1.33","55.76","$0","$0","$0","$0","28","220","6'2""",""
"","Tanner Roark","SP","WSH","32","30","181.3","178","105","94","64","166","13","11","0","1.34","4.67","1.23","57.68","$0","$0","$0","$0","30","238","6'2""",""
"","Ricky Nolasco","SP","LAA","33","33","181.0","205","102","99","58","143","6","15","0","1.45","4.92","0.66","13.47","$0","$0","$0","$0","34","215","6'2""",""
"","Jon Lester","SP","CHC","32","32","180.7","179","101","87","60","180","13","8","0","1.32","4.33","0.71","21.74","$0","$0","$0","$0","33","240","6'4""",""
"","Jason Hammel","SP","KC","32","32","180.3","209","109","106","48","145","8","13","0","1.42","5.29","1.41","32.19","$0","$0","$0","$0","34","225","6'6""",""
"","Jhoulys Chacin","SP","SD","34","32","180.3","157","82","78","72","153","13","10","0","1.27","3.89","2.54","79.71","$1,250,000","$1,250,000","$1,250,000","$30,239,595","29","215","6'3""",""
"","Jason Vargas","SP","KC","32","32","179.7","181","84","83","58","134","18","11","0","1.33","4.16","3.87","72.74","$0","$0","$0","$0","34","215","6'0""",""
"","Alex Cobb","SP","TB","29","29","179.3","175","78","73","44","128","12","10","0","1.22","3.66","2.37","77.46","$9,000,000","$9,000,000","$10,000,000","$66,595,287","29","205","6'3""",""
"","Masahiro Tanaka","SP","NYY","30","30","178.3","180","100","94","41","194","13","12","0","1.24","4.74","1.11","18.50","$0","$0","$0","$0","28","215","0'0""",""
"","Stephen Strasburg","SP","WSH","28","28","175.3","132","55","50","47","204","15","4","0","1.02","2.57","6.21","92.47","$35,000,000","$23,571,428","$35,000,000","$172,648,014","28","235","6'5""",""
"","Jimmy Nelson","SP","MIL","29","29","175.3","171","75","68","48","199","12","6","0","1.25","3.49","3.23","90.22","$700,000","$700,000","$700,000","$12,569,996","28","250","6'6""",""
"","Clayton Kershaw","SP","LAD","27","27","175.0","136","49","45","30","202","18","4","0","0.95","2.31","4.87","86.48","$17,000,000","$17,000,000","$17,000,000","$268,342,641","29","225","6'4""",""
"","Matt Moore","SP","SF","32","31","174.3","199","116","107","67","148","6","15","0","1.53","5.52","-0.29","19.48","$2,500,000","$2,311,852","$2,500,000","$36,590,852","28","210","6'3""",""
"","Drew Pomeranz","SP","BOS","32","32","173.7","167","69","64","69","174","17","6","0","1.36","3.32","3.93","84.62","$10,000,000","$10,000,000","$8,500,000","$42,687,462","28","246","6'5""",""
"","John Lackey","SP","CHC","32","30","170.7","165","93","87","53","149","12","12","0","1.28","4.59","1.13","25.39","$0","$0","$0","$0","38","235","6'6""",""
"","Dylan Bundy","SP","BAL","28","28","169.7","152","80","78","51","152","13","9","0","1.20","4.14","2.73","79.11","$4,000,000","$4,000,000","$5,000,000","$28,281,852","24","200","6'1""",""
"","Jose Urena","SP","MIA","36","28","169.7","152","77","72","64","113","14","7","0","1.27","3.82","2.01","67.66","$700,000","$349,986","$700,000","$10,313,510","25","208","6'2""",""
"","Jake Arrieta","SP","CHC","32","30","168.3","150","82","66","55","163","14","10","0","1.22","3.53","1.89","51.45","$0","$0","$0","$0","31","230","6'4""",""
"","Aaron Nola","SP","PHI","27","27","168.0","154","67","66","49","184","12","11","0","1.21","3.54","4.33","94.18","$15,500,000","$15,000,000","$11,250,000","$40,856,353","24","195","6'2""",""
"","Andrew Cashner","SP","TEX","28","28","166.7","156","75","63","64","86","11","11","0","1.32","3.40","4.26","80.99","$0","$0","$0","$0","30","235","6'6""",""
"","Michael Wacha","SP","STL","30","30","165.7","170","82","76","55","158","12","9","0","1.36","4.13","1.48","67.03","$7,000,000","$7,000,000","$7,000,000","$29,716,239","26","215","6'6""",""
"","Michael Fulmer","SP","DET","25","25","164.7","150","80","70","40","114","10","12","0","1.15","3.83","3.53","92.77","$4,950,000","$1,740,672","$4,950,000","$14,459,137","24","246","6'3""",""
"","Jeremy Hellickson","SP","BAL","30","30","164.0","160","105","99","47","96","8","11","0","1.26","5.43","-0.84","7.85","$0","$0","$0","$0","30","190","6'1""",""
"","Luis Perdomo","SP","SD","29","29","163.7","182","97","86","65","118","8","11","0","1.51","4.73","0.15","48.98","$700,000","$473,058","$700,000","$2,535,079","24","185","6'2""",""
"","Ty Blach","SP","SF","38","24","163.7","179","91","87","43","73","8","12","0","1.36","4.78","1.35","56.76","$0","$0","$0","$0","26","215","6'1""",""
"","Robbie Ray","SP","ARI","28","28","162.0","116","57","52","71","218","15","5","0","1.15","2.89","4.90","97.35","$21,000,000","$21,000,000","$23,000,000","$44,458,723","25","215","6'2""",""
"","German Marquez","SP","COL","29","29","162.0","174","82","79","49","147","11","7","0","1.38","4.39","3.24","71.84","$11,300,000","$11,000,000","$8,600,000","$24,053,538","22","230","6'1""",""
"","Jordan Zimmermann","SP","DET","29","29","160.0","204","111","108","44","103","8","13","0","1.55","6.08","0.34","3.02","$0","$0","$0","$0","31","225","6'2""",""
"","Ariel Miranda","SP","SEA","32","29","160.0","140","93","91","63","137","8","7","0","1.27","5.12","0.84","37.20","$0","$0","$0","$0","28","190","6'2""",""
"","Sean Manaea","SP","OAK","29","29","158.7","167","88","77","55","140","12","10","0","1.40","4.37","1.64","61.14","$9,750,000","$9,750,000","$9,750,000","$25,383,889","25","245","6'5""",""
"","Kyle Gibson","SP","MIN","29","29","158.0","182","93","89","60","121","12","10","0","1.53","5.07","0.28","33.26","$7,000,000","$7,000,000","$9,333,333","$42,272,129","29","215","6'6""",""
"","Wade Miley","SP","BAL","32","32","157.3","178","104","98","93","142","8","15","0","1.72","5.61","-0.17","11.74","$10,000,000","$10,000,000","$7,500,000","$49,918,222","30","220","6'2""",""
"","Taijuan Walker","SP","ARI","28","28","157.3","148","76","61","61","146","9","9","0","1.33","3.49","2.79","79.27","$7,000,000","$7,000,000","$7,666,667","$32,520,097","24","235","6'4""",""
"","Chad Kuhl","SP","PIT","33","31","157.3","159","81","76","72","142","8","11","0","1.47","4.35","1.65","51.39","$3,000,000","$3,000,000","$3,000,000","$7,355,905","24","210","6'3""",""
"","Jaime Garcia","SP","NYY","27","27","157.0","157","86","78","64","129","5","10","0","1.41","4.47","1.18","45.45","$0","$0","$0","$0","30","215","6'2""",""
"","Miguel Gonzalez","SP","TEX","27","27","156.0","168","88","84","55","100","8","13","0","1.43","4.85","1.68","39.75","$0","$0","$0","$0","33","170","6'1""",""
"","Kyle Freeland","RP","COL","35","28","156.0","169","78","71","63","107","11","11","0","1.49","4.10","3.22","0.00","$7,000,000","$7,000,000","$12,900,000","$16,909,249","24","201","6'4""",""
"","Jordan Montgomery","SP","NYY","29","29","155.3","140","72","67","51","144","9","7","0","1.23","3.88","2.88","79.63","$6,000,000","$2,109,888","$6,000,000","$10,424,671","24","228","6'6""",""
"","Zack Godley","SP","ARI","27","25","155.0","124","61","58","53","165","8","9","0","1.14","3.37","4.40","92.45","$0","$0","$0","$0","27","240","6'3""",""
"","Ian Kennedy","SP","KC","30","30","154.0","143","99","92","61","131","5","13","0","1.33","5.38","0.49","10.93","$4,500,000","$4,500,000","$4,750,000","$74,374,811","32","205","6'0""",""
"","Mike Foltynewicz","SP","ATL","29","28","154.0","169","86","82","59","143","10","13","0","1.48","4.79","1.28","46.95","$0","$0","$0","$0","25","200","6'4""",""
"","Michael Fiers","SP","HOU","30","28","153.3","157","95","89","62","146","8","10","0","1.43","5.22","-0.51","18.65","$0","$0","$0","$0","32","211","6'2""",""
"","Alex Wood","SP","LAD","27","25","152.3","123","50","46","38","151","16","3","0","1.06","2.72","3.40","95.29","$12,500,000","$12,500,000","$12,500,000","$40,014,397","26","215","6'4""",""
"","Trevor Williams","SP","PIT","31","25","150.3","146","73","69","52","117","7","9","0","1.32","4.13","1.97","65.46","$3,900,000","$3,900,000","$3,900,000","$10,830,067","25","230","6'3""",""
"","C.C. Sabathia","SP","NYY","27","27","148.7","139","64","61","50","120","14","5","0","1.27","3.69","2.83","43.87","$0","$0","$0","$0","36","300","6'6""",""
"","Cole Hamels","SP","TEX","24","24","148.0","125","74","69","53","105","11","6","0","1.20","4.20","2.69","41.25","$0","$0","$0","$0","33","205","6'4""",""
"","J.C. Ramirez","SP","LAA","27","24","147.3","149","72","68","49","105","11","10","0","1.34","4.15","1.61","65.36","$0","$0","$0","$0","28","250","6'5""",""
"","Charlie Morton","SP","HOU","25","25","146.7","125","65","59","50","163","14","7","0","1.19","3.62","1.82","71.93","$20,000,000","$20,000,000","$20,000,000","$100,434,056","33","215","6'5""",""
"","Danny Duffy","SP","KC","24","24","146.3","143","67","62","41","130","9","10","0","1.26","3.81","3.34","67.96","$3,000,000","$3,000,000","$3,000,000","$67,305,782","28","205","6'3""",""
"","Dallas Keuchel","SP","HOU","23","23","145.7","116","50","47","47","125","14","5","0","1.12","2.90","3.90","93.10","$700,000","$149,994","$700,000","$96,126,648","29","205","6'2""",""
"","Jose Berrios","SP","MIN","26","25","145.7","131","71","63","48","139","14","8","0","1.23","3.89","1.78","79.29","$10,714,285","$15,000,000","$18,714,286","$26,070,943","23","205","6'0""",""
"","J.A. Happ","SP","TOR","25","25","145.3","145","64","57","46","142","10","11","0","1.31","3.53","3.62","69.65","$0","$0","$0","$0","34","205","6'5""",""
"","Jake Odorizzi","SP","TB","28","28","143.3","117","80","66","61","127","10","8","0","1.24","4.14","-0.06","40.27","$8,000,000","$1,758,272","$7,833,333","$44,645,332","27","190","6'2""",""
"","Ubaldo Jimenez","SP","BAL","31","25","142.7","169","109","108","58","139","6","11","0","1.59","6.81","-1.35","1.32","$0","$0","$0","$0","33","210","6'5""",""
"","Chase Anderson","SP","MIL","25","25","141.3","113","47","43","41","133","12","4","0","1.09","2.74","4.22","95.23","$700,000","$142,302","$700,000","$23,108,150","29","200","6'1""",""
"","Kyle Hendricks","SP","CHC","25","24","139.7","126","49","47","40","123","7","5","0","1.19","3.03","3.53","91.02","$14,000,000","$14,000,000","$13,875,000","$46,149,468","27","190","6'3""",""
"","Jesse Chavez","RP","LAA","38","21","138.0","148","83","82","45","119","7","11","0","1.40","5.35","-0.17","0.00","$1,250,000","$247,248","$1,250,000","$23,183,342","33","175","6'2""",""
"","Eduardo Rodriguez","SP","BOS","25","24","137.3","126","66","64","50","150","6","7","0","1.28","4.19","1.77","59.54","$14,000,000","$14,000,000","$15,400,000","$33,715,093","24","231","6'2""",""
"","James Paxton","SP","SEA","24","24","136.0","113","47","45","37","156","12","5","0","1.10","2.98","3.78","95.01","$6,000,000","$6,000,000","$10,000,000","$37,011,146","28","235","6'4""",""
"","Rich Hill","SP","LAD","25","25","135.7","99","51","50","49","166","12","8","0","1.09","3.32","2.23","67.79","$5,000,000","$5,000,000","$5,000,000","$71,557,809","37","221","6'5""",""
"","Matt Boyd","SP","DET","26","25","135.0","158","84","81","53","110","6","11","0","1.56","5.40","1.38","34.36","$5,200,000","$1,828,544","$5,200,000","$17,904,495","26","234","6'3""",""
"","Antonio Senzatela","SP","COL","36","20","134.7","128","72","70","47","102","10","5","0","1.30","4.68","2.07","55.64","$7,250,000","$7,250,000","$10,100,000","$12,068,318","22","236","6'1""",""
"","Kenta Maeda","SP","LAD","30","25","134.3","121","68","63","34","140","13","6","1","1.15","4.22","0.52","57.80","$3,125,000","$3,000,000","$3,125,000","$49,414,704","29","184","6'1""",""
"","Jameson Taillon","SP","PIT","25","25","133.7","152","69","66","46","125","8","7","0","1.48","4.44","1.38","56.49","$5,800,000","$5,800,000","$5,800,000","$17,399,590","25","230","6'5""",""
"","Nick Pivetta","SP","PHI","26","26","133.0","143","91","87","57","140","8","10","0","1.50","5.89","-0.39","23.20","$2,650,000","$2,650,000","$2,650,000","$5,071,399","24","214","6'5""",""
"","Brad Peacock","SP","HOU","34","21","132.0","100","46","44","57","161","13","2","0","1.19","3.00","3.03","85.58","$0","$0","$0","$0","29","210","6'1""",""
"","Yovani Gallardo","RP","SEA","28","22","130.7","138","84","83","60","94","5","10","1","1.51","5.72","-0.24","0.00","$0","$0","$0","$0","31","205","6'2""",""
"","Mike Montgomery","RP","CHC","44","14","130.7","102","52","46","55","100","7","8","3","1.20","3.17","2.13","0.00","$0","$0","$0","$0","28","215","6'5""",""
"","Blake Snell","SP","TB","24","24","129.3","113","65","58","59","119","5","7","0","1.33","4.04","0.98","58.35","$13,100,000","$12,500,000","$10,000,000","$31,738,367","24","225","6'4""",""
"","Jerad Eickhoff","SP","PHI","24","24","128.0","141","74","66","53","118","4","8","0","1.52","4.64","0.74","40.09","$0","$0","$0","$0","26","245","6'4""",""
"","Hyun-Jin Ryu","SP","LAD","25","24","126.7","128","58","53","45","116","5","9","1","1.37","3.77","1.34","42.61","$20,000,000","$20,000,000","$20,000,000","$101,382,407","30","255","6'3""",""
"","Matt Cain","RP","SF","27","23","124.3","157","85","75","49","75","3","11","0","1.66","5.43","-0.51","0.00","$0","$0","$0","$0","32","230","6'3""",""
"","Adam Wainwright","SP","STL","26","23","123.3","140","73","70","45","96","12","5","0","1.50","5.11","0.24","20.71","$17,500,000","$17,500,000","$17,500,000","$175,065,963","35","230","6'7""",""
"","Tim Adleman","SP","CIN","30","20","122.3","124","79","75","51","108","5","11","0","1.43","5.52","-0.47","12.70","$0","$0","$0","$0","29","225","6'5""",""
"","Parker Bridwell","SP","LAA","21","20","121.0","115","52","49","30","73","10","3","0","1.20","3.65","2.00","80.07","$0","$0","$0","$0","25","185","6'4""",""
"","Mike Pelfrey","RP","CHW","34","21","120.0","127","87","79","62","79","3","12","0","1.58","5.93","-1.09","0.00","$0","$0","$0","$0","33","240","6'7""",""
"","Robert Gsellman","RP","NYM","27","22","119.7","139","85","69","42","82","8","7","0","1.51","5.19","-0.71","0.00","$0","$0","$0","$0","23","205","6'4""",""
"","Joseph Biagini","SP","TOR","44","18","119.7","125","78","71","42","97","3","13","1","1.40","5.34","0.00","23.46","$0","$0","$0","$0","27","235","6'5""",""
"","Rafael Montero","RP","NYM","34","18","119.0","140","75","72","67","114","5","11","0","1.74","5.45","0.10","0.00","$2,725,000","$2,725,000","$2,725,000","$7,376,296","26","185","6'0""",""
"","Lance McCullers","SP","HOU","22","22","118.7","114","61","56","40","132","7","4","0","1.30","4.25","0.97","63.08","$15,833,333","$15,250,000","$17,000,000","$37,213,232","23","202","6'1""",""
"","James Shields","SP","CHW","21","21","117.0","116","72","68","53","103","5","7","0","1.44","5.23","0.30","6.10","$0","$0","$0","$0","35","215","6'3""",""
"","Matt Garza","SP","MIL","24","22","114.7","121","72","63","45","79","6","9","0","1.45","4.95","-0.22","14.45","$0","$0","$0","$0","33","215","6'4""",""
"","Dinelson Lamet","SP","SD","21","21","114.3","88","63","58","54","139","7","8","0","1.24","4.57","0.59","54.30","$4,775,000","$1,600,396","$4,775,000","$11,371,279","24","187","6'4""",""
"","Scott Feldman","SP","CIN","21","21","111.3","116","62","59","35","93","7","7","0","1.36","4.77","0.52","37.19","$0","$0","$0","$0","34","225","6'6""",""
"","Nick Martinez","SP","TEX","23","18","111.3","124","74","70","28","67","3","8","0","1.37","5.66","0.12","20.30","$6,000,000","$6,000,000","$6,375,000","$7,401,624","26","175","6'1""",""
"","Madison Bumgarner","SP","SF","17","17","111.0","101","41","41","20","101","4","9","0","1.09","3.32","2.97","85.38","$23,000,000","$23,000,000","$17,000,000","$105,782,222","27","257","6'4""",""
"","Jon Gray","SP","COL","20","20","110.3","113","47","45","30","112","10","4","0","1.30","3.67","3.10","88.98","$15,000,000","$15,000,000","$14,000,000","$32,530,988","25","225","6'4""",""
"","Joe Musgrove","SP","HOU","38","15","109.3","117","59","58","28","98","7","8","2","1.33","4.77","0.07","26.79","$8,625,000","$8,625,000","$8,625,000","$16,483,636","24","235","6'5""",""
"","Anibal Sanchez","RP","DET","28","17","105.3","139","81","75","29","104","3","7","0","1.60","6.41","-0.71","0.00","$2,000,000","$2,000,000","$2,000,000","$117,315,374","33","205","6'0""",""
"","Kendall Graveman","SP","OAK","19","19","105.3","114","50","49","32","70","6","4","0","1.39","4.19","1.97","62.65","$8,000,000","$8,000,000","$8,000,000","$15,306,758","26","200","6'2""",""
"","Adam Conley","SP","MIA","22","20","102.7","114","74","70","42","72","8","8","0","1.52","6.14","-1.32","16.10","$0","$0","$0","$0","27","200","6'3""",""
"","Daniel Norris","SP","DET","22","18","101.7","120","64","60","44","86","5","8","0","1.61","5.31","0.59","25.00","$700,000","$700,000","$700,000","$11,997,212","24","185","6'2""",""
"","Seth Lugo","SP","NYM","20","18","101.3","114","57","53","25","85","7","5","0","1.37","4.71","0.79","57.86","$3,925,000","$3,925,000","$3,925,000","$9,537,502","27","225","6'4""",""
"","Sean Newcomb","SP","ATL","19","19","100.0","100","51","48","57","108","4","9","0","1.57","4.32","1.32","44.32","$900,000","$568,675","$900,000","$5,252,859","24","255","6'5""",""
"","Jeff Hoffman","SP","COL","23","16","99.3","106","66","65","40","82","6","5","0","1.47","5.89","0.27","23.23","$925,000","$925,000","$925,000","$5,501,003","24","235","6'5""",""
"","Jake Junis","SP","KC","20","16","98.3","102","52","50","25","80","9","3","0","1.29","4.58","1.39","57.57","$1,750,000","$1,750,000","$1,750,000","$5,701,769","24","220","6'3""",""
"","Adalberto Mejia","SP","MIN","21","21","98.0","110","52","49","44","85","4","7","0","1.57","4.50","0.82","29.42","$0","$0","$0","$0","24","195","0'0""",""
"","Francisco Liriano","RP","HOU","38","18","97.0","105","66","61","53","85","6","7","0","1.63","5.66","-0.17","0.00","$0","$0","$0","$0","33","218","6'3""",""
"","Michael Pineda","SP","NYY","17","17","96.3","103","55","47","21","92","8","4","0","1.29","4.39","0.63","43.86","$5,500,000","$5,500,000","$5,500,000","$39,279,247","28","280","6'7""",""
"","Chris Tillman","SP","BAL","24","19","93.0","125","86","81","51","63","1","7","0","1.89","7.84","-2.17","0.15","$0","$0","$0","$0","29","200","6'5""",""
"","Brandon McCarthy","SP","LAD","19","16","92.7","89","43","41","27","72","6","4","0","1.25","3.98","0.74","50.71","$0","$0","$0","$0","33","225","6'7""",""
"","Matt Harvey","SP","NYM","19","18","92.7","110","67","66","47","67","5","7","0","1.69","6.41","-0.92","6.40","$0","$0","$0","$0","28","220","6'4""",""
"","Edinson Volquez","SP","MIA","17","17","92.3","78","46","43","53","81","4","8","0","1.42","4.19","0.68","37.36","$0","$0","$0","$0","33","220","0'0""",""
"","Yusmeiro Petit","RP","LAA","60","1","91.3","69","32","28","18","101","5","2","4","0.95","2.76","1.62","90.98","$0","$0","$0","$0","32","252","6'1""",""
"","Daniel Gossett","SP","OAK","18","18","91.3","116","67","62","31","72","4","11","0","1.61","6.11","-0.58","10.41","$0","$0","$0","$0","24","185","6'0""",""
"","Homer Bailey","SP","CIN","18","18","91.0","112","67","65","42","67","6","9","0","1.69","6.43","-0.81","3.81","$0","$0","$0","$0","31","223","6'4""",""
"","Mark Leiter Jr.","SP","PHI","27","11","90.7","90","59","50","31","84","3","6","0","1.34","4.96","-0.13","20.41","$700,000","$457,674","$700,000","$1,201,882","26","210","6'0""",""
"","Doug Fister","SP","BOS","18","15","90.3","88","54","52","38","83","5","9","0","1.39","5.18","0.10","40.45","$0","$0","$0","$0","33","210","6'8""",""
"","Luis Castillo","SP","CIN","15","15","89.3","64","32","31","32","98","3","7","0","1.08","3.12","2.64","0.00","$7,350,000","$2,705,795","$7,350,000","$13,443,241","24","200","6'2""",""
"","Ben Lively","SP","PHI","15","15","88.7","89","45","42","24","52","4","7","0","1.27","4.26","1.22","0.00","$0","$0","$0","$0","25","190","6'4""",""
"","Sal Romano","SP","CIN","16","16","87.0","91","49","43","37","73","5","8","0","1.47","4.45","0.36","0.00","$0","$0","$0","$0","23","255","6'5""",""
"","Felix Hernandez","SP","SEA","16","16","86.7","86","46","42","26","78","6","5","0","1.29","4.36","0.78","0.00","$0","$0","$0","$0","31","225","6'3""",""
"","Jacob Faria","SP","TB","16","14","86.7","71","35","33","31","84","5","4","0","1.18","3.43","1.40","0.00","$0","$0","$0","$0","23","225","6'4""",""
"","Zack Wheeler","SP","NYM","18","17","86.3","97","53","50","40","81","3","7","0","1.59","5.21","0.32","25.00","$26,000,000","$26,000,000","$23,600,000","$70,305,242","27","195","6'4""",""
"","Matt Andriese","RP","TB","18","17","86.0","90","48","43","28","76","5","5","1","1.37","4.50","0.12","0.00","$0","$0","$0","$0","27","215","6'2""",""
"","Tyler Anderson","SP","COL","17","15","86.0","88","48","46","26","81","6","6","0","1.33","4.81","1.23","46.58","$8,000,000","$8,000,000","$8,000,000","$17,101,907","27","213","6'2""",""
"","Tyler Skaggs","SP","LAA","16","16","85.0","90","46","43","28","76","2","6","0","1.39","4.55","0.54","0.00","$0","$0","$0","$0","25","215","6'4""",""
"","Chris Rusin","RP","COL","60","0","85.0","75","31","25","19","71","5","1","2","1.11","2.65","2.31","94.33","$0","$0","$0","$0","30","198","6'2""",""
"","Robert Stephenson","SP","CIN","26","11","84.7","81","52","44","53","86","5","6","1","1.58","4.68","-0.25","19.55","$1,280,000","$274,287","$1,280,000","$5,662,307","24","205","6'3""",""
"","Trevor Cahill","RP","KC","21","14","84.0","91","50","46","45","87","4","3","0","1.62","4.93","-0.48","0.00","$0","$0","$0","$0","29","230","6'4""",""
"","Michael Lorenzen","RP","CIN","73","0","83.0","78","43","41","34","80","8","4","2","1.35","4.45","0.12","49.17","$6,750,000","$6,750,000","$6,750,000","$17,293,531","25","220","6'3""",""
"","Alexander Claudio","RP","TEX","70","1","82.7","71","26","23","15","56","4","2","11","1.04","2.50","2.71","97.34","$0","$0","$0","$0","25","188","6'3""",""
"","Brent Suter","SP","MIL","23","14","81.7","83","33","31","22","64","3","2","0","1.29","3.42","1.76","61.47","$2,700,000","$2,700,000","$2,700,000","$6,467,918","27","213","6'4""",""
"","Chris Devenski","RP","HOU","62","0","80.7","50","26","24","26","100","8","5","4","0.94","2.68","1.85","92.95","$0","$0","$0","$0","26","210","6'3""",""
"","Craig Stammen","RP","SD","60","0","80.3","68","29","28","28","74","2","3","0","1.20","3.14","1.50","73.13","$4,000,000","$4,000,000","$4,500,000","$23,675,481","33","228","6'2""",""
"","Brad Hand","RP","SD","72","0","79.3","54","20","19","20","104","3","4","21","0.93","2.16","2.78","97.07","$6,000,000","$6,000,000","$6,000,000","$38,014,598","27","224","6'3""",""
"","Mychal Givens","RP","BAL","69","0","78.7","57","27","27","25","88","8","1","0","1.04","3.09","2.34","90.42","$3,500,000","$1,250,000","$5,000,000","$13,493,157","27","230","6'0""",""
"","Dustin McGowan","RP","MIA","63","0","77.7","77","42","41","27","64","8","2","0","1.34","4.75","-0.20","26.16","$0","$0","$0","$0","35","240","6'3""",""
"","Mike Minor","RP","KC","65","0","77.7","57","23","22","22","88","6","6","6","1.02","2.55","2.87","93.22","$10,000,000","$10,000,000","$9,000,000","$61,414,609","29","210","6'4""",""
"","Matt Shoemaker","SP","LAA","14","14","77.7","73","41","39","28","69","6","3","0","1.30","4.52","0.54","0.00","$0","$0","$0","$0","30","225","6'2""",""
