"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Jerry Blevins","RP","OAK","1.00","0.41","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.65","$0",""
"","Wilton Lopez","RP","COL","1.00","0.46","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.63","$0",""
"","Jordan Lyles","SP","HOU","1.00","0.17","0.93","0.15","0.22","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.62","$8,500,000",""
"","Bryan Morris","RP","PIT","1.00","0.33","0.00","0.00","0.09","0.02","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","0.59","$0",""
"","Jason Marquis","SP","SD","1.00","0.13","0.95","0.12","2.00","0.24","0.05","0.00","0.00","0.10","0.119","0.119","0.143","0.262","0.57","$0",""
"","Dallas Keuchel","SP","HOU","1.00","0.20","0.67","0.14","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.53","$0",""
"","Manny Parra","RP","CIN","1.00","0.35","0.00","0.00","0.04","0.02","0.00","0.00","0.00","0.00","0.500","0.500","0.500","1.000","0.53","$0",""
"","Erik Bedard","SP","HOU","1.00","0.20","0.81","0.16","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.52","$0",""
"","Dale Thayer","RP","SD","1.00","0.43","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.45","$0",""
"","Burke Badenhop","RP","MIL","1.00","0.39","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.44","$0",""
"","Troy Patton","RP","BAL","1.00","0.34","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.44","$0",""
"","Matt Belisle","RP","COL","1.00","0.44","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.43","$0",""
"","Alfredo Simon","SP","CIN","1.00","0.39","0.00","0.00","0.11","0.02","0.00","0.00","0.00","0.00","0.143","0.143","0.143","0.286","0.41","$0",""
"","Matt Guerrier","RP","CHC","1.00","0.30","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.39","$0",""
"","Joe Saunders","SP","SEA","1.00","0.20","0.97","0.20","0.15","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.39","$0",""
"","Kevin Gausman","SP","BAL","1.00","0.12","0.25","0.03","0.05","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.38","$21,000,000",""
"","Dan Haren","SP","WSH","1.00","0.19","0.97","0.19","1.52","0.26","0.10","0.00","0.00","0.06","0.170","0.204","0.234","0.438","0.38","$0",""
"","Ryan Vogelsong","SP","SF","1.00","0.12","1.00","0.12","1.53","0.11","0.00","0.00","0.00","0.11","0.069","0.156","0.069","0.225","0.34","$0",""
"","Ronald Belisario","RP","LAD","1.00","0.48","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.33","$0",""
"","Aaron Harang","SP","NYM","1.00","0.16","1.00","0.16","0.42","0.08","0.00","0.00","0.00","0.00","0.182","0.182","0.182","0.364","0.31","$0",""
"","Chad Bettis","SP","COL","1.00","0.10","0.47","0.05","0.65","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.31","$0",""
"","George Kontos","RP","SF","1.00","0.32","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.29","$0",""
"","John Danks","SP","CHW","1.00","0.14","1.00","0.14","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.26","$0",""
"","Ian Kennedy","SP","SD","1.00","0.20","0.97","0.19","1.66","0.22","0.09","0.00","0.00","0.03","0.132","0.207","0.189","0.396","0.26","$0",""
"","Wesley Wright","RP","TB","1.00","0.44","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.24","$0",""
"","Jeff Francis","SP","COL","1.00","0.14","0.52","0.07","0.61","0.04","0.04","0.00","0.00","0.04","0.071","0.222","0.143","0.365","0.21","$0",""
"","C.C. Sabathia","SP","NYY","1.00","0.20","1.00","0.20","0.13","0.00","0.00","0.00","0.00","0.03","0.000","0.000","0.000","0.000","0.13","$0",""
"","Barry Zito","SP","SF","1.00","0.19","0.83","0.15","1.13","0.17","0.00","0.00","0.00","0.07","0.147","0.147","0.147","0.294","0.01","$0",""
"","J.C. Ramirez","SP","PHI","1.00","0.11","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Carlos Marmol","RP","LAD","1.00","0.32","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Josh Beckett","SP","LAD","1.00","0.05","1.00","0.05","1.00","0.13","0.00","0.00","0.00","0.00","0.125","0.222","0.125","0.347","0.00","$0",""
"","Daisuke Matsuzaka","SP","NYM","1.00","0.04","1.00","0.04","1.71","0.43","0.00","0.00","0.00","0.14","0.250","0.250","0.250","0.500","0.00","$0",""
"","Yusmeiro Petit","RP","SF","1.00","0.05","0.88","0.04","2.00","0.13","0.00","0.00","0.00","0.25","0.063","0.118","0.063","0.180","0.00","$0",""
"","Gavin Floyd","RP","CHW","1.00","0.03","1.00","0.03","0.40","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Homer Bailey","SP","CIN","1.00","0.20","1.00","0.20","1.81","0.28","0.03","0.00","0.00","0.03","0.155","0.210","0.172","0.382","0.00","$0",""
"","Roberto Hernandez","RP","TB","1.00","0.20","0.75","0.15","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Franklin Morales","RP","BOS","1.00","0.12","0.05","0.01","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Robert Andino","CF","PIT","1.00","0.17","0.79","0.14","2.71","0.50","0.14","0.00","0.00","0.14","0.184","0.253","0.237","0.490","0.00","$0",""
"","Josh Johnson","SP","TOR","1.00","0.10","1.00","0.10","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.500","0.000","0.500","0.00","$0",""
"","Wandy Rodriguez","RP","PIT","1.00","0.08","0.92","0.07","1.69","0.15","0.00","0.00","0.00","0.08","0.091","0.091","0.091","0.182","0.00","$0",""
"","Jorge De La Rosa","RP","COL","1.00","0.19","1.00","0.19","1.73","0.07","0.00","0.00","0.00","0.00","0.039","0.074","0.038","0.113","0.00","$0",""
"","Chad Billingsley","SP","LAD","1.00","0.01","1.00","0.01","1.50","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Carlos Villanueva","RP","CHC","1.00","0.29","0.32","0.09","0.68","0.11","0.00","0.00","0.00","0.02","0.156","0.156","0.156","0.313","0.00","$0",""
"","Scott Baker","SP","CHC","1.00","0.02","1.00","0.02","1.00","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Kevin Slowey","RP","MIA","1.00","0.12","0.70","0.09","1.05","0.05","0.00","0.00","0.00","0.00","0.048","0.130","0.048","0.178","0.00","$0",""
"","Mike Pelfrey","RP","MIN","1.00","0.18","1.00","0.18","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Phil Hughes","RP","NYY","1.00","0.19","0.97","0.18","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Ross Ohlendorf","RP","WSH","1.00","0.10","0.44","0.04","0.94","0.00","0.00","0.00","0.00","0.06","0.000","0.063","0.000","0.063","0.00","$0",""
"","Joe Blanton","RP","LAA","1.00","0.17","0.71","0.12","0.21","0.04","0.00","0.00","0.00","0.00","0.167","0.167","0.167","0.333","0.00","$0",""
"","Dan Johnson","1B","BAL","1.00","0.02","0.33","0.01","1.67","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Jake Peavy","RP","BOS","1.00","0.14","1.00","0.14","0.65","0.04","0.04","0.00","0.00","0.00","0.067","0.067","0.133","0.200","0.00","$0",""
"","Zach Duke","RP","CIN","1.00","0.16","0.04","0.01","0.08","0.08","0.00","0.00","0.00","0.00","1.000","1.000","1.000","2.000","0.00","$0",""
