Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
John Mayberry Jr.,0.92,46,0.245,0.695,PHI,495000,No
Brandon Crawford,0.883,45,0.248,0.653,SF,481000,No
Mark Ellis,0.679,31,0.258,0.697,LAD,2500000,Si
Wilin Rosario,0.722,71,0.27,0.843,COL,480000,No
Bobby Abreu,0.617,48,0.242,0.693,LAA,8598689,Si
Bobby Abreu,0.617,48,0.242,0.693,LAD,480000,Si
Justin Smoak,0.815,51,0.217,0.654,SEA,495100,No
Gerardo Parra,0.821,36,0.273,0.727,ARI,502000,No
Drew Stubbs,0.84,40,0.213,0.61,CIN,527500,No
Steve Lombardozzi,0.778,27,0.273,0.671,WSH,481000,No
Clint Barmes,0.889,45,0.229,0.593,PIT,5000000,Si
Chris Nelson,0.685,53,0.301,0.81,COL,480000,No
David Ortiz,0.556,60,0.318,1.026,BOS,14575000,No
Ryan Roberts,0.883,52,0.235,0.656,ARI,2012500,No
Chris Denorfia,0.803,36,0.293,0.796,SD,1165000,No
Brian McCann,0.747,67,0.23,0.698,ATL,11666666,No
Mark Reynolds,0.833,69,0.221,0.763,BAL,7833333,No
Jonathan Lucroy,0.593,58,0.32,0.881,MIL,600000,No
Scott Hairston,0.827,57,0.263,0.803,NYM,1100000,Si
Trevor Plouffe,0.735,55,0.235,0.756,MIN,485000,No
Willie Bloomquist,0.494,23,0.303,0.724,ARI,1900000,Si
Carlos Pena,0.988,61,0.197,0.684,TB,7250000,Si
Jemile Weeks,0.728,20,0.221,0.609,OAK,482500,No
Kurt Suzuki,0.728,43,0.235,0.605,WSH,5037500,No
Gregor Blanco,0.87,34,0.244,0.676,SF,516000,No
Lucas Duda,0.747,57,0.239,0.718,NYM,497218,No
Matt Joyce,0.765,59,0.241,0.769,TB,499500,No
Anthony Rizzo,0.537,48,0.285,0.805,CHC,480000,No
J.D. Martinez,0.698,55,0.241,0.685,HOU,483000,No
Michael Cuddyer,0.624,58,0.26,0.806,COL,10500000,Si
Raul Ibanez,0.803,62,0.24,0.761,NYY,1100000,Si
Seth Smith,0.772,52,0.24,0.754,OAK,2415000,No
Chris Heisey,0.741,31,0.265,0.715,CIN,495000,No
Greg Dobbs,0.741,39,0.285,0.698,MIA,1400000,Si
Jayson Werth,0.5,31,0.3,0.827,WSH,13571428,No
Jarrod Saltalamacchia,0.747,59,0.222,0.742,BOS,2500000,No
Cliff Pennington,0.772,28,0.215,0.589,OAK,490000,No
Russell Martin,0.821,53,0.211,0.713,NYY,7500000,No
Alex Avila,0.716,48,0.243,0.736,DET,510000,No
Mitch Moreland,0.704,50,0.272,0.783,TEX,491100,No
Ryan Hanigan,0.691,24,0.274,0.703,CIN,1300000,No
Salvador Perez,0.469,39,0.301,0.798,KC,750000,No
Matt Carpenter,0.704,46,0.294,0.828,STL,480000,No
Logan Forsythe,0.562,26,0.273,0.733,SD,481400,No
Joaquin Arias,0.691,34,0.27,0.693,SF,480000,No
Daniel Descalso,0.883,26,0.227,0.627,STL,495000,No
Donovan Solano,0.574,28,0.295,0.717,MIA,480000,No
Jed Lowrie,0.599,42,0.244,0.769,HOU,1150000,No
Jacoby Ellsbury,0.457,26,0.271,0.682,BOS,8050000,No
Adam Lind,0.574,45,0.256,0.729,TOR,5150000,No
Alex Presley,0.642,25,0.237,0.683,PIT,484000,No
Robert Andino,0.784,28,0.211,0.588,BAL,1300000,No
J.P. Arencibia,0.63,56,0.233,0.71,TOR,489600,No
Jose Tabata,0.636,16,0.243,0.664,PIT,916667,No
John Jaso,0.667,50,0.276,0.85,SEA,495200,No
Mike Napoli,0.667,56,0.227,0.812,TEX,9400000,No
Jose Bautista,0.568,65,0.241,0.886,TOR,14000000,No
Brendan Ryan,0.87,31,0.194,0.555,SEA,1900000,No
Evan Longoria,0.457,55,0.289,0.896,TB,4500000,No
Eric Chavez,0.698,37,0.281,0.845,NYY,1800000,Si
Reed Johnson,0.735,20,0.29,0.735,CHC,1150000,Si
Brandon Moss,0.519,52,0.291,0.954,OAK,480000,No
Chase Utley,0.512,45,0.256,0.793,PHI,15285714,No
Will Middlebrooks,0.463,54,0.288,0.835,BOS,480000,No
Jarrod Dyson,0.63,9,0.26,0.65,KC,483625,No
Pedro Ciriaco,0.469,19,0.293,0.705,BOS,480000,No
Josh Rutledge,0.451,37,0.274,0.775,COL,480000,No
Chris Young,0.624,41,0.231,0.745,ARI,7200000,Si
Chris Young,0.624,41,0.231,0.745,NYM,900000,Si
Chris Young,0.124,2,0.129,0.35,ARI,7200000,Si
Chris Young,0.124,2,0.129,0.35,NYM,900000,Si
Skip Schumaker,0.661,28,0.276,0.707,STL,1500000,No
Josh Thole,0.642,21,0.234,0.584,NYM,498920,No
Quintin Berry,0.58,29,0.258,0.684,DET,480000,No
Carlos Quentin,0.531,46,0.261,0.877,SD,7025000,No
Maicer Izturis,0.617,20,0.256,0.634,LAA,3966667,No
Brian Dozier,0.519,33,0.234,0.603,MIN,480000,No
Jonny Gomes,0.611,47,0.262,0.868,OAK,1000000,Si
Craig Gentry,0.753,26,0.304,0.759,TEX,484300,No
Elliot Johnson,0.759,33,0.242,0.654,TB,486100,No
Alexi Casilla,0.654,30,0.241,0.603,MIN,1382500,No
Brian Bogusevic,0.901,28,0.203,0.596,HOU,483000,No
Justin Maxwell,0.765,53,0.229,0.764,NYY,480000,No
Jesus Guzman,0.741,48,0.247,0.737,SD,486600,No
Kirk Nieuwenhuis,0.562,28,0.252,0.691,NYM,480000,No
Miguel Olivo,0.537,29,0.222,0.62,SEA,3750000,No
Nyjer Morgan,0.753,16,0.239,0.61,MIL,2350000,No
Casey McGehee,0.704,41,0.217,0.643,NYY,2537500,No
Dee Gordon,0.537,17,0.228,0.561,LAD,485000,No
Logan Morrison,0.574,36,0.23,0.707,MIA,480000,No
D.J. LeMahieu,0.5,22,0.297,0.742,COL,480000,No
John Buck,0.654,41,0.192,0.644,MIA,6500000,No
Kevin Frandsen,0.34,14,0.339,0.834,PHI,575000,No
Jordan Schafer,0.654,23,0.211,0.591,HOU,489000,No
Roger Bernadina,0.796,25,0.291,0.777,WSH,493500,No
Jason Castro,0.537,29,0.257,0.735,HOU,486000,No
Alexi Amarista,0.654,32,0.24,0.668,LAA,481000,No
Josh Donaldson,0.463,33,0.241,0.687,OAK,480000,No
Daniel Nava,0.543,33,0.243,0.742,BOS,480000,No
Gaby Sanchez,0.648,30,0.217,0.62,PIT,483000,No
Geovany Soto,0.611,39,0.198,0.613,CHC,4300000,No
Stephen Drew,0.488,28,0.223,0.657,OAK,7750000,No
Nate McLouth,0.549,20,0.241,0.694,PIT,1750000,No
Sean Rodriguez,0.691,32,0.213,0.607,TB,492800,No
Emilio Bonifacio,0.395,11,0.258,0.645,MIA,2200000,No
Eric Thames,0.531,25,0.233,0.672,SEA,485900,No
Nate Schierholtz,0.704,21,0.257,0.728,PHI,1300000,No
Martin Maldonado,0.482,30,0.266,0.729,MIL,480000,No
Hector Sanchez,0.457,34,0.28,0.685,SF,480000,No
Tony Gwynn Jr.,0.636,17,0.232,0.57,LAD,850000,No
Lorenzo Cain,0.377,31,0.266,0.734,KC,480850,No
Jonathan Herrera,0.531,12,0.262,0.668,COL,482000,No
Luis Valbuena,0.556,28,0.219,0.65,CHC,495200,No
Brett Wallace,0.407,24,0.253,0.746,HOU,480000,No
Josh Harrison,0.642,16,0.233,0.624,PIT,484000,No
Ryan Howard,0.438,56,0.219,0.718,PHI,20000000,No
Jose Molina,0.63,32,0.223,0.64,TB,1500000,Si
Michael McKenry,0.543,39,0.233,0.762,PIT,485000,No
Eric Young Jr.,0.605,15,0.316,0.825,COL,481000,No
Chris Iannetta,0.488,26,0.24,0.73,LAA,3633334,No
Ryan Sweeney,0.389,16,0.26,0.675,BOS,1750000,No
Troy Tulowitzki,0.29,27,0.287,0.846,COL,8275000,No
Chris Getz,0.395,17,0.275,0.672,KC,967500,No
Chris Carter,0.414,39,0.239,0.864,OAK,480000,No
Brayan Pena,0.42,25,0.236,0.583,KC,875000,No
Manny Machado,0.315,26,0.262,0.739,BAL,480000,No
John McDonald,0.432,22,0.249,0.681,ARI,1500000,No
Gerald Laird,0.389,11,0.282,0.71,DET,1000000,No
Andrelton Simmons,0.303,19,0.287,0.747,ATL,522000,No
Marwin Gonzalez,0.494,12,0.234,0.607,HOU,480000,No
Ramon Santiago,0.574,17,0.206,0.555,DET,2100000,Si
Mike Baxter,0.549,17,0.263,0.775,NYM,480000,No
Jeff Mathis,0.438,27,0.218,0.642,TOR,1500000,No
John Baker,0.389,14,0.238,0.59,SD,750000,No
Justin Turner,0.58,19,0.269,0.711,NYM,491209,No
Tony Campana,0.549,5,0.264,0.607,CHC,483000,No
Jordany Valdespin,0.58,26,0.241,0.71,NYM,480000,No
Jeff Baker,0.512,25,0.239,0.656,CHC,1375000,No
David Ross,0.383,23,0.256,0.77,ATL,1725000,No
Juan Francisco,0.574,32,0.234,0.71,ATL,480000,No
Welington Castillo,0.321,22,0.265,0.754,CHC,480000,No
Domonic Brown,0.346,26,0.235,0.712,PHI,480000,No
Chris Parmelee,0.395,19,0.229,0.665,MIN,480000,No
Ronny Cedeno,0.482,22,0.259,0.741,NYM,1150000,Si
Jayson Nix,0.457,18,0.243,0.69,NYY,900000,No
Johnny Giavotella,0.327,15,0.238,0.574,KC,483600,No
Freddy Galvis,0.358,24,0.226,0.617,PHI,480000,No
Starling Marte,0.29,17,0.258,0.737,PIT,480000,No
Shane Robinson,0.63,16,0.253,0.665,STL,480000,No
Derek Norris,0.37,34,0.201,0.625,OAK,480000,No
Travis Snider,0.37,17,0.25,0.697,PIT,480000,No
Darin Mastroianni,0.475,17,0.252,0.678,MIN,480000,No
Tyler Pastornicky,0.469,13,0.243,0.613,ATL,480000,No
Tyler Moore,0.463,29,0.263,0.84,WSH,480000,No
Steve Clevenger,0.426,16,0.201,0.537,CHC,480500,No
Franklin Gutierrez,0.247,17,0.26,0.729,SEA,5812500,No
Travis Ishikawa,0.58,30,0.257,0.757,MIL,525000,No
Jean Segura,0.278,14,0.258,0.64,MIL,480000,No
