Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Blake Swihart,LF,82,0.506,192,44,3,18,0.229,0.613,BOS,563500,No
Aaron Altherr,RF,105,0.648,243,44,8,38,0.181,0.628,PHI,561000,No
David Bote,2B,74,0.454,184,44,6,33,0.239,0.727,CHC,545000,No
Jose Reyes,3B,110,0.679,228,43,4,16,0.189,0.58,NYM,2000000,Si
Matt Joyce,RF,84,0.519,207,43,7,15,0.208,0.675,OAK,6000000,No
Dustin Fowler,CF,70,0.432,192,43,6,23,0.224,0.61,OAK,547500,No
John Ryan Murphy,C,87,0.537,208,42,9,24,0.202,0.619,ARI,558000,No
Jace Peterson,2B,96,0.593,210,42,3,28,0.2,0.634,BAL,545000,No
Jefry Marte,1B,90,0.556,194,42,7,22,0.217,0.644,LAA,559000,No
Victor Caratini,C,77,0.472,181,42,2,21,0.232,0.597,CHC,547500,No
Ryan McMahon,3B,91,0.558,181,42,5,19,0.232,0.683,COL,547000,No
Ronny Rodriguez,3B,62,0.383,191,42,5,20,0.22,0.591,DET,545000,No
Gregor Blanco,RF,68,0.42,189,41,2,12,0.217,0.58,SF,1000000,No
A.J. Ellis,C,66,0.407,151,41,1,15,0.272,0.722,SD,1250000,No
Curt Casali,C,52,0.321,140,41,4,16,0.293,0.805,CIN,545000,No
Austin Barnes,C,100,0.614,200,41,4,14,0.205,0.619,LAD,555000,No
Brian McCann,C,64,0.395,189,40,7,23,0.212,0.64,HOU,17000000,No
Miguel Cabrera,1B,38,0.235,134,40,3,22,0.299,0.843,DET,30000000,No
Greg Garcia,2B,114,0.704,181,40,3,15,0.221,0.613,STL,569600,No
Cedric Mullins,CF,45,0.278,170,40,4,11,0.235,0.671,BAL,545000,No
Jeff Mathis,C,69,0.426,195,39,1,20,0.2,0.544,ARI,2000000,No
Jarrod Dyson,RF,67,0.414,206,39,2,12,0.189,0.539,ARI,3750000,Si
Ryan O'Hearn,1B,45,0.278,149,39,12,30,0.262,0.95,KC,545000,No
Preston Tucker,RF,97,0.599,166,38,6,27,0.229,0.703,ATL,565000,No
Jesus Sucre,C,73,0.451,182,38,1,17,0.209,0.5,TB,925000,No
Brian Goodwin,CF,77,0.475,159,38,6,25,0.239,0.708,KC,553900,No
Yoenis Cespedes,CF,38,0.235,141,37,9,29,0.262,0.821,NYM,29000000,No
Andrew Knapp,C,84,0.519,187,37,4,15,0.198,0.61,PHI,548000,No
Mason Williams,CF,51,0.315,123,36,2,6,0.293,0.729,CIN,545000,No
Steven Duggar,CF,41,0.253,141,36,2,17,0.255,0.693,SF,545000,No
Chase Utley,2B,87,0.534,164,35,1,14,0.213,0.61,LAD,1000000,Si
Ryan Flaherty,3B,81,0.5,161,35,2,13,0.217,0.59,ATL,750000,Si
Roman Quinn,CF,50,0.309,131,34,2,12,0.26,0.729,PHI,545000,No
Noel Cuevas,RF,75,0.46,146,34,2,10,0.233,0.583,COL,545000,No
Willians Astudillo,C,30,0.185,93,33,3,21,0.355,0.887,MIN,545000,No
Franchy Cordero,OF,40,0.247,139,33,7,19,0.237,0.746,SD,546500,No
Tyler O'Neill,OF,62,0.383,130,33,9,23,0.254,0.803,STL,545000,No
Alex Avila,C,81,0.5,194,32,7,20,0.165,0.603,ARI,4000000,Si
Pedro Severino,C,70,0.432,190,32,2,15,0.168,0.501,WSH,545000,No
Dominic Smith,1B,56,0.346,143,32,5,11,0.224,0.675,NYM,545000,No
Drew Butera,C,62,0.38,163,31,3,21,0.19,0.564,COL,2300000,No
Bryan Holaday,C,61,0.379,151,31,1,16,0.205,0.519,MIA,1000000,No
Tony Wolters,C,74,0.454,182,31,3,27,0.17,0.577,COL,550000,No
Tyler Saladino,SS,58,0.356,126,31,5,16,0.246,0.696,MIL,565000,No
Jose Miguel Fernandez,2B,36,0.222,116,31,2,11,0.267,0.697,LAA,545000,No
Alex Blandino,SS,69,0.426,128,30,1,8,0.234,0.613,CIN,545000,No
Brandon Lowe,2B,43,0.265,129,30,6,25,0.233,0.774,TB,545000,No
Billy McKinney,OF,38,0.235,119,30,6,13,0.252,0.78,TOR,545000,No
Jose Briceno,C,48,0.22,122,30,5,12,0.246,0.694,LAA,545000,No
Kelby Tomlinson,2B,63,0.389,140,29,0,10,0.207,0.529,SF,560000,No
Spencer Kieboom,C,52,0.321,125,29,2,13,0.232,0.642,WSH,545000,No
Chance Sisco,C,64,0.395,160,29,2,16,0.181,0.557,BAL,546500,No
Richard Urena,SS,40,0.247,99,29,1,6,0.293,0.703,TOR,545000,No
Ronald Torreyes,2B,45,0.278,100,28,0,7,0.28,0.664,NYY,615500,No
Magneuris Sierra,OF,54,0.335,147,28,0,7,0.191,0.433,MIA,545000,No
Austin Wynns,C,42,0.259,110,28,4,11,0.255,0.669,BAL,545000,No
Francisco Pena,C,58,0.358,133,27,2,8,0.203,0.51,STL,650000,No
Ryan Rua,RF,62,0.383,139,27,6,12,0.194,0.58,TEX,870000,No
Corey Seager,SS,26,0.16,101,27,2,13,0.267,0.744,LAD,605000,No
Carlos Tocci,LF,66,0.407,120,27,0,5,0.225,0.555,TEX,545000,No
Andrew Romine,SS,75,0.463,119,25,0,2,0.21,0.504,SEA,1050000,No
Brett Phillips,RF,51,0.315,134,25,2,11,0.187,0.558,KC,545000,No
J.P. Crawford,SS,49,0.303,117,25,3,12,0.214,0.712,PHI,545500,No
Austin Dean,LF,35,0.217,113,25,4,14,0.221,0.642,MIA,545000,No
Bobby Wilson,C,47,0.29,135,24,2,16,0.178,0.523,CHC,545000,No
Yadiel Rivera,2B,111,0.689,139,24,1,9,0.173,0.485,MIA,545000,No
Taylor Ward,C,40,0.247,135,24,6,15,0.178,0.578,LAA,545000,No
Jose Osuna,1B,51,0.317,106,24,3,11,0.226,0.648,PIT,545000,No
Jose Rondon,SS,42,0.259,100,23,6,14,0.23,0.75,CHW,545000,No
Eric Young Jr.,CF,41,0.253,109,22,1,8,0.202,0.551,LAA,545000,No
Willie Calhoun,LF,35,0.216,99,22,2,11,0.222,0.602,TEX,545000,No
Rowdy Tellez,1B,23,0.142,70,22,4,14,0.314,0.943,TOR,545000,No
Tom Murphy,C,38,0.233,93,21,2,11,0.226,0.637,COL,545000,No
Francisco Arcia,C,41,0.253,103,21,6,23,0.204,0.654,LAA,545000,No
Grayson Greiner,C,30,0.185,96,21,0,12,0.219,0.609,DET,545000,No
Brandon Dixon,2B,74,0.457,118,21,5,10,0.178,0.574,CIN,545000,No
Michael Perez,C,24,0.148,74,21,1,11,0.284,0.696,TB,545000,No
Chase d'Arnaud,3B,42,0.259,93,20,3,9,0.215,0.618,SF,545000,No
Juan Lagares,CF,30,0.185,59,20,0,6,0.339,0.765,NYM,6500000,No
Cheslor Cuthbert,3B,30,0.185,103,20,3,7,0.194,0.583,KC,573500,No
Rene Rivera,C,33,0.204,86,20,4,11,0.233,0.693,ATL,2800000,Si
Aramis Garcia,C,20,0.067,67,20,4,11,0.299,0.811,SF,545000,No
Alex Verdugo,OF,37,0.227,77,20,1,4,0.26,0.706,LAD,545000,No
Drew Robinson,LF,48,0.296,109,20,3,9,0.184,0.582,TEX,547990,No
David Freitas,C,36,0.222,93,20,1,5,0.215,0.589,SEA,545000,No
Dawel Lugo,SS,27,0.167,94,20,1,8,0.213,0.576,DET,545000,No
Danny Jansen,C,31,0.191,81,20,3,8,0.247,0.779,TOR,545000,No
Chris Young,RF,59,0.364,113,19,6,13,0.168,0.615,LAA,2000000,Si
Josh Phegley,C,40,0.247,93,19,2,15,0.204,0.599,OAK,905000,No
Kevin Newman,SS,31,0.193,91,19,0,6,0.209,0.478,PIT,545000,No
Andrew Stevenson,OF,57,0.352,75,19,1,13,0.253,0.626,WSH,545000,No
Pat Valaika,SS,69,0.423,122,19,2,5,0.156,0.46,COL,550000,No
Chris Herrmann,C,36,0.222,76,18,2,7,0.237,0.743,SEA,537992,No
Peter O'Brien,LF,22,0.137,66,18,4,10,0.273,0.868,MIA,545000,No
German Marquez,SP,33,0.203,60,18,1,5,0.3,0.65,COL,550000,No
Dan Vogelbach,1B,37,0.228,87,18,4,13,0.207,0.691,SEA,545700,No
J.D. Davis,3B,42,0.259,103,18,1,5,0.175,0.471,HOU,550100,No
Max Scherzer,SP,35,0.216,70,17,0,6,0.243,0.545,WSH,22242857,No
Franklin Barreto,SS,32,0.198,73,17,5,16,0.233,0.746,OAK,545000,No
Victor Robles,OF,21,0.13,59,17,3,10,0.288,0.874,WSH,545000,No
Jordan Luplow,RF,37,0.23,92,17,3,7,0.185,0.631,PIT,545000,No
Pablo Reyes,LF,18,0.112,58,17,3,7,0.293,0.832,PIT,545000,No
Pedro Florimon,SS,50,0.309,71,16,2,5,0.225,0.699,PHI,600000,No
Dilson Herrera,2B,53,0.327,87,16,5,11,0.184,0.682,CIN,545000,No
Christin Stewart,OF,17,0.105,60,16,2,10,0.267,0.792,DET,545000,No
Kyle Farmer,C,39,0.239,68,16,0,9,0.235,0.635,LAD,547500,No
Tzu-Wei Lin,SS,37,0.228,65,16,1,6,0.246,0.744,BOS,545000,No
Adrian Sanchez,2B,28,0.173,58,16,0,3,0.276,0.633,WSH,545000,No
Matt Holliday,OF,25,0.153,53,15,2,3,0.283,0.849,COL,545000,No
Zack Greinke,SP,34,0.21,64,15,0,5,0.234,0.566,ARI,34000000,No
Pete Kozma,SS,27,0.167,69,15,1,8,0.217,0.584,DET,545000,No
Kaleb Cowart,3B,47,0.29,112,15,1,10,0.134,0.451,LAA,545000,No
Breyvic Valera,2B,33,0.204,64,15,0,8,0.234,0.567,BAL,545000,No
Keon Broxton,RF,51,0.313,78,14,4,11,0.18,0.691,MIL,545000,No
Tomas Nido,C,34,0.21,84,14,1,9,0.167,0.438,NYM,545000,No
John Andreoli,OF,26,0.161,61,14,0,4,0.23,0.546,BAL,545000,No
Brandon Drury,2B,26,0.161,77,13,1,10,0.169,0.516,TOR,621900,No
Cameron Gallagher,C,22,0.136,63,13,1,7,0.206,0.552,KC,545000,No
Isaac Galloway,RF,43,0.267,64,13,3,7,0.203,0.692,MIA,545000,No
Patrick Wisdom,3B,32,0.198,50,13,4,10,0.26,0.882,STL,545000,No
Chris Gimenez,C,25,0.154,57,12,2,7,0.211,0.621,MIN,545000,No
Patrick Corbin,SP,33,0.204,61,12,0,5,0.197,0.435,ARI,7500000,No
Kyle Higashioka,C,29,0.179,72,12,3,6,0.167,0.56,NYY,545000,No
Michael Hermosillo,OF,31,0.191,57,12,1,1,0.211,0.608,LAA,545000,No
Clayton Kershaw,SP,27,0.166,46,11,0,7,0.239,0.622,LAD,35571428,No
Zack Wheeler,SP,29,0.179,56,11,0,4,0.196,0.425,NYM,1900000,No
Tanner Roark,SP,31,0.191,58,11,0,8,0.19,0.475,WSH,6475000,No
Jacob deGrom,SP,34,0.21,67,11,0,5,0.164,0.39,NYM,7400000,No
Garrett Hampson,SS,24,0.147,40,11,0,4,0.275,0.796,COL,545000,No
Tyler Wade,1B,36,0.222,66,11,1,5,0.167,0.487,NYY,551300,No
Carlos Perez,C,28,0.173,70,10,1,3,0.143,0.392,TEX,545000,No
D.J. Stewart,OF,17,0.105,40,10,3,10,0.25,0.89,BAL,545000,No
Chris Shaw,1B,22,0.136,54,10,1,7,0.185,0.552,SF,545000,No
Francisco Mejia,C,21,0.13,56,10,3,8,0.179,0.633,SD,545000,No
Luis Urias,2B,12,0.074,48,10,2,5,0.208,0.618,SD,545000,No
Jhoulys Chacin,SP,36,0.221,56,9,0,1,0.161,0.382,MIL,8750000,Si
Jason Castro,C,19,0.117,63,9,1,3,0.143,0.495,MIN,8000000,No
Miles Mikolas,SP,34,0.21,63,9,2,6,0.143,0.421,STL,7750000,No
Michael Lorenzen,RP,55,0.34,31,9,4,10,0.29,1.043,CIN,1312500,No
Vincent Velasquez,SP,32,0.198,40,9,0,1,0.225,0.475,PHI,559000,No
Kyle Tucker,RF,28,0.173,64,9,0,4,0.141,0.439,HOU,545000,No
Reese McGuire,C,14,0.086,31,9,2,4,0.29,0.914,TOR,545000,No
Clint Frazier,OF,15,0.093,34,9,0,1,0.265,0.743,NYY,559200,No
Carlos Martinez,SP,34,0.21,33,8,1,4,0.242,0.629,STL,11700000,No
Gordon Beckham,2B,22,0.136,44,8,0,1,0.182,0.455,SEA,545000,No
Tyson Ross,SP,34,0.21,41,8,1,4,0.195,0.478,STL,2700000,No
Christian Walker,1B,37,0.228,49,8,3,6,0.163,0.614,ARI,545000,No
Sam Travis,1B,19,0.117,36,8,1,7,0.222,0.652,BOS,545000,No
Jacob Stallings,C,14,0.087,37,8,0,5,0.216,0.485,PIT,545000,No
Chad Wallach,C,15,0.093,45,8,1,5,0.178,0.541,MIA,545000,No
Steve Wilkerson,3B,16,0.099,46,8,0,3,0.174,0.464,BAL,545000,No
Jon Lester,SP,34,0.209,59,7,1,9,0.119,0.288,CHC,27500000,No
Madison Bumgarner,SP,22,0.136,44,7,0,4,0.159,0.378,SF,12000000,No
Jose Lobaton,C,22,0.136,49,7,0,4,0.143,0.47,NYM,1250000,No
Julio Teheran,SP,31,0.191,40,7,1,4,0.175,0.44,ATL,8166666,No
Kris Negron,RF,20,0.124,32,7,1,4,0.219,0.555,SEA,545000,No
Hyun-Jin Ryu,SP,16,0.098,26,7,0,2,0.269,0.629,LAD,7833333,No
Socrates Brito,LF,24,0.148,40,7,1,3,0.175,0.477,ARI,545000,No
Walker Buehler,RP,24,0.147,43,7,0,1,0.163,0.363,LAD,545000,No
Jack Flaherty,SP,31,0.191,46,7,0,0,0.152,0.34,STL,545000,No
Nick Ciuffo,C,16,0.099,37,7,1,5,0.189,0.559,TB,545000,No
Andrew Toles,CF,17,0.104,30,7,0,4,0.233,0.581,LAD,555000,No
Garrett Cooper,1B,14,0.087,33,7,0,2,0.212,0.558,MIA,545000,No
Meibrys Viloria,C,10,0.062,27,7,0,4,0.259,0.619,KC,545000,No
Colby Rasmus,LF,18,0.111,45,6,1,1,0.133,0.426,BAL,3000000,No
Jake Arrieta,SP,31,0.191,45,6,1,3,0.133,0.388,PHI,30000000,Si
Wei-Yin Chen,SP,27,0.168,40,6,0,2,0.15,0.325,MIA,10000000,No
Lane Adams,RF,26,0.161,25,6,2,6,0.24,0.865,ATL,545000,No
Anthony DeSclafani,SP,21,0.13,42,6,1,4,0.143,0.357,CIN,860000,No
Noah Syndergaard,SP,25,0.154,47,6,0,3,0.128,0.313,NYM,2975000,No
Kyle Freeland,SP,33,0.203,65,6,0,2,0.092,0.242,COL,550000,No
Luke Weaver,SP,35,0.216,38,6,0,2,0.158,0.337,STL,550800,No
Chris Stratton,SP,28,0.173,43,6,0,5,0.14,0.299,SF,552500,No
Brent Suter,SP,21,0.129,26,6,1,3,0.231,0.778,MIL,556500,No
Dylan Cozens,OF,26,0.161,38,6,1,2,0.158,0.562,PHI,545000,No
Luis Castillo,SP,31,0.191,59,6,0,2,0.102,0.25,CIN,555000,No
Stephen Strasburg,SP,22,0.136,41,5,0,1,0.122,0.285,WSH,18333333,No
Wade Miley,SP,16,0.098,27,5,0,0,0.185,0.399,MIL,2500000,No
Dan Straily,SP,26,0.162,31,5,0,1,0.161,0.544,MIA,3375000,No
Robbie Erlin,RP,40,0.247,23,5,0,0,0.217,0.467,SD,650000,No
Steven Matz,SP,30,0.185,46,5,2,4,0.109,0.424,NYM,577000,No
Tyler Anderson,SP,33,0.203,50,5,0,1,0.1,0.267,COL,555000,No
Hanser Alberto,SS,13,0.08,27,5,0,0,0.185,0.501,TEX,545000,No
Kevin Kramer,SS,21,0.13,37,5,0,4,0.135,0.31,PIT,545000,No
Raimel Tapia,LF,25,0.153,25,5,1,6,0.2,0.739,COL,545000,No
Joe Musgrove,SP,20,0.124,31,5,0,0,0.161,0.355,PIT,571000,No
Trevor Williams,SP,31,0.193,43,5,0,0,0.116,0.272,PIT,569500,No
Jack Reinheimer,SS,21,0.13,30,5,0,0,0.167,0.452,NYM,545000,No
Jonathan Davis,CF,20,0.124,25,5,0,0,0.2,0.499,TOR,545000,No
Rich Hill,SP,25,0.153,43,4,0,2,0.093,0.186,LAD,16666666,No
Clayton Richard,SP,28,0.173,42,4,1,3,0.095,0.346,SD,3500000,No
Jason Vargas,SP,21,0.13,27,4,0,0,0.148,0.327,NYM,6000000,Si
Gio Gonzalez,SP,32,0.196,51,4,0,1,0.078,0.194,WSH,12000000,No
