Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Rio Ruiz,3B,14,0.086,12,1,0,0,0.083,0.35,ATL,555000,No
Max Fried,RP,14,0.086,8,1,0,0,0.125,0.25,ATL,545000,No
Taylor Williams,RP,56,0.344,4,1,0,0,0.25,0.5,MIL,545000,No
Josh Hader,RP/CL,55,0.337,2,1,0,0,0.5,1.0,MIL,556500,No
Sam Gaviglio,SP,26,0.161,3,1,0,0,0.333,1.0,TOR,545000,No
Ranger Suarez,RP,4,0.025,6,1,0,0,0.167,0.667,PHI,545000,No
Freddy Peralta,SP,16,0.098,26,1,0,1,0.039,0.077,MIL,545000,No
Dennis Santana,P,3,0.018,2,1,0,2,0.5,1.5,LAD,545000,No
Heath Fillmyer,RP,17,0.105,4,1,0,1,0.25,0.75,KC,545000,No
Brad Keller,SP,41,0.253,3,1,0,0,0.333,0.667,KC,545000,No
Mitchell Walding,3B,13,0.08,17,1,1,2,0.059,0.393,PHI,545000,No
Caleb Ferguson,RP,30,0.184,5,1,0,0,0.2,0.4,LAD,545000,No
Daniel Poncedeleon,RP,12,0.074,9,1,0,1,0.111,0.444,STL,545000,No
Chad Sobotka,RP,14,0.086,1,1,0,0,1.0,2.0,ATL,545000,No
Jeff Brigham,SP,4,0.025,3,1,0,0,0.333,0.667,MIA,545000,No
Beau Taylor,C,7,0.043,5,1,0,0,0.2,0.733,OAK,545000,No
Jorge De La Rosa,RP,61,0.374,1,0,0,0,0.0,0.5,CHC,545000,No
Yovani Gallardo,SP,21,0.13,1,0,0,0,0.0,0.0,TEX,2300000,Si
David Wright,3B,2,0.012,2,0,0,0,0.0,0.333,NYM,20000000,No
Zach Duke,RP,72,0.444,1,0,0,0,0.0,0.0,SEA,3650000,No
Felix Hernandez,SP,29,0.179,4,0,0,0,0.0,0.0,SEA,26857142,No
Jason Hammel,RP,40,0.247,3,0,0,0,0.0,0.0,KC,9000000,No
Edwin Jackson,SP,17,0.105,2,0,0,0,0.0,0.0,OAK,1500000,No
Bartolo Colon,SP,29,0.179,4,0,0,0,0.0,0.0,TEX,2450000,No
Johnny Cueto,SP,9,0.056,12,0,0,0,0.0,0.0,SF,21000000,No
Francisco Liriano,SP,27,0.167,1,0,0,0,0.0,0.0,DET,4000000,Si
Jesse Chavez,RP,63,0.387,1,0,0,0,0.0,0.0,CHC,1500000,Si
Sergio Romo,RP,73,0.451,1,0,0,0,0.0,0.0,TB,2500000,Si
Brandon Morrow,RP,35,0.215,1,0,0,0,0.0,0.0,CHC,9000000,Si
Shawn Kelley,RP,54,0.333,1,0,0,0,0.0,0.0,OAK,5600000,No
Jaime Garcia,RP,33,0.203,4,0,0,0,0.0,0.0,CHC,545000,Si
Jarrod Saltalamacchia,C,5,0.031,7,0,0,0,0.0,0.125,DET,650000,No
Jordan Zimmermann,SP,25,0.154,2,0,0,0,0.0,0.0,DET,24000000,No
David Hernandez,RP,57,0.352,1,0,0,0,0.0,0.0,CIN,2800000,Si
Daniel Hudson,RP,40,0.245,2,0,0,0,0.0,0.0,LAD,545000,No
Andrew Cashner,SP,30,0.185,3,0,0,0,0.0,0.0,BAL,9500000,Si
Chris Sale,SP,27,0.167,2,0,0,0,0.0,0.0,BOS,12515000,No
Mike Leake,SP,32,0.198,4,0,0,0,0.0,0.0,SEA,17000000,No
Brandon Kintzler,RP,70,0.429,1,0,0,0,0.0,0.0,CHC,5000000,Si
Brian Duensing,RP,49,0.301,1,0,0,0,0.0,0.5,CHC,3500000,Si
Tommy Hunter,RP,65,0.401,1,0,0,0,0.0,0.0,PHI,9000000,Si
Pedro Strop,RP,61,0.374,2,0,0,0,0.0,0.0,CHC,5850000,No
Dellin Betances,RP,66,0.407,1,0,0,0,0.0,0.0,NYY,5100000,No
Hector Santiago,RP,49,0.303,4,0,0,0,0.0,0.0,CHW,2000000,No
Danny Duffy,SP,28,0.173,2,0,0,0,0.0,0.0,KC,14000000,No
Brad Peacock,RP,61,0.377,1,0,0,0,0.0,0.0,HOU,2440000,No
Martin Perez,SP,22,0.136,3,0,0,0,0.0,0.0,TEX,6000000,No
Jordan Lyles,SP,37,0.227,15,0,0,1,0.0,0.167,MIL,750000,Si
Marco Estrada,SP,28,0.173,1,0,0,0,0.0,0.0,TOR,13000000,No
Lance Lynn,SP,31,0.191,4,0,0,0,0.0,0.0,NYY,12000000,Si
Erasmo Ramirez,SP,10,0.062,3,0,0,0,0.0,0.0,SEA,4200000,No
Luis Avilan,RP,71,0.438,1,0,0,0,0.0,0.0,PHI,2450000,No
Sam Freeman,RP,63,0.389,1,0,0,0,0.0,0.0,ATL,1075000,No
Shelby Miller,RP,5,0.031,3,0,0,1,0.0,0.2,ARI,4900000,No
Casey Kelly,SP,7,0.043,4,0,0,0,0.0,0.0,SF,545000,No
Justin Wilson,RP,71,0.436,1,0,0,0,0.0,0.0,CHC,4250000,No
Jake Odorizzi,SP,33,0.204,6,0,0,0,0.0,0.0,MIN,6300000,No
Dallas Keuchel,SP,34,0.21,2,0,0,0,0.0,0.0,HOU,13200000,No
Justin Miller,RP,51,0.315,1,0,0,0,0.0,0.0,WSH,545000,No
T.J. McFarland,RP,47,0.29,7,0,0,0,0.0,0.0,ARI,850000,No
Hansel Robles,RP,53,0.327,1,0,0,0,0.0,0.0,LAA,900000,No
Matt Magill,RP/CL,40,0.247,1,0,0,0,0.0,0.0,MIN,545000,No
Nick Franklin,LF,1,0.006,2,0,0,0,0.0,0.0,MIL,545000,No
Gerrit Cole,SP,32,0.198,9,0,0,0,0.0,0.0,HOU,6750000,No
Masahiro Tanaka,SP,27,0.167,6,0,0,0,0.0,0.0,NYY,22000000,No
Eduardo Rodriguez,SP,27,0.167,2,0,0,0,0.0,0.0,BOS,2375000,No
Mike Wright,RP,48,0.296,1,0,0,0,0.0,0.0,BAL,553500,No
Jake Petricka,RP,41,0.253,1,0,0,0,0.0,0.0,TOR,1300000,No
Robert Stephenson,SP,4,0.025,2,0,0,0,0.0,0.333,CIN,555000,No
Eddie Butler,RP,30,0.185,2,0,0,0,0.0,0.333,TEX,570750,No
Drew VerHagen,RP,41,0.253,1,0,0,0,0.0,0.0,DET,551400,No
Scott Alexander,RP,73,0.448,5,0,0,0,0.0,0.0,LAD,550000,No
Sonny Gray,SP,30,0.185,2,0,0,0,0.0,0.0,NYY,6500000,No
Taijuan Walker,SP,3,0.019,4,0,0,0,0.0,0.0,ARI,4825000,No
Raisel Iglesias,RP/CL,66,0.407,3,0,0,0,0.0,0.0,CIN,5214285,No
Heath Hembree,RP,67,0.414,1,0,0,0,0.0,0.0,BOS,581500,No
Pedro Baez,RP,55,0.337,4,0,0,0,0.0,0.0,LAD,1500000,No
Kirby Yates,RP,65,0.401,2,0,0,0,0.0,0.0,SD,1062500,No
Aaron Sanchez,SP,20,0.124,1,0,0,0,0.0,0.0,TOR,2700000,No
Shane Carle,RP,53,0.327,4,0,0,0,0.0,0.0,ATL,555000,No
Matt Andriese,RP,41,0.253,1,0,0,0,0.0,0.0,ARI,558400,No
Felipe Vazquez,RP,70,0.435,1,0,0,0,0.0,0.0,PIT,3000000,No
Chasen Shreve,RP,60,0.37,1,0,0,0,0.0,0.0,STL,825000,No
Brian Flynn,RP,48,0.296,1,0,0,0,0.0,0.0,KC,573500,No
Drew Rucinski,RP,32,0.199,4,0,0,0,0.0,0.0,MIA,545000,No
Daniel Winkler,RP,69,0.426,1,0,0,0,0.0,0.0,ATL,610000,No
Frankie Montas,SP,13,0.08,5,0,0,0,0.0,0.0,OAK,545000,No
Amir Garrett,RP,66,0.407,2,0,0,0,0.0,0.0,CIN,545000,No
Michael Feliz,RP,47,0.292,2,0,0,0,0.0,0.0,PIT,575500,No
Domingo German,SP,21,0.13,1,0,0,0,0.0,0.5,NYY,548225,No
Hector Neris,RP,53,0.327,1,0,0,0,0.0,0.0,PHI,582500,No
Jerad Eickhoff,SP,3,0.019,1,0,0,0,0.0,0.0,PHI,568000,No
Luke Jackson,RP,35,0.216,1,0,0,0,0.0,0.5,ATL,545000,No
Daniel Norris,SP,11,0.068,2,0,0,0,0.0,0.0,DET,561400,No
Lance McCullers,SP,25,0.154,2,0,0,0,0.0,0.0,HOU,2450000,No
Joe Ross,SP,3,0.019,5,0,0,0,0.0,0.0,WSH,567900,No
Matt Wisler,RP,18,0.111,8,0,0,0,0.0,0.0,CIN,545000,No
Sean Reid-Foley,SP,7,0.043,3,0,0,0,0.0,0.0,TOR,545000,No
Cody Reed,RP,17,0.105,11,0,0,0,0.0,0.083,CIN,545000,No
Spencer Turnbull,SP,4,0.025,2,0,0,0,0.0,0.0,DET,545000,No
Jacob Nix,SP,9,0.056,15,0,0,0,0.0,0.0,SD,545000,No
Matt Boyd,SP,31,0.191,2,0,0,0,0.0,0.0,DET,562000,No
Luis Severino,SP,32,0.198,5,0,0,0,0.0,0.0,NYY,604975,No
Marco Gonzales,SP,29,0.179,2,0,0,0,0.0,0.0,SEA,550300,No
Rocky Gale,C,3,0.018,2,0,0,0,0.0,0.0,LAD,545000,No
Luis Cessa,RP,16,0.099,1,0,0,0,0.0,0.0,NYY,568925,No
Michael Fulmer,SP,24,0.148,6,0,0,0,0.0,0.0,DET,575200,No
Adalberto Mejia,SP,5,0.031,1,0,0,0,0.0,0.0,MIN,545000,No
Tyler Glasnow,RP,45,0.278,3,0,0,0,0.0,0.0,TB,556500,No
Blake Snell,SP,31,0.191,1,0,0,0,0.0,0.667,TB,558200,No
Yohander Mendez,RP,8,0.049,2,0,0,0,0.0,0.0,TEX,545000,No
Pierce Johnson,RP,37,0.228,1,0,0,0,0.0,0.0,SF,545000,No
Matthew Strahm,RP,42,0.259,8,0,0,0,0.0,0.0,SD,552700,No
Jarlin Garcia,RP,29,0.18,9,0,0,0,0.0,0.1,MIA,555000,No
Robert Gsellman,RP,69,0.426,3,0,0,0,0.0,0.25,NYM,562375,No
J.T. Chargois,RP,39,0.239,1,0,0,0,0.0,0.0,LAD,550000,No
Jose Berrios,SP,32,0.198,4,0,0,0,0.0,0.0,MIN,570000,No
Julio Urias,RP,3,0.018,1,0,0,0,0.0,0.0,LAD,550000,No
Bryse Wilson,SP,3,0.019,2,0,0,0,0.0,0.0,ATL,545000,No
