Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Nelson Cruz,0.883,33,0.303,0.992,MIN,12000000,No
Mike Trout,0.883,46,0.281,0.993,LAA,37766667,No
Kyle Tucker,0.967,42,0.268,0.837,HOU,568700,No
Adalberto Mondesi,0.983,22,0.256,0.71,KC,604500,No
Nick Solak,0.967,23,0.268,0.671,TEX,565500,No
Dominic Smith,0.833,42,0.316,0.993,NYM,578826,No
Victor Reyes,0.983,14,0.277,0.706,DET,573900,No
Andrew McCutchen,0.95,34,0.254,0.757,PHI,17000000,No
Tommy La Stella,0.917,25,0.281,0.819,OAK,3250000,No
Jeimer Candelario,0.897,29,0.297,0.872,DET,583300,No
Cavan Biggio,0.983,28,0.25,0.807,TOR,576600,No
Teoscar Hernandez,0.833,34,0.29,0.919,TOR,602200,No
Robinson Cano,0.817,30,0.316,0.896,NYM,24000000,No
A.J. Pollock,0.917,34,0.276,0.881,LAD,15000000,No
Anthony Rendon,0.867,31,0.286,0.915,LAA,26071428,No
Jackie Bradley Jr.,0.917,22,0.283,0.814,BOS,11000000,No
Jorge Polanco,0.917,19,0.258,0.658,MIN,3833333,No
Eddie Rosario,0.95,42,0.257,0.792,MIN,7750000,No
Kyle Lewis,0.967,28,0.262,0.801,SEA,565000,No
Juan Soto,0.783,37,0.351,1.185,WSH,629400,No
Alec Bohm,0.733,23,0.338,0.881,PHI,563500,No
Trent Grisham,0.983,26,0.251,0.808,SD,566800,No
Jose Iglesias,0.65,24,0.373,0.956,BAL,2500000,Si
Wilmer Flores,0.917,32,0.268,0.83,SF,3000000,Si
Travis d'Arnaud,0.733,34,0.321,0.919,ATL,8000000,Si
Nick Ahmed,0.95,29,0.266,0.729,ARI,6375000,No
Carlos Correa,0.967,25,0.264,0.709,HOU,8000000,No
Jesus Aguilar,0.85,34,0.277,0.809,MIA,2575000,No
Ketel Marte,0.75,17,0.287,0.732,ARI,4000000,No
Brandon Lowe,0.933,37,0.269,0.916,TB,1500000,No
Brandon Nimmo,0.917,18,0.28,0.888,NYM,2175000,No
J.P. Crawford,0.883,24,0.255,0.674,SEA,575800,No
Miguel Cabrera,0.983,35,0.25,0.746,DET,30000000,No
Michael Brantley,0.767,22,0.3,0.84,HOU,16000000,No
Bryce Harper,0.967,33,0.268,0.962,PHI,27538462,No
Jean Segura,0.9,25,0.266,0.769,PHI,14850000,No
Ian Happ,0.95,28,0.258,0.866,CHC,624000,No
Tommy Edman,0.948,26,0.25,0.685,STL,581800,No
Cody Bellinger,0.933,30,0.239,0.789,LAD,11500000,No
Brian Anderson,0.983,38,0.255,0.81,MIA,615000,No
Salvador Perez,0.617,32,0.333,0.986,KC,14200000,No
Jurickson Profar,0.933,25,0.278,0.771,SD,5700000,No
Corey Dickerson,0.867,17,0.258,0.713,MIA,8000000,Si
George Springer,0.85,32,0.265,0.899,HOU,21000000,No
Chris Taylor,0.933,32,0.27,0.842,LAD,5600000,No
Renato Nunez,0.867,31,0.256,0.816,BAL,578000,No
Evan Longoria,0.883,28,0.254,0.722,SF,15000000,No
Kyle Seager,1.0,40,0.241,0.788,SEA,19500000,No
Christian Vazquez,0.783,23,0.283,0.801,BOS,4200000,No
Nick Castellanos,1.0,34,0.225,0.784,CIN,16000000,Si
Yulieski Gurriel,0.95,22,0.232,0.658,HOU,8700000,No
Jake Cronenworth,0.9,20,0.285,0.831,SD,563500,No
Joe Wendle,0.833,17,0.286,0.777,TB,575600,No
Kolten Wong,0.914,16,0.265,0.675,STL,10250000,No
Willy Adames,0.9,23,0.26,0.813,TB,579500,No
Adam Frazier,0.967,23,0.23,0.661,PIT,2800000,No
Pete Alonso,0.95,35,0.231,0.817,NYM,652521,No
Marcus Semien,0.883,23,0.223,0.679,OAK,13000000,No
Mark Canha,0.983,33,0.246,0.795,OAK,4800000,No
Luis Robert,0.933,31,0.233,0.738,CHW,1500000,No
J.D. Davis,0.933,19,0.247,0.761,NYM,592463,No
Asdrubal Cabrera,0.867,31,0.242,0.753,WSH,2685000,Si
Josh Reddick,0.933,23,0.245,0.693,HOU,13000000,No
Brandon Belt,0.85,30,0.309,1.015,SF,17200000,No
Justin Turner,0.7,23,0.307,0.86,LAD,20000000,No
Nolan Arenado,0.8,26,0.253,0.738,COL,35025000,No
J.T. Realmuto,0.783,32,0.266,0.84,PHI,10000000,No
Willson Contreras,0.95,26,0.243,0.763,CHC,4500000,No
Keston Hiura,0.983,32,0.212,0.707,MIL,582100,No
Anthony Rizzo,0.967,24,0.222,0.755,CHC,16500000,No
J.D. Martinez,0.9,27,0.213,0.68,BOS,23750000,No
Jonathan Schoop,0.759,23,0.278,0.799,DET,6100000,Si
Javier Baez,0.983,24,0.203,0.599,CHC,10000000,No
Adam Duvall,0.95,33,0.237,0.833,ATL,3250000,No
Yoan Moncada,0.867,24,0.225,0.705,CHW,1800000,No
Giovanny Urshela,0.717,30,0.298,0.86,NYY,2475000,No
Alex Dickerson,0.867,27,0.298,0.947,SF,925000,No
Orlando Arcia,0.983,20,0.26,0.734,MIL,2200000,No
Austin Riley,0.85,27,0.239,0.716,ATL,568500,No
Willi Castro,0.621,24,0.349,0.932,DET,563500,No
Brandon Crawford,0.9,28,0.256,0.792,SF,15200000,No
Josh Bell,0.95,22,0.226,0.669,PIT,4800000,No
Colin Moran,0.867,23,0.247,0.797,PIT,593500,No
Austin Nola,0.8,28,0.273,0.825,SD,570800,No
Eduardo Escobar,0.9,20,0.212,0.605,ARI,7166666,No
Kole Calhoun,0.9,40,0.226,0.864,ARI,6000000,Si
Avisail Garcia,0.883,15,0.238,0.659,MIL,7250000,Si
Jonathan Villar,0.867,15,0.232,0.593,TOR,8200000,No
Mauricio Dubon,0.9,19,0.274,0.726,SF,566625,No
Ty France,0.717,23,0.305,0.836,SEA,567100,No
Joey Votto,0.9,22,0.226,0.8,CIN,25000000,No
Jose Altuve,0.8,18,0.219,0.629,HOU,29000000,No
Ryan Mountcastle,0.583,23,0.333,0.878,BAL,563500,No
Eric Hosmer,0.667,36,0.287,0.851,SD,21000000,No
Erik Gonzalez,0.833,20,0.227,0.614,PIT,725000,No
Christian Yelich,0.967,22,0.205,0.786,MIL,12500000,No
Matt Olson,1.0,42,0.195,0.734,OAK,603500,No
Rio Ruiz,0.9,32,0.222,0.713,BAL,573000,No
Robbie Grossman,0.85,23,0.241,0.826,OAK,3725000,No
Eugenio Suarez,0.95,38,0.202,0.781,CIN,9535714,No
Pedro Severino,0.8,21,0.25,0.71,BAL,576000,No
Anthony Santander,0.617,32,0.261,0.89,BAL,572500,No
Ronald Acuna Jr.,0.767,29,0.25,0.987,ATL,1000000,No
Jason Heyward,0.833,22,0.265,0.848,CHC,23500000,No
Travis Shaw,0.833,17,0.239,0.717,TOR,4158000,Si
Max Kepler,0.8,23,0.228,0.76,MIN,6250000,No
Max Muncy,0.967,27,0.192,0.72,LAD,2500000,No
Manuel Margot,0.783,11,0.269,0.679,TB,2475000,No
Garrett Hampson,0.883,11,0.234,0.671,COL,568500,No
Pat Valaika,0.867,16,0.277,0.791,BAL,563500,No
Ramon Laureano,0.9,25,0.213,0.704,OAK,568500,No
Yadier Molina,0.724,16,0.262,0.662,STL,20000000,No
Aaron Hicks,0.9,21,0.225,0.793,NYY,10785714,No
Miguel Rojas,0.667,20,0.304,0.888,MIA,4750000,No
Miguel Sano,0.883,25,0.204,0.757,MIN,7000000,No
Paul DeJong,0.776,25,0.25,0.671,STL,1666666,No
Jesse Winker,0.9,23,0.255,0.932,CIN,605000,No
Cedric Mullins,0.8,12,0.271,0.723,BAL,563500,No
Shogo Akiyama,0.9,9,0.245,0.654,CIN,6000000,No
Todd Frazier,0.75,12,0.236,0.684,NYM,3500000,Si
Yasmani Grandal,0.767,27,0.23,0.773,CHW,18250000,Si
Marwin Gonzalez,0.883,22,0.211,0.606,MIN,9000000,No
Alex Bregman,0.7,22,0.242,0.801,HOU,12666666,No
Bo Bichette,0.5,23,0.301,0.84,TOR,570000,No
Luis Garcia,0.667,16,0.276,0.668,WSH,563500,No
Luis Garcia,0.667,16,0.276,0.668,HOU,18690,No
Victor Robles,0.867,15,0.22,0.608,WSH,592800,No
Rhys Hoskins,0.683,26,0.245,0.887,PHI,605000,No
Ryan McMahon,0.867,26,0.215,0.714,COL,573500,No
Mitch Moreland,0.7,29,0.265,0.894,SD,2500000,Si
Adam Eaton,0.683,17,0.226,0.669,WSH,9500000,No
Kyle Schwarber,0.983,24,0.189,0.701,CHC,7010000,No
Stephen Piscotty,0.75,29,0.226,0.629,OAK,7333333,No
Hunter Dozier,0.733,12,0.228,0.736,KC,610500,No
Amed Rosario,0.767,15,0.252,0.643,NYM,608780,No
Luis Arraez,0.533,13,0.321,0.765,MIN,596000,No
Andrelton Simmons,0.5,10,0.297,0.702,LAA,15000000,No
Joey Gallo,0.95,26,0.181,0.679,TEX,4400000,No
Kevin Newman,0.733,10,0.224,0.556,PIT,589000,No
Bryan Reynolds,0.917,19,0.189,0.632,PIT,589500,No
Yandy Diaz,0.567,11,0.307,0.814,TB,576600,No
Clint Frazier,0.65,26,0.267,0.905,NYY,588100,No
Nick Madrigal,0.483,11,0.34,0.745,CHW,563500,No
Dylan Moore,0.633,17,0.256,0.855,SEA,570100,No
Alex Gordon,0.833,11,0.209,0.606,KC,4000000,Si
Albert Pujols,0.65,25,0.224,0.665,LAA,29000000,No
Wilson Ramos,0.75,15,0.239,0.684,NYM,10436000,No
Jorge Soler,0.717,24,0.228,0.769,KC,7300000,No
Nicholas Lopez,0.933,13,0.201,0.552,KC,571250,No
Austin Hays,0.55,9,0.279,0.722,BAL,567500,No
Garrett Cooper,0.567,20,0.283,0.853,MIA,580000,No
Timmy Lopes,0.767,15,0.238,0.642,SEA,566700,No
Nick Markakis,0.617,15,0.254,0.704,ATL,4000000,No
Brad Miller,0.828,25,0.232,0.807,STL,2000000,No
Byron Buxton,0.65,27,0.254,0.844,MIN,3075000,No
Matt Chapman,0.617,25,0.232,0.812,OAK,623500,No
Will Smith,0.617,25,0.29,0.98,ATL,13000000,Si
Will Smith,0.617,25,0.29,0.98,LAD,573500,Si
Gleyber Torres,0.7,16,0.243,0.724,NYY,675500,No
Matt Joyce,0.767,14,0.252,0.682,MIA,1593000,Si
Mike Moustakas,0.733,27,0.23,0.799,CIN,12000000,Si
Enrique Hernandez,0.8,20,0.23,0.68,LAD,5900000,No
Ke'Bryan Hayes,0.4,11,0.377,1.124,PIT,563500,No
Rowdy Tellez,0.583,23,0.283,0.886,TOR,579600,No
Ozzie Albies,0.483,19,0.271,0.773,ATL,1000000,No
Evan White,0.9,26,0.176,0.599,SEA,1300000,No
Austin Romine,0.638,17,0.239,0.582,DET,4150000,Si
Freddy Galvis,0.783,16,0.22,0.712,CIN,5500000,No
Yan Gomes,0.5,13,0.284,0.787,WSH,4000000,Si
Brian Goodwin,0.833,22,0.215,0.715,CIN,2200000,No
Michael Chavis,0.7,19,0.212,0.636,BOS,571000,No
Nomar Mazara,0.7,15,0.228,0.589,CHW,5560000,No
Jacob Stallings,0.7,18,0.248,0.702,PIT,586500,No
Andres Gimenez,0.817,12,0.263,0.732,NYM,563500,No
Jon Berti,0.65,14,0.258,0.738,MIA,595000,No
Justin Upton,0.7,22,0.204,0.711,LAA,21000000,No
Ryan Braun,0.65,26,0.233,0.769,MIL,17000000,No
Kurt Suzuki,0.55,17,0.27,0.745,WSH,6000000,No
Kevin Kiermaier,0.817,22,0.217,0.683,TB,10166666,No
Josh Fuentes,0.5,17,0.306,0.759,COL,565500,No
Daniel Murphy,0.667,16,0.236,0.608,COL,8000000,No
Brett Gardner,0.817,15,0.223,0.747,NYY,10000000,Si
Martin Maldonado,0.783,24,0.215,0.727,HOU,3500000,Si
Jedd Gyorko,0.717,17,0.248,0.838,MIL,1000000,Si
Niko Goodrum,0.741,20,0.184,0.598,DET,698200,No
Shohei Ohtani,0.767,24,0.19,0.657,LAA,700000,No
Jared Walsh,0.533,26,0.293,0.971,LAA,563500,No
Matt Kemp,0.717,21,0.239,0.745,COL,1000000,No
James McCann,0.517,15,0.289,0.896,CHW,5400000,No
Ji-Man Choi,0.7,16,0.23,0.741,TB,850000,No
Kevin Plawecki,0.4,17,0.342,0.857,BOS,1000000,Si
Victor Caratini,0.733,16,0.241,0.661,CHC,592000,No
Jason Kipnis,0.733,16,0.237,0.744,CHC,1000000,No
Kris Bryant,0.567,11,0.206,0.644,CHC,18600000,No
Joe Panik,0.683,7,0.225,0.64,TOR,2850000,No
Ben Gamel,0.667,10,0.237,0.718,MIL,1400000,No
Sean Murphy,0.717,14,0.233,0.821,OAK,563500,No
Carson Kelly,0.65,19,0.221,0.649,ARI,581700,No
Leodys Taveras,0.55,6,0.227,0.703,TEX,563500,No
Austin Meadows,0.6,13,0.205,0.667,TB,578900,No
Shin-Soo Choo,0.55,15,0.236,0.723,TEX,21000000,No
Matt Carpenter,0.862,24,0.186,0.64,STL,18500000,No
Taylor Ward,0.567,5,0.277,0.716,LAA,566500,No
Aaron Judge,0.467,22,0.257,0.891,NYY,8500000,No
Jacoby Jones,0.517,14,0.268,0.849,DET,1575000,No
Adam Engel,0.6,12,0.296,0.811,CHW,588000,No
Luis Urias,0.683,11,0.239,0.602,MIL,568800,No
Michael Brosseau,0.617,12,0.302,0.936,TB,563500,No
Edwin Encarnacion,0.733,19,0.157,0.627,CHW,12000000,Si
Howie Kendrick,0.417,14,0.275,0.705,WSH,4000000,Si
Eric Thames,0.683,12,0.203,0.617,WSH,3000000,Si
Max Stassi,0.517,20,0.278,0.886,LAA,800000,No
Jake Cave,0.7,15,0.221,0.674,MIN,587500,No
David Bote,0.75,29,0.2,0.711,CHC,960000,No
Eric Sogard,0.717,10,0.209,0.56,MIL,4000000,Si
Darin Ruf,0.667,18,0.276,0.887,SF,563500,No
Gregory Polanco,0.833,22,0.153,0.539,PIT,8600000,No
Cole Tucker,0.617,8,0.22,0.527,PIT,563500,No
Harrison Bader,0.862,11,0.226,0.779,STL,590100,No
Dan Vogelbach,0.65,16,0.209,0.722,MIL,580900,No
Lewis Brinson,0.783,12,0.226,0.636,MIA,580000,No
Austin Slater,0.517,7,0.282,0.914,SF,576000,No
Tyler O'Neill,0.862,19,0.173,0.621,STL,573400,No
Joey Bart,0.55,7,0.233,0.609,SF,563500,No
Nico Hoerner,0.8,13,0.222,0.571,CHC,565000,No
Cameron Maybin,0.533,7,0.247,0.694,CHC,1500000,Si
Philip Gosselin,0.65,12,0.25,0.726,PHI,575000,No
Tony Wolters,0.7,8,0.23,0.55,COL,1900000,No
Joc Pederson,0.717,16,0.19,0.681,LAD,7750000,No
Rougned Odor,0.633,30,0.167,0.623,TEX,9333333,No
Tommy Pham,0.517,12,0.211,0.624,SD,7900000,No
Gary Sanchez,0.817,24,0.147,0.618,NYY,5000000,No
Roman Quinn,0.683,7,0.213,0.576,PHI,569000,No
Tony Kemp,0.817,4,0.247,0.664,OAK,597100,No
Mike Tauchman,0.717,14,0.242,0.648,NYY,603100,No
Edward Olivares,0.517,10,0.24,0.642,KC,563500,No
Josh Harrison,0.55,14,0.279,0.769,WSH,1000000,No
Ender Inciarte,0.767,10,0.19,0.512,ATL,7700000,No
Dylan Carlson,0.603,16,0.2,0.616,STL,563500,No
Jose Marmolejos,0.583,18,0.206,0.672,SEA,563500,No
Adam Haseley,0.667,13,0.279,0.69,PHI,569500,No
Danny Jansen,0.717,20,0.183,0.671,TOR,580900,No
Ryan O'Hearn,0.7,18,0.195,0.604,KC,576950,No
Sam Hilliard,0.6,10,0.21,0.71,COL,565500,No
Isaac Paredes,0.586,6,0.22,0.568,DET,563500,No
Dexter Fowler,0.535,15,0.233,0.706,STL,16500000,No
Austin Barnes,0.483,9,0.244,0.667,LAD,1100000,No
Jorge Alfaro,0.517,16,0.226,0.624,MIA,595000,No
Chance Sisco,0.6,10,0.214,0.741,BAL,571000,No
Bobby Dalbec,0.383,16,0.263,0.959,BOS,563500,No
Elvis Andrus,0.483,7,0.194,0.582,TEX,15250000,No
Brock Holt,0.617,5,0.211,0.557,WSH,563500,Si
Tucker Barnhart,0.633,13,0.204,0.679,CIN,3937500,No
Carter Kieboom,0.55,9,0.202,0.556,WSH,564700,No
Andrew Knapp,0.55,15,0.278,0.849,PHI,710000,No
Jordon Adell,0.633,7,0.161,0.478,LAA,563500,No
Tim Locastro,0.55,7,0.29,0.859,ARI,574400,No
Shed Long,0.567,9,0.171,0.533,SEA,567600,No
Jay Bruce,0.533,14,0.198,0.721,PHI,14000000,No
Giancarlo Stanton,0.383,11,0.25,0.887,NYY,26000000,No
Jorge Bonifacio,0.517,17,0.221,0.602,DET,563500,No
Willie Calhoun,0.483,13,0.19,0.491,TEX,577000,No
Omar Narvaez,0.667,10,0.176,0.562,MIL,2725000,No
Hunter Renfroe,0.7,22,0.156,0.645,TB,3300000,No
Ronald Guzman,0.433,9,0.244,0.75,TEX,588000,No
Daulton Varsho,0.617,9,0.188,0.653,ARI,563500,No
Jose Trevino,0.4,9,0.25,0.715,TEX,565500,No
Luis Guillorme,0.5,9,0.333,0.865,NYM,566054,No
Edwin Rios,0.533,17,0.25,0.946,LAD,566000,No
Anderson Tejeda,0.383,8,0.253,0.726,TEX,563500,No
Pablo Sandoval,0.567,6,0.214,0.549,ATL,563500,No
Josh Donaldson,0.467,11,0.222,0.842,MIN,21000000,Si
Michael Taylor,0.633,16,0.196,0.676,WSH,3325000,No
Scott Kingery,0.6,6,0.159,0.511,PHI,1750000,No
Luis Torrens,0.417,6,0.257,0.696,SEA,568800,No
Randy Arozarena,0.383,11,0.281,1.022,TB,563500,No
Jonathan Arauz,0.417,9,0.25,0.644,BOS,563500,No
Ehire Adrianza,0.733,3,0.191,0.557,MIN,1600000,No
Khris Davis,0.5,10,0.2,0.632,OAK,16750000,No
Jake Lamb,0.517,10,0.193,0.635,OAK,563500,Si
Curt Casali,0.517,8,0.224,0.866,CIN,1462500,No
D.J. Stewart,0.517,15,0.193,0.803,BAL,567500,No
David Dahl,0.4,9,0.183,0.47,COL,2475000,No
Kyle Farmer,0.533,4,0.266,0.641,CIN,571000,No
Myles Straw,0.55,8,0.207,0.5,HOU,571300,No
Harold Castro,0.379,3,0.347,0.836,DET,570700,No
Starlin Castro,0.267,4,0.267,0.752,WSH,6000000,Si
Leury Garcia,0.267,8,0.271,0.758,CHW,3250000,No
Elias Diaz,0.433,9,0.235,0.641,COL,575000,No
Jose Osuna,0.433,11,0.205,0.641,PIT,589500,No
Adeiny Hechavarria,0.45,2,0.254,0.607,ATL,1000000,Si
Tyler Flowers,0.367,5,0.217,0.673,ATL,4000000,No
Jason Castro,0.45,9,0.188,0.668,SD,6850000,Si
Dee Gordon,0.55,3,0.2,0.482,SEA,13800000,No
Andrew Stevenson,0.25,12,0.366,1.179,WSH,563500,No
Cameron Gallagher,0.417,3,0.283,0.79,KC,580500,No
Yairo Munoz,0.2,4,0.333,0.844,BOS,575000,No
Tyler Wade,0.867,10,0.171,0.595,NYY,582800,No
Ryan Jeffers,0.433,7,0.273,0.791,MIN,563500,No
Aledmys Diaz,0.283,6,0.241,0.737,HOU,2600000,No
Phillip Evans,0.183,9,0.359,0.932,PIT,563500,No
Michael Perez,0.633,13,0.167,0.475,TB,566600,No
Luis Rengifo,0.55,3,0.156,0.469,LAA,570000,No
Francisco Cervelli,0.267,7,0.245,0.808,MIA,2000000,Si
Nick Senzel,0.4,8,0.186,0.604,CIN,570000,No
Abraham Toro-Hernandez,0.55,9,0.149,0.513,HOU,573700,No
Chad Pinder,0.4,8,0.232,0.688,OAK,2025000,No
Chadwick Tromp,0.4,10,0.213,0.645,SF,563500,No
Sam Haggerty,0.217,6,0.26,0.715,SEA,563800,No
Vimael Machin,0.4,0,0.206,0.534,OAK,563500,No
Robinson Chirinos,0.433,7,0.162,0.475,NYM,5750000,Si
Stephen Vogt,0.433,7,0.167,0.525,ARI,2500000,Si
Derek Dietrich,0.417,8,0.197,0.806,TEX,575000,No
Greg Garcia,0.583,11,0.2,0.529,SD,1500000,No
Mitch Garver,0.383,5,0.167,0.511,MIN,620000,No
Kyle Higashioka,0.267,10,0.25,0.771,NYY,579200,No
Christian Arroyo,0.25,8,0.24,0.736,BOS,565500,No
Jarrod Dyson,0.533,5,0.18,0.411,CHW,2000000,Si
Phillip Ervin,0.617,4,0.149,0.481,SEA,573500,No
Mike Zunino,0.467,10,0.147,0.598,TB,4500000,No
Chris Owings,0.283,5,0.268,0.757,COL,563500,No
Jake Marisnick,0.267,5,0.333,0.959,NYM,3312500,No
Gavin Lux,0.317,8,0.175,0.596,LAD,566000,No
Sam Huff,0.167,4,0.355,1.136,TEX,563500,No
Daz Cameron,0.293,3,0.193,0.483,DET,563500,No
Magneuris Sierra,0.317,7,0.25,0.697,MIA,563500,No
Josh Rojas,0.283,2,0.18,0.437,ARI,568800,No
Jeff Mathis,0.4,9,0.161,0.575,TEX,3000000,No
John Ryan Murphy,0.417,2,0.172,0.433,PIT,575000,No
Bubba Starling,0.583,5,0.17,0.456,KC,568250,No
Ildemaro Vargas,0.4,3,0.196,0.536,CHC,572600,No
J.T. Riddle,0.383,1,0.149,0.398,PIT,850000,No
Pavin Smith,0.2,4,0.27,0.746,ARI,563500,No
Chad Wallach,0.25,6,0.227,0.64,MIA,563500,No
Ramon Urias,0.132,3,0.333,0.894,BAL,575000,No
Anthony Bemboom,0.35,5,0.208,0.744,LAA,563500,No
Alex Avila,0.383,2,0.184,0.641,MIN,4250000,Si
Manuel Pina,0.25,5,0.231,0.744,MIL,1850000,No
Erik Kratz,0.3,4,0.321,0.76,NYY,1000000,No
Jace Peterson,0.433,5,0.2,0.749,MIL,563500,No
Eli White,0.317,3,0.188,0.46,TEX,563500,No
Josh VanMeter,0.433,6,0.129,0.485,ARI,568500,No
Jacob Nottingham,0.333,13,0.188,0.736,MIL,563500,No
Tyrone Taylor,0.367,6,0.237,0.793,MIL,565300,No
Jazz Chisholm,0.35,6,0.161,0.563,MIA,563500,No
Alejandro Kirk,0.15,3,0.375,0.983,TOR,563500,No
Jon Jay,0.3,4,0.16,0.451,ARI,1550000,No
Kevan Smith,0.283,8,0.258,0.83,TB,575000,No
Tyler Heineman,0.25,1,0.191,0.506,SF,563500,No
C.J. Cron,0.224,8,0.191,0.894,DET,6100000,Si
Daniel Santana,0.25,7,0.146,0.511,TEX,3600000,No
Monte Harrison,0.533,3,0.17,0.491,MIA,563500,No
Aristides Aquino,0.383,8,0.17,0.623,CIN,563500,No
Franchy Cordero,0.267,7,0.211,0.733,KC,571100,No
Tzu-Wei Lin,0.433,3,0.154,0.355,BOS,570000,No
Jack Mayfield,0.35,3,0.191,0.453,HOU,563500,No
Jonah Heim,0.217,5,0.211,0.479,OAK,563500,No
Matt Wieters,0.328,4,0.2,0.529,STL,2000000,Si
Daniel Robertson,0.217,2,0.333,0.75,SF,1025000,No
Guillermo Heredia,0.25,5,0.212,0.672,NYM,1000000,Si
Tomas Nido,0.117,6,0.292,0.929,NYM,576826,No
Derek Fisher,0.267,7,0.226,0.811,TOR,579600,No
Jonathan Davis,0.217,6,0.259,0.808,TOR,569000,No
Chris Davis,0.267,1,0.115,0.337,BAL,21065362,No
Lorenzo Cain,0.083,2,0.333,0.817,MIL,15000000,No
Drew Butera,0.483,4,0.154,0.396,COL,1000000,No
Dustin Garneau,0.283,4,0.158,0.562,HOU,659300,Si
Rangel Ravelo,0.224,6,0.171,0.53,STL,566000,No
Jake Noll,0.117,0,0.353,0.765,WSH,563500,No
Anthony Alford,0.3,7,0.214,0.741,PIT,566800,No
Brent Rooker,0.117,5,0.316,0.96,MIN,563500,No
Steven Duggar,0.35,3,0.177,0.458,SF,563500,No
Wyatt Mathisen,0.15,5,0.222,0.808,ARI,563500,No
Yoenis Cespedes,0.133,4,0.161,0.622,NYM,6000000,No
Bryan Holaday,0.35,4,0.161,0.406,BAL,575000,No
Yolmer Sanchez,0.2,1,0.313,1.164,CHW,575000,No
Braden Bishop,0.2,4,0.167,0.476,SEA,563500,No
Joseph Odom,0.3,2,0.128,0.338,SEA,563500,No
Yadiel Hernandez,0.2,6,0.192,0.637,WSH,563500,No
Logan Forsythe,0.217,2,0.118,0.446,MIA,575000,Si
Billy Hamilton,0.517,2,0.125,0.39,CHC,1000000,No
Andrew Benintendi,0.233,1,0.103,0.442,BOS,3400000,No
Jorge Mateo,0.367,2,0.154,0.454,SD,563500,No
Jake Fraley,0.117,0,0.154,0.511,SEA,563800,No
Isan Diaz,0.117,1,0.182,0.364,MIA,563500,No
Rafael Marchan,0.05,3,0.5,1.431,PHI,563500,No
Cesar Puello,0.083,0,0.375,0.875,BOS,563500,No
Jahmai Jones,0.05,1,0.429,0.857,LAA,563500,No
Jared Oliva,0.1,0,0.188,0.375,PIT,563500,No
Eric Haase,0.121,2,0.177,0.387,DET,565400,No
Sergio Alcantara,0.172,1,0.143,0.598,DET,563500,No
Joe Hudson,0.15,0,0.177,0.44,SEA,563500,No
Kyle Garlick,0.2,3,0.136,0.356,PHI,564500,No
Elliot Soto,0.05,0,0.333,0.929,LAA,563500,No
Brendan Rodgers,0.117,2,0.095,0.238,COL,565500,No
Harold Ramirez,0.05,1,0.2,0.473,MIA,580000,No
