Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
WSH,6.1,2016,6,0,139,19321,30,900,1,11,31,Washington Nationals,LAD,Washington DC,9,81,83,161,6889,Chris Heisey,0.736,0.541696,1,220,4,0.216,0.046655999999999996,0.512,0.262144,LF,0.5838509316770186,17,289,UFA,507500,507500,507500,0.0,0.0,0,68750000,0,94,-0.05,0.0025000000000000005,0,13.137251989898079,13.137251989898079,13.137251989898079
SEA,0.0,2016,6,1,295,87025,62,3844,1,8,33,Seattle Mariners,LAA,Washington,7,49,94,161,8836,Chris Iannetta,0.631,0.398161,0,230,4,0.21,0.04409999999999999,0.58,0.3364,C,0.5341614906832298,24,576,UFA,4550000,4250000,4550000,0.0,0.0,4250000,35100000,4250000,86,0.19,0.0361,0,15.330637790927133,15.2624295409006,15.330637790927133
MIA,6.3,2016,6,1,243,59049,54,2916,2,10,31,Miami Marlins,CLE,Florida,5,25,113,160,12769,Chris Johnson,0.611,0.37332099999999996,2,225,2,0.222,0.049284,0.702,0.49280399999999996,3B,0.49375,24,576,UFA,507500,507500,507500,4.0,16.0,0,84707500,0,79,-0.95,0.9025,2,13.137251989898079,13.137251989898079,13.137251989898079
BOS,6.2,2016,6,2,203,41209,56,3136,1,6,32,Boston Red Sox,KC,Massachusetts,9,81,76,161,5776,Chris Young,0.85,0.7224999999999999,13,200,22,0.276,0.07617600000000001,0.469,0.21996099999999996,RF,0.577639751552795,24,576,UFA,6500000,6500000,6500000,0.0,0.0,11500000,230000000,5750000,93,0.94,0.8835999999999999,8,15.687312734865866,15.687312734865866,15.687312734865866
KC,6.2,2016,6,2,203,41209,56,3136,2,10,32,Kansas City Royals,KC,Missouri,9,81,76,161,5776,Chris Young,0.85,0.7224999999999999,4,200,9,0.276,0.07617600000000001,0.469,0.21996099999999996,RF,0.5031055900621118,24,576,UFA,4500000,4250000,4500000,0.0,0.0,11500000,186750000,5750000,81,0.94,0.8835999999999999,2,15.319587954740548,15.2624295409006,15.319587954740548
BOS,6.2,2016,6,2,203,41209,56,3136,1,6,32,Boston Red Sox,NYY,Massachusetts,9,81,76,161,5776,Chris Young,0.85,0.7224999999999999,13,200,22,0.276,0.07617600000000001,0.469,0.21996099999999996,RF,0.577639751552795,24,576,UFA,6500000,6500000,6500000,0.0,0.0,13000000,230000000,6500000,93,0.94,0.8835999999999999,8,15.687312734865866,15.687312734865866,15.687312734865866
KC,6.2,2016,6,2,203,41209,56,3136,2,10,32,Kansas City Royals,NYY,Missouri,9,81,76,161,5776,Chris Young,0.85,0.7224999999999999,4,200,9,0.276,0.07617600000000001,0.469,0.21996099999999996,RF,0.5031055900621118,24,576,UFA,4500000,4250000,4500000,0.0,0.0,13000000,186750000,6500000,81,0.94,0.8835999999999999,2,15.319587954740548,15.2624295409006,15.319587954740548
SD,6.4,2016,6,1,37,1369,2,4,5,13,28,San Diego Padres,COL,California,0,0,24,161,576,Christian Friedrich,0.179,0.032041,2,215,5,0.054,0.0029159999999999998,0.148,0.021903999999999996,SP,0.422360248447205,2,4,UFA,507500,507500,396539,38.8,1505.4399999999998,0,12120000,0,68,0.4,0.16000000000000003,0,13.137251989898079,13.137251989898079,12.890529675875685
NYM,6.1,2014,6,4,545,297025,129,16641,2,9,35,New York Mets,NYY,New York,30,900,150,161,22500,Curtis Granderson,0.799,0.6384010000000001,5,200,9,0.237,0.056169,0.926,0.8574760000000001,RF,0.5403726708074534,59,3481,UFA,16000000,16000000,16000000,53.28,2838.7584,60000000,48757500,15000000,87,2.81,7.896100000000001,2,16.588099280204055,16.588099280204055,16.588099280204055
WSH,0.0,2016,6,3,531,281961,184,33856,1,11,31,Washington Nationals,NYM,Washington DC,25,625,142,161,20164,Daniel Murphy,0.985,0.970225,1,221,4,0.347,0.12040899999999999,0.877,0.769129,2B,0.5838509316770186,104,10816,UFA,8000000,8000000,8000000,94.27,8886.8329,37500000,68750000,12500000,94,4.49,20.160100000000003,0,15.89495209964411,15.89495209964411,15.89495209964411
