Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
NYM,6.0,2012,2,1,166,27556,43,1849,7,29,New York Mets,PIT,4,16,78,162,6084,Ronny Cedeno,0.741,0.549081,5,195,8,0.259,0.067081,0.482,0.23232399999999997,SS,0.4567901234567901,22,484,UFA,1150000,1150000,1150000,0.0,0.0,1150000,20400000,1150000,74,0.37,0.1369,2,13.955272500339433,13.955272500339433,13.955272500339433
NYY,6.2,2012,2,1,384,147456,92,8464,9,40,New York Yankees,PHI,19,361,130,162,16900,Raul Ibanez,0.761,0.579121,40,225,50,0.24,0.0576,0.803,0.6448090000000001,DH,0.5864197530864198,62,3844,UFA,1100000,1100000,1100000,36.51,1332.9800999999998,1100000,9100000,1100000,95,0.45,0.2025,27,13.9108207377686,13.9108207377686,13.9108207377686
NYM,6.0,2012,2,1,377,142129,99,9801,7,32,New York Mets,NYM,20,400,134,162,17956,Scott Hairston,0.803,0.6448090000000001,5,204,8,0.263,0.06916900000000001,0.827,0.6839289999999999,RF,0.4567901234567901,57,3249,UFA,1100000,1100000,1100000,36.96,1366.0416,1100000,20400000,1100000,74,,,2,13.9108207377686,13.9108207377686,13.9108207377686
OAK,6.1,2012,2,1,279,77841,73,5329,3,31,Oakland Athletics,WSH,18,324,99,162,9801,Jonny Gomes,0.868,0.753424,15,205,24,0.262,0.06864400000000001,0.611,0.37332099999999996,LF,0.5802469135802469,47,2209,UFA,1000000,1000000,1000000,77.08,5941.3264,1000000,15414066,1000000,94,1.82,3.3124000000000002,9,13.815510557964274,13.815510557964274,13.815510557964274
CHW,0.0,2012,2,1,22,484,8,64,1,32,Chicago White Sox,TB,3,9,14,162,196,Dan Johnson,1.367,1.868689,6,0,9,0.364,0.132496,0.086,0.007395999999999999,1B,0.5246913580246914,6,36,UFA,900000,900000,162295,0.0,0.0,900000,900000,900000,85,,,3,13.710150042306449,13.710150042306449,11.997170945880875
LAD,6.6,2012,2,1,2,4,0,0,9,37,Los Angeles Dodgers,SEA,0,0,66,162,4356,Jamey Wright,0.0,0.0,25,240,26,0.0,0.0,0.407,0.165649,RP,0.5308641975308642,0,0,UFA,900000,900000,900000,46.87,2196.7969,900000,44651311,900000,86,0.08,0.0064,6,13.710150042306449,13.710150042306449,13.710150042306449
NYY,0.0,2012,2,1,278,77284,78,6084,9,34,New York Yankees,NYY,16,256,113,162,12769,Eric Chavez,0.845,0.7140249999999999,40,208,50,0.281,0.07896100000000002,0.698,0.4872039999999999,3B,0.5864197530864198,37,1369,UFA,1800000,900000,1800000,37.0,1369.0,900000,9100000,900000,95,,,27,14.403297222866392,13.710150042306449,14.403297222866392
WSH,6.2,2012,2,1,1,1,0,0,6,29,Washington Nationals,ARI,0,0,8,162,64,Zach Duke,0.0,0.0,1,210,2,0.0,0.0,0.049,0.0024010000000000004,RP,0.6049382716049383,0,0,UFA,900000,900000,167213,0.0,0.0,900000,18650000,900000,98,0.45,0.2025,0,13.710150042306449,13.710150042306449,12.027023727806442
NYM,6.2,2012,2,1,325,105625,75,5625,7,28,New York Mets,NYM,14,196,101,162,10201,Chris Young,0.745,0.555025,5,200,8,0.231,0.053361000000000006,0.624,0.389376,RF,0.4567901234567901,41,1681,UFA,900000,900000,545901,38.78,1503.8884,900000,20400000,900000,74,1.92,3.6864,2,13.710150042306449,13.710150042306449,13.210192919605504
ARI,6.2,2012,2,1,325,105625,75,5625,4,28,Arizona Diamondbacks,NYM,14,196,101,162,10201,Chris Young,0.745,0.555025,1,200,5,0.231,0.053361000000000006,0.624,0.389376,RF,0.5,41,1681,UFA,7200000,7000000,7200000,38.78,1503.8884,900000,17750000,900000,81,1.92,3.6864,1,15.789591583986283,15.761420707019587,15.789591583986283
CIN,5.9,2012,2,1,69,4761,20,400,4,28,Cincinnati Reds,LAD,2,4,24,162,576,Dioner Navarro,0.755,0.570025,10,215,14,0.29,0.0841,0.148,0.021903999999999996,C,0.5987654320987654,12,144,UFA,800000,800000,800000,0.0,0.0,800000,5100000,800000,97,0.25,0.0625,5,13.592367006650065,13.592367006650065,13.592367006650065
SF,0.0,2012,2,1,152,23104,28,784,3,33,San Francisco Giants,ARI,4,16,59,162,3481,Xavier Nady,0.569,0.32376099999999997,23,0,23,0.184,0.033856,0.364,0.132496,1B,0.5802469135802469,13,169,UFA,700000,700000,126229,0.0,0.0,700000,4800000,700000,94,,,7,13.458835614025542,13.458835614025542,11.745852996668471
SF,6.4,2012,2,1,1,1,0,0,3,34,San Francisco Giants,DET,0,0,22,162,484,Brad Penny,0.0,0.0,23,230,23,0.0,0.0,0.136,0.018496000000000002,SP,0.5802469135802469,0,0,UFA,500000,500000,265027,5.36,28.729600000000005,500000,4800000,500000,94,-0.79,0.6241000000000001,7,13.122363377404328,13.122363377404328,12.487586986570705
LAA,0.0,2012,2,1,438,191844,106,11236,4,38,Los Angeles Angels,LAA,6,36,200,162,40000,Bobby Abreu,0.693,0.4802489999999999,1,0,10,0.242,0.058564,0.617,0.380689,LF,0.5493827160493827,48,2304,UFA,8598689,8598689,8598689,31.92,1018.8864000000001,401311,321150000,401311,89,-0.48,0.2304,1,15.96712030774283,15.96712030774283,15.96712030774283
LAD,0.0,2012,2,1,438,191844,106,11236,9,38,Los Angeles Dodgers,LAA,6,36,200,162,40000,Bobby Abreu,0.693,0.4802489999999999,25,0,26,0.242,0.058564,0.617,0.380689,LF,0.5308641975308642,48,2304,UFA,480000,480000,401311,31.92,1018.8864000000001,401311,44651311,401311,86,-0.48,0.2304,6,13.081541382884074,13.081541382884074,12.902491966793864
NYY,0.0,2012,2,0,2,4,0,0,9,37,New York Yankees,LAD,0,0,33,162,1089,Hiroki Kuroda,0.0,0.0,40,0,50,0.0,0.0,0.204,0.04161599999999999,SP,0.5864197530864198,0,0,UFA,10000000,10000000,10000000,81.85,6699.422499999999,0,9100000,0,95,5.28,27.878400000000003,27,16.11809565095832,16.11809565095832,16.11809565095832
