Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
Charlie Morton,2017,UFA,PHI,2,14000000,7000000,Houston Astros,3,82000000,HOU,101,162,11,2,1,0.6234567901234568,SP,25,25,146.7,125,65,59,50,163,14,7,0,1.19,3.62,1.82,71.93,33,215,6.5,7000000,8875000,8875000,0.1234567901234568,0.03787018101946527,3.26,625,625,21520.889999999996,15625,4225,3481,2500,26569,196,49,0,1.4161,13.1044,3.3124000000000002,5173.924900000001,0.01524157902758726,0.0014341506104470678,10.6276
Junichi Tazawa,2017,UFA,BOS,2,12000000,6000000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,RP,55,0,55.3,55,35,35,22,38,3,5,0,1.39,5.69,-0.69,3.28,31,200,0.0,5000000,5000000,5000000,0.07635121559172192,0.04420333534257585,1.7272727272727273,3025,0,3058.0899999999997,3025,1225,1225,484,1444,9,25,0,1.9320999999999997,32.3761,0.4760999999999999,10.758399999999998,0.0058295081223336005,0.0019539348554082157,2.9834710743801653
Marc Rzepczynski,2017,UFA,WSH,2,11000000,5500000,Seattle Mariners,2,11535000,SEA,78,162,4,0,0,0.4814814814814814,RP,64,0,31.3,29,16,14,20,25,2,2,1,1.56,4.02,0.25,9.39,31,220,6.2,5500000,5500000,5500000,0.08874689385871495,0.07099751508697195,1.25,4096,0,979.69,841,256,196,400,625,4,4,1,2.4336,16.160399999999996,0.0625,88.17210000000001,0.007876011169570018,0.00504064714852481,1.5625
Santiago Casilla,2017,UFA,SF,2,11000000,5500000,Oakland Athletics,5,34500000,OAK,75,162,26,15,9,0.4629629629629629,RP,63,0,59.0,58,29,28,22,57,4,5,16,1.36,4.27,0.51,24.97,36,210,6.0,4500000,5000000,5000000,0.10734463276836158,0.04143126177024482,2.590909090909091,3969,0,3481.0,3364,841,784,484,3249,16,25,256,1.8496000000000004,18.232899999999997,0.2601,623.5008999999999,0.011522870184174406,0.0017165494518745503,6.712809917355371
Daniel Hudson,2017,UFA,ARI,2,11000000,5500000,Pittsburgh Pirates,2,37000000,PIT,75,162,17,9,5,0.4629629629629629,RP,71,0,61.7,58,34,31,33,66,2,7,0,1.48,4.52,-0.01,5.04,30,215,6.3,5500000,5500000,5500000,0.11885467314964883,0.059427336574824415,2.0,5041,0,3806.8900000000003,3364,1156,961,1089,4356,4,49,0,2.1904,20.430399999999995,0.0001,25.401600000000002,0.014126433329509854,0.0035316083323774635,4.0
Andrew Cashner,2017,UFA,MIA,1,10000000,10000000,Texas Rangers,4,36000000,TEX,78,162,8,2,0,0.4814814814814814,SP,28,28,166.7,156,75,63,64,86,11,11,0,1.32,3.4,4.26,80.99,30,235,6.6,10000000,10000000,10000000,0.057321868959541424,0.042658135039658734,1.34375,784,784,27788.889999999996,24336,5625,3969,4096,7396,121,121,0,1.7424000000000002,11.559999999999999,18.147599999999997,6559.380099999999,0.0032857966610148385,0.0018197164850617604,1.8056640625
R.A. Dickey,2017,UFA,TOR,1,8000000,8000000,Atlanta Braves,5,34525000,ATL,72,162,23,18,3,0.4444444444444444,SP,31,31,190.0,193,99,91,67,136,10,10,0,1.37,4.31,2.04,52.01,42,215,6.3,7500000,7500000,7500000,0.07953216374269007,0.0391812865497076,2.029850746268657,961,961,36100.0,37249,9801,8281,4489,18496,100,100,0,1.8769000000000002,18.576099999999997,4.1616,2705.0400999999997,0.006325365069594064,0.0015351732156902978,4.120294052127423
Joaquin Benoit,2017,UFA,TOR,1,7500000,7500000,Pittsburgh Pirates,2,37000000,PIT,75,162,17,9,5,0.4629629629629629,RP,52,0,50.3,43,28,26,22,46,1,6,2,1.29,4.65,0.57,8.63,40,250,6.4,7500000,7500000,2581992,0.10161254694057875,0.04859730505853766,2.090909090909091,2704,0,2530.0899999999997,1849,784,676,484,2116,1,36,4,1.6641000000000001,21.622500000000002,0.32489999999999997,74.47690000000001,0.01032510969575132,0.00236169805895257,4.37190082644628
Jerry Blevins,2017,UFA,NYM,1,6500000,6500000,New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,RP,75,0,49.0,43,16,16,24,69,6,0,1,1.37,2.94,1.45,30.9,33,190,6.6,5500000,5500000,5500000,0.1564625850340136,0.05442176870748299,2.875,5625,0,2401.0,1849,256,256,576,4761,36,0,1,1.8769000000000002,8.6436,2.1025,954.81,0.02448054051552594,0.0029617289092507748,8.265625
Koji Uehara,2017,UFA,BOS,1,6000000,6000000,Chicago Cubs,3,16000000,CHC,92,162,19,17,3,0.5679012345679012,RP,49,0,43.0,38,21,19,12,50,3,4,2,1.16,3.98,0.16,17.88,42,195,6.2,6000000,6000000,6000000,0.12919896640826872,0.031007751937984496,4.166666666666667,2401,0,1849.0,1444,441,361,144,2500,9,16,4,1.3456,15.8404,0.0256,319.6944,0.01669237292096495,0.0009614806802475813,17.361111111111114
Jesse Chavez,2017,UFA,LAD,1,5750000,5750000,Los Angeles Angels,4,24750000,LAA,80,162,10,1,1,0.4938271604938271,RP,38,21,138.0,148,83,82,45,119,7,11,0,1.4,5.35,-0.17,0.0,33,175,6.2,5750000,6550000,6550000,0.09581320450885668,0.036231884057971016,2.6444444444444444,1444,441,19044.0,21904,6889,6724,2025,14161,49,121,0,1.9599999999999997,28.622499999999995,0.028900000000000006,0.0,0.009180170158255993,0.0013127494223902543,6.993086419753086
Mitch Moreland,2017,UFA,TEX,1,5500000,5500000,Boston Red Sox,1,5500000,BOS,93,162,23,13,8,0.5740740740740741,1B,149,127,1.0,2,0,0,0,1,0,0,0,2.0,0.0,1.95,47.53,31,245,6.3,5500000,5500000,5500000,0.1111111111111111,0.0,inf,22201,16129,1.0,4,0,0,0,1,0,0,0,4.0,0.0,3.8024999999999998,2259.1009,0.012345679012345678,0.0,inf
Joe Blanton,2017,UFA,LAD,1,4000000,4000000,Washington Nationals,4,10400000,WSH,97,163,5,1,0,0.5950920245398773,RP,51,0,44.3,52,29,28,13,39,2,4,0,1.47,5.68,-0.23,3.05,36,252,6.3,4000000,4000000,4000000,0.09781790820165538,0.03260596940055179,3.0,2601,0,1962.4899999999998,2704,841,784,169,1521,4,16,0,2.1609,32.2624,0.0529,9.302499999999998,0.00956834316494748,0.0010631492405497197,9.0
Drew Storen,2017,UFA,SEA,1,3000000,3000000,Cincinnati Reds,2,5300000,CIN,68,162,15,10,5,0.419753086419753,RP,58,0,54.7,57,32,27,23,48,4,2,1,1.46,4.45,-0.2,10.73,29,195,0.0,3000000,3150000,3150000,0.09750152346130408,0.046719479991874875,2.0869565217391304,3364,0,2992.09,3249,1024,729,529,2304,16,4,1,2.1315999999999997,19.802500000000002,0.04000000000000001,115.1329,0.00950654707727523,0.0021827098107111967,4.355387523629489
Fernando Rodney,2017,UFA,MIA,1,2750000,2750000,Arizona Diamondbacks,5,9750000,ARI,93,162,6,1,1,0.5740740740740741,RP,61,0,55.3,40,29,26,26,65,5,4,39,1.19,4.23,0.34,85.15,40,240,0.0,2750000,4000000,4000000,0.1306007635121559,0.05224030540486237,2.5,3721,0,3058.0899999999997,1600,841,676,676,4225,25,16,1521,1.4161,17.892900000000004,0.11560000000000002,7250.522500000001,0.017056559429958075,0.002729049508793292,6.25
Edwin Jackson,2017,UFA,SD,1,2450000,2450000,Washington Nationals,4,10400000,WSH,97,163,5,1,0,0.5950920245398773,SP,22,13,76.0,86,53,44,29,60,5,6,0,1.51,5.21,-0.23,12.3,33,210,0.0,1000000,1000000,415264,0.08771929824561403,0.04239766081871345,2.0689655172413794,484,169,5776.0,7396,2809,1936,841,3600,25,36,0,2.2801,27.144099999999998,0.0529,151.29000000000002,0.007694675284702985,0.0017975616428986695,4.280618311533889
Scott Feldman,2017,UFA,TOR,1,2300000,2300000,Cincinnati Reds,2,5300000,CIN,68,162,15,10,5,0.419753086419753,SP,21,21,111.3,116,62,59,35,93,7,7,0,1.36,4.77,0.52,37.19,34,225,6.6,2300000,3000000,3000000,0.09284216831386644,0.03494060097833683,2.657142857142857,441,441,12387.689999999999,13456,3844,3481,1225,8649,49,49,0,1.8496000000000004,22.752899999999997,0.27040000000000003,1383.0960999999998,0.008619668217220305,0.0012208455967273528,7.060408163265306
Matt Belisle,2017,UFA,WSH,1,2050000,2050000,Minnesota Twins,2,26550000,MIN,85,162,15,6,3,0.5246913580246914,RP,61,0,59.3,47,31,27,22,54,2,2,9,1.16,4.1,0.06,39.68,37,230,6.3,2050000,2050000,2050000,0.10118043844856663,0.04122166010867529,2.4545454545454546,3721,0,3516.49,2209,961,729,484,2916,4,4,81,1.3456,16.81,0.0036,1574.5024,0.01023748112464418,0.0016992252621151518,6.024793388429752
Brian Duensing,2017,UFA,BAL,1,2000000,2000000,Chicago Cubs,3,16000000,CHC,92,162,19,17,3,0.5679012345679012,RP,68,0,62.3,58,19,19,18,61,1,1,0,1.22,2.74,1.39,54.78,34,200,6.0,2000000,2000000,2000000,0.10879258070269307,0.03210272873194222,3.388888888888889,4624,0,3881.2899999999995,3364,361,361,324,3721,1,1,0,1.4884,7.507600000000001,1.9320999999999997,3000.8484000000003,0.011835825615951985,0.0010305851920366686,11.484567901234568
Jhoulys Chacin,2017,UFA,LAA,1,1750000,1750000,San Diego Padres,4,8250000,SD,71,162,5,2,0,0.4382716049382716,SP,34,32,180.3,157,82,78,72,153,13,10,0,1.27,3.89,2.54,79.71,29,215,6.3,1750000,1750000,1750000,0.09428729894620078,0.044370493621741544,2.125,1156,1024,32508.090000000004,24649,6724,6084,5184,23409,169,100,0,1.6129,15.132100000000001,6.4516,6353.684099999999,0.008890094742570234,0.001968740704237007,4.515625
Clayton Richard,2017,UFA,SD,1,1750000,1750000,San Diego Padres,4,8250000,SD,71,162,5,2,0,0.4382716049382716,SP,32,32,197.3,240,114,105,59,151,8,15,0,1.51,4.79,0.54,40.31,33,240,6.5,1750000,2750000,2750000,0.0850368868615194,0.03322633327701752,2.559322033898305,1024,1024,38927.29,57600,12996,11025,3481,22801,64,225,0,2.2801,22.9441,0.2916,1624.8961000000002,0.007231272127098851,0.0011039892230354416,6.550129273197356
Trevor Cahill,2017,UFA,CHC,1,1750000,1750000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,RP,21,14,84.0,91,50,46,45,87,4,3,0,1.62,4.93,-0.48,0.0,29,230,6.4,1750000,1750000,669410,0.11507936507936507,0.05952380952380952,1.9333333333333333,441,196,7056.0,8281,2500,2116,2025,7569,16,9,0,2.6244000000000005,24.304899999999996,0.2304,0.0,0.01324326026706979,0.003543083900226757,3.7377777777777776
Dustin McGowan,2017,UFA,MIA,1,1750000,1750000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,RP,63,0,77.7,77,42,41,27,64,8,2,0,1.34,4.75,-0.2,26.16,35,240,6.3,1750000,1750000,1750000,0.09152009152009151,0.03861003861003861,2.3703703703703702,3969,0,6037.290000000001,5929,1764,1681,729,4096,64,4,0,1.7956000000000003,22.5625,0.04000000000000001,684.3456,0.008375927151845926,0.001490735081468672,5.618655692729766
Tom Milone,2017,UFA,MIN,1,1250000,1250000,New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,RP,17,8,48.3,65,43,41,14,38,1,3,1,1.63,7.63,-0.16,0.0,30,215,6.0,1250000,1250000,1017746,0.0874166091557396,0.032206119162640906,2.7142857142857144,289,64,2332.89,4225,1849,1681,196,1444,1,9,1,2.6569,58.216899999999995,0.0256,0.0,0.007641663556287336,0.0010372341115182258,7.367346938775511
Jared Hughes,2017,UFA,PIT,1,950000,950000,Milwaukee Brewers,3,7550000,MIL,86,162,4,1,0,0.5308641975308642,RP,67,0,59.7,49,21,20,24,48,5,3,1,1.22,3.02,1.21,55.8,31,240,0.0,950000,950000,950000,0.08933556672250138,0.04466778336125069,2.0,4489,0,3564.09,2401,441,400,576,2304,25,9,1,1.4884,9.1204,1.4641,3113.64,0.007980843481630497,0.0019952108704076243,4.0
