Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Edward Mujica,9500000,4750000,RP,64,0,60.0,69,28,26,14,43,2,4,8,1.38,3.9,BOS,4750000
Chris Young,7250000,7250000,RP,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,SEA,4725000
Chris Young,7250000,7250000,RP,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,NYY,500000
Eric O'Flaherty,7000000,3500000,RP,21,0,20.0,15,5,5,4,15,1,0,1,0.95,2.25,OAK,1500000
Matt Thornton,7000000,3500000,RP,64,0,36.0,33,9,7,8,28,1,3,0,1.14,1.75,WSH,3500000
Chad Qualls,6000000,3000000,RP,58,0,51.3,54,22,19,5,43,1,5,19,1.15,3.33,HOU,2750000
Jason Hammel,6000000,6000000,SP,30,29,176.3,154,70,68,44,158,10,11,0,1.12,3.47,OAK,6000000
Manny Parra,5500000,2750000,RP,53,0,36.7,39,20,19,18,34,0,3,1,1.55,4.66,CIN,2000000
Skip Schumaker,5000000,2500000,LF,83,60,1.0,0,0,0,1,0,0,0,0,1.0,0.0,CIN,2000000
Ryan Vogelsong,5000000,5000000,SP,32,32,184.7,178,86,82,58,151,8,13,0,1.28,4.0,SF,5000000
Edinson Volquez,5000000,5000000,SP,32,31,192.7,166,75,65,71,140,13,7,0,1.23,3.04,PIT,5000000
Oliver Perez,4250000,2125000,RP,68,0,58.7,50,25,19,24,76,3,4,0,1.26,2.92,ARI,1750000
Scott Downs,4000000,4000000,RP,55,0,38.0,36,24,21,20,25,0,4,1,1.47,4.97,KC,500000
Gavin Floyd,4000000,4000000,RP,9,9,54.3,55,23,16,13,45,2,2,0,1.25,2.65,ATL,4000000
Francisco Rodriguez,3250000,3250000,RP,69,0,68.0,49,23,23,18,73,5,5,44,0.99,3.04,MIL,3250000
Ronald Belisario,3000000,3000000,RP,62,0,66.3,78,46,41,18,47,4,8,8,1.45,5.56,CHW,3000000
Joba Chamberlain,2500000,2500000,RP,69,0,63.0,57,26,25,24,59,2,5,2,1.29,3.57,DET,3000000
Matt Albers,2450000,2450000,RP,8,0,10.0,10,1,1,3,8,0,0,0,1.3,0.9,HOU,2250000
LaTroy Hawkins,2250000,2250000,RP/CL,57,0,54.3,52,23,20,13,32,4,3,23,1.2,3.31,COL,2250000
Chris Capuano,2250000,2250000,RP,40,12,97.3,101,51,47,34,84,3,4,0,1.39,4.35,NYY,500000
Colby Lewis,2000000,2000000,SP,29,29,170.3,211,107,98,48,133,10,14,0,1.52,5.18,TEX,2000000
J.P. Arencibia,1800000,1800000,1B,63,58,1.0,1,0,0,0,0,0,0,0,1.0,0.0,TEX,1800000
Jamey Wright,1800000,1800000,RP,61,1,70.3,72,35,34,27,54,5,4,1,1.41,4.35,LAD,1800000
Felipe Paulino,1750000,1750000,SP,4,4,18.3,35,24,23,12,14,0,2,0,2.56,11.29,CHW,1500000
Lyle Overbay,1500000,1500000,1B,121,64,0.3,0,0,0,0,0,0,0,0,0.0,0.0,MIL,1500000
Daisuke Matsuzaka,1500000,1500000,SP,34,9,83.3,62,38,36,50,78,3,3,1,1.34,3.89,NYM,1500000
Paul Maholm,1500000,1500000,RP,30,8,70.7,82,44,38,28,34,1,5,0,1.56,4.84,LAD,1500000
Wesley Wright,1425000,1425000,RP,58,0,48.3,48,19,17,19,37,0,3,0,1.39,3.17,CHC,1425000
Kevin Gregg,1286387,1286387,RP,12,0,9.0,11,10,10,5,6,0,0,0,1.78,10.0,MIA,1286387
Pat Neshek,1000000,1000000,RP,71,0,67.3,44,14,14,9,68,7,2,6,0.79,1.87,STL,1000000
Scott Baker,1000000,1000000,SP,25,8,80.7,82,49,49,14,55,3,4,0,1.19,5.47,TEX,1000000
John Baker,875000,875000,C,68,51,1.0,0,0,0,1,0,1,0,0,1.0,0.0,CHC,875000
Zach Duke,850000,850000,RP,74,0,58.7,49,19,16,17,74,5,1,0,1.13,2.46,MIL,850000
Rich Hill,840000,840000,SP,16,0,5.3,7,2,2,6,9,0,0,0,2.44,3.38,NYY,500000
Daniel Hudson,700000,700000,RP,3,0,2.7,4,4,4,0,2,0,1,0,1.5,13.5,ARI,700000
Tony Sipp,500000,500000,RP,56,0,50.7,28,19,19,17,63,4,3,4,0.89,3.38,HOU,500000
Dylan Axelrod,500000,500000,RP,5,4,18.3,14,6,6,4,20,2,1,0,0.98,2.95,CIN,500000
Zach Putnam,500000,500000,RP,49,0,54.7,39,14,12,20,46,5,3,6,1.08,1.98,CHW,500000
Nick Massett,0,0,RP,51,0,45.0,56,31,29,24,36,2,0,0,1.78,5.8,COL,1200000
Tsuyoshi Wada,0,0,SP,13,13,69.3,67,28,25,19,57,4,4,0,1.24,3.25,CHC,500000
Heath Bell,0,0,RP,13,0,17.3,24,16,14,8,12,1,1,0,1.85,7.27,TB,10000000
Wade LeBlanc,0,0,RP,11,3,29.7,27,13,13,7,21,1,1,0,1.15,3.94,LAA,500000
Jim Johnson,0,0,RP,54,0,53.3,69,46,42,35,42,5,2,2,1.95,7.09,DET,500000
Jose Veras,0,0,RP,46,0,46.0,37,25,23,27,50,4,1,1,1.39,4.5,HOU,500000
Jeremy Jeffress,0,0,RP,32,0,32.0,35,10,10,10,29,1,1,0,1.41,2.81,MIL,507600
