Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Sergio Romo,2017,UFA,SF,1,3000000,3000000,RP,55,0,55.7,42,23,22,19,59,3,1,0,1.1,3.56,TB,3000000,3000000,1180296,0.11769399561141033,0.037901456213844005,3.1052631578947367,3025,0,3102.4900000000002,1764,529,484,361,3481,9,1,0,1.2100000000000002,12.6736,0.0014365203831299344,9.642659279778393,9150625
Andres Blanco,2017,UFA,PHI,1,3000000,3000000,SS,80,20,0.3,1,1,1,0,0,0,0,0,3.0,27.0,PHI,3000000,3000000,3000000,0.0,0.0,,6400,400,0.09,1,1,1,0,0,0,0,0,9.0,729.0,0.0,,40960000
Fernando Rodney,2017,UFA,MIA,1,2750000,2750000,RP,61,0,55.3,40,29,26,26,65,5,4,39,1.19,4.23,ARI,2750000,4000000,4000000,0.1306007635121559,0.05224030540486237,2.5,3721,0,3058.0899999999997,1600,841,676,676,4225,25,16,1521,1.4161,17.892900000000004,0.002729049508793292,6.25,13845841
Edwin Jackson,2017,UFA,SD,1,2450000,2450000,SP,22,13,76.0,86,53,44,29,60,5,6,0,1.51,5.21,WSH,1000000,1000000,415264,0.08771929824561403,0.04239766081871345,2.0689655172413794,484,169,5776.0,7396,2809,1936,841,3600,25,36,0,2.2801,27.144099999999998,0.0017975616428986695,4.280618311533889,234256
Scott Feldman,2017,UFA,TOR,1,2300000,2300000,SP,21,21,111.3,116,62,59,35,93,7,7,0,1.36,4.77,CIN,2300000,3000000,3000000,0.09284216831386644,0.03494060097833683,2.657142857142857,441,441,12387.689999999999,13456,3844,3481,1225,8649,49,49,0,1.8496000000000004,22.752899999999997,0.0012208455967273528,7.060408163265306,194481
Matt Belisle,2017,UFA,WSH,1,2050000,2050000,RP,61,0,59.3,47,31,27,22,54,2,2,9,1.16,4.1,MIN,2050000,2050000,2050000,0.10118043844856663,0.04122166010867529,2.4545454545454546,3721,0,3516.49,2209,961,729,484,2916,4,4,81,1.3456,16.81,0.0016992252621151518,6.024793388429752,13845841
Brian Duensing,2017,UFA,BAL,1,2000000,2000000,RP,68,0,62.3,58,19,19,18,61,1,1,0,1.22,2.74,CHC,2000000,2000000,2000000,0.10879258070269307,0.03210272873194222,3.388888888888889,4624,0,3881.2899999999995,3364,361,361,324,3721,1,1,0,1.4884,7.507600000000001,0.0010305851920366686,11.484567901234568,21381376
Jhoulys Chacin,2017,UFA,LAA,1,1750000,1750000,SP,34,32,180.3,157,82,78,72,153,13,10,0,1.27,3.89,SD,1750000,1750000,1750000,0.09428729894620078,0.044370493621741544,2.125,1156,1024,32508.090000000004,24649,6724,6084,5184,23409,169,100,0,1.6129,15.132100000000001,0.001968740704237007,4.515625,1336336
Clayton Richard,2017,UFA,SD,1,1750000,1750000,SP,32,32,197.3,240,114,105,59,151,8,15,0,1.51,4.79,SD,1750000,2750000,2750000,0.0850368868615194,0.03322633327701752,2.559322033898305,1024,1024,38927.29,57600,12996,11025,3481,22801,64,225,0,2.2801,22.9441,0.0011039892230354416,6.550129273197356,1048576
Trevor Cahill,2017,UFA,CHC,1,1750000,1750000,RP,21,14,84.0,91,50,46,45,87,4,3,0,1.62,4.93,KC,1750000,1750000,669410,0.11507936507936507,0.05952380952380952,1.9333333333333333,441,196,7056.0,8281,2500,2116,2025,7569,16,9,0,2.6244000000000005,24.304899999999996,0.003543083900226757,3.7377777777777776,194481
Dustin McGowan,2017,UFA,MIA,1,1750000,1750000,RP,63,0,77.7,77,42,41,27,64,8,2,0,1.34,4.75,MIA,1750000,1750000,1750000,0.09152009152009151,0.03861003861003861,2.3703703703703702,3969,0,6037.290000000001,5929,1764,1681,729,4096,64,4,0,1.7956000000000003,22.5625,0.001490735081468672,5.618655692729766,15752961
Daniel Descalso,2017,UFA,COL,1,1500000,1500000,3B,131,82,2.0,0,0,0,0,0,0,0,0,0.0,0.0,ARI,1350000,1350000,1350000,0.0,0.0,,17161,6724,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,294499921
Tom Milone,2017,UFA,MIN,1,1250000,1250000,RP,17,8,48.3,65,43,41,14,38,1,3,1,1.63,7.63,NYM,1250000,1250000,1017746,0.0874166091557396,0.032206119162640906,2.7142857142857144,289,64,2332.89,4225,1849,1681,196,1444,1,9,1,2.6569,58.216899999999995,0.0010372341115182258,7.367346938775511,83521
Jared Hughes,2017,UFA,PIT,1,950000,950000,RP,67,0,59.7,49,21,20,24,48,5,3,1,1.22,3.02,MIL,950000,950000,950000,0.08933556672250138,0.04466778336125069,2.0,4489,0,3564.09,2401,441,400,576,2304,25,9,1,1.4884,9.1204,0.0019952108704076243,4.0,20151121
