Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAD,No,6.4,2019,2022,3,1,145,21025,7666667,5,3,63,3969,60,3600,4.609756097560975,21.24985127900059,0.22994952327537857,0.05287678325457387,1.0600112170499159,1.1236237802716438,3.03,9.1809,31,30,Los Angeles Dodgers,California,219201102,178.3,31790.890000000003,29,161,28,Clayton Kershaw,5,25,46333332,25,225.0,33,0.18012422360248448,SP,0.6521739130434783,0,0,189,35721,31000000,23333334,0.15,31000000,62.92,3958.9264000000003,31000000,85000000,93000000,105,3.34,11.1556,1.04,1.0816000000000001,6,41,1681,16,256,17.24949776244942,16.965393539916953,17.24949776244942
CHC,No,6.3,2019,2024,4,0,168,28224,0,2,5,78,6084,68,4624,4.6875,21.97265625,0.1807909604519774,0.03268537138114846,0.847457627118644,0.7181844297615627,3.46,11.9716,29,29,Chicago Cubs,Illinois,13705024,177.0,31329.0,31,162,30,Kyle Hendricks,10,100,7405000,17,190.0,20,0.19135802469135801,SP,0.5185185185185185,0,0,150,22500,7405000,7405000,0.033,7405000,77.82,6055.952399999999,13875000,49325000,55500000,84,3.32,11.0224,1.13,1.2768999999999997,3,32,1024,11,121,15.817666005684035,15.817666005684035,15.817666005684035
CHW,No,6.6,2019,0,1,0,131,17161,0,2,3,69,4761,67,4489,4.0,16.0,0.32258064516129037,0.10405827263267432,1.2903225806451615,1.6649323621227892,3.41,11.628100000000002,24,24,Chicago White Sox,Illinois,4280990,176.7,31222.889999999996,29,161,29,Lucas Giolito,9,81,573000,6,245.0,9,0.18012422360248448,SP,0.4472049689440994,0,0,228,51984,573000,573000,0.006,573000,96.72,9354.7584,573000,24500000,573000,72,5.46,29.8116,1.06,1.1236000000000002,3,57,3249,14,196,13.258640995696876,13.258640995696876,13.258640995696876
OAK,Si,6.4,2019,2020,1,1,181,32761,0,5,6,80,6400,76,5776,1.836734693877551,3.3735943356934612,0.2784090909090909,0.07751162190082643,0.5113636363636364,0.26149276859504134,3.89,15.132100000000001,31,30,Oakland Athletics,California,58418199,176.0,30976.0,32,162,31,Brett Anderson,9,81,1500000,15,230.0,28,0.19753086419753085,SP,0.5987654320987654,0,0,90,8100,1500000,1500000,0.016,1500000,78.02,6087.1204,1500000,37600000,1500000,97,2.91,8.468100000000002,1.31,1.7161000000000002,9,49,2401,13,169,14.22097566607244,14.22097566607244,14.22097566607244
KC,No,6.3,2019,0,1,0,192,36864,0,2,5,108,11664,102,10404,2.8275862068965516,7.995243757431628,0.33086138049058755,0.10946925310013735,0.9355390758699372,0.8752333624795762,5.24,27.457600000000003,26,26,Kansas City Royals,Missouri,2050109,175.3,30730.090000000004,31,162,31,Jake Junis,14,196,578250,4,220.0,9,0.19135802469135801,SP,0.3580246913580246,0,0,164,26896,578250,578250,0.006,578250,39.04,1524.1216,578250,15700000,578250,58,1.33,1.7689000000000001,1.43,2.0448999999999997,2,58,3364,9,81,13.267761580093685,13.267761580093685,13.267761580093685
ATL,No,6.2,2019,0,6,6,148,21904,166668,1,6,81,6561,74,5476,1.9518072289156627,3.809551458847438,0.47510017172295366,0.22572017317118007,0.9273039496279336,0.8598926149955652,3.81,14.5161,28,22,Atlanta Braves,Georgia,34305967,174.7,30520.089999999997,35,161,33,Julio Teheran,11,121,11000000,18,205.0,25,0.21739130434782608,SP,0.6024844720496895,0,0,162,26244,11166668,11000000,0.078,11166668,64.43,4151.224900000001,5400000,52210000,32400000,97,3.15,9.9225,1.32,1.7424000000000002,3,83,6889,10,100,16.228443827530164,16.213405830762646,16.228443827530164
ATL,No,6.5,2019,0,1,0,153,23409,0,1,6,56,3136,52,2704,3.4634146341463414,11.995240928019037,0.23468803663423013,0.055078474539229746,0.8128219805380653,0.6606795720458231,2.68,7.182400000000001,21,21,Atlanta Braves,Georgia,2915350,174.7,30520.089999999997,29,161,29,Michael Soroka,4,16,492360,18,225.0,25,0.18012422360248448,SP,0.6024844720496895,0,0,142,20164,492360,555000,0.003,555000,98.88,9777.2544,555000,52210000,555000,97,6.05,36.6025,1.11,1.2321000000000002,3,41,1681,13,169,13.106965435224232,13.226723392728571,13.226723392728571
STL,No,6.5,2019,2025,1,0,160,25600,0,2,1,80,6400,65,4225,1.5813953488372092,2.5008112493239585,0.4922724670864339,0.24233218185136415,0.7784773898111048,0.6060270464471108,3.35,11.2225,24,24,St. Louis Cardinals,Missouri,2752480,174.7,30520.089999999997,33,162,32,Dakota Hudson,7,49,559100,23,215.0,29,0.2037037037037037,SP,0.5617283950617284,1,1,136,18496,559100,559100,0.003,559100,76.79,5896.704100000001,559100,25000000,559100,91,2.11,4.4521,1.41,1.9880999999999998,11,86,7396,16,256,13.234083627014737,13.234083627014737,13.234083627014737
BOS,No,5.919150943396228,2019,2020,4,3,198,39204,125000,1,1,114,12996,107,11449,3.1777777777777776,10.09827160493827,0.2581755593803786,0.06665461946137141,0.8204245553643144,0.6730964510447329,5.52,30.470399999999994,30,27,Boston Red Sox,Massachusetts,120521000,174.3,30380.490000000005,32,161,32,Rick Porcello,12,144,21000000,14,205.0,24,0.19875776397515527,SP,0.515527950310559,0,0,143,20449,21125000,21000000,0.092,21125000,15.13,228.91690000000003,20625000,68000000,82500000,83,0.85,0.7224999999999999,1.39,1.9320999999999997,9,45,2025,14,196,16.865967731207512,16.860032995687696,16.865967731207512
ARI,No,6.2,2019,0,1,0,150,22500,0,1,4,91,8281,84,7056,2.7976190476190474,7.8266723356009065,0.48192771084337344,0.23225431847873415,1.3482501434308662,1.8177784492613513,4.34,18.8356,27,27,Arizona Diamondbacks,Arizona,11666130,174.3,30380.490000000005,34,162,33,Robbie Ray,8,64,6050000,1,215.0,6,0.20987654320987653,SP,0.5246913580246914,0,0,235,55225,6050000,6050000,0.051,6050000,47.69,2274.3361,6050000,11600000,6050000,85,1.59,2.5281000000000002,1.34,1.7956000000000003,1,84,7056,12,144,15.615568830007025,15.615568830007025,15.615568830007025
COL,No,6.1,2019,2025,5,1,174,30276,300000,1,1,96,9216,92,8464,5.0,25.0,0.20114942528735633,0.04046109129343375,1.0057471264367817,1.0115272823358437,4.76,22.6576,24,23,Colorado Rockies,Colorado,3839849,174.0,30276.0,29,161,28,German Marquez,5,25,2500000,1,230.0,5,0.18012422360248448,SP,0.4347826086956521,0,0,175,30625,1300000,1000000,0.008,1300000,77.64,6027.9696,8600000,24000000,43000000,70,2.77,7.6729,1.2,1.44,0,35,1225,12,144,14.077874822431765,13.815510557964274,14.077874822431765
WSH,No,6.3,2019,0,7,4,144,20736,7142857,1,7,59,3481,56,3136,7.363636363636363,54.22314049586777,0.19152640742890306,0.036682364742622174,1.4103308183401044,1.9890330171598687,2.93,8.584900000000001,34,30,Washington Nationals,Washington DC,109475000,172.3,29687.290000000005,29,162,27,Max Scherzer,7,49,15100000,1,208.0,6,0.17901234567901234,SP,0.5740740740740741,0,0,243,59049,37505562,30262705,0.218,37505562,77.43,5995.404900000001,30000000,184550000,210000000,93,5.22,27.248399999999997,1.03,1.0609,1,33,1089,11,121,17.439999799942317,17.225426654265814,17.439999799942317
