Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
PHI,PHI,6.1,6.1,2013,0,0,2007,2007,7,7,226576,90601,476,301,18225,5929,135,77,285714,285714,6,7,2,2,28,28,34,33,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,88278257,73278257,324,121,18,11,17161,6889,131,83,162,162,Chase Utley,0.677329,0.6288490000000001,0.823,0.793,7,7,195,195,14,14,0.08065599999999999,0.065536,0.284,0.256,0.6544810000000001,0.262144,0.809,0.512,2B,2B,0.4506172839506173,0.5,4761,2025,69,45,15285714,15285714,15000000,15000000,15285714,15285714,4053.8689000000004,0.0,63.67,0.0,16350000,57650000,85000000,85000000,73,81,13.1044,9.8596,3.62,3.14,2,2,16.542429224679278,16.523560759066484,16.542429224679278
NYY,NYY,6.1,6.1,2013,2014,2014,2008,2008,5,5,45796,355216,214,596,2401,19044,49,138,0,0,8,9,2,2,26,26,32,31,New York Yankees,New York Yankees,New York,44905000,29905000,49,1849,7,43,3721,25600,61,160,162,162,Curtis Granderson,0.522729,0.6577210000000001,0.723,0.811,40,40,200,200,50,50,0.052441,0.053824000000000004,0.229,0.232,0.142129,0.976144,0.377,0.988,RF,RF,0.5246913580246914,0.5864197530864198,225,11236,15,106,15000000,10025000,15000000,10000000,15000000,10025000,0.0,6510.8760999999995,0.0,80.69,64000000,9100000,30250000,30250000,85,95,1.4641,10.956100000000001,1.21,3.31,27,27,16.523560759066484,16.523560759066484,16.523560759066484
WSH,MIN,6.0,6.0,2013,2016,2016,2010,2010,5,5,372100,266256,610,516,28900,21316,170,146,0,0,11,4,1,1,25,25,29,28,Washington Nationals,Minnesota Twins,Washington DC,12025000,7275000,16,16,4,4,23409,16384,153,128,162,162,Denard Span,0.49984899999999993,0.544644,0.707,0.738,1,6,210,210,2,14,0.07784100000000002,0.08008899999999998,0.279,0.283,0.8911359999999999,0.6241000000000001,0.944,0.79,CF,CF,0.5308641975308642,0.4074074074074074,2209,1681,47,41,4750000,3000000,4750000,3000000,4750000,3000000,2566.4356,5465.644900000001,50.66,73.93,67000000,32750000,16500000,16500000,86,66,5.7121,24.2064,2.39,4.92,0,3,15.373655176010823,15.373655176010823,15.373655176010823
BOS,BOS,5.9,5.9,2013,0,0,2009,2009,6,6,410881,316969,641,563,37249,26569,193,163,250000,250000,10,3,1,1,25,25,29,28,Boston Red Sox,Boston Red Sox,Massachusetts,31315984,21065984,81,225,9,15,25600,19881,160,141,162,162,Dustin Pedroia,0.6193690000000001,0.635209,0.787,0.797,13,12,175,175,21,20,0.09060099999999999,0.0841,0.301,0.29,0.976144,0.7569,0.988,0.87,2B,2B,0.5987654320987654,0.4259259259259259,7056,4225,84,65,10250000,8250000,10000000,8000000,10250000,8250000,7821.633599999999,6824.4121,88.44,82.61,130700000,6000000,40500000,40500000,97,69,39.942400000000006,26.1121,6.32,5.11,8,7,16.14278826354869,16.11809565095832,16.14278826354869
KC,LAA,6.2,6.2,2013,2014,2014,2009,2009,4,4,16,16,4,4,1,0,1,0,0,0,5,4,2,5,26,26,30,29,Kansas City Royals,Los Angeles Angels,Missouri,44236000,31236000,0,0,0,0,1024,900,32,30,162,162,Ervin Santana,0.25,0.0,0.5,0.0,2,1,175,175,7,10,0.0625,0.0,0.25,0.0,0.039204,0.034225,0.198,0.185,SP,SP,0.5308641975308642,0.5493827160493827,0,0,0,0,13000000,11200000,13000000,11200000,13000000,11200000,2818.5481000000004,2.8560999999999996,53.09,1.69,26100000,321150000,30000000,30000000,86,89,8.468100000000002,1.1664,2.91,-1.08,1,1,16.38045991542581,16.38045991542581,16.38045991542581
TB,TB,6.1,6.1,2013,0,0,2008,2008,6,6,376996,74529,614,273,27225,6241,165,79,0,0,10,4,2,2,22,22,27,26,Tampa Bay Rays,Tampa Bay Rays,Florida,18175000,12175000,1024,289,32,17,25600,5476,160,74,162,162,Evan Longoria,0.7089639999999999,0.8028160000000001,0.842,0.896,1,1,215,215,4,3,0.07236100000000001,0.08352099999999998,0.269,0.289,0.964324,0.208849,0.982,0.457,3B,3B,0.5617283950617284,0.5555555555555556,7744,3025,88,55,6000000,4500000,6000000,4500000,6000000,4500000,8988.9361,0.0,94.81,0.0,19090000,15950000,17500000,17500000,91,90,38.564099999999996,6.0516,6.21,2.46,0,0,15.60727002719233,15.60727002719233,15.60727002719233
CHW,CHW,6.4,6.4,2013,2014,2014,2009,2009,4,4,4,1,2,1,0,0,0,0,0,0,5,1,2,2,25,25,30,29,Chicago White Sox,Chicago White Sox,Illinois,30626000,21126000,0,0,0,0,25,841,5,29,162,162,Gavin Floyd,0.0,0.0,0.0,0.0,6,6,235,235,9,9,0.0,0.0,0.0,0.0,0.0009609999999999999,0.032041,0.031,0.179,RP,RP,0.3888888888888889,0.5246913580246914,0,0,0,0,9500000,7000000,9500000,7000000,9500000,7000000,0.0,0.0,0.0,0.0,14800000,900000,15500000,15500000,63,85,0.0004,4.928400000000001,-0.02,2.22,3,3,16.06680235657077,16.06680235657077,16.06680235657077
LAD,LAD,6.2,6.2,2013,2015,2015,2009,2009,6,6,92416,364816,304,604,11025,24025,105,155,0,0,7,9,5,5,25,25,29,28,Los Angeles Dodgers,Los Angeles Dodgers,California,55288000,39788000,400,576,20,24,7396,24649,86,157,162,162,Hanley Ramirez,1.0816000000000001,0.5760810000000001,1.04,0.759,25,25,235,235,27,26,0.11902499999999998,0.066049,0.345,0.257,0.281961,0.9389609999999999,0.531,0.969,DH,DH,0.5679012345679012,0.5308641975308642,3249,8464,57,92,15500000,5819672,15500000,15000000,15500000,15000000,0.0,980.3160999999999,0.0,31.31,150850000,44651311,70000000,70000000,92,86,29.2681,0.5184,5.41,0.72,6,6,16.556350581889475,16.556350581889475,16.556350581889475
MIA,DET,6.5,6.5,2013,0,0,2010,2010,4,4,1225,196,35,14,9,0,3,0,0,0,12,3,2,1,18,18,22,21,Miami Marlins,Detroit Tigers,Florida,4700000,3525000,0,0,0,0,400,100,20,10,162,162,Jacob Turner,0.052441,0.0,0.229,0.0,2,11,215,215,2,14,0.007395999999999999,0.0,0.086,0.0,0.015375999999999999,0.0038439999999999998,0.124,0.062,RP,RP,0.382716049382716,0.5432098765432098,0,0,0,0,1175000,1175000,1175000,1175000,1175000,1175000,0.0,0.0,0.0,0.0,7675000,221000000,5500000,5500000,62,88,2.0736,0.0361,1.44,-0.19,2,4,13.976778705560397,13.976778705560397,13.976778705560397
KC,TB,6.3,6.3,2013,2015,2015,2008,2008,4,4,9,25,3,5,1,1,1,1,0,0,5,4,2,2,26,26,31,30,Kansas City Royals,Tampa Bay Rays,Missouri,27594900,17344900,0,0,0,0,1156,1089,34,33,162,162,James Shields,0.44488900000000003,0.16000000000000003,0.667,0.4,2,1,215,215,7,3,0.11088900000000002,0.04000000000000001,0.333,0.2,0.04409999999999999,0.04161599999999999,0.21,0.204,SP,SP,0.5308641975308642,0.5555555555555556,0,1,0,1,10250000,7500000,10250000,7500000,10250000,7500000,6794.7049000000015,6305.9481,82.43,79.41,26100000,15950000,11250000,11250000,86,90,18.6624,6.5024999999999995,4.32,2.55,1,0,16.14278826354869,16.14278826354869,16.14278826354869
BOS,BOS,6.4,6.4,2013,2015,2015,2009,2009,5,5,36,25,6,5,0,0,0,0,0,0,10,3,1,1,24,24,29,28,Boston Red Sox,Boston Red Sox,Massachusetts,31852403,20227403,0,0,0,0,1089,1089,33,33,162,162,Jon Lester,0.0,0.0,0.0,0.0,13,12,240,240,21,20,0.0,0.0,0.0,0.0,0.04161599999999999,0.04161599999999999,0.204,0.204,SP,SP,0.5987654320987654,0.4259259259259259,0,0,0,0,11625000,7625000,11625000,7625000,11625000,7625000,4142.2096,571.2099999999999,64.36,23.9,130700000,6000000,30000000,30000000,97,69,9.1204,0.06760000000000001,3.02,0.26,8,7,16.268668509437695,16.268668509437695,16.268668509437695
TOR,MIA,6.7,6.7,2013,2014,2014,2010,2010,4,4,1,2809,1,53,0,25,0,5,0,0,7,6,1,2,25,25,29,28,Toronto Blue Jays,Miami Marlins,Toronto,41499000,27749000,0,0,0,0,256,961,16,31,162,162,Josh Johnson,0.25,0.049284,0.5,0.222,2,2,225,225,5,2,0.0,0.008836,0.0,0.094,0.009801,0.036481,0.099,0.191,SP,SP,0.4567901234567901,0.4259259259259259,0,4,0,2,13750000,13750000,13750000,13750000,13750000,13750000,0.0,1336.6336000000001,0.0,36.56,36750000,203300000,39000000,39000000,74,69,,,,,2,2,16.436549382076855,16.436549382076855,16.436549382076855
PIT,MIN,6.4,6.4,2013,2014,2014,2008,2008,6,6,327184,255025,572,505,21904,18225,148,135,1000000,1000000,8,4,2,1,26,26,32,31,Pittsburgh Pirates,Minnesota Twins,Pennsylvania,87595000,71595000,289,361,17,19,23104,17956,152,134,162,162,Justin Morneau,0.538756,0.597529,0.734,0.773,9,6,220,220,15,14,0.067081,0.071289,0.259,0.267,0.8798439999999998,0.6839289999999999,0.938,0.827,1B,1B,0.5802469135802469,0.4074074074074074,5929,5929,77,77,2371584,15000000,14000000,14000000,15000000,15000000,499.96959999999996,572.6449,22.36,23.93,28875000,32750000,80000000,80000000,94,66,2.8560999999999996,1.4884,1.69,1.22,5,3,14.67906864429234,16.454567887579532,16.523560759066484
ATL,ARI,6.1,6.1,2013,2016,2016,2010,2010,6,6,311364,306916,558,554,21609,24025,147,155,208333,208333,3,4,1,1,22,22,25,24,Atlanta Braves,Arizona Diamondbacks,Georgia,29785000,20035000,729,289,27,17,22201,22500,149,150,162,162,Justin Upton,0.6691239999999999,0.616225,0.818,0.785,18,1,215,215,23,5,0.06916900000000001,0.07840000000000001,0.263,0.28,0.8464,0.8574760000000001,0.92,0.926,LF,LF,0.5925925925925926,0.5,4900,4489,70,67,9958333,6958333,9750000,6750000,9958333,6958333,5006.977600000001,3423.4201,70.76,58.51,77250000,17750000,51500000,51500000,96,81,6.604899999999999,5.7121,2.57,2.39,3,1,16.113920246075036,16.09277784297403,16.113920246075036
NYY,NYY,6.3,6.3,2013,2017,2017,2009,2009,8,8,2809,203401,53,451,64,12769,8,113,625000,625000,8,9,2,2,28,28,33,32,New York Yankees,New York Yankees,New York,150150000,127650000,9,576,3,24,225,15129,15,123,162,162,Mark Teixeira,0.37088099999999996,0.6512490000000001,0.609,0.807,40,40,225,225,50,50,0.022801,0.063001,0.151,0.251,0.008649,0.5760810000000001,0.093,0.759,1B,1B,0.5246913580246914,0.5864197530864198,144,7056,12,84,23125000,23125000,22500000,22500000,23125000,23125000,0.0,1075.84,0.0,32.8,64000000,9100000,180000000,180000000,85,95,0.0529,14.3641,-0.23,3.79,27,27,16.956424841362765,16.929025867174648,16.956424841362765
STL,STL,6.4,6.4,2013,2017,2017,2010,2010,7,7,270400,358801,520,599,24336,31329,156,177,0,0,6,5,2,2,29,29,33,32,St. Louis Cardinals,St. Louis Cardinals,Missouri,99508500,82508500,484,729,22,27,19881,24649,141,157,162,162,Matt Holliday,0.772641,0.769129,0.879,0.877,23,23,250,250,27,26,0.09,0.08761599999999999,0.3,0.296,0.7569,0.9389609999999999,0.87,0.969,DH,DH,0.5987654320987654,0.5432098765432098,8836,10404,94,102,17000000,17050000,17000000,17000000,17000000,17050000,4321.7476,4439.5569,65.74,66.63,13650000,40850000,120000000,120000000,97,88,6.6564000000000005,16.3216,2.58,4.04,11,11,16.64872390202049,16.64872390202049,16.64872390202049
DET,DET,6.4,6.4,2013,0,0,2008,2008,8,8,308025,386884,555,622,37249,42025,193,205,0,0,4,3,1,1,24,24,30,29,Detroit Tigers,Detroit Tigers,Michigan,119927573,98627573,1936,1936,44,44,21904,25921,148,161,162,162,Miguel Cabrera,1.1620840000000001,0.998001,1.078,0.999,11,11,249,249,15,14,0.12110399999999999,0.10890000000000001,0.348,0.33,0.835396,0.988036,0.914,0.994,1B,1B,0.5740740740740741,0.5432098765432098,18769,19321,137,139,21000000,21000000,21000000,21000000,21000000,21000000,9888.3136,9296.8164,99.44,96.42,107775000,221000000,152300000,152300000,93,88,56.100100000000005,50.9796,7.49,7.14,4,4,16.860032995687696,16.860032995687696,16.860032995687696
BAL,BAL,0.0,0.0,2013,2016,2016,2009,2009,6,6,399424,176400,632,420,29584,15625,172,125,350000,350000,4,5,1,1,25,25,29,28,Baltimore Orioles,Baltimore Orioles,Maryland,52207000,37207000,100,169,10,13,25600,10816,160,104,162,162,Nick Markakis,0.4719690000000001,0.695556,0.687,0.834,7,7,210,210,12,12,0.07398400000000001,0.088804,0.272,0.298,0.976144,0.41216400000000003,0.988,0.642,RF,RF,0.5246913580246914,0.5740740740740741,3481,2916,59,54,15350000,12350000,15000000,12000000,15350000,12350000,150.7984,2471.0841,12.28,49.71,2000000,6675000,66100000,66100000,85,93,0.0144,2.9583999999999997,0.12,1.72,3,3,16.54662603199748,16.523560759066484,16.54662603199748
PIT,PIT,6.3,6.3,2013,2015,2015,2009,2009,4,4,310249,275625,557,525,16900,16384,130,128,0,1500000,8,3,2,2,21,21,26,25,Pittsburgh Pirates,Pittsburgh Pirates,Pennsylvania,8850000,8150000,1296,900,36,30,23104,22201,152,149,162,162,Pedro Alvarez,0.594441,0.6146560000000001,0.771,0.784,9,9,235,235,15,14,0.054289000000000004,0.059536,0.233,0.244,0.8798439999999998,0.8464,0.938,0.92,1B,1B,0.5802469135802469,0.4876543209876543,10000,7225,100,85,700000,2200000,700000,700000,700000,2200000,5939.784899999999,4419.590400000001,77.07,66.48,28875000,14500000,6355000,6355000,94,79,10.956100000000001,6.760000000000001,3.31,2.6,5,5,13.458835614025542,13.458835614025542,13.458835614025542
NYY,NYY,6.0,6.0,2013,2014,2014,2008,2008,4,4,366025,393129,605,627,36100,38416,190,196,0,0,8,9,2,2,25,25,30,29,New York Yankees,New York Yankees,New York,58021800,43021800,729,1089,27,33,25600,25921,160,161,162,162,Robinson Cano,0.8082010000000001,0.8630410000000001,0.899,0.929,40,40,210,210,50,50,0.098596,0.097969,0.314,0.313,0.976144,0.988036,0.988,0.994,2B,2B,0.5246913580246914,0.5864197530864198,11449,8836,107,94,15000000,14000000,15000000,14000000,15000000,14000000,9486.76,9753.537600000001,97.4,98.76,64000000,9100000,30000000,30000000,85,95,43.9569,71.2336,6.63,8.44,27,27,16.523560759066484,16.523560759066484,16.523560759066484
WSH,WSH,6.3,6.3,2013,2014,2014,2009,2009,5,5,322624,334084,568,578,24336,26569,156,163,100000,100000,11,6,1,1,24,24,28,27,Washington Nationals,Washington Nationals,Washington DC,49892000,35717000,676,625,26,25,21609,21025,147,145,162,162,Ryan Zimmerman,0.6544810000000001,0.6789759999999999,0.809,0.824,1,1,215,215,2,2,0.07562500000000001,0.07952399999999998,0.275,0.282,0.8226490000000001,0.801025,0.907,0.895,1B,1B,0.5308641975308642,0.6049382716049383,6241,9025,79,95,14275000,12275000,14000000,12000000,14275000,12275000,5207.0656,5611.508099999999,72.16,74.91,67000000,18650000,45000000,45000000,86,98,14.2884,15.209999999999999,3.78,3.9,0,0,16.474020313506347,16.454567887579532,16.474020313506347
WSH,WSH,6.5,6.5,2013,0,0,2009,2009,4,4,2401,2209,49,47,49,169,7,13,0,1875000,11,6,1,1,20,20,24,23,Washington Nationals,Washington Nationals,Washington DC,19300000,15400000,0,1,0,1,900,784,30,28,162,162,Stephen Strasburg,0.1296,0.5760810000000001,0.36,0.759,1,1,235,235,2,2,0.020448999999999995,0.07672900000000002,0.143,0.277,0.034225,0.029928999999999997,0.185,0.173,SP,SP,0.5308641975308642,0.6049382716049383,4,49,2,7,3900000,4875000,3900000,3000000,3900000,4875000,5087.9689,7673.759999999999,71.33,87.6,67000000,18650000,15100000,15100000,86,98,9.796899999999999,9.5481,3.13,3.09,0,0,15.176487111099874,15.176487111099874,15.176487111099874
ATL,ATL,6.1,6.1,2013,2014,2014,2010,2010,3,3,1444,3025,38,55,36,144,6,12,0,0,3,1,1,1,34,34,37,36,Atlanta Braves,Atlanta Braves,Georgia,97700000,88200000,1,0,1,0,441,841,21,29,162,162,Tim Hudson,0.251001,0.273529,0.501,0.523,18,18,174,174,23,22,0.024964,0.047524,0.158,0.218,0.016900000000000002,0.032041,0.13,0.179,SP,SP,0.5925925925925926,0.5802469135802469,9,36,3,6,9500000,9000000,9000000,9000000,9500000,9000000,2633.7424,5713.8481,51.32,75.59,77250000,1000000,28000000,28000000,96,94,0.6889,2.0164,0.83,1.42,3,3,16.06680235657077,16.012735135300492,16.06680235657077
