Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
CHC,CHC,6.1,6.5,2022,2024,2024,2016,2016,8,8,18769,220900,137,470,784,11664,28,108,2500000,2500000,11,10,2,2,26,26,32,31,Chicago Cubs,Chicago Cubs,Illinois,148889278,126889278,1,196,1,14,2304,23716,48,154,162,162,Jason Heyward,0.3091360000000001,0.48860099999999995,0.556,0.699,17,17,240,240,21,21,0.04161599999999999,0.0529,0.204,0.23,0.08761599999999999,0.48163599999999995,0.296,0.694,RF,RF,0.4567901234567901,0.4382716049382716,100,2704,10,52,24500000,23500000,22000000,21000000,24500000,23500000,0.0,2130.7455999999997,0.0,46.16,109707000,24500000,184000000,184000000,74,71,0.42250000000000004,2.8560999999999996,-0.65,1.69,3,3,17.014183675514957,16.90655301132259,17.014183675514957
CIN,CIN,6.0,6.2,2022,2025,2025,2014,2014,10,10,103684,401956,322,634,4356,25921,66,161,0,0,4,1,2,2,30,30,38,37,Cincinnati Reds,Cincinnati Reds,Ohio,217542838,192542838,121,2209,11,47,8281,33489,91,183,162,163,Joey Votto,0.47472099999999995,0.804609,0.689,0.897,10,10,220,220,16,16,0.04202499999999999,0.064516,0.205,0.254,0.31584400000000007,0.6789759999999999,0.562,0.824,1B,1B,0.382716049382716,0.50920245398773,1681,14641,41,121,25000000,25000000,25000000,25000000,25000000,25000000,0.0,9438.122500000001,0.0,97.15,14825000,1500000,225000000,225000000,62,83,0.0729,9.796899999999999,-0.27,3.13,5,5,17.034386382832476,17.034386382832476,17.034386382832476
CHW,CHW,6.3,6.3,2022,2023,2023,2020,2020,3,3,361201,649636,601,806,33489,49729,183,223,1666668,1666666,5,2,2,2,32,32,35,34,Chicago White Sox,Chicago White Sox,Illinois,113044074,99044074,225,2401,15,49,24649,44944,157,212,162,162,Jose Abreu,0.6789759999999999,0.765625,0.824,0.875,6,6,235,235,11,11,0.093025,0.07672900000000002,0.305,0.277,0.9389609999999999,0.912025,0.969,0.955,1B,1B,0.5,0.5740740740740741,5625,31329,75,177,19666668,17666666,18000000,16000000,19666668,17666666,4803.8761,25185.689999999995,69.31,158.7,63000000,57000000,50000000,50000000,81,93,17.556100000000004,36.240399999999994,4.19,6.02,3,3,16.79443578099849,16.70588231586044,16.79443578099849
HOU,HOU,6.0,5.6,2022,2025,2025,2018,2018,7,7,277729,630436,527,794,24964,43681,158,209,3000000,3000000,3,5,2,2,27,27,32,31,Houston Astros,Houston Astros,Texas,108945289,82945289,784,1296,28,36,19881,37636,141,194,162,162,Jose Altuve,0.848241,0.620944,0.921,0.788,5,4,166,166,16,15,0.09,0.06916900000000001,0.3,0.263,0.7569,0.763876,0.87,0.874,2B,2B,0.654320987654321,0.5864197530864198,3249,10201,57,101,29000000,29000000,26000000,26000000,29000000,29000000,8324.737599999999,4835.811600000001,91.24,69.54,69100000,76100000,163500000,163500000,106,95,24.5025,17.892900000000004,4.95,4.23,2,1,17.182806387950748,17.073607095985757,17.182806387950748
NYY,MIN,6.0,6.1,2022,2025,2025,2020,2020,4,4,228484,289444,478,538,11236,17161,106,131,0,0,4,6,2,1,34,34,36,35,New York Yankees,Minnesota Twins,New York,131667798,108667798,225,1024,15,32,17424,26569,132,163,162,163,Josh Donaldson,0.4651240000000001,0.6872409999999999,0.682,0.829,40,6,210,210,58,17,0.049284,0.059536,0.222,0.244,0.664225,0.538756,0.815,0.734,DH,3B,0.6111111111111112,0.4478527607361963,3844,6889,62,83,23000000,21000000,21000000,21000000,23000000,21000000,604.1764,1915.8129000000004,24.58,43.77,37400000,41750000,92000000,92000000,99,73,6.864400000000001,13.9129,2.62,3.73,27,3,16.951004773893423,16.860032995687696,16.951004773893423
TB,TB,6.4,6.1,2022,2024,2024,2017,2017,6,6,42436,236196,206,486,2209,14400,47,120,166668,166666,4,7,2,2,26,26,32,31,Tampa Bay Rays,Tampa Bay Rays,Florida,48662095,34162095,49,49,7,7,3969,29241,63,171,162,162,Kevin Kiermaier,0.42120100000000005,0.49984899999999993,0.649,0.707,2,2,210,210,8,7,0.051984,0.061009,0.228,0.247,0.151321,0.5929,0.389,0.77,CF,CF,0.5308641975308642,0.6172839506172839,484,3481,22,59,12166668,11666666,12000000,11500000,12166668,11666666,0.0,7786.297599999999,0.0,88.24,18900000,18725000,53500000,53500000,86,100,1.2100000000000002,24.6016,1.1,4.96,0,0,16.314210639473647,16.300417207752275,16.314210639473647
TOR,TOR,6.0,6.4,2022,2025,2025,2017,2017,7,7,205209,501264,453,708,17424,40804,132,202,428571,428571,6,6,1,1,23,23,28,27,Toronto Blue Jays,Toronto Blue Jays,Toronto,11425926,6925926,25,1024,5,32,14641,39204,121,198,162,163,Lourdes Gurriel Jr.,0.552049,0.6609689999999999,0.743,0.813,2,2,215,215,9,8,0.08468099999999999,0.08122499999999999,0.291,0.285,0.558009,0.795664,0.747,0.892,LF,LF,0.5679012345679012,0.5644171779141104,2704,13689,52,117,4928571,3928571,4500000,3500000,4928571,3928571,2686.3489,19743.0601,51.83,140.51,157000000,186250000,22000000,22000000,92,92,4.2848999999999995,14.5161,2.07,3.81,2,2,15.41055964598975,15.319587954740548,15.41055964598975
CHW,CHW,0.0,6.2,2022,2028,2028,2020,2020,6,6,144400,227529,380,477,11664,19600,108,140,0,0,5,2,2,2,22,22,24,23,Chicago White Sox,Chicago White Sox,Illinois,36055556,30055556,144,576,12,24,9604,15376,98,124,162,162,Luis Robert,0.556516,0.734449,0.746,0.857,6,6,220,220,11,11,0.08065599999999999,0.08643599999999999,0.284,0.294,0.366025,0.31248100000000006,0.605,0.559,CF,CF,0.5,0.5740740740740741,3136,5476,56,74,6000000,3500000,6000000,3500000,6000000,3500000,3370.9636,5045.2609,58.06,71.03,63000000,57000000,50000000,50000000,81,93,5.017600000000001,26.625600000000002,2.24,5.16,3,3,15.60727002719233,15.60727002719233,15.60727002719233
SD,SD,6.2,6.3,2022,2029,2029,2019,2019,10,10,334084,620944,578,788,29584,50625,172,225,2000000,2000000,3,4,5,5,26,26,29,28,San Diego Padres,San Diego Padres,California,140560896,110560896,1024,1936,32,44,22500,45369,150,213,162,162,Manny Machado,0.806404,0.755161,0.898,0.869,2,2,218,218,7,6,0.088804,0.08179599999999998,0.298,0.286,0.8574760000000001,0.9216,0.926,0.96,3B,3B,0.5493827160493827,0.4876543209876543,10404,23409,102,153,32000000,32000000,30000000,30000000,32000000,32000000,7853.504400000001,18964.044100000003,88.62,137.71,32500000,25200000,300000000,300000000,89,79,42.902499999999996,61.9369,6.55,7.87,0,0,17.281246460764002,17.216707939626428,17.281246460764002
MIN,MIN,6.1,6.4,2022,2025,2025,2019,2019,5,5,150544,356409,388,597,7744,16641,88,129,0,0,4,6,1,1,25,25,29,28,Minnesota Twins,Minnesota Twins,Minnesota,23924086,17174086,81,784,9,28,13225,28561,115,169,162,163,Max Kepler,0.44355600000000006,0.534361,0.666,0.731,6,6,220,220,17,17,0.051529000000000005,0.046655999999999996,0.227,0.216,0.5041,0.579121,0.71,0.761,RF,RF,0.4814814814814814,0.4478527607361963,1849,5929,43,77,6750000,6500000,6750000,6500000,6750000,6500000,1289.5280999999998,11881.0,35.91,109.0,116550000,41750000,35000000,35000000,78,73,4.2025,8.179599999999999,2.05,2.86,3,3,15.725053062848712,15.725053062848712,15.725053062848712
LAD,LAD,6.1,6.0,2022,2024,2024,2020,2020,3,3,215296,490000,464,700,8281,26569,91,163,1500000,1500000,9,7,5,5,29,29,31,30,Los Angeles Dodgers,Los Angeles Dodgers,California,25549043,14049043,441,2304,21,48,18496,40804,136,202,162,162,Max Muncy,0.508369,0.712336,0.713,0.844,25,25,215,215,36,35,0.038416000000000006,0.054289000000000004,0.196,0.233,0.7055999999999999,0.8281000000000001,0.84,0.91,DH,1B,0.6851851851851852,0.654320987654321,4761,14641,69,121,13000000,9000000,11500000,7500000,13000000,9000000,4406.304399999999,18986.084099999996,66.38,137.79,267800000,160320500,26000000,26000000,111,106,7.7841000000000005,26.009999999999998,2.79,5.1,7,7,16.38045991542581,16.25785759333348,16.38045991542581
DET,DET,6.5,6.4,2022,2024,2024,2016,2016,8,8,157609,456976,397,676,10201,29584,101,172,0,0,4,5,1,1,32,32,39,38,Detroit Tigers,Detroit Tigers,Michigan,353188684,321188684,25,625,5,25,12544,34969,112,187,162,162,Miguel Cabrera,0.386884,0.5112249999999999,0.622,0.715,11,11,249,249,16,16,0.064516,0.064516,0.254,0.254,0.47748099999999993,0.7224999999999999,0.691,0.85,DH,DH,0.4074074074074074,0.4753086419753086,1849,12100,43,110,32000000,30000000,32000000,30000000,32000000,30000000,0.07840000000000001,54.908100000000005,0.28,7.41,235500000,21500000,248000000,248000000,66,77,1.1449,0.16809999999999997,-1.07,-0.41,4,4,17.281246460764002,17.281246460764002,17.281246460764002
MIN,MIN,,6.4,2022,2024,2024,2020,2020,3,3,14400,430336,120,656,100,20449,10,143,0,0,4,6,1,1,26,26,29,28,Minnesota Twins,Minnesota Twins,Minnesota,31757744,19757744,4,1849,2,43,1600,35344,40,188,162,163,Miguel Sano,0.11902499999999998,0.5959840000000001,0.345,0.772,6,6,272,272,17,17,0.006889000000000001,0.047524,0.083,0.218,0.015375999999999999,0.717409,0.124,0.847,1B,1B,0.4814814814814814,0.4478527607361963,36,10000,6,100,9250000,11000000,9250000,11000000,9250000,11000000,0.0,5230.182399999999,0.0,72.32,116550000,41750000,30000000,30000000,78,73,2.4964000000000004,0.5041,-1.58,0.71,3,3,16.04013410948861,16.04013410948861,16.04013410948861
CIN,CIN,6.1,6.0,2022,2025,2025,2020,2020,4,4,63504,103684,252,322,2916,4900,54,70,0,0,4,1,2,2,31,31,33,32,Cincinnati Reds,Cincinnati Reds,Ohio,76006308,60006308,49,196,7,14,6084,11236,78,106,162,163,Mike Moustakas,0.4096,0.5140889999999999,0.64,0.717,10,10,225,225,16,16,0.045795999999999996,0.047089,0.214,0.217,0.23232399999999997,0.228484,0.482,0.478,DH,3B,0.382716049382716,0.50920245398773,625,2401,25,49,16000000,14000000,16000000,14000000,16000000,14000000,0.0,927.8116,0.0,30.46,14825000,1500000,64000000,64000000,62,83,0.9801,0.7569,-0.99,-0.87,5,5,16.588099280204055,16.588099280204055,16.588099280204055
LAA,LAA,6.2,6.2,2022,2031,2031,2019,2019,12,12,191844,99856,438,316,15376,9025,124,95,1666667,1666667,9,6,5,5,27,27,30,29,Los Angeles Angels,Los Angeles Angels,California,196840125,161290125,1600,625,40,25,14161,7921,119,89,162,162,Mike Trout,0.998001,1.058841,0.999,1.029,1,1,235,235,10,10,0.08008899999999998,0.09060099999999999,0.283,0.301,0.540225,0.16080100000000003,0.735,0.401,CF,CF,0.4506172839506173,0.4753086419753086,6400,4096,80,64,37216667,37166667,35450000,35450000,37216667,37166667,7921.0,5087.9689,89.0,71.33,123750000,12625000,426500000,426500000,73,77,36.4816,11.628100000000002,6.04,3.41,1,1,17.432267256538893,17.38363381094241,17.432267256538893
ARI,ARI,,6.2,2022,2024,2024,2020,2020,4,4,2704,400689,52,633,144,22201,12,149,375000,375000,3,5,1,1,29,29,32,31,Arizona Diamondbacks,Arizona Diamondbacks,Arizona,26323695,18073695,9,100,3,10,289,34596,17,186,162,163,Nick Ahmed,0.49280399999999996,0.42771600000000004,0.702,0.654,1,1,201,201,6,6,0.053361000000000006,0.055224999999999996,0.231,0.235,0.011024999999999998,0.702244,0.105,0.838,SS,SS,0.4567901234567901,0.3251533742331288,49,4489,7,67,8125000,8125000,7750000,7500000,8125000,8125000,0.0,3738.0996,0.0,61.14,23250000,8500000,32500000,32500000,74,53,0.0036,5.289999999999999,-0.06,2.3,1,1,15.910456286180075,15.86320340132953,15.910456286180075
STL,STL,6.4,6.2,2022,2028,2028,2019,2019,8,8,310249,600625,557,775,26569,38809,163,197,0,0,4,2,2,2,27,27,31,30,St. Louis Cardinals,St. Louis Cardinals,Missouri,121238340,90163340,900,1764,30,42,21904,42025,148,205,162,161,Nolan Arenado,0.7938810000000001,0.6241000000000001,0.891,0.79,23,23,215,215,32,31,0.085849,0.064516,0.293,0.254,0.835396,0.851929,0.914,0.923,3B,3B,0.5740740740740741,0.5527950310559007,10609,17161,103,131,23429500,570500,35000000,35000000,35075000,35050000,7378.810000000001,1835.2656000000004,85.9,42.84,52700000,17000000,260000000,260000000,93,89,61.9369,31.472100000000005,7.87,5.61,11,11,16.96950647009409,17.37085861945369,17.3729991839528
ATL,ATL,6.0,5.8,2022,2028,2028,2019,2019,7,7,61009,558009,247,747,3721,38025,61,195,0,0,6,6,1,1,21,21,25,24,Atlanta Braves,Atlanta Braves,Georgia,10456596,5456596,64,1296,8,36,4096,34596,64,186,162,161,Ozzie Albies,0.49420899999999995,0.6320250000000001,0.703,0.795,18,18,165,165,28,27,0.061009,0.068121,0.247,0.261,0.15602500000000002,0.7089639999999999,0.395,0.842,2B,2B,0.6234567901234568,0.546583850931677,1225,15625,35,125,5000000,3000000,5000000,3000000,5000000,3000000,0.0,7069.4464,0.0,84.08,61250000,94240000,35000000,35000000,101,88,0.7055999999999999,17.0569,0.84,4.13,4,4,15.424948470398375,15.424948470398375,15.424948470398375
