Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio_x,Anio_y,Anios_contrato,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIN,6.3,2020,2017,2017,7,3,3,356,126736,86,7396,0,1,2,30,29,Minnesota Twins,HOU,Minnesota,23651422,10,100,110,162,12100,Jason Castro,0.72,0.5184,6,215,15,0.242,0.058564,0.679,0.4610410000000001,C,0.5246913580246914,47,2209,UFA,8500000,8500000,8500000,32.34,1045.8756000000003,24500000,26550000,24500000,8166667,85,2.58,6.6564000000000005,3,15.955576721460545,15.955576721460545,15.955576721460545
MIA,0.0,2019,2017,2017,7,2,2,26,676,5,25,0,2,6,33,33,Miami Marlins,KC,Florida,31752000,0,0,17,162,289,Edinson Volquez,0.407,0.165649,2,220,2,0.192,0.036864,0.105,0.011024999999999998,SP,0.4753086419753086,1,1,UFA,9000000,9000000,9000000,37.36,1395.7695999999999,22000000,57250000,22000000,11000000,77,0.68,0.4624000000000001,2,16.012735135300492,16.012735135300492,16.012735135300492
TOR,6.0,2018,2017,2017,7,1,1,587,344569,120,14400,0,1,6,36,36,Toronto Blue Jays,TOR,Toronto,104040500,23,529,157,162,24649,Jose Bautista,0.677,0.45832900000000004,2,205,7,0.204,0.04161599999999999,0.969,0.9389609999999999,RF,0.4691358024691358,65,4225,UFA,18000000,18000000,18000000,4.99,24.900100000000002,18500000,70000000,18500000,18500000,76,-1.0,1.0,2,16.70588231586044,16.70588231586044,16.70588231586044
KC,6.6,2020,2017,2017,7,2,2,8,64,0,0,0,2,4,34,34,Kansas City Royals,CHC,Missouri,49306500,0,0,32,162,1024,Jason Hammel,0.0,0.0,4,225,9,0.0,0.0,0.198,0.039204,SP,0.4938271604938271,0,0,UFA,5000000,5000000,5000000,32.19,1036.1961,16000000,43800000,16000000,8000000,80,1.41,1.9880999999999998,2,15.424948470398375,15.424948470398375,15.424948470398375
HOU,6.1,2018,2017,2017,7,1,1,467,218089,108,11664,0,2,3,40,39,Houston Astros,TEX,Texas,245732138,14,196,129,162,16641,Carlos Beltran,0.666,0.44355600000000006,2,213,11,0.231,0.053361000000000006,0.796,0.6336160000000001,DH,0.6234567901234568,51,2601,UFA,16000000,16000000,16000000,4.15,17.222500000000004,16000000,82000000,16000000,16000000,101,-0.79,0.6241000000000001,1,16.588099280204055,16.588099280204055,16.588099280204055
HOU,6.5,2019,2017,2017,7,2,2,3,9,0,0,0,2,3,33,33,Houston Astros,PHI,Texas,36223008,0,0,25,162,625,Charlie Morton,0.0,0.0,2,215,11,0.0,0.0,0.154,0.023716,SP,0.6234567901234568,0,0,UFA,8875000,7000000,8875000,71.93,5173.924900000001,14000000,82000000,14000000,7000000,101,1.82,3.3124000000000002,1,15.998748893325754,15.761420707019587,15.998748893325754
NYY,6.4,2018,2017,2017,7,1,1,373,139129,86,7396,0,2,3,37,36,New York Yankees,STL,New York,163533500,19,361,105,162,11025,Matt Holliday,0.748,0.559504,40,250,53,0.231,0.053361000000000006,0.648,0.419904,DH,0.5617283950617284,64,4096,UFA,13000000,13000000,13000000,21.06,443.52359999999993,13000000,102500000,13000000,13000000,91,-0.02,0.0004,27,16.38045991542581,16.38045991542581,16.38045991542581
TB,6.1,2019,2017,2017,7,2,2,208,43264,54,2916,0,2,5,29,29,Tampa Bay Rays,WSH,Florida,16829500,11,121,64,162,4096,Wilson Ramos,0.737,0.543169,1,245,4,0.26,0.06760000000000001,0.395,0.15602500000000002,C,0.4938271604938271,35,1225,UFA,4000000,4000000,4000000,0.0,0.0,12500000,21700000,12500000,6250000,80,0.09,0.0081,0,15.201804919084164,15.201804919084164,15.201804919084164
KC,6.1,2020,2017,2017,7,2,2,362,131044,75,5625,0,2,4,33,33,Kansas City Royals,STL,Missouri,27170500,22,484,118,162,13924,Brandon Moss,0.707,0.49984899999999993,4,210,9,0.207,0.042849,0.728,0.529984,DH,0.4938271604938271,50,2500,UFA,3750000,3750000,3750000,13.76,189.33759999999998,12000000,43800000,12000000,6000000,80,-0.97,0.9409,2,15.137266397946593,15.137266397946593,15.137266397946593
MIA,0.0,2019,2017,2017,7,2,2,1,1,0,0,0,2,6,31,30,Miami Marlins,BOS,Florida,16935000,0,0,55,162,3025,Junichi Tazawa,0.0,0.0,2,200,2,0.0,0.0,0.34,0.11560000000000002,RP,0.4753086419753086,0,0,UFA,5000000,5000000,5000000,3.28,10.758399999999998,12000000,57250000,12000000,6000000,77,-0.69,0.4760999999999999,2,15.424948470398375,15.424948470398375,15.424948470398375
PIT,0.0,2019,2017,2017,7,2,2,132,17424,22,484,750000,2,2,32,31,Pittsburgh Pirates,PIT,Pennsylvania,16606900,5,25,54,162,2916,Sean Rodriguez,0.572,0.3271839999999999,9,200,17,0.167,0.027889000000000004,0.333,0.11088900000000002,2B,0.4629629629629629,8,64,UFA,1584699,5000000,5750000,0.0,0.0,11500000,37000000,11500000,5750000,75,-0.19,0.0361,5,14.275905041896435,15.424948470398375,15.564710412773533
TEX,6.3,2018,2017,2017,7,1,1,368,135424,94,8836,0,2,4,31,31,Texas Rangers,TEX,Texas,45810920,17,289,105,162,11025,Carlos Gomez,0.804,0.6464160000000001,2,220,8,0.255,0.065025,0.648,0.419904,CF,0.4814814814814814,51,2601,UFA,11500000,11500000,11500000,49.87,2487.0168999999996,11500000,36000000,11500000,11500000,78,1.7,2.8899999999999997,0,16.25785759333348,16.25785759333348,16.25785759333348
OAK,6.2,2019,2017,2017,7,2,2,469,219961,114,12996,0,5,5,32,32,Oakland Athletics,PIT,California,18587756,25,625,141,162,19881,Matt Joyce,0.808,0.6528640000000001,15,194,26,0.243,0.059049,0.87,0.7569,RF,0.4629629629629629,68,4624,UFA,5000000,5000000,5000000,57.9,3352.41,11000000,34500000,11000000,5500000,75,1.74,3.0276,9,15.424948470398375,15.424948470398375,15.424948470398375
TEX,6.6,2018,2017,2017,7,1,1,5,25,1,1,0,2,4,30,30,Texas Rangers,MIA,Texas,26954400,0,0,28,162,784,Andrew Cashner,0.367,0.134689,2,235,8,0.2,0.04000000000000001,0.173,0.029928999999999997,SP,0.4814814814814814,1,1,UFA,10000000,10000000,10000000,80.99,6559.380099999999,10000000,36000000,10000000,10000000,78,4.26,18.147599999999997,0,16.11809565095832,16.11809565095832,16.11809565095832
TEX,6.1,2018,2017,2017,7,1,1,425,180625,82,6724,0,2,4,35,35,Texas Rangers,CLE,Texas,82620000,29,841,124,162,15376,Mike Napoli,0.713,0.508369,2,225,8,0.193,0.037249000000000004,0.765,0.585225,1B,0.4814814814814814,66,4356,UFA,6000000,6000000,6000000,21.09,444.7881,8500000,36000000,8500000,8500000,78,-0.37,0.1369,0,15.60727002719233,15.60727002719233,15.60727002719233
ATL,6.3,2019,2017,2017,7,1,1,61,3721,9,81,0,1,5,42,42,Atlanta Braves,TOR,Georgia,57940000,0,0,31,162,961,R.A. Dickey,0.295,0.08702499999999999,18,215,23,0.148,0.021903999999999996,0.191,0.036481,SP,0.4444444444444444,5,25,UFA,7500000,7500000,7500000,52.01,2705.0400999999997,8000000,34525000,8000000,8000000,72,2.04,4.1616,3,15.830413578506539,15.830413578506539,15.830413578506539
BOS,5.9,2018,2017,2017,7,1,1,336,112896,79,6241,0,1,1,36,36,Boston Red Sox,CLE,Massachusetts,33048500,5,25,117,162,13689,Rajai Davis,0.641,0.410881,13,195,23,0.235,0.055224999999999996,0.722,0.521284,CF,0.5740740740740741,20,400,UFA,1278693,6000000,6000000,16.47,271.26089999999994,6000000,5500000,6000000,6000000,93,-0.05,0.0025000000000000005,8,14.06134902047443,15.60727002719233,15.60727002719233
LAA,6.2,2018,2017,2017,7,1,1,5,25,0,0,0,5,4,33,33,Los Angeles Angels,LAD,California,15142094,0,0,38,162,1444,Jesse Chavez,0.0,0.0,1,175,10,0.0,0.0,0.235,0.055224999999999996,RP,0.4938271604938271,0,0,UFA,6550000,5750000,6550000,0.0,0.0,5750000,24750000,5750000,5750000,80,-0.17,0.028900000000000006,1,15.694975607611434,15.564710412773533,15.694975607611434
BOS,6.3,2018,2017,2017,7,1,1,508,258064,125,15625,0,1,1,31,31,Boston Red Sox,TEX,Massachusetts,18679800,22,484,149,162,22201,Mitch Moreland,0.769,0.591361,13,245,23,0.246,0.060516,0.92,0.8464,1B,0.5740740740740741,79,6241,UFA,5500000,5500000,5500000,47.53,2259.1009,5500000,5500000,5500000,5500000,93,1.95,3.8024999999999998,8,15.520258650202699,15.520258650202699,15.520258650202699
TB,6.2,2018,2017,2017,7,1,1,283,80089,56,3136,0,2,5,31,30,Tampa Bay Rays,MIN,Florida,22969000,9,81,100,162,10000,Trevor Plouffe,0.59,0.34809999999999997,1,205,4,0.198,0.039204,0.617,0.380689,3B,0.4938271604938271,19,361,UFA,1069723,5250000,5250000,5.07,25.704900000000002,5250000,21700000,5250000,5250000,80,0.04,0.0016,0,13.882910294418592,15.473738634567807,15.473738634567807
TB,6.2,2018,2017,2017,7,1,1,121,14641,34,1156,0,2,5,30,30,Tampa Bay Rays,HOU,Florida,43222918,9,81,37,162,1369,Colby Rasmus,0.896,0.8028160000000001,1,195,4,0.281,0.07896100000000002,0.228,0.051984,LF,0.4938271604938271,23,529,UFA,2786918,5000000,5000000,0.0,0.0,5000000,21700000,5000000,5000000,80,1.2,1.44,0,14.840446883713335,15.424948470398375,15.424948470398375
LAA,5.9,2018,2017,2017,7,1,1,291,84681,80,6400,0,5,4,29,28,Los Angeles Angels,WSH,California,18057500,1,1,109,162,11881,Ben Revere,0.652,0.42510400000000004,1,175,10,0.275,0.07562500000000001,0.673,0.4529290000000001,CF,0.4938271604938271,20,400,UFA,4000000,4000000,4000000,13.06,170.5636,4000000,24750000,4000000,4000000,80,0.17,0.028900000000000006,1,15.201804919084164,15.201804919084164,15.201804919084164
ARI,6.0,2019,2017,2017,7,2,2,186,34596,40,1600,0,1,5,34,33,Arizona Diamondbacks,MIA,Arizona,14858000,2,4,60,162,3600,Jeff Mathis,0.6,0.36,1,205,6,0.215,0.046224999999999995,0.37,0.1369,C,0.5740740740740741,11,121,UFA,2000000,2000000,2000000,0.0,0.0,4000000,9750000,4000000,2000000,93,-0.56,0.31360000000000005,1,14.508657738524219,14.508657738524219,14.508657738524219
KC,6.1,2019,2017,2017,7,2,2,163,26569,37,1369,0,2,4,33,33,Kansas City Royals,KC,Missouri,7221268,3,9,75,162,5625,Drew Butera,0.603,0.36360899999999996,4,205,9,0.227,0.051529000000000005,0.463,0.21436900000000003,C,0.4938271604938271,14,196,UFA,1500000,1500000,1500000,0.0,0.0,3800000,43800000,3800000,1900000,80,-0.46,0.2116,2,14.22097566607244,14.22097566607244,14.22097566607244
WSH,6.0,2018,2017,2017,7,1,1,95,9025,24,576,0,1,4,34,33,Washington Nationals,WSH,Washington DC,59843443,1,1,46,163,2116,Stephen Drew,0.66,0.43560000000000004,1,200,5,0.253,0.064009,0.284,0.08065599999999999,2B,0.5950920245398773,17,289,UFA,3500000,3500000,3500000,0.0,0.0,3500000,10400000,3500000,3500000,97,-0.11,0.0121,0,15.068273526459642,15.068273526459642,15.068273526459642
CIN,0.0,2018,2017,2017,7,1,1,1,1,0,0,0,2,2,29,29,Cincinnati Reds,SEA,Ohio,26091750,0,0,58,162,3364,Drew Storen,0.0,0.0,10,195,15,0.0,0.0,0.358,0.128164,RP,0.419753086419753,0,0,UFA,3150000,3000000,3150000,10.73,115.1329,3000000,5300000,3000000,3000000,68,-0.2,0.04000000000000001,5,14.962913010801817,14.914122846632385,14.962913010801817
LAD,6.2,2018,2017,2017,7,1,1,56,3136,13,169,0,5,6,34,33,Los Angeles Dodgers,SEA,California,28519942,1,1,35,162,1225,Franklin Gutierrez,0.657,0.43164900000000006,25,200,31,0.232,0.053824000000000004,0.216,0.046655999999999996,CF,0.6419753086419753,8,64,UFA,2600000,2600000,2600000,0.0,0.0,2600000,199600000,2600000,2600000,104,-0.13,0.016900000000000002,6,14.77102200299171,14.77102200299171,14.77102200299171
MIA,6.2,2018,2017,2017,7,1,1,143,20449,30,900,0,2,6,36,35,Miami Marlins,PHI,Florida,18513500,6,36,51,162,2601,A.J. Ellis,0.669,0.44756100000000004,2,225,2,0.21,0.04409999999999999,0.315,0.09922500000000001,C,0.4753086419753086,14,196,UFA,2500000,2500000,2500000,0.0,0.0,2500000,57250000,2500000,2500000,77,0.6,0.36,2,14.73180128983843,14.73180128983843,14.73180128983843
WSH,0.0,2018,2017,2017,7,1,1,21,441,2,4,0,1,4,33,33,Washington Nationals,SD,Washington DC,84124325,0,0,22,163,484,Edwin Jackson,0.19,0.0361,1,210,5,0.095,0.009025,0.136,0.018496000000000002,SP,0.5950920245398773,0,0,UFA,415264,1000000,1000000,12.3,151.29000000000002,2450000,10400000,1000000,2450000,97,-0.23,0.0529,0,12.936669741536956,13.815510557964274,13.815510557964274
CIN,6.6,2018,2017,2017,7,1,1,34,1156,1,1,0,2,2,34,33,Cincinnati Reds,TOR,Ohio,54484313,0,0,21,162,441,Scott Feldman,0.059,0.0034809999999999997,10,225,15,0.029,0.0008410000000000001,0.13,0.016900000000000002,SP,0.419753086419753,0,0,UFA,3000000,2300000,3000000,37.19,1383.0960999999998,2300000,5300000,2300000,2300000,68,0.52,0.27040000000000003,5,14.914122846632385,14.648419680899378,14.914122846632385
CHC,6.0,2018,2017,2017,7,1,1,4,16,0,0,0,2,3,34,33,Chicago Cubs,BAL,Illinois,10302500,0,0,68,162,4624,Brian Duensing,0.0,0.0,17,200,19,0.0,0.0,0.42,0.17639999999999997,RP,0.5679012345679012,0,0,UFA,2000000,2000000,2000000,54.78,3000.8484000000003,2000000,16000000,2000000,2000000,92,1.39,1.9320999999999997,3,14.508657738524219,14.508657738524219,14.508657738524219
BAL,6.3,2018,2017,2017,7,1,1,32,1024,10,100,0,1,5,30,29,Baltimore Orioles,BAL,Maryland,26800000,1,1,14,162,196,Pedro Alvarez,0.79,0.6241000000000001,7,235,14,0.313,0.097969,0.086,0.007395999999999999,1B,0.4629629629629629,4,16,UFA,2000000,2000000,2000000,0.0,0.0,2000000,55600000,2000000,2000000,75,0.1,0.010000000000000002,3,14.508657738524219,14.508657738524219,14.508657738524219
SF,6.0,2018,2017,2017,7,1,1,287,82369,70,4900,0,5,3,33,33,San Francisco Giants,COL,California,17644749,9,81,101,162,10201,Nick Hundley,0.691,0.47748099999999993,23,203,26,0.244,0.059536,0.624,0.389376,C,0.3950617283950617,35,1225,UFA,2000000,2000000,2000000,14.9,222.01000000000002,2000000,65250000,2000000,2000000,64,0.51,0.2601,8,14.508657738524219,14.508657738524219,14.508657738524219
LAD,6.1,2018,2017,2017,7,1,1,309,95481,73,5329,0,5,6,38,38,Los Angeles Dodgers,LAD,California,130658257,8,64,127,162,16129,Chase Utley,0.728,0.529984,25,195,31,0.236,0.055695999999999996,0.784,0.6146560000000001,2B,0.6419753086419753,34,1156,UFA,2250000,2000000,2250000,27.78,771.7284000000001,2000000,199600000,2000000,2000000,104,1.0,1.0,6,14.626440774180603,14.508657738524219,14.626440774180603
SD,6.3,2018,2017,2017,7,1,1,54,2916,12,144,0,5,4,29,28,San Diego Padres,LAA,California,12314609,0,0,34,162,1156,Jhoulys Chacin,0.481,0.23136099999999998,2,215,5,0.222,0.049284,0.21,0.04409999999999999,SP,0.4382716049382716,4,16,UFA,1750000,1750000,1750000,79.71,6353.684099999999,1750000,8250000,1750000,1750000,71,2.54,6.4516,0,14.375126345899696,14.375126345899696,14.375126345899696
SD,6.5,2020,2017,2017,7,1,2,57,3249,7,49,0,5,4,33,33,San Diego Padres,SD,California,14450418,1,1,32,162,1024,Clayton Richard,0.36,0.1296,2,240,5,0.123,0.015129,0.198,0.039204,SP,0.4382716049382716,4,16,UFA,2750000,1750000,2750000,40.31,1624.8961000000002,1750000,8250000,6000000,1750000,71,0.54,0.2916,0,14.827111469642754,14.375126345899696,14.827111469642754
KC,6.4,2018,2017,2017,7,1,1,14,196,4,16,0,2,4,29,28,Kansas City Royals,CHC,Missouri,37961516,0,0,21,162,441,Trevor Cahill,0.69,0.4760999999999999,4,230,9,0.286,0.08179599999999998,0.13,0.016900000000000002,RP,0.4938271604938271,2,4,UFA,669410,1750000,1750000,0.0,0.0,1750000,43800000,1750000,1750000,80,-0.48,0.2304,2,13.414152006398902,14.375126345899696,14.375126345899696
MIA,6.3,2018,2017,2017,7,1,1,6,36,0,0,0,2,6,35,34,Miami Marlins,MIA,Florida,10440196,0,0,63,162,3969,Dustin McGowan,0.0,0.0,2,240,2,0.0,0.0,0.389,0.151321,RP,0.4753086419753086,0,0,UFA,1750000,1750000,1750000,26.16,684.3456,1750000,57250000,1750000,1750000,77,-0.2,0.04000000000000001,2,14.375126345899696,14.375126345899696,14.375126345899696
WSH,6.2,2018,2017,2017,7,1,1,267,71289,81,6561,0,1,4,33,33,Washington Nationals,SEA,Washington DC,36928200,14,196,116,163,13456,Adam Lind,0.875,0.765625,1,195,5,0.303,0.091809,0.716,0.512656,1B,0.5950920245398773,59,3481,UFA,1800000,1000000,1800000,49.41,2441.3480999999997,1500000,10400000,1500000,1500000,97,0.81,0.6561000000000001,0,14.403297222866392,13.815510557964274,14.403297222866392
ARI,0.0,2018,2017,2017,7,1,1,272,73984,69,4761,0,1,5,34,33,Arizona Diamondbacks,SEA,Arizona,31524000,17,289,89,162,7921,Chris Iannetta,0.865,0.748225,1,230,6,0.254,0.064516,0.549,0.30140100000000003,C,0.5740740740740741,43,1849,UFA,1500000,1500000,1500000,0.0,0.0,1500000,9750000,1500000,1500000,93,1.76,3.0976,1,14.22097566607244,14.22097566607244,14.22097566607244
NYM,6.0,2018,2017,2017,7,1,1,9,81,1,1,0,2,2,30,29,New York Mets,MIN,New York,10669860,0,0,17,162,289,Tom Milone,0.384,0.147456,5,215,9,0.111,0.012321,0.105,0.011024999999999998,RP,0.4320987654320987,1,1,UFA,1017746,1250000,1250000,0.0,0.0,1250000,116500000,1250000,1250000,70,-0.16,0.0256,2,13.833100936119232,14.038654109278484,14.038654109278484
COL,5.6,2019,2017,2017,7,1,1,168,28224,40,1600,0,1,4,28,27,Colorado Rockies,SD,Colorado,5503500,3,9,96,162,9216,Alexi Amarista,0.62,0.3844,1,152,4,0.238,0.05664399999999999,0.593,0.351649,SS,0.5370370370370371,19,361,UFA,1100000,1100000,1100000,0.0,0.0,1250000,97250000,1250000,1250000,87,-1.25,1.5625,0,13.9108207377686,13.9108207377686,13.9108207377686
ARI,6.2,2018,2017,2017,7,1,1,289,83521,65,4225,0,1,5,34,33,Arizona Diamondbacks,SD,Arizona,5942500,7,49,105,162,11025,Adam Rosales,0.613,0.37576899999999996,1,200,6,0.225,0.050625,0.648,0.419904,2B,0.5740740740740741,36,1296,UFA,430353,1250000,1250000,6.54,42.7716,1250000,9750000,1250000,1250000,93,-0.47,0.22089999999999999,1,12.972361081123381,14.038654109278484,14.038654109278484
TOR,6.4,2018,2017,2017,7,0,1,218,47524,44,1936,0,1,6,30,30,Toronto Blue Jays,PHI,Toronto,18627736,6,36,73,162,5329,Michael Saunders,0.6,0.36,2,225,7,0.202,0.04080400000000001,0.451,0.203401,LF,0.4691358024691358,21,441,UFA,93536,535000,535000,0.0,0.0,0,70000000,535000,0,76,-0.68,0.4624000000000001,2,11.446101667910973,13.190022025878143,13.190022025878143
