Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,15.687312734865866,15.687312734865866,15.687312734865866,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,11500000,5750000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Daniel Hudson,10,2,11000000,5500000,21,0,20.7,15,15,14,11,28,3,2,10,1.26,6.1,WSH,15.424948470398375,15.454147596313659,14.508657738524219,0.1502952227589908,0.0590445517981749,2.5454545454545454,441,0,428.49,225,225,196,121,784,9,4,100,1.5876,37.21,0.0034862590970473,6.479338842975206,9,1,1500000,1500000,69,1,73.0,56,25,20,27,71,9,3,8,1.14,2.47,WSH,0.1080669710806697,0.0410958904109589,2.6296296296296298,4761,1,5329.0,3136,625,400,729,5041,81,9,64,1.2996,6.100900000000001,0.0016888722086695,6.914951989026064
David Phelps,11,1,1750000,1750000,12,1,10.3,8,2,1,4,15,0,0,0,1.16,0.87,TOR,14.375126345899696,14.375126345899696,14.375126345899696,0.1618122977346278,0.0431499460625674,3.75,144,1,106.09000000000002,64,4,1,16,225,0,0,0,1.3456,0.7569,0.0018619178452024,14.0625,10,1,1500000,1500000,22,0,20.7,19,16,15,5,31,2,4,0,1.16,6.53,PHI,0.1663982823403113,0.026838432635534,6.2,484,0,428.49,361,256,225,25,961,4,16,0,1.3456,42.6409,0.0007203014663321,38.440000000000005
David Phelps,10,1,1500000,1500000,22,0,20.7,19,16,15,5,31,2,4,0,1.16,6.53,PHI,14.038654109278484,14.292986202048711,13.227587883813317,0.1663982823403113,0.026838432635534,6.2,484,0,428.49,361,256,225,25,961,4,16,0,1.3456,42.6409,0.0007203014663321,38.440000000000005,9,1,2500000,2500000,41,1,34.3,31,14,13,17,36,2,1,1,1.4,3.41,CHC,0.1166180758017492,0.0550696469063816,2.117647058823529,1681,1,1176.4899999999998,961,196,169,289,1296,4,1,1,1.96,11.628100000000002,0.0030326660103935,4.484429065743945
Drew Pomeranz,10,4,34000000,8500000,20,0,18.7,9,3,3,10,29,1,0,4,1.02,1.45,SD,15.201804919084164,15.60727002719233,15.062968335932068,0.172311348781937,0.05941770647653,2.9,400,0,349.69,81,9,9,100,841,1,0,16,1.0404,2.1025,0.003530463842931,8.41,9,1,1500000,1500000,46,18,104.0,105,58,56,44,137,2,10,2,1.43,4.85,MIL,0.1463675213675213,0.047008547008547,3.113636363636364,2116,324,10816.0,11025,3364,3136,1936,18769,4,100,4,2.0449,23.5225,0.0022098034918547,9.69473140495868
Dustin McGowan,7,1,1750000,1750000,63,0,77.7,77,42,41,27,64,8,2,0,1.34,4.75,MIA,14.375126345899696,14.375126345899696,14.375126345899696,0.0915200915200915,0.0386100386100386,2.3703703703703702,3969,0,6037.290000000001,5929,1764,1681,729,4096,64,4,0,1.7956000000000003,22.5625,0.0014907350814686,5.618655692729766,6,1,0,0,55,0,67.0,49,26,21,33,63,1,3,1,1.22,2.82,MIA,0.1044776119402985,0.0547263681592039,1.9090909090909087,3025,0,4489.0,2401,676,441,1089,3969,1,9,1,1.4884,7.952399999999999,0.0029949753718967,3.644628099173554
Fernando Rodney,7,1,2750000,2750000,61,0,55.3,40,29,26,26,65,5,4,39,1.19,4.23,ARI,14.827111469642754,15.201804919084164,15.201804919084164,0.1306007635121559,0.0522403054048623,2.5,3721,0,3058.09,1600,841,676,676,4225,25,16,1521,1.4161,17.892900000000004,0.0027290495087932,6.25,6,1,2000000,2000000,67,0,65.3,54,27,25,37,74,2,4,25,1.39,3.44,MIA,0.1259145822698656,0.0629572911349328,2.0,4489,0,4264.089999999999,2916,729,625,1369,5476,4,16,625,1.9321,11.8336,0.0039636205070486,4.0
Fernando Rodney,8,1,4500000,4500000,68,0,64.3,62,27,24,32,70,4,3,25,1.46,3.36,OAK,15.2624295409006,15.590462908875947,13.987906350269972,0.1209607741489545,0.0552963538966649,2.1875,4624,0,4134.49,3844,729,576,1024,4900,16,9,625,2.1316,11.289599999999998,0.0030576867542652,4.78515625,7,1,2750000,2750000,61,0,55.3,40,29,26,26,65,5,4,39,1.19,4.23,ARI,0.1306007635121559,0.0522403054048623,2.5,3721,0,3058.09,1600,841,676,676,4225,25,16,1521,1.4161,17.892900000000004,0.0027290495087932,6.25
Francisco Rodriguez,5,2,13000000,6500000,60,0,57.0,38,15,14,11,62,1,3,38,0.86,2.21,MIL,15.068273526459642,15.068273526459642,15.068273526459642,0.1208576998050682,0.0214424951267056,5.636363636363637,3600,0,3249.0,1444,225,196,121,3844,1,9,1444,0.7395999999999999,4.8841,0.0004597805972587,31.76859504132232,4,1,3250000,3250000,69,0,68.0,49,23,23,18,73,5,5,44,0.99,3.04,MIL,0.119281045751634,0.0294117647058823,4.055555555555555,4761,0,4624.0,2401,529,529,324,5329,25,25,1936,0.9801,9.2416,0.0008650519031141,16.447530864197528
Francisco Rodriguez,4,1,3250000,3250000,69,0,68.0,49,23,23,18,73,5,5,44,0.99,3.04,MIL,14.994165554305921,14.994165554305921,14.994165554305921,0.119281045751634,0.0294117647058823,4.055555555555555,4761,0,4624.0,2401,529,529,324,5329,25,25,1936,0.9801,9.2416,0.0008650519031141,16.447530864197528,3,1,0,0,48,0,46.7,42,14,14,14,54,3,2,10,1.2,2.7,BAL,0.1284796573875803,0.0333095408041874,3.857142857142857,2304,0,2180.8900000000003,1764,196,196,196,2916,9,4,100,1.44,7.290000000000001,0.0011095255085858,14.877551020408164
Greg Holland,8,1,14000000,14000000,56,0,46.3,43,30,24,32,47,2,2,3,1.62,4.66,WSH,13.208541073645382,13.208541073645382,11.990090887243584,0.1127909767218622,0.0767938564914806,1.46875,3136,0,2143.69,1849,900,576,1024,2209,4,4,9,2.6244000000000005,21.7156,0.0058972963948341,2.1572265625,7,1,7000000,7000000,62,0,57.3,40,24,23,26,70,3,6,41,1.15,3.61,COL,0.1357378320729106,0.0504169090556525,2.6923076923076925,3844,0,3283.2899999999995,1600,576,529,676,4900,9,36,1681,1.3224999999999998,13.0321,0.0025418647187259,7.248520710059172
J.P. Howell,4,2,11250000,5625000,68,0,49.0,31,14,13,25,48,3,3,0,1.14,2.39,LAD,15.201804919084164,15.520258650202699,15.520258650202699,0.1088435374149659,0.0566893424036281,1.92,4624,0,2401.0,961,196,169,625,2304,9,9,0,1.2996,5.7121,0.0032136815421557,3.6864,3,1,2850000,2850000,67,0,62.0,42,14,14,23,54,4,1,0,1.05,2.03,LAD,0.0967741935483871,0.0412186379928315,2.347826086956522,4489,0,3844.0,1764,196,196,529,2916,16,1,0,1.1025,4.120899999999999,0.001698976117984,5.512287334593574
